1c#tos#f1#f1052063/c  1.477 0.762  1.370 0.762  1.263 0.762  1.156 0.762  1.049 0.762  0.942 0.762  0.835 0.762  0.728 0.762  0.621 0.762  0.514 0.762  0.407 0.762  0.300 0.762  0.193 0.762  0.086 0.762  -0.012 0.723  -0.111 0.684  -0.216 0.663  -0.321 0.643  -0.426 0.622  -0.522 0.574  -0.614 0.520  -0.703 0.461  -0.781 0.396  -0.781 0.288  -0.842 0.207  -0.918 0.131  -0.922 0.026  -0.922 -0.081  -0.922 -0.188  -0.890 -0.288  -0.843 -0.384  -0.795 -0.479  -0.776 -0.580  -0.681 -0.628  -0.578 -0.649  -0.486 -0.673  -0.438 -0.769  -0.350 -0.821  -0.251 -0.861  -0.152 -0.900  -0.051 -0.931  0.056 -0.931  0.163 -0.931  0.271 -0.931  0.378 -0.931  0.485 -0.931  0.592 -0.931  0.699 -0.931  0.806 -0.931  0.913 -0.931
1c#tos#f1#f1052063/g  0.723 0.960  0.593 1.061  0.455 1.139  0.332 1.249  0.186 1.312  0.038 1.357  -0.128 1.357  -0.284 1.316  -0.386 1.205  -0.478 1.082  -0.512 0.930  -0.512 0.764  -0.508 0.599  -0.405 0.476  -0.271 0.386  -0.105 0.386  0.048 0.417  0.105 0.560  0.245 0.629  0.282 0.789  0.355 0.916  0.370 0.765  0.370 0.599  0.370 0.433  0.370 0.267  0.349 0.103  0.304 -0.055  0.282 -0.216  0.282 -0.382  0.282 -0.548  0.282 -0.714  0.282 -0.880  0.213 -1.030  0.139 -1.178  0.041 -1.310  -0.060 -1.422  -0.182 -1.466  -0.304 -1.510  -0.470 -1.510  -0.600 -1.438  -0.600 -1.272  -0.577 -1.111  -0.519 -0.957  -0.412 -0.856  -0.334 -0.714  -0.203 -0.628  -0.093 -0.533  0.067 -0.496  0.208 -0.423  0.370 -0.408
1c#tos#f1#f1052063/h  -0.298 1.826  -0.458 1.826  -0.520 1.818  -0.495 1.662  -0.476 1.506  -0.437 1.352  -0.431 1.193  -0.409 1.036  -0.365 0.883  -0.342 0.726  -0.328 0.568  -0.290 0.413  -0.253 0.258  -0.253 0.098  -0.253 -0.062  -0.253 -0.222  -0.253 -0.382  -0.243 -0.540  -0.212 -0.697  -0.203 -0.855  -0.164 -1.006  -0.147 -1.163  -0.120 -1.319  -0.164 -1.207  -0.217 -1.064  -0.342 -0.994  -0.360 -0.837  -0.387 -0.681  -0.387 -0.522  -0.431 -0.372  -0.431 -0.212  -0.431 -0.053  -0.328 0.009  -0.209 0.105  -0.080 0.135  0.011 0.265  0.168 0.269  0.328 0.269  0.488 0.269  0.642 0.244  0.774 0.172  0.884 0.091  0.904 -0.049  0.928 -0.205  0.948 -0.362  0.948 -0.522  0.973 -0.678  0.993 -0.836  0.993 -0.996  0.993 -1.155
1c#tos#f1#f1052063/k  -0.642 2.260  -0.581 2.073  -0.532 1.878  -0.476 1.687  -0.476 1.486  -0.476 1.286  -0.476 1.085  -0.464 0.886  -0.421 0.691  -0.421 0.491  -0.421 0.290  -0.421 0.089  -0.421 -0.111  -0.421 -0.312  -0.421 -0.512  -0.421 -0.713  -0.421 -0.913  -0.358 -1.051  -0.310 -1.204  -0.203 -1.063  -0.088 -0.899  0.026 -0.734  0.141 -0.570  0.256 -0.405  0.370 -0.240  0.485 -0.076  0.600 0.089  0.714 0.253  0.829 0.418  0.944 0.582  0.793 0.596  0.750 0.439  0.558 0.404  0.408 0.274  0.322 0.134  0.138 0.056  -0.029 -0.054  -0.200 -0.150  -0.342 -0.224  -0.487 -0.279  -0.444 -0.375  -0.306 -0.500  -0.110 -0.517  0.048 -0.637  0.210 -0.754  0.389 -0.812  0.462 -0.982  0.626 -1.051  0.817 -1.091  0.904 -1.217
1c#tos#f1#f1052063/l  -0.112 1.526  -0.182 1.526  -0.246 1.526  -0.204 1.498  -0.180 1.432  -0.154 1.367  -0.143 1.298  -0.131 1.228  -0.120 1.158  -0.104 1.089  -0.082 1.022  -0.066 0.954  -0.066 0.884  -0.066 0.813  -0.059 0.743  -0.049 0.673  -0.039 0.603  -0.029 0.533  -0.019 0.463  -0.005 0.394  0.009 0.325  0.023 0.255  0.026 0.185  0.026 0.114  0.026 0.044  0.026 -0.027  0.026 -0.098  0.026 -0.168  0.026 -0.239  0.026 -0.310  0.026 -0.380  0.026 -0.451  0.026 -0.522  0.026 -0.592  0.031 -0.662  0.045 -0.732  0.059 -0.801  0.073 -0.870  0.087 -0.940  0.101 -1.009  0.115 -1.078  0.118 -1.148  0.118 -1.219  0.118 -1.290  0.118 -1.360  0.118 -1.431  0.118 -1.502  0.118 -1.572  0.159 -1.603  0.210 -1.649
1c#tos#f1#f1052063/m  -1.006 0.985  -1.006 0.900  -1.006 0.705  -1.006 0.510  -0.951 0.369  -0.951 0.174  -0.951 -0.021  -0.951 -0.217  -0.951 -0.412  -0.924 -0.599  -0.841 -0.770  -0.841 -0.965  -0.785 -1.006  -0.785 -0.811  -0.785 -0.615  -0.710 -0.466  -0.675 -0.293  -0.675 -0.097  -0.628 0.087  -0.565 0.268  -0.457 0.430  -0.358 0.585  -0.229 0.646  -0.099 0.532  -0.013 0.390  0.039 0.216  0.097 0.045  0.097 -0.150  0.097 -0.346  0.097 -0.541  0.047 -0.549  0.097 -0.365  0.160 -0.189  0.208 -0.008  0.324 0.125  0.398 0.277  0.560 0.366  0.660 0.533  0.765 0.654  0.960 0.654  1.156 0.654  1.201 0.504  1.250 0.329  1.409 0.219  1.421 0.032  1.421 -0.164  1.421 -0.359  1.421 -0.554  1.421 -0.750  1.421 -0.945
1c#tos#f1#f1052063/o  0.458 1.028  0.313 1.028  0.168 1.028  0.023 1.028  -0.122 1.028  -0.267 1.028  -0.354 0.971  -0.489 0.961  -0.591 0.892  -0.687 0.794  -0.760 0.694  -0.762 0.550  -0.807 0.412  -0.909 0.352  -0.963 0.261  -0.963 0.116  -0.963 -0.029  -0.963 -0.173  -0.905 -0.305  -0.895 -0.447  -0.853 -0.585  -0.783 -0.707  -0.676 -0.798  -0.558 -0.864  -0.450 -0.959  -0.330 -1.040  -0.193 -1.069  -0.049 -1.069  0.096 -1.069  0.241 -1.069  0.386 -1.069  0.516 -1.006  0.620 -0.906  0.723 -0.804  0.825 -0.701  0.863 -0.572  0.908 -0.438  0.999 -0.366  0.999 -0.221  0.999 -0.077  0.889 0.001  0.863 0.129  0.863 0.274  0.728 0.284  0.719 0.419  0.593 0.438  0.568 0.567  0.436 0.622  0.308 0.677  0.187 0.758
1c#tos#f1#f1052063/p  -0.201 1.254  -0.403 1.254  -0.395 1.308  -0.310 1.145  -0.310 0.943  -0.310 0.741  -0.276 0.542  -0.232 0.345  -0.201 0.146  -0.201 -0.056  -0.201 -0.258  -0.201 -0.460  -0.201 -0.662  -0.201 -0.864  -0.201 -1.067  -0.186 -1.267  -0.147 -1.466  -0.129 -1.664  -0.093 -1.857  -0.046 -1.761  -0.065 -1.560  -0.084 -1.359  -0.103 -1.157  -0.122 -0.956  -0.141 -0.755  -0.160 -0.553  -0.179 -0.352  -0.198 -0.151  -0.217 0.050  -0.236 0.252  -0.255 0.453  -0.274 0.654  -0.293 0.856  -0.290 1.043  -0.147 1.142  0.046 1.193  0.247 1.200  0.450 1.200  0.611 1.123  0.738 0.967  0.832 0.804  0.832 0.602  0.822 0.400  0.768 0.207  0.652 0.041  0.567 -0.137  0.392 -0.198  0.218 -0.284  0.075 -0.427  -0.038 -0.594
1c#tos#f1#f1052063/r  -0.784 1.371  -0.770 1.244  -0.720 1.153  -0.720 1.012  -0.649 0.895  -0.565 0.782  -0.530 0.653  -0.530 0.512  -0.530 0.371  -0.442 0.267  -0.342 0.167  -0.339 0.028  -0.318 -0.111  -0.284 -0.247  -0.276 -0.387  -0.276 -0.528  -0.276 -0.669  -0.216 -0.785  -0.149 -0.898  -0.149 -1.038  -0.149 -1.179  -0.149 -1.320  -0.149 -1.461  -0.229 -1.438  -0.273 -1.304  -0.276 -1.164  -0.276 -1.023  -0.276 -0.882  -0.276 -0.741  -0.276 -0.600  -0.210 -0.523  -0.183 -0.385  -0.155 -0.247  -0.149 -0.107  -0.106 0.016  -0.003 0.110  0.123 0.173  0.241 0.245  0.308 0.367  0.416 0.457  0.534 0.535  0.636 0.631  0.759 0.672  0.900 0.672  1.027 0.706  1.129 0.799  1.270 0.799  1.411 0.799  1.552 0.799  1.693 0.799
1c#tos#f1#f1052063/s  0.992 1.110  0.858 1.110  0.724 1.110  0.591 1.110  0.457 1.110  0.323 1.110  0.190 1.110  0.056 1.110  -0.078 1.110  -0.211 1.110  -0.339 1.071  -0.450 1.004  -0.527 0.903  -0.597 0.797  -0.691 0.703  -0.710 0.577  -0.623 0.510  -0.538 0.416  -0.428 0.342  -0.329 0.259  -0.199 0.246  -0.076 0.198  0.047 0.154  0.177 0.137  0.262 0.089  0.371 0.022  0.490 -0.037  0.506 -0.161  0.627 -0.174  0.627 -0.307  0.719 -0.349  0.749 -0.453  0.749 -0.587  0.688 -0.683  0.561 -0.713  0.471 -0.783  0.382 -0.877  0.271 -0.951  0.139 -0.957  0.019 -1.017  -0.054 -1.078  -0.187 -1.078  -0.321 -1.078  -0.455 -1.078  -0.588 -1.078  -0.722 -1.078  -0.856 -1.078  -0.929 -1.017  -1.062 -1.017  -1.074 -0.896
1c#tos#f1#f1052063/t  -0.867 0.598  -0.969 0.549  -1.006 0.446  -0.873 0.404  -0.723 0.404  -0.573 0.404  -0.423 0.404  -0.291 0.465  -0.152 0.501  -0.002 0.501  0.148 0.501  0.299 0.501  0.449 0.501  0.599 0.501  0.749 0.501  0.789 0.576  0.662 0.656  0.535 0.736  0.408 0.816  0.281 0.896  0.154 0.976  0.027 1.057  -0.101 1.131  -0.251 1.131  -0.266 1.034  -0.188 0.925  -0.188 0.775  -0.188 0.625  -0.188 0.474  -0.188 0.324  -0.188 0.174  -0.188 0.024  -0.188 -0.126  -0.188 -0.276  -0.188 -0.426  -0.188 -0.577  -0.188 -0.727  -0.188 -0.877  -0.150 -1.021  -0.118 -1.148  -0.043 -1.222  0.006 -1.353  0.051 -1.484  0.180 -1.536  0.330 -1.536  0.480 -1.536  0.623 -1.492  0.772 -1.487  0.782 -1.346  0.927 -1.342
