1c#tos#f1#f1081063/a  0.596 0.335  0.531 0.450  0.531 0.630  0.531 0.810  0.526 0.988  0.398 1.116  0.244 1.177  0.063 1.177  -0.117 1.177  -0.297 1.177  -0.448 1.106  -0.587 0.994  -0.701 0.874  -0.730 0.699  -0.827 0.563  -0.989 0.482  -1.025 0.325  -1.025 0.145  -1.025 -0.036  -1.025 -0.216  -1.025 -0.396  -1.025 -0.576  -1.025 -0.756  -0.971 -0.928  -0.880 -1.026  -0.700 -1.026  -0.520 -1.026  -0.340 -1.026  -0.176 -0.959  -0.023 -0.867  0.105 -0.740  0.269 -0.702  0.411 -0.655  0.446 -0.478  0.466 -0.300  0.466 -0.120  0.466 0.060  0.466 0.240  0.466 0.420  0.466 0.458  0.466 0.278  0.466 0.098  0.516 -0.074  0.637 -0.184  0.766 -0.266  0.847 -0.427  0.920 -0.590  0.976 -0.740  1.129 -0.832  1.309 -0.832
1c#tos#f1#f1081063/c  0.868 0.985  0.767 0.934  0.654 0.934  0.562 0.984  0.500 1.036  0.387 1.036  0.274 1.036  0.161 1.036  0.048 1.036  -0.065 1.036  -0.156 0.984  -0.236 0.904  -0.318 0.827  -0.419 0.776  -0.513 0.721  -0.523 0.611  -0.586 0.517  -0.665 0.440  -0.759 0.377  -0.793 0.272  -0.821 0.162  -0.848 0.053  -0.871 -0.057  -0.871 -0.170  -0.871 -0.283  -0.871 -0.396  -0.871 -0.509  -0.855 -0.616  -0.775 -0.696  -0.676 -0.749  -0.575 -0.799  -0.463 -0.805  -0.350 -0.805  -0.237 -0.805  -0.124 -0.805  -0.011 -0.805  0.102 -0.805  0.215 -0.805  0.328 -0.805  0.437 -0.778  0.543 -0.741  0.648 -0.699  0.753 -0.657  0.848 -0.596  0.944 -0.537  1.045 -0.486  1.149 -0.447  1.262 -0.447  1.301 -0.352  1.328 -0.242
1c#tos#f1#f1081063/e  -0.265 0.694  -0.348 0.565  -0.520 0.549  -0.689 0.507  -0.833 0.488  -0.716 0.363  -0.598 0.307  -0.439 0.243  -0.329 0.179  -0.155 0.179  0.018 0.179  0.192 0.179  0.366 0.179  0.530 0.222  0.692 0.271  0.765 0.400  0.765 0.574  0.765 0.748  0.765 0.922  0.647 1.016  0.483 1.060  0.314 1.080  0.140 1.080  -0.031 1.068  -0.161 0.966  -0.287 0.887  -0.402 0.778  -0.476 0.623  -0.518 0.455  -0.632 0.327  -0.652 0.161  -0.652 -0.013  -0.706 -0.178  -0.716 -0.350  -0.716 -0.524  -0.691 -0.695  -0.643 -0.860  -0.545 -1.001  -0.424 -1.109  -0.250 -1.109  -0.080 -1.139  0.090 -1.173  0.264 -1.173  0.437 -1.173  0.611 -1.173  0.781 -1.137  0.951 -1.109  1.125 -1.109  1.299 -1.109  1.473 -1.109
1c#tos#f1#f1081063/f  0.543 1.195  0.582 1.301  0.582 1.446  0.536 1.545  0.407 1.583  0.263 1.583  0.118 1.583  0.004 1.510  -0.114 1.430  -0.181 1.351  -0.221 1.222  -0.234 1.079  -0.234 0.934  -0.191 0.800  -0.127 0.670  -0.117 0.528  -0.081 0.389  -0.065 0.250  0.037 0.148  0.062 0.006  0.077 -0.138  0.077 -0.282  0.155 -0.379  0.155 -0.524  0.179 -0.664  0.193 -0.807  0.193 -0.951  0.193 -1.096  0.193 -1.241  0.142 -1.367  0.075 -1.397  -0.018 -1.286  -0.111 -1.175  -0.204 -1.065  -0.298 -0.954  -0.391 -0.843  -0.484 -0.733  -0.578 -0.668  -0.700 -0.645  -0.726 -0.552  -0.591 -0.513  -0.449 -0.494  -0.312 -0.455  -0.181 -0.396  -0.037 -0.395  0.099 -0.358  0.238 -0.335  0.370 -0.280  0.515 -0.280  0.659 -0.280
1c#tos#f1#f1081063/i  -0.012 -0.223  -0.051 -0.125  -0.061 -0.054  -0.061 -0.191  -0.061 -0.328  -0.061 -0.465  -0.061 -0.601  -0.061 -0.738  -0.061 -0.875  -0.061 -1.011  -0.061 -1.148  -0.061 -1.285  -0.061 -1.421  -0.061 -1.558  -0.061 -1.695  -0.006 -1.610  0.004 -1.474  0.014 -1.338  0.024 -1.201  0.034 -1.065  0.044 -0.929  0.055 -0.792  0.065 -0.656  0.075 -0.520  0.085 -0.384  0.095 -0.247  0.105 -0.111  0.115 0.025  0.125 0.162  0.135 0.298  0.145 0.434  0.156 0.571  0.166 0.707  0.176 0.843  0.160 0.956  0.123 1.060  -0.004 1.103  -0.111 1.133  -0.111 1.269  -0.162 1.224  -0.173 1.152  -0.099 1.256  0.028 1.299  0.109 1.286  -0.020 1.250  -0.128 1.183  -0.252 1.152  -0.145 1.181  -0.051 1.250  0.086 1.250
1c#tos#f1#f1081063/j  0.490 0.511  0.490 0.454  0.524 0.336  0.524 0.211  0.547 0.090  0.600 -0.023  0.626 -0.144  0.626 -0.270  0.626 -0.396  0.626 -0.521  0.594 -0.642  0.592 -0.767  0.559 -0.885  0.483 -0.966  0.415 -1.071  0.323 -1.126  0.206 -1.160  0.097 -1.217  -0.025 -1.229  -0.150 -1.229  -0.261 -1.194  -0.365 -1.125  -0.468 -1.056  -0.566 -0.990  -0.602 -0.874  -0.602 -0.749  -0.583 -0.625  -0.557 -0.502  -0.531 -0.379  -0.506 -0.256  -0.480 -0.133  -0.454 -0.010  -0.429 0.113  -0.403 0.236  -0.377 0.359  -0.351 0.481  -0.326 0.604  -0.300 0.727  -0.274 0.850  -0.249 0.973  -0.223 1.096  -0.197 1.219  -0.172 1.342  -0.146 1.465  -0.110 1.555  -0.027 1.500  0.086 1.484  0.148 1.387  0.230 1.316  0.319 1.228
1c#tos#f1#f1081063/k  -0.075 1.234  -0.294 1.300  -0.502 1.356  -0.589 1.500  -0.660 1.660  -0.662 1.644  -0.657 1.413  -0.624 1.184  -0.609 0.954  -0.609 0.722  -0.609 0.491  -0.609 0.260  -0.449 0.114  -0.449 -0.118  -0.449 -0.349  -0.342 -0.548  -0.342 -0.780  -0.342 -1.011  -0.318 -1.238  -0.288 -1.465  -0.342 -1.331  -0.336 -1.101  -0.239 -0.891  -0.142 -0.681  -0.045 -0.471  -0.022 -0.244  0.115 -0.070  0.279 0.094  0.359 0.294  0.489 0.433  0.614 0.581  0.815 0.647  0.939 0.646  0.805 0.478  0.621 0.358  0.493 0.165  0.318 0.020  0.139 -0.121  -0.076 -0.208  -0.271 -0.332  -0.449 -0.413  -0.225 -0.420  0.007 -0.420  0.216 -0.498  0.412 -0.584  0.596 -0.718  0.803 -0.792  1.018 -0.847  1.219 -0.889  1.365 -1.007
1c#tos#f1#f1081063/n  -0.180 0.877  -0.359 0.877  -0.537 0.877  -0.606 0.986  -0.606 1.164  -0.659 1.208  -0.659 1.030  -0.659 0.852  -0.659 0.674  -0.659 0.495  -0.659 0.317  -0.659 0.139  -0.659 -0.040  -0.659 -0.218  -0.659 -0.396  -0.659 -0.574  -0.659 -0.753  -0.659 -0.931  -0.659 -1.109  -0.579 -1.263  -0.499 -1.227  -0.499 -1.049  -0.494 -0.873  -0.368 -0.747  -0.274 -0.603  -0.239 -0.428  -0.233 -0.251  -0.162 -0.097  -0.050 0.042  0.038 0.196  0.103 0.361  0.139 0.535  0.183 0.686  0.322 0.794  0.422 0.930  0.511 0.841  0.671 0.822  0.671 0.644  0.692 0.472  0.777 0.319  0.777 0.141  0.777 -0.037  0.797 -0.207  0.923 -0.333  0.987 -0.498  1.031 -0.671  1.103 -0.832  1.229 -0.958  1.290 -1.091  1.468 -1.091
1c#tos#f1#f1081063/o  0.107 0.857  -0.043 0.857  -0.086 0.965  -0.214 1.017  -0.322 0.977  -0.460 0.965  -0.591 0.904  -0.591 0.754  -0.672 0.628  -0.698 0.486  -0.739 0.346  -0.805 0.211  -0.805 0.061  -0.805 -0.089  -0.805 -0.239  -0.805 -0.389  -0.805 -0.540  -0.805 -0.690  -0.787 -0.834  -0.703 -0.959  -0.625 -1.081  -0.483 -1.129  -0.355 -1.182  -0.205 -1.182  -0.055 -1.182  0.093 -1.159  0.238 -1.122  0.384 -1.086  0.502 -1.001  0.609 -0.895  0.699 -0.777  0.791 -0.659  0.897 -0.553  0.966 -0.421  0.966 -0.271  0.966 -0.121  0.966 0.029  0.966 0.179  0.907 0.287  0.796 0.363  0.767 0.510  0.682 0.589  0.541 0.621  0.422 0.710  0.330 0.804  0.206 0.866  0.074 0.911  -0.076 0.911  -0.215 0.900  -0.322 0.857
1c#tos#f1#f1081063/p  0.289 1.148  0.100 1.204  -0.057 1.259  -0.154 1.254  -0.154 1.042  -0.164 0.831  -0.214 0.625  -0.256 0.417  -0.264 0.206  -0.264 -0.006  -0.264 -0.218  -0.264 -0.430  -0.264 -0.642  -0.264 -0.854  -0.264 -1.066  -0.264 -1.278  -0.234 -1.485  -0.209 -1.693  -0.209 -1.905  -0.102 -1.845  -0.098 -1.634  -0.098 -1.422  -0.098 -1.210  -0.098 -0.998  -0.098 -0.786  -0.098 -0.574  -0.098 -0.362  -0.176 -0.173  -0.257 0.021  -0.324 0.222  -0.375 0.426  -0.412 0.633  -0.485 0.788  -0.473 0.995  -0.279 1.038  -0.067 1.038  0.145 1.038  0.357 1.038  0.563 1.002  0.728 0.875  0.897 0.830  0.952 0.641  0.952 0.429  0.793 0.290  0.611 0.181  0.527 0.000  0.368 -0.068  0.225 -0.184  0.048 -0.299  -0.154 -0.344
1c#tos#f1#f1081063/q  0.268 0.611  0.268 0.607  0.268 0.819  0.105 0.901  -0.019 0.990  -0.231 0.990  -0.444 0.990  -0.545 0.879  -0.690 0.755  -0.824 0.603  -0.925 0.432  -1.025 0.273  -1.087 0.094  -1.124 -0.115  -1.142 -0.326  -1.087 -0.530  -1.012 -0.711  -0.868 -0.801  -0.699 -0.907  -0.487 -0.907  -0.274 -0.907  -0.119 -0.813  0.070 -0.770  0.182 -0.590  0.349 -0.482  0.484 -0.334  0.593 -0.189  0.593 0.024  0.593 0.237  0.593 0.449  0.593 0.662  0.593 0.875  0.593 1.087  0.445 1.153  0.233 1.153  0.186 1.018  0.264 0.831  0.293 0.627  0.376 0.440  0.376 0.227  0.376 0.014  0.376 -0.199  0.430 -0.402  0.430 -0.615  0.430 -0.828  0.430 -1.040  0.430 -1.253  0.430 -1.466  0.469 -1.672  0.484 -1.882
