1c#tos#f2#f2051059/b  -0.088 2.025  -0.152 1.921  -0.321 1.921  -0.348 1.780  -0.417 1.628  -0.453 1.468  -0.453 1.299  -0.453 1.130  -0.453 0.962  -0.453 0.793  -0.453 0.624  -0.453 0.456  -0.453 0.287  -0.444 0.120  -0.386 -0.038  -0.348 -0.198  -0.348 -0.367  -0.348 -0.535  -0.244 -0.640  -0.196 -0.788  -0.140 -0.943  -0.140 -0.994  -0.117 -0.827  -0.086 -0.661  -0.055 -0.495  -0.024 -0.330  0.007 -0.164  -0.012 -0.003  -0.153 0.043  -0.241 0.147  -0.094 0.199  0.075 0.199  0.244 0.199  0.412 0.199  0.581 0.199  0.734 0.161  0.832 0.043  0.904 -0.094  0.904 -0.263  0.904 -0.431  0.818 -0.565  0.699 -0.684  0.576 -0.799  0.456 -0.905  0.314 -0.948  0.199 -1.053  0.124 -1.203  -0.033 -1.260  -0.183 -1.305  -0.244 -1.313
1c#tos#f2#f2051059/d  0.279 0.176  0.151 0.257  0.076 0.392  -0.046 0.542  -0.256 0.542  -0.453 0.496  -0.578 0.338  -0.772 0.260  -0.899 0.098  -0.978 -0.096  -1.061 -0.287  -1.105 -0.484  -1.145 -0.684  -1.140 -0.893  -0.982 -1.006  -0.830 -1.127  -0.621 -1.127  -0.431 -1.065  -0.310 -0.939  -0.128 -0.842  0.020 -0.694  0.116 -0.509  0.149 -0.310  0.281 -0.148  0.332 0.045  0.361 0.253  0.361 0.462  0.401 0.666  0.401 0.876  0.401 1.085  0.401 1.295  0.401 1.505  0.401 1.715  0.338 1.534  0.294 1.332  0.239 1.132  0.239 0.923  0.239 0.713  0.239 0.503  0.239 0.293  0.239 0.083  0.263 -0.124  0.279 -0.332  0.305 -0.538  0.401 -0.722  0.476 -0.892  0.603 -1.043  0.749 -1.161  0.926 -1.244  1.134 -1.249
1c#tos#f2#f2051059/f  0.403 0.323  0.555 0.330  0.593 0.472  0.593 0.631  0.631 0.780  0.631 0.939  0.609 1.092  0.555 1.240  0.525 1.395  0.506 1.541  0.353 1.579  0.195 1.579  0.055 1.535  -0.016 1.406  -0.092 1.271  -0.119 1.120  -0.168 0.977  -0.168 0.818  -0.168 0.660  -0.168 0.502  -0.168 0.343  -0.168 0.185  -0.168 0.026  -0.168 -0.132  -0.166 -0.290  -0.130 -0.443  -0.130 -0.601  -0.088 -0.753  -0.031 -0.901  0.049 -1.035  0.060 -1.189  0.085 -1.337  0.137 -1.452  0.065 -1.423  -0.033 -1.299  -0.131 -1.175  -0.230 -1.050  -0.328 -0.926  -0.426 -0.802  -0.525 -0.678  -0.623 -0.553  -0.781 -0.552  -0.728 -0.514  -0.570 -0.514  -0.412 -0.514  -0.253 -0.514  -0.095 -0.514  0.064 -0.514  0.219 -0.520  0.365 -0.552
1c#tos#f2#f2051059/g  0.349 1.091  0.302 1.273  0.233 1.438  0.068 1.507  -0.125 1.507  -0.299 1.461  -0.436 1.324  -0.468 1.137  -0.578 0.981  -0.682 0.820  -0.715 0.632  -0.715 0.439  -0.669 0.265  -0.588 0.132  -0.419 0.074  -0.240 0.098  -0.093 0.194  0.044 0.291  0.197 0.401  0.317 0.551  0.395 0.712  0.395 0.905  0.203 0.906  0.157 0.753  0.117 0.569  0.117 0.376  0.117 0.183  0.160 -0.005  0.210 -0.152  0.210 -0.345  0.210 -0.538  0.216 -0.731  0.256 -0.917  0.256 -1.111  0.256 -1.304  0.256 -1.497  0.157 -1.591  -0.037 -1.591  -0.223 -1.574  -0.294 -1.410  -0.345 -1.238  -0.345 -1.045  -0.345 -0.852  -0.188 -0.740  -0.020 -0.650  0.167 -0.616  0.324 -0.527  0.517 -0.527  0.710 -0.527  0.904 -0.527
1c#tos#f2#f2051059/h  -0.927 0.901  -1.006 0.814  -0.990 0.743  -0.827 0.718  -0.663 0.704  -0.497 0.704  -0.334 0.708  -0.296 0.865  -0.296 1.031  -0.300 1.137  -0.415 1.063  -0.535 1.017  -0.651 0.899  -0.651 0.733  -0.651 0.567  -0.651 0.401  -0.651 0.235  -0.651 0.070  -0.651 -0.096  -0.651 -0.262  -0.642 -0.427  -0.612 -0.588  -0.574 -0.716  -0.566 -0.874  -0.487 -0.782  -0.415 -0.633  -0.342 -0.489  -0.250 -0.351  -0.162 -0.211  -0.138 -0.051  -0.040 0.062  0.098 0.121  0.233 0.152  0.306 0.050  0.391 -0.074  0.414 -0.226  0.453 -0.375  0.466 -0.538  0.532 -0.683  0.598 -0.822  0.719 -0.874  0.885 -0.874  1.017 -0.782  1.163 -0.716  1.289 -0.614  1.386 -0.519  1.507 -0.411  1.597 -0.329  1.676 -0.212  1.794 -0.164
1c#tos#f2#f2051059/i  -0.076 1.690  -0.083 1.595  -0.172 1.551  -0.259 1.506  -0.213 1.452  -0.151 1.416  -0.128 1.346  -0.152 1.250  -0.176 1.154  -0.200 1.058  -0.224 0.962  -0.248 0.866  -0.297 0.784  -0.305 0.688  -0.305 0.588  -0.363 0.548  -0.396 0.482  -0.396 0.382  -0.396 0.283  -0.396 0.184  -0.396 0.085  -0.396 -0.014  -0.396 -0.113  -0.396 -0.212  -0.396 -0.311  -0.396 -0.411  -0.350 -0.464  -0.308 -0.546  -0.305 -0.643  -0.305 -0.742  -0.287 -0.824  -0.227 -0.887  -0.165 -0.963  -0.085 -1.016  0.011 -1.040  0.109 -1.052  0.208 -1.052  0.307 -1.052  0.392 -1.029  0.437 -0.941  0.472 -0.850  0.544 -0.809  0.641 -0.790  0.701 -0.740  0.746 -0.687  0.837 -0.657  0.919 -0.602  0.929 -0.508  1.022 -0.501  1.067 -0.412
1c#tos#f2#f2051059/m  -1.267 0.598  -1.267 0.486  -1.267 0.374  -1.267 0.261  -1.267 0.149  -1.262 0.038  -1.226 -0.069  -1.148 -0.149  -1.141 -0.259  -1.141 -0.371  -1.066 -0.408  -0.981 -0.357  -0.915 -0.266  -0.836 -0.187  -0.748 -0.133  -0.686 -0.040  -0.630 0.044  -0.534 0.095  -0.471 0.176  -0.422 0.269  -0.367 0.347  -0.269 0.313  -0.176 0.288  -0.134 0.218  -0.134 0.106  -0.062 0.023  -0.051 -0.084  -0.022 -0.185  0.028 -0.277  0.096 -0.324  0.206 -0.319  0.293 -0.249  0.384 -0.184  0.466 -0.108  0.560 -0.049  0.633 0.035  0.703 0.116  0.810 0.137  0.914 0.146  0.993 0.179  1.105 0.179  1.218 0.179  1.284 0.120  1.381 0.063  1.459 -0.007  1.501 -0.077  1.534 -0.156  1.629 -0.200  1.724 -0.240  1.837 -0.240
1c#tos#f2#f2051059/n  -1.310 0.524  -1.215 0.498  -1.198 0.380  -1.167 0.263  -1.167 0.142  -1.167 0.021  -1.167 -0.100  -1.167 -0.221  -1.121 -0.332  -1.119 -0.452  -1.071 -0.526  -0.970 -0.573  -0.866 -0.544  -0.812 -0.435  -0.758 -0.327  -0.684 -0.233  -0.598 -0.147  -0.580 -0.034  -0.494 0.052  -0.409 0.138  -0.356 0.237  -0.338 0.351  -0.253 0.437  -0.155 0.505  -0.082 0.595  0.024 0.619  0.145 0.619  0.216 0.569  0.284 0.490  0.352 0.395  0.359 0.275  0.359 0.154  0.359 0.033  0.359 -0.088  0.407 -0.190  0.471 -0.271  0.502 -0.373  0.614 -0.382  0.736 -0.382  0.857 -0.382  0.976 -0.364  1.095 -0.340  1.174 -0.257  1.260 -0.191  1.370 -0.153  1.456 -0.078  1.544 -0.026  1.658 0.011  1.764 0.047  1.885 0.047
1c#tos#f2#f2051059/p  -0.322 1.380  -0.322 1.177  -0.322 0.974  -0.322 0.771  -0.322 0.568  -0.322 0.365  -0.322 0.162  -0.322 -0.041  -0.322 -0.244  -0.322 -0.447  -0.322 -0.650  -0.322 -0.853  -0.322 -1.056  -0.322 -1.259  -0.319 -1.462  -0.240 -1.646  -0.212 -1.837  -0.106 -1.743  -0.119 -1.540  -0.132 -1.338  -0.146 -1.135  -0.159 -0.932  -0.172 -0.730  -0.185 -0.527  -0.199 -0.325  -0.212 -0.122  -0.225 0.081  -0.238 0.283  -0.251 0.486  -0.265 0.689  -0.410 0.780  -0.422 0.961  -0.299 1.108  -0.118 1.162  0.085 1.162  0.288 1.162  0.431 1.075  0.617 0.993  0.808 0.944  0.878 0.811  0.968 0.673  1.042 0.493  1.042 0.289  0.937 0.130  0.739 0.087  0.549 0.034  0.389 -0.090  0.217 -0.177  0.048 -0.281  -0.103 -0.365
1c#tos#f2#f2051059/q  0.393 1.100  0.216 1.100  0.180 1.241  0.022 1.288  -0.155 1.288  -0.332 1.288  -0.462 1.201  -0.599 1.097  -0.692 0.974  -0.727 0.800  -0.846 0.686  -0.880 0.517  -0.920 0.346  -0.920 0.169  -0.920 -0.008  -0.811 -0.099  -0.636 -0.119  -0.463 -0.092  -0.299 -0.055  -0.193 0.085  -0.043 0.179  0.114 0.259  0.195 0.412  0.299 0.549  0.325 0.718  0.393 0.874  0.393 0.868  0.393 0.691  0.393 0.514  0.393 0.337  0.393 0.160  0.393 -0.017  0.393 -0.194  0.393 -0.371  0.393 -0.548  0.393 -0.725  0.353 -0.896  0.346 -1.072  0.346 -1.249  0.346 -1.426  0.346 -1.603  0.269 -1.607  0.113 -1.573  0.065 -1.417  0.065 -1.240  0.153 -1.150  0.228 -1.010  0.302 -0.866  0.368 -0.728  0.534 -0.682
1c#tos#f2#f2051059/r  -0.350 1.286  -0.476 1.286  -0.574 1.218  -0.585 1.097  -0.585 0.970  -0.585 0.844  -0.585 0.718  -0.585 0.592  -0.585 0.466  -0.585 0.340  -0.585 0.214  -0.552 0.094  -0.512 -0.026  -0.506 -0.151  -0.506 -0.277  -0.506 -0.403  -0.506 -0.529  -0.506 -0.655  -0.506 -0.781  -0.506 -0.907  -0.506 -1.033  -0.506 -1.159  -0.506 -1.285  -0.428 -1.259  -0.428 -1.133  -0.428 -1.007  -0.411 -0.888  -0.322 -0.799  -0.247 -0.699  -0.191 -0.587  -0.135 -0.474  -0.057 -0.377  0.017 -0.275  0.087 -0.171  0.119 -0.054  0.227 -0.001  0.344 0.046  0.461 0.092  0.562 0.164  0.651 0.253  0.740 0.342  0.829 0.431  0.924 0.511  1.044 0.551  1.165 0.582  1.291 0.582  1.417 0.582  1.543 0.582  1.669 0.582  1.762 0.503
