1c#tos#f2#f2064063/a  -0.123 0.249  -0.123 0.056  -0.062 -0.077  0.131 -0.077  0.194 0.054  0.202 0.238  0.202 0.431  0.202 0.624  0.169 0.803  0.016 0.900  0.007 1.084  -0.175 1.095  -0.368 1.095  -0.561 1.095  -0.624 0.965  -0.709 0.857  -0.851 0.740  -0.950 0.594  -1.067 0.444  -1.100 0.258  -1.100 0.065  -1.152 -0.116  -1.165 -0.306  -1.165 -0.499  -1.139 -0.676  -1.024 -0.798  -0.845 -0.858  -0.652 -0.858  -0.459 -0.858  -0.272 -0.814  -0.188 -0.686  -0.041 -0.580  0.106 -0.467  0.246 -0.381  0.274 -0.195  0.333 -0.016  0.412 0.160  0.463 0.345  0.528 0.378  0.574 0.203  0.593 0.018  0.690 -0.140  0.761 -0.310  0.898 -0.446  1.073 -0.491  1.209 -0.627  1.388 -0.663  1.581 -0.661  1.770 -0.623  1.895 -0.532
1c#tos#f2#f2064063/e  -0.380 0.964  -0.558 0.964  -0.574 0.802  -0.639 0.689  -0.639 0.512  -0.583 0.343  -0.458 0.249  -0.351 0.107  -0.316 -0.059  -0.149 -0.069  0.029 -0.069  0.206 -0.069  0.384 -0.069  0.562 -0.069  0.636 0.074  0.708 0.236  0.759 0.401  0.782 0.573  0.782 0.751  0.752 0.899  0.575 0.899  0.523 1.026  0.349 1.028  0.171 1.028  -0.006 1.028  -0.184 1.028  -0.316 0.983  -0.400 0.857  -0.516 0.729  -0.597 0.573  -0.639 0.402  -0.639 0.224  -0.639 0.047  -0.639 -0.131  -0.639 -0.309  -0.639 -0.486  -0.627 -0.656  -0.510 -0.761  -0.479 -0.909  -0.325 -0.964  -0.199 -1.090  -0.037 -1.145  0.135 -1.167  0.261 -1.292  0.410 -1.361  0.588 -1.361  0.766 -1.361  0.943 -1.361  1.121 -1.361  1.234 -1.296
1c#tos#f2#f2064063/f  -0.659 0.443  -0.668 0.400  -0.549 0.400  -0.431 0.400  -0.312 0.400  -0.201 0.425  -0.103 0.492  -0.006 0.560  0.091 0.628  0.189 0.696  0.286 0.763  0.384 0.831  0.481 0.899  0.579 0.967  0.676 1.035  0.697 1.078  0.578 1.078  0.460 1.078  0.341 1.078  0.232 1.037  0.114 1.036  0.019 0.988  -0.055 0.914  -0.066 0.803  -0.066 0.684  -0.066 0.565  -0.066 0.447  -0.066 0.328  -0.066 0.209  -0.066 0.091  -0.051 -0.026  -0.024 -0.140  -0.024 -0.259  -0.024 -0.377  0.020 -0.469  0.061 -0.562  0.061 -0.681  0.061 -0.800  0.061 -0.918  0.061 -1.037  0.061 -1.156  0.025 -1.264  -0.024 -1.367  -0.045 -1.464  -0.120 -1.546  -0.179 -1.649  -0.281 -1.676  -0.363 -1.713  -0.424 -1.803  -0.532 -1.846
1c#tos#f2#f2064063/i  -0.188 0.177  -0.179 0.071  -0.169 -0.036  -0.160 -0.142  -0.151 -0.249  -0.142 -0.355  -0.132 -0.461  -0.123 -0.568  -0.114 -0.674  -0.105 -0.780  -0.095 -0.887  -0.086 -0.993  -0.077 -1.100  -0.068 -1.206  -0.058 -1.312  -0.049 -1.419  -0.047 -1.461  -0.040 -1.355  -0.034 -1.248  -0.027 -1.142  -0.021 -1.035  -0.014 -0.928  -0.007 -0.822  -0.001 -0.715  0.006 -0.609  0.012 -0.502  0.019 -0.396  0.025 -0.289  0.032 -0.182  0.038 -0.076  0.045 0.031  0.051 0.137  0.058 0.244  0.064 0.351  0.071 0.457  0.077 0.564  0.084 0.670  0.090 0.777  0.097 0.883  0.103 0.990  0.110 1.097  0.117 1.203  0.123 1.310  0.130 1.416  0.136 1.523  0.143 1.630  0.149 1.736  0.156 1.843  0.128 1.917  0.021 1.917
1c#tos#f2#f2064063/j  0.105 0.951  0.016 1.011  -0.072 1.050  -0.117 1.138  -0.117 1.245  -0.116 1.262  -0.009 1.262  0.061 1.225  0.115 1.160  0.218 1.134  0.324 1.129  0.413 1.085  0.475 1.040  0.444 0.991  0.361 0.923  0.279 0.856  0.196 0.788  0.113 0.720  0.031 0.653  0.016 0.553  -0.028 0.490  -0.028 0.383  0.010 0.292  0.061 0.206  0.061 0.099  0.061 -0.007  0.141 -0.064  0.193 -0.156  0.238 -0.252  0.238 -0.359  0.238 -0.466  0.238 -0.573  0.238 -0.679  0.238 -0.786  0.238 -0.893  0.194 -0.956  0.194 -1.062  0.150 -1.125  0.069 -1.177  -0.022 -1.216  -0.108 -1.266  -0.215 -1.266  -0.321 -1.266  -0.428 -1.266  -0.535 -1.266  -0.618 -1.208  -0.712 -1.177  -0.798 -1.144  -0.858 -1.057  -0.871 -0.956
1c#tos#f2#f2064063/n  -0.460 1.176  -0.619 1.176  -0.696 1.095  -0.696 0.936  -0.696 0.777  -0.696 0.619  -0.696 0.460  -0.696 0.301  -0.696 0.142  -0.696 -0.017  -0.696 -0.175  -0.696 -0.334  -0.696 -0.493  -0.652 -0.641  -0.617 -0.792  -0.617 -0.951  -0.617 -1.109  -0.617 -1.255  -0.612 -1.099  -0.539 -0.970  -0.539 -0.811  -0.539 -0.653  -0.506 -0.504  -0.417 -0.372  -0.381 -0.224  -0.329 -0.081  -0.240 0.051  -0.224 0.205  -0.224 0.364  -0.176 0.493  -0.067 0.584  0.050 0.626  0.169 0.665  0.256 0.783  0.415 0.783  0.562 0.772  0.653 0.699  0.795 0.628  0.822 0.475  0.873 0.325  0.912 0.171  0.951 0.017  1.009 -0.108  1.113 -0.203  1.144 -0.349  1.192 -0.488  1.206 -0.632  1.363 -0.639  1.505 -0.710  1.663 -0.711
1c#tos#f2#f2064063/o  0.479 0.768  0.331 0.768  0.189 0.780  0.085 0.885  -0.053 0.907  -0.201 0.907  -0.348 0.907  -0.488 0.875  -0.620 0.809  -0.727 0.719  -0.806 0.596  -0.854 0.466  -0.911 0.332  -0.911 0.184  -0.958 0.048  -0.980 -0.094  -0.980 -0.242  -0.980 -0.389  -0.980 -0.537  -0.936 -0.666  -0.861 -0.791  -0.748 -0.876  -0.659 -0.985  -0.545 -1.038  -0.397 -1.038  -0.250 -1.038  -0.102 -1.038  0.045 -1.038  0.193 -1.038  0.340 -1.038  0.445 -0.968  0.529 -0.850  0.630 -0.743  0.712 -0.620  0.804 -0.505  0.908 -0.401  1.012 -0.297  1.035 -0.159  1.035 -0.011  1.035 0.136  1.034 0.283  0.929 0.388  0.851 0.511  0.734 0.560  0.616 0.631  0.497 0.699  0.419 0.768  0.278 0.799  0.140 0.838  -0.007 0.838
1c#tos#f2#f2064063/s  0.848 0.631  0.906 0.717  0.906 0.828  0.906 0.938  0.906 1.048  0.837 1.090  0.727 1.090  0.617 1.090  0.507 1.090  0.397 1.082  0.288 1.063  0.180 1.045  0.071 1.033  -0.040 1.033  -0.126 0.976  -0.204 0.898  -0.282 0.820  -0.356 0.740  -0.405 0.656  -0.497 0.595  -0.528 0.502  -0.528 0.392  -0.528 0.281  -0.528 0.171  -0.450 0.093  -0.412 -0.001  -0.324 -0.067  -0.236 -0.133  -0.184 -0.218  -0.143 -0.287  -0.070 -0.323  -0.037 -0.402  0.045 -0.429  0.112 -0.504  0.204 -0.565  0.217 -0.668  0.217 -0.778  0.217 -0.888  0.194 -0.975  0.084 -0.975  -0.012 -0.989  -0.021 -1.094  -0.119 -1.144  -0.199 -1.219  -0.286 -1.284  -0.385 -1.334  -0.485 -1.377  -0.595 -1.377  -0.648 -1.434  -0.758 -1.434
1c#tos#f2#f2064063/t  -0.273 0.167  -0.458 0.189  -0.636 0.238  -0.826 0.238  -1.016 0.238  -1.206 0.238  -1.396 0.238  -1.586 0.238  -1.443 0.238  -1.253 0.238  -1.063 0.238  -0.873 0.238  -0.683 0.238  -0.493 0.238  -0.303 0.238  -0.114 0.238  0.076 0.238  0.266 0.238  0.456 0.238  0.646 0.238  0.836 0.238  1.026 0.238  1.216 0.238  1.344 0.176  1.164 0.167  1.046 0.245  0.872 0.322  0.699 0.399  0.525 0.477  0.430 0.605  0.360 0.724  0.316 0.870  0.224 1.007  0.219 0.828  0.200 0.650  0.079 0.535  0.079 0.345  0.079 0.155  0.079 -0.035  0.079 -0.225  0.079 -0.415  0.079 -0.605  0.079 -0.795  0.109 -0.979  0.149 -1.163  0.149 -1.353  0.149 -1.543  0.149 -1.733  0.149 -1.922  0.219 -2.083
1c#tos#f2#f2064063/u  -0.547 0.843  -0.656 0.843  -0.764 0.843  -0.841 0.783  -0.841 0.675  -0.890 0.616  -0.890 0.508  -0.890 0.400  -0.890 0.292  -0.890 0.184  -0.890 0.076  -0.890 -0.032  -0.890 -0.140  -0.890 -0.249  -0.890 -0.357  -0.870 -0.459  -0.810 -0.549  -0.758 -0.643  -0.743 -0.748  -0.658 -0.771  -0.550 -0.771  -0.491 -0.820  -0.383 -0.820  -0.275 -0.820  -0.167 -0.820  -0.064 -0.798  0.033 -0.750  0.129 -0.702  0.226 -0.653  0.319 -0.598  0.405 -0.533  0.490 -0.467  0.566 -0.391  0.619 -0.297  0.691 -0.217  0.767 -0.141  0.850 -0.073  0.920 -0.008  0.920 0.100  0.947 0.200  1.007 0.290  1.039 0.392  1.065 0.497  1.113 0.594  1.115 0.702  1.115 0.810  1.091 0.914  1.038 0.989  0.930 0.989  0.920 1.087
1c#tos#f2#f2064063/x  1.347 1.237  1.219 1.313  1.045 1.283  1.037 1.086  0.867 1.032  0.775 0.850  0.743 0.653  0.565 0.588  0.416 0.485  0.344 0.296  0.239 0.121  0.138 -0.055  0.138 -0.259  0.049 -0.421  -0.110 -0.548  -0.278 -0.652  -0.425 -0.736  -0.501 -0.926  -0.624 -1.071  -0.693 -1.232  -0.693 -1.436  -0.686 -1.478  -0.668 -1.275  -0.649 -1.072  -0.631 -0.869  -0.612 -0.665  -0.594 -0.462  -0.575 -0.259  -0.557 -0.056  -0.538 0.147  -0.520 0.350  -0.501 0.554  -0.483 0.757  -0.467 0.960  -0.620 1.010  -0.730 0.971  -0.575 0.845  -0.386 0.774  -0.270 0.633  -0.206 0.462  -0.166 0.262  0.004 0.154  0.179 0.049  0.287 -0.119  0.474 -0.157  0.591 -0.312  0.632 -0.507  0.723 -0.689  0.901 -0.735  1.045 -0.879
