1c#tos#t1#t1013062/b  -0.078 1.985  -0.210 2.023  -0.265 1.984  -0.265 1.815  -0.265 1.647  -0.265 1.478  -0.309 1.322  -0.340 1.163  -0.340 0.994  -0.340 0.825  -0.340 0.656  -0.340 0.487  -0.317 0.321  -0.303 0.154  -0.270 -0.011  -0.265 -0.180  -0.265 -0.348  -0.265 -0.517  -0.265 -0.686  -0.265 -0.855  -0.265 -1.024  -0.228 -1.080  -0.228 -0.911  -0.228 -0.742  -0.228 -0.574  -0.191 -0.420  -0.191 -0.251  -0.153 -0.098  -0.103 0.030  -0.041 0.185  0.034 0.301  0.200 0.303  0.369 0.303  0.538 0.303  0.660 0.228  0.725 0.089  0.819 -0.025  0.819 -0.194  0.819 -0.363  0.744 -0.485  0.676 -0.612  0.594 -0.705  0.520 -0.843  0.387 -0.931  0.263 -1.038  0.127 -1.118  -0.027 -1.178  -0.189 -1.192  -0.340 -1.174  -0.303 -1.043
1c#tos#t1#t1013062/c  0.967 0.464  0.955 0.573  0.858 0.597  0.858 0.719  0.814 0.812  0.749 0.893  0.634 0.899  0.521 0.932  0.426 1.005  0.306 1.008  0.185 1.008  0.064 1.008  -0.057 1.008  -0.177 1.006  -0.232 0.899  -0.339 0.886  -0.365 0.791  -0.486 0.791  -0.538 0.700  -0.619 0.611  -0.666 0.501  -0.679 0.383  -0.733 0.275  -0.774 0.164  -0.793 0.047  -0.829 -0.066  -0.829 -0.187  -0.829 -0.308  -0.829 -0.429  -0.829 -0.550  -0.783 -0.636  -0.666 -0.665  -0.611 -0.743  -0.534 -0.788  -0.436 -0.842  -0.339 -0.898  -0.271 -0.951  -0.149 -0.951  -0.028 -0.951  0.093 -0.951  0.214 -0.951  0.333 -0.941  0.443 -0.891  0.560 -0.862  0.679 -0.842  0.800 -0.842  0.864 -0.782  0.950 -0.696  1.021 -0.637  1.130 -0.624
1c#tos#t1#t1013062/d  0.271 0.089  0.202 0.028  0.097 0.157  -0.034 0.260  -0.228 0.191  -0.393 0.123  -0.504 -0.022  -0.551 -0.199  -0.688 -0.328  -0.722 -0.507  -0.722 -0.721  -0.688 -0.926  -0.619 -1.124  -0.551 -1.269  -0.417 -1.349  -0.252 -1.349  -0.120 -1.212  -0.050 -1.024  0.014 -0.827  0.031 -0.619  0.099 -0.426  0.102 -0.213  0.134 -0.004  0.134 0.209  0.134 0.423  0.142 0.636  0.168 0.846  0.174 1.058  0.202 1.265  0.202 1.479  0.237 1.658  0.237 1.872  0.163 1.859  0.134 1.652  0.134 1.438  0.134 1.224  0.134 1.011  0.129 0.798  0.100 0.592  0.100 0.378  0.100 0.164  0.100 -0.049  0.134 -0.255  0.168 -0.464  0.168 -0.678  0.215 -0.885  0.323 -1.060  0.436 -1.206  0.573 -1.343  0.716 -1.349
1c#tos#t1#t1013062/e  -0.431 0.146  -0.607 0.146  -0.692 0.099  -0.518 0.092  -0.359 0.052  -0.183 0.052  -0.007 0.052  0.130 -0.043  0.307 -0.043  0.483 -0.043  0.657 -0.039  0.777 0.052  0.942 0.099  1.033 0.184  1.033 0.360  0.938 0.442  0.859 0.587  0.723 0.671  0.610 0.805  0.493 0.901  0.341 0.979  0.172 0.996  0.042 1.097  -0.094 1.137  -0.270 1.137  -0.434 1.087  -0.581 0.996  -0.705 0.929  -0.775 0.793  -0.855 0.650  -0.855 0.474  -0.855 0.298  -0.855 0.122  -0.855 -0.055  -0.855 -0.231  -0.761 -0.368  -0.752 -0.543  -0.664 -0.682  -0.528 -0.770  -0.417 -0.906  -0.273 -1.003  -0.148 -1.128  0.027 -1.129  0.170 -1.210  0.341 -1.223  0.517 -1.223  0.693 -1.223  0.869 -1.223  1.046 -1.223  1.127 -1.129
1c#tos#t1#t1013062/f  -0.767 -0.056  -0.873 -0.147  -0.774 -0.178  -0.625 -0.178  -0.475 -0.178  -0.326 -0.178  -0.177 -0.178  -0.040 -0.147  0.109 -0.147  0.251 -0.117  0.385 -0.083  0.404 0.065  0.423 0.213  0.443 0.361  0.462 0.509  0.481 0.657  0.501 0.805  0.520 0.953  0.539 1.101  0.558 1.249  0.505 1.338  0.393 1.398  0.244 1.398  0.095 1.398  -0.030 1.358  -0.065 1.222  -0.149 1.103  -0.188 0.959  -0.192 0.810  -0.192 0.661  -0.192 0.511  -0.175 0.364  -0.118 0.228  -0.070 0.093  -0.048 -0.054  -0.023 -0.199  -0.010 -0.346  0.017 -0.493  0.021 -0.642  0.051 -0.788  0.061 -0.935  0.081 -1.081  0.081 -1.231  0.081 -1.380  0.038 -1.502  -0.034 -1.626  -0.138 -1.693  -0.226 -1.753  -0.376 -1.753  -0.464 -1.693
1c#tos#t1#t1013062/g  0.596 0.663  0.468 0.762  0.441 0.961  0.340 1.088  0.214 1.238  0.035 1.303  -0.139 1.388  -0.342 1.364  -0.506 1.273  -0.598 1.083  -0.678 0.881  -0.683 0.656  -0.683 0.429  -0.568 0.297  -0.361 0.236  -0.134 0.236  0.045 0.302  0.159 0.481  0.319 0.642  0.383 0.679  0.340 0.494  0.340 0.267  0.340 0.040  0.340 -0.187  0.340 -0.414  0.340 -0.641  0.340 -0.869  0.340 -1.096  0.212 -1.227  0.170 -1.412  0.086 -1.555  -0.141 -1.555  -0.326 -1.512  -0.486 -1.411  -0.641 -1.298  -0.729 -1.125  -0.854 -0.940  -0.854 -0.713  -0.792 -0.512  -0.634 -0.391  -0.513 -0.233  -0.303 -0.190  -0.164 -0.088  0.049 -0.018  0.268 0.041  0.473 0.108  0.700 0.108  0.927 0.108  1.155 0.108  1.364 0.151
1c#tos#t1#t1013062/i  0.202 0.075  0.154 0.017  0.154 -0.090  0.154 -0.197  0.154 -0.303  0.154 -0.410  0.154 -0.517  0.154 -0.624  0.154 -0.730  0.154 -0.837  0.154 -0.944  0.124 -1.044  0.106 -1.146  0.106 -1.253  0.067 -1.350  0.058 -1.455  0.102 -1.414  0.092 -1.308  0.083 -1.202  0.073 -1.095  0.064 -0.989  0.054 -0.883  0.045 -0.776  0.035 -0.670  0.026 -0.564  0.016 -0.457  0.007 -0.351  -0.003 -0.245  -0.012 -0.138  -0.022 -0.032  -0.031 0.074  -0.041 0.181  -0.051 0.287  -0.060 0.393  -0.070 0.499  -0.079 0.606  -0.089 0.712  -0.098 0.818  -0.108 0.925  -0.117 1.031  -0.127 1.137  -0.136 1.244  -0.146 1.350  -0.155 1.456  -0.165 1.563  -0.174 1.669  -0.199 1.759  -0.306 1.759  -0.337 1.759  -0.279 1.711
1c#tos#t1#t1013062/k  -0.291 2.257  -0.291 2.117  -0.291 1.926  -0.291 1.734  -0.294 1.543  -0.333 1.361  -0.333 1.170  -0.333 0.978  -0.339 0.788  -0.416 0.615  -0.416 0.423  -0.416 0.232  -0.416 0.040  -0.416 -0.151  -0.416 -0.343  -0.416 -0.534  -0.416 -0.726  -0.416 -0.917  -0.416 -1.108  -0.376 -1.108  -0.252 -0.962  -0.129 -0.815  -0.006 -0.669  0.118 -0.523  0.241 -0.376  0.365 -0.230  0.488 -0.084  0.612 0.063  0.708 0.219  0.625 0.327  0.449 0.343  0.257 0.343  0.073 0.298  -0.105 0.228  -0.276 0.142  -0.416 0.053  -0.541 -0.014  -0.457 -0.154  -0.369 -0.281  -0.178 -0.281  -0.089 -0.422  0.080 -0.489  0.180 -0.628  0.351 -0.697  0.507 -0.785  0.660 -0.899  0.830 -0.957  1.018 -0.989  1.209 -0.990  1.374 -1.072
1c#tos#t1#t1013062/l  0.154 1.558  0.083 1.558  0.025 1.544  0.067 1.515  0.068 1.444  0.068 1.373  0.068 1.302  0.068 1.231  0.068 1.160  0.068 1.089  0.068 1.018  0.068 0.947  0.050 0.880  0.025 0.814  0.025 0.743  0.025 0.672  0.011 0.603  -0.006 0.534  -0.018 0.464  -0.018 0.393  -0.018 0.322  -0.018 0.251  -0.018 0.180  -0.018 0.108  -0.018 0.037  -0.018 -0.034  -0.018 -0.105  -0.018 -0.176  -0.018 -0.247  -0.018 -0.318  -0.018 -0.389  -0.018 -0.461  -0.018 -0.532  -0.018 -0.603  -0.018 -0.674  -0.018 -0.745  -0.018 -0.816  -0.018 -0.887  -0.018 -0.959  -0.035 -1.013  -0.060 -1.058  -0.060 -1.129  -0.060 -1.200  -0.060 -1.271  -0.060 -1.342  -0.060 -1.414  -0.060 -1.485  -0.060 -1.556  -0.060 -1.627  -0.060 -1.698
1c#tos#t1#t1013062/m  -1.210 -0.401  -1.363 -0.468  -1.465 -0.522  -1.414 -0.353  -1.363 -0.183  -1.283 0.010  -1.210 0.206  -1.147 0.363  -1.057 0.532  -0.955 0.650  -0.828 0.796  -0.639 0.872  -0.575 0.707  -0.497 0.535  -0.497 0.315  -0.497 0.095  -0.497 -0.125  -0.497 -0.345  -0.497 -0.565  -0.497 -0.785  -0.403 -0.911  -0.353 -0.716  -0.299 -0.524  -0.174 -0.366  -0.089 -0.166  0.014 0.012  0.109 0.205  0.165 0.411  0.259 0.566  0.378 0.668  0.488 0.549  0.522 0.343  0.522 0.123  0.522 -0.097  0.522 -0.317  0.522 -0.537  0.573 -0.504  0.675 -0.347  0.689 -0.133  0.827 0.030  0.892 0.223  0.980 0.377  1.061 0.515  1.281 0.515  1.366 0.333  1.388 0.122  1.388 -0.098  1.388 -0.318  1.388 -0.538  1.388 -0.758
1c#tos#t1#t1013062/o  0.047 0.917  -0.104 0.917  -0.194 0.856  -0.345 0.856  -0.496 0.856  -0.526 0.735  -0.618 0.677  -0.618 0.526  -0.671 0.388  -0.679 0.239  -0.725 0.099  -0.739 -0.048  -0.739 -0.199  -0.739 -0.350  -0.739 -0.500  -0.700 -0.635  -0.679 -0.777  -0.611 -0.912  -0.541 -1.045  -0.457 -1.170  -0.322 -1.200  -0.232 -1.260  -0.081 -1.260  0.070 -1.260  0.215 -1.225  0.340 -1.149  0.427 -1.079  0.503 -0.985  0.615 -0.886  0.712 -0.795  0.771 -0.658  0.785 -0.511  0.833 -0.371  0.833 -0.221  0.833 -0.070  0.833 0.081  0.815 0.227  0.772 0.368  0.669 0.476  0.652 0.620  0.598 0.754  0.502 0.856  0.410 0.914  0.347 1.037  0.196 1.037  0.045 1.037  -0.106 1.037  -0.256 1.037  -0.407 1.037  -0.497 0.977
