1c#tos#t1#t1051062/c  0.504 0.336  0.611 0.346  0.611 0.463  0.611 0.579  0.611 0.696  0.611 0.813  0.510 0.867  0.450 0.927  0.421 1.036  0.334 1.084  0.217 1.084  0.183 1.167  0.091 1.191  -0.024 1.176  -0.134 1.139  -0.191 1.046  -0.236 0.940  -0.287 0.856  -0.398 0.819  -0.430 0.714  -0.458 0.604  -0.540 0.521  -0.578 0.418  -0.636 0.318  -0.672 0.216  -0.672 0.099  -0.672 -0.017  -0.672 -0.134  -0.648 -0.245  -0.618 -0.355  -0.618 -0.471  -0.618 -0.588  -0.618 -0.705  -0.618 -0.822  -0.530 -0.884  -0.438 -0.946  -0.321 -0.946  -0.216 -0.975  -0.132 -1.053  -0.015 -1.053  0.101 -1.053  0.218 -1.053  0.335 -1.053  0.451 -1.053  0.566 -1.038  0.679 -1.009  0.795 -1.000  0.912 -1.000  1.028 -1.000  1.145 -1.000
1c#tos#t1#t1051062/d  0.128 -0.288  0.128 -0.131  0.128 0.087  0.033 0.246  -0.039 0.392  -0.236 0.441  -0.454 0.441  -0.568 0.329  -0.679 0.154  -0.747 -0.043  -0.778 -0.253  -0.796 -0.467  -0.844 -0.673  -0.844 -0.891  -0.844 -1.108  -0.747 -1.266  -0.574 -1.294  -0.360 -1.260  -0.261 -1.074  -0.150 -0.924  -0.110 -0.718  -0.002 -0.531  0.031 -0.319  0.076 -0.107  0.144 0.100  0.204 0.309  0.225 0.524  0.259 0.736  0.322 0.943  0.322 1.161  0.322 1.378  0.274 1.547  0.274 1.765  0.225 1.768  0.225 1.550  0.233 1.334  0.289 1.124  0.322 0.911  0.322 0.694  0.322 0.476  0.322 0.259  0.340 0.043  0.371 -0.173  0.371 -0.390  0.371 -0.608  0.371 -0.825  0.413 -1.038  0.504 -1.235  0.551 -1.445  0.614 -1.649
1c#tos#t1#t1051062/g  -0.076 0.333  0.106 0.333  0.152 0.472  0.236 0.594  0.370 0.668  0.370 0.851  0.356 1.030  0.281 1.160  0.129 1.225  0.018 1.354  -0.143 1.404  -0.326 1.404  -0.464 1.359  -0.567 1.246  -0.688 1.120  -0.746 0.973  -0.746 0.791  -0.729 0.612  -0.645 0.466  -0.480 0.424  -0.299 0.422  -0.127 0.466  0.046 0.505  0.217 0.486  0.286 0.323  0.326 0.150  0.326 -0.032  0.334 -0.211  0.370 -0.379  0.370 -0.561  0.370 -0.744  0.353 -0.923  0.326 -1.101  0.326 -1.284  0.326 -1.466  0.238 -1.587  0.055 -1.587  -0.125 -1.571  -0.301 -1.539  -0.382 -1.376  -0.389 -1.195  -0.389 -1.013  -0.289 -0.862  -0.178 -0.719  -0.080 -0.566  0.048 -0.436  0.216 -0.369  0.380 -0.292  0.554 -0.243  0.683 -0.114
1c#tos#t1#t1051062/h  -0.222 1.452  -0.270 1.570  -0.310 1.690  -0.369 1.757  -0.397 1.657  -0.397 1.530  -0.397 1.402  -0.397 1.275  -0.397 1.147  -0.397 1.020  -0.397 0.893  -0.397 0.765  -0.397 0.638  -0.397 0.510  -0.397 0.383  -0.397 0.255  -0.397 0.128  -0.397 0.000  -0.397 -0.127  -0.397 -0.254  -0.397 -0.382  -0.377 -0.507  -0.353 -0.631  -0.353 -0.759  -0.353 -0.886  -0.353 -1.014  -0.310 -0.976  -0.310 -0.848  -0.266 -0.731  -0.216 -0.621  -0.139 -0.519  -0.081 -0.415  0.019 -0.337  0.099 -0.247  0.167 -0.164  0.251 -0.120  0.335 -0.076  0.444 -0.120  0.544 -0.187  0.607 -0.263  0.654 -0.346  0.694 -0.467  0.695 -0.594  0.719 -0.712  0.782 -0.813  0.813 -0.921  0.913 -0.970  0.974 -1.037  1.101 -1.037  1.218 -0.993
1c#tos#t1#t1051062/i  -0.874 -1.084  -0.823 -0.972  -0.809 -0.815  -0.758 -0.669  -0.716 -0.512  -0.671 -0.360  -0.602 -0.247  -0.504 -0.146  -0.472 0.013  -0.416 0.164  -0.380 0.290  -0.315 0.294  -0.304 0.132  -0.272 -0.027  -0.264 -0.189  -0.206 -0.328  -0.091 -0.443  -0.060 -0.593  -0.017 -0.743  0.083 -0.871  0.198 -0.986  0.331 -1.076  0.482 -1.126  0.642 -1.135  0.805 -1.134  0.940 -1.044  1.008 -0.941  0.935 -0.797  0.857 -0.654  0.779 -0.511  0.701 -0.368  0.623 -0.226  0.545 -0.083  0.467 0.060  0.389 0.203  0.311 0.346  0.233 0.489  0.155 0.632  0.078 0.774  -0.000 0.917  -0.078 1.060  -0.156 1.203  -0.241 1.342  -0.342 1.469  -0.460 1.562  -0.413 1.562  -0.286 1.504  -0.163 1.409  -0.012 1.349  0.143 1.307
1c#tos#t1#t1051062/j  0.106 0.764  0.173 0.843  0.198 0.963  0.209 0.827  0.272 0.709  0.272 0.564  0.287 0.421  0.326 0.282  0.338 0.138  0.341 -0.007  0.372 -0.148  0.372 -0.293  0.372 -0.438  0.372 -0.583  0.372 -0.728  0.368 -0.872  0.338 -1.012  0.338 -1.157  0.269 -1.258  0.204 -1.357  0.059 -1.357  -0.086 -1.357  -0.230 -1.354  -0.356 -1.291  -0.497 -1.266  -0.607 -1.175  -0.699 -1.071  -0.704 -0.944  -0.652 -0.808  -0.601 -0.672  -0.550 -0.537  -0.498 -0.401  -0.447 -0.266  -0.396 -0.130  -0.344 0.006  -0.293 0.141  -0.242 0.277  -0.190 0.413  -0.139 0.548  -0.088 0.684  -0.037 0.819  0.015 0.955  0.066 1.091  0.117 1.226  0.169 1.362  0.201 1.498  0.115 1.593  0.213 1.519  0.336 1.445  0.471 1.394
1c#tos#t1#t1051062/k  -0.487 1.635  -0.345 1.734  -0.345 1.936  -0.392 1.939  -0.392 1.737  -0.392 1.535  -0.392 1.333  -0.392 1.131  -0.324 0.942  -0.297 0.745  -0.297 0.543  -0.297 0.341  -0.297 0.139  -0.297 -0.064  -0.297 -0.266  -0.297 -0.468  -0.297 -0.670  -0.297 -0.872  -0.297 -1.074  -0.250 -1.256  -0.297 -1.399  -0.345 -1.209  -0.345 -1.007  -0.345 -0.804  -0.345 -0.602  -0.345 -0.400  -0.281 -0.217  -0.202 -0.036  -0.158 0.156  -0.004 0.266  0.163 0.352  0.317 0.400  0.519 0.400  0.653 0.295  0.653 0.093  0.590 -0.058  0.427 -0.123  0.236 -0.170  0.034 -0.170  -0.107 -0.082  -0.018 -0.120  0.083 -0.224  0.196 -0.379  0.367 -0.455  0.488 -0.616  0.648 -0.737  0.771 -0.891  0.959 -0.965  1.107 -1.100  1.270 -1.215
1c#tos#t1#t1051062/l  -0.959 -0.692  -0.959 -0.847  -0.973 -0.907  -0.818 -0.907  -0.678 -0.884  -0.582 -0.772  -0.443 -0.703  -0.295 -0.661  -0.178 -0.583  -0.084 -0.462  0.038 -0.368  0.171 -0.289  0.253 -0.179  0.352 -0.062  0.411 0.080  0.441 0.230  0.479 0.369  0.494 0.517  0.494 0.672  0.494 0.826  0.480 0.979  0.443 1.129  0.441 1.283  0.441 1.438  0.367 1.540  0.217 1.569  0.068 1.544  -0.030 1.435  -0.098 1.296  -0.098 1.141  -0.098 0.987  -0.098 0.832  -0.159 0.692  -0.205 0.548  -0.205 0.394  -0.205 0.239  -0.205 0.084  -0.205 -0.070  -0.205 -0.225  -0.205 -0.379  -0.165 -0.517  -0.055 -0.627  -0.010 -0.772  0.042 -0.917  0.111 -1.055  0.182 -1.192  0.268 -1.321  0.374 -1.433  0.501 -1.499  0.656 -1.499
1c#tos#t1#t1051062/n  -0.759 1.041  -0.794 1.164  -0.954 1.164  -0.925 1.102  -0.882 0.986  -0.775 0.871  -0.697 0.733  -0.697 0.573  -0.697 0.414  -0.697 0.255  -0.697 0.095  -0.633 -0.045  -0.573 -0.186  -0.573 -0.345  -0.573 -0.505  -0.573 -0.664  -0.571 -0.823  -0.520 -0.974  -0.511 -1.132  -0.511 -1.292  -0.449 -1.187  -0.377 -1.044  -0.306 -0.902  -0.263 -0.752  -0.263 -0.593  -0.263 -0.433  -0.186 -0.306  -0.078 -0.192  -0.078 -0.032  -0.001 0.104  0.088 0.236  0.173 0.370  0.224 0.522  0.306 0.657  0.387 0.794  0.509 0.855  0.643 0.793  0.776 0.731  0.789 0.584  0.815 0.431  0.851 0.280  0.888 0.136  0.974 0.013  0.998 -0.143  1.073 -0.259  1.158 -0.379  1.222 -0.524  1.222 -0.683  1.310 -0.754  1.470 -0.754
1c#tos#t1#t1051062/o  -0.206 0.740  -0.206 0.887  -0.206 1.034  -0.277 1.127  -0.389 1.182  -0.445 1.055  -0.508 0.923  -0.550 0.786  -0.551 0.639  -0.599 0.504  -0.621 0.364  -0.697 0.240  -0.697 0.093  -0.697 -0.054  -0.745 -0.190  -0.746 -0.336  -0.746 -0.483  -0.732 -0.627  -0.671 -0.758  -0.612 -0.889  -0.550 -1.014  -0.455 -1.121  -0.338 -1.206  -0.195 -1.223  -0.048 -1.223  0.099 -1.223  0.240 -1.196  0.371 -1.131  0.509 -1.083  0.619 -0.987  0.722 -0.883  0.839 -0.802  0.874 -0.664  0.874 -0.517  0.874 -0.370  0.874 -0.223  0.874 -0.076  0.853 0.067  0.825 0.210  0.773 0.324  0.691 0.436  0.637 0.572  0.525 0.662  0.397 0.733  0.341 0.865  0.222 0.937  0.077 0.942  -0.060 0.986  -0.207 0.986  -0.353 0.986
1c#tos#t1#t1051062/r  -0.643 1.104  -0.643 1.253  -0.701 1.344  -0.642 1.223  -0.518 1.141  -0.443 1.024  -0.407 0.879  -0.371 0.735  -0.336 0.590  -0.307 0.444  -0.278 0.298  -0.249 0.152  -0.223 0.006  -0.223 -0.143  -0.190 -0.288  -0.163 -0.433  -0.163 -0.582  -0.163 -0.731  -0.163 -0.880  -0.163 -1.029  -0.163 -1.178  -0.163 -1.326  -0.163 -1.475  -0.191 -1.596  -0.283 -1.539  -0.283 -1.390  -0.283 -1.241  -0.283 -1.092  -0.283 -0.943  -0.283 -0.794  -0.283 -0.646  -0.239 -0.510  -0.158 -0.386  -0.091 -0.252  -0.030 -0.117  0.017 0.024  0.122 0.129  0.216 0.243  0.298 0.365  0.403 0.470  0.437 0.605  0.504 0.691  0.609 0.796  0.695 0.864  0.843 0.864  0.970 0.789  1.097 0.736  1.189 0.653  1.316 0.584  1.457 0.564
