1c#tos#t2#t2051065/a  0.276 0.808  0.289 0.744  0.276 0.908  0.205 1.064  0.084 1.121  -0.087 1.127  -0.265 1.127  -0.378 1.064  -0.520 1.005  -0.623 0.863  -0.727 0.744  -0.873 0.713  -0.976 0.578  -1.001 0.411  -1.001 0.233  -1.001 0.056  -1.001 -0.122  -1.001 -0.300  -1.001 -0.477  -0.942 -0.596  -0.892 -0.724  -0.778 -0.787  -0.665 -0.851  -0.487 -0.851  -0.389 -0.750  -0.232 -0.711  -0.189 -0.539  -0.107 -0.390  -0.107 -0.212  -0.059 -0.069  0.103 -0.003  0.212 0.093  0.212 0.270  0.276 0.384  0.276 0.544  0.276 0.367  0.276 0.189  0.276 0.011  0.333 -0.143  0.438 -0.283  0.580 -0.341  0.690 -0.435  0.797 -0.532  0.914 -0.593  1.062 -0.660  1.165 -0.780  1.338 -0.787  1.516 -0.787  1.630 -0.851  1.807 -0.851
1c#tos#t2#t2051065/c  0.257 1.410  0.243 1.271  0.209 1.136  0.266 1.044  0.305 0.909  0.305 0.768  0.354 0.638  0.447 0.589  0.491 0.493  0.402 0.530  0.402 0.672  0.371 0.782  0.278 0.831  0.137 0.831  -0.004 0.831  -0.098 0.782  -0.205 0.728  -0.316 0.656  -0.430 0.579  -0.555 0.541  -0.644 0.435  -0.732 0.325  -0.846 0.259  -0.902 0.141  -0.944 0.016  -0.999 -0.102  -0.999 -0.243  -0.999 -0.385  -0.999 -0.526  -0.912 -0.614  -0.826 -0.723  -0.710 -0.764  -0.661 -0.856  -0.572 -0.908  -0.431 -0.908  -0.290 -0.908  -0.148 -0.908  -0.007 -0.908  0.135 -0.908  0.276 -0.908  0.417 -0.908  0.555 -0.900  0.660 -0.808  0.797 -0.774  0.908 -0.717  1.010 -0.629  1.137 -0.570  1.223 -0.515  1.275 -0.425  1.368 -0.377
1c#tos#t2#t2051065/d  0.165 -0.308  0.165 -0.287  0.118 -0.125  0.036 0.045  -0.151 0.116  -0.360 0.116  -0.569 0.116  -0.729 0.067  -0.751 -0.119  -0.947 -0.149  -1.043 -0.324  -1.105 -0.518  -1.105 -0.727  -1.105 -0.936  -0.993 -1.079  -0.818 -1.160  -0.626 -1.202  -0.418 -1.202  -0.211 -1.199  -0.109 -1.033  0.036 -0.905  0.233 -0.839  0.353 -0.740  0.361 -0.532  0.369 -0.323  0.376 -0.115  0.384 0.094  0.392 0.303  0.399 0.511  0.407 0.720  0.415 0.928  0.423 1.137  0.430 1.346  0.438 1.554  0.446 1.763  0.306 1.790  0.306 1.581  0.306 1.372  0.306 1.164  0.306 0.955  0.336 0.750  0.353 0.543  0.353 0.334  0.353 0.126  0.353 -0.083  0.353 -0.292  0.353 -0.501  0.353 -0.709  0.353 -0.918  0.400 -1.108
1c#tos#t2#t2051065/f  0.838 0.845  0.739 0.717  0.649 0.715  0.589 0.899  0.507 1.047  0.488 1.236  0.319 1.341  0.140 1.401  0.013 1.507  -0.155 1.538  -0.297 1.513  -0.297 1.314  -0.297 1.115  -0.297 0.916  -0.297 0.716  -0.297 0.517  -0.277 0.322  -0.203 0.137  -0.202 -0.062  -0.114 -0.234  -0.034 -0.416  -0.013 -0.612  0.066 -0.787  0.082 -0.981  0.082 -1.180  0.082 -1.379  0.090 -1.575  0.102 -1.479  -0.007 -1.312  -0.116 -1.145  -0.226 -0.979  -0.335 -0.812  -0.444 -0.646  -0.553 -0.479  -0.662 -0.313  -0.772 -0.148  -0.877 -0.243  -1.031 -0.243  -0.832 -0.243  -0.633 -0.243  -0.434 -0.243  -0.235 -0.243  -0.035 -0.243  0.164 -0.243  0.363 -0.243  0.562 -0.243  0.761 -0.243  0.960 -0.243  1.112 -0.196  1.264 -0.148
1c#tos#t2#t2051065/g  0.388 1.050  0.264 0.952  0.238 1.045  0.238 1.248  0.215 1.446  0.045 1.499  -0.158 1.499  -0.361 1.499  -0.414 1.350  -0.512 1.243  -0.561 1.046  -0.586 0.849  -0.659 0.700  -0.711 0.549  -0.711 0.346  -0.578 0.218  -0.402 0.151  -0.199 0.151  -0.001 0.162  0.086 0.301  0.238 0.352  0.288 0.505  0.288 0.708  0.288 0.589  0.288 0.386  0.288 0.183  0.288 -0.020  0.288 -0.223  0.288 -0.426  0.338 -0.579  0.388 -0.762  0.388 -0.965  0.438 -1.147  0.438 -1.309  0.323 -1.397  0.140 -1.445  -0.042 -1.497  -0.235 -1.473  -0.408 -1.400  -0.460 -1.247  -0.461 -1.045  -0.461 -0.842  -0.361 -0.709  -0.269 -0.598  -0.066 -0.598  0.060 -0.505  0.228 -0.448  0.431 -0.448  0.634 -0.448  0.788 -0.498
1c#tos#t2#t2051065/h  -0.252 1.641  -0.369 1.627  -0.438 1.563  -0.526 1.519  -0.526 1.387  -0.526 1.255  -0.526 1.123  -0.526 0.991  -0.526 0.859  -0.554 0.735  -0.622 0.622  -0.643 0.496  -0.643 0.364  -0.643 0.232  -0.643 0.100  -0.643 -0.032  -0.643 -0.164  -0.643 -0.296  -0.643 -0.428  -0.550 -0.522  -0.526 -0.644  -0.487 -0.759  -0.487 -0.749  -0.487 -0.617  -0.431 -0.502  -0.395 -0.390  -0.369 -0.284  -0.331 -0.176  -0.283 -0.074  -0.198 0.000  -0.066 0.000  0.066 0.000  0.192 -0.026  0.277 -0.092  0.373 -0.173  0.451 -0.227  0.511 -0.317  0.555 -0.441  0.607 -0.530  0.644 -0.656  0.715 -0.742  0.808 -0.781  0.940 -0.781  1.072 -0.781  1.115 -0.692  1.219 -0.664  1.272 -0.585  1.363 -0.529  1.452 -0.469  1.506 -0.390
1c#tos#t2#t2051065/n  -0.714 0.678  -0.859 0.678  -0.890 0.565  -0.911 0.433  -1.008 0.348  -1.008 0.203  -1.008 0.059  -1.008 -0.086  -1.008 -0.231  -1.008 -0.375  -1.008 -0.520  -1.008 -0.665  -0.928 -0.730  -0.784 -0.730  -0.773 -0.596  -0.759 -0.454  -0.714 -0.317  -0.686 -0.176  -0.656 -0.037  -0.588 0.066  -0.538 0.180  -0.538 0.325  -0.421 0.352  -0.383 0.481  -0.362 0.617  -0.244 0.678  -0.100 0.678  0.045 0.678  0.131 0.619  0.166 0.510  0.283 0.482  0.378 0.396  0.459 0.324  0.498 0.189  0.518 0.049  0.577 -0.072  0.642 -0.176  0.694 -0.288  0.694 -0.433  0.810 -0.495  0.896 -0.554  1.041 -0.554  1.145 -0.455  1.282 -0.437  1.426 -0.437  1.457 -0.322  1.515 -0.202  1.653 -0.156  1.732 -0.064  1.867 -0.026
1c#tos#t2#t2051065/p  0.234 0.971  0.113 0.878  0.111 0.665  0.016 0.473  -0.008 0.265  -0.008 0.052  -0.008 -0.162  -0.008 -0.376  -0.008 -0.590  -0.069 -0.778  -0.069 -0.992  -0.069 -1.206  -0.069 -1.420  -0.069 -1.634  0.052 -1.748  0.036 -1.538  -0.056 -1.344  -0.147 -1.151  -0.238 -0.958  -0.329 -0.764  -0.421 -0.571  -0.512 -0.378  -0.603 -0.185  -0.695 0.009  -0.786 0.202  -0.877 0.395  -0.968 0.589  -1.170 0.607  -1.126 0.714  -0.966 0.850  -0.777 0.910  -0.563 0.910  -0.350 0.910  -0.136 0.910  0.078 0.910  0.292 0.910  0.505 0.910  0.719 0.910  0.908 0.850  1.096 0.789  1.143 0.621  1.143 0.408  1.107 0.208  0.977 0.070  0.840 -0.059  0.635 -0.082  0.558 -0.241  0.345 -0.241  0.145 -0.301  0.052 -0.180
1c#tos#t2#t2051065/q  0.424 1.019  0.285 0.881  0.271 0.941  0.205 1.070  0.008 1.070  -0.188 1.070  -0.371 1.009  -0.554 0.939  -0.746 0.917  -0.908 0.813  -1.056 0.697  -1.107 0.521  -1.158 0.337  -1.158 0.141  -1.073 0.001  -0.926 -0.080  -0.842 -0.205  -0.647 -0.208  -0.500 -0.257  -0.303 -0.257  -0.133 -0.162  0.046 -0.090  0.240 -0.058  0.409 0.035  0.570 0.147  0.441 0.203  0.453 0.379  0.497 0.571  0.542 0.762  0.540 0.917  0.449 0.802  0.373 0.652  0.280 0.513  0.271 0.322  0.271 0.126  0.373 0.031  0.373 -0.165  0.373 -0.362  0.373 -0.558  0.423 -0.739  0.498 -0.915  0.577 -1.054  0.577 -1.250  0.577 -1.446  0.469 -1.538  0.343 -1.635  0.146 -1.635  0.067 -1.517  -0.043 -1.430  -0.035 -1.328
1c#tos#t2#t2051065/s  1.027 0.553  0.895 0.440  0.687 0.510  0.573 0.642  0.440 0.800  0.346 1.006  0.101 1.007  -0.121 1.064  -0.367 1.064  -0.548 0.907  -0.787 0.894  -0.855 0.690  -0.895 0.475  -0.818 0.251  -0.623 0.104  -0.505 -0.093  -0.354 -0.259  -0.232 -0.436  -0.089 -0.562  -0.051 -0.799  -0.047 -0.865  -0.122 -1.035  -0.368 -1.035  -0.500 -0.922  -0.632 -0.809  -0.732 -0.663  -0.840 -0.525  -0.845 -0.765  -0.788 -0.997  -0.788 -1.243  -0.733 -1.433  -0.596 -1.229  -0.460 -1.025  -0.323 -0.820  -0.187 -0.616  -0.051 -0.411  0.085 -0.207  0.222 -0.003  0.358 0.202  0.494 0.406  0.630 0.610  0.767 0.815  0.903 1.019  0.857 1.110  0.857 0.864  0.961 0.723  0.970 0.487  0.970 0.241  0.970 -0.005  1.141 -0.128
1c#tos#t2#t2051065/t  -0.589 0.861  -0.730 0.784  -0.859 0.688  -0.999 0.624  -0.976 0.596  -0.840 0.513  -0.680 0.505  -0.519 0.505  -0.358 0.505  -0.221 0.446  -0.060 0.446  0.101 0.446  0.262 0.446  0.424 0.446  0.585 0.446  0.588 0.507  0.470 0.616  0.351 0.725  0.232 0.834  0.113 0.943  -0.006 1.052  -0.149 1.098  -0.233 1.020  -0.294 0.920  -0.352 0.816  -0.352 0.655  -0.352 0.494  -0.352 0.332  -0.352 0.171  -0.352 0.010  -0.352 -0.151  -0.352 -0.312  -0.352 -0.474  -0.352 -0.635  -0.352 -0.796  -0.310 -0.916  -0.270 -1.046  -0.174 -1.147  -0.078 -1.212  0.084 -1.212  0.245 -1.212  0.406 -1.212  0.566 -1.195  0.724 -1.163  0.872 -1.104  1.017 -1.035  1.178 -1.035  1.248 -0.942  1.323 -0.857  1.425 -0.798
