1c#tos#t2#t2067066/b  -0.051 2.066  -0.192 2.110  -0.221 1.950  -0.267 1.794  -0.286 1.634  -0.286 1.470  -0.286 1.307  -0.291 1.144  -0.323 0.984  -0.352 0.823  -0.379 0.662  -0.379 0.499  -0.379 0.336  -0.379 0.173  -0.379 0.009  -0.379 -0.154  -0.379 -0.317  -0.379 -0.480  -0.379 -0.644  -0.333 -0.788  -0.328 -0.950  -0.255 -1.096  -0.286 -1.141  -0.286 -0.978  -0.286 -0.815  -0.286 -0.652  -0.286 -0.488  -0.216 -0.354  -0.101 -0.238  0.015 -0.123  0.043 0.028  0.090 0.145  0.211 0.187  0.374 0.187  0.518 0.234  0.634 0.187  0.765 0.115  0.853 -0.023  0.889 -0.177  0.889 -0.341  0.855 -0.470  0.781 -0.572  0.724 -0.713  0.571 -0.770  0.425 -0.843  0.294 -0.924  0.157 -0.987  -0.006 -0.987  -0.169 -0.987  -0.286 -1.034
1c#tos#t2#t2067066/f  0.650 1.845  0.506 1.845  0.362 1.845  0.246 1.778  0.145 1.676  0.055 1.581  -0.023 1.472  -0.057 1.336  -0.057 1.192  -0.057 1.048  -0.057 0.904  -0.057 0.761  -0.057 0.617  -0.023 0.481  -0.008 0.342  0.044 0.214  0.134 0.107  0.212 -0.010  0.232 -0.152  0.246 -0.294  0.246 -0.437  0.246 -0.581  0.246 -0.725  0.246 -0.869  0.246 -1.013  0.132 -1.100  0.044 -1.166  -0.008 -1.294  -0.105 -1.351  -0.249 -1.351  -0.385 -1.384  -0.417 -1.283  -0.402 -1.140  -0.388 -0.997  -0.374 -0.854  -0.360 -0.711  -0.345 -0.568  -0.331 -0.425  -0.317 -0.281  -0.302 -0.138  -0.332 -0.058  -0.461 -0.084  -0.373 -0.140  -0.229 -0.140  -0.085 -0.140  0.059 -0.140  0.203 -0.140  0.333 -0.100  0.444 -0.009  0.582 0.028
1c#tos#t2#t2067066/g  0.322 0.541  0.243 0.421  0.362 0.503  0.362 0.704  0.362 0.905  0.394 1.092  0.402 1.290  0.291 1.380  0.123 1.460  -0.074 1.435  -0.256 1.351  -0.402 1.254  -0.523 1.095  -0.608 0.920  -0.717 0.775  -0.713 0.576  -0.623 0.421  -0.439 0.381  -0.238 0.381  -0.053 0.421  0.128 0.467  0.290 0.581  0.411 0.661  0.362 0.571  0.281 0.419  0.242 0.228  0.202 0.036  0.202 -0.165  0.202 -0.366  0.202 -0.567  0.202 -0.768  0.202 -0.969  0.202 -1.170  0.242 -1.361  0.242 -1.562  0.076 -1.624  -0.111 -1.658  -0.279 -1.578  -0.394 -1.465  -0.517 -1.384  -0.517 -1.183  -0.517 -0.982  -0.480 -0.787  -0.352 -0.659  -0.188 -0.558  -0.029 -0.488  0.097 -0.331  0.273 -0.259  0.469 -0.242  0.642 -0.139
1c#tos#t2#t2067066/k  0.129 2.431  0.034 2.314  -0.060 2.141  -0.094 1.938  -0.155 1.737  -0.155 1.525  -0.155 1.313  -0.155 1.101  -0.155 0.889  -0.155 0.678  -0.222 0.477  -0.250 0.269  -0.250 0.058  -0.250 -0.154  -0.250 -0.366  -0.250 -0.578  -0.250 -0.790  -0.250 -1.001  -0.250 -1.213  -0.250 -1.099  -0.286 -0.907  -0.392 -0.752  -0.344 -0.587  -0.297 -0.423  -0.175 -0.273  -0.004 -0.147  0.166 -0.021  0.337 0.104  0.507 0.230  0.604 0.300  0.495 0.158  0.319 0.095  0.196 -0.036  0.002 -0.120  -0.140 -0.222  -0.301 -0.341  -0.442 -0.493  -0.625 -0.552  -0.517 -0.637  -0.333 -0.533  -0.148 -0.430  0.037 -0.326  0.221 -0.222  0.287 -0.373  0.413 -0.518  0.543 -0.599  0.658 -0.771  0.740 -0.965  0.839 -1.145  1.029 -1.167
1c#tos#t2#t2067066/l  -0.719 -1.124  -0.830 -1.198  -0.677 -1.193  -0.579 -1.091  -0.435 -1.030  -0.386 -0.909  -0.252 -0.842  -0.169 -0.713  -0.088 -0.602  -0.013 -0.489  0.036 -0.341  0.129 -0.225  0.171 -0.091  0.239 0.023  0.301 0.165  0.353 0.312  0.379 0.464  0.409 0.617  0.435 0.767  0.467 0.891  0.467 1.048  0.467 1.204  0.468 1.360  0.474 1.471  0.392 1.546  0.240 1.519  0.108 1.440  -0.009 1.372  -0.089 1.291  -0.123 1.143  -0.163 1.003  -0.237 0.892  -0.237 0.736  -0.245 0.580  -0.274 0.427  -0.274 0.270  -0.274 0.114  -0.265 -0.041  -0.237 -0.193  -0.227 -0.348  -0.200 -0.501  -0.200 -0.657  -0.126 -0.791  -0.057 -0.911  0.032 -1.033  0.127 -1.155  0.195 -1.285  0.346 -1.310  0.502 -1.310  0.653 -1.273
1c#tos#t2#t2067066/n  -0.770 1.299  -0.828 1.197  -0.828 1.036  -0.828 0.876  -0.828 0.715  -0.828 0.555  -0.828 0.394  -0.828 0.234  -0.828 0.073  -0.828 -0.087  -0.819 -0.246  -0.770 -0.399  -0.770 -0.559  -0.770 -0.720  -0.770 -0.880  -0.771 -0.889  -0.712 -0.765  -0.629 -0.635  -0.537 -0.506  -0.537 -0.346  -0.395 -0.287  -0.331 -0.155  -0.303 0.002  -0.264 0.153  -0.192 0.297  -0.154 0.424  -0.070 0.534  -0.033 0.657  0.011 0.774  0.113 0.832  0.274 0.832  0.338 0.736  0.455 0.692  0.455 0.532  0.455 0.371  0.455 0.211  0.476 0.063  0.589 -0.035  0.630 -0.189  0.630 -0.350  0.630 -0.510  0.733 -0.568  0.893 -0.568  1.031 -0.641  1.120 -0.743  1.281 -0.743  1.441 -0.743  1.602 -0.743  1.644 -0.619  1.797 -0.568
1c#tos#t2#t2067066/o  0.128 0.230  0.128 0.402  -0.022 0.423  -0.193 0.423  -0.256 0.315  -0.343 0.230  -0.500 0.177  -0.615 0.086  -0.641 -0.059  -0.666 -0.215  -0.737 -0.341  -0.737 -0.513  -0.737 -0.684  -0.737 -0.855  -0.737 -1.026  -0.689 -1.177  -0.649 -1.308  -0.481 -1.329  -0.314 -1.356  -0.143 -1.356  0.028 -1.356  0.171 -1.263  0.282 -1.164  0.428 -1.129  0.465 -0.964  0.589 -0.882  0.609 -0.725  0.650 -0.561  0.689 -0.396  0.705 -0.227  0.705 -0.056  0.651 0.092  0.547 0.224  0.499 0.381  0.369 0.453  0.266 0.526  0.150 0.652  0.034 0.777  -0.082 0.903  -0.198 1.029  -0.319 1.144  -0.449 1.065  -0.296 1.050  -0.130 1.091  0.038 1.102  0.170 1.206  0.336 1.240  0.507 1.240  0.678 1.240  0.849 1.240
1c#tos#t2#t2067066/q  0.424 0.639  0.383 0.556  0.383 0.766  0.344 0.967  0.242 1.147  0.075 1.265  -0.135 1.265  -0.324 1.205  -0.507 1.108  -0.704 1.086  -0.734 0.885  -0.882 0.742  -0.953 0.558  -1.038 0.383  -1.038 0.173  -0.923 0.054  -0.718 0.072  -0.530 0.155  -0.369 0.242  -0.224 0.366  -0.061 0.496  0.090 0.616  0.174 0.618  0.089 0.450  0.007 0.282  -0.128 0.128  -0.161 -0.069  -0.248 -0.243  -0.335 -0.429  -0.402 -0.628  -0.411 -0.836  -0.416 -1.046  -0.449 -1.249  -0.369 -1.440  -0.212 -1.492  -0.002 -1.492  0.208 -1.492  0.249 -1.292  0.374 -1.174  0.506 -1.057  0.601 -0.871  0.633 -0.671  0.717 -0.487  0.778 -0.302  0.800 -0.101  0.800 0.109  0.856 0.096  0.978 0.001  1.175 -0.030  1.385 -0.030
1c#tos#t2#t2067066/r  -0.144 1.200  -0.293 1.200  -0.392 1.149  -0.392 1.000  -0.392 0.851  -0.392 0.702  -0.392 0.552  -0.392 0.403  -0.392 0.254  -0.392 0.105  -0.392 -0.045  -0.392 -0.194  -0.392 -0.343  -0.392 -0.492  -0.392 -0.642  -0.392 -0.791  -0.392 -0.940  -0.392 -1.089  -0.392 -1.239  -0.392 -1.388  -0.405 -1.523  -0.454 -1.422  -0.454 -1.273  -0.454 -1.124  -0.454 -0.974  -0.392 -0.887  -0.392 -0.738  -0.330 -0.650  -0.330 -0.501  -0.330 -0.352  -0.284 -0.210  -0.235 -0.083  -0.135 0.008  -0.106 0.155  -0.069 0.299  -0.020 0.436  -0.020 0.586  0.071 0.643  0.221 0.643  0.370 0.643  0.519 0.643  0.668 0.643  0.818 0.643  0.967 0.643  1.116 0.643  1.265 0.643  1.393 0.592  1.538 0.581  1.688 0.581  1.713 0.458
1c#tos#t2#t2067066/v  -0.750 0.696  -0.907 0.680  -1.001 0.544  -1.139 0.453  -1.035 0.419  -0.923 0.524  -0.809 0.626  -0.732 0.739  -0.691 0.891  -0.526 0.891  -0.409 0.842  -0.458 0.725  -0.501 0.566  -0.551 0.412  -0.555 0.248  -0.625 0.104  -0.653 -0.053  -0.653 -0.219  -0.653 -0.384  -0.653 -0.550  -0.653 -0.715  -0.641 -0.876  -0.604 -1.026  -0.475 -1.091  -0.332 -1.157  -0.187 -1.205  -0.050 -1.123  0.030 -0.997  0.057 -0.846  0.176 -0.744  0.176 -0.579  0.176 -0.413  0.176 -0.248  0.309 -0.164  0.404 -0.051  0.454 0.104  0.517 0.219  0.566 0.336  0.692 0.403  0.761 0.500  0.877 0.549  0.956 0.426  1.005 0.280  1.049 0.122  1.108 -0.000  1.269 -0.036  1.434 -0.036  1.600 -0.036  1.687 0.043  1.687 0.208
1c#tos#t2#t2067066/x  -0.861 0.397  -1.094 0.362  -1.320 0.287  -1.321 0.269  -1.182 0.443  -1.117 0.655  -0.931 0.782  -0.693 0.782  -0.508 0.910  -0.269 0.910  -0.031 0.910  0.100 0.803  0.164 0.629  0.164 0.390  0.056 0.188  -0.083 -0.005  -0.215 -0.204  -0.365 -0.388  -0.504 -0.564  -0.683 -0.706  -0.797 -0.909  -0.755 -1.021  -0.612 -0.830  -0.469 -0.639  -0.326 -0.449  -0.183 -0.258  -0.040 -0.068  0.103 0.123  0.246 0.314  0.389 0.504  0.532 0.695  0.675 0.886  0.804 1.038  0.825 0.899  0.613 0.827  0.549 0.652  0.443 0.490  0.356 0.314  0.241 0.147  0.228 -0.083  0.228 -0.321  0.228 -0.559  0.228 -0.798  0.417 -0.885  0.620 -0.963  0.769 -1.138  0.988 -1.205  1.226 -1.205  1.464 -1.205  1.702 -1.205
