1d#apa#apa02#app0272/!  0.178 1.338  0.258 1.338  0.277 1.338  0.197 1.338  0.178 1.398  0.178 1.455  0.178 1.376  0.178 1.296  0.178 1.217  0.178 1.137  0.178 1.058  0.178 0.978  0.141 0.914  0.084 0.858  0.050 0.793  0.050 0.714  0.050 0.634  0.050 0.555  0.050 0.475  0.050 0.396  0.050 0.316  0.050 0.237  0.034 0.164  -0.023 0.108  -0.079 0.052  -0.079 -0.028  -0.079 -0.107  -0.079 -0.187  -0.079 -0.266  -0.068 -0.335  0.011 -0.335  0.050 -0.376  0.050 -0.455  0.029 -0.532  0.006 -0.608  -0.017 -0.684  -0.040 -0.760  -0.062 -0.836  -0.085 -0.912  -0.108 -0.989  -0.131 -1.065  -0.154 -1.141  -0.177 -1.217  -0.199 -1.293  -0.222 -1.369  -0.245 -1.445  -0.268 -1.521  -0.291 -1.597  -0.314 -1.674  -0.336 -1.750
1d#apa#apa02#app0272/@  0.289 0.399  0.158 0.510  -0.042 0.469  -0.152 0.338  -0.263 0.208  -0.373 0.077  -0.373 -0.163  -0.373 -0.404  -0.210 -0.482  0.031 -0.482  0.134 -0.306  0.178 -0.084  0.178 0.157  0.070 0.069  0.068 -0.170  0.068 -0.411  0.220 -0.524  0.399 -0.559  0.509 -0.428  0.648 -0.262  0.729 -0.103  0.840 0.092  0.871 0.320  0.950 0.528  0.950 0.769  0.908 0.993  0.816 1.195  0.723 1.398  0.526 1.502  0.285 1.502  0.154 1.392  0.037 1.250  -0.152 1.152  -0.258 0.955  -0.408 0.770  -0.483 0.547  -0.593 0.352  -0.704 0.157  -0.812 -0.039  -0.814 -0.279  -0.814 -0.520  -0.814 -0.761  -0.736 -0.923  -0.704 -1.132  -0.695 -1.364  -0.564 -1.474  -0.434 -1.585  -0.193 -1.585  0.048 -1.585  0.178 -1.474
1d#apa#apa02#app0272/#  -0.196 1.498  -0.160 1.259  -0.196 0.855  -0.334 0.573  -0.407 0.185  -0.509 -0.192  -0.609 -0.570  -0.609 -0.989  -0.451 -0.876  -0.223 -0.525  0.005 -0.174  0.234 0.178  0.462 0.529  0.690 0.880  0.919 1.232  1.147 1.583  0.963 1.498  0.768 1.193  0.630 0.831  0.508 0.534  0.493 0.131  0.355 -0.231  0.355 -0.650  0.217 -1.012  0.109 -1.118  -0.150 -0.789  -0.409 -0.460  -0.668 -0.130  -0.926 0.199  -1.185 0.529  -1.198 0.534  -0.917 0.396  -0.498 0.396  -0.113 0.313  0.283 0.259  0.681 0.208  0.927 -0.017  0.749 -0.086  0.341 -0.182  -0.066 -0.278  -0.474 -0.374  -0.882 -0.470  -1.290 -0.566  -0.943 -0.705  -0.524 -0.705  -0.132 -0.769  0.257 -0.843  0.619 -0.981  1.038 -0.981  1.319 -1.118
1d#apa#apa02#app0272/$  0.361 0.764  0.481 0.896  0.457 1.124  0.241 1.088  0.087 0.970  -0.129 0.884  -0.254 0.748  -0.358 0.540  -0.358 0.288  -0.230 0.165  0.016 0.151  0.224 0.045  0.361 -0.140  0.481 -0.271  0.481 -0.523  0.481 -0.774  0.361 -0.906  0.166 -1.033  -0.060 -1.095  -0.288 -1.153  -0.539 -1.153  -0.543 -0.967  -0.473 -0.725  -0.402 -0.484  -0.332 -0.242  -0.262 -0.001  -0.191 0.241  -0.121 0.482  -0.050 0.724  0.020 0.965  0.091 1.207  0.161 1.448  0.231 1.690  0.143 1.603  0.121 1.373  0.121 1.122  0.121 0.870  0.121 0.619  0.121 0.367  0.001 0.165  0.001 -0.086  0.001 -0.338  0.001 -0.590  -0.046 -0.793  -0.118 -0.973  -0.118 -1.224  -0.118 -1.476  -0.118 -1.728  -0.226 -1.871  -0.118 -1.991
1d#apa#apa02#app0272/%  -0.420 0.795  -0.564 0.894  -0.719 0.806  -0.912 0.701  -1.017 0.560  -1.116 0.416  -1.028 0.209  -0.918 0.071  -0.746 -0.001  -0.607 0.111  -0.500 0.297  -0.420 0.461  -0.526 0.602  -0.710 0.703  -0.520 0.780  -0.361 0.695  -0.218 0.795  0.013 0.853  0.237 0.948  0.460 1.044  0.673 1.113  0.772 1.256  0.795 1.215  0.764 0.985  0.663 0.784  0.561 0.583  0.436 0.382  0.340 0.164  0.208 -0.037  0.054 -0.222  -0.117 -0.394  -0.219 -0.595  -0.320 -0.795  -0.420 -0.997  -0.283 -1.069  -0.080 -0.934  0.122 -0.799  0.324 -0.664  0.526 -0.530  0.429 -0.597  0.375 -0.786  0.275 -0.988  0.176 -1.190  0.204 -1.421  0.405 -1.461  0.606 -1.360  0.708 -1.159  0.872 -0.984  0.872 -0.741  0.872 -0.498
1d#apa#apa02#app0272/^  -1.059 -0.724  -1.059 -0.845  -1.085 -0.940  -1.206 -0.940  -1.276 -0.889  -1.276 -0.768  -1.276 -0.647  -1.276 -0.526  -1.173 -0.507  -1.059 -0.500  -1.059 -0.379  -1.026 -0.291  -0.905 -0.291  -0.801 -0.249  -0.716 -0.164  -0.630 -0.078  -0.511 -0.075  -0.410 -0.054  -0.410 0.067  -0.364 0.141  -0.243 0.141  -0.194 0.214  -0.194 0.335  -0.096 0.358  0.022 0.360  0.022 0.481  0.051 0.574  0.172 0.574  0.293 0.574  0.414 0.574  0.455 0.654  0.455 0.775  0.455 0.684  0.465 0.574  0.586 0.574  0.671 0.538  0.671 0.417  0.733 0.358  0.854 0.358  0.887 0.270  0.887 0.149  1.001 0.141  1.103 0.123  1.103 0.002  1.147 -0.075  1.268 -0.075  1.320 -0.145  1.320 -0.265  1.415 -0.291  1.536 -0.291
1d#apa#apa02#app0272/&  0.284 1.684  0.388 1.715  0.327 1.788  0.284 1.696  0.284 1.561  0.284 1.426  0.284 1.291  0.284 1.157  0.311 1.033  0.388 0.930  0.388 0.795  0.388 0.660  0.388 0.526  0.388 0.391  0.313 0.331  0.178 0.331  0.043 0.331  -0.092 0.331  -0.226 0.331  -0.257 0.227  -0.340 0.175  -0.340 0.041  -0.227 0.019  -0.092 0.019  0.043 0.019  0.178 0.019  0.284 -0.009  0.225 -0.085  0.090 -0.085  -0.009 -0.170  -0.132 -0.193  -0.167 -0.293  -0.283 -0.339  -0.393 -0.397  -0.444 -0.481  -0.329 -0.501  -0.194 -0.501  -0.060 -0.501  -0.028 -0.604  -0.123 -0.700  -0.132 -0.831  -0.132 -0.965  -0.132 -1.100  -0.210 -1.203  -0.236 -1.327  -0.236 -1.462  -0.236 -1.596  -0.297 -1.706  -0.340 -1.823  -0.340 -1.958
1d#apa#apa02#app0272/*  0.786 1.300  0.575 1.062  0.418 0.695  0.252 0.350  -0.117 0.159  -0.422 -0.167  -0.623 -0.568  -0.876 -0.915  -1.080 -1.279  -1.114 -1.713  -1.114 -1.414  -0.865 -1.075  -0.639 -0.853  -0.500 -0.462  -0.351 -0.075  -0.164 0.296  -0.053 0.698  0.106 1.062  0.311 1.305  0.528 1.538  0.549 1.110  0.786 0.899  0.883 0.491  1.024 0.101  1.024 -0.348  1.024 -0.796  0.617 -0.838  0.406 -0.600  -0.009 -0.518  -0.393 -0.363  -0.604 -0.125  -0.815 0.112  -0.489 0.112  -0.139 -0.125  0.240 -0.292  0.659 -0.363  0.559 -0.135  0.115 -0.125  -0.235 0.112  -0.639 0.157  -0.876 0.368  -1.106 0.587  -0.911 0.825  -0.561 0.587  -0.197 0.383  0.139 0.112  0.549 0.074  0.726 -0.302  1.112 -0.451  1.499 -0.600
1d#apa#apa02#app0272/(  0.347 1.271  0.428 1.271  0.451 1.330  0.416 1.376  0.334 1.376  0.252 1.376  0.242 1.304  0.207 1.236  0.150 1.179  0.137 1.102  0.096 1.061  0.032 1.043  0.032 0.961  -0.022 0.902  -0.073 0.841  -0.073 0.759  -0.122 0.698  -0.178 0.639  -0.178 0.557  -0.178 0.475  -0.178 0.394  -0.178 0.312  -0.178 0.230  -0.178 0.148  -0.178 0.066  -0.178 -0.015  -0.178 -0.097  -0.178 -0.179  -0.178 -0.261  -0.178 -0.343  -0.178 -0.425  -0.178 -0.506  -0.178 -0.588  -0.178 -0.670  -0.178 -0.752  -0.170 -0.826  -0.088 -0.826  -0.073 -0.893  -0.073 -0.974  -0.073 -1.056  -0.073 -1.138  0.007 -1.141  0.032 -1.197  0.032 -1.279  0.042 -1.350  0.124 -1.350  0.137 -1.419  0.137 -1.501  0.160 -1.560  0.242 -1.560
1d#apa#apa02#app0272/)  -0.073 1.531  -0.073 1.616  -0.117 1.595  -0.177 1.535  -0.181 1.452  -0.181 1.367  -0.158 1.291  -0.098 1.231  -0.073 1.157  -0.073 1.072  -0.073 0.987  -0.073 0.902  -0.008 0.881  0.035 0.840  0.035 0.755  0.035 0.670  0.035 0.585  0.075 0.517  0.135 0.456  0.144 0.375  0.144 0.290  0.144 0.205  0.144 0.120  0.144 0.035  0.144 -0.050  0.186 -0.093  0.252 -0.112  0.252 -0.197  0.252 -0.282  0.252 -0.367  0.217 -0.417  0.144 -0.429  0.144 -0.514  0.144 -0.599  0.144 -0.684  0.144 -0.769  0.140 -0.850  0.055 -0.850  0.035 -0.916  0.006 -0.988  -0.055 -1.048  -0.073 -1.126  -0.098 -1.200  -0.158 -1.260  -0.181 -1.336  -0.211 -1.392  -0.294 -1.396  -0.354 -1.456  -0.398 -1.523  -0.398 -1.608
1d#apa#apa02#app0272/`  -1.036 1.272  -0.957 1.272  -0.878 1.272  -0.799 1.272  -0.720 1.272  -0.704 1.210  -0.704 1.131  -0.704 1.052  -0.704 0.973  -0.670 0.907  -0.615 0.851  -0.559 0.796  -0.503 0.740  -0.447 0.684  -0.391 0.628  -0.335 0.572  -0.279 0.516  -0.224 0.460  -0.168 0.405  -0.112 0.349  -0.056 0.293  -0.039 0.221  -0.039 0.142  -0.039 0.063  -0.039 -0.016  -0.012 -0.084  0.044 -0.140  0.100 -0.195  0.156 -0.251  0.212 -0.307  0.268 -0.363  0.293 -0.432  0.293 -0.511  0.293 -0.590  0.293 -0.669  0.320 -0.720  0.399 -0.720  0.478 -0.720  0.557 -0.720  0.625 -0.732  0.625 -0.811  0.625 -0.890  0.625 -0.969  0.625 -1.048  0.677 -1.105  0.733 -1.161  0.789 -1.216  0.845 -1.272  0.901 -1.328  0.957 -1.384
