1d#apa#apa02#app0274/!  0.095 1.319  0.095 1.404  0.038 1.431  -0.017 1.461  -0.017 1.541  -0.017 1.456  -0.017 1.372  -0.017 1.287  -0.017 1.202  -0.017 1.118  -0.079 1.095  -0.129 1.060  -0.129 0.976  -0.129 0.891  -0.129 0.806  -0.129 0.722  -0.129 0.637  -0.129 0.552  -0.129 0.468  -0.129 0.383  -0.129 0.298  -0.129 0.214  -0.129 0.129  -0.129 0.044  -0.129 -0.040  -0.129 -0.125  -0.058 -0.139  -0.017 -0.182  -0.017 -0.267  -0.017 -0.351  -0.017 -0.436  0.029 -0.475  0.095 -0.493  0.095 -0.578  0.095 -0.663  0.095 -0.747  0.095 -0.832  0.095 -0.916  0.095 -1.001  0.095 -1.086  0.095 -1.170  0.095 -1.255  0.095 -1.340  0.095 -1.424  0.120 -1.484  0.205 -1.484  0.207 -1.402  0.152 -1.372  0.095 -1.344  0.095 -1.260
1d#apa#apa02#app0274/@  0.281 0.659  0.032 0.633  -0.166 0.521  -0.289 0.312  -0.390 0.094  -0.390 -0.166  -0.390 -0.426  -0.164 -0.459  -0.016 -0.347  0.057 -0.160  0.169 -0.012  0.273 0.204  0.255 0.435  0.169 0.262  0.169 0.002  0.169 -0.258  0.340 -0.347  0.553 -0.236  0.676 -0.064  0.781 0.153  0.886 0.369  0.952 0.602  0.952 0.861  0.840 1.010  0.840 1.269  0.666 1.392  0.427 1.442  0.214 1.330  0.000 1.218  -0.214 1.106  -0.362 0.994  -0.475 0.798  -0.611 0.659  -0.648 0.435  -0.775 0.274  -0.837 0.040  -0.905 -0.192  -0.949 -0.434  -0.942 -0.690  -0.837 -0.907  -0.801 -1.130  -0.725 -1.315  -0.505 -1.354  -0.356 -1.466  -0.166 -1.396  0.051 -1.354  0.302 -1.332  0.505 -1.222  0.624 -1.011  0.728 -0.795
1d#apa#apa02#app0274/#  -0.386 1.282  -0.386 0.855  -0.513 0.556  -0.609 0.169  -0.641 -0.244  -0.767 -0.619  -0.894 -0.993  -0.749 -1.231  -0.520 -0.871  -0.291 -0.511  -0.062 -0.151  0.167 0.208  0.396 0.568  0.625 0.928  0.854 1.288  1.133 1.536  0.885 1.358  0.788 1.028  0.657 0.673  0.535 0.297  0.503 -0.116  0.377 -0.490  0.377 -0.917  0.111 -0.796  -0.225 -0.532  -0.560 -0.269  -0.896 -0.005  -1.231 0.258  -1.217 0.334  -0.819 0.265  -0.392 0.265  0.035 0.265  0.461 0.265  0.888 0.265  1.314 0.265  1.614 0.138  1.259 0.074  0.838 0.004  0.418 -0.067  -0.003 -0.137  -0.424 -0.207  -0.845 -0.277  -1.265 -0.347  -1.241 -0.497  -0.941 -0.624  -0.515 -0.624  -0.088 -0.624  0.338 -0.624  0.765 -0.624  1.139 -0.751
1d#apa#apa02#app0274/$  0.352 0.759  0.212 0.881  -0.050 0.881  -0.261 0.759  -0.401 0.636  -0.541 0.514  -0.588 0.353  -0.382 0.248  -0.220 0.147  0.042 0.147  0.282 0.095  0.515 0.025  0.655 -0.097  0.841 -0.173  0.841 -0.435  0.730 -0.586  0.628 -0.800  0.443 -0.985  0.222 -1.084  0.007 -1.198  -0.255 -1.198  -0.517 -1.198  -0.748 -1.167  -0.694 -0.913  -0.611 -0.665  -0.529 -0.416  -0.446 -0.167  -0.363 0.081  -0.280 0.330  -0.197 0.579  -0.114 0.827  -0.031 1.076  0.052 1.325  0.135 1.573  0.217 1.822  0.159 1.666  0.108 1.425  0.108 1.163  0.108 0.901  0.108 0.639  0.108 0.377  0.108 0.115  0.108 -0.147  0.108 -0.409  0.108 -0.672  -0.015 -0.883  -0.015 -1.145  -0.015 -1.407  -0.015 -1.669  -0.015 -1.931
1d#apa#apa02#app0274/%  -0.637 0.754  -0.767 0.664  -0.949 0.574  -0.996 0.401  -0.996 0.181  -0.924 0.034  -0.794 -0.056  -0.592 -0.012  -0.457 0.100  -0.367 0.230  -0.367 0.450  -0.367 0.669  -0.489 0.786  -0.457 0.795  -0.278 0.754  -0.058 0.754  0.119 0.866  0.284 1.012  0.448 1.158  0.613 1.304  0.777 1.450  0.798 1.294  0.713 1.159  0.623 1.029  0.533 0.846  0.443 0.663  0.351 0.481  0.259 0.300  0.103 0.144  -0.007 -0.030  -0.080 -0.220  -0.172 -0.402  -0.201 -0.610  -0.277 -0.799  -0.367 -0.981  -0.309 -1.104  -0.117 -0.997  0.075 -0.891  0.267 -0.784  0.424 -0.686  0.294 -0.776  0.254 -0.956  0.173 -1.095  0.173 -1.315  0.212 -1.496  0.353 -1.417  0.527 -1.322  0.623 -1.141  0.775 -0.984  0.803 -0.776
1d#apa#apa02#app0274/^  -1.202 -0.989  -1.202 -0.901  -1.202 -0.812  -1.202 -0.724  -1.202 -0.636  -1.202 -0.548  -1.202 -0.459  -1.192 -0.380  -1.104 -0.380  -1.016 -0.380  -0.928 -0.380  -0.840 -0.380  -0.796 -0.336  -0.796 -0.247  -0.778 -0.177  -0.689 -0.177  -0.601 -0.177  -0.536 -0.121  -0.474 -0.058  -0.412 0.004  -0.349 0.066  -0.287 0.129  -0.224 0.191  -0.162 0.254  -0.100 0.316  -0.037 0.378  0.025 0.441  0.088 0.503  0.150 0.566  0.212 0.628  0.298 0.634  0.386 0.634  0.475 0.634  0.563 0.634  0.643 0.615  0.706 0.553  0.768 0.490  0.830 0.428  0.893 0.365  0.955 0.303  1.018 0.241  1.080 0.178  1.142 0.116  1.205 0.054  1.267 -0.009  1.330 -0.071  1.392 -0.134  1.436 -0.204  1.436 -0.292  1.436 -0.380
1d#apa#apa02#app0274/&  0.217 1.991  0.217 1.837  0.217 1.684  0.217 1.531  0.217 1.378  0.322 1.330  0.322 1.177  0.322 1.024  0.322 0.871  0.317 0.723  0.217 0.670  0.116 0.618  -0.037 0.618  -0.181 0.577  -0.317 0.507  -0.428 0.406  -0.523 0.348  -0.522 0.195  -0.369 0.195  -0.216 0.195  -0.063 0.195  0.091 0.195  0.244 0.195  0.397 0.195  0.411 0.089  0.322 0.025  0.211 -0.016  0.111 -0.070  0.010 -0.122  -0.131 -0.152  -0.253 -0.227  -0.406 -0.227  -0.454 -0.333  -0.439 -0.333  -0.391 -0.439  -0.238 -0.439  -0.085 -0.439  0.068 -0.439  0.106 -0.544  0.005 -0.597  0.005 -0.750  0.005 -0.903  0.005 -1.056  0.005 -1.210  0.005 -1.363  0.005 -1.516  0.005 -1.669  0.005 -1.822  0.005 -1.975  0.005 -2.129
1d#apa#apa02#app0274/*  0.976 1.213  1.026 1.213  0.734 1.070  0.641 0.729  0.461 0.456  0.154 0.148  0.008 -0.226  -0.290 -0.537  -0.477 -0.894  -0.639 -1.291  -0.719 -1.194  -0.512 -0.966  -0.365 -0.613  -0.229 -0.235  0.008 0.102  0.008 0.536  0.008 0.971  0.250 1.305  0.250 1.740  0.250 1.703  0.250 1.269  0.250 0.834  0.250 0.400  0.287 0.002  0.492 -0.227  0.492 -0.662  0.361 -0.966  -0.073 -0.966  -0.477 -0.935  -0.700 -0.724  -0.961 -0.550  -1.203 -0.357  -1.445 -0.165  -1.419 -0.240  -0.985 -0.240  -0.719 -0.408  -0.358 -0.482  0.077 -0.482  0.511 -0.482  0.522 -0.482  0.135 -0.367  -0.244 -0.231  -0.582 0.002  -0.663 0.244  -0.229 0.244  0.206 0.244  0.641 0.244  1.075 0.244  1.268 0.002  1.702 0.002
1d#apa#apa02#app0274/(  0.477 1.577  0.421 1.521  0.370 1.464  0.370 1.385  0.314 1.362  0.263 1.335  0.263 1.257  0.208 1.201  0.153 1.145  0.097 1.090  0.049 1.031  0.049 0.952  0.006 0.892  -0.050 0.836  -0.058 0.761  -0.058 0.682  -0.065 0.607  -0.120 0.551  -0.165 0.491  -0.165 0.413  -0.165 0.334  -0.182 0.259  -0.217 0.189  -0.252 0.119  -0.272 0.045  -0.272 -0.034  -0.272 -0.112  -0.272 -0.191  -0.272 -0.269  -0.272 -0.348  -0.272 -0.426  -0.239 -0.491  -0.183 -0.546  -0.165 -0.618  -0.165 -0.696  -0.165 -0.775  -0.165 -0.853  -0.165 -0.932  -0.152 -1.005  -0.097 -1.061  -0.041 -1.116  0.014 -1.172  0.078 -1.207  0.156 -1.208  0.156 -1.286  0.192 -1.350  0.248 -1.405  0.320 -1.421  0.370 -1.449  0.370 -1.528
1d#apa#apa02#app0274/)  -0.072 1.671  -0.125 1.618  -0.178 1.565  -0.179 1.491  -0.179 1.417  -0.179 1.343  -0.179 1.268  -0.179 1.194  -0.165 1.125  -0.112 1.073  -0.072 1.015  -0.072 0.940  -0.045 0.873  -0.012 0.806  0.021 0.739  0.034 0.668  0.034 0.594  0.034 0.519  0.034 0.445  0.052 0.378  0.104 0.325  0.140 0.266  0.140 0.191  0.140 0.117  0.140 0.043  0.140 -0.032  0.140 -0.106  0.140 -0.181  0.140 -0.255  0.140 -0.329  0.140 -0.404  0.140 -0.478  0.140 -0.552  0.140 -0.627  0.140 -0.701  0.140 -0.776  0.140 -0.850  0.108 -0.911  0.055 -0.964  0.034 -1.029  0.034 -1.103  0.034 -1.178  -0.005 -1.236  -0.057 -1.289  -0.072 -1.357  -0.094 -1.410  -0.168 -1.410  -0.179 -1.474  -0.211 -1.516  -0.285 -1.516
1d#apa#apa02#app0274/`  -1.005 0.137  -0.887 0.137  -0.769 0.137  -0.652 0.137  -0.631 0.234  -0.631 0.352  -0.631 0.470  -0.706 0.512  -0.824 0.512  -0.942 0.512  -1.005 0.566  -1.005 0.684  -1.005 0.802  -1.005 0.853  -1.005 0.735  -1.005 0.617  -0.992 0.512  -0.875 0.512  -0.757 0.512  -0.639 0.512  -0.553 0.435  -0.470 0.351  -0.387 0.268  -0.303 0.185  -0.205 0.137  -0.088 0.137  0.030 0.137  0.118 0.108  0.118 -0.010  0.118 -0.128  0.127 -0.237  0.245 -0.237  0.363 -0.237  0.480 -0.237  0.598 -0.237  0.716 -0.237  0.834 -0.237  0.867 -0.321  0.867 -0.439  0.867 -0.557  0.930 -0.611  1.048 -0.611  1.166 -0.611  1.242 -0.654  1.242 -0.771  1.242 -0.889  1.263 -0.986  1.380 -0.986  1.498 -0.986  1.616 -0.986
