1d#apa#apa02#app0286/[  0.431 1.226  0.517 1.226  0.410 1.226  0.303 1.226  0.196 1.226  0.088 1.226  -0.019 1.226  -0.126 1.226  -0.234 1.226  -0.341 1.226  -0.341 1.139  -0.341 1.205  -0.341 1.098  -0.341 0.990  -0.341 0.883  -0.341 0.776  -0.341 0.668  -0.341 0.561  -0.341 0.454  -0.341 0.347  -0.341 0.239  -0.341 0.132  -0.341 0.025  -0.341 -0.083  -0.278 -0.127  -0.245 -0.201  -0.245 -0.308  -0.340 -0.320  -0.341 -0.426  -0.341 -0.533  -0.341 -0.640  -0.341 -0.748  -0.341 -0.855  -0.341 -0.962  -0.268 -0.996  -0.161 -0.996  -0.054 -0.996  0.054 -0.996  0.155 -0.983  0.231 -0.907  0.239 -0.996  0.346 -0.996  0.453 -0.996  0.561 -0.996  0.668 -0.996  0.775 -0.996  0.883 -0.996  0.915 -0.921  1.000 -0.900  0.915 -0.900
1d#apa#apa02#app0286/(  0.413 1.227  0.494 1.227  0.545 1.256  0.545 1.337  0.487 1.360  0.408 1.355  0.351 1.298  0.294 1.241  0.237 1.183  0.180 1.126  0.122 1.069  0.065 1.012  0.016 0.952  0.016 0.871  -0.013 0.802  -0.070 0.745  -0.117 0.684  -0.117 0.603  -0.117 0.522  -0.117 0.441  -0.168 0.382  -0.225 0.324  -0.249 0.254  -0.249 0.173  -0.249 0.092  -0.249 0.011  -0.249 -0.070  -0.249 -0.150  -0.249 -0.231  -0.249 -0.312  -0.249 -0.393  -0.249 -0.474  -0.249 -0.554  -0.249 -0.635  -0.249 -0.716  -0.249 -0.797  -0.249 -0.878  -0.202 -0.939  -0.145 -0.996  -0.117 -1.065  -0.117 -1.146  -0.117 -1.227  -0.098 -1.289  -0.017 -1.289  0.050 -1.323  0.107 -1.380  0.170 -1.421  0.251 -1.421  0.332 -1.421  0.413 -1.421
1d#apa#apa02#app0286/)  -0.544 1.529  -0.463 1.529  -0.382 1.529  -0.331 1.499  -0.327 1.419  -0.270 1.362  -0.224 1.300  -0.224 1.219  -0.173 1.159  -0.118 1.101  -0.118 1.019  -0.118 0.938  -0.094 0.867  -0.037 0.809  -0.011 0.739  0.002 0.663  0.060 0.606  0.095 0.540  0.095 0.459  0.095 0.377  0.095 0.296  0.120 0.226  0.178 0.168  0.202 0.097  0.202 0.016  0.202 -0.065  0.202 -0.146  0.239 -0.212  0.296 -0.269  0.308 -0.346  0.308 -0.427  0.299 -0.504  0.242 -0.561  0.202 -0.626  0.202 -0.707  0.202 -0.788  0.202 -0.869  0.172 -0.921  0.095 -0.925  0.095 -1.006  0.095 -1.087  0.071 -1.158  0.014 -1.216  -0.011 -1.287  -0.032 -1.347  -0.113 -1.347  -0.194 -1.347  -0.224 -1.398  -0.250 -1.454  -0.331 -1.454
1d#apa#apa02#app0286/(  0.350 1.340  0.350 1.418  0.350 1.429  0.350 1.351  0.283 1.340  0.228 1.317  0.228 1.239  0.228 1.160  0.215 1.095  0.137 1.095  0.105 1.049  0.104 0.971  0.049 0.916  -0.007 0.860  -0.018 0.787  -0.018 0.708  -0.018 0.630  -0.018 0.552  -0.025 0.481  -0.103 0.481  -0.140 0.440  -0.140 0.362  -0.140 0.284  -0.140 0.205  -0.140 0.127  -0.140 0.049  -0.140 -0.029  -0.140 -0.107  -0.140 -0.185  -0.140 -0.264  -0.140 -0.342  -0.140 -0.420  -0.140 -0.498  -0.140 -0.576  -0.140 -0.655  -0.140 -0.733  -0.140 -0.811  -0.140 -0.889  -0.140 -0.967  -0.140 -1.046  -0.132 -1.121  -0.077 -1.176  -0.022 -1.231  -0.018 -1.308  -0.018 -1.386  -0.018 -1.464  0.026 -1.524  0.081 -1.579  0.105 -1.648  0.105 -1.726
1d#apa#apa02#app0286/)  -0.274 1.568  -0.197 1.568  -0.156 1.531  -0.156 1.454  -0.156 1.376  -0.156 1.298  -0.156 1.221  -0.087 1.212  -0.037 1.184  -0.037 1.106  -0.037 1.028  -0.037 0.951  -0.037 0.873  0.006 0.813  0.061 0.758  0.082 0.689  0.087 0.613  0.142 0.558  0.197 0.503  0.201 0.427  0.201 0.350  0.201 0.272  0.201 0.194  0.201 0.117  0.201 0.039  0.201 -0.039  0.201 -0.117  0.201 -0.194  0.201 -0.272  0.201 -0.350  0.201 -0.427  0.162 -0.489  0.107 -0.544  0.082 -0.611  0.082 -0.689  0.082 -0.767  0.082 -0.845  0.082 -0.922  0.029 -0.978  -0.026 -1.033  -0.081 -1.088  -0.136 -1.143  -0.156 -1.212  -0.156 -1.290  -0.156 -1.368  -0.201 -1.400  -0.274 -1.405  -0.274 -1.482  -0.315 -1.519  -0.393 -1.519
1d#apa#apa02#app0286/(  0.427 1.589  0.427 1.514  0.388 1.477  0.315 1.474  0.315 1.399  0.285 1.335  0.231 1.282  0.203 1.218  0.203 1.142  0.150 1.089  0.097 1.035  0.091 0.962  0.091 0.886  0.091 0.810  0.091 0.735  0.066 0.669  0.013 0.616  -0.021 0.554  -0.021 0.479  -0.021 0.403  -0.035 0.331  -0.068 0.263  -0.102 0.195  -0.133 0.127  -0.133 0.051  -0.133 -0.025  -0.133 -0.100  -0.133 -0.176  -0.133 -0.251  -0.133 -0.327  -0.133 -0.403  -0.133 -0.478  -0.133 -0.554  -0.133 -0.630  -0.133 -0.705  -0.133 -0.781  -0.133 -0.857  -0.159 -0.926  -0.193 -0.994  -0.227 -1.061  -0.244 -1.133  -0.244 -1.208  -0.168 -1.208  -0.133 -1.248  -0.130 -1.322  -0.076 -1.376  -0.023 -1.429  0.052 -1.432  0.091 -1.468  0.091 -1.543
1d#apa#apa02#app0286/)  -0.221 1.462  -0.221 1.541  -0.221 1.517  -0.197 1.462  -0.119 1.462  -0.115 1.388  -0.115 1.309  -0.101 1.237  -0.045 1.181  -0.009 1.118  -0.009 1.039  -0.009 0.961  -0.009 0.882  0.007 0.810  0.063 0.755  0.097 0.691  0.097 0.612  0.097 0.534  0.135 0.471  0.191 0.415  0.203 0.342  0.203 0.263  0.203 0.185  0.203 0.106  0.203 0.028  0.203 -0.051  0.203 -0.129  0.203 -0.208  0.203 -0.286  0.203 -0.365  0.203 -0.443  0.168 -0.514  0.133 -0.584  0.098 -0.654  0.097 -0.732  0.097 -0.811  0.082 -0.883  0.027 -0.939  -0.009 -1.002  -0.009 -1.080  -0.088 -1.080  -0.115 -1.132  -0.115 -1.210  -0.115 -1.289  -0.190 -1.292  -0.221 -1.340  -0.241 -1.398  -0.320 -1.398  -0.377 -1.449  -0.433 -1.504
1d#apa#apa02#app0286/(  0.271 1.704  0.271 1.627  0.271 1.550  0.216 1.495  0.162 1.440  0.116 1.381  0.116 1.304  0.116 1.227  0.116 1.149  0.116 1.072  0.116 0.994  0.110 0.918  0.076 0.849  0.041 0.780  0.007 0.710  -0.028 0.641  -0.039 0.566  -0.039 0.489  -0.039 0.412  -0.039 0.334  -0.039 0.257  -0.039 0.179  -0.039 0.102  -0.039 0.024  -0.092 -0.000  -0.169 -0.000  -0.194 -0.053  -0.194 -0.130  -0.194 -0.208  -0.194 -0.285  -0.194 -0.363  -0.194 -0.440  -0.194 -0.517  -0.194 -0.595  -0.194 -0.672  -0.194 -0.750  -0.157 -0.812  -0.103 -0.867  -0.048 -0.921  -0.039 -0.995  -0.039 -1.073  -0.039 -1.150  -0.039 -1.227  0.007 -1.286  0.061 -1.341  0.116 -1.396  0.116 -1.473  0.116 -1.550  0.194 -1.550  0.271 -1.550
1d#apa#apa02#app0286/)  -0.338 1.515  -0.258 1.515  -0.228 1.465  -0.209 1.405  -0.130 1.405  -0.119 1.337  -0.092 1.269  -0.036 1.213  -0.009 1.144  -0.009 1.065  -0.009 0.986  0.052 0.967  0.101 0.936  0.101 0.857  0.101 0.778  0.135 0.713  0.191 0.657  0.210 0.585  0.210 0.506  0.210 0.426  0.210 0.347  0.210 0.268  0.210 0.188  0.210 0.109  0.210 0.030  0.210 -0.050  0.210 -0.129  0.210 -0.208  0.210 -0.288  0.210 -0.367  0.210 -0.447  0.210 -0.526  0.210 -0.605  0.205 -0.682  0.149 -0.738  0.101 -0.798  0.101 -0.877  0.058 -0.939  0.002 -0.995  -0.054 -1.051  -0.111 -1.107  -0.119 -1.183  -0.156 -1.225  -0.233 -1.230  -0.290 -1.286  -0.349 -1.334  -0.428 -1.334  -0.447 -1.395  -0.477 -1.444  -0.557 -1.444
1d#apa#apa02#app0286/(  0.418 1.604  0.367 1.552  0.315 1.501  0.277 1.443  0.277 1.370  0.260 1.304  0.208 1.252  0.156 1.200  0.135 1.136  0.135 1.062  0.101 1.003  0.049 0.951  -0.003 0.899  -0.007 0.828  -0.007 0.755  -0.007 0.681  -0.009 0.608  -0.041 0.543  -0.074 0.477  -0.107 0.412  -0.140 0.346  -0.149 0.275  -0.149 0.202  -0.149 0.129  -0.149 0.055  -0.149 -0.018  -0.149 -0.091  -0.149 -0.164  -0.149 -0.238  -0.149 -0.311  -0.149 -0.384  -0.149 -0.457  -0.149 -0.531  -0.149 -0.604  -0.149 -0.677  -0.149 -0.751  -0.149 -0.824  -0.149 -0.897  -0.134 -0.964  -0.082 -1.016  -0.031 -1.068  -0.007 -1.131  -0.007 -1.205  -0.007 -1.278  -0.007 -1.351  0.028 -1.410  0.080 -1.462  0.131 -1.514  0.135 -1.586  0.135 -1.659
1d#apa#apa02#app0286/)  -0.109 1.617  -0.109 1.541  -0.109 1.465  -0.109 1.390  -0.041 1.382  0.008 1.355  0.008 1.279  0.008 1.203  0.008 1.128  0.008 1.052  0.062 1.030  0.126 1.017  0.126 0.941  0.126 0.866  0.126 0.790  0.126 0.714  0.126 0.638  0.126 0.562  0.126 0.486  0.126 0.410  0.126 0.334  0.126 0.258  0.126 0.183  0.126 0.107  0.126 0.031  0.126 -0.045  0.126 -0.121  0.126 -0.197  0.126 -0.273  0.126 -0.349  0.126 -0.425  0.126 -0.500  0.126 -0.576  0.099 -0.641  0.045 -0.695  0.008 -0.755  0.008 -0.831  0.008 -0.907  -0.003 -0.978  -0.057 -1.032  -0.109 -1.086  -0.109 -1.162  -0.135 -1.227  -0.188 -1.281  -0.227 -1.341  -0.227 -1.417  -0.283 -1.437  -0.354 -1.447  -0.408 -1.501  -0.462 -1.554
