1d#apa#apa03#app0389/!  0.533 1.537  0.621 1.537  0.625 1.502  0.564 1.440  0.533 1.365  0.533 1.278  0.533 1.190  0.479 1.157  0.407 1.142  0.407 1.054  0.407 0.967  0.389 0.887  0.327 0.825  0.280 0.757  0.280 0.669  0.231 0.602  0.169 0.540  0.154 0.459  0.154 0.372  0.154 0.284  0.079 0.272  0.027 0.236  0.027 0.148  0.027 0.061  0.027 -0.027  0.023 -0.112  -0.039 -0.174  -0.099 -0.237  -0.099 -0.325  -0.151 -0.361  -0.226 -0.373  -0.226 -0.461  -0.226 -0.548  -0.248 -0.614  -0.335 -0.614  -0.352 -0.684  -0.320 -0.740  -0.233 -0.740  -0.267 -0.809  -0.312 -0.884  -0.357 -0.959  -0.402 -1.034  -0.447 -1.109  -0.492 -1.184  -0.537 -1.259  -0.582 -1.334  -0.575 -1.403  -0.513 -1.465  -0.479 -1.460  -0.479 -1.372
1d#apa#apa03#app0389/@  0.653 0.061  0.803 0.187  0.653 0.402  0.636 0.661  0.359 0.661  0.233 0.811  0.018 0.661  -0.248 0.651  -0.384 0.511  -0.584 0.325  -0.779 0.130  -0.848 -0.118  -0.693 -0.239  -0.416 -0.239  -0.140 -0.239  0.137 -0.239  0.351 -0.090  0.502 0.036  0.251 0.061  0.052 -0.017  0.202 -0.143  0.374 -0.218  0.597 -0.089  0.803 -0.018  0.953 0.108  0.953 0.385  0.953 0.661  0.953 0.938  0.762 1.112  0.486 1.112  0.209 1.112  -0.067 1.112  -0.282 0.962  -0.470 0.818  -0.620 0.590  -0.815 0.394  -1.011 0.199  -1.148 -0.020  -1.148 -0.297  -1.148 -0.573  -1.148 -0.850  -1.052 -1.086  -0.803 -1.162  -0.555 -1.286  -0.280 -1.290  -0.003 -1.290  0.273 -1.290  0.550 -1.290  0.826 -1.290  1.103 -1.290
1d#apa#apa03#app0389/#  0.003 1.199  0.145 1.212  0.145 0.801  -0.127 0.502  -0.305 0.132  -0.422 -0.260  -0.542 -0.622  -0.563 -1.025  -0.527 -1.275  -0.350 -0.904  -0.173 -0.532  0.004 -0.160  0.181 0.211  0.358 0.583  0.535 0.954  0.712 1.326  0.853 1.542  0.708 1.190  0.570 0.811  0.506 0.426  0.293 0.078  0.287 -0.332  0.287 -0.743  0.287 -1.155  0.191 -1.160  0.007 -0.792  -0.177 -0.423  -0.361 -0.055  -0.546 0.313  -0.650 0.632  -0.258 0.714  0.139 0.774  0.551 0.774  0.963 0.774  1.374 0.774  1.093 0.610  0.725 0.426  0.357 0.242  -0.011 0.058  -0.379 -0.126  -0.747 -0.310  -1.115 -0.494  -1.484 -0.678  -1.575 -0.907  -1.171 -0.927  -0.759 -0.927  -0.356 -0.894  0.030 -0.785  0.442 -0.785  0.853 -0.785
1d#apa#apa03#app0389/$  1.066 0.642  0.796 0.642  0.526 0.642  0.255 0.642  -0.015 0.642  -0.277 0.622  -0.468 0.430  -0.702 0.343  -0.844 0.132  -0.803 -0.113  -0.562 -0.234  -0.325 -0.318  -0.083 -0.387  0.187 -0.388  0.429 -0.509  0.632 -0.681  0.772 -0.811  0.666 -0.975  0.456 -1.122  0.186 -1.122  -0.084 -1.122  -0.294 -1.268  -0.564 -1.268  -0.834 -1.268  -0.939 -1.168  -0.813 -0.929  -0.688 -0.689  -0.562 -0.450  -0.437 -0.210  -0.311 0.029  -0.186 0.269  -0.061 0.508  0.065 0.748  0.190 0.987  0.316 1.227  0.441 1.466  0.567 1.705  0.625 1.674  0.505 1.524  0.435 1.291  0.319 1.047  0.234 0.790  0.184 0.528  0.144 0.267  0.038 0.022  0.038 -0.248  0.038 -0.518  -0.039 -0.757  -0.109 -0.998  -0.109 -1.268
1d#apa#apa03#app0389/%  -0.612 1.157  -0.653 1.157  -0.905 1.157  -1.016 0.965  -1.150 0.831  -1.247 0.619  -1.091 0.522  -0.839 0.522  -0.587 0.522  -0.354 0.569  -0.145 0.673  -0.084 0.899  -0.155 1.122  -0.392 1.157  -0.295 1.019  -0.117 0.945  0.029 0.840  0.265 0.771  0.508 0.734  0.477 0.554  0.298 0.376  0.117 0.205  -0.084 0.093  -0.221 -0.075  -0.415 -0.231  -0.518 -0.440  -0.696 -0.619  -0.800 -0.828  -0.623 -0.766  -0.392 -0.666  -0.160 -0.567  0.072 -0.468  0.303 -0.369  0.535 -0.269  0.642 -0.323  0.496 -0.429  0.355 -0.609  0.228 -0.746  0.128 -0.898  0.214 -1.063  0.360 -1.169  0.612 -1.169  0.834 -1.096  1.072 -1.063  1.209 -0.933  1.290 -0.715  1.185 -0.507  1.011 -0.429  0.759 -0.429  0.550 -0.535
1d#apa#apa03#app0389/^  -1.477 -0.792  -1.338 -0.792  -1.199 -0.792  -1.196 -0.656  -1.196 -0.517  -1.063 -0.511  -0.924 -0.511  -0.915 -0.381  -0.915 -0.242  -0.825 -0.140  -0.727 -0.042  -0.627 0.051  -0.488 0.051  -0.353 0.056  -0.353 0.195  -0.352 0.332  -0.213 0.332  -0.074 0.332  -0.073 0.470  -0.073 0.609  0.062 0.613  0.201 0.613  0.208 0.745  0.208 0.884  0.300 0.985  0.398 1.083  0.499 1.174  0.638 1.174  0.770 1.168  0.770 1.029  0.767 0.891  0.669 0.792  0.571 0.694  0.489 0.589  0.489 0.450  0.489 0.311  0.489 0.172  0.489 0.033  0.489 -0.106  0.489 -0.245  0.489 -0.384  0.489 -0.523  0.489 -0.662  0.489 -0.801  0.489 -0.940  0.489 -1.079  0.489 -1.218  0.489 -1.357  0.489 -1.496  0.489 -1.635
1d#apa#apa03#app0389/&  1.236 1.517  1.039 1.509  1.028 1.309  0.883 1.164  0.842 0.976  0.732 0.817  0.588 0.672  0.443 0.527  0.298 0.383  0.251 0.197  0.251 -0.007  0.182 -0.196  0.091 -0.379  0.054 -0.575  0.054 -0.780  0.054 -0.985  0.202 -1.042  0.251 -0.887  0.251 -0.682  0.251 -0.477  0.251 -0.273  0.251 -0.068  0.251 0.137  0.108 0.282  -0.037 0.427  -0.198 0.533  -0.402 0.533  -0.607 0.533  -0.812 0.533  -0.991 0.471  -1.140 0.336  -1.324 0.315  -1.344 0.119  -1.489 -0.026  -1.521 -0.218  -1.402 -0.373  -1.229 -0.452  -1.025 -0.452  -0.820 -0.452  -0.615 -0.452  -0.410 -0.452  -0.206 -0.452  -0.001 -0.452  0.204 -0.452  0.409 -0.452  0.613 -0.452  0.818 -0.452  1.023 -0.452  1.228 -0.452  1.432 -0.452
1d#apa#apa03#app0389/*  -0.625 0.794  -0.431 0.597  -0.428 0.209  -0.155 -0.070  0.121 -0.347  0.284 -0.646  0.559 -0.868  0.765 -0.901  0.808 -0.512  0.851 -0.123  0.895 0.266  0.938 0.655  0.775 0.617  0.483 0.362  0.139 0.178  -0.137 -0.099  -0.472 -0.236  -0.625 -0.564  -0.535 -0.638  -0.330 -0.304  -0.125 0.029  0.080 0.362  0.286 0.696  0.491 1.029  0.696 1.363  0.901 1.696  0.886 1.517  0.756 1.179  0.612 0.848  0.475 0.513  0.361 0.169  0.200 -0.156  0.164 -0.532  0.164 -0.924  0.164 -1.315  0.065 -1.484  -0.226 -1.222  -0.517 -0.960  -0.808 -0.698  -1.099 -0.436  -1.390 -0.174  -1.681 0.087  -1.787 0.005  -1.395 0.005  -1.004 0.005  -0.612 0.005  -0.221 0.005  0.170 0.005  0.562 0.005  0.953 0.005
1d#apa#apa03#app0389/(  0.845 1.335  0.770 1.335  0.695 1.335  0.694 1.262  0.694 1.187  0.621 1.185  0.547 1.185  0.493 1.134  0.440 1.081  0.392 1.026  0.392 0.951  0.388 0.878  0.335 0.825  0.282 0.773  0.229 0.720  0.176 0.667  0.123 0.614  0.078 0.556  0.044 0.489  0.011 0.422  -0.023 0.355  -0.056 0.288  -0.060 0.214  -0.060 0.139  -0.106 0.083  -0.159 0.030  -0.211 -0.023  -0.211 -0.098  -0.211 -0.172  -0.211 -0.247  -0.211 -0.322  -0.263 -0.375  -0.316 -0.428  -0.362 -0.484  -0.362 -0.559  -0.362 -0.634  -0.362 -0.708  -0.362 -0.783  -0.362 -0.858  -0.362 -0.933  -0.362 -1.008  -0.362 -1.083  -0.362 -1.157  -0.362 -1.232  -0.362 -1.307  -0.362 -1.382  -0.362 -1.457  -0.362 -1.532  -0.362 -1.606  -0.362 -1.681
1d#apa#apa03#app0389/)  -0.679 1.496  -0.596 1.496  -0.554 1.454  -0.554 1.371  -0.554 1.288  -0.513 1.246  -0.430 1.246  -0.429 1.163  -0.400 1.092  -0.342 1.033  -0.283 0.974  -0.224 0.915  -0.165 0.856  -0.106 0.797  -0.047 0.738  0.012 0.679  0.071 0.621  0.108 0.546  0.146 0.472  0.183 0.397  0.220 0.323  0.257 0.248  0.295 0.174  0.322 0.097  0.322 0.014  0.367 -0.051  0.426 -0.110  0.447 -0.184  0.447 -0.268  0.447 -0.351  0.447 -0.434  0.447 -0.518  0.447 -0.601  0.447 -0.684  0.440 -0.764  0.381 -0.823  0.322 -0.882  0.322 -0.965  0.281 -1.007  0.197 -1.007  0.138 -1.066  0.079 -1.125  0.007 -1.165  -0.068 -1.202  -0.142 -1.239  -0.221 -1.258  -0.304 -1.258  -0.388 -1.258  -0.471 -1.258  -0.554 -1.258
1d#apa#apa03#app0389/`  -1.576 0.629  -1.489 0.629  -1.403 0.629  -1.317 0.629  -1.231 0.629  -1.145 0.629  -1.059 0.629  -0.972 0.629  -0.886 0.629  -0.800 0.629  -0.714 0.629  -0.628 0.629  -0.542 0.629  -0.455 0.629  -0.369 0.629  -0.283 0.629  -0.197 0.629  -0.141 0.599  -0.141 0.513  -0.141 0.427  -0.141 0.340  -0.141 0.254  -0.141 0.168  -0.072 0.151  0.014 0.151  0.100 0.151  0.186 0.151  0.273 0.151  0.337 0.129  0.337 0.043  0.337 -0.043  0.337 -0.129  0.337 -0.215  0.337 -0.301  0.380 -0.370  0.441 -0.431  0.502 -0.492  0.563 -0.553  0.624 -0.614  0.684 -0.675  0.745 -0.736  0.806 -0.796  0.867 -0.857  0.928 -0.918  0.989 -0.979  1.050 -1.040  1.111 -1.101  1.172 -1.162  1.233 -1.223  1.294 -1.284
