1d#apa#apa03#app0390/!  0.209 1.533  0.282 1.533  0.342 1.521  0.342 1.448  0.325 1.382  0.273 1.330  0.221 1.279  0.209 1.211  0.209 1.138  0.209 1.065  0.209 0.992  0.209 0.919  0.195 0.852  0.143 0.800  0.091 0.748  0.076 0.682  0.076 0.609  0.076 0.536  0.076 0.463  0.076 0.390  0.071 0.318  0.048 0.248  0.024 0.179  0.001 0.110  -0.022 0.040  -0.045 -0.029  -0.058 -0.100  -0.058 -0.173  -0.089 -0.233  -0.141 -0.284  -0.191 -0.337  -0.191 -0.410  -0.191 -0.483  -0.191 -0.556  -0.191 -0.629  -0.191 -0.702  -0.191 -0.775  -0.191 -0.848  -0.191 -0.921  -0.191 -0.994  -0.191 -1.067  -0.191 -1.140  -0.191 -1.213  -0.191 -1.286  -0.191 -1.359  -0.191 -1.432  -0.191 -1.505  -0.161 -1.566  -0.109 -1.617  -0.058 -1.669
1d#apa#apa03#app0390/@  0.762 0.163  0.906 0.094  0.906 0.156  1.050 0.225  1.050 0.438  0.906 0.507  0.906 0.471  0.712 0.451  0.617 0.569  0.431 0.595  0.218 0.595  0.005 0.595  -0.103 0.490  -0.247 0.422  -0.316 0.238  -0.391 0.056  -0.267 -0.106  -0.062 -0.125  0.151 -0.125  0.364 -0.125  0.577 -0.125  0.739 -0.004  0.762 0.200  0.762 0.413  0.638 0.574  0.578 0.739  0.397 0.816  0.212 0.883  -0.001 0.883  -0.214 0.883  -0.416 0.858  -0.580 0.739  -0.759 0.659  -0.910 0.509  -1.060 0.358  -1.112 0.166  -1.112 -0.046  -1.112 -0.259  -1.112 -0.472  -1.112 -0.685  -1.075 -0.883  -0.924 -1.033  -0.774 -1.184  -0.600 -1.278  -0.387 -1.278  -0.196 -1.329  -0.021 -1.422  0.192 -1.422  0.405 -1.422  0.617 -1.422
1d#apa#apa03#app0390/#  -0.100 1.332  -0.100 0.923  -0.167 0.542  -0.280 0.179  -0.362 -0.196  -0.523 -0.538  -0.642 -0.898  -0.582 -1.109  -0.355 -0.769  -0.128 -0.428  0.099 -0.088  0.326 0.253  0.553 0.593  0.780 0.934  1.007 1.274  1.166 1.391  0.985 1.057  0.885 0.689  0.805 0.313  0.805 -0.096  0.630 -0.464  0.624 -0.872  0.805 -1.206  0.766 -1.522  0.477 -1.233  0.187 -0.944  -0.102 -0.654  -0.391 -0.365  -0.681 -0.076  -0.970 0.214  -1.259 0.503  -1.184 0.688  -0.877 0.790  -0.468 0.790  -0.124 0.633  0.275 0.609  0.685 0.609  0.884 0.570  0.502 0.423  0.120 0.276  -0.262 0.129  -0.644 -0.018  -1.026 -0.165  -1.365 -0.340  -1.092 -0.476  -0.682 -0.476  -0.275 -0.481  0.061 -0.657  0.409 -0.804  0.805 -0.838
1d#apa#apa03#app0390/$  0.717 0.675  0.722 0.675  0.586 0.533  0.307 0.533  0.029 0.533  -0.216 0.452  -0.469 0.391  -0.605 0.250  -0.844 0.210  -0.819 -0.058  -0.590 -0.176  -0.343 -0.251  -0.092 -0.318  0.187 -0.318  0.414 -0.441  0.685 -0.460  0.859 -0.647  0.819 -0.885  0.592 -1.010  0.354 -1.106  0.115 -1.203  -0.118 -1.311  -0.397 -1.311  -0.675 -1.311  -0.804 -1.209  -0.702 -0.950  -0.601 -0.690  -0.499 -0.431  -0.398 -0.172  -0.297 0.087  -0.195 0.346  -0.094 0.605  0.008 0.865  0.109 1.124  0.211 1.383  0.312 1.642  0.413 1.901  0.433 1.728  0.433 1.450  0.291 1.230  0.288 0.952  0.164 0.704  0.149 0.429  0.105 0.161  0.008 -0.095  -0.017 -0.367  -0.134 -0.618  -0.134 -0.896  -0.134 -1.174  -0.134 -1.453
1d#apa#apa03#app0390/%  -0.977 0.976  -1.217 0.974  -1.335 0.783  -1.454 0.661  -1.454 0.421  -1.335 0.299  -1.134 0.260  -0.893 0.260  -0.652 0.260  -0.500 0.348  -0.317 0.443  -0.261 0.661  -0.306 0.857  -0.428 0.976  -0.619 0.927  -0.568 0.737  -0.327 0.737  -0.136 0.618  0.102 0.612  0.272 0.442  0.312 0.237  0.216 0.036  0.097 -0.085  -0.107 -0.200  -0.261 -0.370  -0.370 -0.565  -0.488 -0.694  -0.609 -0.814  -0.532 -0.864  -0.345 -0.713  -0.157 -0.563  0.031 -0.413  0.219 -0.262  0.407 -0.112  0.574 -0.006  0.545 -0.217  0.348 -0.324  0.335 -0.559  0.441 -0.694  0.632 -0.814  0.872 -0.814  1.113 -0.814  1.335 -0.769  1.540 -0.683  1.648 -0.487  1.528 -0.295  1.413 -0.102  1.175 -0.098  0.934 -0.098  0.693 -0.098
1d#apa#apa03#app0390/^  -1.673 -0.521  -1.533 -0.521  -1.394 -0.519  -1.394 -0.378  -1.391 -0.241  -1.250 -0.241  -1.110 -0.241  -0.969 -0.241  -0.836 -0.234  -0.836 -0.094  -0.827 0.038  -0.686 0.038  -0.549 0.045  -0.450 0.145  -0.351 0.244  -0.240 0.317  -0.100 0.317  0.041 0.317  0.181 0.317  0.310 0.346  0.409 0.445  0.508 0.544  0.560 0.664  0.560 0.804  0.629 0.875  0.770 0.875  0.839 0.946  0.839 1.087  0.787 1.103  0.688 1.003  0.589 0.904  0.560 0.776  0.560 0.635  0.560 0.495  0.560 0.354  0.560 0.214  0.560 0.073  0.560 -0.067  0.560 -0.208  0.484 -0.317  0.385 -0.416  0.286 -0.516  0.281 -0.654  0.281 -0.794  0.281 -0.935  0.281 -1.075  0.281 -1.216  0.281 -1.356  0.281 -1.497  0.281 -1.637
1d#apa#apa03#app0390/&  0.695 1.215  0.695 1.026  0.695 0.837  0.695 0.648  0.579 0.575  0.481 0.484  0.481 0.295  0.481 0.106  0.481 -0.083  0.481 -0.272  0.298 -0.277  0.268 -0.437  0.268 -0.356  0.268 -0.167  0.268 0.022  0.225 0.193  0.091 0.326  0.055 0.500  -0.059 0.575  -0.248 0.575  -0.437 0.575  -0.625 0.575  -0.814 0.575  -1.003 0.575  -1.011 0.394  -1.168 0.362  -1.224 0.229  -1.332 0.149  -1.437 0.065  -1.437 -0.124  -1.437 -0.313  -1.426 -0.491  -1.237 -0.491  -1.048 -0.491  -0.859 -0.491  -0.671 -0.491  -0.482 -0.491  -0.293 -0.491  -0.104 -0.491  0.085 -0.491  0.274 -0.491  0.463 -0.491  0.652 -0.491  0.840 -0.491  1.029 -0.491  1.218 -0.491  1.407 -0.491  1.547 -0.442  1.572 -0.277  1.760 -0.277
1d#apa#apa03#app0390/*  -0.655 1.249  -0.447 0.912  -0.447 0.490  -0.238 0.275  -0.135 -0.105  0.016 -0.465  0.179 -0.820  0.387 -1.157  0.490 -0.943  0.624 -0.542  0.758 -0.141  0.891 0.260  1.025 0.661  1.159 1.063  1.203 1.040  0.848 0.876  0.697 0.516  0.545 0.156  0.188 -0.002  0.033 -0.356  -0.265 -0.654  -0.564 -0.953  -0.741 -1.253  -0.831 -1.375  -0.683 -0.980  -0.535 -0.584  -0.386 -0.188  -0.238 0.208  -0.089 0.604  0.059 1.000  0.208 1.395  0.356 1.791  0.387 1.540  0.294 1.155  0.179 0.780  0.179 0.358  0.179 -0.065  0.130 -0.468  -0.030 -0.824  -0.030 -1.247  -0.369 -1.010  -0.713 -0.765  -1.057 -0.519  -1.401 -0.273  -1.185 -0.163  -0.801 -0.002  -0.378 -0.002  0.023 -0.055  0.381 -0.210  0.804 -0.210
1d#apa#apa03#app0390/(  0.683 1.451  0.683 1.373  0.675 1.303  0.596 1.303  0.535 1.286  0.535 1.207  0.517 1.136  0.461 1.081  0.406 1.025  0.387 0.955  0.387 0.876  0.326 0.859  0.248 0.859  0.239 0.789  0.239 0.710  0.169 0.675  0.099 0.640  0.028 0.605  -0.042 0.570  -0.057 0.501  -0.057 0.423  -0.057 0.344  -0.057 0.266  -0.093 0.196  -0.128 0.125  -0.163 0.055  -0.198 -0.015  -0.233 -0.085  -0.268 -0.155  -0.303 -0.226  -0.338 -0.296  -0.354 -0.371  -0.354 -0.449  -0.354 -0.527  -0.354 -0.606  -0.354 -0.684  -0.354 -0.763  -0.354 -0.841  -0.354 -0.920  -0.354 -0.998  -0.354 -1.077  -0.354 -1.155  -0.341 -1.228  -0.286 -1.284  -0.230 -1.339  -0.175 -1.395  -0.119 -1.450  -0.064 -1.506  -0.057 -1.582  -0.057 -1.660
1d#apa#apa03#app0390/)  -0.672 1.557  -0.615 1.500  -0.557 1.442  -0.500 1.385  -0.442 1.328  -0.385 1.270  -0.328 1.212  -0.328 1.131  -0.328 1.050  -0.277 0.990  -0.219 0.932  -0.162 0.875  -0.156 0.796  -0.156 0.715  -0.092 0.697  -0.011 0.697  0.054 0.659  0.112 0.601  0.169 0.544  0.189 0.470  0.189 0.389  0.209 0.312  0.245 0.240  0.281 0.167  0.318 0.094  0.354 0.021  0.361 -0.058  0.361 -0.139  0.361 -0.221  0.361 -0.302  0.361 -0.383  0.361 -0.465  0.335 -0.535  0.277 -0.593  0.220 -0.650  0.189 -0.719  0.189 -0.800  0.189 -0.881  0.189 -0.962  0.176 -1.038  0.118 -1.096  0.061 -1.153  0.017 -1.216  0.017 -1.298  0.007 -1.370  -0.074 -1.370  -0.155 -1.370  -0.213 -1.427  -0.270 -1.484  -0.328 -1.542
1d#apa#apa03#app0390/`  -0.650 1.597  -0.650 1.519  -0.650 1.440  -0.650 1.362  -0.650 1.283  -0.650 1.205  -0.650 1.126  -0.650 1.048  -0.650 0.969  -0.650 0.891  -0.650 0.812  -0.650 0.734  -0.650 0.655  -0.623 0.588  -0.568 0.532  -0.512 0.477  -0.457 0.421  -0.401 0.366  -0.346 0.310  -0.290 0.255  -0.235 0.199  -0.179 0.144  -0.124 0.088  -0.068 0.032  -0.013 -0.023  0.043 -0.079  0.098 -0.134  0.154 -0.190  0.209 -0.245  0.265 -0.301  0.320 -0.356  0.333 -0.430  0.333 -0.508  0.333 -0.587  0.333 -0.665  0.333 -0.744  0.333 -0.822  0.373 -0.860  0.452 -0.860  0.530 -0.860  0.609 -0.860  0.687 -0.860  0.766 -0.860  0.824 -0.880  0.824 -0.959  0.824 -1.037  0.824 -1.116  0.824 -1.194  0.824 -1.273  0.824 -1.351
1d#apa#apa03#app0390/~  -0.898 -0.026  -0.898 -0.154  -0.932 -0.248  -1.060 -0.248  -1.120 -0.316  -1.120 -0.444  -1.222 -0.470  -1.335 -0.470  -1.207 -0.470  -1.120 -0.428  -1.120 -0.300  -1.067 -0.195  -0.976 -0.104  -0.886 -0.013  -0.795 0.077  -0.705 0.168  -0.588 0.196  -0.460 0.196  -0.454 0.318  -0.426 0.418  -0.298 0.418  -0.232 0.480  -0.232 0.608  -0.232 0.545  -0.230 0.418  -0.102 0.418  -0.009 0.383  -0.009 0.255  -0.009 0.127  -0.009 -0.001  -0.009 -0.129  -0.001 -0.248  0.127 -0.248  0.255 -0.248  0.384 -0.248  0.512 -0.248  0.640 -0.248  0.735 -0.170  0.826 -0.079  0.932 -0.026  1.060 -0.026  1.188 -0.026  1.316 -0.026  1.444 -0.026  1.572 -0.026  1.700 -0.026  1.768 0.034  1.768 0.162  1.768 0.290  1.768 0.418
1d#apa#apa03#app0390/  -1.424 0.065  -1.368 0.009  -1.311 -0.048  -1.255 -0.104  -1.198 -0.161  -1.142 -0.217  -1.086 -0.273  -1.029 -0.330  -0.973 -0.386  -0.959 -0.339  -0.959 -0.259  -0.959 -0.179  -0.959 -0.099  -0.959 -0.019  -0.959 0.060  -0.884 0.065  -0.804 0.065  -0.725 0.065  -0.645 0.065  -0.565 0.065  -0.485 0.065  -0.405 0.065  -0.326 0.065  -0.246 0.065  -0.166 0.065  -0.086 0.065  -0.006 0.065  0.074 0.065  0.153 0.065  0.233 0.065  0.313 0.065  0.393 0.065  0.473 0.065  0.552 0.065  0.632 0.065  0.712 0.065  0.792 0.065  0.872 0.065  0.952 0.065  1.031 0.065  1.111 0.065  1.191 0.065  1.271 0.065  1.351 0.065  1.430 0.065  1.510 0.065  1.590 0.065  1.670 0.065  1.750 0.065  1.830 0.065
1d#apa#apa03#app0390/_  -1.717 0.013  -1.646 0.013  -1.576 0.013  -1.505 0.013  -1.434 0.013  -1.364 0.013  -1.293 0.013  -1.223 0.013  -1.152 0.013  -1.081 0.013  -1.011 0.013  -0.940 0.013  -0.870 0.013  -0.799 0.013  -0.728 0.013  -0.658 0.013  -0.587 0.013  -0.517 0.013  -0.446 0.013  -0.375 0.013  -0.305 0.013  -0.234 0.013  -0.164 0.013  -0.093 0.013  -0.022 0.013  0.048 0.013  0.119 0.013  0.189 0.013  0.260 0.013  0.330 0.013  0.401 0.013  0.472 0.013  0.542 0.013  0.613 0.013  0.683 0.013  0.754 0.013  0.825 0.013  0.895 0.013  0.966 0.013  1.036 0.013  1.107 0.013  1.178 0.013  1.248 0.013  1.319 0.013  1.389 0.013  1.460 0.013  1.476 -0.041  1.476 -0.112  1.476 -0.183  1.476 -0.253
1d#apa#apa03#app0390/+  0.533 1.525  0.714 1.525  0.745 1.375  0.745 1.194  0.657 1.100  0.533 1.043  0.533 0.862  0.533 0.681  0.533 0.499  0.430 0.360  0.321 0.225  0.321 0.043  0.321 -0.138  0.321 -0.319  0.207 -0.387  0.108 -0.470  0.108 -0.651  0.087 -0.812  -0.094 -0.812  -0.104 -0.983  -0.104 -1.164  -0.104 -1.345  -0.151 -1.387  -0.260 -1.242  -0.369 -1.097  -0.477 -0.951  -0.586 -0.806  -0.695 -0.661  -0.804 -0.516  -0.913 -0.371  -1.021 -0.226  -1.130 -0.081  -1.239 0.064  -1.348 0.209  -1.249 0.251  -1.068 0.251  -0.887 0.251  -0.705 0.251  -0.524 0.251  -0.343 0.251  -0.161 0.251  0.020 0.251  0.201 0.251  0.383 0.251  0.564 0.251  0.745 0.251  0.927 0.251  1.108 0.251  1.255 0.166  1.383 0.038
1d#apa#apa03#app0390/=  -1.508 0.672  -1.344 0.672  -1.179 0.672  -1.015 0.672  -0.851 0.672  -0.686 0.672  -0.522 0.672  -0.358 0.672  -0.208 0.734  -0.061 0.808  0.086 0.881  0.244 0.907  0.409 0.907  0.573 0.907  0.699 0.814  0.815 0.698  0.968 0.672  1.133 0.672  1.297 0.672  1.189 0.586  1.054 0.492  0.919 0.397  0.785 0.303  0.650 0.209  0.515 0.115  0.381 0.020  0.246 -0.074  0.112 -0.168  -0.023 -0.262  -0.158 -0.357  -0.292 -0.451  -0.427 -0.545  -0.561 -0.639  -0.696 -0.733  -0.831 -0.828  -0.965 -0.922  -0.984 -0.919  -0.868 -0.803  -0.731 -0.738  -0.567 -0.738  -0.402 -0.738  -0.238 -0.738  -0.074 -0.738  0.091 -0.738  0.255 -0.738  0.419 -0.738  0.584 -0.738  0.607 -0.879  0.677 -0.973  0.842 -0.973
1d#apa#apa03#app0390/[  1.243 0.988  1.139 0.988  1.035 0.988  0.931 0.988  0.828 0.988  0.724 0.988  0.620 0.988  0.517 0.988  0.413 0.988  0.309 0.988  0.206 0.988  0.102 0.988  0.012 0.955  -0.061 0.882  -0.159 0.868  -0.263 0.868  -0.315 0.816  -0.351 0.749  -0.434 0.729  -0.434 0.625  -0.434 0.521  -0.434 0.418  -0.434 0.314  -0.434 0.210  -0.434 0.107  -0.434 0.003  -0.434 -0.101  -0.434 -0.204  -0.434 -0.308  -0.434 -0.412  -0.434 -0.516  -0.434 -0.619  -0.469 -0.689  -0.554 -0.707  -0.554 -0.810  -0.554 -0.914  -0.554 -1.018  -0.481 -1.048  -0.377 -1.048  -0.273 -1.048  -0.170 -1.048  -0.066 -1.048  0.038 -1.048  0.141 -1.048  0.245 -1.048  0.349 -1.048  0.452 -1.048  0.556 -1.048  0.660 -1.048  0.763 -1.048
1d#apa#apa03#app0390/]  -1.017 0.997  -0.920 0.997  -0.822 0.997  -0.724 0.997  -0.627 0.997  -0.529 0.997  -0.432 0.997  -0.334 0.997  -0.236 0.997  -0.139 0.997  -0.041 0.997  0.057 0.997  0.154 0.997  0.252 0.997  0.350 0.997  0.412 0.961  0.412 0.864  0.412 0.766  0.343 0.737  0.282 0.701  0.282 0.603  0.282 0.505  0.282 0.408  0.282 0.310  0.278 0.214  0.209 0.145  0.152 0.071  0.152 -0.027  0.152 -0.124  0.152 -0.222  0.152 -0.320  0.152 -0.417  0.152 -0.515  0.152 -0.613  0.152 -0.710  0.152 -0.808  0.152 -0.905  0.152 -1.003  0.165 -1.095  0.234 -1.164  0.282 -1.242  0.282 -1.340  0.186 -1.341  0.088 -1.341  -0.010 -1.341  -0.107 -1.341  -0.205 -1.341  -0.302 -1.341  -0.400 -1.341  -0.498 -1.341
1d#apa#apa03#app0390/{  0.688 1.288  0.577 1.288  0.466 1.288  0.355 1.288  0.243 1.288  0.132 1.288  0.021 1.288  -0.020 1.218  -0.060 1.147  -0.168 1.140  -0.247 1.061  -0.326 0.983  -0.404 0.904  -0.406 0.825  -0.328 0.747  -0.249 0.668  -0.170 0.589  -0.063 0.580  -0.020 0.512  0.018 0.439  0.127 0.434  0.206 0.355  0.263 0.268  0.263 0.156  0.153 0.156  0.122 0.076  0.122 -0.036  0.122 -0.147  0.122 -0.258  0.122 -0.369  0.052 -0.411  -0.059 -0.411  -0.161 -0.420  -0.161 -0.531  -0.251 -0.552  -0.303 -0.612  -0.303 -0.723  -0.303 -0.834  -0.193 -0.836  -0.161 -0.915  -0.127 -1.012  -0.048 -1.091  -0.020 -1.190  -0.020 -1.301  -0.020 -1.412  -0.020 -1.524  -0.020 -1.635  0.041 -1.685  0.152 -1.685  0.263 -1.685
1d#apa#apa03#app0390/}  -0.487 1.419  -0.371 1.419  -0.350 1.323  -0.275 1.282  -0.158 1.282  -0.046 1.267  0.058 1.215  0.162 1.163  0.275 1.145  0.334 1.089  0.371 1.008  0.471 0.993  0.471 0.876  0.471 0.760  0.380 0.735  0.334 0.664  0.285 0.598  0.198 0.568  0.189 0.461  0.072 0.461  -0.044 0.461  -0.076 0.377  -0.140 0.324  -0.213 0.281  -0.213 0.164  -0.213 0.048  -0.213 -0.068  -0.115 -0.087  -0.076 -0.164  -0.076 -0.281  -0.040 -0.361  0.061 -0.376  0.061 -0.493  0.061 -0.609  -0.030 -0.635  -0.076 -0.705  -0.126 -0.772  -0.213 -0.801  -0.213 -0.917  -0.213 -1.034  -0.109 -1.045  -0.076 -1.129  -0.013 -1.182  0.061 -1.225  0.061 -1.342  0.061 -1.458  0.061 -1.574  -0.009 -1.662  -0.097 -1.730  -0.213 -1.730
