1d#apb#apb31#app3193/.  -1.320 -0.787  -1.320 -0.712  -1.320 -0.637  -1.316 -0.564  -1.275 -0.501  -1.233 -0.439  -1.192 -0.377  -1.150 -0.314  -1.109 -0.252  -1.067 -0.190  -1.026 -0.128  -0.984 -0.065  -0.943 -0.003  -0.901 0.059  -0.840 0.084  -0.765 0.084  -0.690 0.084  -0.615 0.084  -0.540 0.084  -0.465 0.084  -0.391 0.084  -0.316 0.084  -0.241 0.084  -0.166 0.084  -0.091 0.084  -0.016 0.084  0.059 0.084  0.133 0.084  0.208 0.084  0.283 0.084  0.358 0.084  0.433 0.084  0.508 0.084  0.582 0.084  0.657 0.084  0.732 0.084  0.807 0.084  0.882 0.084  0.957 0.084  1.032 0.084  1.103 0.098  1.170 0.131  1.237 0.165  1.304 0.198  1.371 0.232  1.438 0.265  1.505 0.299  1.511 0.370  1.511 0.445  1.511 0.520
1d#apb#apb31#app3193/,  -0.622 1.449  -0.550 1.449  -0.486 1.423  -0.423 1.388  -0.361 1.352  -0.299 1.316  -0.236 1.281  -0.197 1.226  -0.171 1.159  -0.145 1.092  -0.120 1.025  -0.094 0.958  -0.068 0.891  -0.042 0.824  -0.017 0.757  0.009 0.690  0.028 0.621  0.045 0.551  0.063 0.481  0.080 0.412  0.098 0.342  0.115 0.273  0.133 0.203  0.150 0.133  0.167 0.064  0.185 -0.006  0.196 -0.076  0.196 -0.148  0.196 -0.220  0.196 -0.292  0.196 -0.363  0.196 -0.435  0.196 -0.507  0.196 -0.579  0.196 -0.650  0.196 -0.722  0.191 -0.793  0.171 -0.862  0.150 -0.931  0.129 -0.999  0.109 -1.068  0.088 -1.137  0.068 -1.206  0.047 -1.274  0.026 -1.343  0.006 -1.412  -0.015 -1.480  -0.036 -1.549  -0.056 -1.618  -0.077 -1.687
1d#apb#apb31#app3193/;  -0.075 1.428  -0.075 1.501  -0.050 1.549  -0.003 1.501  0.038 1.441  0.011 1.382  -0.032 1.323  -0.075 1.265  -0.075 1.192  -0.075 1.119  -0.075 1.046  -0.075 0.973  -0.075 0.900  -0.075 0.827  -0.075 0.754  -0.075 0.681  -0.075 0.608  -0.075 0.535  -0.075 0.462  -0.075 0.389  -0.075 0.316  -0.075 0.243  -0.075 0.171  -0.075 0.098  -0.075 0.025  -0.075 -0.048  -0.075 -0.121  -0.075 -0.194  -0.075 -0.267  -0.075 -0.340  -0.075 -0.413  -0.075 -0.486  -0.075 -0.559  -0.075 -0.632  -0.075 -0.705  -0.075 -0.778  -0.057 -0.841  0.003 -0.882  0.058 -0.929  0.096 -0.990  0.135 -1.052  0.174 -1.114  0.212 -1.176  0.248 -1.239  0.248 -1.312  0.248 -1.385  0.248 -1.458  0.248 -1.530  0.248 -1.603  0.248 -1.676
1d#apb#apb31#app3193/:  0.259 1.658  0.213 1.630  0.203 1.561  0.194 1.491  0.185 1.421  0.176 1.352  0.166 1.282  0.157 1.212  0.148 1.143  0.138 1.073  0.129 1.003  0.120 0.934  0.110 0.864  0.101 0.794  0.092 0.725  0.083 0.655  0.073 0.585  0.064 0.516  0.055 0.446  0.045 0.376  0.036 0.307  0.027 0.237  0.018 0.167  0.008 0.098  -0.001 0.028  -0.010 -0.042  -0.020 -0.111  -0.029 -0.181  -0.038 -0.251  -0.047 -0.321  -0.057 -0.390  -0.066 -0.460  -0.075 -0.530  -0.085 -0.599  -0.094 -0.669  -0.103 -0.739  -0.112 -0.808  -0.122 -0.878  -0.131 -0.948  -0.140 -1.017  -0.150 -1.087  -0.159 -1.157  -0.168 -1.226  -0.177 -1.296  -0.187 -1.366  -0.196 -1.435  -0.205 -1.505  -0.201 -1.553  -0.143 -1.514  -0.084 -1.475
1d#apb#apb31#app3193/$  0.827 0.984  0.663 1.148  0.448 1.147  0.255 1.021  0.081 0.862  -0.103 0.716  -0.266 0.548  -0.372 0.340  -0.415 0.111  -0.388 -0.122  -0.292 -0.333  -0.111 -0.474  0.083 -0.605  0.263 -0.757  0.457 -0.889  0.565 -1.035  0.355 -1.107  0.142 -1.205  -0.081 -1.282  -0.305 -1.355  -0.537 -1.382  -0.773 -1.382  -0.780 -1.205  -0.686 -0.989  -0.592 -0.773  -0.498 -0.556  -0.404 -0.340  -0.310 -0.124  -0.216 0.092  -0.122 0.308  -0.028 0.524  0.066 0.740  0.160 0.956  0.254 1.172  0.348 1.388  0.442 1.604  0.499 1.640  0.469 1.409  0.386 1.189  0.300 0.969  0.241 0.741  0.186 0.512  0.134 0.282  0.091 0.051  0.048 -0.181  0.003 -0.412  -0.054 -0.641  -0.111 -0.869  -0.146 -1.102  -0.181 -1.335
1d#apb#apb31#app3193/#  0.177 1.426  0.063 1.325  -0.098 0.978  -0.285 0.644  -0.447 0.297  -0.578 -0.062  -0.711 -0.419  -0.909 -0.745  -0.942 -0.838  -0.673 -0.566  -0.404 -0.294  -0.135 -0.022  0.134 0.249  0.403 0.521  0.673 0.793  0.942 1.065  1.211 1.337  1.387 1.483  1.205 1.147  1.002 0.823  0.798 0.499  0.655 0.144  0.512 -0.210  0.362 -0.562  0.235 -0.923  0.096 -1.279  -0.064 -1.531  -0.307 -1.236  -0.550 -0.941  -0.794 -0.645  -1.037 -0.350  -1.280 -0.055  -1.344 0.189  -0.968 0.230  -0.585 0.230  -0.203 0.230  0.180 0.230  0.562 0.220  0.941 0.179  1.035 0.176  0.680 0.035  0.324 -0.107  -0.031 -0.248  -0.387 -0.389  -0.742 -0.531  -0.775 -0.610  -0.397 -0.563  -0.023 -0.487  0.355 -0.429  0.737 -0.407
1d#apb#apb31#app3193/&  0.800 -0.957  0.653 -0.964  0.538 -0.861  0.411 -0.751  0.307 -0.616  0.225 -0.472  0.191 -0.306  0.131 -0.147  0.114 0.022  0.096 0.190  0.104 0.359  0.111 0.528  0.050 0.683  0.063 0.850  0.134 1.001  0.249 1.125  0.361 1.252  0.509 1.323  0.575 1.466  0.718 1.493  0.763 1.330  0.797 1.164  0.819 0.996  0.802 0.828  0.727 0.678  0.645 0.530  0.561 0.382  0.463 0.244  0.346 0.124  0.221 0.013  0.080 -0.031  -0.055 -0.099  -0.180 -0.046  -0.349 -0.046  -0.518 -0.034  -0.685 -0.044  -0.829 -0.132  -0.947 -0.249  -1.049 -0.374  -1.076 -0.541  -1.115 -0.705  -1.139 -0.871  -1.096 -1.033  -0.978 -1.142  -0.818 -1.172  -0.655 -1.136  -0.506 -1.056  -0.351 -0.988  -0.191 -0.932  -0.031 -0.876
1d#apb#apb31#app3193/!  0.194 1.331  0.194 1.402  0.254 1.421  0.294 1.480  0.330 1.434  0.342 1.364  0.333 1.293  0.324 1.222  0.314 1.151  0.304 1.080  0.294 1.009  0.284 0.938  0.274 0.867  0.253 0.799  0.220 0.735  0.188 0.670  0.156 0.606  0.131 0.539  0.110 0.471  0.089 0.402  0.068 0.334  0.046 0.265  0.024 0.197  0.001 0.129  -0.021 0.061  -0.044 -0.008  -0.068 -0.075  -0.092 -0.143  -0.117 -0.210  -0.141 -0.278  -0.159 -0.347  -0.167 -0.418  -0.175 -0.490  -0.182 -0.561  -0.189 -0.632  -0.196 -0.704  -0.203 -0.775  -0.210 -0.847  -0.217 -0.918  -0.223 -0.990  -0.230 -1.061  -0.237 -1.133  -0.244 -1.204  -0.251 -1.276  -0.257 -1.347  -0.264 -1.418  -0.271 -1.490  -0.278 -1.561  -0.303 -1.622  -0.281 -1.690
1d#apb#apb31#app3193/?  -0.838 0.406  -0.828 0.470  -0.782 0.557  -0.691 0.616  -0.610 0.687  -0.529 0.757  -0.442 0.822  -0.354 0.884  -0.247 0.894  -0.141 0.907  -0.054 0.972  0.033 1.035  0.140 1.049  0.248 1.056  0.356 1.056  0.463 1.047  0.566 1.023  0.650 0.956  0.701 0.869  0.695 0.762  0.647 0.666  0.598 0.569  0.540 0.479  0.478 0.390  0.413 0.304  0.341 0.224  0.259 0.154  0.168 0.099  0.069 0.055  -0.007 -0.016  -0.067 -0.106  -0.136 -0.187  -0.219 -0.256  -0.272 -0.349  -0.296 -0.435  -0.292 -0.542  -0.269 -0.647  -0.245 -0.751  -0.169 -0.827  -0.093 -0.904  -0.049 -0.996  -0.033 -1.103  -0.016 -1.210  -0.000 -1.317  0.016 -1.423  0.032 -1.530  0.049 -1.637  0.065 -1.744  0.081 -1.850  0.072 -1.936
1d#apb#apb31#app3193/  1.030 1.343  0.977 1.298  0.924 1.253  0.873 1.207  0.824 1.158  0.783 1.102  0.747 1.043  0.712 0.983  0.675 0.924  0.632 0.869  0.590 0.815  0.548 0.760  0.505 0.705  0.463 0.650  0.420 0.595  0.378 0.540  0.335 0.485  0.293 0.431  0.250 0.376  0.208 0.321  0.167 0.265  0.126 0.209  0.086 0.152  0.046 0.095  0.006 0.039  -0.034 -0.018  -0.074 -0.075  -0.114 -0.131  -0.154 -0.188  -0.192 -0.246  -0.230 -0.304  -0.268 -0.362  -0.306 -0.420  -0.344 -0.478  -0.382 -0.536  -0.420 -0.594  -0.458 -0.652  -0.496 -0.710  -0.537 -0.766  -0.579 -0.822  -0.620 -0.877  -0.662 -0.933  -0.704 -0.988  -0.745 -1.044  -0.787 -1.099  -0.826 -1.156  -0.862 -1.216  -0.898 -1.275  -0.935 -1.334  -0.971 -1.393
1d#apb#apb31#app3193/'  0.648 0.595  0.648 0.675  0.648 0.755  0.648 0.834  0.648 0.914  0.648 0.994  0.648 1.074  0.648 1.154  0.662 1.175  0.697 1.104  0.715 1.032  0.679 0.961  0.640 0.891  0.584 0.835  0.527 0.778  0.471 0.722  0.415 0.665  0.358 0.609  0.302 0.553  0.245 0.496  0.189 0.440  0.132 0.383  0.087 0.318  0.046 0.250  0.005 0.181  -0.036 0.113  -0.077 0.044  -0.119 -0.024  -0.160 -0.093  -0.201 -0.161  -0.242 -0.229  -0.283 -0.298  -0.324 -0.366  -0.360 -0.438  -0.392 -0.511  -0.425 -0.584  -0.457 -0.656  -0.489 -0.729  -0.522 -0.802  -0.554 -0.875  -0.587 -0.948  -0.619 -1.021  -0.651 -1.094  -0.683 -1.168  -0.714 -1.241  -0.746 -1.314  -0.777 -1.388  -0.808 -1.461  -0.840 -1.535  -0.871 -1.608
