1d#app#app19#app1919/!  -0.043 1.169  -0.043 1.246  -0.043 1.323  -0.043 1.401  -0.076 1.445  -0.153 1.445  -0.181 1.396  -0.181 1.318  -0.181 1.241  -0.181 1.164  -0.181 1.087  -0.181 1.010  -0.181 0.933  -0.181 0.856  -0.181 0.778  -0.181 0.701  -0.181 0.624  -0.181 0.547  -0.174 0.473  -0.119 0.418  -0.065 0.364  -0.043 0.295  -0.043 0.218  -0.043 0.141  -0.043 0.064  -0.043 -0.013  -0.043 -0.090  -0.043 -0.167  -0.043 -0.245  -0.043 -0.322  -0.043 -0.399  -0.043 -0.476  -0.043 -0.553  -0.043 -0.630  -0.043 -0.708  -0.043 -0.785  -0.043 -0.862  -0.019 -0.931  0.027 -0.993  0.073 -1.055  0.120 -1.116  0.166 -1.178  0.212 -1.240  0.258 -1.301  0.305 -1.363  0.351 -1.425  0.415 -1.451  0.492 -1.451  0.569 -1.451  0.647 -1.451
1d#app#app19#app1919/@  0.430 -0.189  0.386 0.027  0.205 0.156  -0.030 0.156  -0.213 0.030  -0.260 -0.185  -0.260 -0.420  -0.260 -0.655  -0.077 -0.707  0.085 -0.634  0.181 -0.439  0.258 -0.236  0.273 -0.017  0.430 0.061  0.290 0.156  0.085 0.126  0.085 -0.109  0.085 -0.344  0.238 -0.515  0.465 -0.534  0.700 -0.534  0.888 -0.421  1.054 -0.255  1.120 -0.048  1.120 0.187  1.120 0.422  1.120 0.657  0.966 0.828  0.800 0.994  0.634 1.160  0.468 1.326  0.249 1.364  0.014 1.364  -0.182 1.269  -0.384 1.191  -0.442 1.009  -0.608 0.843  -0.774 0.677  -0.818 0.460  -0.972 0.285  -1.077 0.075  -1.123 -0.149  -1.123 -0.384  -1.063 -0.594  -0.950 -0.782  -0.950 -1.017  -0.809 -1.193  -0.643 -1.360  -0.477 -1.526  -0.260 -1.570
1d#app#app19#app1919/#  0.862 0.685  0.705 0.843  0.437 0.732  0.234 0.593  0.169 0.306  0.057 0.038  -0.081 -0.220  -0.276 -0.453  -0.395 -0.718  -0.552 -0.967  -0.701 -1.188  -0.516 -0.934  -0.332 -0.679  -0.148 -0.424  0.036 -0.169  0.220 0.086  0.404 0.341  0.588 0.596  0.772 0.851  0.956 1.106  1.140 1.360  1.324 1.615  1.194 1.472  1.036 1.314  0.920 1.058  0.809 0.789  0.698 0.521  0.548 0.269  0.548 -0.046  0.432 -0.333  0.391 -0.637  0.178 -0.664  -0.122 -0.572  -0.423 -0.479  -0.723 -0.387  -1.024 -0.294  -1.324 -0.202  -1.625 -0.109  -1.368 -0.101  -1.054 -0.101  -0.739 -0.101  -0.425 -0.101  -0.110 -0.101  -0.022 -0.182  -0.263 -0.384  -0.505 -0.585  -0.746 -0.786  -0.710 -0.887  -0.395 -0.887  -0.081 -0.887
1d#app#app19#app1919/$  0.855 0.187  1.042 0.289  1.024 0.560  0.855 0.680  0.633 0.747  0.344 0.747  0.126 0.577  -0.156 0.560  -0.392 0.433  -0.651 0.360  -0.868 0.187  -0.865 0.187  -0.763 0.000  -0.474 0.000  -0.194 -0.035  0.065 -0.164  0.295 -0.239  0.451 -0.373  0.664 -0.555  0.855 -0.765  0.855 -1.054  0.669 -1.156  0.530 -1.306  0.257 -1.344  0.030 -1.493  -0.259 -1.493  -0.439 -1.397  -0.403 -1.110  -0.367 -0.824  -0.332 -0.537  -0.296 -0.250  -0.260 0.036  -0.224 0.323  -0.188 0.610  -0.153 0.896  -0.117 1.183  -0.081 1.470  -0.078 1.758  -0.205 1.739  -0.265 1.475  -0.265 1.186  -0.265 0.897  -0.265 0.608  -0.265 0.319  -0.215 0.039  -0.124 -0.235  -0.078 -0.517  -0.078 -0.806  -0.078 -1.095  0.109 -1.306
1d#app#app19#app1919/%  -0.791 0.423  -0.654 0.516  -0.791 0.610  -0.934 0.698  -1.066 0.600  -1.242 0.522  -1.341 0.332  -1.341 0.102  -1.201 0.011  -0.971 0.011  -0.755 0.047  -0.654 0.236  -0.526 0.414  -0.516 0.641  -0.516 0.872  -0.516 1.103  -0.319 1.171  -0.242 1.370  -0.026 1.385  0.154 1.264  0.171 1.040  0.171 0.810  0.171 0.579  0.171 0.348  0.171 0.117  0.171 -0.114  0.033 -0.287  0.033 -0.518  0.001 -0.741  -0.102 -0.948  -0.041 -1.026  0.122 -0.863  0.285 -0.700  0.449 -0.536  0.612 -0.373  0.644 -0.264  0.583 -0.434  0.457 -0.539  0.446 -0.758  0.472 -0.978  0.657 -1.089  0.858 -1.059  0.981 -0.951  1.075 -0.814  1.255 -0.692  1.239 -0.475  1.135 -0.269  0.907 -0.264  0.677 -0.264  0.446 -0.264
1d#app#app19#app1919/^  -1.323 -0.908  -1.323 -0.784  -1.309 -0.665  -1.221 -0.577  -1.133 -0.489  -1.095 -0.380  -1.095 -0.255  -1.003 -0.223  -0.878 -0.223  -0.787 -0.143  -0.699 -0.055  -0.638 0.045  -0.638 0.169  -0.578 0.234  -0.454 0.234  -0.409 0.315  -0.409 0.439  -0.308 0.463  -0.184 0.463  -0.181 0.584  -0.168 0.704  -0.080 0.792  0.008 0.880  0.116 0.920  0.241 0.920  0.276 1.009  0.276 1.134  0.276 1.038  0.276 0.914  0.276 0.789  0.276 0.664  0.276 0.540  0.310 0.429  0.398 0.341  0.486 0.253  0.548 0.146  0.604 0.035  0.660 -0.077  0.716 -0.188  0.733 -0.308  0.733 -0.433  0.733 -0.558  0.735 -0.682  0.823 -0.770  0.911 -0.858  0.961 -0.961  0.961 -1.086  1.014 -1.189  1.102 -1.277  1.190 -1.365
1d#app#app19#app1919/&  0.764 -0.813  0.764 -0.901  0.676 -0.813  0.632 -0.681  0.469 -0.650  0.368 -0.516  0.314 -0.363  0.189 -0.238  0.049 -0.152  -0.029 -0.054  -0.129 0.080  -0.254 0.205  -0.378 0.329  -0.425 0.486  -0.534 0.617  -0.621 0.768  -0.689 0.928  -0.689 1.104  -0.611 1.247  -0.557 1.401  -0.417 1.441  -0.292 1.565  -0.116 1.565  0.034 1.503  0.103 1.356  0.103 1.180  0.103 1.004  0.049 0.850  -0.029 0.707  -0.029 0.531  -0.077 0.362  -0.133 0.196  -0.223 0.050  -0.293 -0.097  -0.378 -0.238  -0.425 -0.394  -0.425 -0.570  -0.425 -0.746  -0.425 -0.922  -0.404 -1.077  -0.247 -1.123  -0.107 -1.209  0.069 -1.209  0.245 -1.209  0.406 -1.171  0.530 -1.047  0.660 -0.931  0.818 -0.852  0.985 -0.813  1.028 -0.681
1d#app#app19#app1919/*  -0.896 0.605  -0.719 0.433  -0.477 0.186  -0.231 -0.061  -0.011 -0.318  0.167 -0.489  0.309 -0.778  0.466 -0.989  0.637 -1.166  0.722 -0.879  0.750 -0.532  0.779 -0.185  0.808 0.162  0.837 0.509  0.866 0.856  0.650 0.911  0.521 0.616  0.344 0.341  0.167 0.066  0.007 -0.183  -0.188 -0.411  -0.401 -0.671  -0.681 -0.760  -1.007 -0.637  -1.333 -0.515  -1.659 -0.393  -1.929 -0.281  -1.581 -0.281  -1.238 -0.293  -0.958 -0.458  -0.610 -0.458  -0.292 -0.530  0.013 -0.635  0.361 -0.635  0.709 -0.635  0.825 -0.459  0.729 -0.125  0.633 0.210  0.538 0.545  0.442 0.880  0.346 1.214  0.251 1.549  0.167 1.802  0.167 1.454  0.167 1.106  0.167 0.758  0.167 0.410  0.167 0.062  0.167 -0.287  0.167 -0.635
1d#app#app19#app1919/(  0.242 1.279  0.242 1.354  0.242 1.428  0.192 1.453  0.117 1.453  0.068 1.427  0.068 1.352  0.068 1.278  0.068 1.203  0.068 1.128  0.045 1.059  0.012 0.992  -0.022 0.926  -0.055 0.859  -0.088 0.792  -0.105 0.721  -0.105 0.647  -0.105 0.572  -0.105 0.498  -0.105 0.423  -0.105 0.348  -0.105 0.274  -0.105 0.199  -0.105 0.124  -0.105 0.050  -0.105 -0.025  -0.105 -0.100  -0.105 -0.174  -0.105 -0.249  -0.105 -0.323  -0.105 -0.398  -0.105 -0.473  -0.105 -0.547  -0.105 -0.622  -0.105 -0.697  -0.105 -0.771  -0.105 -0.846  -0.105 -0.921  -0.105 -0.995  -0.105 -1.070  -0.105 -1.144  -0.057 -1.199  -0.005 -1.252  0.048 -1.305  0.101 -1.358  0.154 -1.410  0.206 -1.463  0.266 -1.499  0.341 -1.499  0.416 -1.499
1d#app#app19#app1919/)  -1.077 0.848  -0.995 0.848  -0.914 0.848  -0.900 0.914  -0.900 0.995  -0.848 1.024  -0.767 1.024  -0.686 1.024  -0.605 1.024  -0.524 1.024  -0.442 1.024  -0.370 1.016  -0.370 0.935  -0.370 0.854  -0.317 0.795  -0.259 0.737  -0.202 0.680  -0.145 0.623  -0.088 0.565  -0.030 0.508  -0.016 0.433  -0.016 0.351  0.017 0.284  0.074 0.227  0.132 0.170  0.189 0.112  0.246 0.055  0.304 -0.002  0.337 -0.070  0.337 -0.151  0.337 -0.232  0.337 -0.313  0.340 -0.393  0.398 -0.450  0.455 -0.507  0.512 -0.565  0.514 -0.645  0.514 -0.726  0.514 -0.807  0.514 -0.888  0.514 -0.969  0.514 -1.050  0.514 -1.132  0.514 -1.213  0.514 -1.294  0.514 -1.375  0.509 -1.454  0.452 -1.511  0.394 -1.569  0.337 -1.626
1d#app#app19#app1919/`  -1.124 1.185  -1.124 1.100  -1.124 1.016  -1.124 0.932  -1.099 0.872  -1.014 0.872  -0.930 0.872  -0.845 0.872  -0.761 0.872  -0.677 0.872  -0.592 0.872  -0.508 0.872  -0.499 0.797  -0.499 0.712  -0.499 0.628  -0.487 0.548  -0.428 0.489  -0.368 0.429  -0.308 0.369  -0.249 0.309  -0.189 0.250  -0.129 0.190  -0.069 0.130  -0.010 0.071  0.050 0.011  0.110 -0.049  0.125 -0.127  0.125 -0.211  0.125 -0.295  0.128 -0.377  0.213 -0.377  0.297 -0.377  0.382 -0.377  0.438 -0.405  0.438 -0.490  0.438 -0.574  0.438 -0.658  0.491 -0.689  0.576 -0.689  0.660 -0.689  0.745 -0.689  0.806 -0.745  0.866 -0.805  0.925 -0.864  0.985 -0.924  1.045 -0.984  1.063 -1.061  1.063 -1.145  1.063 -1.230  1.063 -1.314
