1d#app#app19#app1931/[  0.912 0.633  1.028 0.633  1.031 0.745  0.923 0.752  0.912 0.857  0.811 0.871  0.695 0.871  0.608 0.938  0.514 0.990  0.398 0.990  0.317 0.955  0.286 0.871  0.171 0.871  0.056 0.871  -0.054 0.857  -0.136 0.775  -0.242 0.752  -0.334 0.696  -0.423 0.633  -0.532 0.617  -0.613 0.535  -0.720 0.514  -0.811 0.456  -0.872 0.366  -0.872 0.250  -0.849 0.158  -0.739 0.144  -0.658 0.062  -0.552 0.039  -0.460 -0.017  -0.378 -0.099  -0.296 -0.180  -0.215 -0.262  -0.133 -0.343  -0.051 -0.425  -0.039 -0.535  -0.039 -0.651  -0.039 -0.766  -0.039 -0.882  -0.039 -0.997  -0.039 -1.113  -0.039 -1.228  -0.039 -1.343  -0.039 -1.459  0.008 -1.460  0.094 -1.389  0.209 -1.389  0.324 -1.389  0.440 -1.389  0.555 -1.389
1d#app#app19#app1931/(  0.456 1.237  0.456 1.322  0.436 1.387  0.350 1.387  0.277 1.358  0.217 1.297  0.157 1.237  0.157 1.152  0.136 1.087  0.051 1.087  0.007 1.046  0.007 0.960  -0.055 0.938  -0.141 0.938  -0.180 0.863  -0.218 0.787  -0.256 0.711  -0.293 0.634  -0.293 0.549  -0.293 0.464  -0.293 0.378  -0.293 0.293  -0.293 0.208  -0.293 0.122  -0.293 0.037  -0.293 -0.048  -0.293 -0.133  -0.293 -0.219  -0.293 -0.304  -0.293 -0.389  -0.293 -0.474  -0.293 -0.560  -0.293 -0.645  -0.293 -0.730  -0.293 -0.815  -0.264 -0.889  -0.203 -0.949  -0.143 -1.009  -0.083 -1.069  -0.022 -1.130  0.051 -1.159  0.136 -1.159  0.221 -1.159  0.306 -1.159  0.392 -1.159  0.471 -1.174  0.531 -1.234  0.591 -1.294  0.671 -1.309  0.756 -1.309
1d#app#app19#app1931/)  -1.273 1.126  -1.194 1.126  -1.114 1.126  -1.057 1.073  -1.001 1.017  -0.944 0.964  -0.864 0.964  -0.786 0.963  -0.730 0.907  -0.674 0.851  -0.618 0.795  -0.562 0.739  -0.506 0.683  -0.450 0.627  -0.394 0.571  -0.338 0.515  -0.274 0.478  -0.194 0.478  -0.122 0.462  -0.066 0.406  -0.010 0.350  0.023 0.284  0.023 0.205  0.044 0.134  0.100 0.078  0.156 0.022  0.223 -0.008  0.302 -0.008  0.362 -0.038  0.398 -0.109  0.433 -0.179  0.469 -0.250  0.504 -0.321  0.557 -0.379  0.613 -0.435  0.669 -0.491  0.671 -0.570  0.671 -0.649  0.671 -0.728  0.671 -0.807  0.671 -0.887  0.671 -0.966  0.671 -1.045  0.671 -1.124  0.627 -1.185  0.571 -1.241  0.515 -1.297  0.459 -1.353  0.403 -1.410  0.347 -1.466
1d#app#app19#app1931/(  0.543 0.995  0.543 1.083  0.485 1.113  0.426 1.141  0.426 1.229  0.339 1.230  0.251 1.230  0.163 1.230  0.075 1.230  0.074 1.144  0.017 1.113  -0.044 1.086  -0.044 0.998  -0.129 0.995  -0.161 0.940  -0.161 0.852  -0.161 0.764  -0.221 0.701  -0.278 0.637  -0.278 0.550  -0.278 0.462  -0.278 0.374  -0.278 0.286  -0.278 0.199  -0.278 0.111  -0.278 0.023  -0.278 -0.065  -0.278 -0.153  -0.278 -0.240  -0.278 -0.328  -0.278 -0.416  -0.278 -0.504  -0.278 -0.591  -0.256 -0.670  -0.194 -0.732  -0.161 -0.806  -0.153 -0.890  -0.091 -0.952  -0.044 -1.021  -0.044 -1.109  0.036 -1.116  0.074 -1.167  0.088 -1.249  0.150 -1.311  0.221 -1.351  0.309 -1.351  0.397 -1.351  0.426 -1.410  0.455 -1.468  0.543 -1.468
1d#app#app19#app1931/)  -0.747 1.184  -0.684 1.247  -0.622 1.309  -0.550 1.348  -0.462 1.348  -0.374 1.348  -0.286 1.348  -0.254 1.292  -0.254 1.204  -0.206 1.136  -0.144 1.074  -0.090 1.008  -0.090 0.920  -0.073 0.839  -0.011 0.776  0.052 0.714  0.099 0.641  0.139 0.562  0.178 0.484  0.217 0.405  0.238 0.322  0.238 0.233  0.276 0.161  0.339 0.099  0.401 0.037  0.402 -0.051  0.402 -0.139  0.402 -0.227  0.379 -0.292  0.291 -0.292  0.238 -0.327  0.238 -0.415  0.238 -0.504  0.238 -0.592  0.238 -0.680  0.238 -0.768  0.166 -0.785  0.078 -0.785  0.074 -0.868  0.074 -0.956  0.074 -1.044  0.060 -1.127  -0.002 -1.189  -0.065 -1.251  -0.090 -1.329  -0.090 -1.417  -0.154 -1.441  -0.242 -1.441  -0.254 -1.517  -0.254 -1.605
1d#app#app19#app1931/(  0.554 1.158  0.554 1.240  0.528 1.294  0.447 1.294  0.365 1.294  0.284 1.294  0.283 1.214  0.258 1.158  0.177 1.158  0.147 1.106  0.147 1.025  0.069 1.023  0.001 1.001  -0.035 0.929  -0.072 0.856  -0.108 0.784  -0.124 0.706  -0.124 0.625  -0.124 0.544  -0.136 0.468  -0.194 0.410  -0.251 0.353  -0.260 0.275  -0.260 0.194  -0.260 0.113  -0.260 0.032  -0.260 -0.049  -0.260 -0.130  -0.260 -0.211  -0.260 -0.293  -0.260 -0.374  -0.260 -0.455  -0.260 -0.536  -0.260 -0.617  -0.260 -0.698  -0.233 -0.768  -0.175 -0.826  -0.124 -0.886  -0.124 -0.967  -0.099 -1.038  -0.042 -1.095  0.012 -1.154  0.012 -1.235  0.035 -1.307  0.092 -1.364  0.149 -1.422  0.207 -1.479  0.264 -1.536  0.338 -1.555  0.419 -1.555
1d#app#app19#app1931/)  -0.714 1.131  -0.658 1.187  -0.602 1.243  -0.535 1.271  -0.456 1.271  -0.377 1.271  -0.297 1.271  -0.293 1.196  -0.279 1.131  -0.200 1.131  -0.153 1.099  -0.153 1.019  -0.118 0.955  -0.062 0.899  -0.010 0.841  0.015 0.765  0.041 0.690  0.066 0.615  0.091 0.540  0.116 0.465  0.128 0.388  0.128 0.308  0.170 0.247  0.226 0.191  0.268 0.129  0.268 0.050  0.268 -0.029  0.268 -0.109  0.268 -0.188  0.268 -0.267  0.268 -0.346  0.268 -0.425  0.268 -0.504  0.268 -0.584  0.268 -0.663  0.268 -0.742  0.268 -0.821  0.268 -0.900  0.264 -0.978  0.208 -1.034  0.152 -1.090  0.096 -1.146  0.040 -1.202  -0.013 -1.259  -0.013 -1.339  -0.028 -1.411  -0.084 -1.467  -0.140 -1.523  -0.153 -1.597  -0.153 -1.676
1d#app#app19#app1931/(  0.884 1.004  0.884 1.084  0.864 1.144  0.784 1.144  0.704 1.144  0.624 1.144  0.544 1.144  0.465 1.143  0.465 1.063  0.444 1.004  0.364 1.004  0.296 0.975  0.240 0.918  0.183 0.862  0.127 0.805  0.070 0.749  0.047 0.679  0.047 0.599  -0.001 0.538  -0.057 0.482  -0.114 0.425  -0.170 0.369  -0.227 0.312  -0.233 0.235  -0.241 0.158  -0.298 0.102  -0.354 0.045  -0.372 -0.027  -0.372 -0.107  -0.372 -0.187  -0.372 -0.267  -0.372 -0.347  -0.372 -0.427  -0.372 -0.507  -0.372 -0.587  -0.372 -0.667  -0.372 -0.747  -0.367 -0.826  -0.342 -0.901  -0.316 -0.977  -0.291 -1.053  -0.266 -1.129  -0.240 -1.205  -0.233 -1.283  -0.233 -1.363  -0.179 -1.421  -0.123 -1.478  -0.066 -1.534  -0.010 -1.591  0.047 -1.647
1d#app#app19#app1931/)  -0.931 1.384  -0.850 1.384  -0.774 1.375  -0.717 1.318  -0.660 1.261  -0.603 1.205  -0.546 1.148  -0.490 1.091  -0.433 1.034  -0.376 0.977  -0.319 0.921  -0.262 0.864  -0.206 0.807  -0.189 0.733  -0.189 0.653  -0.120 0.643  -0.040 0.641  0.017 0.585  0.074 0.528  0.107 0.461  0.107 0.381  0.139 0.314  0.196 0.257  0.253 0.200  0.255 0.121  0.255 0.041  0.255 -0.040  0.270 -0.114  0.327 -0.170  0.384 -0.227  0.403 -0.299  0.403 -0.380  0.403 -0.460  0.403 -0.540  0.403 -0.621  0.403 -0.701  0.403 -0.781  0.394 -0.859  0.358 -0.931  0.322 -1.003  0.286 -1.075  0.255 -1.148  0.255 -1.228  0.231 -1.284  0.151 -1.284  0.081 -1.310  0.024 -1.367  -0.032 -1.424  -0.041 -1.500  -0.041 -1.581
1d#app#app19#app1931/(  0.726 1.473  0.667 1.414  0.608 1.355  0.528 1.346  0.453 1.327  0.394 1.268  0.335 1.209  0.276 1.150  0.218 1.091  0.218 1.008  0.178 0.965  0.094 0.965  0.034 0.908  -0.025 0.850  -0.036 0.771  -0.053 0.695  -0.112 0.636  -0.163 0.574  -0.163 0.491  -0.163 0.407  -0.169 0.330  -0.253 0.330  -0.290 0.284  -0.290 0.201  -0.290 0.118  -0.290 0.034  -0.290 -0.049  -0.290 -0.132  -0.290 -0.215  -0.290 -0.299  -0.290 -0.382  -0.290 -0.465  -0.290 -0.549  -0.290 -0.632  -0.290 -0.715  -0.290 -0.799  -0.290 -0.882  -0.273 -0.958  -0.214 -1.017  -0.163 -1.079  -0.163 -1.163  -0.112 -1.195  -0.031 -1.200  0.028 -1.259  0.087 -1.318  0.168 -1.322  0.248 -1.337  0.323 -1.374  0.397 -1.411  0.472 -1.449
1d#app#app19#app1931/)  -0.874 1.289  -0.794 1.289  -0.715 1.289  -0.636 1.289  -0.563 1.273  -0.506 1.217  -0.450 1.161  -0.394 1.105  -0.338 1.048  -0.282 0.993  -0.202 0.993  -0.126 0.985  -0.070 0.928  -0.014 0.872  0.013 0.804  0.013 0.725  0.050 0.660  0.106 0.604  0.161 0.548  0.161 0.468  0.170 0.393  0.226 0.336  0.282 0.280  0.309 0.212  0.309 0.132  0.309 0.053  0.309 -0.026  0.309 -0.106  0.309 -0.185  0.309 -0.265  0.309 -0.344  0.309 -0.423  0.309 -0.503  0.309 -0.582  0.309 -0.662  0.309 -0.741  0.309 -0.820  0.309 -0.900  0.274 -0.965  0.218 -1.021  0.162 -1.077  0.106 -1.133  0.050 -1.189  0.013 -1.254  0.013 -1.333  -0.014 -1.401  -0.070 -1.457  -0.127 -1.513  -0.203 -1.521  -0.282 -1.521
