1d#app#app19#app1932/[  0.827 1.391  0.827 1.295  0.735 1.292  0.666 1.229  0.598 1.162  0.531 1.095  0.436 1.095  0.340 1.095  0.335 1.006  0.249 0.997  0.178 0.938  0.099 0.898  0.008 0.883  -0.078 0.840  -0.162 0.796  -0.229 0.729  -0.313 0.702  -0.355 0.648  -0.405 0.603  -0.453 0.556  -0.453 0.461  -0.453 0.366  -0.453 0.270  -0.419 0.209  -0.355 0.178  -0.335 0.091  -0.268 0.024  -0.200 -0.043  -0.158 -0.121  -0.135 -0.207  -0.068 -0.274  -0.059 -0.365  -0.059 -0.461  -0.059 -0.556  -0.059 -0.651  -0.059 -0.746  -0.059 -0.841  -0.104 -0.918  -0.158 -0.991  -0.158 -1.086  -0.158 -1.181  -0.158 -1.277  -0.158 -1.372  -0.155 -1.464  -0.060 -1.464  0.035 -1.464  0.104 -1.400  0.185 -1.366  0.267 -1.335  0.335 -1.267
1d#app#app19#app1932/(  0.582 1.373  0.502 1.373  0.422 1.373  0.342 1.373  0.262 1.373  0.248 1.306  0.248 1.226  0.206 1.164  0.150 1.107  0.093 1.051  0.081 0.976  0.081 0.896  0.025 0.872  -0.055 0.872  -0.086 0.822  -0.086 0.742  -0.116 0.675  -0.172 0.618  -0.229 0.562  -0.252 0.492  -0.252 0.412  -0.252 0.332  -0.252 0.252  -0.252 0.172  -0.252 0.092  -0.252 0.012  -0.252 -0.068  -0.252 -0.148  -0.252 -0.228  -0.252 -0.308  -0.252 -0.388  -0.252 -0.468  -0.252 -0.548  -0.252 -0.628  -0.197 -0.685  -0.141 -0.742  -0.086 -0.799  -0.086 -0.879  -0.086 -0.959  -0.032 -1.017  0.024 -1.074  0.081 -1.130  0.081 -1.210  0.081 -1.290  0.132 -1.349  0.189 -1.405  0.246 -1.462  0.302 -1.519  0.359 -1.575  0.415 -1.632
1d#app#app19#app1932/)  -1.148 1.107  -1.068 1.107  -0.988 1.107  -0.957 1.059  -0.957 0.979  -0.940 0.917  -0.860 0.917  -0.780 0.917  -0.720 0.870  -0.663 0.814  -0.607 0.758  -0.540 0.726  -0.461 0.726  -0.385 0.722  -0.385 0.643  -0.385 0.563  -0.332 0.535  -0.253 0.535  -0.179 0.521  -0.123 0.464  -0.067 0.408  -0.010 0.351  0.046 0.295  0.103 0.239  0.159 0.182  0.215 0.126  0.272 0.070  0.328 0.013  0.384 -0.043  0.441 -0.099  0.497 -0.156  0.553 -0.212  0.568 -0.286  0.568 -0.365  0.568 -0.445  0.568 -0.525  0.568 -0.605  0.568 -0.684  0.568 -0.764  0.568 -0.844  0.568 -0.923  0.568 -1.003  0.568 -1.083  0.568 -1.163  0.568 -1.242  0.568 -1.322  0.547 -1.393  0.491 -1.449  0.434 -1.505  0.378 -1.562
1d#app#app19#app1932/(  0.459 1.559  0.459 1.479  0.455 1.404  0.376 1.404  0.305 1.396  0.305 1.317  0.297 1.242  0.241 1.186  0.185 1.130  0.151 1.065  0.151 0.985  0.126 0.917  0.070 0.861  0.014 0.805  -0.042 0.749  -0.098 0.693  -0.154 0.637  -0.158 0.559  -0.158 0.480  -0.158 0.401  -0.160 0.323  -0.216 0.267  -0.271 0.211  -0.312 0.149  -0.312 0.069  -0.312 -0.010  -0.312 -0.089  -0.312 -0.168  -0.312 -0.247  -0.312 -0.326  -0.312 -0.405  -0.285 -0.473  -0.229 -0.529  -0.173 -0.585  -0.158 -0.658  -0.158 -0.737  -0.158 -0.816  -0.158 -0.895  -0.129 -0.968  -0.093 -1.038  -0.058 -1.109  -0.022 -1.180  0.022 -1.244  0.078 -1.300  0.134 -1.356  0.207 -1.372  0.286 -1.372  0.347 -1.414  0.403 -1.470  0.459 -1.526
1d#app#app19#app1932/)  -0.968 1.235  -0.893 1.235  -0.817 1.235  -0.742 1.235  -0.666 1.235  -0.591 1.235  -0.581 1.170  -0.581 1.094  -0.565 1.025  -0.512 0.972  -0.458 0.918  -0.405 0.865  -0.351 0.812  -0.298 0.758  -0.245 0.705  -0.191 0.652  -0.138 0.598  -0.085 0.545  -0.031 0.492  0.001 0.430  0.001 0.354  0.001 0.279  0.045 0.221  0.098 0.168  0.152 0.115  0.195 0.057  0.195 -0.018  0.195 -0.094  0.228 -0.156  0.281 -0.209  0.335 -0.262  0.388 -0.316  0.389 -0.391  0.389 -0.466  0.389 -0.542  0.389 -0.617  0.389 -0.693  0.389 -0.768  0.389 -0.844  0.389 -0.919  0.389 -0.995  0.389 -1.070  0.389 -1.146  0.389 -1.221  0.389 -1.296  0.389 -1.372  0.389 -1.447  0.389 -1.523  0.389 -1.598  0.389 -1.674
1d#app#app19#app1932/(  0.344 1.545  0.344 1.464  0.344 1.383  0.279 1.366  0.198 1.366  0.165 1.318  0.165 1.237  0.134 1.188  0.053 1.188  -0.013 1.173  -0.013 1.092  -0.013 1.011  -0.013 0.930  -0.013 0.849  -0.058 0.786  -0.115 0.729  -0.173 0.672  -0.192 0.598  -0.192 0.517  -0.192 0.436  -0.192 0.355  -0.192 0.274  -0.192 0.193  -0.192 0.112  -0.192 0.031  -0.192 -0.050  -0.192 -0.131  -0.192 -0.212  -0.192 -0.293  -0.192 -0.374  -0.192 -0.455  -0.192 -0.536  -0.192 -0.617  -0.192 -0.698  -0.192 -0.779  -0.192 -0.860  -0.192 -0.941  -0.124 -0.954  -0.043 -0.954  -0.013 -1.005  -0.013 -1.086  0.012 -1.157  0.069 -1.214  0.126 -1.271  0.191 -1.310  0.272 -1.310  0.350 -1.317  0.408 -1.374  0.465 -1.432  0.522 -1.489
1d#app#app19#app1932/)  -0.660 1.566  -0.660 1.488  -0.660 1.411  -0.638 1.343  -0.583 1.288  -0.529 1.234  -0.474 1.179  -0.419 1.125  -0.365 1.070  -0.310 1.015  -0.256 0.961  -0.201 0.906  -0.146 0.851  -0.092 0.797  -0.059 0.733  -0.059 0.656  -0.059 0.579  -0.015 0.520  0.040 0.465  0.094 0.410  0.141 0.352  0.141 0.275  0.141 0.198  0.171 0.133  0.226 0.079  0.280 0.024  0.335 -0.031  0.341 -0.105  0.341 -0.183  0.341 -0.260  0.341 -0.337  0.341 -0.414  0.341 -0.492  0.341 -0.569  0.335 -0.644  0.280 -0.698  0.226 -0.753  0.171 -0.807  0.141 -0.872  0.141 -0.949  0.141 -1.027  0.141 -1.104  0.141 -1.181  0.141 -1.258  0.141 -1.336  0.141 -1.413  0.104 -1.475  0.050 -1.530  -0.005 -1.584  -0.059 -1.639
1d#app#app19#app1932/(  0.639 1.443  0.639 1.359  0.629 1.284  0.544 1.284  0.459 1.284  0.374 1.284  0.320 1.253  0.320 1.169  0.291 1.096  0.231 1.036  0.171 0.976  0.091 0.965  0.006 0.965  0.001 0.885  -0.003 0.802  -0.063 0.742  -0.123 0.682  -0.158 0.612  -0.158 0.527  -0.190 0.455  -0.250 0.395  -0.310 0.335  -0.318 0.253  -0.318 0.169  -0.318 0.084  -0.318 -0.001  -0.318 -0.086  -0.318 -0.171  -0.318 -0.256  -0.318 -0.341  -0.318 -0.425  -0.318 -0.510  -0.318 -0.595  -0.318 -0.680  -0.318 -0.765  -0.257 -0.789  -0.172 -0.789  -0.158 -0.860  -0.158 -0.945  -0.101 -1.006  -0.041 -1.066  0.001 -1.133  0.001 -1.218  0.037 -1.267  0.121 -1.267  0.193 -1.300  0.253 -1.360  0.313 -1.420  0.320 -1.502  0.320 -1.586
1d#app#app19#app1932/)  -0.783 1.398  -0.725 1.340  -0.667 1.283  -0.599 1.252  -0.517 1.252  -0.490 1.197  -0.490 1.116  -0.419 1.105  -0.344 1.099  -0.344 1.017  -0.320 0.959  -0.239 0.959  -0.198 0.919  -0.198 0.837  -0.157 0.772  -0.100 0.715  -0.051 0.653  -0.051 0.572  -0.030 0.499  0.028 0.441  0.085 0.384  0.143 0.326  0.201 0.268  0.241 0.204  0.241 0.122  0.241 0.040  0.241 -0.041  0.282 -0.106  0.340 -0.163  0.388 -0.225  0.388 -0.307  0.388 -0.388  0.388 -0.470  0.388 -0.551  0.388 -0.633  0.342 -0.696  0.285 -0.753  0.241 -0.817  0.241 -0.898  0.241 -0.980  0.241 -1.062  0.241 -1.143  0.241 -1.225  0.191 -1.285  0.134 -1.343  0.076 -1.401  0.018 -1.458  -0.039 -1.516  -0.051 -1.593  -0.051 -1.674
1d#app#app19#app1932/(  0.883 1.238  0.801 1.238  0.720 1.238  0.638 1.238  0.557 1.238  0.496 1.217  0.496 1.136  0.496 1.054  0.424 1.045  0.343 1.045  0.273 1.015  0.216 0.957  0.158 0.900  0.100 0.842  0.043 0.785  -0.015 0.727  -0.072 0.669  -0.084 0.592  -0.084 0.511  -0.084 0.429  -0.084 0.348  -0.089 0.271  -0.170 0.271  -0.252 0.271  -0.277 0.215  -0.277 0.134  -0.277 0.052  -0.277 -0.029  -0.277 -0.111  -0.277 -0.192  -0.277 -0.274  -0.277 -0.355  -0.277 -0.437  -0.277 -0.518  -0.277 -0.600  -0.277 -0.681  -0.277 -0.763  -0.277 -0.844  -0.277 -0.926  -0.277 -1.007  -0.277 -1.089  -0.277 -1.170  -0.277 -1.252  -0.236 -1.316  -0.179 -1.374  -0.121 -1.432  -0.063 -1.489  -0.006 -1.547  0.052 -1.605  0.109 -1.662
1d#app#app19#app1932/)  -0.707 1.427  -0.707 1.347  -0.707 1.267  -0.627 1.267  -0.547 1.267  -0.491 1.211  -0.435 1.155  -0.374 1.108  -0.295 1.108  -0.219 1.098  -0.163 1.042  -0.106 0.986  -0.050 0.929  0.006 0.873  0.063 0.817  0.091 0.748  0.091 0.669  0.119 0.601  0.175 0.545  0.232 0.488  0.250 0.416  0.250 0.336  0.250 0.257  0.250 0.177  0.250 0.097  0.250 0.018  0.250 -0.062  0.250 -0.142  0.250 -0.221  0.250 -0.301  0.250 -0.381  0.250 -0.460  0.250 -0.540  0.250 -0.620  0.250 -0.699  0.250 -0.779  0.250 -0.859  0.250 -0.938  0.197 -0.965  0.117 -0.965  0.091 -1.018  0.091 -1.098  0.091 -1.177  0.091 -1.257  0.053 -1.321  -0.003 -1.378  -0.059 -1.434  -0.116 -1.490  -0.172 -1.547  -0.228 -1.603
