1d#ced#nank4257_s_12/:  0.222 0.588  0.347 0.792  0.149 0.914  -0.088 0.907  -0.300 0.786  -0.206 0.631  0.031 0.682  0.248 0.792  0.225 0.961  -0.011 1.019  -0.251 0.976  -0.441 0.842  -0.339 0.661  -0.098 0.631  0.140 0.676  0.345 0.798  0.369 1.015  0.195 1.181  -0.042 1.234  -0.282 1.214  -0.437 1.035  -0.422 0.802  -0.232 0.659  0.003 0.673  0.155 0.859  0.157 0.766  0.126 0.523  0.094 0.280  0.062 0.037  0.030 -0.207  -0.002 -0.450  -0.034 -0.693  -0.065 -0.937  -0.097 -1.180  -0.096 -1.325  0.003 -1.102  -0.173 -0.962  -0.384 -1.059  -0.424 -1.298  -0.262 -1.465  -0.026 -1.468  0.198 -1.373  0.347 -1.185  0.214 -1.016  -0.026 -1.030  -0.108 -1.228  0.038 -1.406  0.276 -1.381  0.438 -1.207  0.438 -0.962
1d#ced#nank4257_s_12/=  -1.140 0.534  -1.031 0.570  -0.844 0.570  -0.657 0.570  -0.470 0.570  -0.284 0.570  -0.097 0.570  0.088 0.546  0.273 0.534  0.460 0.534  0.646 0.526  0.829 0.498  1.016 0.498  1.203 0.498  1.389 0.498  1.576 0.498  1.548 0.462  1.371 0.401  1.194 0.341  1.018 0.280  0.841 0.219  0.665 0.158  0.488 0.097  0.311 0.037  0.135 -0.024  -0.042 -0.085  -0.218 -0.146  -0.395 -0.206  -0.572 -0.267  -0.748 -0.328  -0.925 -0.389  -1.101 -0.450  -1.279 -0.509  -1.463 -0.522  -1.632 -0.522  -1.446 -0.522  -1.259 -0.522  -1.072 -0.522  -0.885 -0.522  -0.699 -0.513  -0.515 -0.486  -0.328 -0.486  -0.142 -0.486  0.045 -0.486  0.232 -0.486  0.416 -0.464  0.600 -0.443  0.782 -0.415  0.967 -0.398  1.151 -0.379
1d#ced#nank4257_s_12/(  0.509 1.341  0.576 1.361  0.621 1.408  0.559 1.366  0.496 1.324  0.432 1.285  0.368 1.245  0.320 1.187  0.273 1.128  0.220 1.075  0.166 1.021  0.119 0.963  0.081 0.899  0.045 0.832  0.008 0.767  -0.037 0.706  -0.061 0.636  -0.077 0.563  -0.105 0.493  -0.133 0.423  -0.161 0.353  -0.198 0.287  -0.236 0.223  -0.270 0.155  -0.293 0.084  -0.307 0.010  -0.307 -0.065  -0.310 -0.140  -0.326 -0.214  -0.321 -0.288  -0.309 -0.362  -0.307 -0.438  -0.301 -0.512  -0.283 -0.586  -0.268 -0.659  -0.252 -0.733  -0.231 -0.805  -0.197 -0.872  -0.176 -0.944  -0.149 -1.015  -0.116 -1.082  -0.086 -1.151  -0.054 -1.219  -0.008 -1.278  0.045 -1.331  0.099 -1.385  0.152 -1.438  0.205 -1.491  0.262 -1.540  0.323 -1.585
1d#ced#nank4257_s_12/*  -1.260 0.174  -0.889 0.100  -0.511 0.100  -0.132 0.100  0.241 0.079  0.613 0.063  0.989 0.046  1.363 0.007  1.175 0.152  0.855 0.354  0.534 0.555  0.214 0.757  -0.104 0.962  -0.148 0.924  -0.116 0.555  -0.153 0.181  -0.116 -0.194  -0.116 -0.573  -0.107 -0.950  -0.042 -1.321  -0.047 -1.680  -0.228 -1.347  -0.408 -1.014  -0.589 -0.682  -0.769 -0.349  -0.950 -0.016  -1.131 0.317  -1.311 0.650  -1.539 0.939  -1.285 0.711  -0.978 0.503  -0.673 0.278  -0.331 0.133  -0.010 -0.066  0.307 -0.273  0.631 -0.469  0.971 -0.633  1.314 -0.788  1.279 -0.484  1.186 -0.117  1.093 0.250  0.992 0.615  0.873 0.972  0.609 0.946  0.419 0.621  0.164 0.343  -0.104 0.075  -0.348 -0.214  -0.611 -0.487  -0.817 -0.804
1d#ced#nank4257_s_12/)  -0.572 1.294  -0.572 1.368  -0.546 1.423  -0.480 1.412  -0.424 1.365  -0.372 1.313  -0.320 1.261  -0.269 1.208  -0.227 1.148  -0.174 1.096  -0.141 1.030  -0.104 0.966  -0.066 0.903  -0.029 0.840  0.000 0.773  0.024 0.703  0.056 0.636  0.088 0.570  0.111 0.500  0.133 0.430  0.153 0.359  0.170 0.287  0.180 0.214  0.195 0.143  0.216 0.072  0.231 -0.000  0.241 -0.073  0.245 -0.147  0.245 -0.220  0.245 -0.294  0.245 -0.368  0.245 -0.441  0.245 -0.515  0.245 -0.589  0.239 -0.662  0.227 -0.735  0.215 -0.807  0.201 -0.879  0.173 -0.948  0.155 -1.019  0.136 -1.090  0.109 -1.158  0.077 -1.225  0.039 -1.288  -0.002 -1.349  -0.051 -1.404  -0.102 -1.457  -0.146 -1.516  -0.212 -1.545  -0.273 -1.586
1d#ced#nank4257_s_12/  -1.444 0.092  -1.329 0.168  -1.201 0.176  -1.067 0.149  -0.930 0.143  -0.792 0.143  -0.655 0.143  -0.517 0.143  -0.380 0.143  -0.242 0.143  -0.104 0.143  0.031 0.123  0.166 0.096  0.303 0.092  0.441 0.092  0.578 0.092  0.716 0.092  0.853 0.092  0.991 0.092  1.128 0.092  1.266 0.092  1.403 0.092  1.541 0.092  1.678 0.092  1.605 0.066  1.472 0.035  1.337 0.008  1.202 -0.019  1.067 -0.046  0.931 -0.060  0.795 -0.073  0.662 -0.106  0.525 -0.111  0.387 -0.111  0.250 -0.111  0.115 -0.135  -0.020 -0.162  -0.158 -0.162  -0.295 -0.162  -0.433 -0.162  -0.570 -0.162  -0.708 -0.162  -0.845 -0.162  -0.983 -0.162  -1.120 -0.162  -1.258 -0.162  -1.396 -0.162  -1.531 -0.150  -1.662 -0.111  -1.800 -0.111
1d#ced#nank4257_s_12/'  0.367 0.633  0.320 0.703  0.273 0.774  0.225 0.845  0.178 0.916  0.131 0.987  0.098 1.064  0.071 1.145  0.044 1.226  0.017 1.307  -0.008 1.381  0.013 1.298  0.033 1.215  0.054 1.133  0.075 1.050  0.095 0.968  0.116 0.885  0.090 0.804  0.063 0.724  0.036 0.643  0.010 0.562  -0.009 0.480  -0.009 0.395  -0.009 0.310  -0.009 0.225  -0.009 0.140  -0.009 0.055  -0.018 -0.029  -0.038 -0.112  -0.059 -0.194  -0.080 -0.277  -0.100 -0.360  -0.121 -0.442  -0.134 -0.526  -0.134 -0.611  -0.134 -0.696  -0.134 -0.781  -0.134 -0.866  -0.134 -0.951  -0.134 -1.036  -0.134 -1.121  -0.134 -1.206  -0.134 -1.291  -0.133 -1.376  -0.112 -1.459  -0.091 -1.541  -0.071 -1.624  -0.050 -1.707  -0.029 -1.789  -0.009 -1.872
1d#ced#nank4257_s_12/\"  -0.716 0.745  -0.789 0.634  -0.863 0.524  -0.874 0.395  -0.877 0.262  -0.919 0.136  -0.953 0.009  -0.953 -0.123  -0.953 -0.256  -0.953 -0.389  -0.953 -0.522  -0.953 -0.654  -0.953 -0.787  -0.953 -0.920  -0.953 -1.052  -0.882 -0.986  -0.799 -0.882  -0.716 -0.779  -0.632 -0.676  -0.549 -0.573  -0.465 -0.469  -0.382 -0.366  -0.299 -0.263  -0.215 -0.160  -0.132 -0.056  -0.049 0.047  0.035 0.150  0.118 0.253  0.202 0.357  0.285 0.460  0.368 0.563  0.452 0.666  0.535 0.769  0.619 0.873  0.702 0.976  0.824 0.956  0.935 0.883  1.031 0.799  1.073 0.673  1.102 0.545  1.102 0.412  1.102 0.279  1.102 0.147  1.096 0.015  1.054 -0.111  1.023 -0.239  1.023 -0.371  1.023 -0.504  0.986 -0.631  0.944 -0.757
1d#ced#nank4257_s_12/=  -1.144 0.447  -1.165 0.328  -0.970 0.328  -0.776 0.328  -0.584 0.305  -0.391 0.291  -0.199 0.269  -0.006 0.252  0.187 0.239  0.381 0.237  0.573 0.209  0.767 0.209  0.961 0.209  1.155 0.209  1.350 0.209  1.544 0.209  1.733 0.239  1.795 0.322  1.603 0.288  1.412 0.255  1.221 0.221  1.029 0.187  0.838 0.153  0.647 0.120  0.456 0.086  0.264 0.052  0.073 0.018  -0.118 -0.015  -0.310 -0.049  -0.501 -0.083  -0.692 -0.117  -0.883 -0.151  -1.075 -0.184  -1.266 -0.218  -1.457 -0.252  -1.648 -0.286  -1.593 -0.356  -1.403 -0.333  -1.213 -0.296  -1.019 -0.296  -0.826 -0.306  -0.634 -0.326  -0.439 -0.326  -0.247 -0.351  -0.053 -0.356  0.140 -0.369  0.332 -0.385  0.526 -0.385  0.720 -0.395  0.907 -0.385
1d#ced#nank4257_s_12/\"  -1.500 0.070  -1.500 -0.006  -1.489 -0.082  -1.482 -0.157  -1.465 -0.232  -1.429 -0.284  -1.354 -0.268  -1.279 -0.252  -1.204 -0.236  -1.129 -0.220  -1.055 -0.204  -0.980 -0.188  -0.905 -0.172  -0.830 -0.156  -0.755 -0.140  -0.680 -0.124  -0.605 -0.108  -0.531 -0.092  -0.456 -0.076  -0.381 -0.060  -0.306 -0.044  -0.231 -0.028  -0.156 -0.012  -0.081 0.004  -0.007 0.020  0.068 0.036  0.143 0.052  0.218 0.068  0.293 0.084  0.368 0.100  0.442 0.116  0.517 0.132  0.592 0.148  0.667 0.164  0.742 0.180  0.817 0.196  0.892 0.212  0.966 0.228  1.041 0.244  1.116 0.260  1.191 0.276  1.266 0.292  1.297 0.296  1.283 0.221  1.298 0.147  1.307 0.071  1.316 -0.004  1.316 -0.081  1.316 -0.157  1.316 -0.234
1d#ced#nank4257_s_12/;  0.253 0.550  0.201 0.665  0.051 0.679  -0.042 0.593  -0.042 0.440  0.037 0.321  0.188 0.337  0.330 0.392  0.413 0.506  0.450 0.653  0.421 0.801  0.290 0.875  0.143 0.910  -0.007 0.886  -0.139 0.813  -0.133 0.687  0.008 0.648  0.133 0.730  0.143 0.842  0.016 0.927  -0.132 0.943  -0.283 0.958  -0.257 0.923  -0.113 0.878  0.040 0.878  0.049 0.938  0.020 0.788  -0.009 0.638  -0.038 0.488  -0.067 0.338  -0.096 0.188  -0.125 0.038  -0.154 -0.112  -0.183 -0.262  -0.212 -0.412  -0.241 -0.563  -0.270 -0.713  -0.299 -0.863  -0.328 -1.013  -0.276 -0.964  -0.147 -0.995  -0.066 -1.125  -0.001 -1.261  0.033 -1.410  0.081 -1.555  0.089 -1.707  0.122 -1.856  0.089 -2.003  0.068 -2.153  -0.009 -2.284
