1d#tos#f1#f1002058/\"  -0.658 0.234  -0.798 0.234  -0.938 0.234  -0.977 0.335  -1.005 0.447  -1.084 0.385  -1.084 0.245  -1.084 0.105  -1.084 -0.035  -1.084 -0.175  -1.084 -0.316  -1.084 -0.456  -1.084 -0.596  -1.084 -0.736  -1.084 -0.876  -1.022 -0.891  -0.911 -0.805  -0.800 -0.719  -0.689 -0.634  -0.578 -0.548  -0.467 -0.462  -0.356 -0.376  -0.246 -0.291  -0.135 -0.205  -0.024 -0.119  0.087 -0.034  0.198 0.052  0.309 0.138  0.420 0.224  0.531 0.309  0.642 0.395  0.753 0.481  0.864 0.567  0.975 0.652  1.086 0.738  1.197 0.824  1.261 0.814  1.261 0.674  1.261 0.534  1.207 0.447  1.067 0.447  1.048 0.326  1.014 0.200  0.915 0.101  0.835 -0.006  0.835 -0.146  0.768 -0.259  0.669 -0.358  0.621 -0.479  0.621 -0.619
1d#tos#f1#f1002058/&  -0.246 1.336  -0.496 1.323  -0.603 1.152  -0.514 0.926  -0.497 0.677  -0.383 0.450  -0.274 0.222  -0.179 -0.014  -0.061 -0.233  0.081 -0.432  0.170 -0.663  0.303 -0.878  0.439 -1.090  0.585 -1.290  0.690 -1.471  0.613 -1.229  0.536 -0.988  0.459 -0.746  0.383 -0.505  0.306 -0.263  0.229 -0.022  0.152 0.220  0.075 0.461  -0.002 0.703  -0.078 0.944  -0.155 1.186  -0.232 1.427  -0.454 1.470  -0.692 1.455  -0.513 1.381  -0.316 1.227  -0.094 1.167  -0.016 0.928  0.022 0.690  0.022 0.437  -0.026 0.200  -0.139 -0.022  -0.192 -0.270  -0.362 -0.445  -0.514 -0.641  -0.514 -0.895  -0.514 -1.148  -0.367 -1.255  -0.123 -1.228  0.075 -1.070  0.281 -0.923  0.474 -0.758  0.668 -0.595  0.897 -0.500  1.094 -0.406
1d#tos#f1#f1002058/)  -0.445 1.025  -0.519 1.031  -0.519 1.109  -0.519 1.188  -0.497 1.246  -0.419 1.246  -0.340 1.246  -0.261 1.246  -0.182 1.246  -0.129 1.204  -0.094 1.133  -0.054 1.065  -0.010 0.999  0.033 0.934  0.077 0.868  0.121 0.802  0.165 0.737  0.208 0.671  0.218 0.595  0.218 0.516  0.218 0.437  0.218 0.358  0.218 0.279  0.218 0.200  0.218 0.121  0.218 0.042  0.218 -0.037  0.218 -0.115  0.218 -0.194  0.218 -0.273  0.218 -0.352  0.218 -0.431  0.218 -0.510  0.218 -0.589  0.218 -0.668  0.218 -0.747  0.218 -0.826  0.209 -0.902  0.163 -0.966  0.117 -1.030  0.071 -1.094  0.025 -1.159  -0.021 -1.223  -0.067 -1.287  -0.113 -1.351  -0.157 -1.417  -0.192 -1.487  -0.227 -1.558  -0.262 -1.628  -0.298 -1.699
1d#tos#f1#f1002058/*  0.373 1.726  0.159 1.521  0.159 1.101  0.159 0.682  0.159 0.263  0.159 -0.156  0.247 -0.549  0.335 -0.946  0.373 -1.360  0.284 -1.360  0.112 -0.977  -0.059 -0.594  -0.230 -0.212  -0.401 0.171  -0.573 0.554  -0.744 0.937  -1.022 1.154  -1.127 0.840  -0.854 0.589  -0.554 0.369  -0.150 0.481  0.254 0.592  0.659 0.704  1.063 0.815  1.467 0.927  1.373 0.714  1.037 0.542  0.712 0.297  0.436 0.151  0.087 -0.033  -0.247 -0.263  -0.190 -0.271  0.207 -0.139  0.605 -0.006  0.296 0.009  0.036 -0.203  -0.314 -0.408  -0.578 -0.725  -0.918 -0.968  -1.197 -1.271  -1.245 -1.259  -1.027 -0.901  -0.809 -0.543  -0.591 -0.184  -0.373 0.174  -0.197 0.011  0.176 -0.149  0.454 -0.444  0.858 -0.556  1.159 -0.846
1d#tos#f1#f1002058/.  1.600 0.548  1.512 0.548  1.425 0.548  1.337 0.548  1.249 0.548  1.162 0.548  1.074 0.548  0.986 0.548  0.899 0.548  0.811 0.548  0.723 0.548  0.636 0.548  0.548 0.548  0.460 0.548  0.373 0.548  0.285 0.548  0.197 0.548  0.110 0.548  0.022 0.548  -0.066 0.548  -0.153 0.548  -0.241 0.548  -0.329 0.548  -0.416 0.548  -0.504 0.548  -0.548 0.504  -0.548 0.416  -0.548 0.329  -0.548 0.241  -0.548 0.153  -0.548 0.066  -0.548 -0.022  -0.548 -0.110  -0.548 -0.197  -0.548 -0.285  -0.548 -0.373  -0.548 -0.460  -0.548 -0.548  -0.548 -0.636  -0.548 -0.723  -0.548 -0.811  -0.548 -0.899  -0.548 -0.986  -0.548 -1.074  -0.548 -1.162  -0.548 -1.249  -0.548 -1.337  -0.548 -1.425  -0.548 -1.512  -0.548 -1.600
1d#tos#f1#f1002058/  1.297 0.994  1.297 0.924  1.272 0.878  1.202 0.878  1.137 0.856  1.074 0.825  1.011 0.793  0.948 0.762  0.886 0.730  0.825 0.696  0.775 0.646  0.726 0.597  0.662 0.570  0.595 0.548  0.531 0.520  0.476 0.477  0.422 0.433  0.367 0.389  0.312 0.345  0.257 0.301  0.202 0.257  0.147 0.213  0.092 0.169  0.038 0.125  -0.017 0.082  -0.069 0.034  -0.118 -0.016  -0.168 -0.066  -0.218 -0.115  -0.267 -0.165  -0.321 -0.210  -0.375 -0.255  -0.429 -0.300  -0.483 -0.345  -0.537 -0.390  -0.591 -0.435  -0.638 -0.486  -0.680 -0.543  -0.723 -0.599  -0.765 -0.655  -0.810 -0.708  -0.860 -0.758  -0.910 -0.807  -0.959 -0.857  -1.009 -0.907  -1.048 -0.965  -1.084 -1.025  -1.120 -1.085  -1.156 -1.146  -1.192 -1.206
1d#tos#f1#f1002058/:  0.199 1.542  0.199 1.466  0.154 1.425  0.079 1.406  0.005 1.388  -0.071 1.383  -0.132 1.358  -0.167 1.290  -0.160 1.217  -0.143 1.142  -0.126 1.067  -0.109 0.992  -0.092 0.918  -0.076 0.843  -0.059 0.768  -0.042 0.694  -0.025 0.619  -0.008 0.544  0.009 0.470  0.026 0.395  0.042 0.320  0.059 0.246  0.076 0.171  0.093 0.096  0.110 0.022  0.127 -0.053  0.144 -0.128  0.161 -0.202  0.177 -0.277  0.194 -0.352  0.199 -0.428  0.199 -0.504  0.199 -0.581  0.199 -0.658  0.199 -0.734  0.195 -0.810  0.171 -0.883  0.147 -0.955  0.098 -1.015  0.049 -1.073  0.000 -1.132  -0.049 -1.191  -0.098 -1.250  -0.162 -1.277  -0.238 -1.277  -0.280 -1.312  -0.285 -1.383  -0.362 -1.383  -0.386 -1.435  -0.439 -1.490
1d#tos#f1#f1002058/;  0.081 1.618  0.061 1.552  0.008 1.499  -0.058 1.478  -0.106 1.451  -0.130 1.382  -0.152 1.313  -0.151 1.238  -0.132 1.166  -0.113 1.094  -0.093 1.021  -0.074 0.949  -0.055 0.877  -0.036 0.804  -0.017 0.732  0.002 0.660  0.021 0.588  0.041 0.515  0.060 0.443  0.079 0.371  0.098 0.298  0.117 0.226  0.136 0.154  0.155 0.082  0.174 0.009  0.194 -0.063  0.213 -0.135  0.232 -0.208  0.251 -0.280  0.268 -0.352  0.268 -0.427  0.229 -0.489  0.185 -0.549  0.140 -0.609  0.128 -0.680  0.128 -0.754  0.128 -0.829  0.096 -0.890  0.043 -0.943  -0.010 -0.996  -0.063 -1.049  -0.112 -1.105  -0.146 -1.172  -0.179 -1.238  -0.212 -1.305  -0.246 -1.372  -0.293 -1.431  -0.339 -1.489  -0.386 -1.547  -0.433 -1.606
1d#tos#f1#f1002058/<  0.784 1.415  0.686 1.415  0.611 1.358  0.542 1.289  0.472 1.219  0.394 1.162  0.306 1.118  0.218 1.074  0.202 0.986  0.199 0.890  0.108 0.853  0.016 0.817  -0.075 0.780  -0.115 0.696  -0.146 0.602  -0.233 0.557  -0.321 0.513  -0.408 0.469  -0.496 0.425  -0.566 0.356  -0.635 0.286  -0.671 0.203  -0.733 0.130  -0.787 0.055  -0.845 0.015  -0.814 -0.078  -0.776 -0.168  -0.707 -0.237  -0.626 -0.288  -0.533 -0.319  -0.496 -0.391  -0.459 -0.467  -0.371 -0.510  -0.283 -0.554  -0.200 -0.607  -0.119 -0.661  -0.045 -0.725  0.025 -0.795  0.106 -0.850  0.188 -0.904  0.279 -0.939  0.372 -0.970  0.468 -0.995  0.563 -1.018  0.632 -1.075  0.684 -1.155  0.772 -1.199  0.869 -1.205  0.948 -1.252  1.017 -1.321
1d#tos#f1#f1002058/>  -0.317 0.854  -0.445 0.854  -0.523 0.798  -0.650 0.782  -0.776 0.767  -0.903 0.757  -1.030 0.757  -1.152 0.770  -1.111 0.806  -0.984 0.802  -0.863 0.762  -0.740 0.730  -0.616 0.702  -0.490 0.681  -0.365 0.661  -0.239 0.640  -0.113 0.619  -0.013 0.549  0.081 0.467  0.208 0.467  0.330 0.440  0.448 0.393  0.560 0.334  0.664 0.260  0.774 0.206  0.896 0.172  0.986 0.082  1.071 0.012  1.158 -0.077  1.186 -0.128  1.085 -0.182  1.042 -0.287  0.936 -0.356  0.811 -0.381  0.689 -0.412  0.599 -0.502  0.509 -0.592  0.386 -0.620  0.262 -0.646  0.191 -0.752  0.093 -0.827  -0.021 -0.884  -0.133 -0.944  -0.223 -1.034  -0.329 -1.095  -0.453 -1.126  -0.500 -1.240  -0.598 -1.303  -0.674 -1.370  -0.704 -1.370
1d#tos#f1#f1002058/[  0.930 1.147  0.867 1.193  0.759 1.193  0.651 1.193  0.556 1.172  0.491 1.102  0.384 1.102  0.276 1.102  0.175 1.080  0.088 1.015  0.001 0.952  -0.088 0.892  -0.169 0.820  -0.260 0.778  -0.350 0.718  -0.450 0.693  -0.522 0.658  -0.426 0.654  -0.380 0.739  -0.272 0.739  -0.250 0.653  -0.250 0.545  -0.250 0.437  -0.250 0.329  -0.250 0.221  -0.250 0.113  -0.250 0.005  -0.250 -0.103  -0.250 -0.211  -0.250 -0.319  -0.250 -0.427  -0.250 -0.534  -0.259 -0.640  -0.295 -0.740  -0.295 -0.848  -0.295 -0.956  -0.295 -1.064  -0.295 -1.171  -0.295 -1.279  -0.211 -1.303  -0.122 -1.258  -0.014 -1.258  0.086 -1.226  0.158 -1.179  0.209 -1.122  0.316 -1.122  0.424 -1.122  0.532 -1.122  0.640 -1.122  0.748 -1.122
