1d#tos#f1#f1006061/#  -0.819 0.336  -0.447 0.270  -0.058 0.218  0.312 0.128  0.688 0.043  0.327 0.001  -0.068 -0.043  -0.463 -0.087  -0.858 -0.131  -1.087 -0.401  -0.892 -0.485  -0.507 -0.563  -0.114 -0.602  0.284 -0.602  0.681 -0.602  0.824 -0.534  0.661 -0.171  0.497 0.191  0.334 0.554  0.171 0.916  0.008 1.279  -0.155 1.641  -0.233 1.357  -0.292 0.969  -0.292 0.572  -0.390 0.198  -0.410 -0.195  -0.467 -0.586  -0.467 -0.983  -0.467 -1.381  -0.467 -1.778  -0.403 -1.615  -0.312 -1.228  -0.221 -0.841  -0.130 -0.454  -0.040 -0.067  0.051 0.320  0.142 0.707  0.232 1.094  0.323 1.481  0.406 1.854  0.353 1.478  0.353 1.080  0.353 0.683  0.412 0.295  0.529 -0.067  0.529 -0.465  0.529 -0.862  0.529 -1.260  0.529 -1.657
1d#tos#f1#f1006061/$  0.683 0.415  0.683 0.582  0.608 0.759  0.445 0.856  0.263 0.967  0.021 0.967  -0.127 0.846  -0.300 0.746  -0.305 0.590  -0.200 0.407  -0.053 0.242  0.011 0.033  0.094 -0.174  0.244 -0.289  0.406 -0.409  0.426 -0.646  0.438 -0.862  0.290 -0.984  0.086 -1.019  -0.112 -0.948  -0.237 -0.800  -0.421 -0.722  -0.568 -0.628  -0.568 -0.387  -0.470 -0.457  -0.299 -0.628  -0.129 -0.798  -0.163 -1.002  -0.163 -1.243  -0.163 -1.484  -0.127 -1.710  -0.119 -1.564  -0.109 -1.323  -0.099 -1.082  -0.090 -0.842  -0.080 -0.601  -0.070 -0.360  -0.060 -0.119  -0.051 0.122  -0.041 0.363  -0.031 0.604  -0.021 0.845  -0.012 1.086  -0.002 1.327  0.008 1.568  0.018 1.809  -0.001 1.777  0.133 1.625  0.168 1.392  0.168 1.151
1d#tos#f1#f1006061/(  0.441 1.384  0.350 1.384  0.259 1.384  0.167 1.384  0.076 1.384  0.063 1.306  -0.021 1.298  -0.030 1.216  -0.089 1.164  -0.147 1.118  -0.147 1.027  -0.147 0.935  -0.221 0.897  -0.273 0.843  -0.275 0.754  -0.357 0.745  -0.357 0.653  -0.357 0.562  -0.367 0.472  -0.396 0.385  -0.399 0.294  -0.399 0.203  -0.387 0.124  -0.357 0.062  -0.357 -0.029  -0.315 -0.078  -0.315 -0.170  -0.310 -0.259  -0.273 -0.335  -0.252 -0.422  -0.231 -0.508  -0.185 -0.556  -0.142 -0.637  -0.105 -0.713  -0.101 -0.800  -0.021 -0.812  -0.008 -0.898  0.057 -0.962  0.146 -0.969  0.195 -1.011  0.273 -1.024  0.317 -1.097  0.358 -1.179  0.449 -1.179  0.532 -1.192  0.580 -1.263  0.671 -1.263  0.763 -1.263  0.820 -1.228  0.820 -1.137
1d#tos#f1#f1006061/)  -0.870 1.255  -0.917 1.211  -0.828 1.209  -0.738 1.209  -0.693 1.134  -0.614 1.116  -0.570 1.069  -0.479 1.069  -0.423 1.013  -0.355 0.976  -0.312 0.928  -0.267 0.883  -0.176 0.883  -0.132 0.837  -0.050 0.799  0.013 0.765  0.023 0.677  0.069 0.604  0.153 0.597  0.158 0.511  0.199 0.462  0.232 0.385  0.298 0.325  0.339 0.275  0.373 0.199  0.385 0.113  0.385 0.022  0.432 -0.049  0.432 -0.140  0.432 -0.230  0.432 -0.321  0.432 -0.412  0.432 -0.502  0.432 -0.593  0.432 -0.684  0.432 -0.774  0.365 -0.824  0.339 -0.898  0.287 -0.941  0.246 -1.022  0.246 -1.113  0.199 -1.184  0.180 -1.255  0.094 -1.267  0.018 -1.302  -0.054 -1.348  -0.144 -1.348  -0.217 -1.392  -0.287 -1.441  -0.359 -1.488
1d#tos#f1#f1006061/+  -1.171 -0.191  -1.265 -0.242  -1.153 -0.191  -0.991 -0.191  -0.837 -0.152  -0.677 -0.140  -0.515 -0.140  -0.352 -0.140  -0.189 -0.140  -0.026 -0.140  0.136 -0.140  0.277 -0.065  0.431 -0.037  0.594 -0.037  0.718 0.055  0.877 0.066  0.822 0.203  0.729 0.336  0.635 0.469  0.541 0.602  0.448 0.736  0.354 0.869  0.260 1.002  0.167 1.135  0.073 1.268  -0.021 1.401  -0.130 1.504  -0.195 1.406  -0.195 1.243  -0.150 1.099  -0.095 0.947  -0.093 0.785  -0.090 0.622  -0.041 0.467  -0.041 0.305  -0.041 0.142  -0.041 -0.021  -0.031 -0.182  0.009 -0.340  0.010 -0.503  0.061 -0.653  0.061 -0.816  0.091 -0.975  0.113 -1.135  0.113 -1.298  0.113 -1.461  0.164 -1.602  0.164 -1.765  0.164 -1.928  0.215 -2.039
1d#tos#f1#f1006061/,  0.760 1.435  0.760 1.358  0.760 1.281  0.760 1.205  0.760 1.128  0.760 1.051  0.760 0.974  0.760 0.897  0.760 0.820  0.760 0.743  0.743 0.683  0.667 0.683  0.590 0.683  0.513 0.683  0.436 0.683  0.370 0.662  0.328 0.598  0.285 0.534  0.242 0.470  0.200 0.406  0.157 0.342  0.114 0.278  0.072 0.214  0.029 0.150  -0.014 0.086  -0.056 0.022  -0.099 -0.042  -0.142 -0.106  -0.184 -0.170  -0.227 -0.233  -0.269 -0.297  -0.312 -0.361  -0.355 -0.425  -0.368 -0.498  -0.368 -0.575  -0.368 -0.652  -0.368 -0.729  -0.368 -0.806  -0.412 -0.865  -0.466 -0.919  -0.520 -0.973  -0.575 -1.028  -0.629 -1.082  -0.683 -1.136  -0.738 -1.191  -0.812 -1.197  -0.889 -1.197  -0.966 -1.197  -1.043 -1.197  -1.120 -1.197
1d#tos#f1#f1006061/  -1.350 0.190  -1.422 0.190  -1.456 0.129  -1.488 0.065  -1.461 0.037  -1.389 0.037  -1.317 0.037  -1.253 0.017  -1.202 -0.034  -1.133 -0.039  -1.061 -0.039  -0.989 -0.039  -0.917 -0.039  -0.845 -0.039  -0.773 -0.039  -0.701 -0.039  -0.629 -0.039  -0.557 -0.039  -0.485 -0.039  -0.413 -0.039  -0.341 -0.039  -0.269 -0.039  -0.197 -0.039  -0.125 -0.039  -0.053 -0.039  0.019 -0.039  0.091 -0.039  0.163 -0.039  0.235 -0.039  0.307 -0.039  0.379 -0.039  0.451 -0.039  0.523 -0.039  0.595 -0.039  0.668 -0.039  0.740 -0.039  0.812 -0.039  0.884 -0.039  0.956 -0.039  1.027 -0.036  1.095 -0.013  1.164 0.010  1.232 0.032  1.303 0.037  1.375 0.037  1.447 0.037  1.519 0.037  1.579 0.065  1.627 0.118  1.627 0.190
1d#tos#f1#f1006061/.  0.210 1.432  0.135 1.432  0.061 1.432  -0.001 1.411  -0.034 1.344  -0.067 1.278  -0.100 1.211  -0.134 1.145  -0.167 1.078  -0.167 1.032  -0.093 1.032  -0.019 1.032  0.010 0.986  0.010 0.911  0.010 0.837  0.010 0.763  0.010 0.688  0.010 0.614  0.010 0.539  0.010 0.465  0.010 0.390  0.010 0.316  0.010 0.242  0.010 0.167  0.010 0.093  0.010 0.018  0.010 -0.056  0.010 -0.131  0.010 -0.205  0.010 -0.279  0.010 -0.354  0.010 -0.428  0.010 -0.503  0.010 -0.577  0.010 -0.651  0.010 -0.726  0.010 -0.800  0.010 -0.875  0.010 -0.949  0.010 -1.024  0.010 -1.098  0.010 -1.172  0.010 -1.247  0.010 -1.321  0.010 -1.396  0.010 -1.470  0.010 -1.545  0.010 -1.619  0.010 -1.693  0.010 -1.768
1d#tos#f1#f1006061/  1.168 1.178  1.093 1.178  1.062 1.135  1.037 1.085  1.002 1.036  0.931 1.012  0.863 0.982  0.801 0.942  0.748 0.890  0.701 0.832  0.656 0.772  0.611 0.713  0.569 0.651  0.528 0.589  0.479 0.533  0.436 0.472  0.394 0.410  0.328 0.395  0.297 0.351  0.269 0.294  0.203 0.260  0.141 0.218  0.079 0.177  0.037 0.115  -0.004 0.052  -0.025 -0.014  -0.078 -0.067  -0.130 -0.120  -0.183 -0.173  -0.216 -0.239  -0.263 -0.296  -0.299 -0.361  -0.352 -0.409  -0.419 -0.442  -0.485 -0.475  -0.520 -0.541  -0.546 -0.611  -0.570 -0.681  -0.625 -0.728  -0.687 -0.769  -0.743 -0.819  -0.792 -0.873  -0.792 -0.948  -0.816 -0.999  -0.890 -0.999  -0.923 -1.041  -0.978 -1.086  -1.010 -1.129  -1.031 -1.194  -1.053 -1.260
1d#tos#f1#f1006061/:  -0.105 1.493  -0.180 1.493  -0.254 1.493  -0.312 1.476  -0.295 1.408  -0.242 1.356  -0.174 1.350  -0.166 1.276  -0.158 1.201  -0.150 1.127  -0.143 1.053  -0.135 0.979  -0.127 0.905  -0.120 0.831  -0.112 0.757  -0.104 0.683  -0.097 0.608  -0.089 0.534  -0.081 0.460  -0.074 0.386  -0.066 0.312  -0.058 0.238  -0.051 0.164  -0.043 0.090  -0.035 0.015  -0.028 -0.059  -0.020 -0.133  -0.012 -0.207  -0.005 -0.281  0.003 -0.355  0.011 -0.429  0.018 -0.503  0.026 -0.578  0.032 -0.652  0.032 -0.726  0.032 -0.801  0.032 -0.875  0.032 -0.950  0.032 -1.024  0.067 -1.084  0.127 -1.126  0.197 -1.150  0.268 -1.173  0.307 -1.220  0.307 -1.294  0.307 -1.369  0.358 -1.392  0.433 -1.392  0.444 -1.455  0.375 -1.461
1d#tos#f1#f1006061/;  0.241 1.681  0.159 1.681  0.162 1.681  0.176 1.617  0.170 1.535  0.164 1.454  0.158 1.372  0.152 1.291  0.146 1.209  0.140 1.127  0.134 1.046  0.128 0.964  0.122 0.882  0.116 0.801  0.110 0.719  0.104 0.637  0.098 0.556  0.092 0.474  0.086 0.392  0.080 0.311  0.074 0.229  0.068 0.148  0.062 0.066  0.056 -0.016  0.050 -0.097  0.044 -0.179  0.038 -0.261  0.032 -0.342  0.026 -0.424  0.020 -0.506  0.014 -0.587  0.008 -0.669  0.002 -0.751  -0.024 -0.823  -0.082 -0.881  -0.122 -0.946  -0.122 -1.028  -0.122 -0.974  -0.122 -0.892  -0.122 -0.910  -0.062 -0.932  -0.091 -0.996  -0.164 -1.032  -0.243 -1.042  -0.243 -1.124  -0.243 -1.206  -0.247 -1.285  -0.326 -1.304  -0.406 -1.324  -0.485 -1.344
