1d#tos#f1#f1050060/\"  -0.706 1.077  -0.873 1.077  -0.913 0.949  -1.001 0.870  -0.901 0.823  -0.860 0.660  -0.820 0.498  -0.706 0.436  -0.706 0.269  -0.706 0.101  -0.706 -0.066  -0.706 -0.233  -0.706 -0.400  -0.664 -0.557  -0.603 -0.710  -0.603 -0.877  -0.603 -1.044  -0.603 -1.211  -0.567 -1.227  -0.492 -1.077  -0.417 -0.928  -0.343 -0.778  -0.268 -0.629  -0.193 -0.479  -0.118 -0.330  -0.044 -0.180  0.031 -0.031  0.106 0.119  0.181 0.268  0.255 0.418  0.330 0.567  0.405 0.717  0.480 0.866  0.554 1.016  0.629 1.165  0.636 1.029  0.636 0.862  0.636 0.695  0.697 0.542  0.791 0.406  0.843 0.260  0.843 0.093  0.843 -0.074  0.843 -0.241  0.907 -0.393  0.981 -0.543  1.049 -0.694  1.049 -0.861  1.049 -1.028  1.049 -1.195
1d#tos#f1#f1050060/$  0.460 1.057  0.331 0.997  0.157 0.956  -0.024 0.956  -0.098 0.849  -0.233 0.804  -0.300 0.660  -0.300 0.480  -0.266 0.313  -0.148 0.211  -0.084 0.095  0.004 0.001  0.024 -0.159  0.137 -0.254  0.175 -0.412  0.329 -0.455  0.453 -0.564  0.510 -0.687  0.561 -0.817  0.662 -0.897  0.655 -1.070  0.612 -1.208  0.460 -1.275  0.328 -1.324  0.179 -1.402  0.008 -1.425  -0.173 -1.425  -0.351 -1.422  -0.382 -1.273  -0.503 -1.213  -0.503 -1.032  -0.469 -0.855  -0.432 -0.678  -0.395 -0.501  -0.358 -0.324  -0.322 -0.147  -0.285 0.030  -0.248 0.207  -0.212 0.384  -0.175 0.561  -0.138 0.738  -0.101 0.914  -0.065 1.091  -0.028 1.268  0.009 1.445  0.046 1.622  0.105 1.549  0.105 1.368  0.127 1.209  0.156 1.057
1d#tos#f1#f1050060/%  -0.563 1.009  -0.760 1.009  -0.868 0.885  -0.887 0.692  -0.803 0.554  -0.615 0.523  -0.498 0.631  -0.498 0.828  -0.628 0.915  -0.558 0.993  -0.363 1.023  -0.168 1.053  0.027 1.083  0.222 1.113  0.418 1.143  0.595 1.171  0.439 1.080  0.358 0.902  0.247 0.776  0.176 0.607  0.070 0.443  0.006 0.260  -0.079 0.082  -0.188 -0.083  -0.296 -0.247  -0.433 -0.387  -0.433 -0.585  -0.463 -0.770  -0.602 -0.909  -0.723 -1.063  -0.817 -1.221  -0.684 -1.183  -0.510 -1.088  -0.337 -0.994  -0.164 -0.899  0.009 -0.804  0.182 -0.709  0.356 -0.614  0.529 -0.520  0.702 -0.425  0.875 -0.330  0.831 -0.429  0.731 -0.594  0.701 -0.783  0.766 -0.935  0.962 -0.933  1.057 -0.766  1.020 -0.592  0.927 -0.465  0.733 -0.449
1d#tos#f1#f1050060/&  0.857 -1.477  0.720 -1.401  0.580 -1.245  0.491 -1.060  0.434 -0.870  0.316 -0.697  0.195 -0.561  0.008 -0.478  -0.060 -0.286  -0.251 -0.231  -0.430 -0.149  -0.562 -0.068  -0.674 0.035  -0.791 0.166  -0.837 0.334  -0.883 0.501  -0.883 0.715  -0.837 0.910  -0.837 1.123  -0.725 1.303  -0.587 1.454  -0.392 1.500  -0.236 1.398  -0.036 1.340  0.079 1.173  0.079 0.960  0.079 0.746  0.077 0.533  0.006 0.341  -0.177 0.231  -0.332 0.129  -0.524 0.061  -0.592 -0.103  -0.700 -0.208  -0.746 -0.376  -0.618 -0.546  -0.453 -0.642  -0.274 -0.698  -0.061 -0.698  0.118 -0.613  0.249 -0.448  0.391 -0.332  0.545 -0.232  0.696 -0.081  0.899 -0.057  1.113 -0.057  1.235 -0.149  1.426 -0.186  1.453 -0.393  1.453 -0.607
1d#tos#f1#f1050060/'  -0.032 1.479  -0.116 1.479  -0.134 1.415  -0.134 1.331  -0.107 1.275  -0.032 1.267  -0.032 1.183  0.041 1.173  0.125 1.173  0.172 1.137  0.172 1.054  0.172 0.970  0.254 0.969  0.274 0.906  0.274 0.822  0.274 0.739  0.274 0.656  0.274 0.572  0.274 0.489  0.274 0.406  0.274 0.322  0.274 0.239  0.274 0.155  0.201 0.117  0.126 0.080  0.070 0.031  0.070 -0.052  0.070 -0.135  0.070 -0.219  0.070 -0.302  0.070 -0.385  0.065 -0.468  0.028 -0.542  -0.009 -0.617  -0.032 -0.695  -0.032 -0.778  -0.032 -0.862  -0.032 -0.945  -0.032 -1.028  -0.071 -1.084  -0.150 -1.110  -0.229 -1.136  -0.309 -1.163  -0.338 -1.225  -0.338 -1.308  -0.349 -1.387  -0.408 -1.446  -0.477 -1.479  -0.542 -1.497  -0.542 -1.580
1d#tos#f1#f1050060/(  0.543 1.462  0.509 1.394  0.459 1.353  0.384 1.353  0.308 1.353  0.244 1.326  0.200 1.265  0.166 1.198  0.102 1.160  0.053 1.114  0.053 1.039  0.047 0.966  -0.007 0.912  -0.059 0.858  -0.101 0.795  -0.143 0.732  -0.165 0.663  -0.165 0.587  -0.165 0.511  -0.165 0.436  -0.167 0.360  -0.182 0.286  -0.197 0.212  -0.212 0.137  -0.219 0.063  -0.219 -0.013  -0.219 -0.089  -0.219 -0.165  -0.219 -0.240  -0.219 -0.316  -0.219 -0.392  -0.219 -0.467  -0.219 -0.543  -0.216 -0.618  -0.192 -0.690  -0.168 -0.762  -0.149 -0.835  -0.131 -0.908  -0.112 -0.982  -0.054 -1.027  0.009 -1.069  0.053 -1.121  0.053 -1.197  0.099 -1.253  0.153 -1.307  0.190 -1.372  0.224 -1.440  0.258 -1.508  0.292 -1.575  0.325 -1.643
1d#tos#f1#f1050060/*  -1.154 0.078  -1.075 -0.084  -0.773 0.078  -0.405 0.158  -0.003 0.158  0.399 0.158  0.801 0.158  1.203 0.158  1.026 0.387  0.732 0.661  0.438 0.935  0.144 1.210  -0.226 1.290  -0.354 1.113  -0.184 0.768  -0.184 0.366  -0.103 -0.023  -0.103 -0.425  -0.103 -0.827  0.011 -1.202  0.058 -1.593  0.095 -1.980  0.326 -1.947  0.388 -1.550  0.451 -1.153  0.514 -0.756  0.576 -0.359  0.639 0.038  0.702 0.435  0.764 0.832  0.705 1.105  0.543 0.865  0.250 0.629  0.110 0.310  -0.201 0.092  -0.302 -0.271  -0.557 -0.555  -0.669 -0.871  -0.730 -0.680  -0.812 -0.286  -0.894 0.108  -0.976 0.501  -1.058 0.895  -0.948 0.829  -0.628 0.589  -0.271 0.404  -0.011 0.101  0.320 -0.032  0.583 -0.326  0.947 -0.488
1d#tos#f1#f1050060/+  -1.209 0.152  -1.361 0.076  -1.382 -0.081  -1.324 -0.194  -1.154 -0.194  -0.984 -0.194  -0.814 -0.194  -0.644 -0.194  -0.474 -0.194  -0.304 -0.194  -0.134 -0.194  0.035 -0.194  0.205 -0.194  0.375 -0.194  0.545 -0.194  0.715 -0.194  0.885 -0.194  1.028 -0.176  0.959 -0.021  0.890 0.134  0.821 0.289  0.752 0.445  0.683 0.600  0.614 0.755  0.545 0.911  0.476 1.066  0.407 1.221  0.328 1.361  0.158 1.361  -0.012 1.361  -0.086 1.265  -0.086 1.095  -0.086 0.925  -0.086 0.755  -0.086 0.585  -0.086 0.415  -0.086 0.246  -0.086 0.076  -0.086 -0.094  -0.086 -0.264  -0.086 -0.434  -0.076 -0.603  -0.048 -0.771  -0.020 -0.939  0.035 -1.092  0.086 -1.241  0.086 -1.411  0.086 -1.581  0.086 -1.751  0.086 -1.921
1d#tos#f1#f1050060/.  1.529 1.192  1.529 1.013  1.529 0.835  1.529 0.656  1.529 0.477  1.529 0.298  1.443 0.154  1.317 0.028  1.190 -0.099  1.064 -0.225  0.889 -0.236  0.710 -0.236  0.577 -0.281  0.577 -0.460  0.577 -0.639  0.471 -0.712  0.292 -0.712  0.113 -0.712  -0.066 -0.712  -0.245 -0.712  -0.424 -0.712  -0.603 -0.712  -0.781 -0.712  -0.851 -0.603  -0.851 -0.424  -0.851 -0.245  -0.682 -0.236  -0.503 -0.236  -0.375 -0.184  -0.375 -0.005  -0.375 0.173  -0.263 0.240  -0.084 0.240  0.095 0.240  -0.072 0.240  -0.251 0.240  -0.375 0.295  -0.375 0.474  -0.375 0.653  -0.490 0.716  -0.669 0.716  -0.848 0.716  -0.851 0.540  -0.851 0.362  -0.851 0.183  -0.851 0.004  -0.851 -0.175  -0.970 -0.236  -1.148 -0.236  -1.327 -0.236
1d#tos#f1#f1050060/  1.000 1.319  0.949 1.267  0.897 1.215  0.824 1.214  0.790 1.174  0.733 1.142  0.664 1.119  0.615 1.072  0.582 1.006  0.580 0.933  0.553 0.871  0.507 0.815  0.466 0.754  0.426 0.693  0.375 0.640  0.362 0.571  0.322 0.510  0.281 0.449  0.225 0.406  0.160 0.373  0.133 0.304  0.106 0.236  0.078 0.168  0.049 0.101  0.008 0.040  -0.032 -0.021  -0.068 -0.084  -0.101 -0.150  -0.134 -0.215  -0.167 -0.281  -0.200 -0.346  -0.257 -0.387  -0.318 -0.425  -0.350 -0.490  -0.383 -0.556  -0.416 -0.622  -0.467 -0.674  -0.519 -0.726  -0.522 -0.798  -0.522 -0.871  -0.563 -0.927  -0.615 -0.979  -0.667 -1.031  -0.718 -1.083  -0.732 -1.150  -0.732 -1.224  -0.732 -1.297  -0.796 -1.307  -0.837 -1.339  -0.837 -1.412
1d#tos#f1#f1050060/:  0.162 1.732  0.162 1.649  0.110 1.598  0.036 1.561  -0.038 1.524  -0.047 1.453  -0.035 1.370  -0.024 1.288  -0.013 1.206  -0.002 1.124  0.009 1.042  0.021 0.960  0.032 0.878  0.043 0.796  0.054 0.714  0.065 0.632  0.077 0.549  0.088 0.467  0.099 0.385  0.110 0.303  0.121 0.221  0.132 0.139  0.144 0.057  0.155 -0.025  0.166 -0.107  0.177 -0.189  0.188 -0.272  0.200 -0.354  0.211 -0.436  0.222 -0.518  0.233 -0.600  0.244 -0.682  0.256 -0.764  0.267 -0.846  0.212 -0.870  0.129 -0.870  0.046 -0.870  -0.037 -0.870  -0.120 -0.870  -0.164 -0.909  -0.164 -0.992  -0.164 -1.075  -0.164 -1.158  -0.209 -1.196  -0.292 -1.196  -0.374 -1.196  -0.457 -1.196  -0.540 -1.196  -0.623 -1.196  -0.706 -1.196
1d#tos#f1#f1050060/;  -0.362 1.341  -0.420 1.282  -0.441 1.221  -0.439 1.227  -0.358 1.238  -0.276 1.250  -0.195 1.262  -0.113 1.273  -0.092 1.281  -0.122 1.228  -0.122 1.146  -0.122 1.064  -0.104 0.984  -0.079 0.906  -0.054 0.827  -0.029 0.749  -0.004 0.670  0.021 0.592  0.046 0.513  0.071 0.435  0.096 0.356  0.121 0.278  0.146 0.199  0.171 0.121  0.196 0.042  0.221 -0.036  0.246 -0.114  0.271 -0.193  0.296 -0.271  0.222 -0.278  0.178 -0.316  0.178 -0.398  0.118 -0.421  0.118 -0.503  0.118 -0.585  0.118 -0.668  0.118 -0.750  0.118 -0.832  0.118 -0.915  0.118 -0.997  0.098 -1.077  0.078 -1.157  0.058 -1.237  0.013 -1.305  -0.033 -1.374  -0.062 -1.447  -0.062 -1.530  -0.062 -1.612  -0.062 -1.694  -0.062 -1.777
1d#tos#f1#f1050060/<  0.776 1.372  0.671 1.372  0.566 1.372  0.461 1.372  0.356 1.372  0.268 1.345  0.221 1.251  0.136 1.194  0.056 1.133  0.009 1.039  -0.038 0.945  -0.085 0.851  -0.132 0.757  -0.168 0.658  -0.202 0.559  -0.271 0.486  -0.358 0.428  -0.436 0.361  -0.483 0.267  -0.496 0.165  -0.518 0.067  -0.577 -0.021  -0.635 -0.108  -0.668 -0.182  -0.773 -0.182  -0.849 -0.211  -0.849 -0.316  -0.821 -0.394  -0.716 -0.394  -0.611 -0.394  -0.506 -0.394  -0.453 -0.479  -0.383 -0.535  -0.278 -0.535  -0.174 -0.548  -0.075 -0.581  0.022 -0.621  0.109 -0.679  0.197 -0.738  0.299 -0.747  0.389 -0.784  0.463 -0.858  0.522 -0.944  0.574 -1.030  0.679 -1.030  0.784 -1.030  0.877 -1.060  0.951 -1.134  1.036 -1.195  1.130 -1.242
1d#tos#f1#f1050060/?  -0.493 1.367  -0.417 1.367  -0.340 1.367  -0.264 1.367  -0.187 1.367  -0.140 1.337  -0.135 1.266  -0.058 1.266  0.001 1.226  0.055 1.171  0.061 1.097  0.061 1.021  0.061 0.944  0.061 0.868  0.061 0.791  0.061 0.715  0.061 0.638  0.061 0.562  0.028 0.493  -0.006 0.425  -0.039 0.356  -0.039 0.279  -0.041 0.203  -0.065 0.131  -0.089 0.058  -0.090 -0.018  -0.090 -0.095  -0.090 -0.172  -0.090 -0.248  -0.090 -0.325  -0.090 -0.401  -0.090 -0.478  -0.085 -0.551  -0.017 -0.586  0.011 -0.645  0.026 -0.715  0.069 -0.776  0.092 -0.849  0.114 -0.922  0.137 -0.995  0.159 -1.068  0.182 -1.142  0.204 -1.215  0.227 -1.288  0.249 -1.361  0.263 -1.435  0.224 -1.496  0.186 -1.561  0.162 -1.632  0.162 -1.709
1d#tos#f1#f1050060/|  -0.095 1.492  -0.169 1.492  -0.243 1.492  -0.295 1.471  -0.250 1.442  -0.245 1.373  -0.245 1.298  -0.245 1.224  -0.245 1.150  -0.199 1.095  -0.187 1.025  -0.154 0.959  -0.145 0.887  -0.145 0.812  -0.145 0.738  -0.145 0.664  -0.145 0.590  -0.145 0.516  -0.145 0.442  -0.118 0.373  -0.091 0.304  -0.063 0.235  -0.036 0.167  -0.008 0.098  0.019 0.029  0.047 -0.040  0.074 -0.108  0.102 -0.177  0.129 -0.246  0.157 -0.315  0.184 -0.384  0.212 -0.452  0.239 -0.521  0.227 -0.563  0.182 -0.610  0.156 -0.678  0.156 -0.752  0.156 -0.826  0.156 -0.901  0.156 -0.975  0.156 -1.049  0.156 -1.123  0.156 -1.197  0.156 -1.271  0.156 -1.345  0.156 -1.419  0.156 -1.493  0.156 -1.567  0.156 -1.641  0.156 -1.716
1d#tos#f1#f1050060/}  -0.638 1.532  -0.535 1.532  -0.435 1.548  -0.339 1.575  -0.251 1.559  -0.198 1.478  -0.165 1.389  -0.165 1.285  -0.165 1.182  -0.165 1.079  -0.165 0.976  -0.165 0.873  -0.165 0.770  -0.165 0.667  -0.165 0.563  -0.165 0.460  -0.165 0.357  -0.147 0.256  -0.121 0.157  -0.037 0.106  -0.018 0.011  0.075 -0.014  0.178 -0.014  0.281 -0.014  0.342 0.056  0.308 0.115  0.205 0.115  0.144 0.047  0.052 0.029  0.043 -0.070  0.006 -0.164  0.006 -0.267  0.006 -0.371  0.028 -0.465  0.049 -0.559  0.126 -0.605  0.135 -0.705  0.178 -0.765  0.199 -0.861  0.257 -0.947  0.264 -1.048  0.307 -1.108  0.307 -1.211  0.294 -1.302  0.264 -1.375  0.219 -1.435  0.173 -1.527  0.117 -1.602  0.013 -1.602  -0.037 -1.688
