1d#tos#f2#f2041064/%  0.626 1.196  0.447 1.136  0.371 0.910  0.312 0.684  0.184 0.490  0.093 0.269  0.034 0.047  -0.094 -0.155  -0.137 -0.384  -0.265 -0.562  -0.389 -0.762  -0.484 -0.980  -0.529 -1.184  -0.640 -1.226  -0.683 -0.990  -0.727 -0.754  -0.770 -0.518  -0.814 -0.282  -0.857 -0.046  -0.901 0.190  -0.944 0.427  -1.044 0.298  -1.237 0.364  -1.260 0.600  -1.104 0.723  -0.892 0.792  -0.652 0.792  -0.541 0.663  -0.626 0.443  -0.766 0.252  -0.839 0.116  -0.601 0.081  -0.364 0.047  -0.126 0.012  0.111 -0.023  0.349 -0.057  0.586 -0.092  0.824 -0.127  1.062 -0.161  1.299 -0.196  1.123 -0.299  0.911 -0.286  0.941 -0.080  1.062 0.073  1.302 0.073  1.458 -0.063  1.557 -0.196  1.434 -0.374  1.215 -0.420  0.985 -0.465
1d#tos#f2#f2041064/'  0.713 1.354  0.636 1.354  0.559 1.354  0.511 1.324  0.511 1.247  0.511 1.170  0.511 1.093  0.547 1.051  0.607 1.041  0.573 0.972  0.538 0.903  0.494 0.849  0.417 0.849  0.411 0.779  0.411 0.702  0.400 0.627  0.366 0.558  0.331 0.489  0.290 0.426  0.235 0.371  0.209 0.305  0.200 0.231  0.157 0.167  0.114 0.103  0.072 0.038  0.029 -0.026  -0.010 -0.092  -0.044 -0.161  -0.079 -0.230  -0.094 -0.304  -0.108 -0.375  -0.162 -0.429  -0.217 -0.484  -0.271 -0.538  -0.326 -0.593  -0.380 -0.647  -0.396 -0.718  -0.410 -0.792  -0.444 -0.861  -0.479 -0.929  -0.529 -0.982  -0.598 -1.017  -0.667 -1.051  -0.699 -1.109  -0.699 -1.186  -0.699 -1.263  -0.699 -1.340  -0.746 -1.369  -0.800 -1.393  -0.800 -1.470
1d#tos#f2#f2041064/(  0.476 1.521  0.437 1.443  0.421 1.358  0.345 1.334  0.273 1.298  0.188 1.289  0.141 1.220  0.103 1.148  0.025 1.125  -0.038 1.063  -0.096 0.998  -0.145 0.924  -0.194 0.851  -0.264 0.823  -0.304 0.744  -0.374 0.715  -0.413 0.636  -0.428 0.552  -0.467 0.473  -0.474 0.387  -0.474 0.299  -0.474 0.211  -0.474 0.123  -0.474 0.035  -0.474 -0.054  -0.474 -0.142  -0.474 -0.230  -0.439 -0.303  -0.392 -0.376  -0.362 -0.457  -0.324 -0.529  -0.262 -0.592  -0.218 -0.667  -0.159 -0.715  -0.091 -0.762  -0.027 -0.791  0.010 -0.864  0.091 -0.883  0.153 -0.918  0.181 -1.002  0.234 -1.050  0.322 -1.050  0.410 -1.050  0.475 -1.105  0.539 -1.162  0.628 -1.162  0.716 -1.162  0.804 -1.162  0.892 -1.162  0.924 -1.218
1d#tos#f2#f2041064/*  0.120 1.619  -0.070 1.407  -0.070 1.057  -0.070 0.708  -0.070 0.358  -0.070 0.009  -0.070 -0.340  -0.070 -0.690  -0.070 -1.039  -0.006 -1.325  -0.121 -1.203  -0.281 -0.892  -0.440 -0.581  -0.600 -0.270  -0.760 0.040  -0.920 0.351  -1.080 0.662  -1.287 0.681  -1.100 0.557  -0.765 0.508  -0.449 0.414  -0.197 0.317  -0.133 0.158  -0.323 -0.001  -0.480 -0.267  -0.686 -0.465  -0.929 -0.664  -1.125 -0.854  -1.049 -0.801  -0.764 -0.598  -0.480 -0.395  -0.196 -0.192  0.089 0.011  0.373 0.214  0.657 0.417  0.942 0.620  1.226 0.823  1.388 0.953  1.198 0.769  0.950 0.668  0.806 0.414  0.536 0.224  0.264 0.097  0.120 -0.145  0.374 -0.241  0.618 -0.347  0.871 -0.500  1.134 -0.663  1.420 -0.727  1.642 -0.854
1d#tos#f2#f2041064/:  0.140 1.602  0.066 1.578  -0.007 1.553  -0.083 1.542  -0.102 1.483  -0.102 1.405  -0.102 1.328  -0.102 1.250  -0.102 1.173  -0.102 1.095  -0.102 1.017  -0.102 0.940  -0.102 0.862  -0.102 0.785  -0.137 0.722  -0.162 0.655  -0.162 0.577  -0.138 0.503  -0.113 0.430  -0.089 0.356  -0.064 0.283  -0.040 0.209  -0.015 0.136  0.009 0.062  0.034 -0.012  0.058 -0.085  0.083 -0.159  0.107 -0.232  0.132 -0.306  0.156 -0.379  0.181 -0.453  0.183 -0.510  0.105 -0.510  0.028 -0.510  0.019 -0.579  0.019 -0.657  0.019 -0.734  0.019 -0.812  0.019 -0.889  0.019 -0.967  0.019 -1.044  0.019 -1.122  0.037 -1.192  0.079 -1.252  0.079 -1.330  0.079 -1.407  0.079 -1.485  0.079 -1.562  0.079 -1.640  0.079 -1.717
1d#tos#f2#f2041064/;  0.297 1.704  0.233 1.680  0.208 1.603  0.185 1.526  0.185 1.445  0.185 1.364  0.185 1.283  0.185 1.203  0.185 1.122  0.185 1.041  0.185 0.960  0.185 0.879  0.185 0.799  0.185 0.718  0.185 0.637  0.185 0.556  0.185 0.476  0.216 0.426  0.297 0.425  0.287 0.345  0.277 0.265  0.266 0.185  0.256 0.104  0.246 0.024  0.236 -0.056  0.226 -0.136  0.216 -0.216  0.206 -0.296  0.196 -0.377  0.186 -0.457  0.185 -0.537  0.142 -0.575  0.081 -0.623  0.024 -0.680  -0.033 -0.738  -0.090 -0.795  -0.112 -0.862  -0.184 -0.898  -0.263 -0.908  -0.344 -0.908  -0.425 -0.908  -0.426 -0.988  -0.426 -1.068  -0.492 -1.108  -0.559 -1.152  -0.616 -1.209  -0.683 -1.241  -0.709 -1.297  -0.759 -1.327  -0.759 -1.408
1d#tos#f2#f2041064/=  -1.093 0.819  -1.214 0.698  -1.310 0.655  -1.138 0.655  -0.967 0.655  -0.796 0.655  -0.624 0.655  -0.453 0.655  -0.282 0.655  -0.110 0.655  0.061 0.655  0.232 0.655  0.403 0.655  0.575 0.655  0.746 0.655  0.917 0.655  1.089 0.655  1.260 0.655  1.146 0.588  0.993 0.511  0.840 0.435  0.687 0.358  0.534 0.282  0.380 0.205  0.227 0.128  0.074 0.052  -0.079 -0.025  -0.232 -0.101  -0.386 -0.178  -0.539 -0.255  -0.692 -0.331  -0.845 -0.408  -0.999 -0.485  -1.061 -0.640  -1.093 -0.806  -0.934 -0.818  -0.763 -0.818  -0.592 -0.818  -0.431 -0.774  -0.268 -0.736  -0.097 -0.736  0.074 -0.736  0.246 -0.736  0.417 -0.736  0.588 -0.736  0.759 -0.736  0.931 -0.736  1.102 -0.736  1.273 -0.736  1.445 -0.736
1d#tos#f2#f2041064/@  0.195 -1.001  0.078 -1.214  0.040 -1.385  -0.221 -1.385  -0.429 -1.331  -0.600 -1.241  -0.717 -1.097  -0.813 -0.903  -0.909 -0.738  -0.953 -0.522  -0.957 -0.264  -0.957 -0.002  -0.957 0.259  -1.005 0.472  -0.951 0.683  -0.900 0.918  -0.830 1.110  -0.669 1.209  -0.573 1.375  -0.335 1.398  -0.073 1.398  0.176 1.369  0.339 1.260  0.435 1.094  0.568 0.966  0.627 0.736  0.675 0.522  0.675 0.261  0.675 -0.000  0.675 -0.261  0.579 -0.427  0.531 -0.640  0.445 -0.623  0.506 -0.369  0.566 -0.114  0.627 0.140  0.651 0.295  0.627 0.039  0.627 -0.222  0.617 -0.474  0.435 -0.553  0.238 -0.618  0.073 -0.522  -0.081 -0.378  -0.141 -0.176  -0.141 0.085  0.051 0.182  0.248 0.246  0.510 0.246  0.723 0.198
1d#tos#f2#f2041064/[  0.835 1.164  0.786 1.082  0.749 1.017  0.668 1.066  0.566 1.066  0.494 1.095  0.412 1.115  0.311 1.115  0.209 1.115  0.108 1.115  0.006 1.115  -0.089 1.091  -0.185 1.066  -0.286 1.065  -0.368 1.017  -0.382 0.931  -0.382 0.829  -0.350 0.741  -0.334 0.646  -0.334 0.545  -0.334 0.443  -0.334 0.342  -0.334 0.241  -0.334 0.139  -0.334 0.038  -0.334 -0.064  -0.334 -0.165  -0.325 -0.265  -0.285 -0.357  -0.285 -0.458  -0.285 -0.560  -0.285 -0.661  -0.285 -0.763  -0.285 -0.864  -0.334 -0.917  -0.334 -1.018  -0.378 -1.076  -0.334 -1.124  -0.282 -1.076  -0.180 -1.076  -0.079 -1.076  0.023 -1.076  0.124 -1.076  0.226 -1.076  0.327 -1.076  0.429 -1.076  0.530 -1.076  0.632 -1.076  0.733 -1.076  0.835 -1.076
1d#tos#f2#f2041064/]  -0.752 1.124  -0.854 1.118  -0.895 1.030  -0.792 1.029  -0.735 0.981  -0.631 0.981  -0.526 0.981  -0.434 1.012  -0.336 1.029  -0.231 1.029  -0.126 1.029  -0.021 1.029  0.083 1.029  0.188 1.029  0.293 1.029  0.301 0.932  0.301 0.827  0.301 0.722  0.349 0.665  0.349 0.560  0.349 0.456  0.354 0.353  0.397 0.266  0.397 0.161  0.397 0.056  0.397 -0.049  0.445 -0.134  0.445 -0.238  0.445 -0.343  0.481 -0.426  0.540 -0.494  0.540 -0.599  0.540 -0.703  0.540 -0.808  0.540 -0.913  0.456 -0.934  0.397 -0.979  0.301 -0.988  0.242 -1.041  0.153 -1.077  0.048 -1.077  -0.057 -1.077  -0.162 -1.077  -0.267 -1.077  -0.371 -1.077  -0.476 -1.077  -0.581 -1.077  -0.686 -1.077  -0.791 -1.077  -0.848 -1.030
1d#tos#f2#f2041064/`  -0.748 1.335  -0.829 1.335  -0.879 1.303  -0.879 1.222  -0.879 1.141  -0.879 1.060  -0.879 0.978  -0.879 0.897  -0.879 0.816  -0.801 0.813  -0.728 0.793  -0.670 0.735  -0.614 0.677  -0.569 0.609  -0.524 0.542  -0.479 0.474  -0.434 0.407  -0.389 0.339  -0.333 0.291  -0.252 0.291  -0.201 0.241  -0.165 0.169  -0.129 0.096  -0.093 0.023  -0.067 -0.054  -0.042 -0.131  -0.016 -0.208  0.010 -0.285  0.035 -0.362  0.117 -0.362  0.198 -0.362  0.279 -0.362  0.342 -0.407  0.399 -0.465  0.446 -0.530  0.482 -0.603  0.518 -0.675  0.555 -0.748  0.632 -0.754  0.714 -0.754  0.795 -0.754  0.876 -0.754  0.949 -0.762  0.949 -0.843  0.949 -0.924  0.949 -1.005  1.000 -1.066  1.057 -1.123  1.031 -1.146  0.949 -1.146
