1d#tos#f2#f2044065/!  -0.172 -1.416  -0.256 -1.511  -0.256 -1.640  -0.202 -1.737  -0.172 -1.655  -0.231 -1.583  -0.237 -1.481  -0.213 -1.353  -0.189 -1.226  -0.165 -1.098  -0.142 -0.971  -0.118 -0.843  -0.094 -0.716  -0.070 -0.588  -0.046 -0.460  -0.023 -0.333  0.001 -0.205  0.025 -0.078  0.049 0.050  0.073 0.177  0.096 0.305  0.120 0.432  0.144 0.560  0.168 0.688  0.192 0.815  0.216 0.943  0.239 1.070  0.263 1.198  0.287 1.325  0.311 1.453  0.315 1.564  0.206 1.544  0.206 1.414  0.206 1.284  0.206 1.155  0.206 1.025  0.122 0.930  0.118 0.801  0.060 0.685  0.002 0.569  -0.004 0.441  -0.004 0.311  -0.004 0.181  -0.075 0.073  -0.088 -0.053  -0.145 -0.167  -0.212 -0.278  -0.214 -0.407  -0.242 -0.533  -0.256 -0.660
1d#tos#f2#f2044065/\"  -0.376 1.596  -0.471 1.510  -0.471 1.328  -0.471 1.146  -0.471 0.964  -0.471 0.782  -0.481 0.601  -0.525 0.424  -0.569 0.248  -0.613 0.071  -0.657 -0.105  -0.776 -0.240  -0.854 -0.389  -0.854 -0.571  -0.854 -0.753  -0.854 -0.935  -0.854 -1.117  -0.781 -1.088  -0.668 -0.945  -0.555 -0.802  -0.442 -0.660  -0.329 -0.517  -0.216 -0.374  -0.103 -0.231  0.010 -0.089  0.123 0.054  0.236 0.197  0.349 0.339  0.462 0.482  0.575 0.625  0.688 0.767  0.801 0.910  0.914 1.053  0.965 1.018  0.965 0.836  0.965 0.654  0.869 0.567  0.869 0.385  0.787 0.228  0.686 0.077  0.585 -0.075  0.486 -0.227  0.423 -0.382  0.295 -0.511  0.295 -0.693  0.295 -0.875  0.295 -1.057  0.295 -1.239  0.295 -1.421  0.199 -1.564
1d#tos#f2#f2044065/%  -0.193 1.387  -0.423 1.352  -0.564 1.190  -0.650 0.987  -0.652 0.749  -0.640 0.516  -0.437 0.413  -0.211 0.462  -0.079 0.647  -0.079 0.886  -0.162 1.098  -0.336 1.215  -0.285 1.218  -0.051 1.174  0.184 1.131  0.418 1.087  0.653 1.044  0.781 0.943  0.666 0.783  0.539 0.602  0.423 0.399  0.266 0.220  0.129 0.030  -0.030 -0.144  -0.197 -0.311  -0.368 -0.477  -0.480 -0.669  -0.594 -0.852  -0.771 -1.008  -0.906 -1.188  -0.995 -1.389  -0.803 -1.253  -0.610 -1.114  -0.416 -0.974  -0.223 -0.835  -0.029 -0.696  0.164 -0.557  0.358 -0.417  0.552 -0.278  0.543 -0.311  0.379 -0.398  0.293 -0.608  0.293 -0.846  0.398 -1.056  0.612 -1.104  0.780 -0.993  0.809 -0.758  0.809 -0.520  0.668 -0.360  0.465 -0.417
1d#tos#f2#f2044065/&  1.431 -0.896  1.285 -0.989  1.127 -0.896  0.974 -0.834  0.826 -0.741  0.633 -0.686  0.450 -0.582  0.243 -0.552  0.048 -0.469  -0.138 -0.393  -0.293 -0.258  -0.396 -0.103  -0.552 0.034  -0.707 0.173  -0.797 0.332  -0.797 0.547  -0.771 0.759  -0.703 0.963  -0.521 1.068  -0.360 1.178  -0.199 1.295  0.015 1.302  0.230 1.302  0.445 1.302  0.650 1.278  0.742 1.133  0.750 0.920  0.639 0.759  0.522 0.619  0.363 0.509  0.233 0.383  0.068 0.249  -0.138 0.228  -0.317 0.126  -0.510 0.072  -0.705 0.029  -0.841 -0.060  -0.941 -0.215  -0.983 -0.388  -0.983 -0.603  -0.859 -0.756  -0.692 -0.878  -0.497 -0.927  -0.282 -0.927  -0.072 -0.905  0.129 -0.867  0.327 -0.803  0.515 -0.724  0.657 -0.616  0.750 -0.493
1d#tos#f2#f2044065/'  1.102 1.223  1.036 1.190  0.970 1.157  0.905 1.123  0.905 1.049  0.857 1.010  0.787 0.986  0.717 0.963  0.647 0.939  0.578 0.911  0.512 0.878  0.446 0.845  0.412 0.793  0.412 0.719  0.412 0.645  0.412 0.571  0.387 0.507  0.334 0.455  0.282 0.403  0.230 0.350  0.177 0.298  0.125 0.246  0.089 0.182  0.055 0.116  0.022 0.050  -0.011 -0.016  -0.044 -0.083  -0.077 -0.149  -0.126 -0.203  -0.179 -0.255  -0.231 -0.308  -0.281 -0.361  -0.309 -0.430  -0.336 -0.499  -0.364 -0.567  -0.391 -0.636  -0.419 -0.705  -0.446 -0.773  -0.474 -0.842  -0.539 -0.870  -0.609 -0.894  -0.679 -0.917  -0.750 -0.941  -0.802 -0.988  -0.847 -1.047  -0.891 -1.106  -0.936 -1.165  -0.980 -1.225  -1.024 -1.284  -1.069 -1.343
1d#tos#f2#f2044065/(  0.668 1.416  0.589 1.410  0.512 1.391  0.434 1.372  0.360 1.346  0.288 1.310  0.267 1.243  0.196 1.208  0.166 1.146  0.116 1.087  0.060 1.031  0.004 0.975  -0.053 0.918  -0.080 0.844  -0.105 0.769  -0.144 0.700  -0.188 0.633  -0.231 0.566  -0.266 0.495  -0.280 0.418  -0.280 0.339  -0.280 0.259  -0.301 0.183  -0.326 0.107  -0.335 0.029  -0.335 -0.051  -0.335 -0.130  -0.335 -0.210  -0.335 -0.290  -0.335 -0.370  -0.335 -0.449  -0.335 -0.529  -0.335 -0.609  -0.335 -0.688  -0.276 -0.731  -0.206 -0.769  -0.140 -0.814  -0.074 -0.858  -0.030 -0.922  0.005 -0.993  0.041 -1.065  0.082 -1.133  0.126 -1.199  0.173 -1.261  0.251 -1.276  0.330 -1.292  0.408 -1.308  0.468 -1.350  0.512 -1.416  0.557 -1.482
1d#tos#f2#f2044065/*  0.797 0.900  0.570 0.772  0.376 0.554  0.217 0.300  0.111 0.020  -0.024 -0.250  -0.173 -0.511  -0.342 -0.753  -0.518 -0.987  -0.740 -1.172  -0.907 -1.404  -0.904 -1.169  -0.883 -0.869  -0.861 -0.568  -0.840 -0.268  -0.818 0.033  -0.797 0.333  -0.775 0.634  -0.835 0.859  -0.785 0.654  -0.522 0.540  -0.271 0.385  -0.029 0.209  0.200 0.015  0.435 -0.171  0.704 -0.300  0.915 -0.476  1.102 -0.642  1.329 -0.819  1.176 -0.560  1.023 -0.300  0.870 -0.041  0.717 0.219  0.563 0.478  0.410 0.738  0.257 0.997  0.104 1.257  -0.049 1.516  -0.186 1.607  -0.227 1.312  -0.227 1.011  -0.213 0.711  -0.154 0.415  -0.104 0.120  -0.063 -0.176  -0.034 -0.475  0.060 -0.741  0.060 -1.042  0.142 -1.298  0.142 -1.599
1d#tos#f2#f2044065/  -1.403 -0.108  -1.469 -0.141  -1.500 -0.186  -1.467 -0.253  -1.405 -0.272  -1.385 -0.218  -1.311 -0.218  -1.236 -0.218  -1.162 -0.218  -1.088 -0.218  -1.013 -0.218  -0.939 -0.218  -0.865 -0.218  -0.797 -0.188  -0.729 -0.163  -0.655 -0.163  -0.580 -0.163  -0.506 -0.163  -0.432 -0.163  -0.357 -0.163  -0.283 -0.163  -0.227 -0.127  -0.182 -0.067  -0.137 -0.008  -0.093 0.052  -0.021 0.056  0.054 0.056  0.128 0.056  0.199 0.079  0.269 0.103  0.342 0.111  0.417 0.111  0.491 0.111  0.565 0.111  0.640 0.111  0.710 0.128  0.777 0.161  0.843 0.194  0.911 0.220  0.986 0.220  1.060 0.220  1.134 0.220  1.209 0.220  1.283 0.220  1.357 0.220  1.432 0.220  1.505 0.224  1.572 0.257  1.642 0.275  1.716 0.275
1d#tos#f2#f2044065/.  -0.323 1.112  -0.323 0.640  -0.323 0.167  -0.261 -0.279  -0.082 -0.549  -0.323 -0.318  -0.323 0.155  -0.502 0.448  -0.975 0.448  -0.733 0.065  -0.471 -0.328  -0.323 -0.756  -0.005 -0.881  -0.323 -0.726  -0.618 -0.549  -0.323 -0.652  -0.323 -0.638  -0.323 -0.268  -0.132 -0.549  0.341 -0.549  0.009 -0.410  0.009 -0.496  0.429 -0.549  0.902 -0.549  1.338 -0.513  1.338 -0.041  1.338 0.432  1.214 0.780  0.819 0.967  0.407 1.112  -0.066 1.112  -0.538 1.112  -0.988 1.090  -0.988 0.617  -0.988 0.144  -0.988 -0.328  -0.988 -0.801  -0.711 -1.158  -0.261 -1.214  0.212 -1.214  0.584 -0.971  0.918 -0.637  1.006 -0.201  1.006 0.271  1.006 0.744  0.902 1.112  0.430 1.112  -0.043 1.112  -0.323 0.920  -0.323 0.448
1d#tos#f2#f2044065/:  -0.131 1.519  -0.135 1.447  -0.167 1.382  -0.207 1.328  -0.280 1.328  -0.322 1.297  -0.322 1.224  -0.322 1.151  -0.264 1.136  -0.211 1.089  -0.145 1.072  -0.122 1.014  -0.112 0.942  -0.102 0.870  -0.092 0.798  -0.081 0.725  -0.071 0.653  -0.061 0.581  -0.050 0.509  -0.040 0.437  -0.030 0.364  -0.019 0.292  -0.009 0.220  0.001 0.148  0.012 0.076  0.022 0.003  0.032 -0.069  0.043 -0.141  0.053 -0.213  0.063 -0.285  0.074 -0.358  0.084 -0.430  0.094 -0.502  0.104 -0.574  0.115 -0.646  0.125 -0.719  0.135 -0.791  0.146 -0.863  0.156 -0.935  0.166 -1.007  0.177 -1.080  0.187 -1.152  0.188 -1.225  0.188 -1.298  0.188 -1.371  0.188 -1.443  0.188 -1.516  0.188 -1.589  0.188 -1.662  0.188 -1.735
1d#tos#f2#f2044065/?  -0.251 0.469  -0.371 0.469  -0.490 0.469  -0.610 0.469  -0.678 0.537  -0.772 0.606  -0.772 0.725  -0.729 0.801  -0.673 0.872  -0.584 0.946  -0.465 0.946  -0.389 1.017  -0.310 1.105  -0.196 1.120  -0.077 1.120  0.042 1.120  0.158 1.099  0.260 1.042  0.356 0.980  0.375 0.865  0.457 0.787  0.507 0.689  0.530 0.572  0.530 0.453  0.530 0.333  0.530 0.214  0.498 0.102  0.444 -0.005  0.399 -0.080  0.295 -0.095  0.221 -0.154  0.116 -0.205  0.067 -0.311  -0.008 -0.396  -0.078 -0.478  -0.113 -0.591  -0.205 -0.658  -0.208 -0.775  -0.189 -0.876  -0.070 -0.876  0.003 -0.951  0.052 -1.060  0.099 -1.169  0.147 -1.279  0.195 -1.388  0.243 -1.498  0.291 -1.607  0.313 -1.722  0.313 -1.841  0.269 -1.917
