1d#tos#f3#f3017065/!  0.061 1.680  0.061 1.610  0.025 1.575  0.025 1.505  0.025 1.434  0.025 1.363  0.025 1.293  0.025 1.222  0.025 1.151  0.025 1.081  0.025 1.010  0.025 0.939  0.025 0.869  0.004 0.803  -0.011 0.736  -0.011 0.665  -0.011 0.595  -0.011 0.524  -0.011 0.453  -0.011 0.383  -0.011 0.312  -0.011 0.242  -0.011 0.171  -0.011 0.100  -0.011 0.030  -0.011 -0.041  -0.011 -0.112  -0.011 -0.182  -0.011 -0.253  -0.011 -0.324  -0.011 -0.394  -0.011 -0.465  -0.011 -0.536  -0.011 -0.606  -0.011 -0.677  -0.011 -0.748  -0.011 -0.818  -0.011 -0.889  -0.020 -0.958  -0.042 -1.025  -0.048 -1.095  -0.048 -1.166  -0.048 -1.236  -0.048 -1.307  -0.048 -1.378  -0.040 -1.440  -0.011 -1.483  0.029 -1.513  0.098 -1.515  0.098 -1.586
1d#tos#f3#f3017065/\"  -0.526 1.183  -0.595 1.105  -0.648 0.973  -0.701 0.840  -0.750 0.721  -0.844 0.637  -0.844 0.495  -0.971 0.480  -0.971 0.337  -0.971 0.195  -0.971 0.052  -0.971 -0.090  -0.971 -0.232  -0.956 -0.371  -0.878 -0.484  -0.780 -0.566  -0.780 -0.708  -0.780 -0.851  -0.714 -0.958  -0.596 -1.037  -0.546 -1.048  -0.459 -0.936  -0.372 -0.823  -0.285 -0.711  -0.197 -0.598  -0.110 -0.485  -0.023 -0.373  0.064 -0.260  0.151 -0.148  0.238 -0.035  0.326 0.078  0.413 0.190  0.500 0.303  0.587 0.415  0.674 0.528  0.761 0.640  0.849 0.753  0.935 0.864  0.935 0.722  0.935 0.579  0.935 0.437  0.935 0.294  0.935 0.152  0.935 0.010  0.972 -0.113  1.091 -0.192  1.171 -0.305  1.206 -0.439  1.279 -0.559  1.380 -0.660
1d#tos#f3#f3017065/%  -0.238 1.226  -0.456 1.124  -0.523 0.905  -0.516 0.657  -0.396 0.459  -0.153 0.444  0.040 0.555  0.112 0.775  0.041 0.984  -0.146 1.136  -0.359 1.248  -0.501 1.141  -0.299 1.079  -0.051 1.059  0.197 1.039  0.446 1.019  0.694 1.000  0.879 0.922  0.723 0.816  0.547 0.654  0.345 0.511  0.186 0.320  0.002 0.152  -0.155 -0.041  -0.294 -0.247  -0.445 -0.444  -0.610 -0.626  -0.766 -0.813  -0.886 -1.015  -0.977 -1.246  -1.027 -1.487  -0.816 -1.480  -0.633 -1.311  -0.450 -1.142  -0.267 -0.974  -0.084 -0.805  0.099 -0.636  0.282 -0.467  0.465 -0.299  0.418 -0.220  0.240 -0.353  0.157 -0.570  0.179 -0.813  0.363 -0.943  0.612 -0.943  0.818 -0.845  0.945 -0.674  0.935 -0.429  0.775 -0.247  0.550 -0.154
1d#tos#f3#f3017065/'  0.342 1.886  0.342 1.775  0.342 1.665  0.342 1.555  0.342 1.444  0.342 1.334  0.342 1.224  0.342 1.113  0.342 1.003  0.342 0.893  0.342 0.782  0.342 0.672  0.342 0.562  0.342 0.451  0.342 0.341  0.342 0.231  0.379 0.136  0.437 0.049  0.437 -0.061  0.495 -0.113  0.461 -0.094  0.355 -0.065  0.248 -0.036  0.142 -0.007  0.035 0.022  -0.071 0.051  -0.178 0.080  -0.284 0.110  -0.390 0.139  -0.497 0.168  -0.515 0.081  -0.515 -0.030  -0.515 -0.140  -0.515 -0.250  -0.515 -0.361  -0.515 -0.471  -0.427 -0.494  -0.420 -0.596  -0.420 -0.707  -0.393 -0.806  -0.324 -0.888  -0.324 -0.998  -0.324 -1.109  -0.283 -1.202  -0.229 -1.290  -0.213 -1.398  -0.179 -1.502  -0.144 -1.607  -0.134 -1.716  -0.134 -1.826
1d#tos#f3#f3017065/(  0.600 1.402  0.518 1.402  0.439 1.384  0.360 1.364  0.323 1.314  0.256 1.279  0.222 1.226  0.141 1.226  0.090 1.175  0.072 1.098  0.048 1.027  -0.009 0.969  -0.016 0.890  -0.032 0.810  -0.052 0.731  -0.105 0.683  -0.182 0.658  -0.232 0.595  -0.277 0.527  -0.280 0.447  -0.288 0.366  -0.314 0.289  -0.336 0.211  -0.356 0.131  -0.368 0.051  -0.368 -0.030  -0.368 -0.112  -0.368 -0.193  -0.346 -0.269  -0.316 -0.345  -0.296 -0.424  -0.280 -0.503  -0.280 -0.585  -0.279 -0.666  -0.234 -0.734  -0.192 -0.803  -0.161 -0.872  -0.103 -0.929  -0.046 -0.987  0.012 -1.045  0.070 -1.102  0.106 -1.148  0.188 -1.148  0.240 -1.203  0.285 -1.271  0.354 -1.312  0.430 -1.341  0.507 -1.367  0.576 -1.411  0.644 -1.456
1d#tos#f3#f3017065/)  -0.184 1.382  -0.255 1.417  -0.332 1.424  -0.340 1.382  -0.276 1.346  -0.269 1.270  -0.206 1.255  -0.142 1.240  -0.142 1.162  -0.102 1.108  -0.057 1.057  -0.041 0.985  0.014 0.929  0.027 0.856  0.045 0.780  0.069 0.705  0.070 0.627  0.129 0.580  0.195 0.536  0.197 0.459  0.197 0.380  0.206 0.304  0.239 0.233  0.239 0.154  0.239 0.075  0.239 -0.003  0.239 -0.082  0.239 -0.161  0.239 -0.239  0.239 -0.318  0.239 -0.397  0.184 -0.452  0.154 -0.519  0.154 -0.597  0.143 -0.673  0.108 -0.744  0.073 -0.814  0.022 -0.873  -0.013 -0.944  -0.048 -1.014  -0.057 -1.090  -0.057 -1.169  -0.078 -1.243  -0.113 -1.313  -0.142 -1.385  -0.192 -1.414  -0.227 -1.458  -0.227 -1.536  -0.288 -1.582  -0.354 -1.626
1d#tos#f3#f3017065/  -1.207 -0.140  -1.281 -0.140  -1.354 -0.140  -1.427 -0.140  -1.422 -0.140  -1.377 -0.112  -1.360 -0.055  -1.287 -0.055  -1.214 -0.055  -1.141 -0.055  -1.067 -0.055  -1.007 -0.024  -0.955 0.028  -0.883 0.029  -0.809 0.029  -0.736 0.029  -0.663 0.029  -0.590 0.029  -0.517 0.029  -0.443 0.029  -0.370 0.029  -0.297 0.029  -0.224 0.029  -0.151 0.029  -0.077 0.029  -0.004 0.029  0.069 0.029  0.142 0.029  0.215 0.029  0.289 0.029  0.362 0.029  0.435 0.029  0.508 0.029  0.582 0.029  0.655 0.029  0.728 0.029  0.801 0.029  0.874 0.029  0.948 0.029  1.021 0.029  1.094 0.029  1.167 0.029  1.240 0.029  1.314 0.029  1.387 0.029  1.460 0.029  1.533 0.029  1.606 0.029  1.680 0.029  1.753 0.029
1d#tos#f3#f3017065/.  0.312 1.693  0.312 1.619  0.312 1.545  0.312 1.471  0.312 1.397  0.312 1.323  0.312 1.249  0.312 1.175  0.311 1.101  0.278 1.035  0.245 0.969  0.212 0.902  0.179 0.836  0.146 0.770  0.113 0.704  0.080 0.638  0.046 0.571  0.013 0.505  -0.020 0.439  -0.053 0.373  -0.086 0.306  -0.119 0.240  -0.152 0.174  -0.185 0.108  -0.218 0.041  -0.252 -0.025  -0.278 -0.093  -0.278 -0.167  -0.278 -0.241  -0.278 -0.315  -0.278 -0.389  -0.278 -0.463  -0.278 -0.537  -0.278 -0.611  -0.278 -0.685  -0.278 -0.759  -0.278 -0.833  -0.278 -0.907  -0.264 -0.975  -0.211 -1.028  -0.159 -1.080  -0.106 -1.132  -0.054 -1.185  -0.002 -1.237  0.051 -1.290  0.103 -1.342  0.155 -1.394  0.208 -1.447  0.260 -1.499  0.312 -1.551
1d#tos#f3#f3017065/>  -0.795 1.304  -0.889 1.304  -0.964 1.265  -0.898 1.236  -0.830 1.188  -0.765 1.128  -0.674 1.105  -0.594 1.057  -0.522 0.997  -0.450 0.939  -0.372 0.885  -0.297 0.829  -0.221 0.775  -0.143 0.723  -0.064 0.671  -0.015 0.594  0.069 0.552  0.150 0.505  0.230 0.455  0.314 0.413  0.369 0.344  0.404 0.257  0.477 0.227  0.547 0.182  0.603 0.107  0.636 0.023  0.678 -0.061  0.686 -0.153  0.687 -0.245  0.719 -0.307  0.719 -0.401  0.672 -0.447  0.590 -0.476  0.547 -0.552  0.480 -0.618  0.402 -0.670  0.348 -0.728  0.259 -0.758  0.174 -0.793  0.122 -0.872  0.082 -0.950  0.015 -1.016  -0.063 -1.053  -0.143 -1.094  -0.219 -1.150  -0.266 -1.230  -0.332 -1.297  -0.410 -1.348  -0.493 -1.390  -0.560 -1.457
1d#tos#f3#f3017065/?  -1.135 0.255  -1.135 0.358  -1.102 0.447  -1.018 0.493  -0.949 0.548  -0.903 0.640  -0.817 0.692  -0.726 0.740  -0.640 0.797  -0.541 0.811  -0.438 0.811  -0.383 0.887  -0.282 0.890  -0.179 0.890  -0.076 0.890  0.027 0.890  0.130 0.890  0.233 0.890  0.336 0.890  0.421 0.865  0.456 0.771  0.532 0.744  0.568 0.656  0.611 0.571  0.611 0.468  0.611 0.365  0.611 0.262  0.543 0.187  0.532 0.089  0.532 -0.014  0.465 -0.089  0.426 -0.183  0.393 -0.280  0.345 -0.368  0.284 -0.448  0.248 -0.544  0.190 -0.627  0.175 -0.727  0.098 -0.750  0.120 -0.850  0.143 -0.951  0.165 -1.051  0.175 -1.153  0.175 -1.256  0.133 -1.345  0.069 -1.425  0.016 -1.509  -0.003 -1.608  -0.024 -1.706  -0.024 -1.809
1d#tos#f3#f3017065/[  0.859 1.236  0.761 1.236  0.662 1.236  0.565 1.223  0.468 1.210  0.370 1.202  0.271 1.202  0.181 1.169  0.082 1.168  -0.016 1.168  -0.098 1.129  -0.179 1.074  -0.236 1.012  -0.297 0.964  -0.297 0.865  -0.297 0.767  -0.323 0.674  -0.331 0.578  -0.331 0.480  -0.331 0.381  -0.331 0.283  -0.360 0.191  -0.404 0.103  -0.433 0.011  -0.433 -0.087  -0.441 -0.184  -0.467 -0.278  -0.467 -0.377  -0.467 -0.475  -0.467 -0.573  -0.467 -0.672  -0.467 -0.770  -0.467 -0.869  -0.433 -0.933  -0.375 -0.974  -0.324 -1.042  -0.226 -1.042  -0.127 -1.042  -0.029 -1.042  0.061 -1.008  0.160 -1.008  0.258 -1.008  0.345 -0.978  0.414 -0.909  0.511 -0.906  0.610 -0.906  0.708 -0.906  0.806 -0.906  0.863 -0.838  0.961 -0.838
