1d#tos#t1#t1017065/!  0.146 1.559  0.146 1.613  0.146 1.540  0.146 1.468  0.108 1.432  0.083 1.385  0.083 1.313  0.083 1.240  0.083 1.167  0.083 1.094  0.083 1.021  0.083 0.949  0.083 0.876  0.083 0.803  0.083 0.730  0.083 0.658  0.083 0.585  0.083 0.512  0.083 0.439  0.083 0.367  0.083 0.294  0.083 0.221  0.083 0.148  0.083 0.075  0.083 0.003  0.083 -0.070  0.029 -0.089  0.019 -0.152  0.018 -0.225  0.005 -0.297  -0.008 -0.368  -0.020 -0.440  -0.033 -0.511  -0.046 -0.583  -0.058 -0.655  -0.071 -0.726  -0.084 -0.798  -0.096 -0.870  -0.109 -0.941  -0.122 -1.013  -0.134 -1.085  -0.147 -1.156  -0.159 -1.228  -0.171 -1.300  -0.171 -1.373  -0.197 -1.420  -0.234 -1.455  -0.234 -1.528  -0.234 -1.600  -0.171 -1.610
1d#tos#t1#t1017065/#  -1.354 0.375  -1.032 0.477  -0.621 0.527  -0.198 0.527  0.183 0.629  0.606 0.629  1.017 0.679  0.947 0.559  0.572 0.364  0.196 0.169  -0.179 -0.026  -0.555 -0.221  -0.930 -0.416  -1.306 -0.611  -1.222 -0.638  -0.811 -0.587  -0.396 -0.536  0.027 -0.536  0.419 -0.505  0.764 -0.384  1.086 -0.283  0.851 -0.023  0.542 0.266  0.233 0.555  -0.076 0.844  -0.385 1.133  -0.543 0.942  -0.594 0.570  -0.594 0.147  -0.594 -0.276  -0.645 -0.687  -0.645 -1.111  -0.645 -1.534  -0.539 -1.469  -0.365 -1.084  -0.190 -0.699  -0.015 -0.313  0.159 0.072  0.334 0.457  0.508 0.843  0.683 1.228  0.825 1.461  0.705 1.218  0.673 0.808  0.622 0.436  0.571 0.025  0.571 -0.398  0.481 -0.807  0.437 -1.195  0.419 -1.600
1d#tos#t1#t1017065/&  1.167 -0.679  1.067 -0.879  0.859 -0.930  0.629 -0.930  0.425 -0.860  0.265 -0.767  0.129 -0.594  0.015 -0.470  -0.115 -0.339  -0.236 -0.193  -0.286 0.015  -0.474 0.141  -0.537 0.333  -0.637 0.521  -0.637 0.750  -0.637 0.980  -0.537 1.110  -0.430 1.238  -0.336 1.407  -0.186 1.516  0.034 1.525  0.264 1.525  0.415 1.409  0.466 1.200  0.566 1.070  0.566 0.841  0.486 0.644  0.365 0.523  0.215 0.385  0.032 0.290  -0.160 0.223  -0.258 0.072  -0.438 0.022  -0.606 -0.078  -0.785 -0.128  -0.837 -0.335  -0.887 -0.515  -0.937 -0.724  -0.836 -0.882  -0.672 -0.994  -0.458 -1.030  -0.228 -1.030  -0.021 -1.073  0.187 -0.980  0.317 -0.880  0.473 -0.772  0.616 -0.631  0.730 -0.472  0.866 -0.346  1.017 -0.228
1d#tos#t1#t1017065/(  0.758 1.366  0.670 1.366  0.664 1.283  0.588 1.272  0.570 1.201  0.570 1.113  0.511 1.083  0.423 1.083  0.382 1.036  0.340 0.989  0.252 0.989  0.194 0.960  0.194 0.871  0.181 0.788  0.119 0.726  0.038 0.707  -0.050 0.707  -0.089 0.657  -0.089 0.569  -0.106 0.485  -0.145 0.406  -0.187 0.330  -0.275 0.330  -0.277 0.244  -0.277 0.156  -0.277 0.067  -0.277 -0.021  -0.277 -0.109  -0.334 -0.140  -0.371 -0.191  -0.371 -0.280  -0.371 -0.368  -0.371 -0.456  -0.371 -0.545  -0.371 -0.633  -0.371 -0.721  -0.371 -0.809  -0.369 -0.897  -0.330 -0.976  -0.290 -1.055  -0.218 -1.081  -0.159 -1.129  -0.120 -1.208  -0.075 -1.283  -0.013 -1.345  0.050 -1.408  0.117 -1.458  0.194 -1.470  0.194 -1.558  0.194 -1.646
1d#tos#t1#t1017065/)  -0.876 1.119  -0.876 1.031  -0.859 0.960  -0.770 0.960  -0.716 0.994  -0.673 1.040  -0.585 1.040  -0.497 1.040  -0.409 1.040  -0.320 1.040  -0.232 1.040  -0.158 1.025  -0.135 0.960  -0.079 0.928  -0.079 0.840  -0.079 0.752  -0.079 0.664  -0.013 0.641  0.075 0.641  0.084 0.561  0.169 0.553  0.231 0.491  0.240 0.406  0.240 0.318  0.240 0.230  0.240 0.141  0.240 0.053  0.279 0.003  0.320 -0.044  0.320 -0.132  0.320 -0.220  0.320 -0.308  0.320 -0.397  0.320 -0.485  0.320 -0.573  0.320 -0.661  0.320 -0.750  0.320 -0.838  0.320 -0.926  0.320 -1.014  0.320 -1.103  0.320 -1.191  0.316 -1.278  0.267 -1.351  0.218 -1.425  0.169 -1.498  0.088 -1.511  0.008 -1.547  -0.071 -1.587  -0.079 -1.670
1d#tos#t1#t1017065/.  -0.057 2.065  -0.057 1.787  -0.165 1.542  -0.319 1.311  -0.473 1.080  -0.627 0.849  -0.781 0.618  -0.781 0.340  -0.974 0.256  -1.252 0.256  -1.505 0.231  -1.505 -0.047  -1.505 -0.325  -1.370 -0.468  -1.093 -0.468  -0.815 -0.468  -0.537 -0.468  -0.260 -0.468  0.018 -0.468  0.296 -0.468  0.304 -0.199  0.304 0.079  0.204 0.256  -0.074 0.256  -0.352 0.256  -0.419 0.045  -0.419 -0.232  -0.377 -0.468  -0.100 -0.468  0.178 -0.468  0.456 -0.468  0.666 -0.401  0.666 -0.123  0.666 0.154  0.490 0.256  0.304 0.163  0.304 -0.115  0.304 -0.392  0.304 -0.670  0.422 -0.830  0.700 -0.830  0.978 -0.830  1.028 -0.603  1.171 -0.468  1.331 -0.468  1.053 -0.468  1.028 -0.216  1.028 0.062  0.944 0.256  0.666 0.256
1d#tos#t1#t1017065/:  0.424 1.256  0.294 1.192  0.100 1.192  -0.058 1.133  -0.093 0.947  0.009 0.832  0.191 0.805  0.295 0.895  0.359 1.025  0.332 1.192  0.138 1.192  -0.028 1.164  -0.028 0.970  0.001 0.805  0.192 0.818  0.351 0.925  0.359 1.116  0.241 1.192  0.047 1.192  -0.024 1.073  -0.017 0.879  -0.011 0.685  -0.004 0.491  0.003 0.297  0.010 0.103  0.016 -0.091  0.023 -0.285  0.030 -0.479  0.036 -0.673  -0.151 -0.680  -0.216 -0.809  -0.351 -0.868  -0.415 -0.998  -0.317 -1.131  -0.123 -1.131  -0.093 -0.967  -0.192 -0.873  -0.351 -0.909  -0.387 -1.067  -0.378 -1.196  -0.184 -1.196  0.006 -1.179  0.078 -1.067  -0.052 -1.002  -0.222 -1.026  -0.197 -1.196  -0.010 -1.214  0.165 -1.260  0.166 -1.067  0.037 -1.002
1d#tos#t1#t1017065/;  0.156 1.481  0.023 1.396  -0.044 1.244  -0.176 1.159  -0.357 1.083  -0.309 0.950  -0.091 0.950  0.089 0.988  0.033 1.149  -0.053 1.282  -0.176 1.188  -0.243 1.036  -0.176 0.885  -0.026 0.950  0.089 1.053  0.089 1.271  -0.118 1.282  -0.219 1.192  -0.165 0.981  -0.110 0.770  -0.055 0.559  -0.001 0.348  0.054 0.137  0.109 -0.074  0.164 -0.285  0.218 -0.496  0.152 -0.643  -0.044 -0.666  -0.110 -0.817  -0.176 -0.969  0.036 -0.975  0.187 -0.908  0.171 -0.776  -0.044 -0.778  -0.065 -0.975  -0.044 -1.082  0.089 -1.048  0.222 -0.963  0.259 -0.832  0.051 -0.776  -0.101 -0.709  -0.176 -0.852  -0.148 -0.908  -0.110 -0.728  0.089 -0.709  0.169 -0.855  0.222 -1.051  0.222 -1.269  0.222 -1.487  0.222 -1.705
1d#tos#t1#t1017065/<  1.193 1.274  1.084 1.220  0.966 1.204  0.845 1.204  0.808 1.099  0.702 1.062  0.702 0.940  0.598 0.924  0.476 0.924  0.355 0.924  0.352 0.805  0.262 0.739  0.166 0.667  0.054 0.643  -0.067 0.643  -0.119 0.573  -0.208 0.541  -0.267 0.444  -0.348 0.397  -0.410 0.301  -0.523 0.258  -0.639 0.223  -0.699 0.162  -0.812 0.153  -0.933 0.153  -0.979 0.077  -0.979 -0.044  -0.940 -0.127  -0.845 -0.191  -0.738 -0.248  -0.691 -0.337  -0.587 -0.379  -0.547 -0.477  -0.426 -0.477  -0.348 -0.522  -0.278 -0.573  -0.224 -0.672  -0.179 -0.758  -0.068 -0.769  -0.068 -0.890  0.046 -0.898  0.167 -0.898  0.219 -0.968  0.282 -1.026  0.363 -1.108  0.466 -1.152  0.577 -1.178  0.679 -1.225  0.721 -1.318  0.842 -1.318
1d#tos#t1#t1017065/=  -0.650 0.774  -0.817 0.774  -0.822 0.612  -0.666 0.601  -0.500 0.601  -0.333 0.601  -0.166 0.601  0.001 0.601  0.168 0.601  0.335 0.601  0.502 0.601  0.669 0.601  0.836 0.601  0.999 0.611  1.134 0.687  1.247 0.741  1.381 0.774  1.304 0.717  1.153 0.645  1.003 0.572  0.853 0.499  0.703 0.427  0.552 0.354  0.402 0.281  0.252 0.209  0.102 0.136  -0.049 0.063  -0.199 -0.010  -0.349 -0.082  -0.499 -0.155  -0.650 -0.228  -0.800 -0.300  -0.950 -0.373  -1.100 -0.446  -1.251 -0.518  -1.253 -0.684  -1.253 -0.850  -1.101 -0.865  -0.934 -0.865  -0.767 -0.865  -0.600 -0.865  -0.433 -0.865  -0.266 -0.865  -0.099 -0.865  0.068 -0.865  0.235 -0.865  0.402 -0.865  0.568 -0.865  0.735 -0.865  0.902 -0.865
1d#tos#t1#t1017065/?  -0.509 0.658  -0.646 0.658  -0.737 0.559  -0.783 0.574  -0.783 0.711  -0.692 0.757  -0.646 0.848  -0.593 0.933  -0.472 0.970  -0.363 1.051  -0.231 1.070  -0.094 1.070  0.029 1.104  0.162 1.115  0.299 1.115  0.406 1.085  0.435 0.978  0.524 0.919  0.607 0.841  0.680 0.777  0.680 0.640  0.680 0.503  0.680 0.366  0.616 0.292  0.543 0.229  0.479 0.155  0.390 0.102  0.269 0.057  0.218 -0.032  0.131 -0.107  0.052 -0.165  -0.006 -0.244  -0.052 -0.335  -0.143 -0.381  -0.120 -0.508  -0.082 -0.635  -0.063 -0.770  -0.044 -0.906  -0.024 -1.042  -0.006 -1.178  -0.101 -1.240  -0.189 -1.309  -0.188 -1.445  -0.051 -1.445  -0.006 -1.354  -0.098 -1.399  -0.097 -1.445  0.040 -1.445  -0.006 -1.354  -0.097 -1.399
