1d#tos#t1#t1081062/\"  -0.525 1.111  -0.684 1.079  -0.740 0.913  -0.740 0.733  -0.740 0.553  -0.740 0.373  -0.740 0.194  -0.740 0.014  -0.740 -0.166  -0.740 -0.345  -0.740 -0.525  -0.740 -0.705  -0.740 -0.884  -0.740 -1.064  -0.668 -1.172  -0.648 -1.332  -0.596 -1.204  -0.515 -1.046  -0.426 -0.890  -0.337 -0.734  -0.248 -0.578  -0.159 -0.422  -0.069 -0.266  0.020 -0.110  0.109 0.046  0.198 0.202  0.287 0.359  0.376 0.515  0.466 0.671  0.555 0.827  0.644 0.983  0.733 1.139  0.822 1.295  0.698 1.327  0.553 1.292  0.553 1.112  0.553 0.933  0.553 0.753  0.553 0.573  0.553 0.393  0.553 0.214  0.553 0.034  0.553 -0.146  0.553 -0.325  0.553 -0.505  0.553 -0.685  0.553 -0.864  0.553 -1.044  0.553 -1.224  0.553 -1.404
1d#tos#t1#t1081062/&  0.370 -0.634  0.271 -0.856  -0.032 -0.810  -0.199 -0.580  -0.257 -0.279  -0.430 -0.130  -0.607 0.082  -0.696 0.315  -0.811 0.521  -0.874 0.780  -0.785 1.047  -0.693 1.277  -0.465 1.401  -0.411 1.677  -0.089 1.677  0.188 1.721  0.377 1.588  0.504 1.393  0.592 1.160  0.592 0.839  0.415 0.695  0.400 0.388  0.192 0.274  -0.021 0.166  -0.165 -0.012  -0.430 -0.069  -0.568 -0.279  -0.756 -0.412  -1.044 -0.493  -1.052 -0.812  -0.774 -0.856  -0.453 -0.856  -0.131 -0.856  0.059 -0.725  0.246 -0.590  0.548 -0.544  0.639 -0.255  0.778 -0.056  0.922 0.033  0.992 -0.164  1.098 -0.252  0.786 -0.330  0.474 -0.408  0.162 -0.486  -0.152 -0.545  -0.192 -0.664  -0.019 -0.867  0.237 -1.013  0.493 -1.078  0.770 -1.123
1d#tos#t1#t1081062/*  -0.702 0.699  -0.953 0.635  -0.723 0.463  -0.444 0.363  -0.374 0.055  -0.100 -0.106  0.007 -0.386  0.265 -0.506  0.381 -0.718  0.587 -0.840  0.780 -1.029  0.876 -0.789  0.917 -0.463  0.957 -0.137  0.998 0.189  1.039 0.514  1.079 0.840  0.984 0.957  0.742 0.752  0.577 0.552  0.316 0.391  0.186 0.115  -0.001 -0.081  -0.186 -0.295  -0.315 -0.570  -0.571 -0.716  -0.803 -0.948  -1.024 -1.185  -0.943 -1.097  -0.820 -0.793  -0.697 -0.489  -0.574 -0.184  -0.451 0.120  -0.328 0.424  -0.205 0.728  -0.082 1.033  0.041 1.337  0.164 1.641  0.032 1.666  -0.057 1.427  -0.057 1.099  -0.057 0.771  -0.057 0.443  -0.057 0.115  -0.057 -0.214  -0.065 -0.540  -0.116 -0.852  -0.057 -1.156  -0.057 -1.485  0.007 -1.748
1d#tos#t1#t1081062/  -0.747 0.004  -0.831 0.004  -0.911 -0.018  -0.990 -0.045  -1.070 -0.071  -1.145 -0.104  -1.204 -0.163  -1.277 -0.189  -1.326 -0.223  -1.305 -0.285  -1.221 -0.285  -1.137 -0.285  -1.062 -0.250  -0.987 -0.212  -0.940 -0.158  -0.922 -0.092  -0.839 -0.092  -0.755 -0.092  -0.671 -0.092  -0.588 -0.092  -0.504 -0.092  -0.420 -0.092  -0.337 -0.092  -0.253 -0.092  -0.169 -0.092  -0.086 -0.092  -0.022 -0.043  0.042 0.004  0.125 0.005  0.206 0.026  0.287 0.046  0.369 0.066  0.450 0.086  0.531 0.107  0.612 0.127  0.693 0.147  0.774 0.168  0.856 0.188  0.938 0.197  1.022 0.197  1.105 0.197  1.189 0.197  1.273 0.197  1.356 0.197  1.440 0.197  1.524 0.197  1.607 0.197  1.691 0.197  1.775 0.197  1.858 0.197
1d#tos#t1#t1081062/.  0.373 1.575  0.323 1.525  0.273 1.475  0.223 1.425  0.173 1.375  0.123 1.325  0.074 1.276  0.024 1.226  -0.026 1.176  -0.038 1.110  -0.038 1.039  -0.038 0.969  -0.038 0.898  -0.038 0.828  -0.038 0.757  -0.038 0.686  -0.038 0.616  -0.038 0.545  -0.038 0.475  -0.038 0.404  -0.038 0.333  -0.038 0.263  -0.038 0.192  -0.038 0.122  -0.038 0.051  -0.038 -0.020  -0.038 -0.090  -0.038 -0.161  -0.038 -0.231  -0.038 -0.302  -0.038 -0.373  -0.038 -0.443  -0.038 -0.514  -0.038 -0.584  -0.038 -0.655  -0.038 -0.726  -0.038 -0.796  -0.038 -0.867  -0.038 -0.937  -0.038 -1.008  -0.038 -1.078  -0.038 -1.149  -0.038 -1.220  -0.038 -1.290  -0.038 -1.361  -0.038 -1.431  -0.038 -1.502  -0.038 -1.573  -0.038 -1.643  -0.038 -1.714
1d#tos#t1#t1081062/  0.968 1.248  0.890 1.248  0.852 1.207  0.852 1.245  0.852 1.167  0.816 1.108  0.751 1.064  0.686 1.021  0.647 0.954  0.602 0.900  0.524 0.900  0.504 0.841  0.504 0.763  0.504 0.685  0.461 0.625  0.405 0.569  0.343 0.522  0.278 0.479  0.213 0.435  0.170 0.369  0.127 0.304  0.079 0.243  0.027 0.184  -0.016 0.119  -0.060 0.054  -0.111 -0.005  -0.133 -0.074  -0.136 -0.152  -0.161 -0.226  -0.186 -0.300  -0.245 -0.344  -0.307 -0.384  -0.307 -0.463  -0.307 -0.541  -0.377 -0.549  -0.456 -0.549  -0.498 -0.599  -0.523 -0.674  -0.539 -0.749  -0.560 -0.823  -0.595 -0.893  -0.597 -0.970  -0.597 -1.049  -0.637 -1.111  -0.692 -1.166  -0.713 -1.236  -0.776 -1.255  -0.811 -1.325  -0.829 -1.399  -0.887 -1.419
1d#tos#t1#t1081062/:  0.101 1.689  0.025 1.689  -0.009 1.646  -0.009 1.569  -0.009 1.493  -0.009 1.417  -0.008 1.340  -0.005 1.264  -0.001 1.188  0.002 1.112  0.006 1.035  0.009 0.959  0.013 0.883  0.016 0.807  0.020 0.730  0.023 0.654  0.027 0.578  0.030 0.501  0.034 0.425  0.037 0.349  0.041 0.273  0.044 0.196  0.047 0.120  0.051 0.044  0.054 -0.032  0.058 -0.109  0.061 -0.185  0.065 -0.261  0.068 -0.338  0.072 -0.414  0.075 -0.490  0.079 -0.566  0.082 -0.643  0.086 -0.719  0.089 -0.795  0.093 -0.871  0.096 -0.948  0.099 -1.024  0.061 -1.061  -0.015 -1.061  -0.091 -1.061  -0.119 -1.109  -0.119 -1.186  -0.119 -1.262  -0.177 -1.280  -0.204 -1.280  -0.128 -1.280  -0.186 -1.280  -0.229 -1.314  -0.229 -1.390
1d#tos#t1#t1081062/;  0.091 1.568  0.024 1.534  -0.044 1.501  -0.119 1.498  -0.119 1.423  -0.109 1.358  -0.049 1.342  -0.049 1.266  -0.049 1.190  -0.049 1.115  -0.049 1.039  -0.019 0.976  0.021 0.917  0.023 0.841  0.030 0.766  0.036 0.690  0.043 0.615  0.050 0.539  0.056 0.464  0.063 0.389  0.069 0.313  0.076 0.238  0.082 0.162  0.089 0.087  0.095 0.012  0.102 -0.064  0.109 -0.139  0.115 -0.214  0.122 -0.290  0.128 -0.365  0.135 -0.441  0.141 -0.516  0.148 -0.591  0.154 -0.667  0.161 -0.742  0.101 -0.780  0.033 -0.814  0.021 -0.882  0.021 -0.958  0.021 -1.034  0.021 -1.109  0.012 -1.181  -0.042 -1.235  -0.111 -1.263  -0.183 -1.286  -0.255 -1.310  -0.260 -1.383  -0.262 -1.458  -0.296 -1.525  -0.330 -1.593
1d#tos#t1#t1081062/<  0.795 1.563  0.721 1.533  0.679 1.447  0.592 1.396  0.493 1.364  0.425 1.309  0.425 1.205  0.413 1.107  0.340 1.033  0.266 0.960  0.193 0.887  0.129 0.809  0.110 0.710  0.063 0.617  -0.016 0.554  -0.102 0.496  -0.190 0.441  -0.283 0.395  -0.363 0.331  -0.389 0.238  -0.411 0.157  -0.515 0.157  -0.619 0.157  -0.711 0.130  -0.759 0.046  -0.759 -0.058  -0.736 -0.139  -0.648 -0.176  -0.611 -0.264  -0.530 -0.287  -0.463 -0.324  -0.396 -0.361  -0.315 -0.383  -0.315 -0.487  -0.309 -0.588  -0.236 -0.662  -0.167 -0.737  -0.135 -0.821  -0.042 -0.867  0.051 -0.913  0.140 -0.964  0.203 -1.042  0.248 -1.101  0.351 -1.101  0.425 -1.174  0.454 -1.249  0.558 -1.249  0.647 -1.263  0.647 -1.367  0.647 -1.471
1d#tos#t1#t1081062/=  -0.734 0.816  -0.861 0.744  -0.966 0.635  -0.875 0.635  -0.703 0.635  -0.531 0.635  -0.359 0.635  -0.187 0.635  -0.015 0.635  0.157 0.635  0.329 0.635  0.500 0.635  0.582 0.726  0.754 0.726  0.923 0.738  1.076 0.815  1.170 0.894  1.204 0.869  1.061 0.773  0.917 0.678  0.774 0.583  0.631 0.487  0.488 0.392  0.345 0.297  0.202 0.201  0.059 0.106  -0.084 0.011  -0.227 -0.085  -0.370 -0.180  -0.513 -0.275  -0.656 -0.371  -0.799 -0.466  -0.946 -0.554  -1.109 -0.608  -1.188 -0.723  -1.108 -0.816  -1.006 -0.886  -0.855 -0.907  -0.683 -0.907  -0.512 -0.907  -0.340 -0.907  -0.168 -0.907  0.004 -0.907  0.175 -0.904  0.310 -0.816  0.482 -0.816  0.654 -0.816  0.826 -0.816  0.998 -0.816  1.170 -0.816
1d#tos#t1#t1081062/?  -0.601 0.484  -0.646 0.362  -0.722 0.304  -0.810 0.259  -0.916 0.286  -0.961 0.374  -0.951 0.505  -0.907 0.624  -0.807 0.703  -0.714 0.788  -0.646 0.889  -0.514 0.890  -0.380 0.890  -0.247 0.890  -0.134 0.922  -0.036 0.980  0.097 0.980  0.210 0.959  0.316 0.926  0.426 0.854  0.555 0.845  0.590 0.734  0.668 0.664  0.711 0.574  0.795 0.525  0.774 0.397  0.750 0.270  0.750 0.136  0.636 0.086  0.567 -0.011  0.480 -0.057  0.391 -0.101  0.345 -0.188  0.260 -0.236  0.210 -0.346  0.120 -0.424  0.039 -0.497  -0.000 -0.597  0.012 -0.687  0.030 -0.803  0.054 -0.912  0.120 -0.979  0.103 -1.111  0.083 -1.243  0.062 -1.374  0.042 -1.506  -0.021 -1.587  -0.060 -1.681  -0.060 -1.814  -0.060 -1.948
