1d#tos#t2#t2064064/\"  -0.686 0.242  -0.814 0.051  -0.979 -0.071  -1.104 0.033  -1.313 0.055  -1.165 0.138  -0.935 0.138  -0.809 0.033  -0.790 -0.178  -0.919 -0.280  -1.104 -0.235  -1.104 -0.005  -1.016 0.138  -0.999 -0.076  -0.895 -0.201  -0.895 -0.129  -0.895 -0.244  -0.895 -0.474  -0.790 -0.661  -0.790 -0.891  -0.641 -0.962  -0.488 -0.790  -0.334 -0.619  -0.181 -0.447  -0.027 -0.276  0.126 -0.104  0.280 0.068  0.433 0.239  0.587 0.411  0.740 0.582  0.894 0.754  1.048 0.926  1.038 0.816  0.986 0.594  0.838 0.451  0.608 0.451  0.464 0.537  0.653 0.650  0.881 0.660  0.882 0.430  0.777 0.389  0.840 0.556  0.966 0.386  0.986 0.161  1.089 0.033  1.090 -0.195  1.090 -0.425  1.090 -0.656  1.090 -0.886  1.090 -1.116
1d#tos#t2#t2064064/#  -0.861 0.497  -1.194 0.231  -1.109 0.295  -0.711 0.341  -0.392 0.497  -0.002 0.632  0.402 0.699  0.791 0.801  1.209 0.834  0.961 0.548  0.628 0.275  0.294 0.002  -0.040 -0.271  -0.374 -0.544  -0.708 -0.817  -1.055 -1.053  -1.327 -1.311  -1.005 -1.159  -0.641 -0.977  -0.247 -0.804  0.168 -0.688  0.582 -0.582  0.991 -0.464  1.418 -0.447  1.356 -0.254  1.039 0.039  0.722 0.331  0.405 0.624  0.088 0.916  -0.244 1.171  -0.389 0.885  -0.389 0.454  -0.389 0.023  -0.416 -0.392  -0.524 -0.757  -0.501 -1.057  -0.356 -0.651  -0.210 -0.245  -0.064 0.161  0.081 0.567  0.227 0.973  0.373 1.378  0.217 1.416  0.217 0.985  0.217 0.553  0.163 0.131  0.150 -0.298  0.150 -0.730  0.150 -1.161  0.150 -1.592
1d#tos#t2#t2064064/$  0.611 0.537  0.503 0.695  0.308 0.787  0.047 0.781  -0.198 0.687  -0.437 0.589  -0.627 0.453  -0.812 0.301  -0.817 0.085  -0.591 -0.041  -0.334 -0.066  -0.071 -0.066  0.129 -0.166  0.310 -0.286  0.497 -0.389  0.611 -0.586  0.611 -0.849  0.432 -0.987  0.250 -1.175  0.025 -1.310  -0.205 -1.434  -0.326 -1.361  -0.287 -1.101  -0.248 -0.842  -0.209 -0.582  -0.171 -0.322  -0.132 -0.062  -0.093 0.197  -0.054 0.457  -0.016 0.717  0.023 0.976  0.062 1.236  0.101 1.496  0.139 1.756  0.059 1.866  0.009 1.654  0.009 1.391  0.009 1.129  0.009 0.866  0.009 0.604  0.009 0.341  0.009 0.078  0.078 -0.116  0.110 -0.346  0.110 -0.609  0.110 -0.872  0.110 -1.134  0.110 -1.397  0.110 -1.659  0.110 -1.922
1d#tos#t2#t2064064/&  1.009 -1.149  0.863 -1.209  0.716 -1.103  0.563 -1.003  0.472 -0.841  0.374 -0.685  0.277 -0.501  0.179 -0.317  0.088 -0.131  -0.065 -0.027  -0.169 0.126  -0.260 0.313  -0.358 0.468  -0.407 0.672  -0.480 0.852  -0.504 1.081  -0.426 1.273  -0.358 1.469  -0.269 1.634  -0.016 1.634  0.090 1.487  0.228 1.372  0.277 1.139  0.248 0.892  0.179 0.693  0.080 0.511  -0.027 0.364  -0.212 0.296  -0.366 0.169  -0.550 0.071  -0.657 -0.075  -0.846 -0.139  -0.944 -0.294  -1.026 -0.466  -1.042 -0.703  -0.944 -0.858  -0.807 -1.003  -0.574 -1.052  -0.321 -1.052  -0.068 -1.052  0.088 -0.954  0.273 -0.860  0.378 -0.710  0.556 -0.577  0.646 -0.389  0.784 -0.251  0.867 -0.026  0.939 0.176  0.855 0.323  0.667 0.413
1d#tos#t2#t2064064/'  0.187 1.155  0.187 0.874  0.187 0.592  0.029 0.469  0.013 0.204  -0.268 0.204  -0.289 0.465  -0.289 0.746  -0.257 0.996  -0.130 0.842  0.147 0.838  0.346 0.755  0.346 0.474  0.226 0.242  0.029 0.136  -0.163 0.045  -0.289 -0.110  -0.567 -0.113  -0.764 -0.029  -0.764 0.252  -0.606 0.375  -0.470 0.521  -0.189 0.521  0.092 0.521  0.346 0.493  0.346 0.211  0.072 0.204  -0.144 0.045  -0.425 0.045  -0.606 0.146  -0.606 0.427  -0.576 0.679  -0.295 0.679  -0.014 0.679  0.268 0.679  0.549 0.679  0.663 0.512  0.663 0.230  0.663 -0.051  0.663 -0.332  0.663 -0.614  0.663 -0.895  0.583 -1.144  0.384 -1.342  0.346 -1.608  0.164 -1.721  -0.011 -1.937  -0.141 -2.185  -0.354 -2.365  -0.606 -2.491
1d#tos#t2#t2064064/)  -0.191 1.392  -0.276 1.392  -0.361 1.392  -0.422 1.368  -0.422 1.284  -0.422 1.199  -0.422 1.114  -0.422 1.029  -0.360 1.007  -0.275 1.007  -0.190 1.007  -0.114 0.998  -0.114 0.913  -0.090 0.853  -0.037 0.821  -0.037 0.736  0.010 0.699  0.040 0.643  0.040 0.559  0.040 0.474  0.117 0.466  0.117 0.381  0.117 0.296  0.117 0.212  0.140 0.136  0.200 0.076  0.260 0.016  0.271 -0.064  0.271 -0.149  0.271 -0.233  0.264 -0.317  0.226 -0.392  0.194 -0.470  0.194 -0.554  0.194 -0.639  0.194 -0.724  0.194 -0.809  0.194 -0.894  0.194 -0.978  0.194 -1.063  0.194 -1.148  0.194 -1.233  0.182 -1.310  0.106 -1.348  0.030 -1.386  -0.046 -1.424  -0.114 -1.466  -0.114 -1.551  -0.131 -1.629  -0.191 -1.689
1d#tos#t2#t2064064/*  1.190 0.757  1.163 0.858  0.887 0.804  0.759 0.528  0.526 0.295  0.262 0.112  0.076 -0.154  -0.199 -0.337  -0.321 -0.555  -0.585 -0.715  -0.627 -1.027  -0.924 -1.059  -1.024 -1.241  -0.929 -0.925  -0.835 -0.610  -0.740 -0.294  -0.645 0.022  -0.551 0.337  -0.456 0.653  -0.646 0.757  -0.960 0.692  -0.795 0.589  -0.490 0.487  -0.370 0.253  -0.147 0.107  0.171 0.020  0.387 -0.155  0.676 -0.252  0.863 -0.518  1.072 -0.656  1.117 -0.603  0.974 -0.306  0.832 -0.009  0.690 0.289  0.548 0.586  0.406 0.883  0.264 1.181  0.121 1.478  -0.140 1.505  -0.223 1.227  -0.223 0.898  -0.223 0.568  -0.223 0.238  -0.182 -0.050  -0.122 -0.320  -0.122 -0.649  -0.122 -0.979  -0.122 -1.308  -0.122 -1.638  0.080 -1.766
1d#tos#t2#t2064064/,  1.024 1.198  1.024 1.110  1.024 1.023  1.024 0.935  1.024 0.847  0.989 0.785  0.906 0.757  0.823 0.730  0.740 0.702  0.657 0.674  0.574 0.647  0.491 0.619  0.407 0.596  0.319 0.596  0.231 0.596  0.300 0.596  0.388 0.596  0.370 0.596  0.282 0.596  0.222 0.569  0.222 0.481  0.222 0.393  0.222 0.306  0.222 0.218  0.169 0.159  0.096 0.111  0.023 0.062  -0.050 0.013  -0.123 -0.035  -0.196 -0.084  -0.269 -0.132  -0.342 -0.181  -0.399 -0.244  -0.438 -0.322  -0.477 -0.401  -0.516 -0.479  -0.555 -0.557  -0.590 -0.637  -0.618 -0.720  -0.646 -0.804  -0.673 -0.887  -0.701 -0.970  -0.729 -1.053  -0.757 -1.136  -0.790 -1.214  -0.869 -1.253  -0.947 -1.292  -1.025 -1.331  -1.104 -1.371  -1.182 -1.410
1d#tos#t2#t2064064/  1.062 1.303  0.989 1.266  0.958 1.204  0.884 1.167  0.830 1.137  0.783 1.102  0.738 1.048  0.690 0.995  0.645 0.932  0.583 0.884  0.550 0.835  0.512 0.791  0.504 0.717  0.441 0.698  0.407 0.648  0.355 0.586  0.318 0.513  0.281 0.439  0.213 0.418  0.178 0.371  0.152 0.300  0.102 0.235  0.057 0.167  0.038 0.091  0.038 0.009  0.014 -0.056  -0.064 -0.082  -0.102 -0.136  -0.171 -0.175  -0.195 -0.243  -0.239 -0.281  -0.288 -0.341  -0.288 -0.422  -0.322 -0.484  -0.381 -0.529  -0.417 -0.596  -0.475 -0.654  -0.521 -0.717  -0.521 -0.799  -0.562 -0.839  -0.636 -0.874  -0.661 -0.940  -0.661 -1.022  -0.707 -1.058  -0.755 -1.120  -0.801 -1.183  -0.838 -1.250  -0.870 -1.305  -0.905 -1.352  -0.940 -1.398
1d#tos#t2#t2064064/<  0.894 1.483  0.820 1.453  0.820 1.349  0.730 1.336  0.672 1.289  0.597 1.259  0.551 1.166  0.479 1.114  0.449 1.039  0.376 0.966  0.281 0.944  0.207 0.871  0.155 0.789  0.095 0.745  0.008 0.728  0.008 0.624  -0.061 0.563  -0.140 0.508  -0.140 0.404  -0.214 0.374  -0.228 0.273  -0.275 0.180  -0.288 0.080  -0.362 0.006  -0.435 -0.067  -0.465 -0.141  -0.569 -0.141  -0.657 -0.157  -0.657 -0.261  -0.659 -0.362  -0.698 -0.362  -0.612 -0.407  -0.583 -0.498  -0.564 -0.584  -0.460 -0.584  -0.431 -0.660  -0.338 -0.706  -0.254 -0.765  -0.166 -0.805  -0.105 -0.874  -0.066 -0.969  -0.020 -1.027  0.083 -1.029  0.129 -1.122  0.155 -1.219  0.231 -1.249  0.323 -1.295  0.408 -1.353  0.451 -1.439  0.524 -1.470
1d#tos#t2#t2064064/=  -0.650 0.842  -0.843 0.842  -1.036 0.842  -1.199 0.743  -1.339 0.642  -1.146 0.642  -0.952 0.642  -0.759 0.642  -0.566 0.642  -0.373 0.642  -0.179 0.642  0.014 0.642  0.191 0.572  0.377 0.542  0.570 0.542  0.752 0.531  0.856 0.442  1.049 0.442  1.243 0.442  1.352 0.358  1.380 0.318  1.197 0.256  1.013 0.195  0.830 0.134  0.647 0.073  0.463 0.012  0.280 -0.049  0.097 -0.110  -0.086 -0.171  -0.270 -0.232  -0.453 -0.293  -0.636 -0.355  -0.829 -0.359  -0.922 -0.459  -1.042 -0.597  -1.149 -0.757  -1.050 -0.669  -0.866 -0.659  -0.673 -0.659  -0.480 -0.659  -0.287 -0.659  -0.093 -0.659  0.100 -0.659  0.251 -0.701  0.386 -0.759  0.580 -0.759  0.773 -0.759  0.966 -0.759  1.159 -0.759  1.352 -0.759
