2#apa#apa00#app0056/@  0.015 -0.349  0.199 -0.407  0.290 -0.555  0.424 -0.716  0.571 -0.619  0.657 -0.414  0.657 -0.173  0.565 0.029  0.459 0.229  0.315 0.384  0.166 0.476  -0.021 0.347  -0.168 0.167  -0.260 0.018  -0.260 -0.222  -0.260 -0.463  -0.089 -0.533  0.107 -0.488  0.301 -0.441  0.474 -0.373  0.653 -0.261  0.786 -0.129  0.840 0.089  0.814 0.319  0.692 0.476  0.576 0.648  0.565 0.884  0.474 1.033  0.474 1.274  0.387 1.478  0.149 1.484  -0.092 1.484  -0.260 1.411  -0.443 1.301  -0.584 1.110  -0.730 0.922  -0.810 0.714  -0.893 0.493  -0.901 0.255  -0.901 0.014  -0.901 -0.226  -0.901 -0.467  -0.823 -0.689  -0.743 -0.916  -0.687 -1.145  -0.617 -1.367  -0.413 -1.464  -0.191 -1.541  0.050 -1.541  0.290 -1.541
2#apa#apa00#app0056/1  -0.722 0.178  -0.615 0.178  -0.533 0.237  -0.457 0.313  -0.382 0.388  -0.315 0.470  -0.268 0.566  -0.220 0.661  -0.137 0.700  -0.070 0.740  -0.070 0.847  -0.070 0.954  0.029 0.961  0.060 1.037  0.097 1.128  0.173 1.204  0.191 1.303  0.191 1.294  0.191 1.187  0.183 1.084  0.108 1.008  0.060 0.921  0.060 0.814  0.060 0.707  0.060 0.601  0.060 0.494  0.060 0.387  0.060 0.280  0.060 0.173  0.060 0.067  0.060 -0.040  0.060 -0.147  0.060 -0.254  0.060 -0.360  0.060 -0.467  0.060 -0.574  0.060 -0.681  0.060 -0.788  0.060 -0.894  0.060 -1.001  0.060 -1.108  0.060 -1.215  0.090 -1.315  0.138 -1.410  0.185 -1.506  0.191 -1.611  0.191 -1.718  0.191 -1.825  0.191 -1.932  0.191 -2.038
2#apa#apa00#app0056/2  -0.533 1.014  -0.459 1.089  -0.436 1.184  -0.355 1.209  -0.276 1.272  -0.185 1.306  -0.080 1.306  0.004 1.357  0.090 1.404  0.148 1.356  0.204 1.306  0.246 1.243  0.246 1.138  0.246 1.033  0.246 0.927  0.246 0.822  0.246 0.717  0.246 0.612  0.246 0.506  0.246 0.401  0.220 0.307  0.148 0.231  0.148 0.126  0.134 0.026  0.060 -0.048  0.051 -0.150  0.051 -0.255  0.043 -0.357  -0.031 -0.431  -0.106 -0.506  -0.180 -0.580  -0.241 -0.660  -0.260 -0.757  -0.335 -0.832  -0.409 -0.906  -0.436 -1.000  -0.436 -1.106  -0.436 -1.211  -0.345 -1.225  -0.239 -1.225  -0.134 -1.225  -0.046 -1.207  -0.021 -1.128  0.084 -1.128  0.177 -1.098  0.254 -1.030  0.355 -1.018  0.429 -0.944  0.530 -0.933  0.635 -0.933
2#apa#apa00#app0056/:  -0.085 1.372  -0.085 1.443  -0.085 1.515  -0.085 1.546  -0.085 1.474  -0.085 1.403  -0.082 1.331  -0.077 1.260  -0.073 1.188  -0.068 1.116  -0.063 1.045  -0.058 0.973  -0.053 0.902  -0.049 0.830  -0.044 0.759  -0.039 0.687  -0.034 0.616  -0.030 0.544  -0.025 0.472  -0.020 0.401  -0.015 0.329  -0.010 0.258  -0.006 0.186  -0.001 0.115  0.004 0.043  0.009 -0.028  0.013 -0.100  0.018 -0.172  0.023 -0.243  0.028 -0.315  0.032 -0.386  0.037 -0.458  0.042 -0.529  0.047 -0.601  0.052 -0.672  0.056 -0.744  0.061 -0.816  0.066 -0.887  0.071 -0.959  0.075 -1.030  0.080 -1.102  0.085 -1.173  0.090 -1.245  0.094 -1.316  0.099 -1.388  0.104 -1.459  0.109 -1.531  0.059 -1.551  -0.013 -1.551  -0.085 -1.551
2#apa#apa00#app0056/3  -0.993 0.778  -0.957 0.888  -0.832 0.940  -0.709 0.998  -0.573 1.043  -0.442 1.108  -0.295 1.108  -0.223 1.183  -0.112 1.218  0.035 1.218  0.160 1.165  0.217 1.042  0.217 0.895  0.107 0.858  0.107 0.712  0.034 0.595  -0.070 0.491  -0.173 0.388  -0.291 0.304  -0.423 0.238  -0.457 0.118  -0.589 0.082  -0.692 -0.021  -0.741 -0.102  -0.615 -0.054  -0.493 0.008  -0.347 0.008  -0.200 0.008  -0.053 0.008  0.093 0.008  0.201 -0.087  0.341 -0.102  0.473 -0.138  0.589 -0.212  0.713 -0.268  0.798 -0.385  0.864 -0.516  0.877 -0.660  0.877 -0.806  0.820 -0.930  0.767 -1.054  0.659 -1.093  0.632 -1.227  0.521 -1.313  0.381 -1.341  0.250 -1.406  0.107 -1.423  -0.040 -1.423  -0.187 -1.423  -0.333 -1.423
2#apa#apa00#app0056/4  0.064 1.436  0.150 1.391  0.064 1.232  -0.071 1.170  -0.197 1.029  -0.253 0.858  -0.390 0.720  -0.527 0.583  -0.589 0.414  -0.710 0.270  -0.847 0.133  -0.909 -0.001  -0.981 -0.123  -1.036 -0.262  -1.112 -0.381  -1.060 -0.524  -0.866 -0.524  -0.724 -0.397  -0.532 -0.393  -0.373 -0.308  -0.198 -0.262  -0.004 -0.262  0.154 -0.173  0.331 -0.132  0.525 -0.132  0.548 -0.005  0.493 0.181  0.437 0.367  0.381 0.553  0.325 0.739  0.270 0.925  0.214 1.111  0.195 1.047  0.325 0.907  0.325 0.713  0.325 0.519  0.325 0.325  0.325 0.130  0.456 -0.010  0.456 -0.204  0.456 -0.398  0.456 -0.592  0.456 -0.786  0.456 -0.980  0.456 -1.174  0.456 -1.369  0.456 -1.563  0.456 -1.757  0.456 -1.951  0.587 -2.091
2#apa#apa00#app0056/:  0.201 1.361  0.201 1.433  0.201 1.504  0.198 1.533  0.189 1.462  0.180 1.391  0.171 1.320  0.163 1.249  0.154 1.178  0.145 1.107  0.136 1.036  0.127 0.965  0.118 0.895  0.109 0.824  0.100 0.753  0.092 0.682  0.083 0.611  0.074 0.540  0.065 0.469  0.056 0.398  0.047 0.327  0.038 0.256  0.029 0.185  0.021 0.114  0.012 0.043  0.003 -0.028  -0.006 -0.099  -0.015 -0.170  -0.024 -0.241  -0.033 -0.312  -0.041 -0.383  -0.050 -0.454  -0.059 -0.525  -0.068 -0.596  -0.077 -0.667  -0.086 -0.738  -0.095 -0.809  -0.104 -0.880  -0.112 -0.951  -0.121 -1.022  -0.130 -1.093  -0.139 -1.164  -0.148 -1.235  -0.157 -1.306  -0.166 -1.377  -0.175 -1.448  -0.183 -1.519  -0.236 -1.540  -0.308 -1.540  -0.379 -1.540
2#apa#apa00#app0056/5  -0.093 0.925  -0.150 0.812  -0.320 0.812  -0.431 0.754  -0.431 0.585  -0.389 0.433  -0.269 0.313  -0.126 0.250  0.003 0.153  0.132 0.103  0.223 0.024  0.280 -0.088  0.357 -0.181  0.463 -0.306  0.503 -0.459  0.582 -0.596  0.582 -0.765  0.623 -0.917  0.694 -1.057  0.681 -1.213  0.582 -1.284  0.455 -1.326  0.285 -1.326  0.116 -1.326  0.019 -1.253  -0.108 -1.206  -0.260 -1.130  -0.423 -1.101  -0.545 -0.988  -0.644 -0.931  -0.611 -0.764  -0.578 -0.598  -0.545 -0.432  -0.511 -0.266  -0.478 -0.100  -0.445 0.066  -0.412 0.232  -0.379 0.398  -0.345 0.564  -0.312 0.731  -0.279 0.897  -0.246 1.063  -0.212 1.229  -0.070 1.262  0.099 1.262  0.266 1.273  0.417 1.349  0.581 1.375  0.750 1.375  0.920 1.375
2#apa#apa00#app0056/6  0.145 1.740  0.017 1.736  -0.075 1.645  -0.166 1.553  -0.258 1.462  -0.348 1.370  -0.352 1.241  -0.409 1.126  -0.467 1.010  -0.556 0.917  -0.595 0.803  -0.595 0.674  -0.595 0.544  -0.661 0.442  -0.718 0.337  -0.718 0.207  -0.718 0.078  -0.718 -0.051  -0.666 -0.159  -0.595 -0.259  -0.595 -0.389  -0.595 -0.518  -0.562 -0.634  -0.470 -0.724  -0.343 -0.729  -0.251 -0.821  -0.133 -0.847  -0.032 -0.917  0.075 -0.970  0.204 -0.970  0.334 -0.970  0.463 -0.970  0.592 -0.970  0.697 -0.911  0.789 -0.819  0.880 -0.728  0.972 -0.636  1.007 -0.521  1.007 -0.392  1.007 -0.263  0.938 -0.162  0.831 -0.108  0.702 -0.108  0.572 -0.108  0.443 -0.108  0.313 -0.108  0.209 -0.167  0.106 -0.231  -0.010 -0.263  -0.102 -0.354
2#apa#apa00#app0056/_  -0.788 0.113  -0.869 0.113  -0.949 0.113  -1.029 0.113  -1.109 0.113  -1.189 0.113  -1.269 0.113  -1.349 0.113  -1.383 0.113  -1.303 0.113  -1.223 0.113  -1.143 0.113  -1.073 0.089  -1.016 0.032  -0.960 -0.025  -0.886 -0.041  -0.806 -0.041  -0.726 -0.041  -0.646 -0.041  -0.566 -0.041  -0.486 -0.041  -0.406 -0.041  -0.326 -0.041  -0.245 -0.041  -0.165 -0.041  -0.085 -0.041  -0.005 -0.041  0.075 -0.041  0.155 -0.041  0.235 -0.041  0.316 -0.041  0.396 -0.041  0.476 -0.041  0.556 -0.041  0.636 -0.041  0.716 -0.041  0.796 -0.041  0.876 -0.041  0.957 -0.041  1.037 -0.041  1.117 -0.041  1.197 -0.041  1.277 -0.041  1.357 -0.041  1.437 -0.041  1.518 -0.041  1.598 -0.041  1.678 -0.041  1.758 -0.041  1.838 -0.041
2#apa#apa00#app0056/J  0.103 1.025  0.154 1.124  0.204 1.023  0.301 0.912  0.301 0.762  0.301 0.612  0.301 0.462  0.301 0.311  0.301 0.161  0.301 0.011  0.301 -0.139  0.301 -0.290  0.301 -0.440  0.301 -0.590  0.301 -0.741  0.360 -0.877  0.400 -1.018  0.400 -1.168  0.400 -1.318  0.383 -1.452  0.301 -1.384  0.182 -1.353  0.103 -1.281  -0.020 -1.254  -0.170 -1.254  -0.293 -1.227  -0.293 -1.077  -0.392 -1.025  -0.396 -0.875  -0.403 -0.725  -0.411 -0.575  -0.418 -0.425  -0.425 -0.275  -0.432 -0.125  -0.439 0.025  -0.446 0.176  -0.453 0.326  -0.461 0.476  -0.468 0.626  -0.475 0.776  -0.482 0.926  -0.489 1.076  -0.390 1.125  -0.255 1.193  -0.112 1.223  0.028 1.247  0.147 1.322  0.298 1.322  0.448 1.322  0.598 1.322
