2#apa#apa02#app0207/B  -0.528 0.838  -0.470 0.944  -0.528 0.742  -0.422 0.526  -0.381 0.308  -0.316 0.113  -0.210 -0.103  -0.104 -0.257  0.002 -0.473  0.002 -0.732  0.108 -0.886  0.184 -1.069  0.039 -0.918  -0.157 -0.748  -0.353 -0.578  -0.549 -0.408  -0.746 -0.238  -0.942 -0.068  -1.138 0.102  -1.335 0.272  -1.270 0.470  -1.164 0.623  -1.013 0.732  -0.846 0.825  -0.640 0.937  -0.426 1.046  -0.193 1.156  0.048 1.202  0.283 1.262  0.434 1.148  0.531 0.929  0.531 0.669  0.531 0.409  0.419 0.196  0.310 -0.019  0.108 -0.132  -0.063 -0.222  0.070 -0.116  0.330 -0.116  0.590 -0.116  0.827 -0.210  1.078 -0.238  1.261 -0.422  1.273 -0.676  1.273 -0.936  1.147 -1.069  0.993 -1.175  0.733 -1.175  0.473 -1.175  0.214 -1.175
2#apa#apa02#app0207/r  -1.208 0.712  -1.042 0.712  -0.875 0.712  -0.866 0.555  -0.866 0.388  -0.762 0.265  -0.644 0.147  -0.526 0.030  -0.524 -0.136  -0.524 -0.302  -0.415 -0.423  -0.298 -0.541  -0.182 -0.659  -0.182 -0.826  -0.182 -0.992  -0.023 -0.999  0.144 -0.999  0.160 -1.149  0.160 -1.315  0.301 -1.341  0.467 -1.341  0.502 -1.210  0.502 -1.043  0.380 -0.999  0.214 -0.999  0.160 -0.886  0.160 -0.720  0.160 -0.554  0.160 -0.387  0.066 -0.315  -0.100 -0.315  -0.182 -0.230  -0.182 -0.064  -0.182 0.102  -0.182 0.269  -0.182 0.435  -0.182 0.601  -0.126 0.712  0.041 0.712  0.160 0.758  0.160 0.925  0.198 1.054  0.364 1.054  0.530 1.054  0.697 1.054  0.844 1.072  0.844 1.239  0.854 1.396  1.020 1.396  1.186 1.396
2#apa#apa02#app0207/o  -0.806 0.819  -0.806 0.677  -0.806 0.536  -0.806 0.394  -0.806 0.253  -0.874 0.179  -1.015 0.179  -1.020 0.042  -1.020 -0.100  -1.020 -0.241  -1.020 -0.382  -0.957 -0.461  -0.816 -0.461  -0.806 -0.593  -0.746 -0.675  -0.605 -0.675  -0.501 -0.767  -0.401 -0.867  -0.269 -0.888  -0.127 -0.888  0.014 -0.888  0.156 -0.888  0.297 -0.888  0.438 -0.888  0.549 -0.813  0.649 -0.713  0.774 -0.675  0.901 -0.660  0.901 -0.518  0.961 -0.402  1.061 -0.301  1.114 -0.182  1.114 -0.041  1.114 0.101  1.050 0.179  0.909 0.179  0.901 0.312  0.857 0.435  0.757 0.535  0.657 0.635  0.557 0.735  0.450 0.819  0.309 0.819  0.195 0.885  0.095 0.985  -0.027 1.032  -0.169 1.032  -0.310 1.032  -0.452 1.032  -0.593 1.032
2#apa#apa02#app0207/k  -1.208 1.411  -1.062 1.328  -1.041 1.119  -0.916 1.014  -0.873 0.826  -0.769 0.700  -0.769 0.470  -0.768 0.240  -0.623 0.070  -0.623 -0.160  -0.487 -0.334  -0.446 -0.552  -0.343 -0.758  -0.330 -0.985  -0.330 -1.215  -0.184 -1.299  -0.180 -1.209  -0.119 -0.987  -0.057 -0.765  0.005 -0.543  0.066 -0.322  0.128 -0.100  0.189 0.122  0.251 0.343  0.313 0.565  0.374 0.787  0.436 1.009  0.497 1.230  0.548 1.369  0.548 1.139  0.401 1.055  0.401 0.825  0.255 0.656  0.147 0.533  -0.027 0.398  -0.038 0.172  -0.145 -0.013  -0.205 -0.219  -0.278 -0.344  -0.088 -0.248  0.122 -0.198  0.352 -0.198  0.529 -0.326  0.605 -0.491  0.694 -0.632  0.773 -0.783  0.852 -0.941  1.014 -1.104  1.133 -1.285  1.279 -1.369
2#apa#apa02#app0207/e  -0.595 -0.084  -0.437 -0.084  -0.280 -0.084  -0.123 -0.084  -0.101 0.052  -0.055 0.162  0.102 0.162  0.259 0.162  0.392 0.187  0.392 0.344  0.392 0.502  0.392 0.659  0.392 0.816  0.392 0.973  0.392 1.131  0.253 1.149  0.095 1.149  -0.062 1.149  -0.219 1.149  -0.368 1.129  -0.479 1.018  -0.590 0.906  -0.746 0.902  -0.841 0.840  -0.841 0.683  -0.841 0.526  -0.841 0.369  -0.841 0.211  -0.841 0.054  -0.841 -0.103  -0.841 -0.260  -0.754 -0.331  -0.597 -0.331  -0.485 -0.440  -0.374 -0.551  -0.228 -0.577  -0.080 -0.599  0.032 -0.710  0.143 -0.822  0.299 -0.824  0.392 -0.888  0.392 -1.046  0.524 -1.071  0.681 -1.071  0.839 -1.071  0.996 -1.071  1.153 -1.071  1.310 -1.071  1.467 -1.071  1.625 -1.071
2#apa#apa02#app0207/n  -1.084 -0.028  -1.004 -0.107  -0.924 -0.187  -0.915 -0.297  -0.915 -0.410  -0.915 -0.523  -0.915 -0.636  -0.867 -0.701  -0.754 -0.701  -0.747 -0.807  -0.747 -0.819  -0.747 -0.706  -0.747 -0.593  -0.747 -0.480  -0.747 -0.367  -0.747 -0.254  -0.747 -0.141  -0.747 -0.028  -0.747 0.085  -0.747 0.199  -0.745 0.311  -0.665 0.391  -0.585 0.471  -0.505 0.551  -0.426 0.631  -0.319 0.646  -0.206 0.646  -0.093 0.646  0.020 0.646  0.133 0.646  0.246 0.646  0.331 0.578  0.411 0.498  0.516 0.478  0.629 0.478  0.742 0.478  0.829 0.416  0.909 0.336  0.937 0.235  0.956 0.141  1.069 0.141  1.159 0.086  1.239 0.006  1.319 -0.073  1.399 -0.153  1.442 -0.249  1.442 -0.362  1.442 -0.475  1.442 -0.588  1.442 -0.701
2#apa#apa02#app0207/M  -1.071 -1.130  -1.039 -1.130  -1.102 -1.036  -1.165 -0.941  -1.165 -0.784  -1.077 -0.664  -1.071 -0.509  -1.055 -0.358  -0.977 -0.233  -0.977 -0.076  -0.977 0.081  -0.882 0.200  -0.882 0.357  -0.788 0.475  -0.743 0.614  -0.693 0.751  -0.544 0.759  -0.387 0.759  -0.316 0.672  -0.261 0.570  -0.221 0.452  -0.221 0.295  -0.127 0.177  -0.072 0.042  -0.027 -0.096  0.093 -0.186  0.157 -0.092  0.251 0.026  0.251 0.184  0.345 0.302  0.345 0.459  0.440 0.577  0.510 0.664  0.573 0.759  0.636 0.853  0.773 0.803  0.818 0.665  0.818 0.507  0.848 0.381  0.912 0.287  0.912 0.130  0.912 -0.027  0.912 -0.185  0.940 -0.336  1.006 -0.477  1.006 -0.634  1.006 -0.792  1.079 -0.919  1.101 -1.067  1.195 -1.130
2#apa#apa02#app0207/o  -0.594 0.573  -0.740 0.573  -0.785 0.474  -0.839 0.383  -0.976 0.374  -0.976 0.229  -0.976 0.083  -0.976 -0.062  -0.976 -0.207  -0.976 -0.352  -0.976 -0.497  -0.925 -0.622  -0.823 -0.724  -0.785 -0.854  -0.738 -0.953  -0.593 -0.953  -0.448 -0.953  -0.303 -0.953  -0.158 -0.953  -0.012 -0.953  0.133 -0.953  0.278 -0.953  0.405 -0.907  0.507 -0.805  0.610 -0.702  0.713 -0.599  0.741 -0.466  0.801 -0.380  0.938 -0.367  1.003 -0.238  1.068 -0.108  1.122 0.025  1.122 0.170  1.035 0.279  0.932 0.382  0.932 0.527  0.833 0.573  0.741 0.626  0.733 0.764  0.588 0.764  0.474 0.840  0.372 0.943  0.231 0.955  0.086 0.955  -0.059 0.955  -0.204 0.955  -0.213 0.818  -0.304 0.764  -0.449 0.764  -0.594 0.764
2#apa#apa02#app0207/o  -0.551 0.761  -0.551 0.622  -0.640 0.571  -0.742 0.533  -0.742 0.393  -0.869 0.380  -0.933 0.304  -0.957 0.189  -1.097 0.189  -1.124 0.076  -1.124 -0.064  -1.112 -0.192  -0.973 -0.192  -0.933 -0.292  -0.898 -0.418  -0.799 -0.517  -0.701 -0.615  -0.602 -0.714  -0.483 -0.765  -0.348 -0.777  -0.249 -0.876  -0.143 -0.955  -0.003 -0.955  0.137 -0.955  0.277 -0.955  0.416 -0.955  0.556 -0.955  0.666 -0.883  0.765 -0.784  0.784 -0.652  0.827 -0.530  0.926 -0.432  0.975 -0.312  0.975 -0.172  0.975 -0.032  0.975 0.107  0.975 0.247  0.968 0.380  0.828 0.380  0.784 0.476  0.752 0.602  0.653 0.701  0.593 0.816  0.590 0.952  0.450 0.952  0.337 1.017  0.238 1.116  0.110 1.143  0.021 1.092  0.021 0.952
2#apa#apa02#app0207/n  -1.170 0.330  -1.062 0.222  -0.968 0.106  -0.900 -0.029  -0.833 -0.165  -0.810 -0.311  -0.758 -0.441  -0.651 -0.548  -0.630 -0.691  -0.564 -0.815  -0.457 -0.922  -0.451 -1.071  -0.451 -0.994  -0.451 -0.842  -0.492 -0.708  -0.599 -0.601  -0.630 -0.462  -0.630 -0.311  -0.630 -0.159  -0.630 -0.008  -0.630 0.144  -0.630 0.296  -0.630 0.447  -0.630 0.599  -0.569 0.689  -0.451 0.722  -0.446 0.869  -0.295 0.869  -0.143 0.869  0.009 0.869  0.160 0.869  0.312 0.869  0.448 0.854  0.448 0.702  0.586 0.689  0.706 0.611  0.808 0.502  0.808 0.351  0.938 0.330  0.987 0.227  0.987 0.076  1.033 -0.030  1.167 -0.048  1.167 -0.199  1.167 -0.351  1.167 -0.502  1.167 -0.654  1.224 -0.749  1.375 -0.749  1.527 -0.749
2#apa#apa02#app0207/s  0.032 1.210  -0.092 1.210  -0.134 1.129  -0.172 1.045  -0.295 1.045  -0.418 1.045  -0.519 0.990  -0.606 0.903  -0.719 0.880  -0.795 0.832  -0.790 0.714  -0.667 0.714  -0.544 0.714  -0.421 0.714  -0.298 0.714  -0.175 0.714  -0.134 0.632  -0.094 0.549  0.029 0.549  0.152 0.549  0.275 0.549  0.362 0.513  0.362 0.390  0.479 0.384  0.527 0.309  0.560 0.218  0.683 0.218  0.693 0.105  0.693 -0.018  0.693 -0.141  0.693 -0.264  0.693 -0.387  0.693 -0.510  0.693 -0.633  0.693 -0.756  0.618 -0.848  0.531 -0.935  0.409 -0.939  0.308 -0.993  0.221 -1.080  0.108 -1.104  -0.015 -1.104  -0.137 -1.106  -0.248 -1.161  -0.358 -1.216  -0.468 -1.269  -0.591 -1.269  -0.714 -1.269  -0.837 -1.269  -0.960 -1.269
