2#apa#apa02#app0245/v  -0.505 1.083  -0.365 1.083  -0.347 1.205  -0.450 1.242  -0.505 1.327  -0.505 1.334  -0.505 1.194  -0.505 1.054  -0.505 0.913  -0.505 0.773  -0.505 0.632  -0.505 0.492  -0.505 0.352  -0.450 0.234  -0.351 0.135  -0.347 -0.004  -0.347 -0.144  -0.347 -0.284  -0.347 -0.425  -0.347 -0.565  -0.347 -0.706  -0.330 -0.839  -0.231 -0.938  -0.188 -1.061  -0.188 -1.201  -0.188 -1.342  -0.164 -1.458  -0.029 -1.453  -0.029 -1.312  0.099 -1.299  0.207 -1.222  0.289 -1.116  0.289 -0.975  0.289 -0.835  0.289 -0.695  0.366 -0.586  0.448 -0.480  0.451 -0.340  0.514 -0.214  0.576 -0.089  0.606 0.044  0.606 0.185  0.606 0.325  0.606 0.466  0.606 0.606  0.606 0.746  0.692 0.851  0.765 0.961  0.765 1.102  0.765 1.242
2#apa#apa02#app0245/e  -0.415 -0.469  -0.252 -0.469  -0.089 -0.469  0.073 -0.469  0.149 -0.381  0.258 -0.328  0.382 -0.235  0.430 -0.092  0.430 0.070  0.528 0.192  0.571 0.337  0.571 0.500  0.567 0.661  0.452 0.776  0.430 0.930  0.421 1.089  0.306 1.204  0.289 1.359  0.129 1.361  -0.034 1.361  -0.178 1.317  -0.301 1.221  -0.415 1.172  -0.465 1.030  -0.580 0.915  -0.695 0.800  -0.705 0.640  -0.778 0.494  -0.837 0.346  -0.837 0.183  -0.837 0.020  -0.837 -0.142  -0.837 -0.305  -0.837 -0.468  -0.723 -0.583  -0.608 -0.698  -0.555 -0.839  -0.445 -0.891  -0.282 -0.891  -0.165 -1.000  -0.015 -1.032  0.148 -1.032  0.310 -1.032  0.468 -1.013  0.614 -0.940  0.765 -0.891  0.928 -0.891  1.090 -0.891  1.134 -0.772  1.275 -0.750
2#apa#apa02#app0245/x  -1.315 0.575  -1.273 0.755  -1.177 0.913  -1.055 0.989  -0.857 0.989  -0.659 0.989  -0.461 0.989  -0.288 0.929  -0.210 0.763  -0.106 0.609  -0.064 0.428  0.066 0.284  0.066 0.086  0.161 -0.072  0.204 -0.252  0.204 -0.450  0.204 -0.648  0.330 -0.794  0.342 -0.987  0.342 -1.185  0.480 -1.244  0.564 -1.358  0.635 -1.216  0.658 -1.019  0.681 -0.823  0.704 -0.626  0.728 -0.430  0.751 -0.233  0.774 -0.037  0.797 0.160  0.820 0.356  0.843 0.553  0.866 0.749  0.889 0.946  0.745 0.977  0.605 0.837  0.465 0.698  0.320 0.564  0.143 0.475  -0.013 0.358  -0.153 0.218  -0.293 0.078  -0.432 -0.062  -0.572 -0.202  -0.712 -0.342  -0.819 -0.505  -0.901 -0.684  -0.954 -0.860  -1.039 -1.022  -1.039 -1.220
2#apa#apa02#app0245/i  -0.255 0.326  -0.132 0.326  -0.018 0.317  -0.018 0.194  -0.018 0.071  -0.018 -0.052  -0.018 -0.175  -0.018 -0.299  -0.018 -0.422  -0.018 -0.545  -0.018 -0.668  -0.018 -0.791  -0.056 -0.898  -0.137 -0.988  -0.137 -1.111  -0.137 -1.234  -0.137 -1.357  -0.118 -1.472  -0.031 -1.559  -0.015 -1.467  -0.010 -1.344  -0.006 -1.221  -0.001 -1.098  0.003 -0.975  0.007 -0.852  0.012 -0.729  0.016 -0.606  0.021 -0.483  0.025 -0.360  0.029 -0.237  0.034 -0.114  0.038 0.009  0.043 0.132  0.047 0.255  0.051 0.378  0.056 0.501  0.060 0.624  0.065 0.747  0.069 0.870  0.073 0.993  0.078 1.116  0.082 1.239  0.087 1.362  0.091 1.485  0.095 1.608  0.100 1.731  0.100 1.644  -0.009 1.630  -0.018 1.745  0.100 1.749
2#apa#apa02#app0245/n  -0.947 0.866  -0.947 0.708  -0.895 0.601  -0.814 0.524  -0.814 0.366  -0.814 0.208  -0.807 0.051  -0.757 -0.099  -0.707 -0.250  -0.681 -0.404  -0.681 -0.562  -0.681 -0.720  -0.573 -0.833  -0.549 -0.982  -0.549 -1.140  -0.549 -1.298  -0.549 -1.320  -0.549 -1.162  -0.549 -1.003  -0.446 -0.888  -0.416 -0.742  -0.410 -0.586  -0.298 -0.474  -0.283 -0.322  -0.262 -0.173  -0.150 -0.060  -0.100 0.090  -0.050 0.240  -0.018 0.393  0.040 0.527  0.152 0.639  0.247 0.758  0.282 0.901  0.394 1.013  0.506 1.125  0.661 1.132  0.777 1.090  0.777 0.931  0.871 0.866  0.910 0.748  0.910 0.589  0.910 0.431  0.955 0.291  1.043 0.170  1.043 0.011  1.043 -0.147  1.043 -0.305  1.043 -0.463  1.063 -0.613  1.175 -0.725
2#apa#apa02#app0245/g  -0.248 1.120  -0.177 1.226  -0.350 1.297  -0.541 1.270  -0.691 1.183  -0.790 1.021  -0.932 0.879  -0.957 0.687  -0.957 0.485  -0.957 0.283  -0.892 0.145  -0.727 0.057  -0.525 0.057  -0.379 0.192  -0.283 0.323  -0.193 0.467  -0.071 0.618  -0.071 0.820  0.017 0.934  0.017 0.927  0.017 0.725  0.017 0.523  0.074 0.330  0.106 0.133  0.162 -0.055  0.195 -0.250  0.195 -0.452  0.195 -0.654  0.276 -0.822  0.283 -1.021  0.271 -1.221  0.207 -1.412  0.195 -1.612  0.010 -1.618  -0.133 -1.476  -0.248 -1.321  -0.203 -1.138  -0.160 -0.954  -0.071 -0.789  0.066 -0.672  0.106 -0.494  0.246 -0.361  0.415 -0.254  0.558 -0.112  0.726 -0.031  0.892 0.057  1.057 0.145  1.222 0.234  1.420 0.259  1.612 0.323
2#apa#apa02#app0245/d  -0.034 1.931  0.088 1.992  0.088 1.932  0.148 1.809  0.210 1.689  0.210 1.507  0.210 1.325  0.210 1.143  0.210 0.961  0.210 0.779  0.210 0.597  0.210 0.414  0.210 0.232  0.250 0.067  0.331 -0.081  0.331 -0.264  0.331 -0.446  0.331 -0.628  0.331 -0.810  0.331 -0.992  0.331 -1.044  0.331 -0.862  0.331 -0.680  0.331 -0.498  0.331 -0.316  0.276 -0.147  0.210 0.020  0.143 0.174  0.088 0.333  -0.077 0.350  -0.260 0.350  -0.442 0.350  -0.593 0.277  -0.722 0.148  -0.819 -0.004  -0.885 -0.170  -0.885 -0.352  -0.885 -0.534  -0.885 -0.717  -0.776 -0.853  -0.721 -0.988  -0.538 -0.988  -0.356 -0.988  -0.174 -0.988  0.008 -0.988  0.190 -0.988  0.324 -0.873  0.453 -0.815  0.564 -0.744  0.696 -0.623
2#apa#apa02#app0245/a  0.292 0.559  0.292 0.729  0.272 0.880  0.131 0.909  0.092 1.041  -0.078 1.041  -0.248 1.041  -0.398 0.993  -0.522 0.880  -0.686 0.865  -0.806 0.745  -0.832 0.585  -0.934 0.457  -0.992 0.311  -1.061 0.170  -1.153 0.037  -1.153 -0.133  -1.153 -0.303  -1.153 -0.473  -1.153 -0.644  -1.090 -0.788  -0.960 -0.886  -0.790 -0.886  -0.620 -0.886  -0.450 -0.886  -0.279 -0.886  -0.133 -0.829  -0.012 -0.708  0.108 -0.588  0.228 -0.467  0.292 -0.324  0.292 -0.153  0.392 -0.083  0.452 0.027  0.452 0.197  0.452 0.367  0.591 0.399  0.613 0.547  0.771 0.559  0.773 0.391  0.773 0.221  0.800 0.078  0.934 0.041  0.934 -0.129  0.959 -0.293  1.035 -0.446  1.094 -0.602  1.128 -0.758  1.248 -0.879  1.255 -1.046
2#apa#apa02#app0245/f  0.753 1.046  0.753 1.177  0.753 1.308  0.717 1.425  0.667 1.535  0.562 1.561  0.431 1.561  0.386 1.475  0.275 1.425  0.239 1.309  0.150 1.215  0.067 1.118  0.067 0.987  0.067 0.856  0.067 0.725  0.067 0.594  0.067 0.463  0.067 0.332  0.067 0.201  0.067 0.070  0.067 -0.061  0.067 -0.192  0.067 -0.323  0.067 -0.454  0.067 -0.585  0.067 -0.716  0.067 -0.847  0.067 -0.978  0.067 -1.109  0.026 -1.223  -0.018 -1.335  -0.119 -1.330  -0.192 -1.221  -0.265 -1.112  -0.337 -1.003  -0.410 -0.894  -0.483 -0.785  -0.555 -0.676  -0.628 -0.567  -0.701 -0.458  -0.773 -0.349  -0.774 -0.410  -0.643 -0.410  -0.512 -0.410  -0.400 -0.457  -0.285 -0.496  -0.154 -0.496  -0.023 -0.496  0.108 -0.496  0.239 -0.496
2#apa#apa02#app0245/t  0.606 1.515  0.473 1.459  0.394 1.303  0.340 1.136  0.324 0.950  0.239 0.781  0.206 0.599  0.206 0.410  0.206 0.221  0.100 0.076  0.073 -0.102  0.073 -0.292  0.073 -0.481  0.073 -0.670  0.073 -0.860  0.073 -1.049  0.073 -1.238  0.082 -1.418  0.206 -1.483  0.327 -1.551  0.465 -1.426  0.356 -1.284  0.232 -1.141  0.108 -0.998  -0.016 -0.855  -0.140 -0.712  -0.264 -0.568  -0.387 -0.425  -0.511 -0.282  -0.635 -0.139  -0.759 0.004  -0.883 0.147  -1.007 0.290  -1.131 0.433  -1.255 0.576  -1.212 0.448  -1.023 0.448  -0.834 0.448  -0.644 0.448  -0.455 0.448  -0.266 0.448  -0.077 0.448  0.113 0.448  0.302 0.448  0.491 0.448  0.681 0.448  0.870 0.448  1.039 0.532  1.217 0.582  1.406 0.582
2#apa#apa02#app0245/j  0.176 0.890  0.176 0.760  0.176 0.630  0.176 0.500  0.235 0.394  0.263 0.276  0.263 0.146  0.263 0.016  0.263 -0.114  0.263 -0.244  0.263 -0.374  0.263 -0.504  0.263 -0.634  0.263 -0.764  0.245 -0.889  0.187 -1.006  0.164 -1.128  0.072 -1.220  -0.028 -1.291  -0.137 -1.342  -0.252 -1.378  -0.382 -1.378  -0.512 -1.378  -0.514 -1.259  -0.483 -1.133  -0.451 -1.007  -0.420 -0.881  -0.388 -0.755  -0.357 -0.629  -0.325 -0.503  -0.294 -0.377  -0.262 -0.251  -0.231 -0.125  -0.199 0.001  -0.168 0.127  -0.136 0.253  -0.105 0.379  -0.073 0.505  -0.042 0.631  -0.010 0.758  0.021 0.884  0.053 1.010  0.084 1.136  0.116 1.262  0.147 1.388  0.179 1.514  0.211 1.640  0.242 1.766  0.307 1.849  0.437 1.849
