2#apa#apa03#app0309/P  -0.183 0.739  -0.103 0.695  -0.183 0.540  -0.183 0.351  -0.237 0.186  -0.308 0.027  -0.308 -0.161  -0.308 -0.349  -0.308 -0.537  -0.308 -0.726  -0.308 -0.914  -0.308 -1.102  -0.308 -1.290  -0.308 -1.478  -0.275 -1.633  -0.209 -1.540  -0.259 -1.359  -0.310 -1.178  -0.360 -0.997  -0.410 -0.815  -0.461 -0.634  -0.511 -0.453  -0.561 -0.272  -0.612 -0.090  -0.662 0.091  -0.712 0.272  -0.763 0.453  -0.793 0.629  -0.650 0.739  -0.558 0.835  -0.409 0.888  -0.262 0.989  -0.106 1.066  0.062 1.114  0.250 1.114  0.439 1.114  0.627 1.114  0.815 1.114  0.948 0.982  1.066 0.842  1.066 0.654  1.066 0.466  1.066 0.278  1.066 0.090  1.003 -0.073  0.841 -0.135  0.789 -0.287  0.641 -0.385  0.486 -0.465  0.316 -0.509
2#apa#apa03#app0309/e  -0.077 0.033  0.076 0.033  0.228 0.033  0.304 0.110  0.343 0.224  0.495 0.225  0.495 0.378  0.611 0.415  0.686 0.493  0.686 0.645  0.686 0.798  0.686 0.951  0.569 0.987  0.440 1.043  0.332 1.151  0.190 1.178  0.037 1.178  -0.077 1.140  -0.077 0.987  -0.230 0.987  -0.349 0.906  -0.457 0.798  -0.610 0.797  -0.650 0.684  -0.650 0.531  -0.686 0.415  -0.839 0.415  -0.840 0.263  -0.840 0.111  -0.840 -0.042  -0.814 -0.184  -0.706 -0.292  -0.650 -0.422  -0.650 -0.574  -0.650 -0.727  -0.499 -0.730  -0.459 -0.842  -0.384 -0.920  -0.268 -0.957  -0.268 -1.110  -0.117 -1.111  0.036 -1.111  0.189 -1.111  0.341 -1.111  0.494 -1.111  0.647 -1.111  0.800 -1.111  0.953 -1.111  1.105 -1.111  1.258 -1.111
2#apa#apa03#app0309/r  -0.698 0.983  -0.698 0.835  -0.620 0.765  -0.479 0.757  -0.479 0.609  -0.479 0.460  -0.479 0.312  -0.479 0.164  -0.479 0.016  -0.463 -0.126  -0.358 -0.231  -0.261 -0.339  -0.261 -0.487  -0.261 -0.635  -0.261 -0.784  -0.261 -0.932  -0.261 -1.080  -0.261 -1.228  -0.261 -1.377  -0.261 -1.317  -0.294 -1.202  -0.443 -1.202  -0.479 -1.091  -0.479 -0.942  -0.479 -0.794  -0.479 -0.646  -0.479 -0.498  -0.479 -0.349  -0.479 -0.201  -0.479 -0.053  -0.479 0.096  -0.344 0.109  -0.261 0.174  -0.261 0.322  -0.118 0.328  0.009 0.379  0.114 0.484  0.236 0.546  0.385 0.546  0.533 0.546  0.681 0.546  0.829 0.546  0.935 0.649  1.040 0.754  1.184 0.765  1.332 0.765  1.480 0.765  1.629 0.765  1.777 0.765  1.925 0.765
2#apa#apa03#app0309/h  -0.634 1.681  -0.505 1.691  -0.505 1.790  -0.505 1.650  -0.505 1.510  -0.505 1.370  -0.505 1.230  -0.505 1.090  -0.505 0.951  -0.505 0.811  -0.505 0.671  -0.505 0.531  -0.505 0.391  -0.505 0.252  -0.494 0.116  -0.395 0.017  -0.375 -0.114  -0.375 -0.254  -0.375 -0.394  -0.375 -0.534  -0.375 -0.674  -0.375 -0.813  -0.375 -0.953  -0.375 -1.093  -0.375 -1.104  -0.323 -0.986  -0.246 -0.878  -0.246 -0.739  -0.194 -0.651  -0.116 -0.588  -0.065 -0.470  0.013 -0.362  0.053 -0.262  0.143 -0.212  0.185 -0.090  0.289 -0.003  0.402 0.024  0.439 0.127  0.579 0.127  0.661 0.069  0.729 -0.003  0.790 -0.081  0.853 -0.195  0.920 -0.307  0.959 -0.431  1.049 -0.533  1.065 -0.667  1.164 -0.765  1.179 -0.899  1.179 -1.039
2#apa#apa03#app0309/a  0.090 0.504  0.090 0.658  0.090 0.812  0.037 0.913  -0.117 0.913  -0.271 0.913  -0.425 0.913  -0.563 0.874  -0.671 0.765  -0.802 0.709  -0.932 0.685  -0.932 0.531  -1.022 0.414  -1.131 0.305  -1.137 0.154  -1.137 -0.000  -1.137 -0.154  -1.137 -0.308  -1.137 -0.462  -1.067 -0.588  -0.959 -0.696  -0.815 -0.723  -0.681 -0.770  -0.572 -0.879  -0.438 -0.927  -0.284 -0.927  -0.130 -0.927  0.024 -0.927  0.178 -0.927  0.295 -0.890  0.295 -0.736  0.394 -0.623  0.503 -0.514  0.612 -0.405  0.704 -0.289  0.704 -0.135  0.832 -0.109  0.908 -0.032  0.908 0.122  0.908 0.276  0.908 0.430  0.908 0.584  0.908 0.680  0.908 0.526  0.908 0.372  0.967 0.242  1.075 0.133  1.113 -0.006  1.113 -0.160  1.113 -0.314
2#apa#apa03#app0309/p  -0.451 0.490  -0.325 0.364  -0.278 0.205  -0.278 0.027  -0.278 -0.152  -0.278 -0.330  -0.278 -0.508  -0.377 -0.646  -0.451 -0.793  -0.451 -0.971  -0.451 -1.150  -0.451 -1.328  -0.451 -1.506  -0.552 -1.584  -0.624 -1.477  -0.624 -1.299  -0.624 -1.121  -0.624 -0.943  -0.566 -0.778  -0.487 -0.619  -0.451 -0.449  -0.451 -0.271  -0.451 -0.092  -0.451 0.086  -0.451 0.264  -0.362 0.406  -0.278 0.549  -0.232 0.708  -0.106 0.834  0.020 0.960  0.067 1.119  0.184 1.181  0.240 1.303  0.367 1.353  0.546 1.353  0.683 1.256  0.831 1.181  0.931 1.103  0.931 0.925  0.931 0.747  0.931 0.568  0.931 0.390  0.931 0.212  0.853 0.066  0.714 -0.029  0.586 -0.078  0.547 -0.240  0.421 -0.366  0.246 -0.374  0.240 -0.547
2#apa#apa03#app0309/s  0.558 1.128  0.558 1.239  0.529 1.321  0.417 1.321  0.323 1.279  0.244 1.200  0.163 1.128  0.052 1.128  -0.060 1.128  -0.171 1.128  -0.215 1.060  -0.215 0.948  -0.312 0.934  -0.409 0.919  -0.409 0.807  -0.409 0.696  -0.409 0.585  -0.409 0.473  -0.409 0.362  -0.305 0.354  -0.215 0.332  -0.215 0.221  -0.164 0.161  -0.052 0.161  0.059 0.161  0.171 0.161  0.172 0.050  0.200 -0.033  0.312 -0.033  0.365 -0.091  0.365 -0.202  0.365 -0.314  0.365 -0.425  0.365 -0.537  0.365 -0.648  0.365 -0.760  0.365 -0.871  0.365 -0.983  0.298 -1.066  0.219 -1.145  0.128 -1.193  0.016 -1.193  -0.074 -1.245  -0.153 -1.324  -0.238 -1.386  -0.350 -1.386  -0.461 -1.386  -0.572 -1.386  -0.684 -1.386  -0.795 -1.386
2#apa#apa03#app0309/t  0.507 1.909  0.326 1.885  0.195 1.748  0.167 1.569  0.038 1.432  0.019 1.245  -0.066 1.075  -0.118 0.896  -0.118 0.706  -0.118 0.515  -0.244 0.377  -0.274 0.198  -0.274 0.007  -0.274 -0.183  -0.274 -0.374  -0.274 -0.565  -0.157 -0.707  -0.118 -0.882  0.002 -1.023  0.038 -1.198  0.207 -1.228  0.342 -1.363  0.529 -1.372  0.720 -1.372  0.752 -1.310  0.612 -1.181  0.471 -1.052  0.331 -0.923  0.190 -0.795  0.049 -0.666  -0.091 -0.537  -0.232 -0.408  -0.372 -0.279  -0.513 -0.150  -0.654 -0.021  -0.794 0.108  -0.935 0.237  -1.028 0.347  -0.855 0.303  -0.711 0.191  -0.520 0.191  -0.329 0.191  -0.139 0.191  0.048 0.200  0.183 0.335  0.369 0.347  0.560 0.347  0.750 0.347  0.941 0.347  1.132 0.347
2#apa#apa03#app0309/h  -0.366 2.065  -0.366 1.924  -0.366 1.783  -0.366 1.642  -0.366 1.501  -0.366 1.360  -0.366 1.219  -0.366 1.079  -0.366 0.938  -0.366 0.797  -0.366 0.656  -0.366 0.515  -0.366 0.374  -0.366 0.233  -0.366 0.092  -0.366 -0.049  -0.424 -0.176  -0.487 -0.302  -0.508 -0.438  -0.508 -0.579  -0.508 -0.720  -0.508 -0.861  -0.508 -1.002  -0.508 -1.143  -0.420 -1.195  -0.366 -1.108  -0.280 -1.054  -0.225 -0.968  -0.140 -0.912  -0.083 -0.828  -0.024 -0.711  0.059 -0.604  0.082 -0.487  0.201 -0.464  0.210 -0.326  0.273 -0.200  0.336 -0.074  0.470 -0.061  0.484 0.065  0.484 0.206  0.609 0.222  0.750 0.222  0.768 0.099  0.768 -0.042  0.854 -0.147  0.909 -0.265  0.953 -0.388  1.051 -0.488  1.051 -0.629  1.051 -0.770
2#apa#apa03#app0309/e  -0.509 -0.105  -0.353 -0.105  -0.197 -0.105  -0.042 -0.105  0.114 -0.105  0.270 -0.105  0.364 -0.044  0.406 0.069  0.538 0.093  0.538 0.249  0.538 0.405  0.538 0.560  0.661 0.592  0.712 0.697  0.712 0.853  0.665 0.989  0.555 1.099  0.538 1.247  0.425 1.290  0.270 1.290  0.114 1.290  -0.025 1.250  -0.135 1.140  -0.214 1.007  -0.283 0.868  -0.376 0.767  -0.509 0.743  -0.512 0.589  -0.622 0.479  -0.683 0.349  -0.683 0.193  -0.683 0.038  -0.683 -0.118  -0.683 -0.274  -0.683 -0.429  -0.683 -0.585  -0.683 -0.741  -0.590 -0.803  -0.509 -0.877  -0.453 -0.977  -0.308 -1.003  -0.198 -1.113  -0.058 -1.152  0.073 -1.210  0.183 -1.320  0.337 -1.326  0.492 -1.326  0.648 -1.326  0.777 -1.390  0.887 -1.500
2#apa#apa03#app0309/g  0.106 0.558  0.247 0.565  0.247 0.714  0.247 0.862  0.227 1.002  0.122 1.107  -0.020 1.123  -0.168 1.123  -0.317 1.123  -0.422 1.019  -0.555 0.982  -0.601 0.879  -0.711 0.841  -0.795 0.736  -0.861 0.603  -0.884 0.460  -0.884 0.312  -0.884 0.163  -0.884 0.015  -0.794 -0.097  -0.668 -0.149  -0.519 -0.149  -0.371 -0.149  -0.222 -0.149  -0.104 -0.076  0.001 0.029  0.106 0.134  0.106 0.283  0.121 0.417  0.247 0.438  0.276 0.558  0.389 0.522  0.389 0.373  0.389 0.225  0.389 0.076  0.389 -0.072  0.389 -0.221  0.389 -0.369  0.389 -0.518  0.389 -0.666  0.420 -0.809  0.467 -0.950  0.514 -1.091  0.530 -1.237  0.530 -1.386  0.530 -1.534  0.530 -1.683  0.530 -1.831  0.530 -1.980  0.530 -2.128
