2#apa#apa03#app0336/w  -1.150 0.327  -1.150 0.488  -1.235 0.564  -1.269 0.438  -1.269 0.277  -1.269 0.116  -1.269 -0.045  -1.269 -0.206  -1.269 -0.367  -1.253 -0.521  -1.135 -0.624  -0.974 -0.624  -0.813 -0.624  -0.771 -0.505  -0.629 -0.459  -0.498 -0.386  -0.438 -0.285  -0.421 -0.132  -0.307 -0.018  -0.200 0.099  -0.148 0.208  -0.081 0.302  -0.064 0.446  0.038 0.505  0.038 0.463  0.038 0.302  0.038 0.141  0.038 -0.020  0.038 -0.181  0.112 -0.267  0.156 -0.384  0.196 -0.505  0.333 -0.563  0.469 -0.624  0.630 -0.624  0.744 -0.511  0.893 -0.481  0.988 -0.360  1.057 -0.267  1.156 -0.168  1.225 -0.024  1.260 0.123  1.344 0.249  1.344 0.410  1.338 0.564  1.225 0.613  1.161 0.747  1.047 0.861  0.988 0.844  0.988 0.683
2#apa#apa03#app0336/a  0.063 0.202  0.265 0.216  0.265 0.432  0.265 0.648  0.265 0.864  0.197 1.011  -0.019 1.011  -0.235 1.011  -0.451 1.011  -0.544 0.888  -0.680 0.809  -0.746 0.659  -0.910 0.607  -1.027 0.448  -1.124 0.255  -1.150 0.046  -1.150 -0.170  -1.150 -0.386  -1.150 -0.602  -1.144 -0.815  -0.991 -0.968  -0.838 -1.120  -0.661 -1.213  -0.445 -1.213  -0.341 -1.101  -0.216 -1.011  -0.139 -0.871  0.014 -0.809  0.063 -0.642  0.063 -0.426  0.200 -0.267  0.265 -0.078  0.362 0.098  0.467 0.270  0.467 0.486  0.467 0.702  0.467 0.918  0.467 0.889  0.467 0.673  0.617 0.607  0.669 0.444  0.669 0.228  0.804 0.068  0.872 -0.120  0.872 -0.336  0.872 -0.552  1.033 -0.606  1.074 -0.781  1.262 -0.809  1.276 -0.606
2#apa#apa03#app0336/r  -0.719 0.103  -0.581 0.103  -0.522 0.025  -0.503 -0.094  -0.365 -0.094  -0.324 -0.192  -0.324 -0.330  -0.324 -0.468  -0.324 -0.606  -0.324 -0.744  -0.324 -0.882  -0.228 -0.980  -0.131 -1.078  -0.127 -1.214  -0.127 -1.352  -0.127 -1.463  -0.127 -1.325  -0.219 -1.279  -0.324 -1.247  -0.324 -1.109  -0.324 -0.971  -0.324 -0.833  -0.324 -0.695  -0.324 -0.557  -0.324 -0.419  -0.324 -0.281  -0.324 -0.143  -0.324 -0.005  -0.324 0.133  -0.324 0.271  -0.324 0.409  -0.289 0.533  -0.192 0.630  -0.127 0.741  -0.127 0.879  -0.002 0.893  0.071 0.958  0.076 1.090  0.214 1.090  0.352 1.090  0.490 1.090  0.628 1.090  0.766 1.090  0.904 1.090  1.042 1.090  1.058 0.968  1.102 0.849  1.200 0.751  1.315 0.695  1.453 0.695
2#apa#apa03#app0336/t  0.025 1.932  0.025 1.738  0.025 1.544  0.025 1.349  0.025 1.155  0.025 0.961  0.025 0.767  0.025 0.572  0.025 0.378  0.025 0.184  0.025 -0.011  0.025 -0.205  0.025 -0.399  0.025 -0.594  0.074 -0.768  0.202 -0.909  0.202 -1.103  0.202 -1.297  0.268 -1.426  0.462 -1.426  0.657 -1.426  0.816 -1.342  0.861 -1.209  0.712 -1.085  0.562 -0.960  0.413 -0.836  0.264 -0.712  0.115 -0.587  -0.035 -0.463  -0.184 -0.338  -0.333 -0.214  -0.482 -0.090  -0.632 0.035  -0.781 0.159  -0.930 0.284  -1.079 0.408  -1.212 0.496  -1.172 0.342  -0.978 0.342  -0.784 0.342  -0.589 0.342  -0.395 0.342  -0.201 0.342  -0.007 0.342  0.140 0.456  0.309 0.518  0.503 0.518  0.697 0.518  0.892 0.518  1.086 0.518
2#apa#apa03#app0336/y  -0.970 1.500  -0.970 1.318  -0.970 1.136  -0.970 0.954  -0.970 0.772  -0.970 0.590  -0.970 0.408  -0.895 0.302  -0.713 0.302  -0.532 0.304  -0.425 0.442  -0.321 0.520  -0.286 0.690  -0.208 0.854  -0.151 1.012  -0.099 1.172  -0.099 0.992  -0.099 0.810  -0.099 0.628  -0.099 0.446  0.010 0.373  0.010 0.191  0.063 0.031  0.119 -0.127  0.140 -0.306  0.198 -0.479  0.289 -0.631  0.337 -0.793  0.392 -0.952  0.446 -1.112  0.446 -1.294  0.446 -1.476  0.339 -1.551  0.178 -1.500  0.049 -1.372  -0.079 -1.243  -0.099 -1.069  -0.092 -0.890  0.010 -0.750  0.089 -0.600  0.217 -0.472  0.337 -0.339  0.398 -0.182  0.527 -0.054  0.682 0.038  0.853 0.084  0.990 0.192  1.063 0.302  1.136 0.411  1.318 0.411
2#apa#apa03#app0336/h  -0.925 0.911  -0.821 1.017  -0.821 1.166  -0.821 1.315  -0.821 1.464  -0.821 1.457  -0.821 1.308  -0.821 1.159  -0.819 1.011  -0.753 0.878  -0.717 0.737  -0.712 0.589  -0.646 0.456  -0.579 0.323  -0.513 0.190  -0.509 0.042  -0.472 -0.098  -0.406 -0.232  -0.406 -0.381  -0.377 -0.525  -0.330 -0.666  -0.260 -0.793  -0.198 -0.916  -0.123 -1.034  -0.090 -1.168  0.010 -1.120  0.052 -0.981  0.114 -0.846  0.153 -0.713  0.218 -0.592  0.218 -0.443  0.284 -0.309  0.322 -0.169  0.370 -0.032  0.443 0.097  0.530 0.210  0.530 0.359  0.612 0.474  0.640 0.379  0.707 0.246  0.738 0.104  0.752 -0.039  0.842 -0.151  0.842 -0.300  0.848 -0.446  0.946 -0.554  0.985 -0.687  1.050 -0.809  1.122 -0.928  1.258 -0.960
2#apa#apa03#app0336/u  -1.074 1.008  -1.074 0.846  -1.074 0.685  -1.074 0.524  -1.074 0.362  -1.074 0.201  -1.074 0.040  -1.074 -0.122  -1.074 -0.283  -1.074 -0.444  -1.074 -0.606  -1.005 -0.698  -0.861 -0.715  -0.861 -0.876  -0.734 -0.912  -0.573 -0.912  -0.434 -0.889  -0.434 -0.728  -0.302 -0.698  -0.164 -0.642  -0.050 -0.528  0.064 -0.414  0.178 -0.300  0.206 -0.150  0.255 -0.009  0.369 0.105  0.419 0.246  0.419 0.407  0.419 0.568  0.419 0.730  0.419 0.891  0.419 1.052  0.419 1.214  0.419 1.067  0.419 0.905  0.469 0.794  0.631 0.794  0.632 0.634  0.632 0.473  0.632 0.312  0.635 0.152  0.749 0.038  0.845 -0.084  0.845 -0.245  0.845 -0.407  0.928 -0.485  1.059 -0.516  1.059 -0.677  1.158 -0.798  1.272 -0.912
2#apa#apa03#app0336/m  -1.449 0.285  -1.417 0.156  -1.321 0.092  -1.321 -0.069  -1.320 -0.230  -1.206 -0.343  -1.192 -0.499  -1.192 -0.659  -1.114 -0.742  -1.064 -0.632  -0.925 -0.604  -0.812 -0.490  -0.789 -0.338  -0.675 -0.225  -0.561 -0.111  -0.550 0.045  -0.515 0.192  -0.422 0.314  -0.379 0.457  -0.294 0.501  -0.294 0.340  -0.294 0.179  -0.287 0.021  -0.173 -0.092  -0.165 -0.250  -0.111 -0.357  -0.037 -0.443  0.082 -0.485  0.108 -0.341  0.222 -0.229  0.348 -0.194  0.348 -0.033  0.448 0.028  0.479 0.159  0.593 0.273  0.706 0.386  0.733 0.536  0.862 0.568  0.904 0.712  1.029 0.798  1.118 0.727  1.118 0.566  1.126 0.413  1.247 0.373  1.247 0.212  1.321 0.082  1.375 -0.056  1.458 -0.183  1.504 -0.325  1.504 -0.485
2#apa#apa03#app0336/a  0.663 0.695  0.663 0.885  0.663 1.075  0.567 1.168  0.377 1.168  0.188 1.166  0.054 1.032  -0.094 0.932  -0.283 0.931  -0.283 0.741  -0.427 0.695  -0.588 0.626  -0.722 0.492  -0.755 0.316  -0.851 0.222  -0.992 0.174  -0.993 -0.016  -1.128 -0.150  -1.228 -0.298  -1.228 -0.487  -1.228 -0.677  -1.127 -0.825  -0.993 -0.959  -0.804 -0.960  -0.614 -0.960  -0.452 -0.893  -0.318 -0.759  -0.184 -0.625  -0.050 -0.490  0.139 -0.487  0.190 -0.349  0.255 -0.186  0.389 -0.052  0.427 0.122  0.427 0.312  0.427 0.502  0.427 0.691  0.613 0.695  0.663 0.556  0.663 0.366  0.663 0.177  0.663 -0.013  0.663 -0.203  0.663 -0.392  0.663 -0.582  0.697 -0.758  0.832 -0.892  0.900 -1.053  0.900 -1.243  0.900 -1.433
2#apa#apa03#app0336/n  -1.049 0.937  -1.049 0.785  -1.049 0.632  -1.049 0.480  -1.049 0.328  -1.049 0.176  -1.049 0.024  -1.015 -0.114  -0.908 -0.222  -0.879 -0.362  -0.879 -0.514  -0.879 -0.666  -0.837 -0.801  -0.729 -0.908  -0.710 -0.804  -0.603 -0.758  -0.540 -0.669  -0.489 -0.538  -0.382 -0.430  -0.371 -0.283  -0.252 -0.250  -0.201 -0.148  -0.142 -0.021  -0.034 0.087  -0.032 0.238  0.061 0.351  0.138 0.472  0.156 0.616  0.264 0.724  0.307 0.858  0.307 1.010  0.363 1.106  0.504 1.079  0.611 0.972  0.646 0.834  0.646 0.682  0.646 0.530  0.646 0.378  0.661 0.229  0.729 0.093  0.797 -0.043  0.894 -0.158  0.985 -0.273  0.985 -0.425  0.985 -0.577  1.084 -0.688  1.155 -0.811  1.155 -0.963  1.172 -1.097  1.324 -1.097
2#apa#apa03#app0336/o  0.449 0.323  0.449 0.476  0.449 0.628  0.449 0.781  0.404 0.887  0.261 0.897  0.261 1.050  0.134 1.076  -0.018 1.076  -0.171 1.076  -0.317 1.061  -0.425 0.954  -0.550 0.887  -0.679 0.864  -0.679 0.712  -0.679 0.559  -0.753 0.437  -0.861 0.329  -0.867 0.180  -0.867 0.027  -0.867 -0.125  -0.867 -0.278  -0.867 -0.430  -0.867 -0.583  -0.784 -0.701  -0.679 -0.810  -0.679 -0.962  -0.594 -1.079  -0.484 -1.182  -0.331 -1.182  -0.179 -1.182  -0.026 -1.182  0.126 -1.182  0.261 -1.164  0.261 -1.011  0.396 -0.994  0.494 -0.905  0.562 -0.769  0.630 -0.632  0.733 -0.521  0.825 -0.407  0.825 -0.254  0.825 -0.102  0.825 0.050  0.825 0.203  0.825 0.355  0.825 0.508  0.720 0.617  0.637 0.735  0.637 0.887
