2#apa#apa03#app0366/b  -0.298 1.792  -0.298 1.605  -0.335 1.426  -0.418 1.259  -0.502 1.092  -0.586 0.924  -0.591 0.739  -0.591 0.552  -0.591 0.365  -0.658 0.193  -0.738 0.025  -0.738 -0.162  -0.738 -0.349  -0.738 -0.536  -0.738 -0.723  -0.738 -0.910  -0.738 -0.886  -0.635 -0.742  -0.503 -0.610  -0.445 -0.446  -0.342 -0.302  -0.298 -0.133  -0.284 0.048  -0.152 0.180  -0.020 0.313  0.009 0.488  0.141 0.620  0.308 0.704  0.481 0.766  0.580 0.679  0.708 0.620  0.873 0.598  0.936 0.473  1.020 0.371  1.020 0.184  1.166 0.143  1.166 -0.044  1.048 -0.113  1.011 -0.268  0.879 -0.400  0.841 -0.552  0.675 -0.604  0.533 -0.722  0.366 -0.806  0.217 -0.916  0.070 -1.027  -0.097 -1.111  -0.241 -1.227  -0.404 -1.285  -0.591 -1.285
2#apa#apa03#app0366/i  -0.007 -0.392  0.092 -0.392  0.141 -0.441  0.141 -0.540  0.141 -0.638  0.106 -0.722  0.036 -0.792  -0.007 -0.872  -0.007 -0.971  -0.068 -1.044  -0.138 -1.113  -0.154 -1.205  -0.154 -1.303  -0.154 -1.402  -0.150 -1.350  -0.145 -1.251  -0.140 -1.153  -0.135 -1.055  -0.130 -0.957  -0.125 -0.858  -0.119 -0.760  -0.114 -0.662  -0.109 -0.563  -0.104 -0.465  -0.099 -0.367  -0.094 -0.269  -0.088 -0.170  -0.083 -0.072  -0.078 0.026  -0.073 0.124  -0.068 0.223  -0.063 0.321  -0.057 0.419  -0.052 0.518  -0.047 0.616  -0.042 0.714  -0.037 0.812  -0.032 0.911  -0.026 1.009  -0.021 1.107  -0.016 1.206  -0.011 1.304  0.010 1.395  0.079 1.465  0.152 1.526  0.251 1.526  0.331 1.569  0.401 1.639  0.485 1.674  0.583 1.674
2#apa#apa03#app0366/g  0.105 0.833  0.105 0.991  0.010 1.054  -0.148 1.054  -0.305 1.054  -0.459 1.043  -0.570 0.931  -0.669 0.814  -0.735 0.722  -0.780 0.609  -0.780 0.451  -0.780 0.293  -0.746 0.169  -0.588 0.169  -0.430 0.169  -0.272 0.169  -0.147 0.249  -0.006 0.284  0.045 0.391  0.105 0.489  0.208 0.604  0.215 0.759  0.275 0.892  0.326 1.029  0.420 0.960  0.453 0.816  0.547 0.697  0.547 0.539  0.547 0.381  0.547 0.223  0.547 0.066  0.654 -0.048  0.658 -0.204  0.658 -0.362  0.658 -0.520  0.658 -0.678  0.658 -0.836  0.617 -0.977  0.547 -1.106  0.472 -1.233  0.329 -1.268  0.184 -1.299  0.059 -1.378  -0.099 -1.378  -0.216 -1.279  -0.369 -1.268  -0.527 -1.268  -0.685 -1.268  -0.843 -1.268  -1.001 -1.268
2#apa#apa03#app0366/i  0.112 -0.470  0.112 -0.365  0.039 -0.334  -0.024 -0.376  -0.035 -0.470  -0.140 -0.470  -0.160 -0.555  -0.160 -0.660  -0.160 -0.765  -0.160 -0.870  -0.228 -0.946  -0.296 -1.023  -0.296 -1.128  -0.296 -1.233  -0.296 -1.338  -0.292 -1.403  -0.274 -1.299  -0.255 -1.196  -0.236 -1.093  -0.217 -0.990  -0.199 -0.886  -0.180 -0.783  -0.161 -0.680  -0.142 -0.577  -0.123 -0.473  -0.105 -0.370  -0.086 -0.267  -0.067 -0.164  -0.048 -0.061  -0.030 0.043  -0.011 0.146  0.008 0.249  0.027 0.352  0.045 0.456  0.064 0.559  0.083 0.662  0.102 0.765  0.121 0.869  0.139 0.972  0.158 1.075  0.177 1.178  0.196 1.281  0.214 1.385  0.233 1.488  0.268 1.572  0.373 1.572  0.478 1.572  0.521 1.634  0.552 1.708  0.657 1.708
2#apa#apa03#app0366/n  -0.880 0.211  -0.880 0.077  -0.880 -0.056  -0.880 -0.190  -0.880 -0.323  -0.880 -0.457  -0.916 -0.555  -1.033 -0.571  -1.033 -0.704  -1.033 -0.838  -1.033 -0.751  -0.943 -0.708  -0.880 -0.637  -0.844 -0.519  -0.749 -0.424  -0.727 -0.300  -0.669 -0.190  -0.574 -0.096  -0.480 -0.002  -0.421 0.107  -0.399 0.232  -0.305 0.327  -0.267 0.445  -0.224 0.560  -0.130 0.655  -0.035 0.749  0.039 0.852  0.048 0.977  0.181 0.977  0.315 0.977  0.449 0.977  0.582 0.977  0.697 0.931  0.791 0.837  0.886 0.742  0.958 0.639  0.958 0.505  0.958 0.372  0.958 0.238  0.958 0.104  0.958 -0.029  0.958 -0.163  0.958 -0.296  0.958 -0.430  0.958 -0.563  0.958 -0.697  0.958 -0.830  0.885 -0.934  0.805 -1.034  0.805 -1.168
2#apa#apa03#app0366/k  -0.459 2.127  -0.459 1.915  -0.459 1.704  -0.459 1.492  -0.459 1.280  -0.459 1.068  -0.459 0.856  -0.459 0.644  -0.488 0.437  -0.555 0.236  -0.606 0.032  -0.606 -0.180  -0.606 -0.391  -0.606 -0.603  -0.621 -0.809  -0.732 -0.920  -0.582 -0.770  -0.433 -0.620  -0.283 -0.470  -0.133 -0.320  0.017 -0.171  0.167 -0.021  0.317 0.129  0.466 0.279  0.616 0.429  0.766 0.578  0.916 0.728  1.001 0.721  0.989 0.521  0.777 0.521  0.607 0.420  0.430 0.309  0.271 0.195  0.171 0.083  0.105 -0.063  -0.107 -0.063  -0.173 -0.209  -0.385 -0.209  -0.556 -0.306  -0.505 -0.456  -0.355 -0.606  -0.162 -0.652  -0.009 -0.793  0.203 -0.793  0.373 -0.895  0.522 -1.045  0.672 -1.195  0.855 -1.245  0.935 -1.377  1.001 -1.523
2#apa#apa03#app0366/y  -0.784 1.334  -0.784 1.201  -0.841 1.124  -0.889 1.039  -0.889 0.905  -0.889 0.772  -0.889 0.639  -0.889 0.505  -0.802 0.408  -0.707 0.314  -0.586 0.285  -0.452 0.285  -0.319 0.285  -0.185 0.285  -0.082 0.357  0.012 0.452  0.128 0.495  0.160 0.596  0.265 0.624  0.265 0.757  0.265 0.891  0.265 1.014  0.265 0.881  0.327 0.810  0.370 0.719  0.370 0.586  0.400 0.465  0.487 0.365  0.547 0.246  0.580 0.120  0.580 -0.013  0.580 -0.146  0.580 -0.280  0.580 -0.413  0.580 -0.546  0.580 -0.680  0.580 -0.813  0.580 -0.947  0.580 -1.080  0.580 -1.213  0.522 -1.288  0.388 -1.288  0.255 -1.288  0.122 -1.288  -0.012 -1.288  -0.145 -1.288  -0.279 -1.288  -0.364 -1.241  -0.440 -1.184  -0.574 -1.184
2#apa#apa03#app0366/d  0.101 0.086  -0.048 0.201  -0.244 0.201  -0.441 0.201  -0.637 0.201  -0.829 0.189  -0.968 0.050  -1.107 -0.088  -1.162 -0.262  -1.162 -0.459  -1.162 -0.655  -1.068 -0.813  -0.994 -0.948  -0.837 -1.043  -0.649 -1.063  -0.452 -1.063  -0.256 -1.063  -0.079 -0.980  0.074 -0.860  0.213 -0.721  0.331 -0.574  0.331 -0.377  0.331 -0.181  0.446 -0.099  0.446 0.098  0.446 0.294  0.501 0.482  0.561 0.669  0.561 0.865  0.561 1.062  0.561 1.258  0.635 1.424  0.676 1.604  0.601 1.619  0.561 1.439  0.485 1.274  0.434 1.096  0.346 0.921  0.331 0.728  0.331 0.531  0.288 0.345  0.216 0.165  0.216 -0.031  0.216 -0.228  0.216 -0.425  0.216 -0.621  0.216 -0.818  0.216 -1.014  0.216 -1.211  0.216 -1.407
2#apa#apa03#app0366/e  0.740 0.320  0.842 0.371  0.944 0.422  1.046 0.473  1.160 0.473  1.199 0.549  1.199 0.663  1.199 0.777  1.087 0.779  0.973 0.779  0.859 0.779  0.745 0.779  0.630 0.779  0.516 0.779  0.402 0.779  0.288 0.779  0.174 0.779  0.080 0.731  -0.001 0.651  -0.082 0.570  -0.163 0.489  -0.270 0.473  -0.384 0.473  -0.485 0.459  -0.485 0.345  -0.548 0.257  -0.628 0.176  -0.739 0.167  -0.835 0.123  -0.915 0.043  -0.944 -0.060  -0.944 -0.174  -0.944 -0.288  -0.944 -0.402  -0.893 -0.496  -0.812 -0.576  -0.791 -0.681  -0.746 -0.751  -0.634 -0.755  -0.553 -0.836  -0.472 -0.917  -0.391 -0.997  -0.302 -1.057  -0.188 -1.057  -0.074 -1.057  0.021 -1.104  0.102 -1.184  0.205 -1.210  0.320 -1.210  0.434 -1.210
2#apa#apa03#app0366/v  -0.741 1.164  -0.741 1.052  -0.769 0.969  -0.880 0.969  -0.935 0.912  -0.935 0.801  -0.935 0.689  -0.935 0.578  -0.935 0.467  -0.935 0.355  -0.935 0.244  -0.894 0.149  -0.815 0.071  -0.741 -0.010  -0.741 -0.122  -0.741 -0.233  -0.741 -0.344  -0.696 -0.437  -0.617 -0.516  -0.546 -0.598  -0.546 -0.710  -0.507 -0.782  -0.395 -0.782  -0.284 -0.782  -0.172 -0.782  -0.061 -0.782  0.051 -0.782  0.162 -0.782  0.273 -0.782  0.385 -0.782  0.427 -0.712  0.427 -0.601  0.496 -0.518  0.575 -0.439  0.667 -0.393  0.778 -0.393  0.816 -0.319  0.816 -0.207  0.816 -0.096  0.829 0.010  0.908 0.089  0.987 0.168  1.010 0.269  1.010 0.381  1.010 0.492  1.027 0.597  1.106 0.676  1.185 0.754  1.205 0.858  1.205 0.969
2#apa#apa03#app0366/i  0.014 -0.496  0.014 -0.586  0.014 -0.676  0.014 -0.766  -0.031 -0.810  -0.091 -0.841  -0.101 -0.926  -0.165 -0.990  -0.195 -1.067  -0.227 -1.125  -0.300 -1.142  -0.300 -1.232  -0.300 -1.322  -0.285 -1.259  -0.266 -1.171  -0.248 -1.083  -0.230 -0.995  -0.212 -0.907  -0.194 -0.819  -0.175 -0.731  -0.157 -0.642  -0.139 -0.554  -0.121 -0.466  -0.102 -0.378  -0.084 -0.290  -0.066 -0.202  -0.048 -0.114  -0.029 -0.026  -0.011 0.062  0.007 0.151  0.025 0.239  0.043 0.327  0.062 0.415  0.080 0.503  0.098 0.591  0.116 0.679  0.135 0.767  0.153 0.855  0.171 0.943  0.189 1.032  0.207 1.120  0.226 1.208  0.244 1.296  0.262 1.384  0.280 1.472  0.299 1.560  0.317 1.648  0.329 1.737  0.344 1.812  0.434 1.812
