2#apa#apa03#app0376/O  0.052 0.749  -0.074 0.718  -0.136 0.623  -0.267 0.557  -0.378 0.446  -0.504 0.369  -0.662 0.369  -0.758 0.269  -0.828 0.128  -0.936 0.014  -0.961 -0.133  -1.088 -0.164  -1.088 -0.322  -1.088 -0.480  -1.088 -0.637  -1.088 -0.795  -1.039 -0.923  -0.898 -0.993  -0.748 -1.025  -0.590 -1.025  -0.435 -1.015  -0.294 -0.945  -0.163 -0.860  -0.042 -0.771  0.116 -0.771  0.273 -0.771  0.394 -0.683  0.525 -0.598  0.666 -0.528  0.819 -0.512  0.931 -0.400  1.042 -0.289  1.122 -0.154  1.192 -0.013  1.193 0.145  1.193 0.302  1.102 0.369  1.066 0.491  1.048 0.641  0.937 0.753  0.825 0.864  0.672 0.876  0.515 0.876  0.357 0.876  0.199 0.876  0.043 0.871  -0.098 0.801  -0.231 0.719  -0.343 0.607  -0.454 0.496
2#apa#apa03#app0376/N  -0.142 0.371  -0.268 0.423  -0.371 0.497  -0.423 0.371  -0.520 0.290  -0.645 0.239  -0.645 0.061  -0.645 -0.116  -0.760 -0.247  -0.771 -0.419  -0.810 -0.588  -0.889 -0.747  -0.921 -0.912  -1.023 -1.048  -1.023 -1.055  -1.023 -0.877  -0.979 -0.718  -0.897 -0.574  -0.817 -0.430  -0.771 -0.271  -0.655 -0.142  -0.618 0.020  -0.493 0.146  -0.394 0.282  -0.305 0.371  -0.268 0.482  -0.221 0.324  -0.142 0.179  -0.059 0.036  -0.016 -0.124  0.014 -0.289  0.140 -0.414  0.236 -0.552  0.329 -0.636  0.501 -0.623  0.614 -0.492  0.677 -0.353  0.835 -0.274  0.992 -0.241  1.041 -0.084  1.118 0.062  1.118 0.240  1.195 0.399  1.244 0.565  1.244 0.743  1.244 0.920  1.244 1.098  1.244 1.275  1.244 1.453  1.244 1.379
2#apa#apa03#app0376/T  0.266 0.139  0.400 0.154  0.379 0.252  0.274 0.147  0.204 0.016  0.138 -0.117  0.131 -0.264  0.065 -0.397  -0.002 -0.530  -0.002 -0.679  -0.023 -0.819  -0.128 -0.924  -0.135 -1.069  -0.135 -1.218  -0.135 -1.367  -0.135 -1.515  -0.153 -1.540  -0.195 -1.397  -0.237 -1.254  -0.279 -1.112  -0.321 -0.969  -0.363 -0.827  -0.405 -0.684  -0.447 -0.541  -0.489 -0.399  -0.531 -0.256  -0.573 -0.113  -0.615 0.029  -0.657 0.172  -0.699 0.314  -0.741 0.457  -0.783 0.600  -0.805 0.745  -0.719 0.808  -0.570 0.808  -0.422 0.808  -0.273 0.808  -0.124 0.808  0.017 0.827  0.122 0.932  0.266 0.942  0.415 0.942  0.564 0.942  0.712 0.942  0.861 0.942  1.010 0.942  1.158 0.942  1.307 0.942  1.337 0.823  1.470 0.808
2#apa#apa03#app0376/H  -0.320 0.851  -0.438 0.613  -0.513 0.375  -0.601 0.146  -0.742 -0.061  -0.877 -0.270  -0.883 -0.533  -1.024 -0.657  -1.165 -0.864  -1.270 -1.086  -1.260 -1.205  -1.094 -0.998  -0.928 -0.791  -0.763 -0.584  -0.597 -0.377  -0.431 -0.169  -0.265 0.038  -0.100 0.245  0.066 0.452  0.232 0.659  0.398 0.866  0.563 1.074  0.729 1.281  0.895 1.488  1.089 1.516  0.974 1.299  0.948 1.044  0.898 0.800  0.808 0.572  0.808 0.307  0.698 0.067  0.667 -0.191  0.540 -0.403  0.526 -0.663  0.526 -0.928  0.656 -1.114  0.449 -0.948  0.242 -0.782  0.035 -0.617  -0.172 -0.451  -0.380 -0.285  -0.587 -0.119  -0.676 0.005  -0.411 0.005  -0.146 0.005  0.074 0.117  0.327 0.146  0.585 0.116  0.824 0.005  1.089 0.005
2#apa#apa03#app0376/E  -0.454 0.810  -0.454 0.531  -0.596 0.311  -0.642 0.052  -0.739 -0.187  -0.881 -0.407  -0.881 -0.686  -0.867 -0.836  -0.804 -0.565  -0.741 -0.293  -0.679 -0.021  -0.616 0.251  -0.553 0.523  -0.490 0.794  -0.338 0.953  -0.169 1.063  0.019 1.238  0.298 1.238  0.577 1.238  0.856 1.238  1.135 1.238  1.126 1.151  0.894 0.996  0.662 0.841  0.429 0.687  0.197 0.532  -0.035 0.377  -0.267 0.222  -0.416 0.059  -0.180 -0.045  0.099 -0.045  0.378 -0.045  0.657 -0.045  0.936 -0.045  1.024 -0.090  0.774 -0.215  0.525 -0.340  0.275 -0.464  0.026 -0.589  -0.224 -0.714  -0.473 -0.839  -0.723 -0.963  -0.780 -1.043  -0.501 -1.043  -0.222 -1.043  0.057 -1.043  0.277 -1.185  0.556 -1.185  0.835 -1.185  1.114 -1.185
2#apa#apa03#app0376/V  -0.810 0.834  -0.673 0.834  -0.639 0.936  -0.571 1.005  -0.468 0.971  -0.468 0.835  -0.468 0.698  -0.569 0.663  -0.639 0.596  -0.639 0.459  -0.639 0.323  -0.639 0.186  -0.639 0.050  -0.639 -0.087  -0.617 -0.214  -0.520 -0.311  -0.468 -0.426  -0.468 -0.562  -0.468 -0.699  -0.376 -0.797  -0.297 -0.901  -0.297 -1.038  -0.297 -1.174  -0.297 -1.311  -0.239 -1.389  -0.109 -1.373  -0.012 -1.276  0.045 -1.163  0.060 -1.033  0.156 -0.936  0.253 -0.840  0.349 -0.743  0.387 -0.622  0.387 -0.486  0.394 -0.350  0.455 -0.228  0.516 -0.106  0.558 0.020  0.558 0.157  0.558 0.294  0.636 0.398  0.729 0.496  0.729 0.632  0.729 0.769  0.780 0.884  0.877 0.981  0.900 1.108  0.900 1.244  0.935 1.347  1.071 1.347
2#apa#apa03#app0376/E  -0.626 0.579  -0.626 0.299  -0.718 0.056  -0.770 -0.202  -0.910 -0.424  -0.914 -0.702  -0.914 -0.982  -0.758 -1.088  -0.699 -0.814  -0.640 -0.540  -0.582 -0.267  -0.523 0.007  -0.464 0.281  -0.406 0.555  -0.347 0.828  -0.098 0.866  0.092 0.957  0.259 1.153  0.522 1.225  0.785 1.296  1.065 1.296  1.314 1.222  1.494 1.134  1.251 0.995  1.008 0.856  0.765 0.717  0.522 0.578  0.279 0.440  0.036 0.301  -0.207 0.162  -0.450 0.023  -0.266 -0.104  -0.011 -0.099  0.226 0.004  0.506 0.004  0.786 0.004  0.588 -0.125  0.346 -0.266  0.105 -0.407  -0.137 -0.548  -0.379 -0.689  -0.621 -0.830  -0.863 -0.971  -0.693 -1.001  -0.413 -1.001  -0.133 -1.001  0.147 -1.001  0.427 -1.001  0.688 -0.918  0.953 -0.857
2#apa#apa03#app0376/L  0.308 1.648  0.308 1.539  0.262 1.476  0.153 1.476  0.071 1.411  -0.006 1.334  -0.036 1.237  -0.036 1.129  -0.036 1.020  -0.071 0.925  -0.148 0.849  -0.208 0.764  -0.208 0.655  -0.258 0.567  -0.335 0.490  -0.412 0.413  -0.489 0.336  -0.551 0.253  -0.551 0.144  -0.551 0.035  -0.555 -0.069  -0.664 -0.069  -0.723 -0.119  -0.723 -0.228  -0.723 -0.337  -0.723 -0.446  -0.723 -0.555  -0.723 -0.664  -0.706 -0.756  -0.597 -0.756  -0.488 -0.756  -0.379 -0.756  -0.270 -0.756  -0.161 -0.756  -0.053 -0.756  0.056 -0.756  0.165 -0.756  0.274 -0.756  0.361 -0.703  0.438 -0.626  0.530 -0.584  0.638 -0.584  0.747 -0.584  0.856 -0.584  0.965 -0.584  1.074 -0.584  1.166 -0.601  1.166 -0.710  1.229 -0.756  1.338 -0.756
2#apa#apa03#app0376/V  -0.667 0.685  -0.667 0.822  -0.573 0.864  -0.437 0.864  -0.310 0.873  -0.310 1.009  -0.412 1.043  -0.488 0.982  -0.488 0.846  -0.488 0.710  -0.567 0.606  -0.664 0.510  -0.667 0.375  -0.667 0.239  -0.667 0.103  -0.667 -0.034  -0.667 -0.170  -0.667 -0.306  -0.667 -0.442  -0.667 -0.579  -0.667 -0.715  -0.619 -0.840  -0.558 -0.962  -0.497 -1.084  -0.406 -1.184  -0.309 -1.280  -0.173 -1.280  -0.064 -1.213  0.032 -1.117  0.129 -1.020  0.225 -0.924  0.321 -0.828  0.405 -0.726  0.405 -0.590  0.517 -0.565  0.584 -0.496  0.584 -0.360  0.584 -0.223  0.669 -0.122  0.762 -0.025  0.762 0.111  0.762 0.248  0.787 0.378  0.848 0.500  0.909 0.622  0.941 0.750  0.957 0.880  1.053 0.976  1.162 1.043  1.298 1.043
2#apa#apa03#app0376/E  -0.291 0.486  -0.497 0.280  -0.596 0.030  -0.742 -0.201  -0.742 -0.492  -0.742 -0.783  -0.696 -0.667  -0.631 -0.384  -0.565 -0.100  -0.500 0.184  -0.434 0.468  -0.369 0.752  -0.303 1.035  -0.054 1.088  0.160 1.165  0.359 1.286  0.607 1.389  0.899 1.389  1.128 1.238  1.036 1.136  0.783 0.992  0.530 0.847  0.277 0.703  0.024 0.558  -0.229 0.414  -0.482 0.269  -0.735 0.125  -0.784 0.035  -0.493 0.035  -0.201 0.035  0.090 0.035  0.381 0.035  0.672 0.035  0.869 0.009  0.617 -0.138  0.366 -0.285  0.114 -0.431  -0.137 -0.578  -0.389 -0.725  -0.641 -0.872  -0.892 -1.018  -0.753 -1.169  -0.500 -1.077  -0.233 -1.019  0.058 -1.019  0.350 -1.019  0.641 -1.019  0.932 -1.019  1.223 -1.019  1.515 -1.019
2#apa#apa03#app0376/T  0.396 0.201  0.388 0.064  0.289 -0.035  0.268 -0.166  0.181 -0.271  0.058 -0.312  0.011 -0.406  -0.063 -0.515  -0.117 -0.633  -0.117 -0.773  -0.179 -0.888  -0.245 -1.000  -0.245 -1.141  -0.245 -1.281  -0.245 -1.421  -0.275 -1.379  -0.319 -1.246  -0.364 -1.112  -0.408 -0.979  -0.452 -0.846  -0.497 -0.713  -0.541 -0.580  -0.585 -0.447  -0.630 -0.314  -0.674 -0.181  -0.718 -0.048  -0.763 0.085  -0.807 0.218  -0.852 0.351  -0.860 0.458  -0.719 0.458  -0.594 0.494  -0.502 0.596  -0.480 0.715  -0.340 0.715  -0.205 0.735  -0.079 0.798  0.050 0.843  0.191 0.843  0.331 0.843  0.471 0.843  0.611 0.843  0.752 0.843  0.892 0.843  1.032 0.843  1.172 0.843  1.313 0.843  1.453 0.843  1.581 0.814  1.680 0.715
