2#apa#apa04#app0471/b  -0.229 1.770  -0.073 1.747  0.036 1.647  -0.007 1.770  -0.096 1.694  -0.096 1.529  -0.102 1.367  -0.219 1.250  -0.229 1.089  -0.265 0.939  -0.361 0.814  -0.361 0.649  -0.361 0.484  -0.361 0.319  -0.361 0.154  -0.403 0.006  -0.494 -0.121  -0.494 -0.286  -0.494 -0.451  -0.494 -0.616  -0.494 -0.781  -0.494 -0.946  -0.494 -1.111  -0.494 -1.276  -0.494 -1.113  -0.448 -0.967  -0.361 -0.838  -0.361 -0.673  -0.286 -0.539  -0.169 -0.423  -0.096 -0.288  -0.029 -0.151  0.087 -0.034  0.219 0.047  0.375 0.084  0.523 0.158  0.682 0.180  0.843 0.168  0.959 0.052  0.964 -0.112  0.964 -0.277  0.899 -0.415  0.762 -0.482  0.699 -0.584  0.604 -0.710  0.454 -0.747  0.331 -0.850  0.215 -0.966  0.069 -1.012  0.036 -1.145
2#apa#apa04#app0471/e  0.327 0.093  0.444 0.093  0.561 0.093  0.678 0.093  0.720 0.167  0.720 0.284  0.832 0.289  0.940 0.312  1.022 0.395  1.105 0.478  1.114 0.591  1.089 0.683  0.972 0.683  0.873 0.727  0.790 0.810  0.702 0.880  0.585 0.880  0.468 0.880  0.351 0.880  0.234 0.880  0.130 0.867  0.130 0.750  0.080 0.683  -0.037 0.683  -0.129 0.622  -0.211 0.539  -0.294 0.456  -0.377 0.373  -0.460 0.291  -0.542 0.208  -0.625 0.125  -0.658 0.021  -0.658 -0.096  -0.734 -0.181  -0.817 -0.264  -0.855 -0.365  -0.855 -0.482  -0.855 -0.599  -0.855 -0.716  -0.855 -0.833  -0.855 -0.951  -0.855 -1.068  -0.758 -1.089  -0.646 -1.100  -0.563 -1.183  -0.481 -1.266  -0.381 -1.325  -0.276 -1.378  -0.172 -1.430  -0.067 -1.482
2#apa#apa04#app0471/d  -0.163 -0.546  -0.008 -0.515  -0.008 -0.329  -0.100 -0.235  -0.286 -0.235  -0.427 -0.344  -0.594 -0.391  -0.736 -0.498  -0.868 -0.629  -1.000 -0.761  -1.096 -0.907  -1.096 -1.094  -0.983 -1.168  -0.797 -1.168  -0.611 -1.168  -0.439 -1.133  -0.303 -1.012  -0.142 -0.971  -0.059 -0.804  0.043 -0.651  0.148 -0.508  0.196 -0.342  0.303 -0.200  0.303 -0.014  0.303 0.172  0.303 0.358  0.303 0.544  0.303 0.731  0.303 0.917  0.303 1.103  0.303 1.289  0.303 1.476  0.303 1.662  0.366 1.785  0.459 1.691  0.459 1.505  0.459 1.319  0.327 1.187  0.303 1.011  0.303 0.825  0.303 0.638  0.303 0.452  0.303 0.266  0.303 0.080  0.303 -0.107  0.303 -0.293  0.303 -0.479  0.341 -0.659  0.400 -0.836  0.459 -1.012
2#apa#apa04#app0471/.  1.249 1.336  1.249 1.129  1.249 0.921  1.249 0.714  1.249 0.506  1.249 0.299  1.249 0.091  1.249 -0.116  1.042 -0.116  0.834 -0.116  0.627 -0.116  0.419 -0.116  0.212 -0.116  0.004 -0.116  -0.203 -0.116  -0.411 -0.116  -0.618 -0.116  -0.826 -0.116  -1.033 -0.116  -1.241 -0.116  -1.448 -0.116  -1.656 -0.116  -1.448 -0.116  -1.241 -0.116  -1.033 -0.116  -0.826 -0.116  -0.618 -0.116  -0.411 -0.116  -0.203 -0.116  0.004 -0.116  0.212 -0.116  0.419 -0.116  0.627 -0.116  0.834 -0.116  1.042 -0.116  1.249 -0.116  1.042 -0.116  0.834 -0.116  0.627 -0.116  0.419 -0.116  0.212 -0.116  0.004 -0.116  -0.203 -0.116  -0.411 -0.116  -0.618 -0.116  -0.826 -0.116  -1.033 -0.116  -1.241 -0.116  -1.448 -0.116  -1.656 -0.116
2#apa#apa04#app0471/H  -0.280 1.687  -0.172 1.481  -0.232 1.245  -0.280 1.006  -0.361 0.774  -0.387 0.530  -0.459 0.291  -0.494 0.047  -0.549 -0.195  -0.629 -0.432  -0.708 -0.670  -0.816 -0.895  -0.883 -1.130  -0.923 -1.370  -0.834 -1.532  -0.709 -1.325  -0.594 -1.103  -0.479 -0.881  -0.364 -0.658  -0.249 -0.436  -0.134 -0.213  -0.019 0.009  0.096 0.232  0.211 0.454  0.326 0.677  0.441 0.899  0.556 1.122  0.671 1.344  0.786 1.566  0.793 1.345  0.686 1.139  0.686 0.889  0.686 0.638  0.633 0.400  0.579 0.163  0.579 -0.088  0.579 -0.338  0.579 -0.589  0.579 -0.839  0.579 -1.090  0.393 -0.954  0.198 -0.798  0.002 -0.641  -0.193 -0.485  -0.389 -0.328  -0.379 -0.244  -0.128 -0.244  0.099 -0.187  0.328 -0.137  0.579 -0.137
2#apa#apa04#app0471/e  -1.051 0.070  -0.881 0.070  -0.712 0.070  -0.651 0.179  -0.573 0.270  -0.403 0.270  -0.234 0.270  -0.065 0.270  0.059 0.381  0.191 0.470  0.361 0.470  0.530 0.470  0.699 0.470  0.747 0.591  0.838 0.669  0.947 0.730  0.916 0.869  0.747 0.869  0.578 0.869  0.408 0.869  0.239 0.869  0.069 0.869  -0.100 0.869  -0.264 0.857  -0.384 0.737  -0.504 0.617  -0.623 0.497  -0.743 0.378  -0.863 0.258  -0.983 0.138  -1.051 -0.003  -1.051 -0.173  -1.042 -0.338  -0.922 -0.458  -0.802 -0.578  -0.682 -0.698  -0.526 -0.729  -0.356 -0.729  -0.194 -0.758  -0.042 -0.833  0.109 -0.909  0.274 -0.929  0.443 -0.929  0.613 -0.929  0.782 -0.929  0.950 -0.932  1.070 -1.051  1.207 -1.128  1.377 -1.128  1.546 -1.128
2#apa#apa04#app0471/h  0.093 2.032  0.093 1.905  0.089 1.779  0.032 1.666  -0.024 1.552  -0.029 1.426  -0.083 1.312  -0.140 1.198  -0.152 1.074  -0.152 0.947  -0.186 0.826  -0.227 0.706  -0.267 0.585  -0.274 0.459  -0.274 0.332  -0.274 0.206  -0.274 0.079  -0.329 -0.035  -0.385 -0.149  -0.396 -0.273  -0.444 -0.389  -0.501 -0.502  -0.519 -0.625  -0.519 -0.752  -0.519 -0.879  -0.519 -1.006  -0.519 -1.133  -0.519 -1.260  -0.404 -1.272  -0.312 -1.188  -0.201 -1.150  -0.152 -1.072  -0.093 -0.969  -0.029 -0.869  -0.000 -0.754  0.089 -0.664  0.179 -0.574  0.269 -0.484  0.351 -0.389  0.408 -0.276  0.460 -0.161  0.470 -0.038  0.560 0.051  0.678 0.074  0.805 0.074  0.827 -0.030  0.827 -0.157  0.827 -0.284  0.827 -0.411  0.827 -0.538
2#apa#apa04#app0471/o  -1.049 0.697  -1.049 0.553  -1.091 0.450  -1.236 0.450  -1.296 0.367  -1.296 0.222  -1.207 0.115  -1.105 0.013  -1.049 -0.109  -1.049 -0.253  -0.974 -0.366  -0.871 -0.468  -0.756 -0.537  -0.611 -0.537  -0.467 -0.537  -0.323 -0.537  -0.309 -0.668  -0.281 -0.784  -0.136 -0.784  0.008 -0.784  0.152 -0.784  0.297 -0.784  0.441 -0.784  0.586 -0.784  0.715 -0.748  0.817 -0.645  0.919 -0.543  1.061 -0.537  1.172 -0.504  1.172 -0.360  1.172 -0.215  1.172 -0.071  1.056 -0.043  0.926 -0.029  0.926 0.115  0.926 0.260  0.926 0.404  0.828 0.450  0.683 0.450  0.580 0.549  0.478 0.651  0.352 0.697  0.208 0.697  0.064 0.697  -0.062 0.716  -0.062 0.860  -0.123 0.944  -0.267 0.944  -0.411 0.944  -0.556 0.944
2#apa#apa04#app0471/p  -0.226 0.460  -0.226 0.290  -0.226 0.120  -0.303 -0.018  -0.360 -0.164  -0.449 -0.298  -0.494 -0.449  -0.498 -0.618  -0.574 -0.770  -0.627 -0.927  -0.627 -1.097  -0.627 -1.267  -0.627 -1.437  -0.627 -1.607  -0.627 -1.584  -0.627 -1.414  -0.603 -1.254  -0.494 -1.129  -0.494 -0.959  -0.494 -0.790  -0.494 -0.620  -0.380 -0.497  -0.315 -0.342  -0.262 -0.181  -0.200 -0.023  -0.124 0.129  -0.092 0.291  -0.092 0.461  -0.016 0.613  0.071 0.757  0.191 0.877  0.309 0.998  0.348 1.129  0.496 1.182  0.633 1.262  0.803 1.262  0.935 1.171  1.087 1.129  1.111 0.983  1.111 0.813  1.052 0.668  0.912 0.594  0.844 0.492  0.721 0.398  0.568 0.326  0.398 0.326  0.252 0.269  0.114 0.192  -0.056 0.192  -0.092 0.059
2#apa#apa04#app0471/e  -0.587 -0.135  -0.424 -0.135  -0.262 -0.135  -0.099 -0.135  0.064 -0.135  0.227 -0.135  0.381 -0.099  0.527 -0.027  0.672 0.046  0.825 0.090  0.986 0.092  1.101 0.207  1.208 0.326  1.208 0.489  1.208 0.652  1.171 0.799  1.056 0.914  0.924 0.987  0.761 0.987  0.598 0.987  0.435 0.987  0.273 0.987  0.110 0.987  0.086 0.848  0.009 0.763  -0.149 0.752  -0.265 0.637  -0.387 0.538  -0.549 0.538  -0.587 0.413  -0.644 0.286  -0.789 0.213  -0.935 0.140  -1.036 0.040  -1.036 -0.123  -1.036 -0.286  -1.036 -0.449  -1.008 -0.583  -0.845 -0.583  -0.812 -0.712  -0.764 -0.855  -0.649 -0.971  -0.512 -1.032  -0.349 -1.032  -0.186 -1.032  -0.057 -1.114  0.058 -1.229  0.209 -1.257  0.372 -1.257  0.535 -1.257
2#apa#apa04#app0471/d  0.031 -0.563  -0.085 -0.504  -0.201 -0.447  -0.359 -0.488  -0.502 -0.563  -0.666 -0.574  -0.735 -0.679  -0.872 -0.769  -0.898 -0.933  -0.898 -1.107  -0.767 -1.159  -0.634 -1.260  -0.459 -1.260  -0.328 -1.155  -0.171 -1.114  -0.032 -1.028  0.142 -1.028  0.185 -0.874  0.264 -0.732  0.264 -0.557  0.264 -0.383  0.264 -0.208  0.264 -0.034  0.264 0.141  0.264 0.315  0.264 0.490  0.264 0.664  0.264 0.839  0.264 1.013  0.264 1.188  0.264 1.362  0.264 1.537  0.264 1.711  0.264 1.869  0.264 1.694  0.264 1.520  0.264 1.345  0.264 1.171  0.250 0.998  0.216 0.827  0.182 0.656  0.148 0.484  0.147 0.310  0.147 0.136  0.147 -0.039  0.147 -0.213  0.147 -0.388  0.147 -0.562  0.147 -0.737  0.147 -0.911
2#apa#apa04#app0471/h  0.502 1.703  0.576 1.703  0.402 1.703  0.252 1.678  0.200 1.526  0.076 1.402  -0.028 1.266  -0.106 1.110  -0.121 0.939  -0.151 0.772  -0.229 0.616  -0.307 0.460  -0.371 0.300  -0.390 0.129  -0.433 -0.041  -0.475 -0.210  -0.560 -0.355  -0.620 -0.504  -0.620 -0.679  -0.665 -0.834  -0.744 -0.976  -0.744 -1.150  -0.707 -1.287  -0.533 -1.287  -0.495 -1.150  -0.433 -1.038  -0.371 -0.926  -0.371 -0.752  -0.332 -0.587  -0.254 -0.431  -0.135 -0.304  -0.121 -0.136  -0.077 0.025  0.020 0.170  0.117 0.315  0.157 0.457  0.252 0.536  0.377 0.577  0.415 0.419  0.502 0.280  0.604 0.208  0.626 0.056  0.626 -0.118  0.626 -0.293  0.626 -0.467  0.626 -0.641  0.626 -0.816  0.680 -0.968  0.751 -1.113  0.751 -1.287
2#apa#apa04#app0471/e  -0.693 0.242  -0.693 0.083  -0.557 0.060  -0.398 0.060  -0.239 0.060  -0.087 0.089  0.055 0.161  0.198 0.232  0.354 0.242  0.513 0.242  0.672 0.242  0.812 0.289  0.924 0.402  1.074 0.424  1.233 0.424  1.311 0.505  1.311 0.664  1.275 0.788  1.116 0.788  0.957 0.788  0.798 0.788  0.639 0.788  0.480 0.788  0.321 0.788  0.162 0.788  0.012 0.765  -0.100 0.653  -0.240 0.606  -0.378 0.557  -0.491 0.444  -0.603 0.332  -0.716 0.219  -0.828 0.107  -0.941 -0.006  -1.053 -0.118  -1.057 -0.276  -1.057 -0.435  -1.057 -0.594  -0.998 -0.728  -0.886 -0.841  -0.773 -0.953  -0.647 -1.033  -0.491 -1.044  -0.348 -1.115  -0.206 -1.186  -0.054 -1.216  0.105 -1.216  0.264 -1.216  0.423 -1.216  0.582 -1.216
2#apa#apa04#app0471/c  1.199 0.774  1.136 0.837  1.074 0.899  1.011 0.962  0.934 0.990  0.846 0.990  0.757 0.990  0.668 0.990  0.580 0.990  0.491 0.990  0.402 0.990  0.319 0.976  0.257 0.914  0.194 0.851  0.131 0.788  0.049 0.774  -0.040 0.774  -0.099 0.745  -0.099 0.656  -0.099 0.568  -0.155 0.502  -0.218 0.439  -0.280 0.377  -0.316 0.303  -0.316 0.214  -0.316 0.125  -0.316 0.037  -0.316 -0.052  -0.350 -0.126  -0.413 -0.189  -0.476 -0.252  -0.532 -0.317  -0.532 -0.406  -0.532 -0.494  -0.532 -0.583  -0.532 -0.672  -0.519 -0.755  -0.456 -0.817  -0.393 -0.880  -0.331 -0.943  -0.316 -1.025  -0.316 -1.114  -0.316 -1.202  -0.316 -1.291  -0.316 -1.380  -0.238 -1.390  -0.149 -1.390  -0.060 -1.390  0.028 -1.390  0.117 -1.390
2#apa#apa04#app0471/o  -0.049 0.180  -0.203 0.180  -0.357 0.180  -0.511 0.180  -0.665 0.180  -0.820 0.180  -0.974 0.180  -1.111 0.163  -1.111 0.009  -1.111 -0.145  -1.073 -0.284  -0.964 -0.393  -0.837 -0.458  -0.684 -0.460  -0.575 -0.570  -0.462 -0.670  -0.308 -0.670  -0.165 -0.718  -0.027 -0.787  0.111 -0.856  0.259 -0.883  0.413 -0.883  0.567 -0.883  0.721 -0.883  0.876 -0.883  1.025 -0.872  1.134 -0.763  1.227 -0.647  1.227 -0.493  1.227 -0.339  1.184 -0.202  1.075 -0.093  1.014 0.036  1.004 0.180  0.850 0.180  0.727 0.255  0.618 0.364  0.508 0.473  0.399 0.582  0.290 0.691  0.181 0.800  0.034 0.818  -0.099 0.868  -0.208 0.977  -0.340 1.030  -0.495 1.030  -0.649 1.030  -0.803 1.030  -0.957 1.030  -1.111 1.030
2#apa#apa04#app0471/u  -0.501 0.960  -0.501 0.844  -0.545 0.773  -0.661 0.773  -0.776 0.773  -0.891 0.773  -1.007 0.773  -1.062 0.713  -1.062 0.597  -1.062 0.482  -1.062 0.366  -1.062 0.251  -1.062 0.135  -1.058 0.024  -0.943 0.024  -0.875 -0.024  -0.875 -0.139  -0.810 -0.228  -0.729 -0.309  -0.630 -0.350  -0.514 -0.350  -0.429 -0.422  -0.347 -0.504  -0.266 -0.585  -0.184 -0.667  -0.092 -0.724  0.023 -0.724  0.139 -0.724  0.254 -0.724  0.370 -0.724  0.485 -0.724  0.601 -0.724  0.716 -0.724  0.808 -0.701  0.808 -0.585  0.875 -0.537  0.991 -0.537  0.995 -0.426  0.995 -0.310  0.995 -0.195  0.995 -0.079  0.995 0.036  0.995 0.151  0.995 0.267  0.995 0.382  0.995 0.498  0.995 0.613  0.995 0.729  0.995 0.844  0.995 0.960
2#apa#apa04#app0471/l  0.208 1.691  0.208 1.620  0.208 1.549  0.208 1.478  0.208 1.407  0.208 1.336  0.208 1.265  0.208 1.194  0.196 1.126  0.164 1.063  0.132 0.999  0.101 0.936  0.073 0.871  0.073 0.800  0.073 0.729  0.073 0.658  0.073 0.587  0.073 0.516  0.073 0.445  0.073 0.374  0.073 0.303  0.073 0.232  0.063 0.163  0.045 0.094  0.028 0.025  0.011 -0.044  -0.006 -0.113  -0.024 -0.182  -0.041 -0.251  -0.058 -0.320  -0.061 -0.390  -0.061 -0.461  -0.061 -0.532  -0.061 -0.603  -0.061 -0.674  -0.066 -0.743  -0.116 -0.793  -0.167 -0.843  -0.196 -0.902  -0.196 -0.973  -0.196 -1.044  -0.196 -1.115  -0.196 -1.186  -0.196 -1.257  -0.196 -1.328  -0.196 -1.399  -0.196 -1.470  -0.196 -1.541  -0.196 -1.612  -0.196 -1.683
2#apa#apa04#app0471/d  -0.129 -0.494  -0.014 -0.424  -0.040 -0.265  -0.224 -0.265  -0.409 -0.265  -0.594 -0.265  -0.757 -0.319  -0.887 -0.450  -1.046 -0.502  -1.046 -0.686  -1.046 -0.871  -1.046 -1.056  -0.920 -1.182  -0.736 -1.182  -0.551 -1.182  -0.366 -1.182  -0.199 -1.138  -0.068 -1.007  0.062 -0.877  0.193 -0.746  0.216 -0.570  0.216 -0.386  0.216 -0.201  0.224 -0.018  0.307 0.147  0.330 0.327  0.330 0.512  0.330 0.697  0.381 0.869  0.445 1.039  0.445 1.224  0.527 1.390  0.560 1.567  0.560 1.752  0.544 1.670  0.445 1.526  0.364 1.375  0.330 1.204  0.330 1.019  0.319 0.836  0.274 0.656  0.229 0.477  0.216 0.294  0.216 0.109  0.216 -0.076  0.216 -0.261  0.216 -0.446  0.216 -0.631  0.281 -0.789  0.330 -0.953
2#apa#apa04#app0471/n  -0.455 0.821  -0.326 0.693  -0.272 0.533  -0.346 0.382  -0.455 0.245  -0.455 0.064  -0.473 -0.110  -0.602 -0.239  -0.637 -0.406  -0.769 -0.457  -0.820 -0.587  -0.820 -0.769  -0.820 -0.951  -0.820 -1.133  -0.820 -1.314  -0.947 -1.369  -0.913 -1.280  -0.820 -1.137  -0.785 -0.969  -0.656 -0.841  -0.528 -0.712  -0.455 -0.561  -0.377 -0.457  -0.218 -0.402  -0.089 -0.274  -0.089 -0.092  -0.089 0.090  0.038 0.219  0.167 0.347  0.276 0.484  0.295 0.658  0.423 0.787  0.552 0.915  0.681 1.044  0.809 1.172  0.823 1.348  0.984 1.369  1.006 1.209  1.006 1.027  0.894 0.892  0.823 0.739  0.823 0.557  0.766 0.399  0.641 0.269  0.641 0.087  0.641 -0.094  0.641 -0.276  0.641 -0.458  0.641 -0.640  0.641 -0.822
