2#apa#apa13#app1344/A  0.233 1.781  0.218 1.685  0.150 1.449  0.086 1.192  -0.016 0.949  -0.080 0.693  -0.210 0.465  -0.313 0.224  -0.383 -0.031  -0.456 -0.285  -0.539 -0.536  -0.640 -0.779  -0.731 -1.028  -0.744 -1.290  -0.726 -1.400  -0.663 -1.143  -0.601 -0.886  -0.538 -0.629  -0.476 -0.372  -0.413 -0.115  -0.351 0.142  -0.288 0.399  -0.226 0.656  -0.163 0.913  -0.101 1.169  -0.038 1.426  0.070 1.606  0.133 1.392  0.151 1.135  0.151 0.870  0.238 0.626  0.319 0.374  0.371 0.115  0.457 -0.133  0.575 -0.369  0.657 -0.614  0.806 -0.828  0.953 -1.044  1.014 -1.208  0.798 -1.056  0.582 -0.903  0.366 -0.751  0.150 -0.598  -0.066 -0.446  -0.282 -0.293  -0.256 -0.371  -0.120 -0.499  0.063 -0.580  0.324 -0.571  0.558 -0.499
2#apa#apa13#app1344/c  0.118 0.976  0.118 0.846  0.181 0.743  0.203 0.623  0.203 0.494  0.203 0.364  0.248 0.254  0.287 0.289  0.287 0.418  0.287 0.547  0.287 0.677  0.287 0.806  0.287 0.935  0.238 1.049  0.166 1.157  0.076 1.229  -0.054 1.229  -0.169 1.196  -0.260 1.104  -0.334 1.000  -0.392 0.885  -0.450 0.769  -0.498 0.649  -0.539 0.527  -0.579 0.404  -0.620 0.281  -0.643 0.156  -0.643 0.026  -0.643 -0.103  -0.643 -0.232  -0.643 -0.361  -0.643 -0.491  -0.643 -0.620  -0.627 -0.746  -0.569 -0.861  -0.465 -0.930  -0.345 -0.969  -0.216 -0.970  -0.101 -1.028  0.023 -1.053  0.150 -1.064  0.273 -1.105  0.397 -1.138  0.526 -1.138  0.655 -1.138  0.785 -1.138  0.914 -1.138  1.043 -1.138  1.172 -1.138  1.302 -1.138
2#apa#apa13#app1344/q  0.141 1.050  0.141 1.207  0.123 1.358  -0.018 1.398  -0.175 1.398  -0.268 1.310  -0.366 1.197  -0.457 1.071  -0.528 0.930  -0.572 0.783  -0.613 0.636  -0.565 0.489  -0.419 0.470  -0.262 0.470  -0.130 0.538  0.001 0.621  0.113 0.732  0.224 0.843  0.315 0.963  0.207 0.942  0.136 0.814  0.046 0.687  -0.010 0.540  -0.033 0.387  -0.033 0.229  -0.082 0.083  -0.091 -0.072  -0.091 -0.229  -0.091 -0.387  -0.091 -0.544  -0.091 -0.702  -0.091 -0.859  -0.091 -1.017  -0.091 -1.174  -0.149 -1.308  -0.149 -1.465  -0.149 -1.622  -0.149 -1.686  -0.046 -1.571  -0.022 -1.421  0.061 -1.290  0.155 -1.168  0.209 -1.021  0.297 -0.890  0.384 -0.759  0.464 -0.623  0.560 -0.501  0.672 -0.390  0.783 -0.279  0.894 -0.167
2#apa#apa13#app1344/u  -1.394 0.661  -1.310 0.737  -1.310 0.609  -1.310 0.481  -1.310 0.354  -1.310 0.226  -1.310 0.098  -1.297 -0.024  -1.226 -0.122  -1.226 -0.250  -1.146 -0.344  -1.055 -0.435  -0.965 -0.525  -0.875 -0.615  -0.776 -0.685  -0.649 -0.685  -0.521 -0.685  -0.393 -0.685  -0.266 -0.685  -0.146 -0.650  -0.035 -0.589  0.060 -0.505  0.174 -0.448  0.271 -0.367  0.380 -0.303  0.480 -0.230  0.551 -0.124  0.622 -0.018  0.710 0.074  0.710 0.202  0.773 0.303  0.794 0.422  0.794 0.550  0.782 0.673  0.710 0.770  0.710 0.898  0.626 0.885  0.626 0.758  0.626 0.630  0.626 0.503  0.626 0.375  0.626 0.247  0.642 0.123  0.699 0.009  0.783 -0.086  0.873 -0.176  0.964 -0.265  1.085 -0.306  1.206 -0.346  1.299 -0.433
2#apa#apa13#app1344/i  0.017 0.425  0.017 0.308  0.017 0.191  0.017 0.074  0.017 -0.044  0.056 -0.152  0.108 -0.257  0.142 -0.366  0.142 -0.484  0.142 -0.601  0.142 -0.718  0.142 -0.835  0.145 -0.952  0.228 -1.035  0.267 -1.136  0.305 -1.237  0.388 -1.320  0.471 -1.403  0.500 -1.400  0.462 -1.289  0.423 -1.178  0.385 -1.068  0.347 -0.957  0.308 -0.846  0.270 -0.735  0.232 -0.624  0.193 -0.513  0.155 -0.402  0.116 -0.292  0.078 -0.181  0.040 -0.070  0.001 0.041  -0.037 0.152  -0.075 0.263  -0.114 0.374  -0.152 0.485  -0.191 0.595  -0.229 0.706  -0.267 0.817  -0.306 0.928  -0.344 1.039  -0.382 1.150  -0.421 1.261  -0.459 1.371  -0.498 1.482  -0.536 1.593  -0.574 1.704  -0.608 1.785  -0.600 1.675  -0.483 1.675
2#apa#apa13#app1344/r  -0.741 0.508  -0.741 0.373  -0.741 0.239  -0.741 0.104  -0.741 -0.031  -0.741 -0.165  -0.710 -0.295  -0.668 -0.423  -0.625 -0.550  -0.616 -0.682  -0.521 -0.777  -0.505 -0.905  -0.414 -1.002  -0.319 -1.097  -0.224 -1.192  -0.120 -1.266  0.015 -1.266  0.086 -1.202  0.166 -1.147  0.204 -1.051  0.204 -0.917  0.113 -0.820  0.086 -0.696  0.006 -0.595  -0.032 -0.476  -0.086 -0.358  -0.160 -0.246  -0.235 -0.134  -0.302 -0.017  -0.362 0.103  -0.387 0.232  -0.387 0.367  -0.387 0.501  -0.268 0.518  -0.242 0.626  -0.120 0.656  -0.022 0.744  0.110 0.756  0.230 0.816  0.354 0.863  0.489 0.863  0.616 0.891  0.737 0.951  0.865 0.981  0.999 0.981  1.134 0.981  1.268 0.981  1.364 1.076  1.489 1.099  1.623 1.099
2#apa#apa13#app1344/e  -0.545 -0.231  -0.436 -0.337  -0.283 -0.337  -0.228 -0.240  -0.095 -0.204  0.014 -0.096  0.090 0.025  0.155 0.151  0.196 0.287  0.296 0.398  0.301 0.549  0.301 0.702  0.289 0.851  0.221 0.988  0.196 1.135  0.052 1.144  -0.101 1.144  -0.254 1.144  -0.385 1.092  -0.508 1.004  -0.644 0.936  -0.716 0.802  -0.800 0.677  -0.908 0.569  -0.968 0.441  -0.968 0.288  -0.968 0.135  -0.968 -0.018  -0.968 -0.170  -0.968 -0.323  -0.870 -0.435  -0.762 -0.543  -0.627 -0.614  -0.483 -0.655  -0.342 -0.703  -0.203 -0.760  -0.050 -0.760  0.103 -0.760  0.256 -0.760  0.409 -0.760  0.556 -0.739  0.693 -0.670  0.840 -0.632  0.990 -0.602  1.140 -0.572  1.290 -0.549  1.443 -0.549  1.592 -0.517  1.740 -0.480  1.888 -0.443
2#apa#apa13#app1344/2  -0.824 0.976  -0.720 1.008  -0.637 1.092  -0.535 1.145  -0.423 1.182  -0.308 1.198  -0.203 1.251  -0.089 1.264  0.029 1.264  0.147 1.264  0.241 1.207  0.342 1.149  0.438 1.083  0.503 0.986  0.562 0.886  0.616 0.790  0.616 0.673  0.616 0.555  0.616 0.437  0.580 0.328  0.518 0.229  0.448 0.136  0.391 0.035  0.286 -0.017  0.218 -0.108  0.148 -0.195  0.042 -0.247  -0.042 -0.330  -0.125 -0.413  -0.217 -0.485  -0.322 -0.538  -0.420 -0.603  -0.518 -0.668  -0.625 -0.697  -0.708 -0.781  -0.752 -0.880  -0.732 -0.989  -0.636 -1.041  -0.518 -1.041  -0.400 -1.041  -0.282 -1.041  -0.165 -1.041  -0.047 -1.041  0.071 -1.041  0.188 -1.039  0.293 -0.986  0.407 -0.969  0.525 -0.969  0.643 -0.969  0.760 -0.969
2#apa#apa13#app1344/%  1.091 1.027  1.070 0.873  0.927 0.715  0.729 0.587  0.560 0.418  0.391 0.250  0.222 0.081  0.054 -0.088  -0.115 -0.256  -0.257 -0.444  -0.408 -0.626  -0.555 -0.810  -0.701 -0.995  -0.824 -1.183  -0.811 -1.124  -0.790 -0.886  -0.769 -0.648  -0.748 -0.411  -0.727 -0.173  -0.706 0.065  -0.685 0.302  -0.664 0.540  -0.643 0.778  -0.623 1.015  -0.602 1.253  -0.671 1.252  -0.671 1.013  -0.601 0.804  -0.429 0.644  -0.190 0.644  -0.058 0.750  -0.058 0.988  -0.206 1.089  -0.125 0.865  -0.043 0.640  0.039 0.416  0.120 0.192  0.202 -0.032  0.283 -0.257  0.365 -0.481  0.364 -0.697  0.248 -0.888  0.325 -1.050  0.495 -1.119  0.733 -1.119  0.968 -1.104  1.163 -0.971  1.245 -0.766  1.152 -0.566  0.938 -0.506
2#apa#apa13#app1344/M  -0.694 0.802  -0.610 0.553  -0.694 0.254  -0.745 -0.072  -0.777 -0.402  -0.777 -0.735  -0.777 -1.068  -0.777 -1.401  -0.700 -1.702  -0.713 -1.386  -0.732 -1.053  -0.752 -0.721  -0.771 -0.388  -0.791 -0.055  -0.810 0.277  -0.830 0.610  -0.850 0.942  -0.753 1.089  -0.573 0.813  -0.394 0.537  -0.178 0.287  0.080 0.182  0.382 0.323  0.683 0.465  0.984 0.607  1.286 0.749  1.191 0.802  0.894 0.716  0.629 0.551  0.349 0.422  0.114 0.187  -0.126 -0.044  -0.349 -0.267  -0.443 -0.563  -0.282 -0.628  -0.008 -0.445  0.217 -0.223  0.449 -0.009  0.598 0.278  0.679 0.601  0.760 0.925  0.792 1.032  0.729 0.725  0.646 0.411  0.621 0.084  0.562 -0.235  0.576 -0.565  0.655 -0.876  0.883 -1.095  1.148 -1.290
2#apa#apa13#app1344/I  0.393 1.506  0.452 1.367  0.393 1.150  0.393 0.920  0.308 0.710  0.308 0.479  0.308 0.249  0.308 0.019  0.308 -0.212  0.153 -0.320  -0.071 -0.373  -0.295 -0.426  -0.519 -0.480  -0.743 -0.533  -0.967 -0.586  -1.191 -0.640  -1.415 -0.693  -1.316 -0.709  -1.121 -0.794  -0.891 -0.794  -0.661 -0.794  -0.430 -0.794  -0.200 -0.794  0.030 -0.794  0.261 -0.794  0.491 -0.794  0.721 -0.794  0.951 -0.794  1.182 -0.794  1.394 -0.719  1.238 -0.601  1.041 -0.482  0.845 -0.362  0.648 -0.242  0.451 -0.123  0.254 -0.003  0.057 0.116  -0.140 0.236  -0.337 0.355  -0.534 0.475  -0.730 0.594  -0.927 0.714  -0.823 0.824  -0.593 0.824  -0.397 0.909  -0.167 0.909  0.063 0.909  0.277 0.979  0.504 0.995  0.734 0.995
