2#apa#apa13#app1357/0  0.126 1.137  -0.014 1.137  -0.154 1.137  -0.260 1.103  -0.338 1.040  -0.381 0.944  -0.453 0.876  -0.532 0.768  -0.601 0.648  -0.646 0.518  -0.646 0.378  -0.703 0.252  -0.743 0.121  -0.743 -0.019  -0.772 -0.147  -0.839 -0.259  -0.839 -0.399  -0.839 -0.539  -0.783 -0.656  -0.743 -0.779  -0.743 -0.919  -0.691 -1.038  -0.570 -1.083  -0.430 -1.083  -0.290 -1.083  -0.150 -1.083  -0.010 -1.083  0.130 -1.081  0.255 -1.018  0.368 -0.938  0.480 -0.858  0.605 -0.795  0.705 -0.697  0.804 -0.598  0.901 -0.498  0.964 -0.372  0.995 -0.240  0.995 -0.099  0.995 0.041  0.991 0.180  0.928 0.305  0.846 0.416  0.747 0.515  0.648 0.614  0.534 0.692  0.410 0.756  0.309 0.852  0.183 0.915  0.058 0.978  -0.067 1.040
2#apa#apa13#app1357/1  0.264 1.378  0.264 1.159  0.264 0.940  0.264 0.720  0.172 0.539  0.172 0.320  0.172 0.100  0.081 -0.098  0.079 -0.317  0.079 -0.536  0.079 -0.756  0.084 -0.893  0.112 -0.676  0.139 -0.458  0.166 -0.240  0.193 -0.023  0.221 0.195  0.248 0.413  0.275 0.631  0.302 0.848  0.329 1.066  0.357 1.284  0.426 1.401  0.236 1.471  0.109 1.378  -0.055 1.244  -0.210 1.089  -0.304 0.916  -0.424 0.782  -0.488 0.572  -0.552 0.362  -0.616 0.152  -0.679 -0.058  -0.743 -0.267  -0.807 -0.477  -0.871 -0.687  -0.935 -0.897  -0.999 -1.107  -0.921 -1.212  -0.716 -1.175  -0.520 -1.119  -0.301 -1.119  -0.092 -1.053  0.109 -0.966  0.321 -0.934  0.521 -0.852  0.727 -0.795  0.936 -0.749  1.155 -0.749  1.374 -0.749
2#apa#apa13#app1357/  0.782 1.033  0.856 1.033  0.917 1.064  0.969 1.117  0.955 1.103  0.903 1.050  0.885 0.984  0.871 0.915  0.819 0.863  0.760 0.826  0.686 0.826  0.649 0.766  0.616 0.700  0.583 0.634  0.534 0.578  0.482 0.526  0.418 0.489  0.352 0.456  0.286 0.423  0.229 0.377  0.177 0.324  0.124 0.272  0.072 0.220  0.034 0.157  0.001 0.090  -0.032 0.024  -0.077 -0.033  -0.130 -0.086  -0.182 -0.138  -0.234 -0.190  -0.274 -0.252  -0.307 -0.319  -0.340 -0.385  -0.379 -0.447  -0.424 -0.506  -0.468 -0.565  -0.513 -0.625  -0.557 -0.684  -0.602 -0.743  -0.646 -0.802  -0.684 -0.866  -0.717 -0.932  -0.750 -0.998  -0.799 -1.049  -0.865 -1.082  -0.932 -1.115  -0.974 -1.163  -0.974 -1.237  -1.024 -1.290  -1.077 -1.342
2#apa#apa13#app1357/2  -0.876 1.006  -0.784 1.029  -0.739 1.099  -0.624 1.099  -0.509 1.099  -0.426 1.178  -0.317 1.191  -0.202 1.191  -0.087 1.191  0.029 1.191  0.144 1.191  0.252 1.174  0.333 1.093  0.414 1.012  0.420 0.899  0.420 0.784  0.393 0.675  0.342 0.572  0.269 0.485  0.205 0.391  0.153 0.288  0.078 0.202  0.016 0.106  -0.035 0.003  -0.102 -0.090  -0.171 -0.182  -0.240 -0.275  -0.309 -0.367  -0.388 -0.450  -0.469 -0.531  -0.551 -0.613  -0.599 -0.708  -0.599 -0.823  -0.599 -0.938  -0.517 -1.020  -0.407 -1.031  -0.292 -1.031  -0.177 -1.031  -0.062 -1.031  0.053 -1.029  0.156 -0.978  0.262 -0.938  0.377 -0.938  0.492 -0.938  0.607 -0.937  0.710 -0.886  0.815 -0.846  0.930 -0.846  1.046 -0.846  1.161 -0.846
2#apa#apa13#app1357/3  -0.837 1.007  -0.736 1.059  -0.662 1.181  -0.521 1.207  -0.388 1.255  -0.257 1.307  -0.105 1.307  0.048 1.307  0.190 1.282  0.265 1.161  0.265 1.008  0.265 0.855  0.192 0.733  0.084 0.625  -0.048 0.550  -0.174 0.468  -0.294 0.377  -0.430 0.309  -0.540 0.203  -0.652 0.106  -0.688 0.058  -0.557 0.006  -0.405 0.006  -0.252 0.006  -0.100 0.006  0.048 -0.022  0.193 -0.071  0.341 -0.095  0.491 -0.107  0.627 -0.176  0.743 -0.272  0.880 -0.310  0.997 -0.395  1.066 -0.479  1.066 -0.632  1.003 -0.758  0.866 -0.796  0.719 -0.819  0.583 -0.887  0.432 -0.896  0.289 -0.934  0.151 -0.996  -0.002 -0.996  -0.148 -1.033  -0.293 -1.082  -0.443 -1.096  -0.596 -1.096  -0.747 -1.100  -0.892 -1.148  -1.037 -1.196
2#apa#apa13#app1357/  0.694 1.114  0.768 1.114  0.826 1.151  0.878 1.203  0.839 1.163  0.786 1.114  0.712 1.114  0.694 1.058  0.664 1.004  0.598 0.971  0.533 0.938  0.486 0.886  0.453 0.821  0.420 0.755  0.374 0.698  0.322 0.646  0.286 0.583  0.253 0.517  0.220 0.451  0.188 0.385  0.155 0.320  0.121 0.254  0.077 0.196  0.033 0.137  -0.011 0.078  -0.055 0.019  -0.100 -0.040  -0.144 -0.099  -0.175 -0.164  -0.199 -0.234  -0.222 -0.303  -0.245 -0.373  -0.273 -0.441  -0.306 -0.507  -0.339 -0.572  -0.384 -0.630  -0.436 -0.682  -0.488 -0.734  -0.540 -0.786  -0.573 -0.851  -0.606 -0.917  -0.637 -0.983  -0.637 -1.056  -0.662 -1.124  -0.695 -1.190  -0.728 -1.255  -0.732 -1.328  -0.732 -1.401  -0.732 -1.475  -0.732 -1.549
2#apa#apa13#app1357/4  -1.216 0.794  -1.249 0.648  -1.330 0.522  -1.420 0.452  -1.445 0.316  -1.445 0.156  -1.445 -0.004  -1.413 -0.151  -1.288 -0.233  -1.128 -0.233  -1.007 -0.328  -0.855 -0.348  -0.695 -0.348  -0.535 -0.348  -0.375 -0.348  -0.216 -0.348  -0.056 -0.348  0.104 -0.348  0.264 -0.348  0.424 -0.348  0.584 -0.348  0.721 -0.329  0.687 -0.172  0.654 -0.016  0.620 0.140  0.587 0.297  0.553 0.453  0.520 0.609  0.486 0.766  0.453 0.922  0.419 1.078  0.386 1.235  0.382 1.108  0.382 0.948  0.382 0.788  0.382 0.628  0.451 0.497  0.496 0.355  0.496 0.195  0.496 0.036  0.496 -0.124  0.496 -0.284  0.496 -0.444  0.560 -0.589  0.611 -0.737  0.611 -0.897  0.628 -1.050  0.725 -1.170  0.725 -1.329  0.839 -1.375
2#apa#apa13#app1357/5  -0.275 0.775  -0.428 0.715  -0.592 0.682  -0.741 0.653  -0.855 0.588  -0.928 0.484  -0.860 0.334  -0.731 0.215  -0.554 0.214  -0.414 0.122  -0.247 0.094  -0.101 0.001  0.068 -0.055  0.202 -0.168  0.345 -0.252  0.472 -0.358  0.541 -0.507  0.566 -0.675  0.524 -0.812  0.458 -0.934  0.377 -1.092  0.199 -1.092  0.060 -1.185  -0.118 -1.185  -0.297 -1.185  -0.475 -1.185  -0.624 -1.116  -0.792 -1.092  -0.782 -0.967  -0.713 -0.803  -0.644 -0.639  -0.575 -0.475  -0.506 -0.311  -0.437 -0.147  -0.368 0.017  -0.299 0.181  -0.230 0.345  -0.160 0.510  -0.091 0.674  0.081 0.682  0.240 0.729  0.397 0.784  0.556 0.864  0.733 0.868  0.904 0.898  1.067 0.962  1.245 0.962  1.423 0.962  1.601 0.962  1.779 0.962
2#apa#apa13#app1357/`  -0.735 1.475  -0.735 1.401  -0.735 1.327  -0.735 1.253  -0.735 1.179  -0.735 1.105  -0.735 1.031  -0.727 0.961  -0.675 0.908  -0.623 0.856  -0.570 0.804  -0.518 0.751  -0.482 0.693  -0.482 0.619  -0.482 0.545  -0.482 0.471  -0.482 0.397  -0.482 0.323  -0.482 0.249  -0.458 0.185  -0.406 0.132  -0.353 0.080  -0.301 0.028  -0.249 -0.025  -0.196 -0.077  -0.144 -0.129  -0.092 -0.182  -0.039 -0.234  0.013 -0.286  0.065 -0.339  0.118 -0.391  0.170 -0.443  0.222 -0.496  0.274 -0.548  0.340 -0.582  0.406 -0.615  0.472 -0.649  0.538 -0.682  0.604 -0.715  0.670 -0.748  0.737 -0.781  0.799 -0.819  0.851 -0.871  0.904 -0.924  0.956 -0.976  1.008 -1.028  1.070 -1.058  1.144 -1.058  1.218 -1.058  1.292 -1.058
2#apa#apa13#app1357/i  0.207 0.215  0.207 0.107  0.207 -0.002  0.207 -0.110  0.190 -0.215  0.141 -0.312  0.093 -0.409  0.075 -0.513  0.075 -0.622  0.075 -0.730  0.075 -0.839  0.075 -0.947  0.075 -1.056  0.075 -1.165  0.075 -1.273  0.075 -1.382  0.075 -1.490  0.067 -1.401  0.059 -1.293  0.051 -1.185  0.042 -1.076  0.034 -0.968  0.026 -0.860  0.018 -0.752  0.009 -0.644  0.001 -0.535  -0.007 -0.427  -0.016 -0.319  -0.024 -0.211  -0.032 -0.103  -0.041 0.006  -0.049 0.114  -0.057 0.222  -0.066 0.330  -0.074 0.438  -0.082 0.547  -0.091 0.655  -0.099 0.763  -0.107 0.871  -0.116 0.979  -0.124 1.088  -0.132 1.196  -0.141 1.304  -0.149 1.412  -0.157 1.521  -0.166 1.629  -0.174 1.737  -0.182 1.845  -0.165 1.930  -0.057 1.930
2#apa#apa13#app1357/s  0.397 0.902  0.369 1.017  0.227 1.017  0.109 0.958  -0.009 0.902  -0.151 0.902  -0.294 0.902  -0.436 0.902  -0.561 0.861  -0.672 0.788  -0.814 0.788  -0.956 0.788  -1.092 0.781  -1.092 0.639  -1.030 0.559  -0.888 0.559  -0.746 0.559  -0.613 0.537  -0.509 0.444  -0.367 0.444  -0.225 0.444  -0.093 0.403  0.034 0.339  0.172 0.325  0.273 0.225  0.411 0.215  0.511 0.174  0.573 0.070  0.700 0.006  0.809 -0.082  0.909 -0.183  0.969 -0.300  0.969 -0.442  0.969 -0.584  0.969 -0.726  0.969 -0.868  0.889 -0.930  0.779 -1.006  0.652 -1.045  0.510 -1.045  0.368 -1.045  0.226 -1.045  0.084 -1.045  -0.058 -1.045  -0.200 -1.045  -0.342 -1.045  -0.484 -1.045  -0.626 -1.045  -0.729 -0.950  -0.863 -0.930
