2#apa#apa14#app1438/O  0.080 1.030  0.011 1.169  -0.058 1.307  -0.156 1.269  -0.266 1.160  -0.375 1.050  -0.484 0.941  -0.579 0.821  -0.648 0.683  -0.715 0.543  -0.752 0.393  -0.790 0.243  -0.828 0.093  -0.865 -0.057  -0.870 -0.211  -0.870 -0.366  -0.759 -0.451  -0.620 -0.521  -0.554 -0.634  -0.499 -0.766  -0.395 -0.878  -0.392 -1.031  -0.254 -1.100  -0.115 -1.169  0.035 -1.187  0.190 -1.187  0.345 -1.187  0.499 -1.187  0.625 -1.118  0.735 -1.008  0.844 -0.899  0.953 -0.789  1.030 -0.667  1.001 -0.524  0.891 -0.415  0.872 -0.268  0.872 -0.113  0.752 -0.079  0.714 0.038  0.634 0.159  0.525 0.269  0.415 0.378  0.282 0.454  0.143 0.523  0.080 0.639  0.080 0.794  0.003 0.872  -0.130 0.923  -0.240 1.030  -0.395 1.030
2#apa#apa14#app1438/N  -0.666 -1.045  -0.774 -0.937  -0.813 -0.799  -0.813 -0.646  -0.863 -0.504  -0.931 -0.367  -0.960 -0.221  -0.960 -0.067  -0.960 0.086  -0.960 0.239  -0.960 0.393  -0.960 0.546  -0.960 0.700  -0.960 0.853  -0.960 1.006  -0.856 0.910  -0.748 0.801  -0.666 0.682  -0.622 0.572  -0.519 0.522  -0.462 0.425  -0.327 0.381  -0.219 0.272  -0.111 0.164  -0.002 0.055  0.106 -0.053  0.215 -0.161  0.284 -0.298  0.353 -0.435  0.363 -0.586  0.499 -0.604  0.511 -0.746  0.615 -0.856  0.658 -0.992  0.757 -1.045  0.805 -0.939  0.805 -0.786  0.805 -0.632  0.805 -0.479  0.805 -0.326  0.805 -0.172  0.805 -0.019  0.852 0.127  0.901 0.272  0.949 0.418  0.998 0.563  1.046 0.709  1.095 0.854  1.099 1.007  1.099 1.160
2#apa#apa14#app1438/T  0.457 0.250  0.457 0.413  0.320 0.438  0.269 0.326  0.269 0.163  0.269 -0.000  0.269 -0.163  0.269 -0.326  0.269 -0.488  0.375 -0.607  0.457 -0.736  0.457 -0.899  0.457 -1.062  0.457 -1.225  0.347 -1.176  0.214 -1.083  0.081 -0.990  -0.053 -0.896  -0.186 -0.803  -0.319 -0.709  -0.453 -0.616  -0.586 -0.523  -0.720 -0.429  -0.853 -0.336  -0.986 -0.243  -1.120 -0.149  -1.253 -0.056  -1.386 0.037  -1.422 0.182  -1.355 0.317  -1.240 0.432  -1.080 0.438  -0.917 0.438  -0.754 0.438  -0.591 0.438  -0.444 0.476  -0.329 0.591  -0.181 0.626  -0.018 0.626  0.145 0.626  0.308 0.626  0.470 0.626  0.633 0.626  0.796 0.626  0.959 0.626  1.122 0.626  1.284 0.626  1.447 0.626  1.610 0.626  1.773 0.626
2#apa#apa14#app1438/H  -0.791 1.016  -0.791 1.299  -0.791 1.416  -0.791 1.133  -0.791 0.850  -0.725 0.577  -0.636 0.309  -0.550 0.040  -0.526 -0.238  -0.400 -0.491  -0.309 -0.753  -0.309 -1.036  -0.471 -1.157  -0.474 -0.967  -0.369 -0.705  -0.264 -0.442  -0.159 -0.179  -0.054 0.084  0.051 0.347  0.157 0.610  0.262 0.872  0.367 1.135  0.416 1.409  0.416 1.306  0.582 1.092  0.657 0.840  0.657 0.557  0.773 0.301  0.899 0.048  0.899 -0.235  0.899 -0.518  0.899 -0.801  0.899 -1.084  1.109 -1.157  0.899 -1.168  0.858 -1.364  0.644 -1.179  0.429 -0.995  0.214 -0.811  -0.001 -0.627  -0.216 -0.443  -0.431 -0.258  -0.646 -0.074  -0.883 0.050  -0.900 0.050  -0.668 0.174  -0.433 0.292  -0.150 0.292  0.133 0.292  0.416 0.292
2#apa#apa14#app1438/E  -0.537 0.384  -0.537 0.625  -0.537 0.640  -0.537 0.400  -0.537 0.159  -0.537 -0.081  -0.537 -0.322  -0.537 -0.562  -0.537 -0.803  -0.537 -1.043  -0.537 -1.264  -0.471 -1.090  -0.230 -1.090  0.010 -1.090  0.251 -1.090  0.491 -1.090  0.732 -1.090  0.972 -1.090  1.029 -1.090  0.807 -1.018  0.597 -0.901  0.387 -0.784  0.177 -0.667  -0.034 -0.550  -0.244 -0.434  -0.454 -0.317  -0.664 -0.200  -0.598 -0.044  -0.382 0.016  -0.141 0.016  0.075 0.075  0.245 0.155  0.428 0.016  0.568 0.116  0.425 0.262  0.204 0.356  -0.017 0.451  -0.238 0.546  -0.459 0.641  -0.680 0.735  -0.710 0.937  -0.473 0.959  -0.244 1.035  -0.016 1.111  0.201 1.214  0.420 1.306  0.660 1.306  0.901 1.306  1.081 1.450  1.305 1.490
2#apa#apa14#app1438/V  -1.023 0.536  -1.107 0.619  -1.183 0.700  -1.065 0.700  -0.989 0.632  -0.936 0.526  -0.884 0.421  -0.859 0.308  -0.847 0.195  -0.763 0.112  -0.680 0.029  -0.597 -0.055  -0.520 -0.143  -0.467 -0.249  -0.414 -0.354  -0.367 -0.461  -0.367 -0.579  -0.367 -0.697  -0.340 -0.803  -0.256 -0.887  -0.203 -0.983  -0.203 -1.101  -0.122 -1.185  -0.040 -1.266  -0.040 -1.148  0.012 -1.052  0.096 -0.968  0.159 -0.871  0.212 -0.765  0.265 -0.660  0.304 -0.549  0.333 -0.435  0.361 -0.320  0.390 -0.206  0.419 -0.091  0.447 0.023  0.496 0.130  0.548 0.236  0.601 0.341  0.654 0.447  0.707 0.552  0.759 0.658  0.812 0.763  0.865 0.869  0.918 0.974  0.970 1.080  1.023 1.185  1.076 1.291  1.108 1.309  1.108 1.191
2#apa#apa14#app1438/E  -0.435 0.716  -0.435 0.828  -0.435 0.598  -0.513 0.387  -0.606 0.179  -0.606 -0.051  -0.606 -0.281  -0.606 -0.511  -0.606 -0.741  -0.606 -0.971  -0.606 -1.201  -0.606 -1.431  -0.606 -1.362  -0.409 -1.314  -0.239 -1.169  -0.009 -1.169  0.206 -1.106  0.412 -1.003  0.641 -0.998  0.871 -0.998  0.771 -0.998  0.583 -0.868  0.396 -0.734  0.209 -0.601  0.021 -0.467  -0.166 -0.333  -0.353 -0.199  -0.526 -0.049  -0.501 0.083  -0.295 0.186  -0.069 0.202  0.161 0.202  0.391 0.202  0.613 0.221  0.765 0.358  0.691 0.202  0.492 0.286  0.315 0.434  0.138 0.581  -0.038 0.728  -0.215 0.875  -0.392 1.023  -0.432 1.230  -0.202 1.230  0.028 1.230  0.258 1.230  0.488 1.230  0.682 1.318  0.877 1.401  1.107 1.401
2#apa#apa14#app1438/L  -0.203 1.228  -0.203 1.329  -0.246 1.389  -0.347 1.389  -0.364 1.474  -0.364 1.524  -0.364 1.422  -0.364 1.320  -0.364 1.218  -0.364 1.116  -0.364 1.014  -0.364 0.912  -0.364 0.810  -0.364 0.709  -0.364 0.607  -0.364 0.505  -0.364 0.403  -0.364 0.301  -0.364 0.199  -0.364 0.097  -0.364 -0.005  -0.364 -0.106  -0.364 -0.208  -0.364 -0.310  -0.364 -0.412  -0.364 -0.514  -0.364 -0.616  -0.355 -0.714  -0.283 -0.786  -0.211 -0.858  -0.203 -0.957  -0.203 -0.997  -0.203 -0.895  -0.129 -0.866  -0.027 -0.866  0.075 -0.866  0.174 -0.848  0.270 -0.816  0.367 -0.784  0.463 -0.752  0.560 -0.720  0.643 -0.665  0.715 -0.593  0.797 -0.544  0.899 -0.544  1.000 -0.544  1.102 -0.544  1.204 -0.544  1.306 -0.544  1.408 -0.544
2#apa#apa14#app1438/V  -0.995 1.256  -0.995 1.141  -0.995 1.025  -0.995 0.909  -0.946 0.805  -0.894 0.701  -0.842 0.598  -0.798 0.491  -0.762 0.381  -0.725 0.271  -0.689 0.161  -0.652 0.051  -0.615 -0.059  -0.579 -0.169  -0.542 -0.278  -0.505 -0.388  -0.469 -0.498  -0.393 -0.584  -0.311 -0.665  -0.229 -0.747  -0.147 -0.829  -0.110 -0.930  -0.110 -1.046  -0.110 -1.162  -0.053 -1.219  0.063 -1.219  0.066 -1.107  0.083 -0.993  0.119 -0.884  0.156 -0.774  0.193 -0.664  0.229 -0.554  0.286 -0.455  0.356 -0.362  0.425 -0.270  0.495 -0.177  0.564 -0.084  0.634 0.008  0.703 0.101  0.772 0.194  0.801 0.306  0.829 0.418  0.857 0.530  0.886 0.643  0.914 0.755  0.942 0.867  0.951 0.982  0.964 1.093  1.045 1.174  1.127 1.256
2#apa#apa14#app1438/E  -0.578 0.513  -0.578 0.750  -0.578 0.816  -0.578 0.579  -0.578 0.343  -0.578 0.106  -0.578 -0.131  -0.578 -0.367  -0.578 -0.604  -0.578 -0.840  -0.551 -1.065  -0.383 -1.232  -0.147 -1.232  0.090 -1.232  0.327 -1.232  0.563 -1.232  0.800 -1.232  1.036 -1.232  1.061 -1.232  0.854 -1.143  0.665 -1.001  0.476 -0.859  0.287 -0.717  0.097 -0.575  -0.092 -0.433  -0.281 -0.291  -0.470 -0.149  -0.680 -0.068  -0.627 -0.068  -0.446 0.064  -0.235 0.125  0.002 0.125  0.226 0.154  0.395 0.319  0.631 0.319  0.691 0.319  0.468 0.378  0.256 0.484  0.045 0.590  -0.167 0.695  -0.378 0.801  -0.578 0.914  -0.522 1.095  -0.314 1.165  -0.129 1.289  0.107 1.289  0.344 1.289  0.580 1.289  0.806 1.262  0.973 1.095
2#apa#apa14#app1438/T  0.478 -0.332  0.478 -0.172  0.478 -0.011  0.478 0.149  0.478 0.309  0.478 0.358  0.478 0.198  0.478 0.037  0.478 -0.123  0.478 -0.283  0.478 -0.444  0.478 -0.604  0.478 -0.765  0.478 -0.925  0.473 -1.083  0.360 -1.197  0.291 -1.329  0.266 -1.423  0.160 -1.303  0.053 -1.183  -0.053 -1.063  -0.160 -0.944  -0.266 -0.824  -0.373 -0.704  -0.480 -0.584  -0.586 -0.464  -0.693 -0.344  -0.799 -0.224  -0.906 -0.105  -1.012 0.015  -1.119 0.135  -1.201 0.264  -1.190 0.414  -1.029 0.414  -1.014 0.559  -0.898 0.624  -0.740 0.655  -0.583 0.687  -0.426 0.718  -0.269 0.750  -0.111 0.781  0.042 0.828  0.194 0.879  0.346 0.929  0.493 0.989  0.606 1.102  0.743 1.160  0.903 1.160  1.064 1.160  1.224 1.160
