2#apa#apa14#app1460/[  0.298 1.230  0.347 1.230  0.258 1.230  0.170 1.230  0.082 1.230  -0.007 1.230  -0.095 1.230  -0.182 1.228  -0.161 1.161  -0.113 1.202  -0.174 1.230  -0.125 1.173  -0.113 1.089  -0.113 1.001  -0.083 0.925  -0.045 0.853  -0.045 0.765  -0.078 0.684  -0.113 0.604  -0.113 0.516  -0.113 0.428  -0.083 0.346  -0.045 0.267  -0.045 0.179  -0.045 0.091  -0.045 0.002  -0.045 -0.086  -0.045 -0.174  -0.045 -0.263  -0.045 -0.351  -0.045 -0.439  -0.045 -0.528  -0.045 -0.616  -0.045 -0.704  -0.045 -0.792  -0.045 -0.881  -0.045 -0.969  -0.063 -1.050  -0.113 -1.117  -0.113 -1.206  -0.113 -1.294  -0.052 -1.306  -0.086 -1.306  0.002 -1.306  0.090 -1.306  0.179 -1.306  0.267 -1.306  0.355 -1.306  0.421 -1.361  0.503 -1.375
2#apa#apa14#app1460/O  -0.023 1.278  -0.161 1.278  -0.247 1.193  -0.308 1.070  -0.370 0.947  -0.458 0.842  -0.556 0.745  -0.567 0.612  -0.567 0.474  -0.567 0.336  -0.567 0.198  -0.567 0.060  -0.606 -0.069  -0.667 -0.192  -0.729 -0.315  -0.748 -0.449  -0.748 -0.586  -0.743 -0.722  -0.646 -0.820  -0.548 -0.917  -0.451 -1.015  -0.353 -1.112  -0.256 -1.210  -0.139 -1.261  -0.001 -1.261  0.137 -1.261  0.262 -1.209  0.386 -1.148  0.509 -1.086  0.521 -0.955  0.578 -0.841  0.676 -0.744  0.702 -0.617  0.702 -0.479  0.702 -0.341  0.702 -0.203  0.702 -0.065  0.702 0.073  0.702 0.210  0.702 0.348  0.702 0.486  0.652 0.603  0.554 0.701  0.457 0.798  0.359 0.896  0.262 0.993  0.164 1.091  0.042 1.154  -0.081 1.216  -0.204 1.278
2#apa#apa14#app1460/R  -0.628 0.667  -0.489 0.604  -0.489 0.403  -0.489 0.201  -0.489 -0.000  -0.489 -0.201  -0.489 -0.403  -0.489 -0.604  -0.489 -0.806  -0.489 -1.007  -0.423 -1.142  -0.362 -1.014  -0.380 -0.814  -0.398 -0.613  -0.417 -0.412  -0.435 -0.212  -0.453 -0.011  -0.471 0.190  -0.489 0.390  -0.489 0.592  -0.489 0.793  -0.356 0.939  -0.264 1.118  -0.152 1.282  0.012 1.390  0.203 1.454  0.346 1.450  0.346 1.249  0.346 1.047  0.276 0.875  0.160 0.713  0.070 0.533  -0.071 0.389  -0.211 0.246  -0.277 0.110  -0.478 0.110  -0.305 0.087  -0.124 -0.003  0.056 -0.093  0.233 -0.188  0.394 -0.309  0.555 -0.430  0.716 -0.551  0.864 -0.687  1.007 -0.829  1.149 -0.972  1.251 -1.144  1.341 -1.324  1.431 -1.504  1.320 -1.560
2#apa#apa14#app1460/E  -0.376 0.889  -0.376 1.166  -0.532 1.116  -0.532 0.839  -0.532 0.563  -0.532 0.286  -0.532 0.010  -0.532 -0.267  -0.532 -0.543  -0.532 -0.820  -0.532 -1.096  -0.298 -1.139  -0.021 -1.139  0.255 -1.139  0.532 -1.139  0.808 -1.139  1.085 -1.139  1.317 -1.139  1.054 -1.079  0.803 -0.963  0.552 -0.847  0.301 -0.731  0.050 -0.615  -0.201 -0.499  -0.452 -0.384  -0.703 -0.268  -0.844 -0.081  -0.602 -0.047  -0.326 -0.047  -0.049 -0.047  0.227 -0.047  0.504 -0.047  0.780 -0.047  0.686 -0.047  0.409 -0.047  0.174 0.097  -0.061 0.243  -0.295 0.390  -0.530 0.536  -0.764 0.683  -1.000 0.759  -0.854 0.889  -0.577 0.889  -0.308 0.945  -0.039 1.012  0.233 1.045  0.510 1.045  0.786 1.045  1.063 1.045  1.339 1.045
2#apa#apa14#app1460/L  -0.332 1.497  -0.332 1.587  -0.332 1.626  -0.332 1.536  -0.332 1.447  -0.332 1.357  -0.332 1.268  -0.332 1.178  -0.332 1.089  -0.332 1.000  -0.332 0.910  -0.332 0.821  -0.332 0.731  -0.332 0.642  -0.332 0.552  -0.332 0.463  -0.332 0.374  -0.332 0.284  -0.332 0.195  -0.332 0.105  -0.332 0.016  -0.332 -0.074  -0.332 -0.163  -0.359 -0.246  -0.399 -0.326  -0.439 -0.406  -0.479 -0.486  -0.486 -0.574  -0.476 -0.654  -0.387 -0.654  -0.298 -0.662  -0.212 -0.684  -0.125 -0.706  -0.038 -0.727  0.049 -0.749  0.136 -0.771  0.222 -0.793  0.310 -0.808  0.399 -0.808  0.489 -0.808  0.578 -0.808  0.668 -0.808  0.757 -0.808  0.847 -0.808  0.934 -0.795  1.019 -0.767  1.104 -0.739  1.189 -0.711  1.273 -0.682  1.358 -0.654
2#apa#apa14#app1460/S  0.665 0.897  0.578 0.985  0.469 1.024  0.413 1.092  0.347 1.150  0.223 1.150  0.099 1.150  -0.026 1.150  -0.150 1.150  -0.268 1.125  -0.379 1.069  -0.486 1.008  -0.574 0.920  -0.638 0.815  -0.694 0.704  -0.723 0.587  -0.683 0.479  -0.595 0.391  -0.507 0.303  -0.398 0.266  -0.274 0.266  -0.150 0.266  -0.029 0.245  0.089 0.206  0.207 0.167  0.326 0.140  0.451 0.140  0.539 0.104  0.573 0.014  0.665 -0.018  0.665 -0.142  0.665 -0.266  0.654 -0.388  0.598 -0.499  0.543 -0.610  0.503 -0.728  0.463 -0.845  0.424 -0.963  0.350 -1.059  0.252 -1.131  0.132 -1.161  0.011 -1.191  -0.109 -1.221  -0.230 -1.248  -0.354 -1.248  -0.479 -1.248  -0.603 -1.248  -0.727 -1.248  -0.851 -1.248  -0.976 -1.248
2#apa#apa14#app1460/E  -0.327 0.496  -0.559 0.612  -0.628 0.464  -0.628 0.205  -0.628 -0.055  -0.628 -0.314  -0.635 -0.572  -0.751 -0.804  -0.778 -1.057  -0.666 -1.046  -0.423 -1.008  -0.163 -1.008  0.096 -1.008  0.347 -0.971  0.579 -0.857  0.839 -0.857  1.077 -0.908  1.059 -1.008  0.863 -0.852  0.619 -0.764  0.375 -0.675  0.131 -0.586  -0.113 -0.498  -0.356 -0.409  -0.600 -0.320  -0.715 -0.224  -0.483 -0.108  -0.235 -0.059  -0.001 0.045  0.259 0.045  0.518 0.045  0.675 0.054  0.420 0.101  0.165 0.147  -0.091 0.194  -0.346 0.240  -0.601 0.287  -0.856 0.333  -0.928 0.532  -0.808 0.727  -0.592 0.871  -0.356 0.948  -0.110 0.992  0.106 1.136  0.331 1.248  0.591 1.248  0.850 1.248  1.109 1.248  1.369 1.248  1.628 1.248
2#apa#apa14#app1460/{  0.271 1.510  0.177 1.507  0.110 1.439  0.023 1.418  -0.072 1.418  -0.146 1.366  -0.221 1.309  -0.306 1.266  -0.368 1.209  -0.368 1.114  -0.368 1.018  -0.368 0.923  -0.348 0.832  -0.306 0.747  -0.276 0.658  -0.242 0.597  -0.185 0.559  -0.166 0.468  -0.124 0.383  -0.094 0.294  -0.094 0.199  -0.120 0.115  -0.189 0.050  -0.269 0.050  -0.173 0.050  -0.078 0.050  0.011 0.036  0.079 -0.032  0.089 -0.123  0.127 -0.209  0.170 -0.295  0.148 -0.380  0.105 -0.465  0.089 -0.557  0.060 -0.646  0.018 -0.731  -0.038 -0.807  -0.094 -0.879  -0.080 -0.968  -0.012 -1.036  0.055 -1.103  0.123 -1.171  0.193 -1.234  0.278 -1.277  0.363 -1.320  0.449 -1.362  0.534 -1.405  0.545 -1.493  0.545 -1.589  0.545 -1.502
2#apa#apa14#app1460/y  -0.187 0.821  -0.321 0.888  -0.449 0.959  -0.449 1.057  -0.449 0.997  -0.513 1.083  -0.580 1.000  -0.604 0.853  -0.641 0.707  -0.677 0.562  -0.711 0.416  -0.711 0.266  -0.711 0.116  -0.661 -0.014  -0.580 -0.130  -0.532 -0.203  -0.398 -0.136  -0.275 -0.053  -0.169 0.053  -0.063 0.159  0.069 0.229  0.203 0.296  0.253 0.437  0.300 0.579  0.352 0.720  0.419 0.854  0.468 0.992  0.468 1.024  0.433 0.882  0.366 0.748  0.337 0.605  0.337 0.455  0.337 0.305  0.337 0.155  0.337 0.005  0.337 -0.145  0.337 -0.295  0.337 -0.445  0.337 -0.595  0.337 -0.745  0.337 -0.895  0.337 -1.045  0.337 -1.195  0.337 -1.345  0.337 -1.495  0.337 -1.645  0.337 -1.795  0.325 -1.940  0.219 -2.046  0.075 -2.059
2#apa#apa14#app1460/o  0.023 0.608  0.023 0.745  -0.063 0.796  -0.201 0.796  -0.338 0.796  -0.439 0.709  -0.536 0.612  -0.541 0.477  -0.585 0.353  -0.662 0.239  -0.738 0.125  -0.814 0.010  -0.890 -0.104  -0.895 -0.231  -0.862 -0.364  -0.828 -0.497  -0.795 -0.630  -0.762 -0.763  -0.728 -0.896  -0.605 -0.957  -0.482 -1.019  -0.359 -1.080  -0.261 -1.175  -0.163 -1.271  -0.041 -1.209  0.082 -1.148  0.205 -1.087  0.342 -1.083  0.435 -1.012  0.496 -0.889  0.558 -0.767  0.604 -0.638  0.638 -0.505  0.671 -0.372  0.704 -0.239  0.738 -0.106  0.771 0.028  0.775 0.164  0.753 0.298  0.710 0.428  0.666 0.559  0.623 0.689  0.587 0.820  0.587 0.958  0.509 1.063  0.412 1.160  0.314 1.257  0.217 1.354  0.120 1.451  0.023 1.548
2#apa#apa14#app1460/u  -0.734 0.978  -0.734 1.181  -0.734 1.050  -0.734 0.848  -0.734 0.645  -0.734 0.442  -0.734 0.239  -0.734 0.037  -0.734 -0.166  -0.685 -0.361  -0.621 -0.553  -0.557 -0.745  -0.495 -0.938  -0.495 -1.141  -0.321 -1.169  -0.159 -1.071  -0.018 -0.927  -0.018 -0.724  -0.018 -0.521  0.042 -0.333  0.133 -0.152  0.221 0.030  0.221 0.233  0.221 0.436  0.221 0.639  0.221 0.639  0.221 0.567  0.221 0.769  0.221 0.972  0.221 1.175  0.221 1.378  0.345 1.456  0.459 1.367  0.443 1.167  0.379 0.975  0.315 0.783  0.250 0.590  0.221 0.392  0.221 0.190  0.221 -0.013  0.221 -0.216  0.221 -0.419  0.296 -0.603  0.387 -0.785  0.459 -0.970  0.459 -1.173  0.459 -1.376  0.580 -1.528  0.734 -1.646  0.937 -1.646
