2#apa#apa14#app1474/2  -0.669 0.185  -0.787 0.229  -0.787 0.391  -0.692 0.514  -0.611 0.652  -0.528 0.788  -0.394 0.877  -0.259 0.967  -0.159 1.088  -0.086 1.232  0.062 1.290  0.215 1.341  0.374 1.360  0.493 1.255  0.607 1.141  0.741 1.103  0.741 0.941  0.680 0.798  0.590 0.663  0.497 0.532  0.352 0.460  0.271 0.348  0.271 0.186  0.138 0.096  0.003 0.006  -0.118 -0.099  -0.215 -0.228  -0.312 -0.358  -0.409 -0.487  -0.519 -0.606  -0.616 -0.735  -0.706 -0.869  -0.794 -1.005  -0.866 -1.150  -0.827 -1.226  -0.666 -1.224  -0.521 -1.152  -0.376 -1.079  -0.231 -1.007  -0.110 -0.902  0.005 -0.787  0.134 -0.691  0.268 -0.601  0.406 -0.521  0.568 -0.521  0.730 -0.521  0.892 -0.521  1.031 -0.575  1.094 -0.711  1.094 -0.873
2#apa#apa14#app1474/^  -0.749 -1.065  -0.749 -1.196  -0.749 -1.165  -0.749 -1.034  -0.749 -0.902  -0.714 -0.777  -0.672 -0.653  -0.631 -0.528  -0.589 -0.404  -0.548 -0.280  -0.506 -0.155  -0.465 -0.031  -0.423 0.093  -0.382 0.218  -0.340 0.342  -0.299 0.467  -0.258 0.591  -0.216 0.715  -0.206 0.845  -0.184 0.971  -0.125 1.088  -0.067 1.205  -0.025 1.326  -0.025 1.457  0.095 1.469  0.156 1.398  0.156 1.267  0.156 1.136  0.156 1.005  0.156 0.874  0.156 0.743  0.188 0.616  0.220 0.489  0.251 0.362  0.283 0.234  0.315 0.107  0.366 -0.009  0.459 -0.102  0.518 -0.208  0.518 -0.340  0.518 -0.471  0.518 -0.602  0.518 -0.733  0.518 -0.864  0.567 -0.983  0.626 -1.101  0.685 -1.218  0.699 -1.346  0.748 -1.427  0.880 -1.427
2#apa#apa14#app1474/0  0.643 0.908  0.513 0.973  0.382 1.038  0.236 1.038  0.090 1.038  -0.042 1.004  -0.145 0.900  -0.249 0.797  -0.312 0.667  -0.366 0.532  -0.421 0.396  -0.475 0.260  -0.528 0.124  -0.528 -0.022  -0.528 -0.168  -0.528 -0.314  -0.528 -0.460  -0.528 -0.606  -0.528 -0.752  -0.528 -0.899  -0.528 -1.045  -0.528 -1.191  -0.528 -1.337  -0.494 -1.469  -0.389 -1.561  -0.258 -1.496  -0.130 -1.427  -0.027 -1.324  0.077 -1.221  0.148 -1.098  0.195 -0.959  0.241 -0.821  0.287 -0.682  0.333 -0.543  0.379 -0.405  0.409 -0.262  0.438 -0.118  0.467 0.025  0.495 0.168  0.513 0.312  0.513 0.459  0.513 0.605  0.513 0.751  0.513 0.897  0.510 1.042  0.406 1.145  0.282 1.219  0.151 1.284  0.008 1.299  -0.138 1.299
2#apa#apa14#app1474/=  -1.397 0.110  -1.526 0.239  -1.575 0.334  -1.393 0.335  -1.217 0.379  -1.041 0.423  -0.865 0.467  -0.689 0.511  -0.513 0.555  -0.332 0.558  -0.150 0.558  0.031 0.558  0.213 0.558  0.394 0.558  0.576 0.558  0.757 0.558  0.939 0.558  1.120 0.558  1.278 0.558  1.096 0.558  0.931 0.491  0.769 0.410  0.606 0.328  0.444 0.247  0.282 0.166  0.119 0.085  -0.043 0.004  -0.205 -0.077  -0.368 -0.159  -0.530 -0.240  -0.692 -0.321  -0.855 -0.402  -1.017 -0.483  -1.166 -0.561  -0.985 -0.561  -0.803 -0.561  -0.622 -0.561  -0.440 -0.561  -0.259 -0.561  -0.077 -0.561  0.104 -0.561  0.286 -0.561  0.467 -0.561  0.649 -0.561  0.830 -0.561  1.012 -0.561  1.193 -0.561  1.375 -0.561  1.556 -0.561  1.738 -0.561
2#apa#apa14#app1474/1  -0.119 1.700  -0.119 1.629  -0.119 1.559  -0.119 1.488  -0.119 1.418  -0.119 1.348  -0.119 1.277  -0.119 1.207  -0.119 1.136  -0.119 1.066  -0.119 0.995  -0.119 0.925  -0.119 0.854  -0.119 0.784  -0.119 0.713  -0.119 0.643  -0.119 0.573  -0.119 0.502  -0.119 0.432  -0.119 0.361  -0.119 0.291  -0.094 0.226  -0.063 0.163  -0.031 0.100  0.000 0.037  0.032 -0.026  0.059 -0.090  0.059 -0.160  0.059 -0.231  0.059 -0.301  0.059 -0.372  0.059 -0.442  0.059 -0.513  0.059 -0.583  0.059 -0.654  0.059 -0.724  0.059 -0.794  0.059 -0.865  0.059 -0.935  0.070 -1.004  0.092 -1.071  0.115 -1.138  0.137 -1.205  0.159 -1.271  0.182 -1.338  0.204 -1.405  0.226 -1.472  0.237 -1.541  0.237 -1.611  0.237 -1.681
2#apa#apa14#app1474/0  0.621 0.788  0.518 0.890  0.416 0.993  0.313 1.095  0.211 1.197  0.108 1.253  0.006 1.151  -0.083 1.037  -0.163 0.916  -0.243 0.796  -0.324 0.675  -0.417 0.565  -0.519 0.463  -0.555 0.322  -0.590 0.182  -0.626 0.041  -0.661 -0.099  -0.700 -0.239  -0.745 -0.376  -0.791 -0.514  -0.837 -0.651  -0.782 -0.775  -0.702 -0.896  -0.622 -1.016  -0.541 -1.137  -0.520 -1.276  -0.431 -1.331  -0.286 -1.331  -0.141 -1.331  -0.000 -1.316  0.129 -1.251  0.259 -1.186  0.320 -1.066  0.355 -0.926  0.390 -0.785  0.426 -0.644  0.460 -0.504  0.488 -0.362  0.517 -0.220  0.545 -0.077  0.574 0.065  0.602 0.207  0.621 0.350  0.612 0.494  0.577 0.634  0.542 0.775  0.507 0.915  0.472 1.056  0.397 1.174  0.295 1.277
2#apa#apa14#app1474/^  -1.081 -1.440  -1.081 -1.320  -1.029 -1.222  -0.944 -1.137  -0.916 -1.029  -0.898 -0.914  -0.836 -0.811  -0.775 -0.708  -0.713 -0.605  -0.651 -0.502  -0.589 -0.400  -0.528 -0.297  -0.466 -0.194  -0.412 -0.088  -0.383 0.029  -0.354 0.145  -0.325 0.261  -0.296 0.378  -0.267 0.494  -0.207 0.593  -0.122 0.678  -0.065 0.780  -0.027 0.894  0.011 1.008  0.049 1.121  0.078 1.237  0.078 1.357  0.078 1.273  0.078 1.153  0.082 1.035  0.136 0.927  0.190 0.820  0.243 0.713  0.297 0.605  0.351 0.498  0.404 0.391  0.458 0.284  0.512 0.176  0.565 0.069  0.575 -0.049  0.604 -0.160  0.671 -0.260  0.737 -0.359  0.804 -0.459  0.870 -0.559  0.931 -0.662  0.985 -0.770  1.038 -0.877  1.071 -0.989  1.071 -1.109
2#apa#apa14#app1474/0  0.158 0.531  0.158 0.672  0.158 0.813  0.104 0.899  -0.030 0.867  -0.156 0.804  -0.267 0.720  -0.367 0.620  -0.460 0.517  -0.505 0.383  -0.549 0.249  -0.594 0.115  -0.639 -0.018  -0.683 -0.152  -0.715 -0.289  -0.738 -0.428  -0.761 -0.567  -0.785 -0.706  -0.808 -0.846  -0.824 -0.985  -0.824 -1.126  -0.753 -1.223  -0.627 -1.286  -0.494 -1.290  -0.357 -1.255  -0.220 -1.221  -0.085 -1.185  0.015 -1.086  0.115 -0.986  0.214 -0.886  0.314 -0.787  0.408 -0.683  0.453 -0.550  0.498 -0.416  0.542 -0.282  0.587 -0.148  0.631 -0.015  0.676 0.119  0.720 0.253  0.765 0.387  0.772 0.527  0.772 0.668  0.772 0.809  0.750 0.944  0.687 1.070  0.609 1.186  0.509 1.285  0.409 1.385  0.284 1.331  0.158 1.268
2#apa#apa14#app1474/=  -1.243 0.305  -1.383 0.446  -1.224 0.462  -1.025 0.462  -0.827 0.462  -0.628 0.462  -0.430 0.462  -0.231 0.462  -0.033 0.462  0.166 0.462  0.364 0.462  0.563 0.462  0.761 0.462  0.960 0.462  1.158 0.462  1.357 0.462  1.555 0.462  1.398 0.454  1.213 0.382  1.028 0.310  0.843 0.238  0.658 0.166  0.473 0.094  0.288 0.022  0.103 -0.050  -0.082 -0.122  -0.267 -0.194  -0.452 -0.266  -0.637 -0.337  -0.822 -0.409  -1.007 -0.481  -1.192 -0.553  -1.377 -0.625  -1.539 -0.628  -1.351 -0.566  -1.163 -0.503  -0.981 -0.425  -0.803 -0.336  -0.608 -0.321  -0.410 -0.321  -0.211 -0.321  -0.013 -0.321  0.186 -0.321  0.384 -0.321  0.583 -0.321  0.781 -0.321  0.980 -0.321  1.178 -0.321  1.377 -0.321  1.575 -0.321
2#apa#apa14#app1474/x  -1.026 0.857  -1.026 1.043  -0.854 1.057  -0.668 1.057  -0.547 0.938  -0.444 0.783  -0.341 0.629  -0.238 0.474  -0.109 0.340  -0.005 0.192  0.054 0.016  0.112 -0.160  0.171 -0.336  0.273 -0.491  0.376 -0.646  0.479 -0.800  0.573 -0.958  0.573 -1.139  0.590 -0.954  0.607 -0.769  0.623 -0.584  0.640 -0.399  0.657 -0.214  0.674 -0.029  0.691 0.156  0.707 0.341  0.724 0.526  0.741 0.711  0.758 0.895  0.756 1.074  0.624 1.205  0.493 1.177  0.362 1.046  0.231 0.915  0.134 0.760  0.065 0.588  -0.004 0.415  -0.073 0.243  -0.142 0.070  -0.211 -0.102  -0.290 -0.269  -0.373 -0.436  -0.464 -0.597  -0.567 -0.752  -0.670 -0.906  -0.773 -1.061  -0.866 -1.221  -0.949 -1.387  -1.026 -1.555  -1.026 -1.740
2#apa#apa14#app1474/^  -0.666 -1.611  -0.666 -1.493  -0.736 -1.404  -0.788 -1.320  -0.705 -1.237  -0.666 -1.135  -0.666 -1.017  -0.666 -0.899  -0.665 -0.781  -0.636 -0.666  -0.608 -0.552  -0.579 -0.438  -0.551 -0.323  -0.519 -0.210  -0.475 -0.100  -0.431 0.009  -0.387 0.119  -0.343 0.228  -0.299 0.338  -0.256 0.448  -0.253 0.565  -0.253 0.683  -0.230 0.797  -0.193 0.909  -0.156 1.021  -0.118 1.133  -0.116 1.251  -0.026 1.279  0.022 1.208  0.073 1.141  0.169 1.111  0.207 0.999  0.244 0.888  0.281 0.776  0.327 0.667  0.380 0.562  0.433 0.456  0.486 0.351  0.539 0.245  0.602 0.148  0.686 0.064  0.747 -0.035  0.800 -0.140  0.853 -0.246  0.906 -0.352  0.958 -0.457  0.985 -0.569  0.985 -0.687  0.985 -0.805  0.985 -0.923
