2#apa#apa14#app1490/w  -0.795 0.472  -0.795 0.630  -0.795 0.788  -0.812 0.844  -0.862 0.694  -0.912 0.544  -0.936 0.389  -0.936 0.231  -0.936 0.072  -0.936 -0.086  -0.936 -0.245  -0.936 -0.403  -0.936 -0.561  -0.916 -0.716  -0.866 -0.867  -0.815 -1.017  -0.728 -1.011  -0.616 -0.899  -0.507 -0.785  -0.425 -0.649  -0.344 -0.513  -0.262 -0.377  -0.181 -0.241  -0.099 -0.105  0.010 0.009  0.050 0.151  0.050 0.309  0.050 0.194  0.050 0.036  0.050 -0.123  0.065 -0.279  0.115 -0.429  0.165 -0.579  0.261 -0.620  0.402 -0.549  0.544 -0.478  0.686 -0.407  0.803 -0.307  0.898 -0.181  0.993 -0.054  1.088 0.073  1.178 0.202  1.204 0.358  1.230 0.514  1.256 0.670  1.282 0.827  1.308 0.983  1.317 1.141  1.194 1.176  1.035 1.176
2#apa#apa14#app1490/a  0.776 -0.271  0.776 -0.090  0.776 0.091  0.776 0.272  0.776 0.452  0.776 0.633  0.676 0.772  0.549 0.900  0.421 1.028  0.288 1.144  0.107 1.144  -0.073 1.144  -0.254 1.144  -0.425 1.120  -0.553 0.993  -0.681 0.865  -0.809 0.737  -0.936 0.609  -1.064 0.481  -1.109 0.319  -1.109 0.139  -1.109 -0.042  -1.109 -0.223  -1.109 -0.403  -1.109 -0.584  -1.093 -0.758  -0.965 -0.886  -0.822 -0.978  -0.642 -0.978  -0.461 -0.978  -0.316 -0.892  -0.188 -0.764  -0.060 -0.636  0.067 -0.508  0.195 -0.380  0.316 -0.248  0.397 -0.086  0.478 0.075  0.541 0.241  0.541 0.422  0.541 0.270  0.541 0.090  0.541 -0.091  0.541 -0.272  0.541 -0.453  0.611 -0.612  0.711 -0.762  0.812 -0.913  0.912 -1.063  1.012 -1.213
2#apa#apa14#app1490/r  -0.947 1.275  -0.812 1.275  -0.678 1.275  -0.637 1.182  -0.637 1.047  -0.637 0.912  -0.637 0.777  -0.633 0.643  -0.591 0.516  -0.548 0.388  -0.505 0.260  -0.463 0.132  -0.420 0.005  -0.378 -0.123  -0.335 -0.251  -0.327 -0.384  -0.327 -0.519  -0.296 -0.646  -0.236 -0.767  -0.176 -0.887  -0.116 -1.008  -0.055 -1.128  -0.017 -1.254  -0.017 -1.388  -0.017 -1.506  -0.017 -1.372  -0.017 -1.237  -0.017 -1.102  -0.017 -0.968  -0.017 -0.833  -0.017 -0.698  -0.017 -0.564  -0.017 -0.429  -0.017 -0.294  -0.017 -0.160  -0.017 -0.025  0.035 0.088  0.131 0.183  0.226 0.278  0.329 0.363  0.449 0.423  0.569 0.484  0.690 0.544  0.810 0.604  0.931 0.664  1.051 0.725  1.172 0.785  1.292 0.845  1.413 0.905  1.533 0.965
2#apa#apa14#app1490/m  -1.057 -0.768  -1.166 -0.659  -1.241 -0.536  -1.241 -0.381  -1.241 -0.227  -1.241 -0.073  -1.241 0.082  -1.241 0.236  -1.241 0.391  -1.220 0.532  -1.082 0.601  -0.944 0.670  -0.798 0.705  -0.648 0.685  -0.510 0.616  -0.372 0.547  -0.267 0.440  -0.181 0.312  -0.095 0.183  -0.010 0.055  0.070 -0.077  0.139 -0.215  0.209 -0.353  0.232 -0.502  0.232 -0.656  0.190 -0.768  0.044 -0.756  -0.005 -0.610  -0.054 -0.463  -0.103 -0.317  -0.136 -0.168  -0.128 -0.016  -0.059 0.123  0.010 0.261  0.110 0.368  0.248 0.437  0.386 0.506  0.537 0.521  0.691 0.521  0.828 0.478  0.937 0.369  1.046 0.259  1.155 0.150  1.264 0.041  1.360 -0.078  1.429 -0.216  1.498 -0.354  1.567 -0.492  1.636 -0.630  1.705 -0.768
2#apa#apa14#app1490/c  0.647 0.798  0.577 0.868  0.507 0.939  0.437 1.009  0.423 1.102  0.423 1.202  0.369 1.248  0.270 1.248  0.171 1.248  0.071 1.248  -0.028 1.247  -0.072 1.158  -0.116 1.069  -0.161 0.980  -0.205 0.891  -0.250 0.802  -0.282 0.708  -0.313 0.614  -0.345 0.520  -0.376 0.426  -0.407 0.331  -0.439 0.237  -0.470 0.143  -0.512 0.053  -0.556 -0.036  -0.601 -0.125  -0.645 -0.214  -0.690 -0.302  -0.661 -0.387  -0.606 -0.469  -0.551 -0.552  -0.496 -0.635  -0.440 -0.717  -0.385 -0.800  -0.330 -0.883  -0.275 -0.965  -0.194 -1.000  -0.095 -1.000  0.004 -1.000  0.104 -1.000  0.203 -1.000  0.302 -1.000  0.402 -1.000  0.501 -1.000  0.600 -1.000  0.700 -1.000  0.799 -1.000  0.898 -1.000  0.998 -1.000  1.097 -1.000
2#apa#apa14#app1490/u  -0.560 0.199  -0.610 0.298  -0.659 0.397  -0.709 0.496  -0.758 0.595  -0.808 0.694  -0.820 0.633  -0.820 0.523  -0.820 0.412  -0.820 0.301  -0.820 0.191  -0.820 0.080  -0.820 -0.031  -0.820 -0.141  -0.820 -0.252  -0.820 -0.363  -0.820 -0.473  -0.820 -0.584  -0.820 -0.695  -0.820 -0.806  -0.743 -0.839  -0.632 -0.839  -0.521 -0.839  -0.411 -0.839  -0.300 -0.839  -0.208 -0.777  -0.116 -0.716  -0.024 -0.654  0.068 -0.593  0.160 -0.532  0.252 -0.470  0.345 -0.409  0.437 -0.347  0.521 -0.277  0.599 -0.198  0.678 -0.120  0.756 -0.042  0.834 0.036  0.912 0.115  0.991 0.193  1.042 0.290  1.092 0.389  1.141 0.488  1.191 0.587  1.240 0.686  1.256 0.793  1.256 0.904  1.256 1.015  1.256 1.126  1.256 1.236
2#apa#apa14#app1490/p  -0.236 0.482  -0.236 0.318  -0.236 0.154  -0.236 -0.011  -0.236 -0.175  -0.236 -0.339  -0.236 -0.503  -0.236 -0.667  -0.236 -0.831  -0.211 -0.993  -0.178 -1.154  -0.146 -1.315  -0.114 -1.476  -0.087 -1.637  -0.087 -1.720  -0.087 -1.556  -0.109 -1.396  -0.161 -1.240  -0.213 -1.084  -0.236 -0.924  -0.236 -0.760  -0.265 -0.599  -0.305 -0.440  -0.345 -0.281  -0.385 -0.121  -0.436 0.034  -0.488 0.190  -0.535 0.346  -0.535 0.511  -0.535 0.675  -0.494 0.822  -0.378 0.938  -0.262 1.054  -0.115 1.120  0.040 1.172  0.196 1.224  0.359 1.229  0.523 1.229  0.688 1.229  0.839 1.200  0.956 1.084  0.960 0.922  0.960 0.757  0.928 0.610  0.791 0.519  0.655 0.428  0.518 0.337  0.372 0.263  0.225 0.189  0.063 0.183
2#apa#apa14#app1490/s  0.151 0.924  0.151 1.027  0.151 1.130  0.097 1.211  0.024 1.284  -0.049 1.357  -0.082 1.333  -0.082 1.230  -0.103 1.135  -0.176 1.062  -0.249 0.989  -0.322 0.916  -0.395 0.843  -0.468 0.770  -0.541 0.697  -0.614 0.624  -0.687 0.552  -0.760 0.479  -0.781 0.384  -0.781 0.281  -0.781 0.178  -0.781 0.074  -0.766 -0.023  -0.693 -0.096  -0.620 -0.169  -0.547 -0.241  -0.449 -0.274  -0.351 -0.307  -0.254 -0.339  -0.156 -0.372  -0.058 -0.405  0.040 -0.437  0.138 -0.470  0.241 -0.474  0.344 -0.474  0.440 -0.502  0.533 -0.549  0.625 -0.595  0.717 -0.641  0.810 -0.687  0.850 -0.765  0.850 -0.869  0.850 -0.972  0.850 -1.075  0.846 -1.175  0.753 -1.222  0.661 -1.268  0.569 -1.314  0.476 -1.360  0.384 -1.406
2#apa#apa14#app1490/o  0.335 -0.042  0.223 0.070  0.110 0.183  0.086 0.332  0.086 0.491  0.086 0.650  0.013 0.779  -0.100 0.892  -0.233 0.956  -0.392 0.956  -0.511 0.858  -0.623 0.745  -0.736 0.633  -0.848 0.520  -0.929 0.390  -0.967 0.235  -1.006 0.081  -1.044 -0.074  -1.083 -0.228  -1.122 -0.382  -1.160 -0.537  -1.161 -0.696  -1.104 -0.819  -0.961 -0.891  -0.819 -0.962  -0.676 -1.033  -0.523 -1.005  -0.369 -0.967  -0.214 -0.928  -0.060 -0.889  0.094 -0.851  0.249 -0.812  0.385 -0.741  0.497 -0.628  0.610 -0.516  0.722 -0.403  0.835 -0.291  0.948 -0.178  1.060 -0.066  1.173 0.047  1.285 0.159  1.292 0.289  1.221 0.432  1.150 0.574  1.072 0.706  0.913 0.706  0.762 0.670  0.620 0.599  0.478 0.528  0.335 0.457
2#apa#apa14#app1490/f  0.281 0.221  0.337 0.388  0.392 0.554  0.441 0.722  0.441 0.897  0.441 1.073  0.410 1.241  0.332 1.398  0.218 1.499  0.043 1.499  -0.123 1.457  -0.280 1.378  -0.407 1.266  -0.504 1.120  -0.602 0.974  -0.677 0.821  -0.677 0.646  -0.677 0.470  -0.663 0.296  -0.634 0.122  -0.605 -0.051  -0.577 -0.224  -0.548 -0.397  -0.519 -0.570  -0.399 -0.697  -0.275 -0.821  -0.150 -0.945  -0.026 -1.069  0.098 -1.193  0.222 -1.317  0.281 -1.468  0.389 -1.536  0.468 -1.416  0.506 -1.244  0.544 -1.073  0.582 -0.902  0.620 -0.730  0.658 -0.559  0.696 -0.387  0.734 -0.216  0.705 -0.098  0.530 -0.098  0.354 -0.098  0.179 -0.098  0.003 -0.098  -0.173 -0.098  -0.348 -0.098  -0.523 -0.101  -0.680 -0.180  -0.837 -0.258
2#apa#apa14#app1490/b  -0.175 1.402  -0.299 1.526  -0.454 1.577  -0.525 1.472  -0.525 1.296  -0.525 1.120  -0.525 0.945  -0.525 0.769  -0.525 0.593  -0.525 0.417  -0.525 0.241  -0.525 0.065  -0.552 -0.107  -0.595 -0.278  -0.638 -0.448  -0.680 -0.619  -0.700 -0.792  -0.700 -0.782  -0.671 -0.611  -0.615 -0.444  -0.560 -0.277  -0.504 -0.110  -0.448 0.057  -0.393 0.224  -0.321 0.380  -0.196 0.505  -0.029 0.526  0.146 0.526  0.322 0.526  0.498 0.526  0.674 0.526  0.806 0.421  0.930 0.296  1.053 0.171  1.108 0.004  1.164 -0.163  1.219 -0.330  1.226 -0.505  1.156 -0.664  1.078 -0.821  0.941 -0.912  0.774 -0.967  0.607 -1.023  0.438 -1.028  0.268 -0.986  0.097 -0.943  -0.073 -0.900  -0.246 -0.875  -0.401 -0.824  -0.525 -0.700
