2#apa#apa14#app1499/A  -0.946 -0.456  -1.070 -0.332  -1.129 -0.365  -1.129 -0.371  -1.094 -0.204  -1.016 -0.047  -0.938 0.109  -0.859 0.266  -0.781 0.423  -0.642 0.519  -0.485 0.597  -0.355 0.705  -0.258 0.851  -0.161 0.996  -0.064 1.142  0.021 1.295  0.099 1.452  0.211 1.554  0.333 1.501  0.333 1.326  0.306 1.162  0.182 1.038  0.150 0.876  0.150 0.701  0.150 0.526  0.150 0.351  0.150 0.175  0.150 0.000  0.150 -0.175  0.169 -0.348  0.211 -0.518  0.254 -0.688  0.296 -0.858  0.333 -1.028  0.341 -1.202  0.419 -1.358  0.497 -1.515  0.516 -1.418  0.572 -1.256  0.651 -1.100  0.698 -0.936  0.698 -0.761  0.698 -0.585  0.698 -0.410  0.661 -0.273  0.485 -0.273  0.310 -0.273  0.135 -0.273  -0.040 -0.273  -0.215 -0.273
2#apa#apa14#app1499/Q  0.267 0.436  0.267 0.673  0.156 0.864  -0.012 1.032  -0.180 1.200  -0.347 1.092  -0.515 0.925  -0.683 0.757  -0.772 0.538  -0.860 0.318  -0.948 0.097  -1.031 -0.124  -1.106 -0.349  -1.147 -0.576  -1.090 -0.806  -1.032 -1.036  -0.885 -1.151  -0.648 -1.151  -0.423 -1.099  -0.211 -0.993  -0.029 -0.842  0.153 -0.690  0.335 -0.538  0.518 -0.386  0.700 -0.235  0.824 -0.037  0.930 0.175  1.036 0.387  1.060 0.619  1.060 0.856  0.880 0.912  0.644 0.893  0.412 0.846  0.179 0.800  -0.053 0.753  -0.265 0.647  -0.454 0.509  -0.622 0.341  -0.542 0.249  -0.310 0.202  -0.077 0.156  0.108 0.070  0.165 -0.154  0.267 -0.367  0.315 -0.589  0.447 -0.786  0.578 -0.984  0.745 -1.151  0.982 -1.151  1.219 -1.151
2#apa#apa14#app1499/U  -1.068 0.780  -1.068 0.623  -1.068 0.465  -1.068 0.308  -1.068 0.150  -1.068 -0.007  -1.068 -0.164  -1.068 -0.322  -1.068 -0.479  -1.068 -0.636  -1.068 -0.794  -1.016 -0.929  -0.904 -1.041  -0.756 -0.994  -0.607 -0.944  -0.457 -0.894  -0.333 -0.804  -0.222 -0.693  -0.110 -0.582  -0.010 -0.461  0.084 -0.335  0.178 -0.209  0.273 -0.083  0.367 0.043  0.439 0.180  0.477 0.332  0.515 0.485  0.553 0.638  0.589 0.791  0.587 0.947  0.476 1.059  0.340 1.111  0.310 1.164  0.421 1.275  0.423 1.122  0.423 0.965  0.423 0.807  0.423 0.650  0.423 0.493  0.459 0.341  0.509 0.192  0.558 0.042  0.623 -0.100  0.710 -0.231  0.797 -0.362  0.885 -0.492  0.920 -0.639  0.920 -0.796  0.974 -0.931  1.086 -1.043
2#apa#apa14#app1499/I  0.272 1.151  0.220 1.203  0.167 1.255  0.115 1.307  0.063 1.359  0.011 1.411  -0.019 1.411  -0.019 1.337  -0.019 1.263  -0.019 1.190  -0.019 1.116  -0.019 1.042  -0.019 0.968  -0.019 0.895  -0.019 0.821  -0.019 0.747  -0.019 0.673  -0.019 0.600  -0.019 0.526  -0.019 0.452  -0.019 0.378  -0.019 0.305  -0.019 0.231  -0.019 0.157  -0.019 0.083  -0.019 0.010  -0.019 -0.064  -0.019 -0.138  -0.019 -0.212  -0.019 -0.285  -0.019 -0.359  -0.019 -0.433  -0.019 -0.507  -0.019 -0.580  -0.019 -0.654  -0.019 -0.728  -0.019 -0.801  -0.019 -0.875  -0.019 -0.949  -0.019 -1.023  -0.019 -1.096  -0.019 -1.170  -0.019 -1.244  -0.019 -1.318  -0.019 -1.391  -0.019 -1.465  -0.019 -1.539  -0.019 -1.613  -0.019 -1.686  -0.019 -1.760
2#apa#apa14#app1499/C  0.614 0.729  0.614 0.820  0.614 0.911  0.614 1.001  0.614 1.092  0.533 1.103  0.442 1.103  0.352 1.103  0.261 1.103  0.170 1.103  0.079 1.103  -0.012 1.103  -0.103 1.103  -0.176 1.061  -0.241 0.997  -0.305 0.933  -0.322 0.849  -0.322 0.758  -0.322 0.667  -0.322 0.576  -0.322 0.485  -0.322 0.394  -0.338 0.306  -0.367 0.220  -0.395 0.134  -0.424 0.048  -0.453 -0.039  -0.482 -0.125  -0.507 -0.211  -0.479 -0.297  -0.450 -0.383  -0.421 -0.470  -0.392 -0.556  -0.364 -0.642  -0.335 -0.728  -0.287 -0.803  -0.223 -0.867  -0.158 -0.931  -0.094 -0.995  -0.030 -1.060  0.034 -1.124  0.111 -1.171  0.192 -1.212  0.273 -1.252  0.355 -1.293  0.437 -1.329  0.528 -1.329  0.619 -1.329  0.710 -1.329  0.801 -1.329
2#apa#apa14#app1499/K  -0.909 1.635  -0.836 1.414  -0.762 1.192  -0.735 0.963  -0.685 0.736  -0.628 0.510  -0.572 0.283  -0.561 0.051  -0.561 -0.182  -0.561 -0.415  -0.561 -0.649  -0.561 -0.882  -0.466 -1.076  -0.386 -1.277  -0.310 -1.168  -0.212 -0.956  -0.113 -0.745  -0.014 -0.534  0.084 -0.322  0.183 -0.111  0.282 0.101  0.380 0.312  0.479 0.524  0.578 0.735  0.676 0.947  0.775 1.158  0.835 1.194  0.835 0.961  0.636 0.871  0.414 0.797  0.256 0.651  0.151 0.442  -0.054 0.350  -0.275 0.276  -0.491 0.187  -0.699 0.083  -0.872 -0.072  -0.729 -0.109  -0.496 -0.109  -0.263 -0.109  -0.037 -0.117  0.010 -0.331  0.191 -0.458  0.391 -0.538  0.556 -0.703  0.732 -0.855  0.926 -0.984  1.120 -1.114  1.324 -1.226  1.533 -1.330
2#apa#apa14#app1499/B  -0.347 0.751  -0.509 0.905  -0.509 0.668  -0.509 0.431  -0.453 0.201  -0.396 -0.029  -0.347 -0.260  -0.347 -0.497  -0.347 -0.734  -0.347 -0.971  -0.350 -1.185  -0.407 -0.955  -0.465 -0.725  -0.509 -0.494  -0.509 -0.257  -0.509 -0.020  -0.509 0.217  -0.509 0.454  -0.509 0.691  -0.509 0.929  -0.445 1.139  -0.278 1.307  -0.185 1.505  -0.005 1.562  0.205 1.496  0.302 1.299  0.357 1.071  0.432 0.846  0.403 0.629  0.295 0.419  0.127 0.251  -0.048 0.102  -0.114 0.173  0.085 0.264  0.322 0.264  0.559 0.264  0.779 0.188  0.965 0.060  1.040 -0.165  1.113 -0.390  1.077 -0.619  0.971 -0.831  0.816 -1.007  0.648 -1.175  0.422 -1.211  0.197 -1.286  -0.028 -1.359  -0.265 -1.359  -0.502 -1.359  -0.347 -1.197
2#apa#apa14#app1499/R  -0.372 0.832  -0.365 0.599  -0.291 0.377  -0.217 0.154  -0.160 -0.070  -0.160 -0.305  -0.160 -0.539  -0.160 -0.773  -0.160 -1.007  -0.160 -1.241  -0.160 -1.476  -0.160 -1.300  -0.215 -1.073  -0.271 -0.846  -0.328 -0.618  -0.385 -0.391  -0.442 -0.164  -0.499 0.063  -0.556 0.290  -0.585 0.521  -0.585 0.755  -0.585 0.989  -0.585 1.224  -0.384 1.257  -0.215 1.414  -0.003 1.469  0.231 1.469  0.465 1.469  0.676 1.370  0.885 1.265  0.902 1.042  0.902 0.807  0.870 0.587  0.704 0.421  0.539 0.256  0.373 0.090  0.192 -0.054  -0.017 -0.159  -0.235 -0.230  -0.469 -0.230  -0.585 -0.349  -0.445 -0.443  -0.210 -0.443  -0.030 -0.573  0.158 -0.708  0.367 -0.813  0.556 -0.946  0.690 -1.125  0.737 -1.339  0.902 -1.505
2#apa#apa14#app1499/O  0.026 0.416  0.026 0.577  -0.069 0.642  -0.221 0.663  -0.335 0.777  -0.449 0.844  -0.562 0.731  -0.651 0.607  -0.651 0.446  -0.651 0.285  -0.672 0.128  -0.723 -0.025  -0.774 -0.178  -0.824 -0.330  -0.875 -0.483  -0.877 -0.643  -0.877 -0.804  -0.865 -0.962  -0.793 -1.106  -0.722 -1.250  -0.648 -1.389  -0.504 -1.317  -0.361 -1.245  -0.217 -1.174  -0.073 -1.102  0.071 -1.030  0.215 -0.958  0.313 -0.837  0.396 -0.699  0.479 -0.562  0.561 -0.424  0.644 -0.286  0.727 -0.148  0.810 -0.010  0.892 0.128  0.969 0.269  1.041 0.413  1.113 0.557  1.155 0.707  1.155 0.867  0.994 0.867  0.833 0.867  0.672 0.867  0.512 0.867  0.355 0.837  0.199 0.798  0.043 0.759  -0.113 0.720  -0.269 0.681  -0.425 0.642
2#apa#apa14#app1499/W  -1.101 0.689  -1.101 0.830  -1.101 0.755  -1.101 0.614  -1.101 0.473  -1.101 0.332  -1.101 0.191  -1.101 0.050  -1.081 -0.088  -1.046 -0.225  -1.012 -0.361  -0.978 -0.498  -0.944 -0.635  -0.862 -0.733  -0.736 -0.796  -0.610 -0.859  -0.472 -0.874  -0.365 -0.811  -0.287 -0.694  -0.209 -0.577  -0.131 -0.460  -0.059 -0.340  -0.059 -0.199  -0.021 -0.065  0.023 0.069  0.068 0.203  0.112 0.336  -0.021 0.342  -0.059 0.240  -0.059 0.099  -0.023 -0.005  0.116 -0.009  0.179 -0.135  0.242 -0.261  0.326 -0.353  0.467 -0.351  0.600 -0.306  0.734 -0.262  0.868 -0.217  0.991 -0.161  1.054 -0.035  1.117 0.091  1.194 0.206  1.294 0.306  1.358 0.427  1.403 0.561  1.447 0.695  1.492 0.828  1.429 0.937  1.330 1.036
2#apa#apa14#app1499/N  -0.710 -1.313  -0.710 -1.162  -0.710 -1.010  -0.710 -0.859  -0.710 -0.707  -0.710 -0.556  -0.710 -0.404  -0.710 -0.253  -0.710 -0.101  -0.710 0.050  -0.710 0.202  -0.710 0.353  -0.710 0.505  -0.710 0.656  -0.710 0.808  -0.710 0.959  -0.710 0.930  -0.710 0.778  -0.710 0.627  -0.656 0.488  -0.588 0.352  -0.521 0.217  -0.442 0.088  -0.358 -0.038  -0.274 -0.164  -0.190 -0.291  -0.106 -0.417  -0.074 -0.558  -0.043 -0.687  0.101 -0.735  0.245 -0.783  0.389 -0.831  0.532 -0.879  0.647 -0.804  0.754 -0.697  0.861 -0.590  0.969 -0.483  0.987 -0.339  0.987 -0.188  0.987 -0.036  0.987 0.115  0.987 0.267  0.987 0.418  0.987 0.570  0.987 0.721  0.966 0.869  0.918 1.013  0.871 1.157  0.823 1.301  0.775 1.444
