2#apa#apa15#app1573/T  -0.488 0.483  -0.488 0.328  -0.488 0.174  -0.453 0.024  -0.416 -0.125  -0.378 -0.275  -0.341 -0.425  -0.329 -0.578  -0.329 -0.732  -0.306 -0.883  -0.268 -1.033  -0.231 -1.182  -0.193 -1.332  -0.170 -1.484  -0.146 -1.535  -0.077 -1.397  -0.008 -1.259  0.061 -1.121  0.130 -0.983  0.199 -0.845  0.268 -0.707  0.337 -0.569  0.406 -0.431  0.475 -0.293  0.544 -0.155  0.613 -0.017  0.682 0.121  0.751 0.259  0.820 0.397  0.889 0.535  0.958 0.673  1.027 0.811  1.096 0.949  0.959 0.959  0.812 0.916  0.665 0.867  0.519 0.818  0.368 0.800  0.213 0.800  0.059 0.800  -0.095 0.800  -0.248 0.785  -0.399 0.755  -0.550 0.725  -0.702 0.694  -0.853 0.664  -1.003 0.629  -1.149 0.580  -1.295 0.531  -1.442 0.483
2#apa#apa15#app1573/w  -0.922 0.890  -1.056 0.890  -1.107 0.830  -1.065 0.703  -1.023 0.577  -0.980 0.450  -0.938 0.323  -0.922 0.192  -0.922 0.058  -0.922 -0.076  -0.922 -0.209  -0.922 -0.343  -0.922 -0.477  -0.922 -0.611  -0.922 -0.744  -0.792 -0.748  -0.676 -0.706  -0.581 -0.611  -0.487 -0.516  -0.392 -0.422  -0.301 -0.324  -0.242 -0.205  -0.182 -0.085  -0.122 0.034  -0.038 0.137  0.056 0.231  0.051 0.226  -0.044 0.131  -0.104 0.022  -0.104 -0.111  -0.025 -0.212  0.070 -0.307  0.164 -0.401  0.259 -0.496  0.366 -0.513  0.486 -0.453  0.605 -0.393  0.723 -0.331  0.817 -0.236  0.912 -0.141  1.006 -0.047  1.101 0.048  1.195 0.142  1.290 0.237  1.385 0.331  1.479 0.426  1.559 0.531  1.619 0.651  1.679 0.770  1.738 0.890
2#apa#apa15#app1573/o  -0.344 0.792  -0.424 0.712  -0.504 0.632  -0.584 0.552  -0.664 0.472  -0.744 0.392  -0.824 0.312  -0.877 0.221  -0.877 0.108  -0.877 -0.006  -0.877 -0.119  -0.877 -0.232  -0.854 -0.341  -0.818 -0.448  -0.782 -0.556  -0.746 -0.663  -0.711 -0.770  -0.675 -0.878  -0.639 -0.985  -0.588 -1.071  -0.475 -1.071  -0.362 -1.071  -0.259 -1.029  -0.158 -0.978  -0.057 -0.927  0.044 -0.877  0.146 -0.826  0.217 -0.746  0.268 -0.645  0.319 -0.544  0.369 -0.443  0.420 -0.342  0.470 -0.241  0.521 -0.139  0.572 -0.038  0.622 0.063  0.673 0.164  0.722 0.266  0.749 0.375  0.777 0.485  0.804 0.595  0.832 0.705  0.859 0.814  0.887 0.924  0.914 1.034  0.941 1.144  0.969 1.253  0.947 1.324  0.834 1.324  0.720 1.324
2#apa#apa15#app1573/f  0.263 0.711  0.387 0.836  0.388 0.989  0.332 1.156  0.276 1.323  0.263 1.496  0.118 1.527  -0.058 1.527  -0.216 1.451  -0.373 1.372  -0.460 1.224  -0.539 1.066  -0.553 0.894  -0.553 0.718  -0.553 0.542  -0.553 0.367  -0.542 0.193  -0.477 0.030  -0.411 -0.134  -0.346 -0.297  -0.281 -0.460  -0.219 -0.625  -0.177 -0.795  -0.134 -0.966  -0.092 -1.136  -0.020 -1.291  0.104 -1.415  0.228 -1.539  0.310 -1.455  0.375 -1.292  0.441 -1.129  0.506 -0.965  0.571 -0.802  0.636 -0.639  0.702 -0.476  0.767 -0.312  0.832 -0.149  0.898 0.014  0.787 0.058  0.611 0.058  0.440 0.021  0.270 -0.021  0.099 -0.064  -0.072 -0.106  -0.244 -0.141  -0.416 -0.175  -0.589 -0.210  -0.761 -0.244  -0.919 -0.307  -1.043 -0.431
2#apa#apa15#app1573/l  -0.235 1.679  -0.235 1.609  -0.235 1.539  -0.235 1.469  -0.235 1.399  -0.235 1.329  -0.235 1.259  -0.235 1.189  -0.235 1.119  -0.235 1.049  -0.223 0.981  -0.201 0.914  -0.179 0.848  -0.157 0.781  -0.135 0.715  -0.113 0.648  -0.090 0.582  -0.068 0.515  -0.046 0.449  -0.024 0.383  -0.014 0.314  -0.014 0.244  -0.014 0.174  -0.014 0.104  -0.014 0.034  -0.014 -0.036  -0.014 -0.106  -0.014 -0.176  -0.014 -0.246  -0.013 -0.316  0.004 -0.384  0.021 -0.452  0.038 -0.520  0.055 -0.588  0.072 -0.656  0.089 -0.724  0.106 -0.792  0.123 -0.860  0.140 -0.928  0.157 -0.996  0.174 -1.064  0.191 -1.132  0.209 -1.199  0.240 -1.262  0.272 -1.325  0.303 -1.387  0.334 -1.450  0.366 -1.513  0.397 -1.575  0.428 -1.638
2#apa#apa15#app1573/o  -0.308 0.638  -0.308 0.777  -0.308 0.848  -0.308 0.709  -0.356 0.590  -0.455 0.492  -0.552 0.393  -0.586 0.258  -0.619 0.123  -0.653 -0.012  -0.687 -0.146  -0.721 -0.281  -0.754 -0.416  -0.788 -0.551  -0.795 -0.689  -0.795 -0.828  -0.795 -0.967  -0.761 -1.085  -0.637 -1.147  -0.513 -1.210  -0.388 -1.272  -0.267 -1.285  -0.151 -1.208  -0.036 -1.131  0.080 -1.054  0.196 -0.976  0.311 -0.899  0.425 -0.821  0.469 -0.689  0.513 -0.557  0.557 -0.425  0.601 -0.293  0.645 -0.161  0.689 -0.029  0.733 0.103  0.777 0.234  0.820 0.366  0.864 0.498  0.908 0.630  0.911 0.769  0.888 0.894  0.764 0.956  0.640 1.018  0.515 1.080  0.387 1.126  0.248 1.126  0.109 1.126  -0.030 1.126  -0.169 1.126  -0.308 1.126
2#apa#apa15#app1573/w  -1.015 0.651  -1.140 0.651  -1.203 0.589  -1.203 0.463  -1.203 0.338  -1.203 0.213  -1.203 0.087  -1.203 -0.038  -1.174 -0.156  -1.118 -0.268  -1.062 -0.380  -1.001 -0.489  -0.912 -0.577  -0.822 -0.662  -0.696 -0.662  -0.578 -0.631  -0.466 -0.575  -0.354 -0.519  -0.253 -0.452  -0.197 -0.340  -0.141 -0.228  -0.085 -0.116  -0.077 0.008  -0.077 0.133  -0.077 0.258  -0.077 0.383  -0.077 0.419  -0.077 0.294  -0.043 0.174  -0.003 0.055  0.036 -0.064  0.076 -0.182  0.126 -0.287  0.251 -0.287  0.377 -0.287  0.502 -0.287  0.627 -0.287  0.739 -0.243  0.843 -0.173  0.948 -0.104  1.052 -0.034  1.156 0.035  1.257 0.109  1.345 0.198  1.434 0.286  1.523 0.375  1.611 0.463  1.612 0.589  1.612 0.714  1.612 0.839
2#apa#apa15#app1573/e  -0.672 -0.992  -0.514 -0.992  -0.357 -0.992  -0.267 -0.924  -0.267 -0.766  -0.267 -0.609  -0.131 -0.588  0.026 -0.588  0.170 -0.555  0.281 -0.443  0.393 -0.332  0.504 -0.221  0.541 -0.078  0.541 0.079  0.541 0.236  0.541 0.394  0.541 0.551  0.541 0.709  0.541 0.866  0.541 1.024  0.434 1.137  0.323 1.248  0.211 1.359  0.085 1.434  -0.073 1.434  -0.230 1.434  -0.353 1.349  -0.464 1.237  -0.575 1.126  -0.672 1.008  -0.672 0.851  -0.672 0.693  -0.672 0.536  -0.672 0.379  -0.672 0.221  -0.584 0.090  -0.497 -0.041  -0.410 -0.172  -0.322 -0.303  -0.235 -0.434  -0.148 -0.565  -0.060 -0.696  0.027 -0.827  0.114 -0.958  0.241 -1.044  0.382 -1.115  0.523 -1.185  0.664 -1.255  0.805 -1.326  0.945 -1.396
2#apa#apa15#app1573/r  -0.902 0.690  -0.902 0.592  -0.902 0.494  -0.902 0.396  -0.902 0.298  -0.902 0.200  -0.902 0.102  -0.902 0.004  -0.902 -0.094  -0.902 -0.192  -0.902 -0.290  -0.902 -0.388  -0.902 -0.486  -0.902 -0.584  -0.902 -0.682  -0.864 -0.741  -0.766 -0.741  -0.668 -0.741  -0.570 -0.741  -0.472 -0.741  -0.374 -0.741  -0.276 -0.741  -0.178 -0.741  -0.080 -0.741  0.018 -0.741  0.081 -0.683  0.125 -0.596  0.168 -0.508  0.212 -0.420  0.256 -0.333  0.300 -0.245  0.344 -0.157  0.388 -0.070  0.431 0.018  0.475 0.106  0.519 0.193  0.583 0.267  0.652 0.336  0.721 0.405  0.790 0.475  0.860 0.544  0.929 0.613  0.998 0.682  1.068 0.752  1.137 0.821  1.206 0.890  1.276 0.960  1.345 1.029  1.414 1.098  1.483 1.168
2#apa#apa15#app1573/h  -0.101 1.990  -0.161 1.870  -0.220 1.751  -0.280 1.632  -0.290 1.501  -0.290 1.368  -0.290 1.234  -0.290 1.101  -0.290 0.967  -0.290 0.834  -0.290 0.701  -0.290 0.567  -0.290 0.434  -0.290 0.301  -0.290 0.167  -0.290 0.034  -0.292 -0.099  -0.318 -0.230  -0.345 -0.361  -0.371 -0.492  -0.397 -0.622  -0.423 -0.753  -0.449 -0.884  -0.475 -1.015  -0.479 -1.148  -0.479 -1.164  -0.478 -1.031  -0.436 -0.905  -0.394 -0.778  -0.352 -0.652  -0.310 -0.525  -0.290 -0.395  -0.279 -0.266  -0.184 -0.172  -0.087 -0.082  0.032 -0.022  0.152 0.037  0.271 0.097  0.403 0.100  0.516 0.050  0.610 -0.045  0.705 -0.139  0.799 -0.233  0.883 -0.336  0.957 -0.447  1.030 -0.558  1.104 -0.669  1.178 -0.780  1.222 -0.900  1.222 -1.034
2#apa#apa15#app1573/a  -0.299 0.183  -0.123 0.183  0.047 0.200  0.172 0.325  0.296 0.450  0.359 0.601  0.359 0.777  0.359 0.954  0.359 1.130  0.359 1.307  0.359 1.484  0.245 1.385  0.120 1.260  -0.005 1.136  -0.130 1.011  -0.255 0.886  -0.380 0.761  -0.504 0.636  -0.629 0.511  -0.754 0.386  -0.879 0.262  -0.957 0.117  -0.957 -0.059  -0.957 -0.236  -0.957 -0.412  -0.957 -0.589  -0.957 -0.765  -0.819 -0.804  -0.643 -0.804  -0.514 -0.689  -0.389 -0.564  -0.264 -0.440  -0.139 -0.315  -0.014 -0.190  0.030 -0.031  0.030 0.145  0.168 0.183  0.345 0.183  0.410 0.029  0.466 -0.139  0.522 -0.306  0.578 -0.474  0.633 -0.641  0.690 -0.809  0.769 -0.967  0.848 -1.124  0.927 -1.282  1.006 -1.440  1.017 -1.614  1.017 -1.791
