2#apa#apa20#app2002/o  0.513 0.718  0.414 0.817  0.303 0.886  0.168 0.895  0.069 0.994  -0.046 1.053  -0.185 1.053  -0.324 1.053  -0.464 1.053  -0.571 0.975  -0.660 0.872  -0.660 0.733  -0.748 0.630  -0.827 0.523  -0.827 0.384  -0.827 0.244  -0.827 0.105  -0.827 -0.035  -0.827 -0.174  -0.827 -0.313  -0.827 -0.453  -0.827 -0.592  -0.778 -0.720  -0.716 -0.845  -0.646 -0.957  -0.506 -0.957  -0.404 -1.046  -0.297 -1.124  -0.157 -1.124  -0.018 -1.124  0.121 -1.124  0.252 -1.087  0.377 -1.025  0.502 -0.963  0.602 -0.867  0.701 -0.769  0.800 -0.670  0.848 -0.551  0.848 -0.411  0.848 -0.272  0.848 -0.132  0.848 0.007  0.848 0.147  0.848 0.286  0.818 0.413  0.719 0.512  0.680 0.635  0.624 0.718  0.513 0.746  0.513 0.886
2#apa#apa20#app2002/r  -0.481 0.602  -0.481 0.450  -0.594 0.410  -0.673 0.336  -0.657 0.187  -0.589 0.051  -0.521 -0.086  -0.481 -0.229  -0.464 -0.375  -0.356 -0.483  -0.288 -0.608  -0.272 -0.751  -0.135 -0.819  0.001 -0.887  0.096 -0.982  0.101 -1.132  0.209 -1.240  0.317 -1.348  0.425 -1.456  0.480 -1.436  0.444 -1.319  0.292 -1.319  0.288 -1.170  0.288 -1.017  0.288 -0.864  0.266 -0.721  0.158 -0.613  0.096 -0.486  0.096 -0.333  0.096 -0.180  -0.002 -0.068  -0.096 0.046  -0.096 0.199  -0.096 0.351  -0.190 0.410  -0.288 0.465  -0.288 0.618  -0.288 0.770  -0.288 0.923  -0.288 1.076  -0.239 1.179  -0.086 1.179  0.067 1.179  0.183 1.266  0.293 1.371  0.445 1.371  0.598 1.371  0.751 1.371  0.904 1.371  1.057 1.371
2#apa#apa20#app2002/*  -0.265 1.504  -0.265 1.155  -0.265 0.807  -0.265 0.459  -0.265 0.110  -0.265 -0.238  -0.150 -0.471  0.064 -0.605  0.064 -0.954  0.064 -1.302  -0.071 -1.324  -0.317 -1.077  -0.564 -0.831  -0.810 -0.585  -1.056 -0.338  -1.181 -0.142  -0.833 -0.142  -0.485 -0.142  -0.136 -0.142  0.212 -0.142  0.560 -0.142  0.834 0.006  1.043 0.285  1.252 0.564  1.461 0.842  1.670 1.121  1.710 0.893  1.498 0.633  1.197 0.516  0.908 0.373  0.637 0.187  0.393 0.082  0.270 -0.142  0.064 -0.285  -0.050 -0.586  -0.265 -0.846  -0.294 -1.072  -0.449 -0.761  -0.605 -0.449  -0.761 -0.138  -0.917 0.174  -1.072 0.485  -1.228 0.797  -1.044 0.637  -0.746 0.516  -0.455 0.377  -0.186 0.187  0.162 0.187  0.476 0.104  0.723 -0.142
2#apa#apa20#app2002/Z  -0.781 0.904  -0.889 1.027  -0.997 1.150  -0.843 1.227  -0.612 1.227  -0.382 1.227  -0.151 1.227  0.080 1.227  0.307 1.217  0.497 1.119  0.696 1.043  0.728 0.825  0.620 0.639  0.498 0.458  0.335 0.295  0.217 0.099  0.071 -0.077  -0.093 -0.240  -0.288 -0.359  -0.350 -0.551  -0.458 -0.737  -0.566 -0.860  -0.566 -1.091  -0.409 -1.194  -0.202 -1.252  0.029 -1.252  0.260 -1.252  0.465 -1.191  0.677 -1.144  0.908 -1.144  0.976 -1.099  0.779 -0.978  0.582 -0.858  0.385 -0.737  0.188 -0.617  -0.009 -0.497  -0.206 -0.376  -0.403 -0.256  -0.600 -0.135  -0.797 -0.015  -0.874 0.149  -0.751 0.257  -0.520 0.257  -0.290 0.257  -0.103 0.365  0.128 0.365  0.358 0.365  0.589 0.365  0.820 0.365  0.943 0.257
2#apa#apa20#app2002/A  -0.204 0.855  -0.364 0.652  -0.436 0.407  -0.514 0.158  -0.615 -0.082  -0.669 -0.332  -0.669 -0.593  -0.729 -0.830  -0.785 -1.069  -0.785 -1.330  -0.669 -1.154  -0.669 -0.893  -0.571 -0.671  -0.553 -0.417  -0.544 -0.157  -0.481 0.097  -0.436 0.353  -0.436 0.615  -0.427 0.875  -0.320 1.111  -0.320 1.373  -0.204 1.586  -0.140 1.783  0.006 1.667  0.115 1.464  0.144 1.214  0.260 1.000  0.316 0.745  0.383 0.493  0.492 0.257  0.565 0.012  0.608 -0.239  0.724 -0.453  0.767 -0.697  0.840 -0.928  0.973 -1.135  1.067 -1.345  0.882 -1.159  0.697 -0.974  0.512 -0.789  0.327 -0.604  0.142 -0.419  -0.043 -0.234  -0.286 -0.189  -0.209 -0.073  -0.064 0.043  0.198 0.043  0.460 0.043  0.709 -0.008  0.956 -0.073
2#apa#apa20#app2002/P  -0.321 -0.406  -0.321 -0.574  -0.321 -0.742  -0.321 -0.910  -0.321 -1.079  -0.321 -1.247  -0.321 -1.415  -0.321 -1.583  -0.321 -1.478  -0.321 -1.310  -0.321 -1.141  -0.321 -0.973  -0.321 -0.805  -0.321 -0.637  -0.321 -0.468  -0.321 -0.300  -0.390 -0.148  -0.442 0.008  -0.442 0.176  -0.442 0.344  -0.442 0.513  -0.442 0.681  -0.442 0.849  -0.442 1.017  -0.442 1.186  -0.395 1.334  -0.257 1.408  -0.089 1.408  0.033 1.296  0.197 1.287  0.357 1.250  0.507 1.175  0.630 1.061  0.711 0.915  0.798 0.773  0.917 0.654  1.009 0.524  1.009 0.355  1.009 0.187  0.967 0.036  0.848 -0.083  0.716 -0.181  0.556 -0.234  0.399 -0.290  0.278 -0.406  0.110 -0.406  -0.058 -0.406  -0.227 -0.406  -0.395 -0.406  -0.563 -0.406
2#apa#apa20#app2002/*  0.053 1.055  0.053 1.399  0.053 1.726  0.053 1.382  0.053 1.038  0.053 0.694  0.053 0.349  0.053 0.005  0.053 -0.339  0.053 -0.683  0.012 -0.975  -0.322 -0.892  -0.656 -0.808  -0.990 -0.725  -1.290 -0.645  -0.967 -0.624  -0.941 -0.305  -0.597 -0.305  -0.253 -0.305  0.089 -0.291  0.408 -0.163  0.728 -0.035  1.048 0.093  1.367 0.220  1.687 0.348  1.481 0.375  1.413 0.098  1.132 0.035  0.788 0.035  0.444 0.035  0.099 0.035  0.053 -0.263  -0.249 -0.305  -0.504 -0.522  -0.627 -0.815  -0.692 -0.824  -0.819 -0.504  -0.947 -0.184  -1.075 0.135  -1.203 0.455  -1.243 0.715  -0.899 0.715  -0.576 0.663  -0.332 0.420  -0.089 0.177  0.182 -0.029  0.490 -0.183  0.797 -0.337  1.105 -0.491  1.413 -0.645
2#apa#apa20#app2002/,  -0.217 1.684  -0.162 1.629  -0.107 1.574  -0.053 1.519  0.002 1.464  0.057 1.409  0.112 1.354  0.116 1.278  0.116 1.200  0.116 1.122  0.116 1.044  0.116 0.967  0.116 0.889  0.116 0.811  0.116 0.733  0.116 0.656  0.116 0.578  0.116 0.500  0.116 0.422  0.116 0.345  0.116 0.267  0.116 0.189  0.116 0.111  0.116 0.034  0.116 -0.044  0.116 -0.122  0.116 -0.200  0.116 -0.277  0.116 -0.355  0.116 -0.433  0.116 -0.511  0.116 -0.588  0.116 -0.666  0.116 -0.744  0.116 -0.822  0.116 -0.899  0.116 -0.977  0.048 -0.986  -0.030 -0.986  -0.107 -0.986  -0.185 -0.986  -0.217 -1.032  -0.217 -1.110  -0.217 -1.187  -0.217 -1.265  -0.240 -1.320  -0.318 -1.320  -0.396 -1.320  -0.473 -1.320  -0.551 -1.320
2#apa#apa20#app2002/*  -0.667 0.828  -0.320 0.828  -0.202 0.598  -0.202 0.250  -0.202 -0.098  0.040 -0.345  0.264 -0.601  0.264 -0.949  0.264 -1.296  0.161 -1.397  -0.085 -1.151  -0.331 -0.905  -0.577 -0.659  -0.823 -0.413  -1.069 -0.167  -1.315 0.079  -1.560 0.325  -1.304 0.363  -1.008 0.238  -0.762 -0.008  -0.454 -0.103  -0.106 -0.103  0.242 -0.103  0.494 -0.334  0.736 -0.554  0.892 -0.243  1.047 0.068  1.203 0.379  1.358 0.690  1.514 1.001  1.639 1.294  1.291 1.294  1.017 1.116  0.771 0.870  0.525 0.624  0.279 0.378  0.264 0.037  0.055 -0.103  -0.202 -0.194  -0.202 -0.541  -0.429 -0.795  -0.667 -1.024  -0.667 -0.676  -0.667 -0.328  -0.667 0.020  -0.662 0.363  -0.314 0.363  0.033 0.363  0.381 0.363  0.729 0.363
2#apa#apa20#app2002/K  -0.721 1.272  -0.721 1.058  -0.721 0.844  -0.721 0.630  -0.721 0.416  -0.721 0.201  -0.721 -0.013  -0.721 -0.227  -0.721 -0.441  -0.721 -0.656  -0.656 -0.843  -0.585 -1.027  -0.559 -1.138  -0.459 -0.948  -0.359 -0.759  -0.260 -0.569  -0.160 -0.380  -0.060 -0.190  0.040 -0.001  0.139 0.189  0.239 0.378  0.339 0.568  0.439 0.758  0.538 0.947  0.638 1.137  0.738 1.326  0.661 1.409  0.590 1.245  0.398 1.149  0.241 1.005  0.186 0.814  0.058 0.645  -0.038 0.454  -0.189 0.302  -0.340 0.151  -0.448 -0.019  -0.547 -0.192  -0.585 -0.391  -0.513 -0.575  -0.326 -0.640  -0.111 -0.640  0.103 -0.640  0.317 -0.640  0.485 -0.753  0.689 -0.777  0.897 -0.815  1.100 -0.883  1.309 -0.913  1.524 -0.913  1.738 -0.913
2#apa#apa20#app2002/A  0.149 0.477  0.032 0.343  -0.075 0.137  -0.191 -0.085  -0.318 -0.285  -0.374 -0.512  -0.508 -0.721  -0.551 -0.961  -0.551 -1.212  -0.551 -1.463  -0.551 -1.714  -0.551 -1.514  -0.551 -1.264  -0.487 -1.028  -0.434 -0.790  -0.434 -0.539  -0.434 -0.288  -0.434 -0.037  -0.370 0.203  -0.318 0.445  -0.318 0.696  -0.318 0.947  -0.318 1.197  -0.318 1.448  -0.201 1.650  -0.177 1.877  0.027 1.765  0.040 1.519  0.149 1.314  0.252 1.087  0.265 0.840  0.415 0.645  0.499 0.414  0.535 0.172  0.647 -0.052  0.759 -0.277  0.849 -0.506  0.896 -0.737  1.074 -0.914  0.876 -0.802  0.659 -0.676  0.442 -0.550  0.226 -0.423  0.009 -0.297  -0.207 -0.171  -0.312 0.010  -0.068 0.027  0.141 0.127  0.366 0.236  0.615 0.244
