2#apa#apa20#app2045/T  -0.079 0.354  -0.079 0.527  -0.079 0.700  -0.144 0.807  -0.079 0.708  -0.079 0.535  -0.079 0.363  -0.079 0.190  -0.079 0.018  -0.079 -0.155  -0.079 -0.328  -0.079 -0.500  -0.043 -0.667  -0.013 -0.835  -0.013 -1.007  0.002 -1.176  0.052 -1.337  0.117 -1.482  0.182 -1.628  0.295 -1.716  0.258 -1.596  0.194 -1.436  0.130 -1.275  0.066 -1.115  0.002 -0.955  -0.062 -0.795  -0.127 -0.634  -0.191 -0.474  -0.255 -0.314  -0.319 -0.154  -0.383 0.006  -0.447 0.167  -0.531 0.316  -0.622 0.463  -0.719 0.603  -0.796 0.705  -0.795 0.877  -0.649 0.941  -0.476 0.941  -0.304 0.941  -0.131 0.941  0.041 0.941  0.214 0.941  0.386 0.941  0.559 0.941  0.732 0.941  0.904 0.941  1.077 0.941  1.249 0.941  1.422 0.941
2#apa#apa20#app2045/w  -1.548 0.243  -1.487 0.335  -1.456 0.214  -1.456 0.062  -1.389 -0.075  -1.296 -0.193  -1.219 -0.323  -1.180 -0.467  -1.091 -0.582  -0.978 -0.677  -0.825 -0.677  -0.673 -0.677  -0.522 -0.670  -0.386 -0.602  -0.336 -0.477  -0.228 -0.370  -0.120 -0.262  -0.076 -0.128  -0.076 0.025  -0.076 0.177  -0.076 0.329  -0.076 0.482  -0.099 0.611  -0.227 0.552  -0.260 0.413  -0.260 0.260  -0.229 0.121  -0.168 -0.006  -0.140 -0.144  -0.013 -0.228  0.113 -0.314  0.229 -0.401  0.372 -0.441  0.513 -0.493  0.665 -0.493  0.817 -0.493  0.933 -0.405  1.068 -0.362  1.176 -0.254  1.212 -0.117  1.212 0.036  1.212 0.188  1.212 0.340  1.212 0.493  1.188 0.635  1.120 0.760  1.038 0.878  0.936 0.988  0.887 1.120  0.844 1.071
2#apa#apa20#app2045/o  0.294 0.686  0.149 0.686  0.036 0.717  -0.011 0.814  -0.137 0.859  -0.247 0.943  -0.391 0.943  -0.536 0.943  -0.659 0.891  -0.736 0.778  -0.772 0.649  -0.864 0.542  -0.864 0.398  -0.864 0.253  -0.864 0.109  -0.864 -0.036  -0.864 -0.180  -0.864 -0.325  -0.864 -0.469  -0.856 -0.610  -0.753 -0.712  -0.651 -0.814  -0.539 -0.904  -0.419 -0.984  -0.298 -1.064  -0.169 -1.116  -0.025 -1.116  0.120 -1.116  0.264 -1.116  0.409 -1.116  0.539 -1.058  0.669 -0.993  0.773 -0.894  0.875 -0.792  0.937 -0.673  0.937 -0.528  0.937 -0.384  0.937 -0.239  0.883 -0.107  0.819 0.022  0.770 0.158  0.724 0.295  0.678 0.432  0.613 0.561  0.547 0.689  0.445 0.791  0.343 0.894  0.241 0.996  0.139 1.098  0.036 1.200
2#apa#apa20#app2045/f  0.666 1.176  0.666 1.307  0.629 1.402  0.572 1.478  0.515 1.552  0.384 1.553  0.252 1.553  0.120 1.553  0.062 1.480  -0.014 1.379  -0.049 1.256  -0.089 1.133  -0.100 1.004  -0.159 0.886  -0.165 0.755  -0.165 0.624  -0.165 0.492  -0.138 0.366  -0.089 0.246  -0.089 0.114  -0.089 -0.018  -0.076 -0.148  -0.034 -0.273  -0.014 -0.402  0.020 -0.520  0.062 -0.634  0.062 -0.766  0.062 -0.898  0.062 -1.030  0.062 -1.162  0.022 -1.207  -0.077 -1.120  -0.176 -1.033  -0.275 -0.946  -0.375 -0.859  -0.474 -0.773  -0.583 -0.713  -0.640 -0.637  -0.691 -0.562  -0.559 -0.562  -0.427 -0.562  -0.324 -0.629  -0.195 -0.637  -0.071 -0.656  0.038 -0.713  0.170 -0.713  0.276 -0.775  0.402 -0.788  0.534 -0.788  0.666 -0.788
2#apa#apa20#app2045/l  0.060 1.189  0.027 1.254  -0.006 1.320  -0.009 1.393  -0.012 1.462  -0.077 1.453  -0.077 1.380  -0.077 1.307  -0.077 1.234  -0.077 1.160  -0.077 1.087  -0.077 1.014  -0.077 0.940  -0.077 0.867  -0.077 0.794  -0.077 0.720  -0.057 0.650  -0.034 0.581  -0.011 0.511  -0.009 0.438  -0.009 0.365  -0.009 0.292  -0.009 0.218  -0.009 0.145  -0.009 0.072  -0.009 -0.002  -0.009 -0.075  -0.009 -0.148  -0.009 -0.222  -0.009 -0.295  -0.009 -0.368  -0.009 -0.441  0.011 -0.512  0.035 -0.581  0.058 -0.651  0.060 -0.724  0.060 -0.797  0.060 -0.870  0.060 -0.944  0.060 -1.017  0.060 -1.090  0.060 -1.164  0.060 -1.237  0.060 -1.310  0.060 -1.383  0.060 -1.457  0.060 -1.530  0.060 -1.603  0.060 -1.677  0.060 -1.750
2#apa#apa20#app2045/o  -0.105 0.868  -0.105 1.003  -0.212 1.030  -0.323 0.974  -0.418 0.879  -0.514 0.784  -0.609 0.689  -0.704 0.593  -0.754 0.480  -0.770 0.349  -0.831 0.228  -0.891 0.108  -0.917 -0.021  -0.917 -0.155  -0.917 -0.290  -0.917 -0.425  -0.917 -0.559  -0.846 -0.665  -0.751 -0.760  -0.656 -0.855  -0.548 -0.919  -0.418 -0.931  -0.323 -1.026  -0.211 -1.081  -0.076 -1.081  0.058 -1.081  0.193 -1.081  0.296 -1.005  0.391 -0.910  0.487 -0.815  0.597 -0.757  0.708 -0.732  0.708 -0.598  0.800 -0.501  0.870 -0.396  0.870 -0.261  0.870 -0.126  0.870 0.008  0.870 0.143  0.870 0.278  0.870 0.412  0.867 0.546  0.772 0.641  0.677 0.736  0.581 0.831  0.486 0.927  0.391 1.022  0.296 1.117  0.192 1.193  0.058 1.193
2#apa#apa20#app2045/w  -1.096 0.929  -1.096 1.047  -1.096 0.868  -1.096 0.689  -1.096 0.511  -1.096 0.332  -1.096 0.154  -1.096 -0.025  -1.096 -0.204  -1.096 -0.382  -0.987 -0.515  -0.948 -0.678  -0.839 -0.811  -0.676 -0.851  -0.498 -0.848  -0.339 -0.768  -0.206 -0.671  -0.206 -0.493  -0.142 -0.341  -0.058 -0.197  -0.058 -0.018  -0.058 0.160  -0.058 0.339  -0.058 0.517  -0.058 0.696  -0.058 0.686  -0.058 0.508  -0.058 0.329  -0.058 0.151  -0.028 -0.021  0.052 -0.181  0.156 -0.323  0.238 -0.467  0.303 -0.619  0.448 -0.702  0.599 -0.767  0.743 -0.851  0.895 -0.787  0.980 -0.643  1.020 -0.474  1.100 -0.314  1.128 -0.142  1.128 0.036  1.128 0.215  1.128 0.394  1.128 0.572  1.128 0.751  1.128 0.929  1.001 1.056  0.980 1.225
2#apa#apa20#app2045/e  -1.063 0.293  -0.886 0.293  -0.709 0.293  -0.576 0.186  -0.434 0.103  -0.270 0.070  -0.145 -0.056  0.019 -0.086  0.196 -0.086  0.374 -0.086  0.551 -0.086  0.728 -0.086  0.905 -0.086  1.024 -0.029  1.024 0.148  1.024 0.325  1.011 0.497  0.885 0.622  0.760 0.747  0.635 0.873  0.510 0.998  0.384 1.123  0.257 1.242  0.079 1.242  -0.098 1.242  -0.275 1.242  -0.304 1.094  -0.400 0.957  -0.494 0.819  -0.516 0.651  -0.641 0.526  -0.684 0.366  -0.684 0.189  -0.684 0.012  -0.684 -0.165  -0.684 -0.343  -0.630 -0.466  -0.494 -0.507  -0.494 -0.684  -0.483 -0.857  -0.358 -0.982  -0.203 -1.035  -0.114 -1.124  -0.038 -1.225  0.139 -1.225  0.265 -1.276  0.303 -1.415  0.480 -1.415  0.657 -1.415  0.835 -1.415
2#apa#apa20#app2045/r  -0.626 0.532  -0.534 0.439  -0.483 0.329  -0.483 0.198  -0.483 0.067  -0.467 -0.057  -0.375 -0.150  -0.340 -0.266  -0.340 -0.397  -0.340 -0.528  -0.340 -0.659  -0.340 -0.790  -0.340 -0.921  -0.340 -1.052  -0.340 -1.183  -0.250 -1.277  -0.196 -1.385  -0.215 -1.437  -0.274 -1.320  -0.332 -1.202  -0.340 -1.073  -0.340 -0.942  -0.340 -0.811  -0.340 -0.680  -0.340 -0.549  -0.340 -0.419  -0.340 -0.288  -0.340 -0.157  -0.340 -0.026  -0.340 0.105  -0.340 0.236  -0.253 0.332  -0.196 0.439  -0.179 0.566  -0.121 0.683  -0.062 0.800  0.057 0.818  0.188 0.818  0.294 0.879  0.391 0.962  0.522 0.962  0.653 0.962  0.784 0.962  0.915 0.962  1.046 0.962  1.177 0.962  1.308 0.962  1.432 0.936  1.549 0.877  1.667 0.818
2#apa#apa20#app2045/h  -0.287 1.671  -0.287 1.817  -0.287 1.910  -0.287 1.765  -0.331 1.626  -0.375 1.488  -0.375 1.343  -0.390 1.201  -0.455 1.071  -0.463 0.927  -0.463 0.782  -0.463 0.637  -0.463 0.491  -0.463 0.346  -0.463 0.200  -0.463 0.055  -0.463 -0.090  -0.439 -0.230  -0.375 -0.360  -0.375 -0.506  -0.375 -0.651  -0.337 -0.788  -0.276 -0.919  -0.230 -1.057  -0.153 -1.152  -0.096 -1.241  -0.022 -1.169  -0.004 -1.028  0.061 -0.898  0.066 -0.754  0.066 -0.609  0.066 -0.463  0.066 -0.318  0.135 -0.201  0.154 -0.064  0.154 0.082  0.154 0.227  0.268 0.259  0.389 0.201  0.434 0.083  0.507 0.011  0.536 -0.122  0.623 -0.236  0.687 -0.367  0.733 -0.505  0.787 -0.638  0.860 -0.753  0.860 -0.898  0.908 -1.024  0.949 -1.152
2#apa#apa20#app2045/a  -0.726 0.844  -0.726 1.031  -0.726 1.219  -0.635 1.315  -0.448 1.315  -0.260 1.315  -0.072 1.315  0.113 1.298  0.291 1.238  0.469 1.179  0.532 1.037  0.683 1.001  0.818 0.872  0.846 0.696  0.846 0.509  0.846 0.321  0.765 0.215  0.610 0.136  0.455 0.057  0.267 0.057  0.080 0.057  -0.108 0.057  -0.296 0.057  -0.483 0.057  -0.671 0.057  -0.726 -0.075  -0.884 -0.105  -0.884 -0.293  -0.884 -0.481  -0.884 -0.668  -0.884 -0.856  -0.726 -0.886  -0.696 -1.044  -0.508 -1.044  -0.321 -1.044  -0.255 -0.922  -0.103 -0.886  0.078 -0.869  0.210 -0.736  0.297 -0.570  0.375 -0.401  0.375 -0.213  0.375 -0.175  0.375 -0.362  0.375 -0.550  0.375 -0.738  0.402 -0.914  0.535 -1.047  0.668 -1.179  0.846 -1.201
