2#apb#apb02#app0271/E  -0.544 0.765  -0.500 1.018  -0.543 0.749  -0.529 0.475  -0.516 0.202  -0.502 -0.072  -0.472 -0.344  -0.430 -0.615  -0.378 -0.884  -0.331 -1.154  -0.283 -1.143  -0.315 -0.871  -0.350 -0.599  -0.385 -0.327  -0.420 -0.056  -0.455 0.216  -0.490 0.488  -0.525 0.760  -0.560 1.031  -0.647 1.244  -0.456 1.320  -0.183 1.331  0.089 1.354  0.361 1.385  0.620 1.331  0.609 1.200  0.445 0.980  0.282 0.760  0.119 0.539  -0.044 0.319  -0.207 0.099  -0.374 -0.018  -0.298 0.047  -0.029 0.084  0.242 0.113  0.516 0.113  0.783 0.158  0.957 0.091  0.810 -0.140  0.658 -0.368  0.506 -0.596  0.354 -0.824  0.202 -1.052  0.050 -1.280  -0.114 -1.323  0.121 -1.324  0.395 -1.323  0.669 -1.321  0.939 -1.281  1.153 -1.257
2#apb#apb02#app0271/a  -0.058 0.689  -0.085 0.842  -0.136 0.981  -0.282 1.049  -0.425 1.045  -0.559 0.954  -0.688 0.858  -0.810 0.753  -0.924 0.639  -0.990 0.492  -1.052 0.344  -1.110 0.193  -1.157 0.040  -1.157 -0.121  -1.145 -0.281  -1.098 -0.435  -1.019 -0.568  -0.896 -0.673  -0.756 -0.751  -0.607 -0.799  -0.447 -0.782  -0.297 -0.727  -0.160 -0.643  -0.029 -0.549  0.061 -0.415  0.145 -0.278  0.191 -0.124  0.229 0.033  0.245 0.193  0.242 0.354  0.224 0.514  0.181 0.670  0.167 0.829  0.139 0.681  0.139 0.520  0.168 0.364  0.228 0.214  0.299 0.069  0.377 -0.072  0.494 -0.180  0.620 -0.281  0.749 -0.377  0.881 -0.470  1.019 -0.554  1.163 -0.626  1.305 -0.702  1.447 -0.776  1.608 -0.776  1.759 -0.755  1.801 -0.607
2#apb#apb02#app0271/s  -0.030 0.768  0.002 0.888  0.050 0.999  0.066 1.120  0.001 1.181  -0.115 1.135  -0.235 1.140  -0.355 1.175  -0.445 1.106  -0.527 1.010  -0.625 0.938  -0.743 0.894  -0.842 0.830  -0.898 0.718  -0.966 0.612  -1.008 0.504  -0.981 0.383  -0.892 0.294  -0.788 0.228  -0.673 0.177  -0.557 0.128  -0.436 0.095  -0.315 0.062  -0.193 0.034  -0.068 0.026  0.058 0.017  0.183 0.009  0.307 -0.006  0.431 -0.031  0.554 -0.055  0.670 -0.102  0.785 -0.153  0.884 -0.222  0.954 -0.326  1.024 -0.431  1.052 -0.548  1.023 -0.661  0.934 -0.750  0.843 -0.837  0.743 -0.912  0.642 -0.987  0.530 -1.040  0.411 -1.080  0.291 -1.118  0.171 -1.154  0.051 -1.191  -0.072 -1.216  -0.196 -1.233  -0.319 -1.212  -0.380 -1.205
2#apb#apb02#app0271/t  -0.506 1.297  -0.485 1.461  -0.480 1.625  -0.458 1.788  -0.443 1.695  -0.392 1.538  -0.347 1.379  -0.302 1.221  -0.242 1.067  -0.182 0.914  -0.122 0.760  -0.084 0.599  -0.046 0.439  -0.008 0.279  0.041 0.122  0.096 -0.034  0.150 -0.190  0.208 -0.344  0.273 -0.495  0.338 -0.647  0.380 -0.806  0.423 -0.966  0.485 -1.118  0.558 -1.265  0.613 -1.420  0.571 -1.440  0.441 -1.340  0.308 -1.244  0.183 -1.136  0.061 -1.026  -0.062 -0.916  -0.185 -0.805  -0.307 -0.695  -0.430 -0.585  -0.552 -0.474  -0.675 -0.364  -0.777 -0.240  -0.788 -0.107  -0.665 -0.022  -0.502 0.002  -0.341 0.039  -0.180 0.075  -0.018 0.105  0.144 0.136  0.307 0.160  0.470 0.181  0.634 0.199  0.799 0.199  0.964 0.199  1.129 0.199
2#apb#apb02#app0271/e  -0.560 0.054  -0.619 0.165  -0.526 0.142  -0.375 0.129  -0.223 0.113  -0.070 0.115  0.081 0.134  0.229 0.170  0.370 0.228  0.503 0.303  0.616 0.405  0.713 0.523  0.795 0.652  0.825 0.797  0.755 0.929  0.664 1.038  0.517 1.080  0.379 1.146  0.235 1.151  0.087 1.114  -0.056 1.060  -0.193 0.994  -0.317 0.905  -0.425 0.798  -0.527 0.684  -0.631 0.572  -0.739 0.464  -0.825 0.340  -0.888 0.200  -0.931 0.055  -0.961 -0.095  -0.959 -0.246  -0.920 -0.391  -0.831 -0.515  -0.735 -0.633  -0.633 -0.748  -0.520 -0.846  -0.378 -0.903  -0.235 -0.957  -0.088 -0.999  0.059 -1.041  0.209 -1.062  0.361 -1.051  0.514 -1.041  0.667 -1.036  0.820 -1.036  0.971 -1.027  1.116 -0.978  1.263 -0.937  1.414 -0.918
2#apb#apb02#app0271/r  -1.169 0.552  -1.114 0.660  -1.022 0.677  -0.963 0.568  -0.926 0.440  -0.862 0.325  -0.788 0.215  -0.714 0.104  -0.639 -0.005  -0.563 -0.114  -0.486 -0.223  -0.424 -0.339  -0.375 -0.462  -0.325 -0.586  -0.259 -0.700  -0.182 -0.808  -0.114 -0.921  -0.072 -1.047  -0.030 -1.173  0.012 -1.299  0.068 -1.419  0.087 -1.380  0.051 -1.252  0.016 -1.124  -0.000 -0.992  -0.017 -0.860  -0.030 -0.728  -0.043 -0.596  -0.051 -0.464  -0.036 -0.332  -0.021 -0.200  -0.004 -0.068  0.015 0.063  0.045 0.192  0.078 0.321  0.118 0.447  0.165 0.572  0.218 0.693  0.286 0.807  0.365 0.914  0.448 1.017  0.576 1.051  0.702 1.092  0.828 1.123  0.956 1.086  1.076 1.038  1.159 0.934  1.236 0.826  1.304 0.712  1.422 0.660
2#apb#apb02#app0271/n  -1.208 0.529  -1.142 0.664  -1.082 0.802  -0.969 0.726  -0.877 0.601  -0.787 0.475  -0.722 0.338  -0.692 0.186  -0.661 0.035  -0.631 -0.117  -0.600 -0.269  -0.566 -0.420  -0.528 -0.570  -0.484 -0.719  -0.438 -0.867  -0.389 -1.014  -0.337 -1.092  -0.399 -0.954  -0.420 -0.800  -0.420 -0.646  -0.418 -0.491  -0.404 -0.337  -0.390 -0.182  -0.388 -0.027  -0.388 0.127  -0.370 0.280  -0.327 0.429  -0.278 0.576  -0.197 0.705  -0.107 0.831  -0.014 0.945  0.137 0.979  0.281 1.030  0.419 0.961  0.538 0.864  0.647 0.754  0.716 0.620  0.765 0.473  0.816 0.327  0.885 0.188  0.944 0.046  0.974 -0.106  1.008 -0.257  1.052 -0.405  1.097 -0.554  1.146 -0.701  1.196 -0.847  1.254 -0.991  1.348 -1.110  1.409 -1.016
2#apb#apb02#app0271/F  -0.601 -0.094  -0.598 0.149  -0.580 0.390  -0.549 0.290  -0.490 0.055  -0.438 -0.183  -0.384 -0.419  -0.307 -0.650  -0.235 -0.882  -0.163 -1.114  -0.061 -1.334  0.047 -1.552  0.089 -1.593  0.007 -1.364  -0.091 -1.142  -0.189 -0.920  -0.288 -0.698  -0.386 -0.475  -0.484 -0.253  -0.582 -0.031  -0.681 0.191  -0.779 0.414  -0.856 0.643  -0.903 0.872  -0.786 1.083  -0.556 1.152  -0.314 1.168  -0.071 1.180  0.172 1.192  0.414 1.204  0.655 1.233  0.894 1.262  1.125 1.191  1.190 1.048  1.015 0.880  0.855 0.698  0.694 0.515  0.534 0.332  0.374 0.150  0.213 -0.033  0.053 -0.215  -0.107 -0.398  -0.258 -0.497  -0.209 -0.491  0.023 -0.542  0.266 -0.536  0.504 -0.488  0.746 -0.466  0.988 -0.460  1.089 -0.460
2#apb#apb02#app0271/u  -0.917 0.177  -0.917 0.300  -0.915 0.423  -0.885 0.543  -0.872 0.665  -0.868 0.780  -0.902 0.825  -0.917 0.849  -0.917 0.726  -0.917 0.602  -0.917 0.479  -0.917 0.356  -0.899 0.236  -0.848 0.123  -0.798 0.011  -0.751 -0.103  -0.705 -0.218  -0.659 -0.333  -0.577 -0.420  -0.479 -0.495  -0.382 -0.571  -0.284 -0.646  -0.185 -0.720  -0.086 -0.794  0.017 -0.861  0.122 -0.926  0.231 -0.980  0.353 -0.997  0.476 -1.010  0.599 -1.010  0.700 -0.969  0.763 -0.864  0.815 -0.752  0.864 -0.638  0.887 -0.518  0.898 -0.396  0.909 -0.273  0.905 -0.150  0.893 -0.027  0.880 0.096  0.852 0.216  0.822 0.336  0.792 0.455  0.761 0.575  0.727 0.693  0.700 0.813  0.679 0.935  0.651 1.055  0.615 1.173  0.608 1.228
2#apb#apb02#app0271/r  -0.990 0.324  -1.009 0.455  -1.052 0.568  -1.070 0.633  -0.985 0.533  -0.908 0.426  -0.835 0.316  -0.769 0.202  -0.702 0.088  -0.636 -0.026  -0.584 -0.147  -0.533 -0.269  -0.482 -0.391  -0.409 -0.500  -0.327 -0.603  -0.244 -0.706  -0.177 -0.818  -0.123 -0.939  -0.067 -1.057  0.027 -1.150  0.120 -1.244  0.153 -1.371  0.115 -1.257  0.072 -1.133  0.025 -1.009  -0.015 -0.884  -0.036 -0.754  -0.058 -0.624  -0.077 -0.493  -0.089 -0.362  -0.101 -0.230  -0.100 -0.099  -0.087 0.033  -0.073 0.164  -0.031 0.289  0.030 0.403  0.116 0.503  0.205 0.600  0.311 0.679  0.417 0.758  0.533 0.819  0.653 0.873  0.776 0.920  0.905 0.949  1.033 0.978  1.165 0.979  1.295 0.968  1.418 0.919  1.542 0.874  1.660 0.815
2#apb#apb02#app0271/n  -1.073 0.487  -1.015 0.623  -0.959 0.755  -0.912 0.720  -0.873 0.577  -0.838 0.433  -0.806 0.289  -0.776 0.143  -0.748 -0.002  -0.720 -0.148  -0.692 -0.293  -0.664 -0.439  -0.640 -0.585  -0.615 -0.731  -0.579 -0.875  -0.534 -1.015  -0.500 -1.142  -0.431 -1.041  -0.402 -0.895  -0.389 -0.748  -0.389 -0.600  -0.374 -0.452  -0.357 -0.305  -0.338 -0.158  -0.317 -0.011  -0.297 0.136  -0.282 0.283  -0.243 0.424  -0.182 0.559  -0.116 0.692  -0.032 0.814  0.079 0.909  0.209 0.972  0.354 0.980  0.484 0.908  0.594 0.812  0.687 0.697  0.775 0.577  0.859 0.455  0.942 0.333  1.019 0.206  1.084 0.074  1.127 -0.068  1.166 -0.211  1.193 -0.357  1.223 -0.502  1.258 -0.646  1.316 -0.782  1.359 -0.924  1.365 -0.926
2#apb#apb02#app0271/i  -0.423 0.003  -0.411 0.129  -0.397 0.256  -0.368 0.317  -0.322 0.199  -0.291 0.075  -0.263 -0.049  -0.241 -0.174  -0.223 -0.300  -0.223 -0.427  -0.223 -0.554  -0.209 -0.680  -0.188 -0.805  -0.165 -0.930  -0.134 -1.054  -0.062 -1.151  0.038 -1.227  0.164 -1.242  0.289 -1.241  0.411 -1.204  0.528 -1.158  0.630 -1.082  0.729 -1.002  0.819 -0.912  0.831 -0.790  0.821 -0.664  0.786 -0.542  0.718 -0.436  0.645 -0.332  0.571 -0.228  0.498 -0.124  0.424 -0.020  0.351 0.083  0.277 0.187  0.204 0.291  0.130 0.395  0.057 0.499  -0.017 0.602  -0.090 0.706  -0.164 0.810  -0.237 0.914  -0.311 1.018  -0.384 1.121  -0.458 1.225  -0.531 1.329  -0.605 1.433  -0.678 1.537  -0.752 1.641  -0.800 1.752  -0.749 1.809
2#apb#apb02#app0271/t  -0.148 1.668  -0.148 1.838  -0.094 1.898  -0.094 1.729  -0.082 1.559  -0.062 1.391  -0.042 1.222  -0.006 1.056  0.031 0.890  0.067 0.725  0.101 0.558  0.134 0.392  0.167 0.225  0.214 0.062  0.265 -0.100  0.315 -0.262  0.362 -0.425  0.408 -0.589  0.480 -0.742  0.554 -0.895  0.614 -1.054  0.630 -1.221  0.554 -1.331  0.387 -1.316  0.253 -1.218  0.123 -1.109  -0.007 -1.000  -0.138 -0.891  -0.268 -0.782  -0.399 -0.674  -0.529 -0.565  -0.660 -0.456  -0.790 -0.348  -0.920 -0.239  -1.079 -0.193  -1.173 -0.153  -1.016 -0.101  -0.854 -0.051  -0.690 -0.007  -0.525 0.030  -0.355 0.030  -0.185 0.030  -0.015 0.030  0.153 0.047  0.322 0.067  0.491 0.082  0.660 0.069  0.829 0.056  0.998 0.035  1.167 0.030
