2#apb#apb07#app0711/T  1.989 0.895  1.866 0.811  1.720 0.761  1.570 0.720  1.424 0.663  1.278 0.607  1.132 0.553  0.985 0.500  0.835 0.455  0.686 0.410  0.536 0.365  0.385 0.326  0.233 0.286  0.082 0.247  -0.069 0.208  -0.221 0.172  -0.373 0.135  -0.525 0.099  -0.678 0.066  -0.832 0.041  -0.986 0.015  -1.139 -0.016  -1.291 -0.052  -1.349 -0.127  -1.196 -0.119  -1.046 -0.077  -0.895 -0.035  -0.745 0.007  -0.594 0.048  -0.444 0.090  -0.293 0.132  -0.142 0.174  0.008 0.215  0.159 0.257  0.309 0.299  0.418 0.286  0.353 0.147  0.249 0.035  0.129 -0.063  0.044 -0.195  -0.046 -0.322  -0.149 -0.440  -0.234 -0.568  -0.281 -0.716  -0.331 -0.864  -0.391 -1.009  -0.433 -1.158  -0.468 -1.309  -0.568 -1.428  -0.671 -1.525
2#apb#apb07#app0711/h  -0.047 1.571  -0.105 1.442  -0.160 1.307  -0.215 1.173  -0.271 1.039  -0.328 0.905  -0.387 0.773  -0.446 0.640  -0.495 0.504  -0.535 0.364  -0.578 0.226  -0.630 0.090  -0.681 -0.046  -0.734 -0.181  -0.787 -0.316  -0.845 -0.449  -0.916 -0.576  -0.997 -0.695  -1.100 -0.797  -1.078 -0.698  -0.990 -0.585  -0.894 -0.476  -0.798 -0.366  -0.703 -0.256  -0.609 -0.146  -0.514 -0.036  -0.410 0.065  -0.296 0.153  -0.181 0.242  -0.064 0.329  0.054 0.413  0.191 0.439  0.334 0.428  0.470 0.376  0.580 0.286  0.679 0.180  0.739 0.048  0.763 -0.092  0.759 -0.236  0.726 -0.378  0.695 -0.520  0.673 -0.662  0.776 -0.765  0.920 -0.768  1.065 -0.768  1.206 -0.749  1.340 -0.693  1.474 -0.636  1.608 -0.580  1.742 -0.523
2#apb#apb07#app0711/o  0.461 -0.257  0.566 -0.204  0.683 -0.137  0.774 -0.057  0.774 0.079  0.749 0.211  0.704 0.340  0.659 0.469  0.595 0.589  0.532 0.710  0.468 0.830  0.403 0.950  0.312 1.048  0.203 1.127  0.067 1.135  -0.069 1.142  -0.191 1.081  -0.312 1.020  -0.434 0.959  -0.545 0.880  -0.653 0.797  -0.761 0.714  -0.851 0.615  -0.915 0.495  -0.980 0.375  -1.045 0.255  -1.047 0.121  -1.038 -0.015  -1.030 -0.151  -1.021 -0.287  -0.935 -0.392  -0.846 -0.495  -0.758 -0.599  -0.669 -0.703  -0.555 -0.771  -0.429 -0.823  -0.303 -0.875  -0.177 -0.927  -0.048 -0.964  0.088 -0.956  0.224 -0.949  0.360 -0.942  0.497 -0.935  0.622 -0.889  0.741 -0.823  0.860 -0.757  0.979 -0.691  1.040 -0.571  1.097 -0.447  1.153 -0.323
2#apb#apb07#app0711/r  1.458 0.611  1.315 0.753  1.155 0.876  0.993 0.995  0.810 1.081  0.628 1.167  0.437 1.232  0.244 1.288  0.043 1.270  -0.127 1.170  -0.255 1.031  -0.273 0.830  -0.290 0.629  -0.298 0.428  -0.298 0.226  -0.298 0.024  -0.278 -0.176  -0.240 -0.374  -0.203 -0.572  -0.166 -0.771  -0.132 -0.970  -0.099 -1.169  -0.066 -1.368  -0.033 -1.567  -0.002 -1.766  0.002 -1.727  -0.015 -1.526  -0.033 -1.325  -0.043 -1.124  -0.049 -0.922  -0.055 -0.721  -0.060 -0.519  -0.061 -0.317  -0.056 -0.115  -0.050 0.086  -0.045 0.288  -0.051 0.488  -0.102 0.684  -0.153 0.879  -0.222 1.067  -0.268 0.896  -0.298 0.696  -0.323 0.496  -0.331 0.294  -0.338 0.093  -0.340 -0.109  -0.318 -0.309  -0.296 -0.510  -0.273 -0.710  -0.251 -0.911
2#apb#apb07#app0711/t  -0.611 0.918  -0.487 0.804  -0.429 0.645  -0.414 0.477  -0.406 0.307  -0.406 0.137  -0.406 -0.032  -0.406 -0.202  -0.406 -0.372  -0.406 -0.541  -0.406 -0.711  -0.406 -0.881  -0.406 -1.051  -0.410 -1.220  -0.422 -1.389  -0.391 -1.553  -0.261 -1.607  -0.180 -1.458  -0.099 -1.309  -0.018 -1.159  0.063 -1.010  0.144 -0.861  0.225 -0.712  0.306 -0.563  0.387 -0.414  0.468 -0.265  0.549 -0.116  0.630 0.033  0.712 0.183  0.793 0.332  0.874 0.481  0.955 0.630  1.036 0.779  1.117 0.928  1.130 0.776  1.039 0.663  0.877 0.617  0.708 0.595  0.540 0.577  0.371 0.591  0.202 0.606  0.033 0.620  -0.135 0.642  -0.303 0.671  -0.470 0.699  -0.637 0.728  -0.805 0.747  -0.975 0.747  -1.145 0.747  -1.315 0.747
2#apb#apb07#app0711/o  0.582 0.246  0.665 0.353  0.694 0.471  0.659 0.602  0.606 0.725  0.525 0.833  0.427 0.919  0.298 0.962  0.170 1.005  0.038 1.029  -0.097 1.023  -0.233 1.018  -0.363 0.995  -0.481 0.926  -0.598 0.858  -0.715 0.790  -0.798 0.691  -0.851 0.566  -0.904 0.441  -0.957 0.317  -0.974 0.184  -0.978 0.048  -0.982 -0.087  -0.987 -0.223  -0.968 -0.352  -0.892 -0.464  -0.816 -0.577  -0.740 -0.689  -0.664 -0.801  -0.576 -0.899  -0.450 -0.949  -0.324 -1.000  -0.198 -1.050  -0.066 -1.070  0.069 -1.070  0.205 -1.070  0.337 -1.060  0.437 -0.969  0.538 -0.878  0.638 -0.786  0.732 -0.691  0.773 -0.562  0.813 -0.432  0.854 -0.303  0.894 -0.173  0.916 -0.040  0.924 0.095  0.932 0.231  0.940 0.366  0.947 0.502
2#apb#apb07#app0711/n  -0.670 1.263  -0.679 1.107  -0.704 0.953  -0.704 0.797  -0.704 0.641  -0.697 0.485  -0.687 0.328  -0.678 0.172  -0.664 0.017  -0.637 -0.137  -0.609 -0.291  -0.582 -0.445  -0.554 -0.598  -0.526 -0.752  -0.498 -0.906  -0.470 -1.060  -0.454 -1.214  -0.463 -1.370  -0.491 -1.522  -0.487 -1.426  -0.447 -1.275  -0.406 -1.125  -0.359 -0.975  -0.313 -0.826  -0.266 -0.677  -0.215 -0.529  -0.161 -0.383  -0.107 -0.236  -0.054 -0.089  0.000 0.058  0.047 0.207  0.094 0.356  0.141 0.505  0.188 0.654  0.279 0.781  0.370 0.908  0.496 0.953  0.569 0.815  0.638 0.675  0.692 0.528  0.745 0.381  0.782 0.230  0.810 0.076  0.920 0.061  1.042 0.154  1.137 0.278  1.232 0.402  1.300 0.543  1.368 0.684  1.435 0.825
2#apb#apb07#app0711/W  -0.998 1.021  -0.972 1.153  -1.011 1.096  -1.059 0.967  -1.091 0.830  -1.125 0.694  -1.141 0.555  -1.141 0.415  -1.133 0.275  -1.102 0.138  -1.070 0.001  -1.023 -0.131  -0.972 -0.262  -0.913 -0.389  -0.847 -0.513  -0.740 -0.601  -0.604 -0.614  -0.481 -0.546  -0.364 -0.469  -0.265 -0.370  -0.166 -0.271  -0.098 -0.148  -0.033 -0.024  0.030 0.102  0.084 0.232  0.141 0.360  0.191 0.283  0.224 0.147  0.246 0.008  0.269 -0.131  0.276 -0.271  0.282 -0.411  0.308 -0.548  0.349 -0.683  0.408 -0.807  0.529 -0.826  0.660 -0.783  0.766 -0.692  0.873 -0.600  0.955 -0.488  1.027 -0.367  1.099 -0.247  1.158 -0.121  1.184 0.017  1.209 0.155  1.235 0.293  1.232 0.433  1.218 0.573  1.204 0.712  1.190 0.852
2#apb#apb07#app0711/i  0.289 1.549  0.270 1.604  0.221 1.568  0.196 1.499  0.170 1.429  0.145 1.359  0.119 1.290  0.092 1.221  0.064 1.152  0.037 1.084  0.009 1.015  -0.018 0.946  -0.044 0.877  -0.062 0.805  -0.080 0.733  -0.098 0.661  -0.116 0.590  -0.134 0.518  -0.152 0.446  -0.170 0.374  -0.182 0.301  -0.188 0.227  -0.195 0.154  -0.201 0.080  -0.208 0.006  -0.214 -0.068  -0.220 -0.141  -0.227 -0.215  -0.233 -0.289  -0.227 -0.363  -0.219 -0.436  -0.211 -0.510  -0.203 -0.584  -0.196 -0.657  -0.188 -0.731  -0.180 -0.804  -0.147 -0.869  -0.108 -0.932  -0.069 -0.996  -0.030 -1.059  0.008 -1.122  0.052 -1.180  0.119 -1.210  0.187 -1.241  0.254 -1.271  0.322 -1.301  0.389 -1.332  0.457 -1.362  0.524 -1.393  0.592 -1.423
2#apb#apb07#app0711/l  0.122 1.399  0.110 1.450  0.075 1.508  0.028 1.488  -0.024 1.430  -0.075 1.372  -0.114 1.305  -0.152 1.238  -0.190 1.170  -0.221 1.100  -0.238 1.024  -0.254 0.949  -0.271 0.873  -0.287 0.798  -0.297 0.721  -0.301 0.644  -0.306 0.566  -0.311 0.489  -0.316 0.412  -0.321 0.335  -0.321 0.257  -0.315 0.180  -0.308 0.103  -0.302 0.026  -0.295 -0.051  -0.289 -0.128  -0.283 -0.206  -0.269 -0.281  -0.238 -0.352  -0.207 -0.423  -0.176 -0.494  -0.145 -0.565  -0.114 -0.636  -0.083 -0.707  -0.045 -0.773  0.007 -0.831  0.058 -0.889  0.110 -0.946  0.161 -1.004  0.222 -1.050  0.290 -1.086  0.359 -1.123  0.429 -1.155  0.505 -1.168  0.581 -1.182  0.657 -1.195  0.734 -1.188  0.810 -1.174  0.877 -1.140  0.936 -1.091
2#apb#apb07#app0711/k  -0.601 1.611  -0.620 1.740  -0.677 1.543  -0.717 1.343  -0.736 1.140  -0.750 0.935  -0.757 0.731  -0.757 0.526  -0.757 0.322  -0.757 0.117  -0.757 -0.087  -0.755 -0.292  -0.743 -0.496  -0.731 -0.700  -0.726 -0.905  -0.726 -1.109  -0.701 -1.303  -0.542 -1.192  -0.416 -1.030  -0.290 -0.869  -0.164 -0.708  -0.038 -0.547  0.088 -0.385  0.214 -0.224  0.339 -0.063  0.465 0.098  0.591 0.260  0.717 0.421  0.843 0.582  0.969 0.743  1.084 0.877  1.055 0.676  0.973 0.491  0.844 0.332  0.674 0.229  0.484 0.153  0.285 0.107  0.085 0.066  -0.119 0.075  -0.321 0.102  -0.302 0.000  -0.121 -0.095  0.052 -0.204  0.217 -0.324  0.381 -0.447  0.542 -0.573  0.694 -0.709  0.842 -0.850  0.994 -0.987  1.148 -1.122
