2#apb#apb09#app0911/O  -0.123 0.326  -0.134 0.464  -0.141 0.600  -0.242 0.680  -0.376 0.701  -0.505 0.650  -0.631 0.594  -0.739 0.508  -0.847 0.421  -0.925 0.309  -0.994 0.189  -1.062 0.069  -1.087 -0.067  -1.113 -0.203  -1.136 -0.339  -1.095 -0.471  -1.055 -0.603  -0.975 -0.708  -0.863 -0.789  -0.750 -0.867  -0.613 -0.882  -0.475 -0.898  -0.338 -0.913  -0.201 -0.901  -0.064 -0.880  0.073 -0.858  0.209 -0.836  0.339 -0.792  0.466 -0.736  0.592 -0.680  0.718 -0.622  0.822 -0.531  0.926 -0.440  1.029 -0.348  1.092 -0.225  1.154 -0.101  1.173 0.029  1.152 0.166  1.125 0.301  1.050 0.417  0.976 0.534  0.886 0.636  0.773 0.716  0.660 0.796  0.537 0.856  0.408 0.907  0.278 0.953  0.142 0.981  0.012 0.975  -0.110 0.909
2#apb#apb09#app0911/k  -1.144 1.393  -1.097 1.317  -1.032 1.110  -0.981 0.898  -0.930 0.687  -0.879 0.475  -0.828 0.264  -0.776 0.052  -0.724 -0.159  -0.671 -0.370  -0.607 -0.577  -0.527 -0.780  -0.461 -0.987  -0.424 -1.201  -0.365 -1.410  -0.280 -1.230  -0.188 -1.033  -0.095 -0.836  -0.002 -0.639  0.090 -0.442  0.183 -0.245  0.275 -0.048  0.368 0.149  0.461 0.346  0.553 0.543  0.646 0.740  0.738 0.937  0.830 1.131  0.741 0.934  0.610 0.763  0.456 0.609  0.265 0.505  0.071 0.408  -0.124 0.311  -0.324 0.235  -0.541 0.221  -0.759 0.219  -0.588 0.211  -0.376 0.161  -0.168 0.101  0.035 0.020  0.237 -0.061  0.437 -0.146  0.637 -0.231  0.816 -0.351  0.979 -0.495  1.139 -0.641  1.298 -0.790  1.453 -0.943  1.576 -1.122
2#apb#apb09#app0911/l  -0.441 1.635  -0.410 1.573  -0.378 1.511  -0.351 1.447  -0.327 1.382  -0.302 1.317  -0.278 1.252  -0.254 1.186  -0.230 1.121  -0.216 1.053  -0.206 0.985  -0.196 0.916  -0.185 0.847  -0.175 0.778  -0.165 0.710  -0.155 0.641  -0.145 0.572  -0.132 0.504  -0.119 0.436  -0.105 0.367  -0.092 0.299  -0.079 0.231  -0.066 0.163  -0.053 0.094  -0.039 0.026  -0.024 -0.042  -0.010 -0.110  0.005 -0.177  0.020 -0.245  0.035 -0.313  0.049 -0.381  0.068 -0.448  0.089 -0.514  0.111 -0.580  0.132 -0.647  0.153 -0.713  0.174 -0.779  0.195 -0.845  0.214 -0.912  0.234 -0.979  0.253 -1.046  0.273 -1.112  0.293 -1.179  0.318 -1.244  0.343 -1.309  0.368 -1.373  0.394 -1.438  0.432 -1.496  0.471 -1.553  0.510 -1.611
2#apb#apb09#app0911/a  0.472 0.334  0.499 0.484  0.485 0.629  0.416 0.765  0.326 0.886  0.217 0.994  0.095 1.078  -0.052 1.123  -0.200 1.132  -0.350 1.104  -0.496 1.065  -0.628 0.988  -0.760 0.910  -0.871 0.811  -0.958 0.685  -1.044 0.559  -1.084 0.414  -1.106 0.263  -1.129 0.112  -1.097 -0.037  -1.060 -0.185  -1.021 -0.333  -0.928 -0.454  -0.835 -0.575  -0.741 -0.695  -0.610 -0.774  -0.479 -0.852  -0.336 -0.902  -0.186 -0.932  -0.044 -0.914  0.088 -0.838  0.213 -0.752  0.305 -0.630  0.392 -0.505  0.446 -0.362  0.499 -0.219  0.527 -0.070  0.545 0.082  0.565 0.234  0.626 0.283  0.649 0.131  0.685 -0.016  0.745 -0.157  0.804 -0.298  0.871 -0.435  0.945 -0.569  1.019 -0.702  1.103 -0.830  1.193 -0.953  1.284 -1.077
2#apb#apb09#app0911/h  -0.746 1.414  -0.775 1.331  -0.785 1.199  -0.767 1.068  -0.749 0.936  -0.731 0.805  -0.718 0.673  -0.707 0.541  -0.696 0.409  -0.685 0.277  -0.656 0.147  -0.627 0.018  -0.597 -0.111  -0.580 -0.242  -0.573 -0.375  -0.566 -0.507  -0.557 -0.639  -0.547 -0.771  -0.531 -0.903  -0.509 -0.945  -0.551 -0.819  -0.555 -0.689  -0.542 -0.557  -0.515 -0.427  -0.488 -0.297  -0.459 -0.168  -0.397 -0.051  -0.335 0.067  -0.270 0.181  -0.172 0.271  -0.074 0.360  0.046 0.413  0.171 0.458  0.299 0.479  0.432 0.479  0.557 0.453  0.671 0.385  0.771 0.299  0.861 0.202  0.951 0.104  1.023 -0.007  1.092 -0.120  1.155 -0.236  1.211 -0.356  1.267 -0.476  1.312 -0.601  1.350 -0.728  1.392 -0.854  1.431 -0.980  1.470 -1.107
2#apb#apb09#app0911/o  -0.189 1.104  -0.290 1.078  -0.386 1.003  -0.468 0.913  -0.541 0.816  -0.614 0.718  -0.683 0.617  -0.738 0.508  -0.793 0.399  -0.847 0.289  -0.890 0.176  -0.914 0.056  -0.938 -0.064  -0.962 -0.183  -0.958 -0.305  -0.951 -0.427  -0.934 -0.546  -0.860 -0.643  -0.785 -0.739  -0.698 -0.819  -0.584 -0.862  -0.469 -0.905  -0.352 -0.934  -0.230 -0.940  -0.108 -0.946  0.014 -0.951  0.133 -0.926  0.250 -0.891  0.367 -0.855  0.478 -0.811  0.564 -0.724  0.651 -0.638  0.737 -0.551  0.807 -0.451  0.871 -0.348  0.936 -0.244  0.972 -0.131  0.985 -0.009  0.998 0.112  0.995 0.232  0.950 0.345  0.905 0.459  0.859 0.572  0.794 0.673  0.713 0.765  0.633 0.857  0.552 0.949  0.447 1.010  0.339 1.067  0.231 1.125
2#apb#apb09#app0911/m  -1.198 0.402  -1.245 0.275  -1.272 0.143  -1.255 0.008  -1.229 -0.125  -1.183 -0.253  -1.139 -0.382  -1.089 -0.508  -0.996 -0.583  -0.983 -0.472  -0.965 -0.339  -0.938 -0.205  -0.906 -0.073  -0.875 0.059  -0.830 0.188  -0.779 0.314  -0.715 0.431  -0.618 0.527  -0.496 0.578  -0.375 0.530  -0.278 0.437  -0.202 0.326  -0.155 0.198  -0.108 0.070  -0.083 -0.063  -0.055 -0.196  -0.015 -0.326  -0.002 -0.461  0.032 -0.488  0.122 -0.386  0.202 -0.277  0.278 -0.163  0.351 -0.049  0.424 0.066  0.500 0.179  0.589 0.281  0.679 0.384  0.794 0.455  0.915 0.502  1.047 0.466  1.163 0.396  1.256 0.302  1.323 0.184  1.379 0.060  1.420 -0.069  1.456 -0.200  1.476 -0.335  1.498 -0.469  1.524 -0.603  1.559 -0.734
2#apb#apb09#app0911/a  0.005 0.223  0.097 0.345  0.183 0.471  0.261 0.602  0.306 0.744  0.298 0.896  0.263 1.043  0.155 1.151  0.021 1.201  -0.131 1.209  -0.280 1.174  -0.427 1.135  -0.551 1.046  -0.675 0.957  -0.778 0.847  -0.860 0.718  -0.942 0.590  -0.996 0.450  -1.020 0.299  -1.044 0.148  -1.039 -0.002  -1.010 -0.152  -0.977 -0.300  -0.894 -0.429  -0.811 -0.557  -0.710 -0.670  -0.602 -0.778  -0.468 -0.839  -0.319 -0.871  -0.170 -0.840  -0.029 -0.785  0.099 -0.703  0.207 -0.599  0.294 -0.473  0.350 -0.333  0.391 -0.186  0.439 -0.041  0.492 0.102  0.573 0.192  0.603 0.042  0.642 -0.105  0.698 -0.247  0.755 -0.389  0.824 -0.525  0.895 -0.660  0.980 -0.787  1.073 -0.908  1.167 -1.028  1.275 -1.136  1.383 -1.244
2#apb#apb09#app0911/C  0.419 0.871  0.429 0.971  0.386 1.052  0.308 1.112  0.214 1.148  0.119 1.156  0.022 1.129  -0.075 1.102  -0.164 1.055  -0.252 1.006  -0.340 0.958  -0.421 0.898  -0.501 0.837  -0.580 0.776  -0.633 0.690  -0.685 0.604  -0.737 0.518  -0.777 0.427  -0.796 0.329  -0.815 0.230  -0.834 0.131  -0.818 0.033  -0.795 -0.065  -0.773 -0.163  -0.743 -0.258  -0.692 -0.345  -0.641 -0.431  -0.590 -0.518  -0.508 -0.572  -0.418 -0.619  -0.329 -0.665  -0.236 -0.702  -0.140 -0.733  -0.045 -0.763  0.051 -0.794  0.150 -0.808  0.250 -0.815  0.351 -0.822  0.451 -0.829  0.550 -0.816  0.648 -0.794  0.746 -0.771  0.844 -0.748  0.939 -0.716  1.034 -0.684  1.123 -0.639  1.205 -0.580  1.286 -0.521  1.366 -0.460  1.445 -0.399
2#apb#apb09#app0911/i  -0.177 1.575  -0.233 1.539  -0.249 1.485  -0.180 1.473  -0.140 1.435  -0.138 1.365  -0.135 1.295  -0.132 1.224  -0.130 1.154  -0.127 1.084  -0.124 1.014  -0.122 0.943  -0.119 0.873  -0.116 0.803  -0.114 0.732  -0.111 0.662  -0.108 0.592  -0.106 0.521  -0.103 0.451  -0.100 0.381  -0.098 0.311  -0.095 0.240  -0.092 0.170  -0.089 0.100  -0.088 0.029  -0.073 -0.039  -0.053 -0.107  -0.034 -0.174  -0.015 -0.242  -0.001 -0.311  0.013 -0.380  0.026 -0.449  0.040 -0.518  0.054 -0.587  0.071 -0.655  0.089 -0.723  0.107 -0.791  0.125 -0.859  0.143 -0.927  0.159 -0.996  0.175 -1.064  0.192 -1.133  0.208 -1.201  0.226 -1.269  0.248 -1.336  0.271 -1.402  0.286 -1.471  0.301 -1.540  0.321 -1.607  0.343 -1.674
2#apb#apb09#app0911/t  -1.691 -0.165  -1.563 -0.055  -1.404 -0.008  -1.239 0.025  -1.071 0.037  -0.902 0.045  -0.734 0.054  -0.566 0.066  -0.398 0.079  -0.230 0.092  -0.061 0.095  0.107 0.095  0.276 0.095  0.441 0.127  0.605 0.163  0.772 0.181  0.941 0.181  1.109 0.181  1.276 0.162  1.160 0.238  1.015 0.325  0.870 0.411  0.725 0.497  0.581 0.584  0.436 0.670  0.291 0.757  0.147 0.843  0.002 0.930  -0.143 1.016  -0.288 1.103  -0.319 1.129  -0.265 0.969  -0.221 0.807  -0.200 0.640  -0.179 0.472  -0.150 0.306  -0.120 0.140  -0.089 -0.025  -0.055 -0.190  -0.020 -0.355  0.014 -0.520  0.041 -0.687  0.068 -0.853  0.094 -1.020  0.114 -1.187  0.131 -1.355  0.147 -1.523  0.158 -1.691  0.174 -1.858  0.211 -2.023
