2#apb#apb10#app1032/F  -0.457 0.267  -0.300 0.285  -0.089 0.397  0.101 0.546  0.239 0.740  0.307 0.970  0.239 0.828  0.140 0.607  0.044 0.385  -0.065 0.169  -0.180 -0.044  -0.296 -0.256  -0.410 -0.469  -0.523 -0.683  -0.637 -0.896  -0.754 -1.108  -0.873 -1.319  -0.988 -1.532  -1.087 -1.751  -1.008 -1.622  -0.900 -1.406  -0.791 -1.190  -0.683 -0.973  -0.575 -0.757  -0.467 -0.540  -0.359 -0.324  -0.251 -0.108  -0.142 0.109  -0.034 0.325  0.074 0.541  0.250 0.643  0.484 0.703  0.713 0.781  0.942 0.858  1.172 0.934  1.399 1.017  1.503 1.017  1.298 0.889  1.093 0.761  0.888 0.633  0.682 0.505  0.477 0.377  0.272 0.249  0.067 0.121  -0.139 -0.007  -0.344 -0.135  -0.351 -0.251  -0.121 -0.178  0.106 -0.096  0.331 -0.013
2#apb#apb10#app1032/o  0.382 0.357  0.443 0.485  0.443 0.627  0.443 0.769  0.350 0.849  0.213 0.882  0.072 0.900  -0.069 0.892  -0.211 0.879  -0.344 0.840  -0.469 0.772  -0.594 0.704  -0.695 0.606  -0.790 0.500  -0.885 0.395  -0.955 0.271  -1.022 0.146  -1.090 0.020  -1.124 -0.116  -1.150 -0.256  -1.148 -0.394  -1.107 -0.530  -1.065 -0.666  -0.985 -0.774  -0.867 -0.853  -0.744 -0.919  -0.603 -0.930  -0.461 -0.941  -0.320 -0.938  -0.179 -0.915  -0.039 -0.891  0.101 -0.868  0.235 -0.824  0.362 -0.760  0.489 -0.697  0.616 -0.633  0.732 -0.551  0.842 -0.461  0.952 -0.371  1.031 -0.256  1.094 -0.129  1.144 0.002  1.157 0.144  1.170 0.285  1.078 0.389  0.975 0.485  0.847 0.549  0.719 0.609  0.584 0.654  0.443 0.660
2#apb#apb10#app1032/r  -0.424 0.433  -0.336 0.506  -0.301 0.423  -0.301 0.306  -0.322 0.190  -0.347 0.075  -0.371 -0.040  -0.405 -0.153  -0.439 -0.266  -0.474 -0.379  -0.506 -0.492  -0.539 -0.605  -0.571 -0.719  -0.605 -0.832  -0.639 -0.944  -0.671 -1.058  -0.699 -1.172  -0.716 -1.271  -0.696 -1.155  -0.675 -1.039  -0.655 -0.923  -0.635 -0.806  -0.615 -0.690  -0.595 -0.574  -0.574 -0.458  -0.554 -0.342  -0.534 -0.226  -0.486 -0.126  -0.394 -0.053  -0.301 0.020  -0.208 0.092  -0.118 0.168  -0.030 0.246  0.068 0.308  0.177 0.355  0.285 0.401  0.393 0.449  0.500 0.499  0.606 0.548  0.713 0.598  0.822 0.644  0.931 0.689  1.040 0.733  1.148 0.779  1.249 0.840  1.350 0.900  1.451 0.961  1.557 1.013  1.667 1.053  1.778 1.094
2#apb#apb10#app1032/d  -0.376 -0.424  -0.195 -0.424  -0.047 -0.363  0.031 -0.206  -0.042 -0.056  -0.214 -0.013  -0.392 -0.046  -0.571 -0.077  -0.743 -0.125  -0.905 -0.207  -1.048 -0.317  -1.155 -0.462  -1.228 -0.626  -1.272 -0.800  -1.260 -0.976  -1.152 -1.116  -0.988 -1.158  -0.816 -1.117  -0.654 -1.036  -0.540 -0.898  -0.431 -0.753  -0.323 -0.608  -0.214 -0.463  -0.106 -0.318  0.003 -0.173  0.111 -0.028  0.219 0.117  0.328 0.261  0.436 0.406  0.545 0.551  0.653 0.696  0.762 0.841  0.870 0.986  0.979 1.131  1.087 1.276  1.157 1.439  1.121 1.380  1.030 1.224  0.937 1.068  0.841 0.915  0.746 0.761  0.654 0.605  0.562 0.449  0.463 0.297  0.364 0.146  0.283 -0.016  0.205 -0.179  0.136 -0.346  0.085 -0.519  0.063 -0.698
2#apb#apb10#app1032/i  0.340 0.485  0.233 0.447  0.142 0.368  0.055 0.286  -0.007 0.183  -0.069 0.080  -0.131 -0.024  -0.193 -0.127  -0.256 -0.230  -0.319 -0.332  -0.383 -0.435  -0.446 -0.538  -0.493 -0.648  -0.536 -0.760  -0.579 -0.873  -0.620 -0.986  -0.653 -1.102  -0.666 -1.219  -0.646 -1.338  -0.543 -1.374  -0.446 -1.355  -0.402 -1.243  -0.358 -1.131  -0.314 -1.019  -0.270 -0.906  -0.226 -0.794  -0.182 -0.682  -0.138 -0.570  -0.094 -0.458  -0.050 -0.346  -0.006 -0.234  0.038 -0.121  0.082 -0.009  0.126 0.103  0.170 0.215  0.214 0.327  0.258 0.439  0.303 0.552  0.347 0.664  0.391 0.776  0.435 0.888  0.479 1.000  0.523 1.112  0.567 1.224  0.611 1.337  0.655 1.449  0.699 1.561  0.743 1.673  0.787 1.785  0.831 1.897
2#apb#apb10#app1032/r  0.264 1.237  0.193 1.139  0.144 1.007  0.093 0.876  0.042 0.745  -0.006 0.613  -0.045 0.477  -0.084 0.342  -0.122 0.207  -0.165 0.073  -0.222 -0.056  -0.278 -0.185  -0.335 -0.314  -0.391 -0.443  -0.443 -0.574  -0.491 -0.706  -0.539 -0.838  -0.578 -0.973  -0.605 -1.111  -0.633 -1.249  -0.641 -1.389  -0.639 -1.499  -0.618 -1.360  -0.598 -1.220  -0.577 -1.081  -0.557 -0.942  -0.537 -0.802  -0.516 -0.663  -0.496 -0.524  -0.476 -0.385  -0.455 -0.245  -0.435 -0.106  -0.415 0.033  -0.367 0.154  -0.260 0.245  -0.141 0.320  -0.022 0.394  0.109 0.447  0.241 0.494  0.374 0.541  0.506 0.589  0.643 0.619  0.781 0.647  0.920 0.675  1.058 0.702  1.193 0.739  1.328 0.779  1.463 0.818  1.599 0.858  1.734 0.898
2#apb#apb10#app1032/e  -0.421 -0.466  -0.327 -0.443  -0.230 -0.354  -0.109 -0.301  0.013 -0.249  0.132 -0.189  0.251 -0.130  0.360 -0.056  0.465 0.025  0.570 0.107  0.681 0.178  0.797 0.243  0.913 0.307  0.994 0.409  1.068 0.520  1.141 0.630  1.186 0.755  1.195 0.870  1.089 0.950  0.959 0.960  0.826 0.960  0.694 0.954  0.565 0.926  0.435 0.899  0.305 0.871  0.180 0.831  0.063 0.768  -0.054 0.705  -0.171 0.642  -0.277 0.566  -0.365 0.467  -0.454 0.368  -0.543 0.270  -0.612 0.157  -0.675 0.040  -0.738 -0.076  -0.801 -0.193  -0.842 -0.319  -0.879 -0.446  -0.915 -0.574  -0.952 -0.701  -0.924 -0.829  -0.889 -0.957  -0.855 -1.085  -0.761 -1.173  -0.654 -1.253  -0.546 -1.328  -0.421 -1.373  -0.296 -1.418  -0.172 -1.464
2#apb#apb10#app1032/c  1.217 1.076  1.142 1.076  1.066 1.073  0.991 1.064  0.916 1.055  0.841 1.045  0.766 1.036  0.698 1.006  0.634 0.966  0.570 0.926  0.506 0.886  0.442 0.846  0.379 0.804  0.319 0.757  0.259 0.711  0.200 0.664  0.140 0.618  0.080 0.572  0.021 0.525  -0.028 0.468  -0.072 0.406  -0.117 0.345  -0.161 0.284  -0.206 0.223  -0.250 0.162  -0.295 0.101  -0.339 0.039  -0.364 -0.032  -0.388 -0.104  -0.412 -0.175  -0.436 -0.247  -0.460 -0.319  -0.484 -0.391  -0.507 -0.463  -0.519 -0.537  -0.527 -0.612  -0.535 -0.687  -0.542 -0.763  -0.550 -0.838  -0.557 -0.913  -0.524 -0.981  -0.491 -1.049  -0.457 -1.116  -0.423 -1.184  -0.389 -1.252  -0.338 -1.307  -0.285 -1.361  -0.231 -1.414  -0.178 -1.468  -0.124 -1.521
2#apb#apb10#app1032/t  0.619 2.072  0.722 1.988  0.656 1.843  0.595 1.695  0.524 1.552  0.450 1.411  0.375 1.270  0.297 1.130  0.220 0.990  0.143 0.850  0.077 0.705  0.012 0.559  -0.054 0.414  -0.119 0.268  -0.185 0.122  -0.250 -0.023  -0.312 -0.171  -0.373 -0.318  -0.433 -0.466  -0.492 -0.615  -0.482 -0.769  -0.438 -0.921  -0.342 -1.041  -0.205 -1.123  -0.051 -1.153  0.108 -1.164  0.268 -1.167  0.427 -1.167  0.583 -1.140  0.726 -1.096  0.599 -0.999  0.472 -0.902  0.344 -0.806  0.217 -0.709  0.090 -0.612  -0.037 -0.516  -0.164 -0.419  -0.291 -0.322  -0.418 -0.226  -0.545 -0.129  -0.673 -0.032  -0.800 0.065  -0.790 0.115  -0.632 0.133  -0.472 0.138  -0.313 0.138  -0.153 0.138  0.007 0.138  0.166 0.138  0.326 0.138
2#apb#apb10#app1032/i  -0.503 -0.289  -0.524 -0.374  -0.544 -0.460  -0.557 -0.547  -0.569 -0.634  -0.582 -0.721  -0.584 -0.809  -0.584 -0.897  -0.584 -0.985  -0.584 -1.073  -0.584 -1.161  -0.584 -1.249  -0.552 -1.204  -0.513 -1.126  -0.473 -1.047  -0.433 -0.969  -0.393 -0.890  -0.354 -0.812  -0.314 -0.734  -0.274 -0.655  -0.234 -0.577  -0.194 -0.498  -0.155 -0.420  -0.115 -0.341  -0.075 -0.263  -0.035 -0.185  0.005 -0.106  0.044 -0.028  0.084 0.051  0.124 0.129  0.164 0.208  0.204 0.286  0.243 0.365  0.283 0.443  0.323 0.521  0.363 0.600  0.402 0.678  0.442 0.757  0.482 0.835  0.522 0.914  0.562 0.992  0.601 1.071  0.641 1.149  0.681 1.227  0.721 1.306  0.761 1.384  0.800 1.463  0.840 1.541  0.763 1.546  0.842 1.585
2#apb#apb10#app1032/o  0.145 0.830  0.040 0.893  -0.066 0.956  -0.186 0.966  -0.309 0.966  -0.432 0.966  -0.536 0.922  -0.623 0.835  -0.710 0.748  -0.797 0.661  -0.841 0.549  -0.876 0.431  -0.911 0.313  -0.947 0.195  -0.961 0.073  -0.974 -0.049  -0.988 -0.171  -0.984 -0.293  -0.969 -0.415  -0.953 -0.537  -0.888 -0.632  -0.794 -0.710  -0.699 -0.789  -0.584 -0.818  -0.462 -0.829  -0.340 -0.840  -0.217 -0.852  -0.097 -0.835  0.021 -0.802  0.140 -0.770  0.259 -0.738  0.377 -0.705  0.496 -0.673  0.614 -0.641  0.733 -0.608  0.844 -0.564  0.924 -0.471  1.004 -0.377  1.084 -0.284  1.115 -0.169  1.133 -0.047  1.143 0.074  1.113 0.194  1.083 0.313  1.047 0.429  0.960 0.516  0.873 0.603  0.775 0.674  0.665 0.729  0.555 0.784
