2#apb#apb14#app1454/R  -0.998 0.676  -0.986 0.849  -0.835 0.800  -0.748 0.645  -0.662 0.489  -0.585 0.328  -0.508 0.167  -0.431 0.007  -0.345 -0.149  -0.259 -0.305  -0.180 -0.465  -0.109 -0.628  -0.075 -0.802  -0.098 -0.974  -0.221 -1.030  -0.371 -0.934  -0.517 -0.832  -0.662 -0.728  -0.743 -0.572  -0.818 -0.410  -0.877 -0.242  -0.936 -0.074  -0.929 0.104  -0.921 0.282  -0.866 0.444  -0.762 0.589  -0.634 0.708  -0.484 0.805  -0.328 0.881  -0.150 0.895  0.027 0.909  0.203 0.904  0.373 0.852  0.544 0.800  0.695 0.713  0.830 0.597  0.934 0.458  1.000 0.293  1.010 0.121  0.987 -0.056  0.908 -0.215  0.818 -0.368  0.708 -0.509  0.641 -0.668  0.782 -0.740  0.960 -0.734  1.138 -0.720  1.316 -0.720  1.494 -0.720  1.672 -0.720
2#apb#apb14#app1454/o  -0.192 0.674  -0.283 0.764  -0.374 0.855  -0.498 0.819  -0.606 0.763  -0.680 0.658  -0.753 0.552  -0.826 0.447  -0.873 0.330  -0.901 0.204  -0.929 0.079  -0.956 -0.046  -0.978 -0.172  -0.978 -0.301  -0.978 -0.429  -0.965 -0.554  -0.894 -0.661  -0.822 -0.768  -0.720 -0.834  -0.599 -0.878  -0.478 -0.922  -0.352 -0.945  -0.225 -0.964  -0.098 -0.984  0.029 -0.973  0.156 -0.955  0.283 -0.937  0.399 -0.892  0.503 -0.817  0.607 -0.741  0.703 -0.658  0.777 -0.553  0.850 -0.447  0.901 -0.334  0.917 -0.206  0.933 -0.079  0.949 0.049  0.943 0.176  0.923 0.303  0.903 0.430  0.883 0.556  0.859 0.682  0.785 0.787  0.712 0.892  0.628 0.984  0.506 1.025  0.385 1.065  0.263 1.027  0.141 0.986  0.019 0.945
2#apb#apb14#app1454/s  0.167 0.982  0.096 1.089  -0.007 1.153  -0.127 1.187  -0.244 1.136  -0.361 1.085  -0.478 1.034  -0.576 0.953  -0.673 0.869  -0.769 0.786  -0.864 0.700  -0.955 0.610  -1.045 0.519  -1.129 0.423  -1.178 0.321  -1.126 0.204  -1.044 0.120  -0.924 0.076  -0.802 0.045  -0.674 0.045  -0.547 0.045  -0.419 0.045  -0.291 0.045  -0.163 0.045  -0.035 0.045  0.092 0.045  0.220 0.045  0.348 0.045  0.476 0.045  0.603 0.045  0.727 0.015  0.851 -0.018  0.972 -0.055  1.076 -0.129  1.134 -0.230  1.147 -0.357  1.116 -0.477  1.063 -0.593  0.986 -0.688  0.878 -0.757  0.771 -0.827  0.661 -0.891  0.546 -0.948  0.432 -1.005  0.315 -1.057  0.197 -1.105  0.078 -1.152  -0.046 -1.173  -0.173 -1.173  -0.301 -1.173
2#apb#apb14#app1454/e  -0.264 0.577  -0.289 0.735  -0.313 0.893  -0.305 1.050  -0.274 1.207  -0.184 1.333  -0.052 1.391  0.107 1.371  0.248 1.298  0.386 1.218  0.484 1.092  0.582 0.965  0.603 0.808  0.613 0.649  0.577 0.493  0.541 0.337  0.455 0.209  0.342 0.096  0.224 -0.011  0.094 -0.105  -0.035 -0.199  -0.188 -0.234  -0.347 -0.255  -0.506 -0.276  -0.664 -0.296  -0.763 -0.220  -0.813 -0.068  -0.864 0.084  -0.915 0.235  -0.905 0.242  -0.865 0.089  -0.841 -0.069  -0.808 -0.225  -0.748 -0.374  -0.684 -0.520  -0.606 -0.660  -0.504 -0.775  -0.364 -0.853  -0.217 -0.912  -0.062 -0.950  0.095 -0.980  0.255 -0.980  0.415 -0.980  0.574 -0.972  0.734 -0.958  0.893 -0.941  1.051 -0.918  1.210 -0.896  1.369 -0.879  1.528 -0.863
2#apb#apb14#app1454/n  -1.278 0.249  -1.238 0.163  -1.169 0.094  -1.101 0.025  -1.061 -0.062  -1.026 -0.153  -0.992 -0.244  -0.963 -0.336  -0.939 -0.431  -0.915 -0.525  -0.875 -0.612  -0.858 -0.704  -0.841 -0.661  -0.827 -0.565  -0.816 -0.468  -0.791 -0.375  -0.755 -0.285  -0.719 -0.195  -0.665 -0.114  -0.612 -0.033  -0.558 0.048  -0.495 0.121  -0.424 0.187  -0.352 0.253  -0.281 0.319  -0.210 0.385  -0.117 0.410  -0.022 0.432  0.072 0.454  0.167 0.477  0.263 0.482  0.360 0.482  0.458 0.482  0.555 0.482  0.645 0.449  0.736 0.413  0.826 0.377  0.916 0.340  0.998 0.288  1.080 0.236  1.162 0.184  1.220 0.107  1.275 0.027  1.331 -0.052  1.378 -0.137  1.426 -0.222  1.466 -0.310  1.500 -0.401  1.526 -0.494  1.542 -0.590
2#apb#apb14#app1454/b  -1.170 1.434  -1.119 1.553  -0.998 1.584  -0.894 1.521  -0.820 1.413  -0.747 1.306  -0.676 1.197  -0.633 1.074  -0.590 0.950  -0.548 0.827  -0.506 0.704  -0.467 0.579  -0.429 0.455  -0.390 0.330  -0.353 0.205  -0.323 0.078  -0.293 -0.049  -0.263 -0.176  -0.246 -0.305  -0.229 -0.434  -0.210 -0.563  -0.226 -0.637  -0.248 -0.509  -0.264 -0.381  -0.264 -0.251  -0.223 -0.128  -0.158 -0.022  -0.046 0.045  0.077 0.073  0.207 0.073  0.333 0.049  0.456 0.006  0.579 -0.037  0.698 -0.092  0.816 -0.147  0.917 -0.225  1.004 -0.322  1.064 -0.434  1.106 -0.558  1.094 -0.685  1.036 -0.795  0.939 -0.881  0.823 -0.934  0.698 -0.971  0.572 -1.003  0.442 -1.003  0.311 -1.003  0.182 -0.995  0.054 -0.971  -0.075 -0.947
2#apb#apb14#app1454/e  -0.618 -0.145  -0.604 0.024  -0.590 0.193  -0.533 0.353  -0.475 0.513  -0.410 0.669  -0.345 0.826  -0.242 0.958  -0.129 1.085  0.024 1.143  0.191 1.169  0.359 1.153  0.520 1.113  0.666 1.026  0.797 0.922  0.897 0.790  0.856 0.626  0.748 0.508  0.606 0.414  0.459 0.331  0.310 0.250  0.146 0.217  -0.023 0.203  -0.192 0.199  -0.362 0.199  -0.531 0.199  -0.646 0.253  -0.646 0.423  -0.716 0.454  -0.779 0.296  -0.823 0.135  -0.836 -0.035  -0.839 -0.203  -0.798 -0.367  -0.753 -0.530  -0.669 -0.678  -0.564 -0.810  -0.451 -0.937  -0.302 -1.003  -0.138 -1.044  0.030 -1.067  0.199 -1.077  0.368 -1.088  0.537 -1.078  0.707 -1.066  0.876 -1.060  1.046 -1.060  1.215 -1.060  1.300 -1.132  1.157 -1.204
2#apb#apb14#app1454/r  -0.765 -0.624  -0.802 -0.699  -0.802 -0.790  -0.802 -0.880  -0.812 -0.970  -0.829 -1.058  -0.866 -1.084  -0.909 -1.015  -0.884 -0.928  -0.859 -0.841  -0.838 -0.753  -0.828 -0.664  -0.818 -0.574  -0.808 -0.484  -0.783 -0.398  -0.743 -0.318  -0.702 -0.237  -0.662 -0.156  -0.611 -0.081  -0.558 -0.008  -0.505 0.065  -0.452 0.138  -0.399 0.211  -0.343 0.282  -0.276 0.342  -0.208 0.402  -0.141 0.462  -0.073 0.522  -0.003 0.578  0.080 0.615  0.162 0.652  0.245 0.688  0.328 0.721  0.419 0.721  0.509 0.721  0.599 0.721  0.684 0.692  0.766 0.656  0.849 0.619  0.931 0.582  1.004 0.530  1.074 0.473  1.143 0.415  1.202 0.347  1.248 0.270  1.294 0.192  1.331 0.109  1.367 0.027  1.404 -0.056  1.441 -0.138
2#apb#apb14#app1454/g  -0.284 1.257  -0.343 1.375  -0.500 1.348  -0.636 1.267  -0.751 1.151  -0.866 1.035  -0.977 0.914  -1.068 0.781  -1.127 0.628  -1.095 0.493  -0.946 0.448  -0.782 0.442  -0.618 0.442  -0.455 0.434  -0.291 0.425  -0.140 0.365  0.008 0.295  0.130 0.186  0.252 0.078  0.357 -0.045  0.431 -0.191  0.504 -0.338  0.540 -0.495  0.554 -0.658  0.562 -0.820  0.504 -0.974  0.432 -1.115  0.297 -1.209  0.150 -1.270  -0.012 -1.291  -0.169 -1.253  -0.318 -1.190  -0.433 -1.074  -0.489 -0.926  -0.455 -0.775  -0.378 -0.631  -0.273 -0.507  -0.157 -0.391  -0.042 -0.275  0.088 -0.175  0.219 -0.077  0.350 0.021  0.492 0.102  0.641 0.170  0.790 0.238  0.944 0.292  1.101 0.340  1.259 0.379  1.421 0.403  1.581 0.369
2#apb#apb14#app1454/F  -0.559 0.524  -0.459 0.326  -0.413 0.049  -0.413 -0.234  -0.491 -0.505  -0.577 -0.775  -0.664 -1.044  -0.781 -1.301  -0.988 -1.475  -1.119 -1.373  -0.933 -1.160  -0.748 -0.946  -0.562 -0.732  -0.376 -0.519  -0.191 -0.305  -0.005 -0.091  0.181 0.123  0.366 0.336  0.552 0.550  0.738 0.764  0.924 0.978  1.123 1.171  1.245 1.135  0.989 1.013  0.725 0.911  0.460 0.813  0.192 0.720  -0.076 0.631  -0.338 0.523  -0.597 0.409  -0.867 0.323  -1.129 0.218  -1.369 0.070  -1.086 0.077  -0.803 0.083  -0.520 0.089  -0.236 0.096  0.047 0.102  0.330 0.108  0.613 0.114  0.896 0.121  1.179 0.127  1.462 0.133  1.373 0.059  1.122 -0.069  0.876 -0.208  0.618 -0.327  0.359 -0.440  0.098 -0.549  -0.169 -0.643
2#apb#apb14#app1454/r  -0.571 1.004  -0.466 0.920  -0.392 0.813  -0.335 0.691  -0.278 0.570  -0.225 0.447  -0.213 0.314  -0.201 0.180  -0.188 0.047  -0.176 -0.087  -0.171 -0.220  -0.178 -0.354  -0.186 -0.488  -0.193 -0.622  -0.220 -0.752  -0.268 -0.877  -0.316 -1.002  -0.370 -1.124  -0.430 -1.244  -0.484 -1.367  -0.568 -1.440  -0.632 -1.343  -0.652 -1.213  -0.640 -1.080  -0.626 -0.946  -0.579 -0.821  -0.532 -0.695  -0.485 -0.570  -0.432 -0.447  -0.367 -0.330  -0.302 -0.212  -0.238 -0.095  -0.173 0.022  -0.100 0.134  -0.017 0.239  0.066 0.344  0.149 0.450  0.232 0.555  0.323 0.652  0.434 0.728  0.544 0.804  0.654 0.881  0.780 0.924  0.908 0.963  1.036 1.003  1.170 1.004  1.304 1.004  1.423 0.956  1.533 0.879  1.643 0.802
