2#apb#apb14#app1470/H  -1.154 0.756  -1.148 0.963  -1.075 0.728  -1.036 0.484  -1.018 0.236  -1.026 -0.011  -1.037 -0.259  -1.056 -0.506  -1.110 -0.746  -1.273 -0.889  -1.038 -0.809  -0.804 -0.728  -0.569 -0.648  -0.335 -0.567  -0.101 -0.486  0.134 -0.406  0.368 -0.325  0.603 -0.245  0.837 -0.164  1.072 -0.084  1.306 -0.003  1.540 0.078  1.775 0.158  1.587 0.149  1.341 0.118  1.094 0.096  0.848 0.066  0.603 0.028  0.357 -0.001  0.110 -0.008  -0.138 -0.022  -0.384 -0.049  -0.632 -0.054  -0.878 -0.075  -1.110 -0.120  -0.945 -0.006  -0.743 0.139  -0.542 0.284  -0.341 0.428  -0.139 0.573  0.062 0.718  0.263 0.862  0.482 0.813  0.661 0.642  0.765 0.418  0.809 0.175  0.830 -0.072  0.812 -0.318  0.757 -0.559  0.616 -0.754
2#apb#apb14#app1470/o  0.191 0.870  0.063 0.916  -0.066 0.963  -0.192 0.952  -0.316 0.896  -0.440 0.838  -0.541 0.747  -0.643 0.655  -0.738 0.558  -0.808 0.441  -0.878 0.324  -0.948 0.206  -1.009 0.084  -1.061 -0.042  -1.114 -0.168  -1.090 -0.299  -1.054 -0.431  -0.996 -0.551  -0.912 -0.659  -0.824 -0.763  -0.707 -0.834  -0.590 -0.904  -0.460 -0.934  -0.324 -0.943  -0.188 -0.952  -0.051 -0.952  0.085 -0.943  0.222 -0.933  0.352 -0.903  0.472 -0.837  0.591 -0.772  0.708 -0.700  0.823 -0.627  0.935 -0.551  0.972 -0.419  1.010 -0.288  1.047 -0.157  1.047 -0.020  1.047 0.117  1.047 0.253  1.003 0.381  0.952 0.508  0.862 0.603  0.748 0.679  0.627 0.739  0.495 0.772  0.362 0.805  0.229 0.788  0.096 0.758  -0.037 0.727
2#apb#apb14#app1470/n  -1.074 0.377  -1.041 0.401  -0.968 0.313  -0.937 0.203  -0.905 0.093  -0.874 -0.017  -0.843 -0.127  -0.813 -0.237  -0.782 -0.347  -0.764 -0.460  -0.748 -0.573  -0.733 -0.686  -0.720 -0.800  -0.715 -0.914  -0.742 -0.836  -0.762 -0.724  -0.772 -0.610  -0.771 -0.497  -0.745 -0.385  -0.719 -0.274  -0.663 -0.176  -0.601 -0.080  -0.539 0.016  -0.476 0.112  -0.403 0.200  -0.331 0.288  -0.258 0.376  -0.184 0.463  -0.084 0.517  0.017 0.571  0.118 0.625  0.231 0.637  0.345 0.645  0.458 0.647  0.567 0.611  0.675 0.575  0.781 0.533  0.876 0.469  0.971 0.406  1.061 0.335  1.146 0.259  1.230 0.182  1.311 0.101  1.383 0.014  1.429 -0.091  1.457 -0.201  1.478 -0.313  1.478 -0.427  1.478 -0.542  1.478 -0.656
2#apb#apb14#app1470/o  -0.365 0.696  -0.404 0.815  -0.475 0.915  -0.577 0.951  -0.661 0.865  -0.733 0.762  -0.803 0.658  -0.854 0.543  -0.904 0.428  -0.954 0.313  -0.991 0.195  -1.001 0.070  -1.011 -0.056  -1.015 -0.181  -1.015 -0.306  -1.015 -0.432  -0.953 -0.532  -0.864 -0.621  -0.765 -0.696  -0.657 -0.760  -0.549 -0.822  -0.423 -0.822  -0.298 -0.822  -0.172 -0.822  -0.046 -0.822  0.079 -0.822  0.205 -0.822  0.327 -0.805  0.444 -0.759  0.560 -0.712  0.677 -0.665  0.792 -0.615  0.906 -0.564  0.973 -0.465  1.022 -0.350  1.072 -0.235  1.099 -0.115  1.099 0.011  1.099 0.136  1.085 0.258  1.019 0.365  0.954 0.472  0.888 0.579  0.790 0.657  0.690 0.732  0.589 0.807  0.472 0.837  0.347 0.844  0.221 0.852  0.096 0.859
2#apb#apb14#app1470/l  -0.233 1.379  -0.210 1.446  -0.171 1.497  -0.130 1.508  -0.091 1.449  -0.051 1.390  -0.032 1.322  -0.018 1.253  -0.004 1.183  0.008 1.113  0.018 1.042  0.028 0.972  0.038 0.902  0.048 0.831  0.054 0.760  0.058 0.689  0.061 0.618  0.065 0.547  0.069 0.476  0.073 0.405  0.072 0.334  0.065 0.263  0.058 0.193  0.051 0.122  0.044 0.051  0.037 -0.020  0.030 -0.090  0.028 -0.162  0.028 -0.233  0.028 -0.304  0.028 -0.375  0.028 -0.446  0.028 -0.517  0.028 -0.588  0.026 -0.659  0.021 -0.730  0.016 -0.801  0.012 -0.872  0.007 -0.943  0.004 -1.014  0.004 -1.085  0.004 -1.157  0.004 -1.228  0.001 -1.299  -0.007 -1.369  -0.015 -1.440  -0.026 -1.510  -0.043 -1.579  -0.043 -1.650  -0.091 -1.674
2#apb#apb14#app1470/u  -1.440 0.459  -1.392 0.538  -1.302 0.520  -1.236 0.449  -1.200 0.358  -1.164 0.268  -1.126 0.178  -1.089 0.088  -1.054 -0.003  -1.025 -0.097  -0.996 -0.190  -0.952 -0.277  -0.909 -0.364  -0.861 -0.449  -0.812 -0.534  -0.741 -0.591  -0.644 -0.601  -0.555 -0.568  -0.467 -0.524  -0.386 -0.471  -0.304 -0.417  -0.215 -0.381  -0.121 -0.353  -0.026 -0.332  0.070 -0.327  0.165 -0.350  0.257 -0.380  0.353 -0.400  0.441 -0.441  0.537 -0.457  0.634 -0.450  0.727 -0.426  0.815 -0.383  0.896 -0.329  0.957 -0.258  0.995 -0.168  1.018 -0.073  1.038 0.022  1.032 0.119  1.025 0.217  1.019 0.314  0.997 0.409  0.976 0.504  0.952 0.599  0.923 0.692  0.895 0.785  0.866 0.879  0.838 0.972  0.809 1.065  0.779 1.158
2#apb#apb14#app1470/l  -0.197 1.541  -0.193 1.601  -0.144 1.552  -0.113 1.490  -0.088 1.425  -0.063 1.360  -0.038 1.295  -0.024 1.227  -0.020 1.157  -0.016 1.088  -0.013 1.018  -0.009 0.948  -0.005 0.878  -0.002 0.809  0.000 0.739  0.003 0.669  0.006 0.599  0.008 0.529  0.011 0.460  0.013 0.390  0.016 0.320  0.018 0.250  0.018 0.180  0.018 0.110  0.018 0.041  0.018 -0.029  0.018 -0.099  0.018 -0.169  0.018 -0.239  0.018 -0.309  0.018 -0.379  0.018 -0.448  0.018 -0.518  0.018 -0.588  0.018 -0.658  0.018 -0.728  0.018 -0.798  0.019 -0.868  0.023 -0.937  0.028 -1.007  0.032 -1.077  0.037 -1.146  0.042 -1.216  0.048 -1.286  0.054 -1.355  0.061 -1.425  0.061 -1.495  0.061 -1.564  0.061 -1.634  0.061 -1.704
2#apb#apb14#app1470/u  -1.078 1.063  -1.042 0.963  -0.998 0.863  -0.980 0.757  -0.964 0.650  -0.948 0.542  -0.932 0.435  -0.915 0.328  -0.898 0.221  -0.881 0.114  -0.868 0.006  -0.862 -0.102  -0.856 -0.210  -0.845 -0.318  -0.811 -0.421  -0.777 -0.523  -0.756 -0.629  -0.734 -0.735  -0.647 -0.776  -0.540 -0.759  -0.436 -0.728  -0.333 -0.696  -0.234 -0.652  -0.134 -0.609  -0.033 -0.571  0.072 -0.546  0.180 -0.535  0.287 -0.543  0.393 -0.564  0.497 -0.593  0.603 -0.614  0.711 -0.614  0.803 -0.575  0.860 -0.484  0.889 -0.382  0.889 -0.274  0.893 -0.166  0.901 -0.058  0.910 0.050  0.903 0.159  0.896 0.267  0.889 0.375  0.883 0.483  0.876 0.592  0.870 0.700  0.868 0.808  0.868 0.917  0.864 1.025  0.849 1.132  0.848 1.229
2#apb#apb14#app1470/L  0.087 1.519  0.050 1.414  0.030 1.289  0.005 1.163  -0.021 1.038  -0.053 0.914  -0.086 0.791  -0.119 0.668  -0.152 0.545  -0.205 0.428  -0.258 0.312  -0.312 0.196  -0.365 0.080  -0.423 -0.033  -0.483 -0.146  -0.542 -0.259  -0.618 -0.361  -0.701 -0.458  -0.785 -0.555  -0.879 -0.641  -0.974 -0.727  -1.065 -0.816  -1.175 -0.843  -1.144 -0.731  -1.063 -0.634  -0.970 -0.547  -0.876 -0.460  -0.767 -0.395  -0.654 -0.336  -0.541 -0.277  -0.427 -0.219  -0.305 -0.181  -0.183 -0.144  -0.061 -0.106  0.062 -0.071  0.189 -0.057  0.316 -0.043  0.442 -0.029  0.570 -0.017  0.697 -0.017  0.825 -0.017  0.953 -0.017  1.079 -0.031  1.205 -0.052  1.331 -0.073  1.455 -0.102  1.579 -0.134  1.693 -0.191  1.794 -0.267  1.845 -0.368
2#apb#apb14#app1470/i  -0.407 0.042  -0.368 -0.018  -0.352 -0.122  -0.336 -0.226  -0.323 -0.331  -0.311 -0.435  -0.301 -0.540  -0.301 -0.645  -0.301 -0.751  -0.301 -0.856  -0.301 -0.961  -0.301 -1.067  -0.301 -1.172  -0.301 -1.277  -0.271 -1.375  -0.243 -1.434  -0.221 -1.331  -0.198 -1.228  -0.176 -1.125  -0.153 -1.022  -0.130 -0.920  -0.108 -0.817  -0.085 -0.714  -0.063 -0.611  -0.040 -0.508  -0.017 -0.405  0.005 -0.302  0.028 -0.200  0.050 -0.097  0.073 0.006  0.096 0.109  0.118 0.212  0.141 0.315  0.163 0.417  0.186 0.520  0.209 0.623  0.231 0.726  0.254 0.829  0.276 0.932  0.299 1.035  0.322 1.137  0.344 1.240  0.367 1.343  0.389 1.446  0.412 1.549  0.435 1.652  0.456 1.745  0.442 1.642  0.456 1.538  0.456 1.433
2#apb#apb14#app1470/t  -0.568 1.521  -0.509 1.374  -0.451 1.227  -0.395 1.079  -0.340 0.930  -0.294 0.779  -0.255 0.625  -0.217 0.472  -0.180 0.318  -0.147 0.163  -0.115 0.008  -0.085 -0.148  -0.066 -0.305  -0.048 -0.462  -0.021 -0.618  0.014 -0.773  0.043 -0.928  0.059 -1.086  0.049 -1.243  -0.012 -1.281  -0.125 -1.170  -0.239 -1.060  -0.352 -0.949  -0.465 -0.838  -0.579 -0.727  -0.692 -0.617  -0.805 -0.506  -0.918 -0.395  -1.032 -0.285  -1.068 -0.161  -0.972 -0.046  -0.827 0.018  -0.674 0.057  -0.518 0.088  -0.365 0.124  -0.214 0.172  -0.063 0.220  0.090 0.263  0.246 0.285  0.403 0.306  0.560 0.327  0.718 0.345  0.875 0.361  1.033 0.377  1.191 0.382  1.349 0.374  1.507 0.366  1.665 0.356  1.823 0.346  1.981 0.335
