2#apb#apb15#app1589/J  0.128 0.364  0.145 0.519  0.232 0.651  0.295 0.744  0.337 0.588  0.391 0.436  0.447 0.284  0.500 0.132  0.552 -0.022  0.599 -0.176  0.642 -0.332  0.673 -0.490  0.697 -0.650  0.663 -0.808  0.595 -0.954  0.505 -1.087  0.371 -1.164  0.214 -1.203  0.056 -1.236  -0.103 -1.262  -0.263 -1.272  -0.420 -1.235  -0.558 -1.152  -0.674 -1.051  -0.704 -0.892  -0.734 -0.733  -0.763 -0.574  -0.793 -0.415  -0.823 -0.257  -0.853 -0.098  -0.882 0.061  -0.912 0.220  -0.942 0.379  -0.972 0.537  -1.002 0.696  -0.907 0.769  -0.746 0.769  -0.584 0.768  -0.423 0.763  -0.261 0.759  -0.099 0.756  0.062 0.756  0.224 0.756  0.385 0.757  0.547 0.761  0.708 0.765  0.870 0.769  1.032 0.769  1.193 0.769  1.355 0.769
2#apb#apb15#app1589/o  0.896 0.282  0.877 0.420  0.869 0.559  0.810 0.683  0.701 0.771  0.624 0.887  0.501 0.930  0.362 0.941  0.223 0.941  0.084 0.938  -0.041 0.876  -0.166 0.813  -0.287 0.745  -0.401 0.664  -0.514 0.583  -0.624 0.497  -0.727 0.403  -0.829 0.308  -0.926 0.208  -0.999 0.089  -1.072 -0.029  -1.123 -0.158  -1.154 -0.294  -1.167 -0.428  -1.109 -0.555  -1.048 -0.680  -0.961 -0.789  -0.874 -0.898  -0.753 -0.964  -0.626 -1.022  -0.496 -1.051  -0.359 -1.026  -0.222 -1.000  -0.089 -0.959  0.038 -0.902  0.166 -0.845  0.292 -0.787  0.402 -0.701  0.512 -0.615  0.621 -0.528  0.697 -0.411  0.770 -0.292  0.837 -0.171  0.889 -0.041  0.925 0.092  0.935 0.231  0.944 0.371  0.906 0.504  0.865 0.637  0.823 0.771
2#apb#apb15#app1589/n  -1.010 1.063  -0.917 1.089  -0.856 0.952  -0.845 0.797  -0.835 0.642  -0.810 0.488  -0.784 0.335  -0.759 0.181  -0.759 0.026  -0.759 -0.130  -0.759 -0.286  -0.759 -0.441  -0.759 -0.597  -0.754 -0.752  -0.730 -0.906  -0.709 -1.060  -0.654 -1.183  -0.572 -1.051  -0.495 -0.916  -0.418 -0.781  -0.347 -0.642  -0.278 -0.503  -0.208 -0.364  -0.151 -0.219  -0.095 -0.074  -0.038 0.071  0.019 0.216  0.086 0.356  0.153 0.497  0.221 0.637  0.288 0.778  0.375 0.907  0.463 1.034  0.578 1.113  0.697 1.055  0.763 0.914  0.821 0.770  0.852 0.619  0.866 0.464  0.877 0.309  0.888 0.153  0.894 -0.002  0.894 -0.158  0.894 -0.313  0.894 -0.469  0.894 -0.625  0.894 -0.780  0.894 -0.936  0.914 -1.090  0.944 -1.191
2#apb#apb15#app1589/e  -0.660 0.534  -0.630 0.383  -0.678 0.221  -0.714 0.055  -0.733 -0.112  -0.717 -0.281  -0.650 -0.434  -0.542 -0.561  -0.391 -0.624  -0.224 -0.655  -0.060 -0.682  0.104 -0.638  0.254 -0.567  0.385 -0.459  0.513 -0.348  0.627 -0.223  0.742 -0.098  0.844 0.038  0.941 0.177  1.011 0.331  1.076 0.488  1.105 0.654  1.129 0.822  1.099 0.985  1.033 1.140  0.931 1.276  0.781 1.315  0.632 1.251  0.495 1.152  0.357 1.053  0.217 0.957  0.081 0.857  -0.034 0.732  -0.149 0.608  -0.257 0.477  -0.353 0.337  -0.450 0.198  -0.530 0.048  -0.609 -0.102  -0.688 -0.252  -0.749 -0.410  -0.810 -0.569  -0.816 -0.737  -0.791 -0.902  -0.723 -1.057  -0.586 -1.150  -0.438 -1.232  -0.290 -1.315  -0.127 -1.341  0.043 -1.341
2#apb#apb15#app1589/s  0.918 0.940  0.865 1.032  0.813 1.124  0.719 1.145  0.613 1.145  0.508 1.135  0.403 1.123  0.297 1.115  0.191 1.115  0.085 1.115  -0.012 1.084  -0.103 1.030  -0.193 0.976  -0.289 0.940  -0.385 0.920  -0.449 0.835  -0.508 0.747  -0.567 0.659  -0.600 0.559  -0.629 0.458  -0.609 0.356  -0.580 0.254  -0.512 0.175  -0.437 0.100  -0.359 0.029  -0.276 -0.037  -0.195 -0.105  -0.115 -0.174  -0.035 -0.244  0.040 -0.318  0.114 -0.393  0.203 -0.450  0.295 -0.502  0.383 -0.561  0.465 -0.627  0.537 -0.703  0.537 -0.809  0.467 -0.886  0.392 -0.961  0.305 -1.020  0.216 -1.079  0.128 -1.137  0.027 -1.169  -0.074 -1.200  -0.175 -1.231  -0.277 -1.260  -0.381 -1.280  -0.484 -1.301  -0.588 -1.322  -0.692 -1.343
2#apb#apb15#app1589/L  0.335 1.463  0.277 1.550  0.257 1.650  0.205 1.739  0.200 1.654  0.196 1.549  0.186 1.445  0.177 1.340  0.163 1.237  0.137 1.135  0.112 1.034  0.086 0.932  0.060 0.831  0.028 0.731  -0.005 0.631  -0.037 0.532  -0.069 0.432  -0.102 0.333  -0.140 0.235  -0.178 0.138  -0.217 0.040  -0.255 -0.057  -0.293 -0.155  -0.328 -0.254  -0.362 -0.353  -0.397 -0.452  -0.431 -0.551  -0.466 -0.649  -0.501 -0.748  -0.530 -0.848  -0.552 -0.951  -0.567 -1.054  -0.549 -1.153  -0.456 -1.128  -0.389 -1.048  -0.320 -0.969  -0.236 -0.907  -0.151 -0.845  -0.066 -0.784  0.021 -0.726  0.109 -0.668  0.201 -0.619  0.295 -0.572  0.398 -0.567  0.496 -0.595  0.588 -0.646  0.669 -0.711  0.739 -0.788  0.799 -0.874  0.862 -0.958
2#apb#apb15#app1589/e  -0.719 0.309  -0.755 0.235  -0.703 0.093  -0.632 -0.039  -0.511 -0.130  -0.380 -0.195  -0.229 -0.207  -0.080 -0.205  0.064 -0.158  0.207 -0.110  0.353 -0.070  0.497 -0.027  0.611 0.073  0.723 0.174  0.830 0.281  0.916 0.405  0.994 0.534  1.016 0.679  1.016 0.831  0.992 0.980  0.909 1.105  0.800 1.202  0.662 1.264  0.523 1.239  0.390 1.169  0.266 1.083  0.144 0.993  0.028 0.896  -0.088 0.799  -0.180 0.682  -0.251 0.549  -0.322 0.416  -0.383 0.278  -0.438 0.137  -0.493 -0.004  -0.545 -0.146  -0.586 -0.292  -0.628 -0.437  -0.664 -0.584  -0.698 -0.732  -0.706 -0.879  -0.672 -1.026  -0.631 -1.170  -0.510 -1.260  -0.382 -1.336  -0.237 -1.380  -0.092 -1.425  0.049 -1.478  0.191 -1.531  0.333 -1.584
2#apb#apb15#app1589/e  -0.375 0.369  -0.452 0.234  -0.514 0.092  -0.546 -0.055  -0.496 -0.200  -0.415 -0.332  -0.306 -0.442  -0.174 -0.500  -0.019 -0.500  0.136 -0.500  0.292 -0.500  0.426 -0.429  0.557 -0.346  0.681 -0.253  0.803 -0.156  0.917 -0.051  1.027 0.059  1.126 0.178  1.222 0.301  1.209 0.449  1.172 0.599  1.108 0.741  1.032 0.873  0.910 0.968  0.783 1.058  0.647 1.133  0.503 1.136  0.353 1.095  0.210 1.036  0.069 0.971  -0.062 0.891  -0.177 0.786  -0.292 0.682  -0.373 0.550  -0.452 0.416  -0.530 0.282  -0.611 0.149  -0.692 0.017  -0.766 -0.119  -0.803 -0.269  -0.841 -0.420  -0.866 -0.573  -0.877 -0.728  -0.883 -0.882  -0.857 -1.036  -0.816 -1.179  -0.692 -1.273  -0.563 -1.360  -0.431 -1.441  -0.299 -1.522
2#apb#apb15#app1589/M  -0.675 0.509  -0.751 0.694  -0.740 0.599  -0.796 0.376  -0.864 0.155  -0.932 -0.066  -0.993 -0.288  -1.051 -0.512  -1.112 -0.735  -1.167 -0.959  -1.198 -1.087  -1.117 -0.871  -1.014 -0.664  -0.909 -0.459  -0.803 -0.254  -0.690 -0.052  -0.577 0.150  -0.469 0.354  -0.363 0.559  -0.255 0.763  -0.135 0.961  -0.030 1.166  0.015 1.006  0.062 0.780  0.099 0.553  0.108 0.323  0.116 0.092  0.119 -0.139  0.099 -0.369  0.056 -0.596  0.103 -0.663  0.175 -0.445  0.282 -0.241  0.405 -0.045  0.533 0.147  0.661 0.340  0.787 0.533  0.923 0.720  1.081 0.888  1.162 0.815  1.140 0.587  1.086 0.363  1.018 0.142  0.963 -0.082  0.913 -0.307  0.876 -0.535  0.855 -0.765  0.854 -0.996  0.969 -1.182  1.183 -1.266
2#apb#apb15#app1589/o  0.796 0.364  0.692 0.463  0.581 0.556  0.442 0.596  0.299 0.614  0.155 0.625  0.013 0.613  -0.129 0.585  -0.270 0.555  -0.399 0.491  -0.529 0.426  -0.655 0.356  -0.777 0.278  -0.895 0.196  -1.002 0.099  -1.109 0.002  -1.187 -0.118  -1.256 -0.245  -1.299 -0.376  -1.277 -0.519  -1.249 -0.659  -1.147 -0.761  -1.029 -0.836  -0.889 -0.874  -0.747 -0.892  -0.603 -0.892  -0.458 -0.892  -0.315 -0.885  -0.177 -0.841  -0.040 -0.797  0.098 -0.753  0.232 -0.701  0.357 -0.629  0.483 -0.557  0.608 -0.486  0.731 -0.411  0.848 -0.326  0.965 -0.241  1.035 -0.115  1.090 0.016  1.105 0.160  1.078 0.298  1.022 0.431  0.957 0.560  0.880 0.682  0.799 0.801  0.709 0.914  0.615 1.022  0.486 1.087  0.362 1.016
2#apb#apb15#app1589/o  0.945 -0.164  0.986 -0.012  1.033 0.138  0.990 0.290  0.896 0.410  0.777 0.513  0.653 0.612  0.530 0.710  0.393 0.783  0.241 0.828  0.087 0.857  -0.070 0.871  -0.226 0.864  -0.381 0.830  -0.505 0.741  -0.617 0.629  -0.724 0.514  -0.823 0.391  -0.922 0.267  -0.959 0.116  -0.988 -0.040  -1.017 -0.195  -1.023 -0.353  -1.023 -0.511  -1.008 -0.666  -0.966 -0.819  -0.912 -0.965  -0.809 -1.085  -0.689 -1.184  -0.551 -1.261  -0.404 -1.282  -0.249 -1.254  -0.108 -1.195  0.012 -1.092  0.126 -0.983  0.238 -0.871  0.315 -0.738  0.362 -0.588  0.409 -0.437  0.457 -0.286  0.507 -0.137  0.557 0.013  0.587 0.166  0.587 0.324  0.587 0.482  0.577 0.640  0.559 0.797  0.540 0.954  0.520 1.110  0.498 1.267
