2#apb#apb16#app1671/k  -1.628 -1.097  -1.510 -0.964  -1.241 -0.855  -0.981 -0.724  -0.729 -0.579  -0.471 -0.444  -0.254 -0.251  -0.046 -0.048  0.142 0.174  0.318 0.406  0.490 0.641  0.664 0.874  0.843 1.103  1.017 1.336  1.097 1.581  0.839 1.583  0.678 1.343  0.531 1.095  0.345 0.871  0.191 0.625  0.032 0.381  -0.129 0.138  -0.264 -0.120  -0.424 -0.361  -0.612 -0.583  -0.800 -0.806  -0.814 -0.783  -0.681 -0.526  -0.534 -0.276  -0.359 -0.043  -0.168 0.176  0.035 0.385  0.251 0.579  0.492 0.739  0.773 0.747  0.847 0.510  0.703 0.260  0.468 0.090  0.221 -0.065  -0.048 -0.159  -0.261 0.005  -0.372 0.053  -0.377 -0.238  -0.367 -0.528  -0.268 -0.801  -0.086 -1.025  0.181 -1.121  0.470 -1.147  0.758 -1.119  1.036 -1.034
2#apb#apb16#app1671/e  -1.697 -0.606  -1.772 -0.568  -1.677 -0.630  -1.528 -0.659  -1.376 -0.632  -1.227 -0.591  -1.081 -0.543  -0.932 -0.500  -0.782 -0.465  -0.638 -0.410  -0.496 -0.349  -0.360 -0.276  -0.225 -0.200  -0.100 -0.109  0.013 -0.005  0.117 0.109  0.235 0.208  0.354 0.307  0.467 0.411  0.536 0.549  0.585 0.696  0.608 0.847  0.560 0.990  0.468 1.102  0.316 1.087  0.174 1.036  0.070 0.923  -0.043 0.818  -0.149 0.706  -0.245 0.586  -0.321 0.451  -0.371 0.305  -0.376 0.152  -0.367 -0.003  -0.325 -0.145  -0.239 -0.273  -0.123 -0.361  0.022 -0.416  0.168 -0.465  0.319 -0.451  0.470 -0.419  0.622 -0.391  0.774 -0.366  0.926 -0.338  1.070 -0.282  1.214 -0.226  1.364 -0.194  1.516 -0.167  1.668 -0.136  1.819 -0.104
2#apb#apb16#app1671/e  -1.927 -0.796  -1.815 -0.722  -1.674 -0.718  -1.530 -0.683  -1.385 -0.655  -1.239 -0.628  -1.100 -0.583  -0.973 -0.507  -0.845 -0.432  -0.712 -0.366  -0.580 -0.300  -0.444 -0.240  -0.307 -0.185  -0.173 -0.121  -0.043 -0.050  0.071 0.044  0.185 0.139  0.301 0.230  0.398 0.340  0.479 0.464  0.559 0.589  0.655 0.702  0.704 0.839  0.678 0.982  0.540 1.016  0.398 1.016  0.269 0.946  0.126 0.907  0.010 0.818  -0.093 0.712  -0.189 0.599  -0.253 0.473  -0.269 0.325  -0.278 0.179  -0.249 0.034  -0.208 -0.109  -0.131 -0.232  -0.014 -0.312  0.128 -0.354  0.272 -0.392  0.415 -0.417  0.560 -0.388  0.706 -0.364  0.854 -0.355  1.000 -0.335  1.137 -0.280  1.277 -0.234  1.425 -0.225  1.571 -0.209  1.712 -0.162
2#apb#apb16#app1671/p  -1.190 0.104  -0.974 0.085  -0.722 0.120  -0.481 0.201  -0.253 0.314  -0.042 0.453  0.127 0.641  0.068 0.627  -0.039 0.396  -0.136 0.161  -0.254 -0.065  -0.395 -0.277  -0.530 -0.493  -0.656 -0.714  -0.791 -0.931  -0.930 -1.144  -1.076 -1.353  -1.245 -1.538  -1.183 -1.324  -1.083 -1.091  -0.964 -0.866  -0.839 -0.643  -0.714 -0.422  -0.564 -0.215  -0.402 -0.020  -0.242 0.179  -0.087 0.381  0.062 0.588  0.221 0.787  0.406 0.961  0.621 1.096  0.819 1.003  0.879 0.757  0.895 0.504  0.860 0.253  0.723 0.048  0.483 -0.033  0.230 -0.063  -0.013 0.011  -0.121 0.227  -0.085 0.242  0.127 0.111  0.366 0.030  0.617 -0.011  0.866 -0.065  1.120 -0.070  1.357 0.004  1.555 0.160  1.727 0.348  1.884 0.549
2#apb#apb16#app1671/v  -1.411 0.022  -1.410 0.166  -1.344 0.300  -1.256 0.413  -1.124 0.479  -0.980 0.521  -0.835 0.557  -0.690 0.593  -0.543 0.617  -0.393 0.626  -0.245 0.644  -0.097 0.667  0.052 0.676  0.202 0.672  0.319 0.641  0.278 0.498  0.178 0.386  0.078 0.275  -0.026 0.167  -0.144 0.076  -0.254 -0.025  -0.351 -0.139  -0.445 -0.256  -0.537 -0.373  -0.623 -0.496  -0.700 -0.624  -0.740 -0.763  -0.697 -0.904  -0.597 -1.011  -0.457 -1.047  -0.307 -1.047  -0.157 -1.047  -0.037 -0.966  0.079 -0.872  0.201 -0.785  0.322 -0.696  0.441 -0.605  0.549 -0.502  0.651 -0.392  0.741 -0.274  0.828 -0.151  0.914 -0.029  1.000 0.093  1.085 0.217  1.166 0.343  1.253 0.465  1.349 0.579  1.453 0.687  1.560 0.787  1.701 0.836
2#apb#apb16#app1671/e  -1.618 -0.828  -1.548 -0.737  -1.406 -0.651  -1.245 -0.610  -1.079 -0.586  -0.925 -0.520  -0.772 -0.452  -0.619 -0.384  -0.465 -0.317  -0.318 -0.237  -0.179 -0.144  -0.038 -0.054  0.107 0.030  0.231 0.140  0.343 0.265  0.440 0.403  0.514 0.551  0.570 0.709  0.646 0.859  0.685 1.016  0.654 1.178  0.513 1.213  0.346 1.213  0.192 1.161  0.069 1.050  -0.048 0.930  -0.173 0.818  -0.304 0.715  -0.403 0.585  -0.473 0.433  -0.533 0.276  -0.598 0.121  -0.668 -0.030  -0.668 -0.197  -0.628 -0.360  -0.503 -0.470  -0.358 -0.554  -0.204 -0.610  -0.036 -0.624  0.131 -0.616  0.298 -0.606  0.465 -0.590  0.632 -0.574  0.796 -0.544  0.957 -0.497  1.119 -0.455  1.284 -0.424  1.448 -0.388  1.610 -0.344  1.756 -0.262
2#apb#apb16#app1671/x  -1.448 0.222  -1.355 0.382  -1.200 0.488  -1.026 0.561  -0.854 0.639  -0.666 0.652  -0.477 0.667  -0.290 0.639  -0.111 0.578  0.032 0.456  0.059 0.284  -0.040 0.126  -0.172 -0.009  -0.296 -0.151  -0.383 -0.315  -0.266 -0.459  -0.104 -0.552  0.078 -0.603  0.265 -0.587  0.452 -0.564  0.640 -0.544  0.828 -0.525  1.012 -0.479  1.196 -0.437  1.380 -0.397  1.468 -0.279  1.377 -0.113  1.286 0.052  1.195 0.218  1.104 0.384  1.013 0.550  0.922 0.715  0.831 0.881  0.746 0.857  0.610 0.726  0.473 0.596  0.340 0.462  0.206 0.328  0.072 0.195  -0.063 0.063  -0.202 -0.065  -0.342 -0.193  -0.496 -0.302  -0.654 -0.405  -0.812 -0.510  -0.969 -0.614  -1.123 -0.724  -1.273 -0.839  -1.419 -0.959  -1.548 -1.096
2#apb#apb16#app1671/i  -1.541 -0.875  -1.492 -0.829  -1.398 -0.706  -1.299 -0.563  -1.180 -0.439  -1.043 -0.331  -0.906 -0.223  -0.770 -0.114  -0.628 -0.014  -0.483 0.083  -0.341 0.183  -0.200 0.286  -0.077 0.410  0.049 0.529  0.182 0.642  0.311 0.756  0.322 0.795  0.188 0.685  0.053 0.575  -0.065 0.447  -0.185 0.320  -0.308 0.197  -0.423 0.066  -0.535 -0.067  -0.607 -0.226  -0.644 -0.395  -0.646 -0.567  -0.573 -0.711  -0.423 -0.799  -0.259 -0.858  -0.088 -0.868  0.086 -0.858  0.258 -0.831  0.430 -0.804  0.592 -0.739  0.751 -0.670  0.885 -0.559  1.008 -0.436  1.098 -0.296  1.065 -0.125  1.032 0.046  0.999 0.217  0.966 0.388  0.933 0.560  0.900 0.731  0.866 0.902  0.833 1.073  0.800 1.244  0.767 1.415  0.743 1.355
2#apb#apb16#app1671/n  -0.195 0.612  -0.115 0.602  -0.188 0.440  -0.283 0.290  -0.379 0.140  -0.494 0.007  -0.624 -0.114  -0.748 -0.241  -0.856 -0.382  -0.967 -0.521  -1.083 -0.656  -1.204 -0.785  -1.352 -0.879  -1.336 -0.738  -1.236 -0.591  -1.123 -0.454  -1.012 -0.315  -0.902 -0.176  -0.784 -0.043  -0.654 0.078  -0.524 0.199  -0.369 0.286  -0.214 0.373  -0.077 0.485  0.058 0.601  0.208 0.694  0.365 0.778  0.536 0.825  0.702 0.888  0.869 0.947  1.041 0.989  1.217 1.001  1.325 0.893  1.263 0.743  1.152 0.603  1.040 0.466  0.910 0.346  0.773 0.233  0.647 0.107  0.527 -0.023  0.426 -0.169  0.325 -0.315  0.223 -0.461  0.156 -0.625  0.162 -0.797  0.239 -0.950  0.379 -1.047  0.550 -1.095  0.726 -1.116  0.903 -1.128
2#apb#apb16#app1671/g  0.622 0.693  0.680 0.822  0.695 0.960  0.599 1.063  0.468 1.098  0.329 1.065  0.193 1.012  0.058 0.958  -0.075 0.899  -0.204 0.831  -0.307 0.730  -0.395 0.616  -0.432 0.479  -0.341 0.387  -0.199 0.357  -0.056 0.357  0.087 0.384  0.217 0.449  0.341 0.525  0.462 0.605  0.562 0.704  0.611 0.841  0.612 0.865  0.585 0.722  0.564 0.578  0.542 0.434  0.518 0.291  0.494 0.147  0.456 0.007  0.418 -0.134  0.378 -0.274  0.338 -0.414  0.292 -0.552  0.246 -0.690  0.172 -0.815  0.092 -0.937  0.014 -1.060  -0.068 -1.179  -0.171 -1.282  -0.298 -1.347  -0.438 -1.384  -0.580 -1.370  -0.715 -1.316  -0.837 -1.239  -0.947 -1.144  -1.025 -1.021  -1.092 -0.893  -1.134 -0.754  -1.157 -0.611  -1.174 -0.466
2#apb#apb16#app1671/m  -0.224 0.801  -0.208 0.849  -0.309 0.656  -0.420 0.467  -0.501 0.263  -0.599 0.067  -0.710 -0.123  -0.829 -0.307  -0.933 -0.501  -1.037 -0.694  -1.143 -0.887  -1.251 -1.076  -1.340 -1.048  -1.281 -0.837  -1.195 -0.636  -1.102 -0.437  -0.990 -0.249  -0.865 -0.069  -0.729 0.104  -0.580 0.265  -0.427 0.423  -0.269 0.574  -0.083 0.689  0.130 0.743  0.271 0.636  0.281 0.419  0.281 0.199  0.230 -0.014  0.138 -0.214  0.036 -0.408  -0.069 -0.601  -0.223 -0.728  -0.139 -0.530  -0.009 -0.353  0.108 -0.167  0.263 -0.013  0.425 0.135  0.588 0.282  0.762 0.416  0.936 0.550  1.116 0.675  1.304 0.788  1.438 0.711  1.465 0.494  1.474 0.275  1.455 0.059  1.381 -0.146  1.272 -0.336  1.130 -0.504  0.978 -0.662
