2#apb#apb17#app1789/k  -0.372 1.368  -0.432 1.149  -0.464 0.924  -0.491 0.697  -0.534 0.472  -0.577 0.248  -0.620 0.023  -0.660 -0.202  -0.694 -0.428  -0.735 -0.652  -0.780 -0.876  -0.847 -1.095  -0.949 -1.298  -1.018 -1.153  -0.927 -0.947  -0.818 -0.747  -0.650 -0.592  -0.483 -0.437  -0.315 -0.282  -0.147 -0.126  0.021 0.029  0.188 0.184  0.356 0.339  0.524 0.494  0.692 0.650  0.860 0.805  1.027 0.960  1.195 1.115  1.363 1.270  1.361 1.101  1.237 0.921  1.076 0.759  0.898 0.616  0.717 0.476  0.536 0.336  0.344 0.213  0.147 0.097  -0.050 -0.019  -0.249 -0.130  -0.452 -0.236  -0.671 -0.240  -0.545 -0.154  -0.317 -0.168  -0.112 -0.268  0.066 -0.402  0.203 -0.585  0.348 -0.761  0.480 -0.946  0.582 -1.151  0.684 -1.355
2#apb#apb17#app1789/e  -0.768 -0.257  -0.623 -0.257  -0.479 -0.243  -0.336 -0.214  -0.193 -0.186  -0.052 -0.149  0.088 -0.111  0.223 -0.060  0.348 0.015  0.473 0.090  0.584 0.181  0.678 0.292  0.772 0.403  0.852 0.523  0.925 0.650  0.997 0.776  0.992 0.919  0.981 1.065  0.935 1.201  0.836 1.271  0.693 1.261  0.564 1.193  0.435 1.126  0.307 1.058  0.191 0.972  0.086 0.871  -0.020 0.771  -0.125 0.671  -0.231 0.570  -0.314 0.452  -0.390 0.328  -0.465 0.204  -0.541 0.079  -0.612 -0.047  -0.666 -0.183  -0.720 -0.318  -0.774 -0.453  -0.804 -0.594  -0.821 -0.739  -0.838 -0.883  -0.774 -1.007  -0.691 -1.127  -0.573 -1.208  -0.446 -1.278  -0.306 -1.306  -0.161 -1.315  -0.016 -1.324  0.122 -1.276  0.259 -1.227  0.396 -1.179
2#apb#apb17#app1789/e  -0.984 -0.096  -0.841 -0.137  -0.694 -0.158  -0.547 -0.173  -0.398 -0.173  -0.249 -0.173  -0.108 -0.137  0.026 -0.075  0.160 -0.010  0.281 0.076  0.402 0.163  0.520 0.252  0.621 0.361  0.722 0.471  0.821 0.581  0.887 0.714  0.945 0.849  0.945 0.998  0.930 1.143  0.858 1.268  0.710 1.283  0.569 1.266  0.445 1.185  0.320 1.104  0.195 1.023  0.076 0.936  -0.023 0.825  -0.121 0.714  -0.220 0.603  -0.318 0.491  -0.399 0.366  -0.480 0.241  -0.561 0.116  -0.615 -0.019  -0.647 -0.165  -0.678 -0.310  -0.710 -0.455  -0.716 -0.601  -0.694 -0.748  -0.656 -0.887  -0.551 -0.992  -0.446 -1.097  -0.334 -1.193  -0.201 -1.259  -0.068 -1.326  0.068 -1.381  0.216 -1.375  0.365 -1.369  0.513 -1.362  0.662 -1.356
2#apb#apb17#app1789/p  -0.268 0.584  -0.344 0.429  -0.386 0.263  -0.425 0.095  -0.458 -0.073  -0.490 -0.242  -0.525 -0.411  -0.560 -0.579  -0.599 -0.746  -0.639 -0.913  -0.679 -1.081  -0.718 -1.248  -0.765 -1.413  -0.800 -1.448  -0.826 -1.278  -0.809 -1.108  -0.783 -0.938  -0.736 -0.774  -0.677 -0.612  -0.618 -0.451  -0.554 -0.292  -0.468 -0.143  -0.382 0.006  -0.296 0.155  -0.202 0.299  -0.107 0.442  -0.011 0.585  0.084 0.728  0.210 0.844  0.337 0.960  0.464 1.076  0.614 1.155  0.773 1.221  0.939 1.213  1.101 1.165  1.230 1.052  1.248 0.881  1.266 0.710  1.189 0.559  1.104 0.409  1.006 0.271  0.876 0.158  0.745 0.046  0.612 -0.062  0.456 -0.133  0.299 -0.204  0.138 -0.263  -0.027 -0.309  -0.195 -0.326  -0.343 -0.259
2#apb#apb17#app1789/v  -0.675 0.586  -0.733 0.690  -0.791 0.794  -0.782 0.878  -0.715 0.780  -0.671 0.669  -0.628 0.559  -0.628 0.440  -0.628 0.321  -0.628 0.202  -0.623 0.083  -0.602 -0.034  -0.582 -0.151  -0.561 -0.268  -0.557 -0.387  -0.557 -0.506  -0.557 -0.625  -0.540 -0.742  -0.513 -0.858  -0.486 -0.974  -0.452 -1.088  -0.418 -1.202  -0.364 -1.305  -0.267 -1.252  -0.191 -1.161  -0.117 -1.068  -0.045 -0.973  0.017 -0.872  0.079 -0.770  0.140 -0.668  0.193 -0.561  0.246 -0.455  0.299 -0.348  0.353 -0.242  0.403 -0.134  0.453 -0.026  0.502 0.082  0.552 0.190  0.601 0.298  0.658 0.403  0.722 0.503  0.785 0.604  0.849 0.704  0.912 0.806  0.960 0.914  1.008 1.023  1.057 1.132  1.108 1.239  1.177 1.336  1.239 1.437
2#apb#apb17#app1789/e  -0.761 -0.042  -0.621 -0.055  -0.487 -0.105  -0.358 -0.164  -0.230 -0.228  -0.087 -0.228  0.049 -0.206  0.172 -0.132  0.292 -0.056  0.403 0.034  0.513 0.124  0.604 0.232  0.672 0.357  0.740 0.483  0.803 0.610  0.865 0.739  0.884 0.880  0.902 1.022  0.904 1.161  0.831 1.269  0.691 1.285  0.561 1.227  0.430 1.170  0.299 1.113  0.188 1.025  0.080 0.931  -0.027 0.837  -0.135 0.743  -0.219 0.628  -0.300 0.511  -0.381 0.393  -0.458 0.273  -0.525 0.147  -0.592 0.021  -0.658 -0.105  -0.687 -0.242  -0.696 -0.384  -0.705 -0.527  -0.694 -0.668  -0.672 -0.810  -0.636 -0.944  -0.545 -1.055  -0.455 -1.165  -0.359 -1.270  -0.258 -1.371  -0.141 -1.447  -0.006 -1.492  0.130 -1.532  0.270 -1.506  0.411 -1.480
2#apb#apb17#app1789/x  -1.356 0.821  -1.249 0.693  -1.122 0.586  -0.981 0.496  -0.839 0.408  -0.694 0.323  -0.550 0.239  -0.408 0.149  -0.269 0.056  -0.130 -0.037  -0.007 -0.150  0.117 -0.264  0.241 -0.375  0.391 -0.450  0.528 -0.543  0.646 -0.661  0.693 -0.789  0.708 -0.623  0.738 -0.459  0.767 -0.294  0.797 -0.129  0.827 0.036  0.857 0.200  0.886 0.365  0.916 0.530  0.946 0.695  0.975 0.860  1.005 1.024  1.004 1.138  0.871 1.036  0.738 0.934  0.608 0.829  0.490 0.710  0.372 0.592  0.253 0.473  0.135 0.355  0.017 0.237  -0.102 0.118  -0.208 -0.011  -0.315 -0.140  -0.421 -0.269  -0.528 -0.399  -0.623 -0.536  -0.718 -0.674  -0.813 -0.812  -0.899 -0.955  -0.985 -1.099  -1.040 -1.257  -1.097 -1.414  -1.172 -1.564
2#apb#apb17#app1789/i  0.363 1.636  0.380 1.568  0.397 1.501  0.404 1.432  0.397 1.363  0.390 1.293  0.383 1.224  0.376 1.155  0.369 1.085  0.360 1.016  0.345 0.948  0.329 0.880  0.313 0.812  0.298 0.744  0.282 0.676  0.266 0.608  0.251 0.540  0.235 0.472  0.215 0.405  0.194 0.339  0.174 0.272  0.153 0.205  0.133 0.139  0.112 0.072  0.092 0.005  0.071 -0.062  0.045 -0.126  0.012 -0.187  -0.021 -0.249  -0.054 -0.310  -0.087 -0.372  -0.120 -0.433  -0.153 -0.495  -0.186 -0.556  -0.219 -0.617  -0.250 -0.680  -0.275 -0.745  -0.300 -0.810  -0.326 -0.875  -0.351 -0.940  -0.376 -1.005  -0.401 -1.071  -0.426 -1.136  -0.451 -1.201  -0.479 -1.264  -0.510 -1.327  -0.542 -1.389  -0.573 -1.452  -0.604 -1.514  -0.635 -1.576
2#apb#apb17#app1789/n  -0.595 0.972  -0.595 0.832  -0.596 0.692  -0.619 0.554  -0.642 0.417  -0.657 0.278  -0.667 0.139  -0.677 -0.001  -0.717 -0.134  -0.764 -0.265  -0.811 -0.397  -0.903 -0.500  -1.002 -0.598  -1.081 -0.713  -1.121 -0.841  -1.140 -0.866  -1.054 -0.759  -0.965 -0.651  -0.878 -0.542  -0.795 -0.430  -0.702 -0.326  -0.603 -0.227  -0.504 -0.129  -0.400 -0.035  -0.297 0.059  -0.194 0.153  -0.090 0.247  0.013 0.341  0.116 0.435  0.220 0.529  0.323 0.623  0.433 0.705  0.566 0.749  0.701 0.784  0.839 0.801  0.977 0.785  1.069 0.691  1.126 0.567  1.140 0.428  1.150 0.289  1.150 0.149  1.150 0.010  1.122 -0.126  1.085 -0.261  1.053 -0.397  1.026 -0.534  0.998 -0.671  0.971 -0.808  0.939 -0.944  0.900 -1.078
2#apb#apb17#app1789/g  0.375 0.831  0.407 1.000  0.418 1.170  0.458 1.336  0.344 1.409  0.197 1.320  0.051 1.229  -0.084 1.124  -0.212 1.010  -0.311 0.870  -0.395 0.722  -0.436 0.556  -0.356 0.421  -0.191 0.404  -0.027 0.448  0.128 0.519  0.263 0.625  0.402 0.726  0.525 0.842  0.600 0.964  0.552 0.799  0.546 0.628  0.538 0.457  0.531 0.285  0.531 0.113  0.531 -0.058  0.530 -0.230  0.496 -0.398  0.454 -0.564  0.398 -0.727  0.310 -0.871  0.201 -1.005  0.074 -1.119  -0.061 -1.224  -0.212 -1.307  -0.367 -1.378  -0.531 -1.430  -0.701 -1.409  -0.865 -1.361  -0.925 -1.219  -0.934 -1.048  -0.907 -0.886  -0.798 -0.752  -0.673 -0.637  -0.534 -0.536  -0.385 -0.452  -0.231 -0.376  -0.073 -0.309  0.090 -0.261  0.261 -0.250
2#apb#apb17#app1789/m  -1.133 0.747  -1.087 0.905  -0.992 0.749  -0.929 0.582  -0.900 0.401  -0.880 0.219  -0.869 0.037  -0.916 -0.140  -0.968 -0.315  -1.030 -0.487  -1.092 -0.660  -1.175 -0.818  -1.132 -0.718  -1.059 -0.550  -0.967 -0.392  -0.879 -0.231  -0.794 -0.069  -0.697 0.086  -0.593 0.237  -0.469 0.371  -0.339 0.500  -0.199 0.618  -0.039 0.685  0.137 0.645  0.260 0.522  0.339 0.358  0.387 0.181  0.387 -0.002  0.359 -0.182  0.315 -0.359  0.247 -0.529  0.158 -0.689  0.053 -0.723  0.099 -0.553  0.195 -0.397  0.299 -0.246  0.405 -0.097  0.530 0.037  0.660 0.167  0.805 0.277  0.957 0.378  1.121 0.458  1.287 0.459  1.403 0.329  1.458 0.156  1.484 -0.025  1.479 -0.208  1.463 -0.390  1.442 -0.572  1.407 -0.752
