2#apb#apb18#app1837/B  -0.756 -1.178  -0.783 -1.016  -0.825 -0.855  -0.894 -0.705  -0.983 -0.564  -1.053 -0.414  -1.076 -0.251  -1.008 -0.100  -0.925 0.044  -0.816 0.170  -0.720 0.306  -0.615 0.435  -0.499 0.553  -0.378 0.667  -0.263 0.788  -0.145 0.904  -0.015 1.009  0.114 1.113  0.244 1.217  0.392 1.290  0.551 1.332  0.709 1.313  0.819 1.192  0.863 1.033  0.821 0.872  0.773 0.713  0.698 0.565  0.624 0.416  0.523 0.285  0.410 0.163  0.296 0.042  0.169 -0.065  0.041 -0.171  -0.114 -0.219  -0.141 -0.074  -0.036 0.050  0.123 0.100  0.274 0.051  0.375 -0.075  0.462 -0.217  0.480 -0.381  0.495 -0.547  0.466 -0.709  0.421 -0.869  0.376 -1.029  0.302 -1.177  0.218 -1.321  0.135 -1.465  0.005 -1.565  -0.134 -1.656
2#apb#apb18#app1837/l  -0.322 1.268  -0.249 1.268  -0.176 1.269  -0.129 1.326  -0.082 1.382  -0.029 1.433  0.006 1.379  0.029 1.309  0.048 1.238  0.060 1.166  0.073 1.094  0.085 1.021  0.098 0.949  0.111 0.877  0.115 0.803  0.115 0.730  0.115 0.657  0.115 0.583  0.115 0.510  0.115 0.436  0.115 0.363  0.115 0.289  0.115 0.216  0.113 0.143  0.107 0.069  0.102 -0.004  0.096 -0.077  0.091 -0.150  0.086 -0.224  0.080 -0.297  0.075 -0.370  0.069 -0.443  0.064 -0.517  0.054 -0.589  0.039 -0.661  0.025 -0.733  0.011 -0.805  -0.004 -0.877  -0.018 -0.949  -0.033 -1.021  -0.047 -1.093  -0.067 -1.164  -0.089 -1.234  -0.110 -1.304  -0.132 -1.375  -0.153 -1.445  -0.174 -1.515  -0.210 -1.579  -0.248 -1.642  -0.286 -1.705
2#apb#apb18#app1837/u  -0.332 1.547  -0.236 1.604  -0.169 1.621  -0.187 1.511  -0.211 1.402  -0.244 1.295  -0.277 1.189  -0.310 1.082  -0.334 0.974  -0.341 0.862  -0.347 0.751  -0.354 0.639  -0.360 0.528  -0.371 0.417  -0.398 0.309  -0.425 0.200  -0.452 0.092  -0.479 -0.016  -0.506 -0.125  -0.534 -0.233  -0.551 -0.343  -0.568 -0.454  -0.585 -0.564  -0.600 -0.674  -0.580 -0.784  -0.560 -0.894  -0.540 -1.004  -0.465 -1.069  -0.362 -1.113  -0.259 -1.125  -0.155 -1.085  -0.051 -1.045  0.054 -1.005  0.152 -0.957  0.227 -0.874  0.301 -0.791  0.376 -0.707  0.450 -0.624  0.524 -0.541  0.599 -0.458  0.673 -0.375  0.740 -0.285  0.799 -0.191  0.858 -0.096  0.917 -0.001  0.977 0.093  1.036 0.188  1.095 0.283  1.154 0.377  1.213 0.472
2#apb#apb18#app1837/e  -0.638 -0.406  -0.495 -0.361  -0.352 -0.316  -0.210 -0.268  -0.070 -0.216  0.071 -0.163  0.211 -0.111  0.336 -0.031  0.454 0.061  0.572 0.153  0.681 0.256  0.787 0.362  0.883 0.474  0.943 0.611  1.003 0.749  1.005 0.898  1.005 1.048  0.929 1.168  0.827 1.276  0.677 1.276  0.532 1.260  0.401 1.187  0.270 1.114  0.151 1.025  0.042 0.922  -0.067 0.819  -0.167 0.709  -0.252 0.585  -0.337 0.462  -0.423 0.339  -0.505 0.214  -0.580 0.085  -0.656 -0.045  -0.731 -0.174  -0.797 -0.308  -0.858 -0.445  -0.920 -0.582  -0.948 -0.728  -0.950 -0.871  -0.857 -0.988  -0.740 -1.075  -0.603 -1.135  -0.462 -1.179  -0.313 -1.179  -0.163 -1.179  -0.015 -1.170  0.124 -1.114  0.263 -1.058  0.402 -1.003  0.541 -0.947
2#apb#apb18#app1837/S  0.486 1.227  0.405 1.239  0.324 1.252  0.243 1.263  0.161 1.271  0.079 1.278  -0.002 1.273  -0.084 1.263  -0.166 1.262  -0.201 1.227  -0.179 1.149  -0.150 1.072  -0.119 0.996  -0.086 0.920  -0.052 0.846  -0.017 0.772  0.018 0.697  0.044 0.620  0.070 0.542  0.096 0.464  0.122 0.386  0.138 0.306  0.150 0.225  0.163 0.144  0.175 0.062  0.188 -0.019  0.200 -0.100  0.197 -0.182  0.194 -0.264  0.191 -0.346  0.188 -0.428  0.185 -0.510  0.180 -0.592  0.162 -0.672  0.145 -0.752  0.127 -0.832  0.110 -0.913  0.092 -0.992  0.036 -1.052  -0.020 -1.112  -0.077 -1.172  -0.133 -1.232  -0.193 -1.286  -0.268 -1.321  -0.342 -1.355  -0.416 -1.390  -0.487 -1.375  -0.556 -1.331  -0.625 -1.286  -0.694 -1.242
2#apb#apb18#app1837/p  -0.192 -0.193  -0.213 -0.329  -0.233 -0.464  -0.254 -0.599  -0.275 -0.734  -0.299 -0.868  -0.335 -1.001  -0.370 -1.133  -0.405 -1.265  -0.450 -1.394  -0.503 -1.520  -0.542 -1.507  -0.562 -1.372  -0.573 -1.236  -0.585 -1.099  -0.564 -0.966  -0.532 -0.832  -0.501 -0.699  -0.470 -0.566  -0.445 -0.432  -0.426 -0.296  -0.406 -0.161  -0.387 -0.026  -0.365 0.109  -0.337 0.243  -0.309 0.377  -0.288 0.512  -0.279 0.648  -0.231 0.764  -0.149 0.871  -0.039 0.935  0.092 0.975  0.219 1.024  0.347 1.074  0.476 1.117  0.606 1.161  0.737 1.198  0.873 1.218  0.972 1.149  1.016 1.033  0.977 0.902  0.939 0.771  0.883 0.649  0.789 0.551  0.694 0.452  0.600 0.353  0.496 0.265  0.382 0.189  0.268 0.113  0.154 0.037
2#apb#apb18#app1837/r  -0.500 -1.132  -0.566 -1.079  -0.632 -1.027  -0.693 -0.969  -0.739 -0.898  -0.786 -0.828  -0.833 -0.758  -0.880 -0.688  -0.914 -0.611  -0.944 -0.532  -0.973 -0.453  -0.999 -0.373  -0.990 -0.289  -0.982 -0.205  -0.973 -0.121  -0.965 -0.037  -0.903 0.016  -0.834 0.064  -0.765 0.113  -0.696 0.161  -0.627 0.209  -0.550 0.244  -0.471 0.274  -0.392 0.304  -0.313 0.333  -0.234 0.363  -0.155 0.392  -0.076 0.422  0.006 0.432  0.089 0.422  0.173 0.412  0.257 0.402  0.341 0.392  0.425 0.382  0.509 0.373  0.593 0.364  0.677 0.358  0.761 0.353  0.845 0.347  0.930 0.341  1.014 0.336  1.098 0.330  1.178 0.303  1.257 0.274  1.336 0.245  1.416 0.216  1.495 0.188  1.579 0.199  1.662 0.211  1.746 0.223
2#apb#apb18#app1837/i  -0.500 -1.132  -0.566 -1.079  -0.632 -1.027  -0.693 -0.969  -0.739 -0.898  -0.786 -0.828  -0.833 -0.758  -0.880 -0.688  -0.914 -0.611  -0.944 -0.532  -0.973 -0.453  -0.999 -0.373  -0.990 -0.289  -0.982 -0.205  -0.973 -0.121  -0.965 -0.037  -0.903 0.016  -0.834 0.064  -0.765 0.113  -0.696 0.161  -0.627 0.209  -0.550 0.244  -0.471 0.274  -0.392 0.304  -0.313 0.333  -0.234 0.363  -0.155 0.392  -0.076 0.422  0.006 0.432  0.089 0.422  0.173 0.412  0.257 0.402  0.341 0.392  0.425 0.382  0.509 0.373  0.593 0.364  0.677 0.358  0.761 0.353  0.845 0.347  0.930 0.341  1.014 0.336  1.098 0.330  1.178 0.303  1.257 0.274  1.336 0.245  1.416 0.216  1.495 0.188  1.579 0.199  1.662 0.211  1.746 0.223
2#apb#apb18#app1837/n  -0.895 -0.085  -0.843 -0.206  -0.790 -0.328  -0.764 -0.453  -0.783 -0.584  -0.802 -0.715  -0.883 -0.794  -0.895 -0.713  -0.872 -0.583  -0.842 -0.454  -0.813 -0.325  -0.783 -0.196  -0.748 -0.069  -0.683 0.046  -0.617 0.161  -0.551 0.276  -0.485 0.391  -0.420 0.506  -0.343 0.613  -0.258 0.714  -0.172 0.815  -0.087 0.917  -0.001 1.018  0.085 1.119  0.188 1.198  0.302 1.266  0.419 1.253  0.537 1.194  0.621 1.111  0.630 0.979  0.640 0.847  0.649 0.715  0.659 0.583  0.661 0.451  0.655 0.319  0.650 0.186  0.644 0.054  0.638 -0.078  0.632 -0.211  0.627 -0.343  0.621 -0.475  0.605 -0.606  0.578 -0.736  0.551 -0.865  0.524 -0.995  0.497 -1.125  0.470 -1.254  0.443 -1.384  0.416 -1.513  0.389 -1.643
2#apb#apb18#app1837/g  0.215 1.075  0.244 1.193  0.274 1.311  0.308 1.428  0.293 1.446  0.221 1.348  0.153 1.247  0.094 1.140  0.036 1.033  -0.013 0.921  -0.057 0.808  -0.102 0.695  -0.147 0.581  -0.192 0.468  -0.237 0.355  -0.287 0.244  -0.323 0.131  -0.269 0.035  -0.154 0.040  -0.044 0.082  0.039 0.171  0.121 0.261  0.194 0.359  0.266 0.457  0.332 0.559  0.400 0.658  0.413 0.560  0.401 0.439  0.376 0.320  0.340 0.204  0.303 0.087  0.267 -0.029  0.227 -0.144  0.181 -0.257  0.134 -0.369  0.088 -0.482  0.042 -0.595  -0.008 -0.706  -0.062 -0.815  -0.115 -0.925  -0.168 -1.035  -0.222 -1.144  -0.273 -1.255  -0.322 -1.366  -0.371 -1.478  -0.420 -1.589  -0.468 -1.701  -0.514 -1.814  -0.561 -1.927  -0.632 -2.022
2#apb#apb18#app1837/s  0.416 0.887  0.423 0.966  0.435 1.044  0.413 1.120  0.383 1.191  0.319 1.237  0.254 1.283  0.181 1.314  0.105 1.330  0.043 1.301  0.012 1.229  -0.002 1.151  -0.016 1.073  -0.028 0.994  -0.031 0.915  -0.035 0.836  -0.039 0.756  -0.042 0.677  -0.046 0.598  -0.047 0.518  -0.044 0.439  -0.041 0.360  -0.038 0.280  -0.035 0.201  -0.032 0.122  -0.029 0.042  -0.027 -0.037  -0.027 -0.116  -0.027 -0.196  -0.027 -0.275  -0.027 -0.355  -0.027 -0.434  -0.027 -0.513  -0.027 -0.593  -0.030 -0.672  -0.033 -0.751  -0.036 -0.831  -0.039 -0.910  -0.042 -0.989  -0.045 -1.069  -0.051 -1.148  -0.073 -1.224  -0.096 -1.300  -0.118 -1.376  -0.141 -1.452  -0.180 -1.517  -0.242 -1.566  -0.310 -1.551  -0.379 -1.513  -0.449 -1.474
