2#apb#apb22#app2201/C  0.198 0.786  0.224 0.865  0.168 0.724  0.104 0.582  0.026 0.448  -0.051 0.313  -0.096 0.164  -0.072 0.102  0.049 0.199  0.155 0.313  0.241 0.443  0.320 0.577  0.386 0.719  0.439 0.865  0.482 1.015  0.455 1.160  0.335 1.243  0.185 1.200  0.036 1.155  -0.084 1.061  -0.194 0.950  -0.305 0.840  -0.415 0.730  -0.495 0.596  -0.574 0.462  -0.648 0.324  -0.714 0.184  -0.781 0.043  -0.827 -0.106  -0.867 -0.257  -0.907 -0.407  -0.950 -0.557  -0.943 -0.701  -0.863 -0.835  -0.739 -0.927  -0.611 -1.016  -0.460 -1.052  -0.307 -1.083  -0.154 -1.113  -0.001 -1.105  0.152 -1.076  0.305 -1.046  0.458 -1.015  0.610 -0.978  0.761 -0.942  0.913 -0.905  1.054 -0.839  1.195 -0.773  1.334 -0.701  1.471 -0.627
2#apb#apb22#app2201/i  -1.141 -0.753  -1.063 -0.773  -0.976 -0.688  -0.880 -0.598  -0.775 -0.515  -0.690 -0.408  -0.616 -0.294  -0.551 -0.174  -0.498 -0.048  -0.478 0.086  -0.447 0.195  -0.450 0.151  -0.490 0.021  -0.528 -0.110  -0.586 -0.232  -0.641 -0.356  -0.684 -0.486  -0.693 -0.621  -0.623 -0.735  -0.508 -0.790  -0.374 -0.817  -0.239 -0.835  -0.103 -0.842  0.033 -0.849  0.163 -0.813  0.290 -0.764  0.417 -0.714  0.534 -0.645  0.652 -0.576  0.766 -0.502  0.862 -0.406  0.959 -0.309  1.001 -0.203  0.943 -0.080  0.885 0.044  0.827 0.167  0.769 0.291  0.711 0.414  0.653 0.538  0.595 0.661  0.537 0.785  0.479 0.908  0.421 1.031  0.363 1.155  0.305 1.278  0.247 1.402  0.188 1.525  0.130 1.649  0.106 1.780  0.203 1.858
2#apb#apb22#app2201/t  -0.832 -1.257  -0.832 -1.268  -0.687 -1.056  -0.558 -0.836  -0.450 -0.605  -0.310 -0.390  -0.183 -0.169  -0.092 0.070  0.000 0.309  0.114 0.538  0.232 0.765  0.349 0.993  0.463 1.222  0.560 1.458  0.664 1.691  0.709 1.718  0.604 1.488  0.480 1.263  0.353 1.041  0.207 0.832  0.061 0.622  -0.057 0.395  -0.172 0.166  -0.260 -0.074  -0.345 -0.315  -0.408 -0.564  -0.458 -0.814  -0.457 -1.064  -0.296 -1.257  -0.063 -1.324  0.192 -1.310  0.442 -1.256  0.658 -1.119  0.843 -0.944  0.801 -0.913  0.613 -0.834  0.428 -0.659  0.237 -0.488  0.046 -0.318  -0.145 -0.147  -0.335 0.024  -0.526 0.194  -0.717 0.365  -0.889 0.486  -0.634 0.512  -0.380 0.539  -0.125 0.567  0.130 0.575  0.386 0.575  0.642 0.575
2#apb#apb22#app2201/y  -0.920 0.261  -0.771 0.314  -0.651 0.420  -0.532 0.527  -0.423 0.644  -0.325 0.770  -0.237 0.903  -0.197 1.057  -0.237 1.054  -0.339 0.931  -0.427 0.798  -0.507 0.659  -0.558 0.507  -0.602 0.354  -0.481 0.263  -0.325 0.231  -0.170 0.272  -0.017 0.317  0.122 0.397  0.260 0.478  0.383 0.580  0.502 0.687  0.610 0.806  0.697 0.939  0.756 1.087  0.728 0.981  0.686 0.827  0.656 0.670  0.626 0.512  0.602 0.354  0.582 0.195  0.562 0.036  0.541 -0.122  0.516 -0.280  0.489 -0.438  0.462 -0.596  0.435 -0.754  0.395 -0.909  0.351 -1.063  0.306 -1.217  0.237 -1.358  0.144 -1.489  -0.003 -1.527  -0.162 -1.544  -0.308 -1.482  -0.452 -1.412  -0.596 -1.343  -0.700 -1.222  -0.802 -1.099  -0.904 -0.975
2#apb#apb22#app2201/P  0.086 0.348  0.132 0.485  0.069 0.315  -0.008 0.148  -0.085 -0.021  -0.164 -0.188  -0.244 -0.354  -0.318 -0.523  -0.372 -0.700  -0.426 -0.877  -0.480 -1.053  -0.534 -1.230  -0.596 -1.404  -0.612 -1.423  -0.643 -1.240  -0.674 -1.058  -0.705 -0.876  -0.736 -0.694  -0.767 -0.512  -0.798 -0.330  -0.830 -0.147  -0.861 0.035  -0.892 0.217  -0.923 0.399  -0.954 0.581  -0.868 0.724  -0.697 0.792  -0.516 0.829  -0.333 0.853  -0.149 0.869  0.036 0.874  0.220 0.867  0.405 0.861  0.589 0.839  0.772 0.816  0.955 0.790  1.136 0.754  1.314 0.710  1.463 0.601  1.458 0.423  1.358 0.267  1.226 0.141  1.082 0.025  0.925 -0.070  0.758 -0.151  0.592 -0.230  0.418 -0.294  0.245 -0.358  0.066 -0.401  -0.117 -0.430
2#apb#apb22#app2201/r  -1.282 -0.806  -1.217 -0.693  -1.172 -0.570  -1.127 -0.446  -1.053 -0.338  -0.978 -0.230  -0.910 -0.119  -0.848 -0.003  -0.786 0.113  -0.723 0.228  -0.651 0.337  -0.578 0.446  -0.505 0.555  -0.429 0.663  -0.351 0.768  -0.272 0.872  -0.186 0.971  -0.094 1.064  0.007 1.144  0.133 1.180  0.248 1.167  0.267 1.039  0.258 0.910  0.194 0.795  0.130 0.681  0.065 0.567  0.000 0.453  -0.065 0.339  -0.114 0.217  -0.160 0.094  -0.206 -0.028  -0.227 -0.155  -0.217 -0.286  -0.207 -0.416  -0.112 -0.494  0.002 -0.560  0.116 -0.624  0.241 -0.664  0.366 -0.703  0.491 -0.743  0.617 -0.779  0.747 -0.762  0.877 -0.745  1.007 -0.728  1.137 -0.711  1.265 -0.683  1.389 -0.642  1.514 -0.600  1.638 -0.559  1.763 -0.517
2#apb#apb22#app2201/o  -0.262 0.119  -0.167 0.197  -0.306 0.172  -0.433 0.099  -0.545 0.006  -0.648 -0.096  -0.729 -0.218  -0.800 -0.345  -0.850 -0.482  -0.892 -0.621  -0.915 -0.765  -0.937 -0.910  -0.890 -1.046  -0.835 -1.182  -0.733 -1.285  -0.609 -1.347  -0.464 -1.363  -0.346 -1.287  -0.232 -1.196  -0.141 -1.084  -0.067 -0.958  0.004 -0.831  0.060 -0.696  0.116 -0.561  0.171 -0.426  0.187 -0.282  0.194 -0.136  0.202 0.010  0.207 0.156  0.207 0.302  0.207 0.448  0.207 0.594  0.185 0.738  0.158 0.882  0.134 1.026  0.016 1.050  -0.085 0.953  -0.081 0.817  0.018 0.717  0.163 0.707  0.309 0.697  0.454 0.703  0.598 0.728  0.742 0.753  0.886 0.778  1.029 0.808  1.168 0.851  1.308 0.893  1.448 0.936  1.588 0.978
2#apb#apb22#app2201/v  -1.355 -0.724  -1.318 -0.715  -1.249 -0.579  -1.181 -0.443  -1.085 -0.324  -0.991 -0.203  -0.912 -0.072  -0.831 0.057  -0.737 0.178  -0.647 0.301  -0.566 0.431  -0.494 0.566  -0.396 0.679  -0.286 0.782  -0.286 0.668  -0.312 0.518  -0.338 0.368  -0.400 0.228  -0.450 0.084  -0.480 -0.066  -0.517 -0.214  -0.557 -0.362  -0.566 -0.513  -0.566 -0.666  -0.509 -0.807  -0.396 -0.906  -0.246 -0.919  -0.097 -0.886  0.022 -0.798  0.130 -0.689  0.196 -0.553  0.255 -0.412  0.304 -0.267  0.349 -0.121  0.381 0.028  0.397 0.180  0.400 0.333  0.400 0.485  0.459 0.493  0.592 0.417  0.733 0.360  0.878 0.312  1.026 0.311  1.176 0.341  1.326 0.373  1.468 0.430  1.610 0.487  1.750 0.546  1.889 0.610  2.028 0.674
2#apb#apb22#app2201/i  -1.185 -1.102  -1.152 -1.111  -1.053 -1.011  -0.960 -0.906  -0.874 -0.795  -0.803 -0.674  -0.733 -0.551  -0.667 -0.427  -0.601 -0.303  -0.529 -0.182  -0.455 -0.063  -0.377 0.054  -0.296 0.170  -0.226 0.291  -0.168 0.418  -0.134 0.406  -0.187 0.276  -0.250 0.150  -0.304 0.020  -0.349 -0.112  -0.374 -0.251  -0.391 -0.390  -0.402 -0.530  -0.344 -0.655  -0.261 -0.767  -0.156 -0.860  -0.022 -0.886  0.118 -0.895  0.256 -0.866  0.393 -0.836  0.419 -0.701  0.440 -0.562  0.462 -0.423  0.484 -0.284  0.505 -0.145  0.527 -0.006  0.548 0.133  0.570 0.272  0.592 0.411  0.613 0.550  0.635 0.689  0.657 0.828  0.678 0.967  0.700 1.106  0.721 1.245  0.743 1.384  0.765 1.523  0.786 1.662  0.808 1.801  0.830 1.940
2#apb#apb22#app2201/d  -0.449 -1.042  -0.399 -0.841  -0.320 -0.644  -0.259 -0.440  -0.163 -0.248  -0.126 -0.038  -0.096 0.175  -0.124 0.386  -0.234 0.564  -0.446 0.571  -0.618 0.453  -0.773 0.305  -0.899 0.133  -0.989 -0.060  -1.052 -0.265  -1.107 -0.472  -1.165 -0.679  -1.225 -0.884  -1.144 -1.028  -0.947 -1.104  -0.744 -1.036  -0.547 -0.952  -0.361 -0.848  -0.199 -0.708  -0.042 -0.562  0.093 -0.396  0.226 -0.228  0.335 -0.043  0.444 0.142  0.525 0.340  0.606 0.538  0.695 0.733  0.791 0.925  0.888 1.116  0.990 1.305  1.095 1.492  1.049 1.492  0.935 1.310  0.820 1.129  0.706 0.948  0.622 0.751  0.543 0.552  0.465 0.352  0.394 0.150  0.326 -0.054  0.266 -0.258  0.287 -0.471  0.309 -0.685  0.442 -0.852  0.576 -1.020
2#apb#apb22#app2201/e  -1.476 -1.258  -1.360 -1.159  -1.270 -1.053  -1.161 -0.944  -1.052 -0.835  -0.934 -0.738  -0.797 -0.669  -0.659 -0.600  -0.546 -0.496  -0.437 -0.387  -0.328 -0.278  -0.216 -0.173  -0.098 -0.074  0.019 0.026  0.137 0.125  0.255 0.225  0.346 0.348  0.431 0.476  0.517 0.604  0.602 0.732  0.678 0.866  0.753 1.001  0.825 1.137  0.882 1.280  0.814 1.384  0.668 1.410  0.559 1.308  0.456 1.194  0.353 1.079  0.255 0.962  0.169 0.833  0.084 0.705  -0.002 0.577  -0.087 0.449  -0.158 0.314  -0.204 0.167  -0.250 0.020  -0.296 -0.127  -0.342 -0.274  -0.319 -0.423  -0.282 -0.573  -0.186 -0.677  -0.050 -0.751  0.085 -0.825  0.223 -0.878  0.376 -0.854  0.528 -0.830  0.680 -0.806  0.832 -0.782  0.984 -0.758
