2#apb#apb22#app2204/B  0.014 0.693  0.054 0.585  -0.002 0.361  -0.100 0.150  -0.199 -0.061  -0.293 -0.275  -0.391 -0.486  -0.492 -0.696  -0.598 -0.904  -0.704 -1.049  -0.680 -0.817  -0.655 -0.586  -0.631 -0.354  -0.607 -0.122  -0.582 0.110  -0.558 0.342  -0.533 0.574  -0.514 0.805  -0.464 1.012  -0.249 1.089  -0.025 1.155  0.196 1.229  0.428 1.246  0.661 1.250  0.894 1.250  1.096 1.180  0.973 0.998  0.796 0.846  0.598 0.727  0.390 0.620  0.180 0.520  -0.024 0.408  -0.225 0.290  -0.110 0.267  0.113 0.209  0.325 0.114  0.528 -0.001  0.704 -0.154  0.820 -0.346  0.851 -0.570  0.801 -0.798  0.642 -0.969  0.455 -1.104  0.253 -1.219  0.028 -1.280  -0.198 -1.339  -0.431 -1.339  -0.659 -1.312  -0.873 -1.222  -1.002 -1.028
2#apb#apb22#app2204/l  -1.121 -1.067  -1.073 -0.999  -0.970 -0.896  -0.866 -0.792  -0.756 -0.696  -0.641 -0.605  -0.532 -0.507  -0.425 -0.407  -0.317 -0.308  -0.210 -0.208  -0.103 -0.109  0.000 -0.005  0.101 0.102  0.201 0.209  0.294 0.321  0.372 0.445  0.449 0.569  0.530 0.691  0.613 0.812  0.696 0.932  0.770 1.059  0.843 1.186  0.928 1.304  0.965 1.419  0.832 1.358  0.707 1.282  0.601 1.184  0.505 1.073  0.409 0.962  0.320 0.846  0.233 0.728  0.146 0.610  0.059 0.493  -0.027 0.374  -0.096 0.245  -0.165 0.116  -0.234 -0.014  -0.302 -0.143  -0.362 -0.275  -0.398 -0.418  -0.433 -0.560  -0.469 -0.702  -0.450 -0.844  -0.415 -0.986  -0.344 -1.104  -0.226 -1.191  -0.108 -1.277  0.023 -1.342  0.157 -1.402  0.290 -1.461
2#apb#apb22#app2204/u  -1.783 -0.801  -1.636 -0.683  -1.519 -0.535  -1.400 -0.389  -1.259 -0.264  -1.117 -0.140  -0.968 -0.024  -0.830 0.103  -0.717 0.254  -0.590 0.392  -0.462 0.530  -0.388 0.703  -0.247 0.786  -0.174 0.890  -0.104 0.893  -0.232 0.820  -0.393 0.732  -0.479 0.569  -0.570 0.406  -0.694 0.264  -0.790 0.104  -0.867 -0.068  -0.840 -0.255  -0.722 -0.396  -0.564 -0.484  -0.380 -0.524  -0.195 -0.551  -0.009 -0.518  0.176 -0.486  0.357 -0.435  0.528 -0.356  0.698 -0.276  0.870 -0.197  1.041 -0.118  1.081 -0.089  0.901 -0.144  0.782 -0.188  0.782 -0.122  0.803 0.038  0.960 0.142  1.077 0.289  1.197 0.434  1.240 0.489  1.187 0.407  1.111 0.235  1.041 0.060  0.994 -0.122  0.965 -0.308  0.991 -0.482  1.148 -0.587
2#apb#apb22#app2204/e  -1.236 -0.412  -1.218 -0.407  -1.067 -0.362  -0.925 -0.291  -0.776 -0.235  -0.626 -0.185  -0.486 -0.113  -0.352 -0.028  -0.218 0.058  -0.090 0.152  0.035 0.249  0.160 0.348  0.280 0.452  0.396 0.560  0.488 0.689  0.576 0.821  0.655 0.958  0.694 1.107  0.650 1.247  0.516 1.308  0.358 1.308  0.223 1.228  0.091 1.140  -0.026 1.034  -0.128 0.913  -0.231 0.792  -0.334 0.671  -0.405 0.531  -0.467 0.384  -0.528 0.238  -0.590 0.091  -0.642 -0.057  -0.652 -0.216  -0.663 -0.374  -0.673 -0.533  -0.560 -0.632  -0.430 -0.722  -0.299 -0.812  -0.158 -0.875  -0.000 -0.893  0.157 -0.912  0.315 -0.930  0.473 -0.948  0.631 -0.966  0.788 -0.959  0.945 -0.933  1.102 -0.908  1.258 -0.883  1.415 -0.858  1.572 -0.833
2#apb#apb22#app2204/S  -1.304 -0.818  -1.184 -0.736  -1.078 -0.630  -0.964 -0.534  -0.840 -0.451  -0.715 -0.368  -0.591 -0.285  -0.466 -0.202  -0.353 -0.104  -0.243 -0.003  -0.137 0.103  -0.040 0.217  0.056 0.332  0.147 0.450  0.238 0.569  0.349 0.670  0.459 0.772  0.559 0.883  0.656 0.996  0.748 1.114  0.812 1.249  0.877 1.383  0.814 1.432  0.724 1.312  0.651 1.182  0.597 1.043  0.549 0.901  0.531 0.752  0.512 0.604  0.510 0.454  0.510 0.304  0.510 0.155  0.510 0.005  0.507 -0.144  0.485 -0.292  0.463 -0.440  0.417 -0.581  0.350 -0.715  0.272 -0.840  0.156 -0.935  0.027 -0.997  -0.122 -1.008  -0.272 -1.011  -0.421 -1.005  -0.565 -0.966  -0.708 -0.923  -0.842 -0.856  -0.971 -0.781  -1.087 -0.688  -1.092 -0.567
2#apb#apb22#app2204/p  -0.271 0.242  -0.266 0.138  -0.341 -0.022  -0.419 -0.181  -0.485 -0.345  -0.537 -0.514  -0.592 -0.683  -0.647 -0.851  -0.699 -1.021  -0.790 -1.172  -0.884 -1.322  -0.985 -1.441  -1.055 -1.346  -1.035 -1.172  -0.974 -1.006  -0.918 -0.838  -0.862 -0.669  -0.776 -0.515  -0.687 -0.362  -0.597 -0.209  -0.508 -0.056  -0.416 0.096  -0.323 0.246  -0.230 0.397  -0.142 0.551  -0.037 0.692  0.088 0.817  0.199 0.955  0.342 1.051  0.508 1.098  0.684 1.085  0.815 0.985  0.816 0.815  0.707 0.677  0.565 0.571  0.416 0.476  0.265 0.383  0.106 0.310  -0.034 0.216  0.087 0.098  0.243 0.022  0.420 0.006  0.596 -0.011  0.767 0.030  0.938 0.077  1.103 0.139  1.258 0.225  1.409 0.316  1.529 0.446  1.650 0.575
2#apb#apb22#app2204/r  -1.432 -0.589  -1.510 -0.589  -1.493 -0.527  -1.429 -0.440  -1.339 -0.368  -1.251 -0.294  -1.159 -0.224  -1.063 -0.160  -0.987 -0.076  -0.916 0.015  -0.845 0.105  -0.770 0.193  -0.695 0.280  -0.620 0.368  -0.545 0.455  -0.472 0.543  -0.396 0.630  -0.315 0.711  -0.209 0.756  -0.096 0.769  0.011 0.775  0.103 0.716  0.108 0.603  0.120 0.493  0.089 0.382  0.054 0.273  0.010 0.166  -0.051 0.069  -0.105 -0.031  -0.119 -0.145  -0.113 -0.256  -0.062 -0.359  0.039 -0.395  0.153 -0.414  0.266 -0.432  0.381 -0.426  0.496 -0.419  0.611 -0.413  0.726 -0.406  0.835 -0.371  0.945 -0.335  1.054 -0.299  1.163 -0.262  1.263 -0.208  1.359 -0.144  1.455 -0.080  1.549 -0.014  1.641 0.055  1.733 0.124  1.825 0.193
2#apb#apb22#app2204/i  -1.423 -0.822  -1.436 -0.713  -1.349 -0.626  -1.253 -0.542  -1.162 -0.450  -1.080 -0.351  -0.998 -0.253  -0.908 -0.160  -0.817 -0.069  -0.726 0.022  -0.642 0.119  -0.559 0.217  -0.476 0.316  -0.397 0.418  -0.318 0.519  -0.240 0.621  -0.165 0.726  -0.090 0.830  -0.006 0.927  0.085 1.018  0.167 1.094  0.185 1.001  0.114 0.894  0.042 0.787  -0.033 0.682  -0.108 0.577  -0.175 0.468  -0.239 0.356  -0.295 0.241  -0.335 0.119  -0.318 0.004  -0.250 -0.105  -0.181 -0.214  -0.074 -0.281  0.041 -0.338  0.156 -0.396  0.271 -0.453  0.397 -0.479  0.523 -0.504  0.650 -0.529  0.776 -0.555  0.903 -0.555  1.030 -0.539  1.158 -0.523  1.286 -0.507  1.414 -0.491  1.534 -0.445  1.654 -0.399  1.774 -0.353  1.894 -0.306
2#apb#apb22#app2204/n  -1.405 -0.260  -1.464 -0.175  -1.433 -0.063  -1.369 0.039  -1.304 0.141  -1.237 0.242  -1.154 0.325  -1.049 0.385  -0.945 0.446  -0.841 0.508  -0.733 0.562  -0.616 0.592  -0.497 0.585  -0.406 0.518  -0.345 0.414  -0.345 0.293  -0.358 0.174  -0.396 0.060  -0.439 -0.053  -0.498 -0.157  -0.574 -0.251  -0.562 -0.241  -0.476 -0.155  -0.390 -0.072  -0.294 0.002  -0.199 0.077  -0.107 0.155  -0.022 0.240  0.075 0.299  0.120 0.272  0.096 0.153  0.111 0.033  0.128 -0.086  0.205 -0.179  0.287 -0.264  0.403 -0.300  0.518 -0.335  0.634 -0.371  0.754 -0.378  0.874 -0.378  0.995 -0.378  1.116 -0.378  1.235 -0.358  1.354 -0.337  1.473 -0.316  1.592 -0.295  1.705 -0.255  1.817 -0.208  1.928 -0.160  2.039 -0.113
2#apb#apb22#app2204/g  0.187 0.553  0.258 0.685  0.335 0.816  0.404 0.951  0.465 1.091  0.525 1.230  0.555 1.378  0.428 1.406  0.293 1.336  0.175 1.241  0.073 1.129  -0.029 1.015  -0.117 0.893  -0.177 0.753  -0.128 0.644  0.021 0.663  0.145 0.747  0.264 0.832  0.377 0.862  0.442 0.726  0.461 0.575  0.467 0.423  0.453 0.271  0.439 0.119  0.406 -0.030  0.373 -0.178  0.340 -0.327  0.279 -0.467  0.215 -0.605  0.151 -0.744  0.065 -0.870  -0.021 -0.996  -0.107 -1.122  -0.193 -1.248  -0.279 -1.374  -0.385 -1.482  -0.509 -1.558  -0.642 -1.510  -0.729 -1.384  -0.769 -1.244  -0.769 -1.092  -0.769 -0.939  -0.698 -0.804  -0.628 -0.669  -0.558 -0.533  -0.453 -0.423  -0.345 -0.315  -0.231 -0.216  -0.097 -0.142  0.036 -0.068
2#apb#apb22#app2204/s  -1.551 -0.667  -1.496 -0.521  -1.390 -0.392  -1.279 -0.267  -1.167 -0.143  -1.049 -0.025  -0.930 0.093  -0.807 0.206  -0.684 0.319  -0.562 0.433  -0.444 0.552  -0.325 0.669  -0.199 0.779  -0.067 0.881  0.058 0.986  0.195 1.048  0.321 0.971  0.361 0.811  0.347 0.645  0.311 0.482  0.257 0.324  0.200 0.167  0.127 0.017  0.040 -0.125  -0.068 -0.252  -0.197 -0.359  -0.354 -0.386  -0.517 -0.369  -0.666 -0.294  -0.802 -0.198  -0.875 -0.105  -0.714 -0.132  -0.567 -0.211  -0.420 -0.290  -0.261 -0.341  -0.101 -0.387  0.060 -0.433  0.222 -0.471  0.389 -0.471  0.556 -0.471  0.723 -0.471  0.891 -0.471  1.048 -0.421  1.203 -0.359  1.359 -0.297  1.509 -0.226  1.637 -0.119  1.765 -0.011  1.892 0.096  2.020 0.204
