2#apb#apb25#app2572/k  -0.322 2.024  -0.297 1.957  -0.315 1.747  -0.322 1.537  -0.322 1.327  -0.338 1.117  -0.356 0.908  -0.386 0.700  -0.425 0.493  -0.465 0.286  -0.516 0.082  -0.569 -0.121  -0.619 -0.326  -0.665 -0.531  -0.724 -0.732  -0.794 -0.931  -0.835 -1.137  -0.877 -1.309  -0.706 -1.190  -0.548 -1.051  -0.394 -0.908  -0.239 -0.766  -0.084 -0.623  0.070 -0.481  0.225 -0.338  0.380 -0.196  0.534 -0.053  0.689 0.089  0.844 0.232  0.999 0.374  1.153 0.517  1.115 0.607  0.914 0.546  0.720 0.465  0.525 0.385  0.330 0.306  0.132 0.236  -0.062 0.155  -0.244 0.051  -0.417 -0.069  -0.475 -0.110  -0.277 -0.154  -0.091 -0.244  0.103 -0.322  0.284 -0.430  0.458 -0.549  0.636 -0.660  0.793 -0.798  0.886 -0.979  0.894 -1.134
2#apb#apb25#app2572/e  -0.394 -0.077  -0.249 -0.077  -0.105 -0.075  0.032 -0.029  0.173 -0.002  0.316 0.016  0.451 0.066  0.526 0.179  0.575 0.315  0.624 0.450  0.675 0.583  0.675 0.727  0.665 0.870  0.625 1.009  0.558 1.135  0.459 1.239  0.329 1.274  0.193 1.238  0.064 1.174  -0.068 1.115  -0.200 1.057  -0.297 0.951  -0.393 0.843  -0.493 0.740  -0.602 0.645  -0.710 0.549  -0.794 0.432  -0.869 0.310  -0.897 0.169  -0.926 0.027  -0.928 -0.117  -0.901 -0.255  -0.837 -0.384  -0.772 -0.513  -0.693 -0.633  -0.613 -0.753  -0.514 -0.857  -0.405 -0.951  -0.280 -1.020  -0.146 -1.074  -0.010 -1.117  0.134 -1.132  0.278 -1.144  0.421 -1.131  0.565 -1.118  0.697 -1.067  0.824 -0.998  0.951 -0.928  1.080 -0.864  1.209 -0.799
2#apb#apb25#app2572/e  -0.505 0.104  -0.455 -0.024  -0.373 -0.147  -0.261 -0.222  -0.116 -0.244  0.030 -0.220  0.155 -0.153  0.267 -0.057  0.381 0.035  0.499 0.124  0.614 0.214  0.680 0.345  0.746 0.477  0.751 0.623  0.731 0.767  0.691 0.909  0.602 1.022  0.497 1.126  0.372 1.201  0.241 1.267  0.101 1.270  -0.042 1.238  -0.176 1.184  -0.299 1.102  -0.421 1.021  -0.508 0.903  -0.589 0.780  -0.662 0.653  -0.717 0.517  -0.772 0.380  -0.776 0.235  -0.766 0.089  -0.755 -0.058  -0.725 -0.200  -0.668 -0.336  -0.611 -0.472  -0.544 -0.602  -0.457 -0.721  -0.371 -0.840  -0.280 -0.955  -0.161 -1.041  -0.042 -1.128  0.077 -1.215  0.221 -1.240  0.367 -1.260  0.513 -1.279  0.659 -1.292  0.806 -1.292  0.953 -1.292  1.101 -1.292
2#apb#apb25#app2572/p  -0.027 1.233  -0.092 1.181  -0.150 0.983  -0.210 0.786  -0.238 0.582  -0.253 0.376  -0.262 0.170  -0.271 -0.036  -0.282 -0.242  -0.303 -0.447  -0.323 -0.653  -0.352 -0.857  -0.385 -1.061  -0.421 -1.264  -0.465 -1.465  -0.498 -1.669  -0.476 -1.700  -0.448 -1.497  -0.440 -1.291  -0.431 -1.085  -0.423 -0.878  -0.414 -0.672  -0.405 -0.466  -0.397 -0.260  -0.388 -0.054  -0.380 0.152  -0.371 0.359  -0.362 0.565  -0.354 0.771  -0.314 0.936  -0.172 1.075  0.020 1.150  0.214 1.214  0.416 1.218  0.610 1.147  0.802 1.072  0.963 0.955  1.087 0.790  1.170 0.601  1.141 0.401  1.084 0.203  1.012 0.014  0.841 -0.100  0.664 -0.207  0.486 -0.311  0.309 -0.417  0.112 -0.452  -0.087 -0.416  -0.261 -0.310  -0.278 -0.125
2#apb#apb25#app2572/v  -1.306 0.846  -1.317 0.876  -1.226 0.810  -1.139 0.737  -1.061 0.653  -0.984 0.568  -0.908 0.483  -0.834 0.396  -0.762 0.307  -0.691 0.218  -0.622 0.127  -0.571 0.025  -0.519 -0.077  -0.468 -0.179  -0.418 -0.282  -0.382 -0.390  -0.346 -0.499  -0.310 -0.607  -0.267 -0.713  -0.222 -0.818  -0.214 -0.930  -0.213 -1.045  -0.186 -1.155  -0.179 -1.229  -0.148 -1.120  -0.084 -1.025  -0.021 -0.930  0.043 -0.835  0.106 -0.740  0.165 -0.643  0.220 -0.542  0.275 -0.442  0.329 -0.342  0.384 -0.241  0.438 -0.140  0.492 -0.040  0.548 0.060  0.608 0.157  0.668 0.254  0.728 0.351  0.789 0.448  0.850 0.545  0.911 0.641  0.974 0.737  1.047 0.824  1.118 0.914  1.160 1.020  1.199 1.100  1.173 0.990  1.173 0.876
2#apb#apb25#app2572/e  -0.384 -0.343  -0.278 -0.415  -0.143 -0.415  -0.009 -0.398  0.119 -0.359  0.234 -0.287  0.348 -0.215  0.449 -0.125  0.545 -0.029  0.637 0.070  0.726 0.172  0.816 0.274  0.886 0.388  0.946 0.510  0.971 0.642  0.990 0.776  0.953 0.907  0.913 1.035  0.804 1.116  0.680 1.166  0.550 1.203  0.419 1.186  0.287 1.154  0.176 1.085  0.080 0.989  -0.015 0.893  -0.117 0.804  -0.224 0.721  -0.331 0.638  -0.415 0.536  -0.475 0.414  -0.536 0.293  -0.597 0.172  -0.646 0.046  -0.695 -0.081  -0.743 -0.207  -0.787 -0.335  -0.814 -0.468  -0.840 -0.601  -0.843 -0.734  -0.821 -0.868  -0.748 -0.979  -0.666 -1.088  -0.577 -1.187  -0.456 -1.247  -0.335 -1.308  -0.211 -1.358  -0.076 -1.369  0.059 -1.381  0.195 -1.392
2#apb#apb25#app2572/x  -1.311 0.778  -1.316 0.660  -1.220 0.522  -1.101 0.404  -0.970 0.297  -0.835 0.196  -0.681 0.124  -0.528 0.052  -0.376 -0.023  -0.230 -0.109  -0.084 -0.195  0.062 -0.280  0.207 -0.369  0.351 -0.457  0.494 -0.548  0.614 -0.668  0.732 -0.789  0.816 -0.936  0.911 -1.076  1.015 -1.201  1.003 -1.046  0.976 -0.879  0.950 -0.711  0.924 -0.544  0.898 -0.376  0.871 -0.209  0.845 -0.042  0.819 0.126  0.792 0.293  0.766 0.460  0.740 0.628  0.714 0.795  0.697 0.963  0.590 1.078  0.432 1.040  0.291 0.946  0.157 0.843  0.032 0.729  -0.094 0.615  -0.218 0.500  -0.343 0.386  -0.468 0.271  -0.588 0.152  -0.708 0.032  -0.828 -0.088  -0.943 -0.212  -1.056 -0.338  -1.165 -0.468  -1.263 -0.606  -1.371 -0.721
2#apb#apb25#app2572/i  0.128 0.189  0.101 0.241  0.101 0.129  0.101 0.017  0.100 -0.095  0.089 -0.206  0.079 -0.318  0.078 -0.429  0.086 -0.541  0.093 -0.653  0.101 -0.765  0.084 -0.875  0.065 -0.986  0.046 -1.096  0.022 -1.206  -0.002 -1.315  -0.049 -1.416  -0.059 -1.508  -0.058 -1.396  -0.056 -1.284  -0.055 -1.172  -0.053 -1.060  -0.051 -0.947  -0.049 -0.835  -0.047 -0.723  -0.046 -0.611  -0.044 -0.499  -0.042 -0.387  -0.040 -0.275  -0.038 -0.163  -0.037 -0.051  -0.035 0.061  -0.033 0.173  -0.031 0.285  -0.029 0.397  -0.027 0.509  -0.026 0.621  -0.024 0.733  -0.022 0.845  -0.020 0.957  -0.018 1.069  -0.017 1.181  -0.015 1.293  -0.013 1.405  -0.011 1.517  -0.009 1.629  -0.008 1.741  -0.006 1.853  -0.066 1.944  -0.139 2.028
2#apb#apb25#app2572/n  -0.838 1.087  -0.824 1.035  -0.829 0.895  -0.814 0.755  -0.792 0.615  -0.754 0.479  -0.717 0.342  -0.687 0.204  -0.667 0.064  -0.647 -0.076  -0.627 -0.216  -0.632 -0.357  -0.644 -0.497  -0.656 -0.638  -0.672 -0.779  -0.689 -0.919  -0.726 -1.055  -0.684 -0.952  -0.643 -0.817  -0.612 -0.679  -0.581 -0.541  -0.549 -0.403  -0.517 -0.266  -0.486 -0.128  -0.429 0.001  -0.366 0.128  -0.302 0.254  -0.222 0.371  -0.141 0.486  -0.060 0.602  0.060 0.673  0.187 0.737  0.318 0.789  0.452 0.834  0.579 0.773  0.696 0.698  0.788 0.591  0.880 0.483  0.945 0.358  1.009 0.232  1.062 0.101  1.110 -0.032  1.159 -0.165  1.186 -0.303  1.204 -0.443  1.225 -0.583  1.246 -0.723  1.246 -0.864  1.246 -1.006  1.210 -1.142
2#apb#apb25#app2572/g  0.446 0.576  0.421 0.742  0.347 0.894  0.255 1.030  0.116 1.128  -0.030 1.212  -0.195 1.243  -0.361 1.213  -0.507 1.126  -0.606 0.988  -0.662 0.828  -0.684 0.662  -0.673 0.492  -0.655 0.323  -0.617 0.157  -0.567 -0.005  -0.504 -0.163  -0.393 -0.293  -0.239 -0.313  -0.080 -0.262  0.069 -0.181  0.212 -0.089  0.345 0.016  0.458 0.144  0.516 0.298  0.528 0.465  0.493 0.632  0.459 0.799  0.424 0.965  0.360 0.874  0.364 0.707  0.353 0.537  0.354 0.367  0.382 0.199  0.396 0.030  0.384 -0.139  0.368 -0.309  0.338 -0.476  0.308 -0.644  0.261 -0.807  0.213 -0.971  0.155 -1.131  0.090 -1.288  0.009 -1.437  -0.077 -1.584  -0.210 -1.689  -0.358 -1.771  -0.525 -1.786  -0.674 -1.709  -0.804 -1.600
2#apb#apb25#app2572/m  -1.388 -0.961  -1.516 -0.870  -1.537 -0.709  -1.466 -0.551  -1.369 -0.406  -1.256 -0.273  -1.147 -0.136  -1.040 0.003  -0.931 0.139  -0.814 0.269  -0.698 0.399  -0.573 0.522  -0.446 0.642  -0.309 0.750  -0.165 0.850  -0.059 0.987  0.039 0.873  0.044 0.699  0.026 0.525  0.003 0.352  -0.035 0.181  -0.080 0.012  -0.122 -0.157  -0.183 -0.319  -0.273 -0.468  -0.354 -0.619  -0.359 -0.537  -0.292 -0.375  -0.203 -0.225  -0.107 -0.079  0.003 0.057  0.113 0.192  0.243 0.309  0.375 0.423  0.522 0.519  0.672 0.609  0.828 0.678  0.998 0.663  1.113 0.535  1.219 0.397  1.271 0.230  1.278 0.058  1.247 -0.114  1.202 -0.282  1.129 -0.441  1.048 -0.596  0.962 -0.748  0.862 -0.891  0.781 -1.046  0.742 -1.070
2#apb#apb25#app2572/e  -0.325 0.011  -0.188 0.036  -0.049 0.013  0.080 -0.041  0.209 -0.098  0.335 -0.047  0.461 0.015  0.593 0.064  0.711 0.132  0.803 0.239  0.892 0.347  0.968 0.462  0.962 0.602  0.942 0.741  0.860 0.853  0.760 0.948  0.634 1.011  0.504 1.062  0.368 1.099  0.232 1.127  0.096 1.093  -0.040 1.059  -0.165 0.998  -0.282 0.920  -0.399 0.842  -0.502 0.747  -0.597 0.644  -0.692 0.540  -0.771 0.427  -0.818 0.294  -0.866 0.162  -0.899 0.027  -0.899 -0.114  -0.899 -0.254  -0.897 -0.394  -0.835 -0.520  -0.772 -0.646  -0.709 -0.772  -0.603 -0.861  -0.489 -0.943  -0.374 -1.025  -0.253 -1.092  -0.118 -1.130  0.018 -1.168  0.153 -1.205  0.291 -1.227  0.432 -1.234  0.572 -1.240  0.713 -1.247  0.853 -1.253
2#apb#apb25#app2572/w  -1.026 0.712  -1.045 0.695  -1.058 0.546  -1.081 0.397  -1.099 0.248  -1.117 0.098  -1.138 -0.050  -1.160 -0.199  -1.177 -0.348  -1.167 -0.498  -1.147 -0.647  -1.063 -0.761  -0.931 -0.690  -0.814 -0.596  -0.705 -0.493  -0.604 -0.381  -0.513 -0.261  -0.424 -0.140  -0.351 -0.010  -0.296 0.130  -0.241 0.270  -0.150 0.390  -0.058 0.509  0.065 0.576  0.065 0.426  0.074 0.275  0.084 0.125  0.077 -0.025  0.069 -0.175  0.065 -0.326  0.065 -0.476  0.082 -0.625  0.135 -0.742  0.273 -0.699  0.403 -0.623  0.514 -0.523  0.621 -0.417  0.727 -0.310  0.834 -0.204  0.939 -0.096  1.034 0.021  1.128 0.138  1.212 0.262  1.284 0.394  1.357 0.526  1.432 0.656  1.511 0.784  1.513 0.838  1.415 0.723  1.386 0.578
2#apb#apb25#app2572/i  0.676 0.041  0.676 0.166  0.676 0.291  0.573 0.321  0.488 0.234  0.419 0.130  0.351 0.024  0.284 -0.082  0.216 -0.188  0.151 -0.295  0.085 -0.401  0.019 -0.508  -0.047 -0.615  -0.113 -0.721  -0.180 -0.828  -0.246 -0.934  -0.310 -1.042  -0.355 -1.159  -0.400 -1.276  -0.445 -1.393  -0.515 -1.477  -0.507 -1.364  -0.473 -1.243  -0.442 -1.122  -0.410 -1.000  -0.379 -0.879  -0.347 -0.757  -0.316 -0.636  -0.284 -0.515  -0.253 -0.393  -0.221 -0.272  -0.190 -0.150  -0.158 -0.029  -0.127 0.092  -0.095 0.214  -0.064 0.335  -0.033 0.457  -0.001 0.578  0.030 0.699  0.062 0.821  0.093 0.942  0.125 1.064  0.156 1.185  0.188 1.307  0.219 1.428  0.251 1.549  0.282 1.671  0.314 1.792  0.304 1.909  0.273 2.029
2#apb#apb25#app2572/t  0.825 1.775  0.825 1.625  0.821 1.474  0.798 1.325  0.775 1.176  0.746 1.029  0.714 0.882  0.680 0.735  0.630 0.593  0.581 0.450  0.531 0.308  0.482 0.166  0.422 0.028  0.357 -0.108  0.292 -0.244  0.228 -0.380  0.156 -0.512  0.076 -0.640  -0.003 -0.768  -0.083 -0.896  -0.175 -1.015  -0.267 -1.134  -0.359 -1.254  -0.465 -1.360  -0.589 -1.436  -0.667 -1.356  -0.676 -1.206  -0.686 -1.056  -0.695 -0.905  -0.705 -0.755  -0.714 -0.605  -0.724 -0.454  -0.734 -0.304  -0.743 -0.154  -0.753 -0.003  -0.762 0.147  -0.772 0.297  -0.810 0.370  -0.691 0.293  -0.546 0.253  -0.399 0.243  -0.250 0.264  -0.101 0.285  0.047 0.317  0.194 0.349  0.341 0.382  0.489 0.410  0.638 0.433  0.786 0.457  0.935 0.480
2#apb#apb25#app2572/h  0.433 1.797  0.323 1.708  0.223 1.588  0.153 1.449  0.083 1.309  0.036 1.160  -0.010 1.011  -0.057 0.863  -0.104 0.714  -0.151 0.565  -0.205 0.419  -0.265 0.275  -0.326 0.131  -0.387 -0.012  -0.449 -0.155  -0.517 -0.296  -0.584 -0.437  -0.651 -0.577  -0.723 -0.716  -0.800 -0.851  -0.878 -0.987  -0.940 -1.086  -0.881 -0.941  -0.822 -0.797  -0.762 -0.653  -0.703 -0.509  -0.644 -0.364  -0.585 -0.220  -0.525 -0.076  -0.466 0.069  -0.406 0.213  -0.336 0.258  -0.216 0.339  -0.061 0.347  0.094 0.335  0.248 0.311  0.399 0.273  0.546 0.223  0.688 0.158  0.824 0.082  0.938 -0.016  0.996 -0.161  1.028 -0.312  1.033 -0.467  1.005 -0.620  0.973 -0.773  0.938 -0.925  0.886 -1.071  0.822 -1.214  0.783 -1.361
2#apb#apb25#app2572/f  1.323 1.421  1.192 1.472  1.049 1.444  0.913 1.388  0.783 1.317  0.659 1.236  0.538 1.151  0.433 1.049  0.344 0.931  0.278 0.799  0.221 0.662  0.168 0.524  0.156 0.377  0.149 0.229  0.149 0.081  0.145 -0.066  0.118 -0.212  0.090 -0.357  0.056 -0.501  0.022 -0.645  -0.032 -0.783  -0.087 -0.920  -0.165 -1.045  -0.245 -1.170  -0.322 -1.296  -0.418 -1.404  -0.549 -1.471  -0.625 -1.373  -0.635 -1.225  -0.645 -1.078  -0.654 -0.930  -0.664 -0.782  -0.674 -0.635  -0.683 -0.487  -0.693 -0.339  -0.702 -0.192  -0.712 -0.044  -0.722 0.104  -0.731 0.251  -0.603 0.265  -0.463 0.218  -0.325 0.165  -0.183 0.137  -0.035 0.137  0.110 0.161  0.253 0.199  0.396 0.237  0.539 0.275  0.675 0.332  0.810 0.394
2#apb#apb25#app2572/r  -0.589 0.901  -0.501 0.824  -0.470 0.700  -0.439 0.577  -0.417 0.452  -0.398 0.326  -0.378 0.200  -0.359 0.074  -0.352 -0.052  -0.352 -0.180  -0.352 -0.307  -0.358 -0.434  -0.379 -0.559  -0.400 -0.685  -0.421 -0.810  -0.431 -0.937  -0.431 -1.064  -0.431 -1.191  -0.431 -1.319  -0.450 -1.427  -0.504 -1.327  -0.510 -1.200  -0.495 -1.075  -0.470 -0.950  -0.445 -0.825  -0.422 -0.700  -0.401 -0.574  -0.380 -0.449  -0.359 -0.323  -0.311 -0.207  -0.250 -0.095  -0.189 0.016  -0.128 0.128  -0.054 0.231  0.024 0.331  0.102 0.432  0.188 0.525  0.294 0.595  0.399 0.666  0.505 0.736  0.622 0.786  0.740 0.833  0.859 0.880  0.981 0.909  1.108 0.923  1.234 0.937  1.361 0.941  1.489 0.941  1.615 0.926  1.739 0.901
2#apb#apb25#app2572/a  0.618 0.608  0.505 0.753  0.333 0.827  0.142 0.830  -0.048 0.848  -0.234 0.829  -0.411 0.758  -0.570 0.654  -0.718 0.533  -0.861 0.407  -0.997 0.272  -1.115 0.126  -1.186 -0.052  -1.239 -0.235  -1.273 -0.423  -1.268 -0.612  -1.203 -0.782  -1.068 -0.917  -0.887 -0.979  -0.712 -0.973  -0.544 -0.882  -0.373 -0.795  -0.199 -0.716  -0.045 -0.609  0.080 -0.465  0.185 -0.306  0.287 -0.145  0.345 0.028  0.443 0.192  0.540 0.357  0.638 0.521  0.736 0.686  0.834 0.850  0.931 1.015  1.013 1.170  0.916 1.038  0.873 0.853  0.804 0.675  0.738 0.495  0.692 0.310  0.645 0.124  0.591 -0.059  0.525 -0.238  0.458 -0.418  0.390 -0.597  0.309 -0.770  0.228 -0.943  0.145 -1.115  0.044 -1.278  -0.037 -1.450
2#apb#apb25#app2572/n  -0.276 1.199  -0.371 1.089  -0.436 0.958  -0.494 0.823  -0.552 0.688  -0.573 0.543  -0.595 0.399  -0.638 0.258  -0.680 0.118  -0.719 -0.024  -0.747 -0.167  -0.776 -0.311  -0.811 -0.453  -0.854 -0.594  -0.896 -0.734  -0.965 -0.862  -1.010 -0.919  -0.930 -0.800  -0.883 -0.661  -0.819 -0.530  -0.748 -0.402  -0.677 -0.274  -0.602 -0.148  -0.526 -0.022  -0.451 0.104  -0.348 0.207  -0.238 0.303  -0.127 0.400  -0.008 0.485  0.112 0.569  0.232 0.653  0.361 0.721  0.496 0.779  0.638 0.804  0.763 0.753  0.856 0.641  0.929 0.514  0.997 0.385  1.044 0.246  1.069 0.103  1.069 -0.044  1.069 -0.190  1.096 -0.334  1.108 -0.479  1.107 -0.625  1.078 -0.769  1.033 -0.908  0.973 -1.041  0.886 -1.159  0.831 -1.293
2#apb#apb25#app2572/t  0.517 1.683  0.599 1.717  0.594 1.554  0.557 1.395  0.521 1.236  0.491 1.075  0.463 0.914  0.435 0.753  0.407 0.592  0.379 0.431  0.351 0.270  0.320 0.109  0.272 -0.047  0.224 -0.203  0.176 -0.359  0.128 -0.516  0.070 -0.668  0.004 -0.818  -0.061 -0.968  -0.126 -1.118  -0.187 -1.269  -0.243 -1.423  -0.307 -1.573  -0.302 -1.505  -0.355 -1.351  -0.408 -1.196  -0.461 -1.042  -0.514 -0.887  -0.567 -0.732  -0.620 -0.578  -0.673 -0.423  -0.726 -0.268  -0.779 -0.114  -0.832 0.041  -0.885 0.196  -0.938 0.350  -0.859 0.415  -0.703 0.369  -0.549 0.313  -0.390 0.280  -0.228 0.261  -0.065 0.242  0.096 0.261  0.256 0.291  0.417 0.321  0.578 0.352  0.738 0.382  0.900 0.405  1.063 0.417  1.226 0.429
2#apb#apb25#app2572/i  0.285 0.930  0.366 0.928  0.425 0.810  0.423 0.686  0.387 0.559  0.356 0.430  0.335 0.299  0.313 0.169  0.291 0.038  0.247 -0.086  0.193 -0.207  0.139 -0.327  0.094 -0.452  0.052 -0.577  0.010 -0.703  -0.032 -0.828  -0.074 -0.954  -0.115 -1.079  -0.157 -1.205  -0.199 -1.330  -0.241 -1.456  -0.300 -1.574  -0.359 -1.553  -0.340 -1.422  -0.321 -1.291  -0.301 -1.160  -0.282 -1.029  -0.263 -0.898  -0.244 -0.767  -0.225 -0.636  -0.206 -0.505  -0.187 -0.375  -0.167 -0.244  -0.148 -0.113  -0.129 0.018  -0.110 0.149  -0.091 0.280  -0.072 0.411  -0.052 0.542  -0.033 0.673  -0.014 0.804  0.005 0.935  0.024 1.066  0.043 1.197  0.063 1.328  0.082 1.459  0.101 1.590  0.120 1.721  0.145 1.851  0.163 1.900
2#apb#apb25#app2572/c  1.008 0.979  0.960 1.058  0.876 1.106  0.778 1.106  0.679 1.106  0.585 1.081  0.492 1.049  0.398 1.018  0.303 0.996  0.206 0.977  0.110 0.958  0.021 0.920  -0.060 0.864  -0.140 0.807  -0.221 0.751  -0.301 0.694  -0.381 0.637  -0.461 0.580  -0.519 0.501  -0.571 0.418  -0.623 0.334  -0.674 0.250  -0.725 0.166  -0.775 0.081  -0.824 -0.004  -0.824 -0.102  -0.824 -0.200  -0.816 -0.297  -0.765 -0.381  -0.715 -0.465  -0.664 -0.550  -0.598 -0.617  -0.510 -0.661  -0.422 -0.705  -0.334 -0.750  -0.246 -0.794  -0.155 -0.830  -0.060 -0.854  0.036 -0.877  0.131 -0.901  0.226 -0.925  0.322 -0.949  0.417 -0.973  0.515 -0.971  0.613 -0.962  0.711 -0.953  0.809 -0.943  0.907 -0.934  1.005 -0.925  1.102 -0.915
2#apb#apb25#app2572/j  0.424 0.697  0.439 0.829  0.452 0.852  0.519 0.736  0.585 0.620  0.617 0.492  0.638 0.360  0.638 0.226  0.638 0.092  0.615 -0.039  0.587 -0.170  0.544 -0.296  0.499 -0.422  0.448 -0.546  0.391 -0.667  0.334 -0.788  0.267 -0.904  0.196 -1.016  0.101 -1.111  -0.014 -1.177  -0.141 -1.215  -0.272 -1.236  -0.406 -1.236  -0.540 -1.227  -0.667 -1.197  -0.780 -1.125  -0.828 -1.029  -0.776 -0.906  -0.726 -0.782  -0.676 -0.658  -0.626 -0.534  -0.576 -0.410  -0.526 -0.286  -0.476 -0.162  -0.426 -0.038  -0.376 0.087  -0.326 0.211  -0.276 0.335  -0.226 0.459  -0.176 0.583  -0.126 0.707  -0.076 0.831  -0.027 0.955  0.023 1.079  0.073 1.203  0.123 1.327  0.173 1.451  0.223 1.575  0.273 1.699  0.245 1.771
2#apb#apb25#app2572/o  0.200 0.892  0.138 1.010  0.001 1.031  -0.123 0.965  -0.245 0.895  -0.346 0.796  -0.446 0.697  -0.546 0.597  -0.646 0.497  -0.746 0.397  -0.807 0.272  -0.855 0.140  -0.903 0.007  -0.928 -0.132  -0.949 -0.272  -0.971 -0.411  -0.963 -0.551  -0.940 -0.690  -0.917 -0.829  -0.829 -0.926  -0.710 -1.001  -0.584 -1.062  -0.448 -1.100  -0.312 -1.137  -0.181 -1.119  -0.054 -1.055  0.072 -0.992  0.198 -0.928  0.322 -0.860  0.446 -0.793  0.564 -0.718  0.658 -0.613  0.752 -0.507  0.842 -0.399  0.921 -0.281  0.999 -0.164  1.055 -0.036  1.094 0.100  1.084 0.239  1.038 0.366  0.938 0.466  0.837 0.565  0.730 0.657  0.622 0.748  0.493 0.803  0.362 0.856  0.228 0.897  0.087 0.915  -0.050 0.910  -0.181 0.858
