2#apb#apb28#app2835/B  -0.360 0.473  -0.328 0.554  -0.368 0.365  -0.438 0.183  -0.510 0.002  -0.594 -0.174  -0.678 -0.350  -0.748 -0.532  -0.812 -0.716  -0.875 -0.901  -0.908 -1.091  -0.876 -1.095  -0.813 -0.911  -0.750 -0.726  -0.687 -0.541  -0.624 -0.357  -0.560 -0.172  -0.497 0.012  -0.434 0.197  -0.371 0.381  -0.308 0.566  -0.245 0.751  -0.182 0.935  -0.128 1.111  0.040 1.212  0.210 1.306  0.385 1.393  0.578 1.399  0.767 1.367  0.899 1.244  0.943 1.057  0.943 0.862  0.869 0.682  0.782 0.508  0.672 0.347  0.556 0.190  0.433 0.039  0.276 -0.077  0.391 -0.141  0.566 -0.213  0.702 -0.349  0.804 -0.515  0.753 -0.699  0.669 -0.875  0.550 -1.026  0.398 -1.145  0.217 -1.217  0.038 -1.232  -0.119 -1.119  -0.228 -0.961
2#apb#apb28#app2835/L  1.017 1.675  0.932 1.611  0.869 1.527  0.808 1.441  0.747 1.354  0.682 1.271  0.617 1.187  0.553 1.103  0.488 1.019  0.423 0.935  0.358 0.852  0.292 0.769  0.225 0.687  0.158 0.605  0.091 0.523  0.024 0.441  -0.042 0.359  -0.109 0.277  -0.176 0.195  -0.245 0.114  -0.314 0.034  -0.383 -0.046  -0.453 -0.126  -0.522 -0.206  -0.591 -0.286  -0.658 -0.368  -0.720 -0.454  -0.781 -0.540  -0.843 -0.626  -0.897 -0.717  -0.938 -0.814  -0.923 -0.910  -0.840 -0.932  -0.736 -0.911  -0.635 -0.883  -0.538 -0.840  -0.441 -0.797  -0.344 -0.754  -0.248 -0.711  -0.145 -0.686  -0.042 -0.664  0.062 -0.642  0.166 -0.621  0.270 -0.608  0.376 -0.608  0.482 -0.608  0.587 -0.613  0.692 -0.630  0.796 -0.650  0.849 -0.728
2#apb#apb28#app2835/U  -0.563 1.066  -0.620 0.984  -0.678 0.902  -0.735 0.820  -0.773 0.729  -0.795 0.631  -0.818 0.533  -0.840 0.436  -0.857 0.337  -0.873 0.238  -0.888 0.139  -0.904 0.040  -0.920 -0.059  -0.929 -0.159  -0.929 -0.259  -0.929 -0.359  -0.929 -0.460  -0.892 -0.543  -0.816 -0.608  -0.740 -0.673  -0.645 -0.702  -0.547 -0.726  -0.450 -0.751  -0.353 -0.753  -0.257 -0.727  -0.160 -0.700  -0.063 -0.673  0.033 -0.646  0.127 -0.613  0.206 -0.553  0.286 -0.492  0.366 -0.431  0.445 -0.370  0.525 -0.309  0.605 -0.248  0.686 -0.189  0.766 -0.130  0.847 -0.071  0.928 -0.011  1.009 0.048  1.066 0.130  1.122 0.213  1.178 0.297  1.233 0.380  1.259 0.476  1.281 0.574  1.285 0.670  1.248 0.763  1.215 0.858  1.183 0.953
2#apb#apb28#app2835/E  -0.239 0.703  -0.349 0.550  -0.459 0.397  -0.570 0.245  -0.667 0.085  -0.745 -0.087  -0.799 -0.265  -0.821 -0.452  -0.843 -0.639  -0.838 -0.827  -0.817 -1.013  -0.713 -1.170  -0.589 -1.302  -0.412 -1.366  -0.233 -1.389  -0.051 -1.340  0.131 -1.292  0.299 -1.208  0.464 -1.118  0.443 -0.957  0.379 -0.779  0.315 -0.602  0.252 -0.425  0.188 -0.248  0.124 -0.071  0.060 0.107  -0.004 0.284  -0.086 0.410  -0.249 0.315  -0.412 0.220  -0.513 0.063  -0.357 -0.028  -0.174 -0.065  0.014 -0.077  0.202 -0.088  0.240 0.010  0.170 0.185  0.100 0.359  0.030 0.534  -0.040 0.709  -0.027 0.850  0.145 0.925  0.314 1.010  0.482 1.094  0.653 1.171  0.835 1.222  1.016 1.272  1.198 1.321  1.382 1.364  1.565 1.406
2#apb#apb28#app2835/S  1.196 1.205  1.108 1.193  1.020 1.181  0.932 1.169  0.844 1.157  0.756 1.145  0.667 1.133  0.581 1.114  0.498 1.081  0.416 1.048  0.333 1.015  0.251 0.982  0.176 0.937  0.110 0.877  0.044 0.817  -0.022 0.757  -0.088 0.697  -0.125 0.617  -0.162 0.536  -0.200 0.455  -0.237 0.374  -0.261 0.289  -0.280 0.202  -0.298 0.115  -0.317 0.028  -0.321 -0.059  -0.301 -0.145  -0.281 -0.232  -0.261 -0.319  -0.236 -0.404  -0.203 -0.487  -0.170 -0.569  -0.136 -0.652  -0.100 -0.733  -0.064 -0.814  -0.027 -0.895  0.012 -0.975  0.050 -1.055  0.060 -1.135  -0.023 -1.149  -0.112 -1.149  -0.201 -1.149  -0.287 -1.133  -0.370 -1.100  -0.453 -1.067  -0.536 -1.037  -0.622 -1.015  -0.709 -0.994  -0.787 -0.954  -0.864 -0.908
2#apb#apb28#app2835/P  -0.345 -0.282  -0.421 -0.380  -0.498 -0.477  -0.574 -0.575  -0.650 -0.672  -0.724 -0.772  -0.785 -0.879  -0.847 -0.987  -0.929 -1.076  -1.025 -1.151  -1.100 -1.218  -1.061 -1.101  -0.999 -0.994  -0.937 -0.887  -0.875 -0.779  -0.807 -0.676  -0.729 -0.580  -0.651 -0.484  -0.573 -0.388  -0.495 -0.291  -0.421 -0.193  -0.347 -0.094  -0.272 0.005  -0.198 0.104  -0.117 0.198  -0.034 0.290  0.049 0.382  0.131 0.474  0.215 0.566  0.299 0.656  0.384 0.746  0.469 0.836  0.571 0.904  0.679 0.964  0.794 1.010  0.911 1.042  1.027 1.001  1.115 0.913  1.183 0.814  1.201 0.694  1.173 0.576  1.105 0.473  1.030 0.374  0.941 0.295  0.825 0.251  0.702 0.249  0.579 0.263  0.457 0.257  0.345 0.288  0.227 0.310
2#apb#apb28#app2835/R  -1.004 -0.799  -1.099 -0.895  -1.195 -0.990  -1.277 -1.014  -1.253 -0.881  -1.223 -0.749  -1.141 -0.642  -1.056 -0.536  -0.971 -0.430  -0.885 -0.325  -0.786 -0.233  -0.687 -0.140  -0.589 -0.047  -0.490 0.045  -0.397 0.144  -0.307 0.246  -0.218 0.347  -0.128 0.449  -0.037 0.549  0.069 0.634  0.175 0.718  0.281 0.803  0.388 0.885  0.503 0.958  0.617 1.031  0.743 1.074  0.877 1.082  1.011 1.065  1.117 0.990  1.129 0.860  1.129 0.724  1.086 0.597  1.036 0.471  0.954 0.366  0.858 0.270  0.753 0.185  0.654 0.093  0.558 -0.003  0.435 -0.059  0.311 -0.114  0.208 -0.202  0.107 -0.292  0.018 -0.395  -0.054 -0.506  -0.080 -0.639  -0.121 -0.764  -0.159 -0.867  -0.079 -0.972  0.046 -1.022  0.172 -1.072
2#apb#apb28#app2835/I  1.150 1.252  1.097 1.206  1.044 1.159  0.991 1.113  0.938 1.066  0.885 1.020  0.832 0.973  0.779 0.927  0.725 0.881  0.672 0.834  0.619 0.788  0.566 0.741  0.513 0.695  0.460 0.648  0.407 0.602  0.354 0.555  0.301 0.509  0.248 0.463  0.195 0.416  0.142 0.370  0.088 0.323  0.046 0.269  0.017 0.205  -0.013 0.141  -0.042 0.077  -0.072 0.012  -0.102 -0.052  -0.131 -0.116  -0.161 -0.180  -0.190 -0.244  -0.220 -0.308  -0.249 -0.372  -0.279 -0.436  -0.308 -0.500  -0.338 -0.564  -0.380 -0.619  -0.430 -0.669  -0.480 -0.719  -0.530 -0.769  -0.580 -0.819  -0.630 -0.868  -0.680 -0.918  -0.729 -0.968  -0.779 -1.018  -0.829 -1.068  -0.879 -1.118  -0.929 -1.168  -0.979 -1.218  -1.029 -1.267  -1.099 -1.269
2#apb#apb28#app2835/N  -0.987 -0.003  -1.045 -0.087  -1.104 -0.170  -1.162 -0.253  -1.215 -0.339  -1.243 -0.437  -1.271 -0.535  -1.303 -0.631  -1.296 -0.594  -1.201 -0.559  -1.106 -0.523  -1.026 -0.462  -0.951 -0.393  -0.876 -0.324  -0.802 -0.255  -0.727 -0.186  -0.652 -0.118  -0.574 -0.052  -0.496 0.014  -0.419 0.080  -0.341 0.145  -0.263 0.211  -0.186 0.277  -0.109 0.343  -0.032 0.409  0.067 0.431  0.157 0.417  0.163 0.318  0.181 0.219  0.209 0.121  0.234 0.023  0.254 -0.077  0.322 -0.147  0.407 -0.190  0.506 -0.168  0.605 -0.146  0.700 -0.114  0.786 -0.059  0.872 -0.005  0.958 0.050  1.044 0.103  1.134 0.152  1.223 0.201  1.312 0.249  1.395 0.306  1.461 0.383  1.527 0.461  1.583 0.544  1.623 0.638  1.663 0.731
2#apb#apb28#app2835/G  1.363 1.354  1.247 1.321  1.130 1.288  1.027 1.228  0.926 1.161  0.825 1.094  0.725 1.027  0.624 0.960  0.525 0.891  0.429 0.817  0.333 0.744  0.237 0.671  0.141 0.598  0.044 0.524  -0.052 0.451  -0.148 0.378  -0.243 0.304  -0.337 0.228  -0.431 0.151  -0.525 0.075  -0.618 -0.001  -0.712 -0.077  -0.804 -0.155  -0.868 -0.258  -0.931 -0.361  -0.994 -0.464  -1.058 -0.567  -1.086 -0.677  -1.069 -0.797  -1.025 -0.895  -0.913 -0.940  -0.795 -0.956  -0.674 -0.956  -0.553 -0.956  -0.436 -0.940  -0.326 -0.889  -0.217 -0.838  -0.107 -0.788  0.003 -0.737  0.097 -0.661  0.190 -0.585  0.284 -0.508  0.378 -0.432  0.449 -0.336  0.509 -0.232  0.568 -0.126  0.573 -0.019  0.644 -0.039  0.765 -0.039  0.886 -0.039
2#apb#apb28#app2835/S  0.848 1.512  0.772 1.487  0.696 1.462  0.640 1.415  0.607 1.342  0.575 1.269  0.543 1.196  0.504 1.127  0.458 1.062  0.412 0.996  0.366 0.931  0.321 0.865  0.288 0.794  0.266 0.717  0.244 0.640  0.222 0.563  0.200 0.487  0.179 0.410  0.167 0.331  0.159 0.252  0.152 0.172  0.145 0.093  0.141 0.013  0.147 -0.066  0.153 -0.146  0.159 -0.225  0.165 -0.305  0.171 -0.385  0.172 -0.464  0.172 -0.544  0.163 -0.621  0.107 -0.677  0.056 -0.738  0.011 -0.804  -0.063 -0.833  -0.138 -0.861  -0.212 -0.889  -0.290 -0.898  -0.369 -0.891  -0.449 -0.884  -0.528 -0.876  -0.608 -0.870  -0.687 -0.878  -0.767 -0.885  -0.846 -0.892  -0.926 -0.899  -1.005 -0.902  -1.085 -0.902  -1.165 -0.902  -1.245 -0.902
