2#apb#apb31#app3175/S  0.737 0.722  0.834 0.817  0.782 0.934  0.640 0.949  0.499 0.971  0.359 0.995  0.216 0.995  0.073 0.995  -0.070 0.995  -0.212 0.995  -0.353 0.977  -0.490 0.938  -0.625 0.893  -0.751 0.828  -0.851 0.727  -0.856 0.586  -0.822 0.453  -0.732 0.353  -0.595 0.311  -0.459 0.268  -0.317 0.254  -0.175 0.247  -0.034 0.231  0.101 0.183  0.235 0.136  0.370 0.090  0.506 0.045  0.641 -0.001  0.762 -0.074  0.878 -0.157  0.982 -0.251  1.046 -0.378  1.010 -0.507  0.889 -0.583  0.764 -0.649  0.625 -0.681  0.486 -0.714  0.348 -0.750  0.210 -0.788  0.073 -0.825  -0.065 -0.863  -0.202 -0.903  -0.339 -0.942  -0.477 -0.980  -0.616 -1.013  -0.755 -1.045  -0.890 -1.090  -1.023 -1.143  -1.144 -1.218  -1.213 -1.332
2#apb#apb31#app3175/t  0.644 1.339  0.708 1.482  0.742 1.343  0.699 1.180  0.640 1.023  0.569 0.870  0.499 0.717  0.424 0.566  0.346 0.417  0.267 0.269  0.165 0.135  0.063 0.001  -0.038 -0.134  -0.124 -0.279  -0.211 -0.423  -0.292 -0.570  -0.367 -0.721  -0.443 -0.872  -0.518 -1.022  -0.592 -1.173  -0.618 -1.340  -0.629 -1.507  -0.484 -1.533  -0.347 -1.434  -0.218 -1.327  -0.094 -1.213  0.041 -1.113  0.176 -1.013  0.312 -0.914  0.467 -0.851  0.520 -0.818  0.435 -0.673  0.351 -0.528  0.266 -0.382  0.181 -0.237  0.096 -0.091  0.011 0.054  -0.074 0.200  -0.158 0.345  -0.243 0.491  -0.328 0.636  -0.413 0.781  -0.498 0.927  -0.583 1.072  -0.611 1.138  -0.475 1.039  -0.310 1.008  -0.145 0.994  0.015 1.045  0.176 1.096
2#apb#apb31#app3175/a  -0.010 1.209  -0.186 1.017  -0.303 0.779  -0.448 0.556  -0.576 0.325  -0.682 0.081  -0.782 -0.165  -0.854 -0.421  -0.926 -0.677  -0.962 -0.940  -0.939 -1.192  -0.768 -1.337  -0.510 -1.273  -0.296 -1.122  -0.093 -0.951  0.075 -0.748  0.218 -0.524  0.361 -0.301  0.503 -0.076  0.645 0.149  0.781 0.377  0.860 0.631  0.938 0.884  0.999 1.142  1.030 1.406  0.928 1.639  0.678 1.657  0.498 1.462  0.332 1.255  0.177 1.039  0.033 0.817  -0.081 0.576  -0.192 0.335  -0.299 0.091  -0.222 -0.148  0.009 -0.248  0.268 -0.309  0.500 -0.349  0.287 -0.189  0.075 -0.030  -0.138 0.130  -0.247 0.082  -0.262 -0.183  -0.271 -0.448  -0.311 -0.709  -0.224 -0.863  -0.057 -0.757  -0.011 -1.018  0.135 -1.239  0.323 -1.427
2#apb#apb31#app3175/m  -0.893 0.462  -0.988 0.289  -1.055 0.103  -1.115 -0.085  -1.172 -0.274  -1.237 -0.461  -1.307 -0.646  -1.388 -0.826  -1.359 -0.910  -1.233 -0.758  -1.112 -0.602  -1.010 -0.433  -0.907 -0.264  -0.795 -0.102  -0.679 0.058  -0.560 0.216  -0.420 0.355  -0.281 0.495  -0.131 0.623  0.023 0.747  0.211 0.800  0.394 0.762  0.397 0.566  0.378 0.372  0.312 0.186  0.231 0.006  0.139 -0.169  0.016 -0.322  -0.105 -0.478  -0.217 -0.640  -0.237 -0.637  -0.123 -0.476  -0.003 -0.319  0.117 -0.162  0.240 -0.007  0.362 0.148  0.498 0.291  0.633 0.435  0.796 0.545  0.964 0.649  1.122 0.755  1.297 0.669  1.427 0.529  1.441 0.332  1.417 0.137  1.382 -0.057  1.308 -0.241  1.206 -0.407  1.078 -0.557  0.939 -0.697
2#apb#apb31#app3175/f  0.603 0.433  0.659 0.554  0.705 0.679  0.760 0.801  0.803 0.925  0.815 1.057  0.758 1.177  0.686 1.287  0.588 1.378  0.474 1.445  0.352 1.485  0.223 1.457  0.132 1.359  0.065 1.246  0.013 1.122  -0.029 0.996  -0.063 0.867  -0.096 0.738  -0.110 0.605  -0.121 0.472  -0.132 0.339  -0.143 0.206  -0.154 0.073  -0.164 -0.060  -0.167 -0.194  -0.171 -0.327  -0.174 -0.460  -0.177 -0.594  -0.181 -0.727  -0.184 -0.861  -0.186 -0.994  -0.186 -1.128  -0.186 -1.261  -0.186 -1.395  -0.219 -1.487  -0.282 -1.376  -0.324 -1.250  -0.367 -1.123  -0.409 -0.997  -0.452 -0.870  -0.495 -0.744  -0.537 -0.617  -0.580 -0.491  -0.549 -0.427  -0.424 -0.469  -0.299 -0.516  -0.170 -0.547  -0.039 -0.576  0.093 -0.595  0.225 -0.615
2#apb#apb31#app3175/o  0.168 1.049  0.039 1.026  -0.024 0.909  -0.087 0.793  -0.155 0.679  -0.228 0.568  -0.300 0.457  -0.372 0.346  -0.434 0.230  -0.494 0.111  -0.553 -0.007  -0.612 -0.126  -0.663 -0.248  -0.711 -0.371  -0.759 -0.495  -0.808 -0.618  -0.814 -0.748  -0.807 -0.880  -0.800 -1.013  -0.754 -1.130  -0.671 -1.233  -0.566 -1.286  -0.434 -1.276  -0.305 -1.257  -0.187 -1.196  -0.070 -1.134  0.044 -1.069  0.113 -0.956  0.183 -0.843  0.253 -0.731  0.322 -0.618  0.381 -0.499  0.440 -0.381  0.500 -0.263  0.559 -0.144  0.608 -0.022  0.639 0.107  0.670 0.235  0.701 0.364  0.726 0.494  0.726 0.626  0.726 0.759  0.726 0.891  0.698 1.016  0.636 1.133  0.573 1.250  0.475 1.333  0.361 1.401  0.234 1.394  0.104 1.371
2#apb#apb31#app3175/r  0.072 0.575  0.010 0.465  -0.052 0.356  -0.113 0.246  -0.179 0.139  -0.247 0.033  -0.315 -0.072  -0.384 -0.178  -0.442 -0.289  -0.498 -0.401  -0.554 -0.513  -0.611 -0.626  -0.668 -0.737  -0.727 -0.849  -0.785 -0.960  -0.844 -1.071  -0.918 -1.172  -0.999 -1.267  -0.924 -1.189  -0.852 -1.086  -0.779 -0.984  -0.707 -0.881  -0.635 -0.778  -0.564 -0.674  -0.493 -0.570  -0.422 -0.466  -0.352 -0.363  -0.277 -0.261  -0.195 -0.166  -0.113 -0.071  -0.031 0.024  0.051 0.119  0.133 0.214  0.219 0.306  0.306 0.397  0.392 0.489  0.478 0.580  0.564 0.672  0.650 0.764  0.735 0.856  0.821 0.948  0.918 1.027  1.020 1.101  1.126 1.165  1.236 1.157  1.244 1.044  1.208 0.923  1.184 0.800  1.166 0.676  1.148 0.551
2#apb#apb31#app3175/d  -0.581 0.122  -0.749 0.097  -0.880 -0.011  -0.986 -0.146  -1.079 -0.291  -1.152 -0.447  -1.170 -0.618  -1.157 -0.786  -1.090 -0.942  -0.968 -1.050  -0.800 -1.036  -0.650 -0.950  -0.516 -0.845  -0.394 -0.723  -0.278 -0.596  -0.167 -0.464  -0.056 -0.332  0.019 -0.177  0.094 -0.021  0.171 0.132  0.252 0.285  0.333 0.437  0.402 0.594  0.465 0.755  0.528 0.915  0.561 1.084  0.595 1.253  0.615 1.424  0.626 1.596  0.535 1.508  0.456 1.355  0.379 1.201  0.308 1.043  0.240 0.885  0.172 0.727  0.128 0.561  0.091 0.393  0.054 0.224  0.040 0.053  0.035 -0.119  0.030 -0.291  0.095 -0.451  0.162 -0.609  0.282 -0.730  0.411 -0.845  0.581 -0.872  0.751 -0.874  0.922 -0.853  1.089 -0.809  1.253 -0.757
2#apb#apb31#app3175/L  0.541 1.504  0.559 1.594  0.590 1.679  0.570 1.604  0.543 1.516  0.516 1.429  0.479 1.345  0.441 1.261  0.403 1.177  0.363 1.095  0.322 1.013  0.280 0.930  0.239 0.848  0.200 0.765  0.162 0.681  0.124 0.598  0.086 0.514  0.048 0.431  0.012 0.346  -0.020 0.260  -0.051 0.174  -0.082 0.087  -0.113 0.001  -0.145 -0.086  -0.176 -0.172  -0.208 -0.258  -0.242 -0.343  -0.276 -0.429  -0.310 -0.514  -0.344 -0.599  -0.378 -0.685  -0.412 -0.770  -0.440 -0.858  -0.468 -0.945  -0.496 -1.033  -0.524 -1.120  -0.526 -1.212  -0.489 -1.291  -0.420 -1.235  -0.354 -1.172  -0.291 -1.104  -0.228 -1.037  -0.167 -0.969  -0.106 -0.900  -0.045 -0.831  0.021 -0.768  0.096 -0.716  0.171 -0.663  0.239 -0.601  0.307 -0.539
2#apb#apb31#app3175/a  0.111 0.771  0.241 0.945  0.200 1.057  -0.002 0.980  -0.180 0.860  -0.346 0.720  -0.505 0.571  -0.658 0.418  -0.812 0.264  -0.941 0.090  -1.061 -0.091  -1.177 -0.274  -1.268 -0.472  -1.305 -0.677  -1.170 -0.808  -0.962 -0.808  -0.752 -0.752  -0.576 -0.633  -0.411 -0.491  -0.256 -0.340  -0.116 -0.174  0.024 -0.008  0.156 0.165  0.275 0.347  0.393 0.529  0.503 0.717  0.604 0.909  0.691 1.106  0.727 1.320  0.642 1.287  0.531 1.103  0.444 0.904  0.358 0.704  0.272 0.504  0.187 0.304  0.103 0.104  0.023 -0.098  -0.032 -0.308  -0.086 -0.518  -0.123 -0.731  -0.123 -0.948  -0.058 -1.139  0.121 -1.219  0.336 -1.192  0.536 -1.121  0.718 -1.003  0.900 -0.885  1.086 -0.772  1.274 -0.663  1.462 -0.554
2#apb#apb31#app3175/J  0.482 0.865  0.453 1.011  0.382 0.902  0.366 0.751  0.344 0.602  0.321 0.453  0.294 0.304  0.264 0.156  0.237 0.008  0.226 -0.143  0.217 -0.293  0.217 -0.444  0.222 -0.595  0.248 -0.744  0.275 -0.892  0.297 -1.041  0.303 -1.192  0.258 -1.336  0.194 -1.472  0.092 -1.582  -0.055 -1.557  -0.163 -1.457  -0.252 -1.334  -0.335 -1.208  -0.410 -1.077  -0.465 -0.938  -0.492 -0.789  -0.508 -0.639  -0.524 -0.489  -0.540 -0.339  -0.556 -0.189  -0.572 -0.039  -0.588 0.111  -0.605 0.261  -0.621 0.412  -0.637 0.562  -0.653 0.712  -0.704 0.831  -0.572 0.884  -0.428 0.930  -0.278 0.945  -0.128 0.960  0.023 0.976  0.173 0.992  0.323 1.009  0.474 1.017  0.624 1.025  0.775 1.032  0.926 1.037  1.077 1.042
