2#apb#apb32#app3236/K  -1.487 0.095  -1.434 0.253  -1.218 0.424  -0.988 0.576  -0.749 0.714  -0.510 0.851  -0.260 0.969  -0.013 1.092  0.167 1.002  0.102 0.734  -0.011 0.483  -0.105 0.223  -0.209 -0.033  -0.329 -0.282  -0.462 -0.523  -0.601 -0.762  -0.727 -1.008  -0.844 -1.259  -0.667 -1.193  -0.475 -0.995  -0.293 -0.788  -0.110 -0.581  0.073 -0.374  0.256 -0.167  0.439 0.040  0.622 0.247  0.805 0.454  0.988 0.661  1.171 0.868  1.354 1.076  1.452 1.229  1.307 0.995  1.169 0.756  1.000 0.537  0.813 0.334  0.626 0.130  0.430 -0.064  0.222 -0.246  -0.003 -0.404  -0.266 -0.458  -0.495 -0.325  -0.651 -0.111  -0.671 0.031  -0.495 -0.179  -0.333 -0.400  -0.167 -0.621  0.036 -0.809  0.255 -0.976  0.512 -1.072  0.772 -1.142
2#apb#apb32#app3236/l  -1.174 -1.208  -1.265 -1.153  -1.155 -1.102  -1.035 -1.019  -0.910 -0.943  -0.784 -0.870  -0.660 -0.793  -0.537 -0.715  -0.417 -0.632  -0.296 -0.550  -0.177 -0.465  -0.058 -0.381  0.054 -0.288  0.163 -0.190  0.270 -0.092  0.373 0.012  0.477 0.115  0.579 0.219  0.680 0.324  0.781 0.430  0.870 0.545  0.958 0.661  1.046 0.778  1.130 0.897  1.185 1.032  1.172 1.176  1.039 1.198  0.897 1.167  0.770 1.094  0.644 1.021  0.518 0.946  0.394 0.870  0.269 0.794  0.152 0.707  0.039 0.615  -0.075 0.524  -0.183 0.426  -0.279 0.316  -0.375 0.206  -0.468 0.095  -0.535 -0.035  -0.602 -0.165  -0.640 -0.304  -0.660 -0.449  -0.622 -0.586  -0.557 -0.715  -0.457 -0.821  -0.322 -0.872  -0.180 -0.903  -0.035 -0.916
2#apb#apb32#app3236/e  -1.501 -0.813  -1.653 -0.758  -1.683 -0.763  -1.533 -0.708  -1.395 -0.622  -1.254 -0.539  -1.101 -0.482  -0.948 -0.424  -0.795 -0.367  -0.648 -0.297  -0.500 -0.226  -0.353 -0.155  -0.206 -0.085  -0.056 -0.020  0.093 0.046  0.243 0.112  0.383 0.195  0.520 0.284  0.657 0.373  0.778 0.482  0.894 0.597  0.998 0.722  1.060 0.865  0.982 0.999  0.843 1.061  0.684 1.052  0.532 0.991  0.380 0.931  0.234 0.859  0.091 0.779  -0.051 0.699  -0.177 0.596  -0.304 0.493  -0.400 0.367  -0.457 0.215  -0.484 0.060  -0.442 -0.098  -0.401 -0.256  -0.280 -0.357  -0.144 -0.448  0.007 -0.496  0.170 -0.515  0.332 -0.534  0.495 -0.549  0.658 -0.555  0.821 -0.560  0.984 -0.566  1.146 -0.550  1.308 -0.528  1.470 -0.506
2#apb#apb32#app3236/i  -1.515 -0.784  -1.490 -0.754  -1.344 -0.657  -1.201 -0.557  -1.047 -0.474  -0.894 -0.390  -0.742 -0.304  -0.600 -0.203  -0.465 -0.093  -0.334 0.022  -0.206 0.141  -0.080 0.263  0.043 0.386  0.152 0.522  0.261 0.657  0.216 0.592  0.099 0.462  -0.009 0.325  -0.113 0.185  -0.204 0.036  -0.289 -0.117  -0.320 -0.287  -0.344 -0.460  -0.326 -0.632  -0.286 -0.801  -0.189 -0.946  -0.057 -1.054  0.100 -1.112  0.272 -1.083  0.437 -1.032  0.591 -0.951  0.745 -0.868  0.899 -0.786  1.000 -0.644  0.974 -0.488  0.905 -0.328  0.836 -0.167  0.766 -0.007  0.697 0.154  0.628 0.314  0.559 0.474  0.490 0.635  0.420 0.795  0.351 0.955  0.282 1.116  0.213 1.276  0.144 1.436  0.074 1.597  0.005 1.757  -0.103 1.880
2#apb#apb32#app3236/n  -1.564 0.104  -1.697 0.184  -1.585 0.188  -1.431 0.238  -1.277 0.287  -1.119 0.322  -0.967 0.372  -0.827 0.454  -0.685 0.530  -0.531 0.581  -0.377 0.632  -0.219 0.663  -0.059 0.689  0.099 0.727  0.258 0.744  0.320 0.618  0.248 0.473  0.173 0.330  0.080 0.197  -0.013 0.064  -0.110 -0.065  -0.213 -0.191  -0.314 -0.317  -0.414 -0.444  -0.522 -0.564  -0.643 -0.672  -0.751 -0.777  -0.728 -0.707  -0.609 -0.598  -0.482 -0.498  -0.350 -0.404  -0.218 -0.310  -0.092 -0.208  0.032 -0.104  0.156 -0.001  0.287 0.095  0.424 0.182  0.560 0.269  0.711 0.322  0.864 0.318  0.971 0.212  1.030 0.061  1.108 -0.081  1.187 -0.222  1.287 -0.350  1.386 -0.478  1.476 -0.612  1.587 -0.727  1.706 -0.797  1.847 -0.728
2#apb#apb32#app3236/L  -1.321 0.264  -1.405 0.255  -1.212 0.229  -1.015 0.237  -0.821 0.269  -0.632 0.326  -0.445 0.391  -0.260 0.460  -0.076 0.532  0.107 0.605  0.290 0.679  0.474 0.752  0.652 0.835  0.828 0.926  1.001 1.020  1.158 1.138  1.102 1.185  0.966 1.042  0.837 0.893  0.721 0.733  0.604 0.574  0.513 0.399  0.422 0.224  0.332 0.048  0.242 -0.128  0.152 -0.304  0.062 -0.479  -0.028 -0.655  -0.136 -0.820  -0.248 -0.982  -0.381 -1.128  -0.547 -1.223  -0.741 -1.236  -0.911 -1.152  -1.031 -1.000  -1.061 -0.812  -1.004 -0.628  -0.906 -0.458  -0.742 -0.348  -0.569 -0.258  -0.377 -0.212  -0.184 -0.176  0.013 -0.180  0.211 -0.183  0.407 -0.202  0.603 -0.224  0.799 -0.249  0.994 -0.280  1.187 -0.320  1.376 -0.377
2#apb#apb32#app3236/u  -0.977 0.591  -0.932 0.730  -0.905 0.873  -0.832 1.003  -0.715 1.048  -0.630 0.945  -0.621 0.799  -0.641 0.650  -0.674 0.504  -0.744 0.373  -0.813 0.241  -0.864 0.101  -0.921 -0.038  -0.980 -0.175  -1.022 -0.319  -1.024 -0.469  -1.038 -0.615  -0.945 -0.724  -0.805 -0.771  -0.665 -0.749  -0.534 -0.676  -0.397 -0.616  -0.287 -0.518  -0.188 -0.406  -0.090 -0.293  0.012 -0.183  0.117 -0.077  0.212 0.037  0.283 0.169  0.355 0.301  0.441 0.423  0.522 0.549  0.583 0.686  0.602 0.832  0.625 0.726  0.634 0.577  0.648 0.428  0.648 0.278  0.648 0.128  0.689 -0.015  0.737 -0.157  0.788 -0.298  0.843 -0.437  0.924 -0.563  1.010 -0.685  1.107 -0.799  1.232 -0.863  1.380 -0.867  1.529 -0.850  1.677 -0.828
2#apb#apb32#app3236/n  -1.402 0.644  -1.255 0.686  -1.112 0.738  -0.982 0.813  -0.873 0.918  -0.728 0.966  -0.587 1.023  -0.438 1.041  -0.317 0.982  -0.301 0.831  -0.301 0.678  -0.311 0.526  -0.334 0.376  -0.369 0.228  -0.405 0.079  -0.447 -0.067  -0.493 -0.212  -0.561 -0.349  -0.639 -0.479  -0.735 -0.596  -0.779 -0.742  -0.820 -0.877  -0.752 -0.816  -0.653 -0.700  -0.554 -0.584  -0.449 -0.474  -0.338 -0.369  -0.227 -0.264  -0.116 -0.160  -0.006 -0.054  0.105 0.051  0.215 0.156  0.328 0.258  0.455 0.343  0.582 0.428  0.720 0.488  0.862 0.494  0.938 0.389  0.938 0.236  0.938 0.084  0.938 -0.069  0.938 -0.221  0.938 -0.374  0.961 -0.522  1.016 -0.664  1.081 -0.802  1.150 -0.937  1.244 -1.027  1.396 -1.031  1.544 -1.068
2#apb#apb32#app3236/d  -0.203 -0.239  -0.203 -0.080  -0.332 -0.069  -0.496 -0.142  -0.639 -0.252  -0.777 -0.367  -0.901 -0.497  -0.999 -0.647  -1.068 -0.814  -1.077 -0.992  -0.956 -1.110  -0.784 -1.081  -0.633 -0.987  -0.498 -0.868  -0.361 -0.751  -0.233 -0.625  -0.122 -0.483  -0.012 -0.340  0.085 -0.189  0.182 -0.037  0.281 0.114  0.381 0.264  0.482 0.413  0.579 0.565  0.669 0.721  0.758 0.877  0.841 1.037  0.906 1.205  0.970 1.374  1.017 1.547  0.877 1.547  0.733 1.438  0.613 1.304  0.492 1.170  0.384 1.027  0.285 0.876  0.187 0.725  0.093 0.572  0.008 0.413  -0.077 0.254  -0.150 0.091  -0.172 -0.088  -0.195 -0.266  -0.178 -0.443  -0.139 -0.619  -0.090 -0.792  -0.018 -0.957  0.061 -1.119  0.163 -1.267  0.265 -1.415
2#apb#apb32#app3236/M  -1.382 0.424  -1.290 0.626  -1.095 0.799  -0.883 0.949  -0.660 1.083  -0.564 0.898  -0.600 0.641  -0.671 0.390  -0.723 0.134  -0.792 -0.117  -0.878 -0.363  -0.966 -0.609  -1.111 -0.825  -1.008 -0.690  -0.844 -0.487  -0.682 -0.283  -0.524 -0.075  -0.368 0.134  -0.211 0.343  -0.058 0.554  0.097 0.764  0.267 0.960  0.245 0.787  0.163 0.540  0.095 0.288  0.039 0.034  0.013 -0.226  -0.009 -0.486  -0.029 -0.746  -0.045 -1.005  0.094 -0.822  0.240 -0.606  0.377 -0.384  0.510 -0.159  0.633 0.071  0.755 0.301  0.896 0.521  1.039 0.739  1.193 0.950  1.186 0.784  1.105 0.536  1.017 0.290  0.932 0.044  0.851 -0.204  0.778 -0.455  0.713 -0.707  0.639 -0.957  0.558 -1.205  0.490 -1.457  0.474 -1.715
2#apb#apb32#app3236/a  -0.148 0.311  -0.038 0.476  0.160 0.479  0.314 0.604  0.465 0.732  0.576 0.896  0.711 1.027  0.731 1.218  0.559 1.232  0.370 1.175  0.203 1.068  0.042 0.952  -0.108 0.822  -0.258 0.692  -0.402 0.555  -0.542 0.415  -0.683 0.275  -0.821 0.132  -0.956 -0.014  -1.091 -0.159  -1.177 -0.336  -1.251 -0.520  -1.274 -0.712  -1.256 -0.910  -1.157 -1.082  -0.975 -1.141  -0.799 -1.090  -0.637 -0.976  -0.477 -0.858  -0.318 -0.739  -0.179 -0.598  -0.044 -0.452  0.078 -0.297  0.176 -0.124  0.273 0.049  0.354 0.230  0.429 0.414  0.510 0.595  0.601 0.689  0.573 0.492  0.546 0.296  0.557 0.098  0.568 -0.101  0.600 -0.296  0.648 -0.489  0.712 -0.677  0.778 -0.864  0.869 -1.040  1.006 -1.178  1.183 -1.269
