2#apb#apb35#app3563/O  -0.199 0.644  -0.284 0.694  -0.392 0.547  -0.469 0.379  -0.546 0.212  -0.617 0.042  -0.682 -0.130  -0.742 -0.304  -0.789 -0.482  -0.822 -0.663  -0.842 -0.846  -0.852 -1.030  -0.811 -1.207  -0.731 -1.372  -0.573 -1.443  -0.394 -1.426  -0.230 -1.347  -0.076 -1.246  0.070 -1.134  0.202 -1.008  0.306 -0.856  0.404 -0.700  0.497 -0.541  0.578 -0.377  0.637 -0.202  0.693 -0.027  0.733 0.153  0.773 0.333  0.784 0.516  0.791 0.700  0.772 0.883  0.738 1.063  0.668 1.234  0.578 1.394  0.430 1.489  0.252 1.457  0.097 1.360  -0.018 1.216  -0.123 1.064  -0.167 0.888  -0.198 0.706  -0.224 0.524  -0.233 0.342  -0.202 0.160  -0.141 -0.010  -0.045 -0.167  0.096 -0.281  0.251 -0.378  0.434 -0.399  0.617 -0.420
2#apb#apb35#app3563/n  -1.946 -0.014  -1.792 -0.065  -1.619 -0.106  -1.444 -0.128  -1.267 -0.119  -1.095 -0.070  -0.929 -0.006  -0.765 0.065  -0.612 0.156  -0.462 0.253  -0.336 0.379  -0.215 0.510  -0.102 0.647  -0.006 0.784  -0.010 0.606  -0.037 0.430  -0.063 0.253  -0.099 0.080  -0.171 -0.084  -0.243 -0.247  -0.316 -0.409  -0.385 -0.574  -0.457 -0.737  -0.553 -0.884  -0.615 -1.003  -0.516 -0.868  -0.416 -0.721  -0.317 -0.575  -0.242 -0.413  -0.157 -0.256  -0.070 -0.100  0.040 0.039  0.160 0.171  0.272 0.310  0.384 0.449  0.522 0.561  0.666 0.666  0.823 0.751  0.997 0.769  1.173 0.774  1.276 0.654  1.289 0.484  1.257 0.308  1.230 0.132  1.198 -0.044  1.159 -0.218  1.142 -0.393  1.156 -0.571  1.208 -0.740  1.307 -0.889
2#apb#apb35#app3563/e  -1.385 -0.764  -1.345 -0.887  -1.184 -0.887  -1.025 -0.875  -0.868 -0.843  -0.713 -0.803  -0.559 -0.757  -0.418 -0.680  -0.281 -0.598  -0.164 -0.489  -0.046 -0.380  0.073 -0.272  0.196 -0.169  0.319 -0.066  0.412 0.063  0.499 0.198  0.586 0.333  0.656 0.477  0.719 0.624  0.768 0.776  0.794 0.934  0.784 1.091  0.742 1.245  0.631 1.353  0.471 1.353  0.315 1.320  0.161 1.276  0.020 1.199  -0.117 1.118  -0.225 0.999  -0.333 0.880  -0.404 0.737  -0.467 0.590  -0.513 0.437  -0.543 0.280  -0.572 0.122  -0.527 -0.032  -0.482 -0.186  -0.416 -0.327  -0.299 -0.437  -0.182 -0.546  -0.060 -0.649  0.088 -0.711  0.236 -0.773  0.384 -0.835  0.534 -0.887  0.694 -0.887  0.855 -0.887  1.015 -0.887  1.176 -0.887
2#apb#apb35#app3563/D  -0.795 -0.111  -0.853 -0.265  -0.879 -0.429  -0.944 -0.579  -0.965 -0.746  -1.005 -0.909  -1.015 -0.903  -0.954 -0.746  -0.903 -0.586  -0.852 -0.425  -0.756 -0.355  -0.720 -0.517  -0.687 -0.681  -0.614 -0.832  -0.491 -0.943  -0.338 -1.011  -0.172 -1.014  -0.018 -0.947  0.116 -0.847  0.232 -0.727  0.337 -0.595  0.426 -0.453  0.507 -0.305  0.571 -0.150  0.634 0.006  0.692 0.164  0.744 0.324  0.795 0.484  0.837 0.647  0.874 0.811  0.905 0.976  0.920 1.144  0.888 1.304  0.814 1.453  0.679 1.533  0.541 1.449  0.419 1.334  0.308 1.209  0.230 1.060  0.153 0.910  0.094 0.752  0.037 0.594  -0.001 0.431  -0.040 0.267  -0.050 0.100  -0.050 -0.069  -0.020 -0.233  0.024 -0.395  0.114 -0.531  0.233 -0.650
2#apb#apb35#app3563/u  -1.751 -1.059  -1.585 -0.997  -1.470 -0.863  -1.336 -0.746  -1.215 -0.617  -1.091 -0.491  -0.951 -0.383  -0.820 -0.265  -0.715 -0.122  -0.612 0.022  -0.528 0.178  -0.443 0.334  -0.331 0.471  -0.236 0.618  -0.177 0.784  -0.210 0.856  -0.327 0.724  -0.410 0.568  -0.477 0.404  -0.520 0.232  -0.572 0.063  -0.618 -0.107  -0.618 -0.284  -0.586 -0.459  -0.490 -0.600  -0.328 -0.661  -0.154 -0.648  0.003 -0.565  0.160 -0.482  0.318 -0.403  0.470 -0.314  0.607 -0.200  0.736 -0.079  0.856 0.051  0.959 0.193  1.029 0.356  1.135 0.492  1.229 0.635  1.229 0.812  1.242 0.976  1.144 0.865  1.040 0.722  0.942 0.575  0.858 0.419  0.810 0.250  0.773 0.077  0.710 -0.088  0.706 -0.258  0.747 -0.431  0.872 -0.556
2#apb#apb35#app3563/v  -0.579 0.995  -0.534 0.945  -0.534 0.836  -0.552 0.728  -0.576 0.622  -0.607 0.517  -0.639 0.412  -0.671 0.308  -0.701 0.203  -0.731 0.098  -0.761 -0.007  -0.786 -0.114  -0.811 -0.220  -0.830 -0.328  -0.830 -0.437  -0.830 -0.546  -0.816 -0.654  -0.788 -0.759  -0.755 -0.863  -0.691 -0.952  -0.621 -1.036  -0.525 -1.041  -0.418 -1.016  -0.312 -0.992  -0.217 -0.937  -0.124 -0.881  -0.043 -0.810  0.026 -0.725  0.094 -0.639  0.162 -0.554  0.232 -0.470  0.304 -0.388  0.376 -0.306  0.448 -0.223  0.519 -0.140  0.572 -0.044  0.624 0.051  0.677 0.147  0.730 0.243  0.783 0.338  0.839 0.432  0.894 0.527  0.950 0.621  1.003 0.716  1.050 0.815  1.097 0.914  1.143 1.013  1.193 1.110  1.254 1.201  1.315 1.292
2#apb#apb35#app3563/a  0.725 0.484  0.746 0.670  0.801 0.848  0.807 1.023  0.743 1.198  0.610 1.272  0.436 1.205  0.253 1.164  0.100 1.060  -0.046 0.943  -0.198 0.833  -0.351 0.724  -0.493 0.604  -0.614 0.461  -0.735 0.318  -0.846 0.167  -0.955 0.015  -1.060 -0.141  -1.149 -0.306  -1.237 -0.471  -1.255 -0.658  -1.217 -0.832  -1.130 -0.998  -1.038 -1.132  -0.859 -1.078  -0.683 -1.015  -0.508 -0.945  -0.350 -0.845  -0.193 -0.743  -0.050 -0.622  0.093 -0.501  0.222 -0.366  0.336 -0.218  0.450 -0.069  0.557 0.085  0.664 0.240  0.771 0.393  0.878 0.547  0.916 0.602  0.783 0.472  0.656 0.338  0.589 0.163  0.518 -0.010  0.417 -0.168  0.327 -0.330  0.293 -0.515  0.258 -0.699  0.268 -0.884  0.333 -1.058  0.417 -1.225
2#apb#apb35#app3563/l  -0.971 -1.367  -0.868 -1.388  -0.742 -1.318  -0.631 -1.225  -0.531 -1.121  -0.439 -1.009  -0.350 -0.895  -0.262 -0.780  -0.174 -0.665  -0.104 -0.538  -0.034 -0.411  0.036 -0.284  0.115 -0.163  0.194 -0.042  0.274 0.080  0.348 0.204  0.418 0.330  0.488 0.457  0.544 0.590  0.590 0.727  0.636 0.865  0.706 0.990  0.786 1.111  0.799 1.252  0.799 1.397  0.704 1.446  0.565 1.406  0.438 1.339  0.316 1.261  0.213 1.159  0.111 1.056  0.020 0.944  -0.063 0.826  -0.147 0.707  -0.190 0.570  -0.230 0.430  -0.271 0.291  -0.313 0.153  -0.355 0.014  -0.397 -0.124  -0.412 -0.267  -0.412 -0.412  -0.409 -0.556  -0.361 -0.693  -0.313 -0.830  -0.250 -0.958  -0.158 -1.069  -0.048 -1.149  0.096 -1.165  0.240 -1.181
2#apb#apb35#app3563/P  0.097 0.716  0.094 0.548  0.080 0.379  0.061 0.209  0.044 0.040  0.028 -0.129  0.012 -0.299  -0.045 -0.460  -0.107 -0.618  -0.175 -0.774  -0.234 -0.934  -0.308 -1.085  -0.419 -1.213  -0.554 -1.318  -0.694 -1.412  -0.859 -1.416  -0.939 -1.283  -0.947 -1.114  -0.937 -0.944  -0.901 -0.779  -0.848 -0.617  -0.798 -0.454  -0.754 -0.290  -0.710 -0.125  -0.639 0.029  -0.563 0.181  -0.490 0.335  -0.422 0.491  -0.348 0.643  -0.231 0.767  -0.112 0.888  0.017 1.000  0.165 1.078  0.326 1.135  0.489 1.182  0.652 1.202  0.813 1.145  0.944 1.037  1.051 0.905  1.141 0.761  1.173 0.603  1.139 0.437  1.067 0.284  0.946 0.163  0.818 0.053  0.680 -0.047  0.535 -0.136  0.385 -0.218  0.223 -0.260  0.054 -0.285
2#apb#apb35#app3563/l  -1.227 -1.437  -1.097 -1.383  -0.961 -1.352  -0.870 -1.250  -0.786 -1.137  -0.692 -1.035  -0.582 -0.948  -0.474 -0.859  -0.378 -0.757  -0.282 -0.654  -0.196 -0.544  -0.118 -0.427  -0.041 -0.310  0.037 -0.194  0.114 -0.076  0.191 0.041  0.267 0.159  0.327 0.284  0.368 0.418  0.410 0.552  0.452 0.686  0.524 0.807  0.595 0.927  0.663 1.050  0.730 1.173  0.736 1.308  0.731 1.448  0.643 1.471  0.534 1.382  0.435 1.283  0.336 1.184  0.269 1.061  0.207 0.936  0.132 0.817  0.056 0.699  -0.004 0.573  -0.060 0.444  -0.106 0.312  -0.146 0.177  -0.186 0.043  -0.192 -0.097  -0.198 -0.237  -0.201 -0.377  -0.177 -0.515  -0.152 -0.653  -0.091 -0.780  -0.029 -0.905  0.053 -1.015  0.163 -1.102  0.272 -1.190
2#apb#apb35#app3563/a  0.644 0.759  0.572 0.924  0.472 1.074  0.324 1.135  0.145 1.145  -0.033 1.149  -0.192 1.063  -0.350 0.977  -0.506 0.886  -0.648 0.779  -0.769 0.645  -0.861 0.492  -0.937 0.328  -1.007 0.162  -1.076 -0.004  -1.127 -0.176  -1.148 -0.355  -1.167 -0.534  -1.167 -0.714  -1.084 -0.870  -0.951 -0.964  -0.772 -0.981  -0.591 -0.981  -0.421 -0.944  -0.265 -0.853  -0.126 -0.740  0.001 -0.613  0.116 -0.474  0.228 -0.333  0.338 -0.190  0.448 -0.047  0.558 0.096  0.643 0.254  0.715 0.419  0.795 0.580  0.888 0.735  0.914 0.788  0.799 0.649  0.708 0.493  0.629 0.332  0.578 0.159  0.527 -0.014  0.476 -0.187  0.425 -0.360  0.409 -0.538  0.409 -0.718  0.463 -0.888  0.530 -1.055  0.657 -1.183  0.785 -1.310
2#apb#apb35#app3563/c  0.799 0.706  0.761 0.772  0.706 0.649  0.672 0.521  0.660 0.388  0.624 0.261  0.564 0.141  0.492 0.028  0.406 -0.074  0.345 -0.183  0.400 -0.087  0.453 0.036  0.494 0.164  0.533 0.292  0.566 0.422  0.590 0.554  0.600 0.686  0.586 0.820  0.558 0.950  0.520 1.079  0.415 1.118  0.285 1.087  0.157 1.049  0.037 0.987  -0.081 0.924  -0.191 0.851  -0.278 0.748  -0.364 0.646  -0.446 0.540  -0.506 0.420  -0.566 0.300  -0.626 0.180  -0.679 0.057  -0.727 -0.068  -0.774 -0.194  -0.799 -0.323  -0.799 -0.458  -0.799 -0.592  -0.799 -0.726  -0.763 -0.853  -0.710 -0.975  -0.656 -1.098  -0.581 -1.207  -0.486 -1.302  -0.391 -1.397  -0.296 -1.491  -0.169 -1.532  -0.040 -1.568  0.089 -1.605  0.218 -1.642
2#apb#apb35#app3563/e  -1.051 -0.980  -0.940 -0.874  -0.792 -0.817  -0.650 -0.746  -0.508 -0.675  -0.366 -0.604  -0.224 -0.533  -0.122 -0.413  -0.023 -0.289  0.076 -0.164  0.172 -0.039  0.269 0.087  0.333 0.232  0.392 0.379  0.451 0.526  0.492 0.680  0.528 0.834  0.549 0.990  0.537 1.148  0.502 1.300  0.407 1.412  0.257 1.454  0.101 1.426  -0.040 1.361  -0.168 1.267  -0.270 1.149  -0.356 1.015  -0.442 0.882  -0.503 0.736  -0.556 0.587  -0.602 0.436  -0.618 0.278  -0.633 0.120  -0.631 -0.037  -0.590 -0.190  -0.550 -0.344  -0.484 -0.486  -0.396 -0.618  -0.308 -0.750  -0.159 -0.801  -0.008 -0.849  0.143 -0.897  0.299 -0.921  0.458 -0.933  0.616 -0.945  0.774 -0.957  0.928 -0.919  1.081 -0.879  1.235 -0.839  1.389 -0.800
