2#apb#apb35#app3576/K  -0.237 1.476  -0.291 1.301  -0.332 1.086  -0.377 0.872  -0.424 0.659  -0.471 0.445  -0.516 0.231  -0.561 0.017  -0.617 -0.194  -0.679 -0.403  -0.727 -0.617  -0.770 -0.831  -0.793 -1.048  -0.831 -1.264  -0.879 -1.437  -0.761 -1.253  -0.643 -1.069  -0.525 -0.885  -0.407 -0.701  -0.290 -0.517  -0.172 -0.332  -0.054 -0.148  0.064 0.036  0.182 0.220  0.300 0.404  0.418 0.588  0.536 0.773  0.653 0.957  0.771 1.141  0.889 1.325  0.905 1.350  0.798 1.160  0.695 0.967  0.587 0.777  0.463 0.599  0.306 0.448  0.139 0.306  -0.033 0.171  -0.214 0.132  -0.104 0.273  0.104 0.221  0.228 0.043  0.302 -0.162  0.364 -0.372  0.417 -0.584  0.453 -0.799  0.486 -1.016  0.518 -1.232  0.549 -1.448  0.580 -1.665
2#apb#apb35#app3576/l  -0.975 -1.303  -0.879 -1.194  -0.780 -1.088  -0.669 -0.994  -0.559 -0.899  -0.461 -0.792  -0.362 -0.685  -0.267 -0.576  -0.174 -0.463  -0.082 -0.351  0.010 -0.238  0.090 -0.117  0.168 0.006  0.245 0.128  0.323 0.251  0.389 0.380  0.453 0.511  0.516 0.642  0.568 0.778  0.617 0.915  0.664 1.052  0.697 1.193  0.721 1.336  0.709 1.480  0.604 1.530  0.484 1.453  0.374 1.358  0.292 1.238  0.205 1.121  0.112 1.010  0.034 0.889  -0.025 0.756  -0.084 0.623  -0.128 0.485  -0.173 0.346  -0.213 0.207  -0.241 0.064  -0.270 -0.078  -0.301 -0.220  -0.337 -0.361  -0.374 -0.502  -0.374 -0.645  -0.359 -0.790  -0.327 -0.928  -0.251 -1.052  -0.167 -1.169  -0.058 -1.266  0.059 -1.341  0.204 -1.346  0.350 -1.351
2#apb#apb35#app3576/e  -1.443 -0.850  -1.321 -0.870  -1.177 -0.911  -1.034 -0.859  -0.893 -0.799  -0.759 -0.727  -0.624 -0.655  -0.493 -0.575  -0.364 -0.494  -0.235 -0.411  -0.116 -0.316  0.004 -0.220  0.118 -0.120  0.219 -0.005  0.320 0.110  0.422 0.224  0.533 0.329  0.645 0.432  0.747 0.545  0.822 0.678  0.898 0.810  0.932 0.959  0.962 1.109  0.972 1.261  0.872 1.340  0.719 1.340  0.580 1.286  0.445 1.213  0.327 1.117  0.210 1.018  0.100 0.913  0.001 0.796  -0.098 0.679  -0.173 0.547  -0.245 0.412  -0.306 0.273  -0.346 0.125  -0.387 -0.022  -0.427 -0.170  -0.437 -0.322  -0.447 -0.475  -0.404 -0.615  -0.328 -0.748  -0.239 -0.869  -0.110 -0.950  0.020 -1.031  0.159 -1.087  0.309 -1.113  0.460 -1.140  0.611 -1.166
2#apb#apb35#app3576/i  -1.418 -0.817  -1.294 -0.767  -1.163 -0.713  -1.043 -0.640  -0.929 -0.557  -0.830 -0.456  -0.729 -0.358  -0.617 -0.272  -0.510 -0.179  -0.414 -0.076  -0.327 0.036  -0.247 0.153  -0.162 0.264  -0.174 0.259  -0.279 0.168  -0.360 0.053  -0.427 -0.072  -0.458 -0.210  -0.489 -0.348  -0.503 -0.487  -0.483 -0.624  -0.401 -0.740  -0.283 -0.818  -0.157 -0.869  -0.016 -0.869  0.124 -0.854  0.261 -0.818  0.398 -0.783  0.536 -0.750  0.673 -0.718  0.807 -0.683  0.784 -0.543  0.760 -0.404  0.737 -0.264  0.714 -0.125  0.691 0.015  0.667 0.154  0.644 0.294  0.621 0.434  0.598 0.573  0.574 0.713  0.551 0.852  0.528 0.992  0.505 1.131  0.481 1.271  0.458 1.411  0.435 1.550  0.412 1.690  0.388 1.829  0.365 1.969
2#apb#apb35#app3576/n  -0.543 0.833  -0.635 0.741  -0.700 0.633  -0.744 0.510  -0.791 0.390  -0.857 0.278  -0.923 0.166  -0.994 0.058  -1.068 -0.049  -1.115 -0.168  -1.144 -0.294  -1.198 -0.411  -1.231 -0.533  -1.140 -0.466  -1.037 -0.387  -0.932 -0.311  -0.850 -0.210  -0.769 -0.109  -0.684 -0.011  -0.595 0.084  -0.506 0.178  -0.409 0.263  -0.303 0.338  -0.197 0.412  -0.089 0.485  0.021 0.553  0.131 0.622  0.243 0.688  0.356 0.749  0.485 0.746  0.587 0.669  0.630 0.548  0.617 0.419  0.615 0.290  0.615 0.160  0.588 0.034  0.553 -0.091  0.569 -0.218  0.593 -0.346  0.630 -0.470  0.679 -0.587  0.786 -0.661  0.895 -0.728  1.024 -0.728  1.154 -0.728  1.284 -0.725  1.410 -0.696  1.537 -0.668  1.663 -0.639  1.790 -0.611
2#apb#apb35#app3576/L  -0.609 0.437  -0.493 0.357  -0.324 0.352  -0.160 0.395  -0.001 0.456  0.155 0.523  0.313 0.586  0.465 0.660  0.613 0.745  0.749 0.847  0.868 0.966  0.968 1.103  1.052 1.243  1.012 1.380  0.848 1.369  0.707 1.280  0.587 1.160  0.479 1.028  0.383 0.889  0.295 0.743  0.212 0.595  0.133 0.444  0.056 0.293  -0.019 0.140  -0.094 -0.013  -0.173 -0.163  -0.252 -0.314  -0.331 -0.465  -0.410 -0.615  -0.505 -0.756  -0.603 -0.894  -0.702 -1.033  -0.814 -1.161  -0.968 -1.217  -1.088 -1.134  -1.095 -0.971  -1.021 -0.819  -0.918 -0.685  -0.795 -0.568  -0.636 -0.506  -0.473 -0.459  -0.307 -0.431  -0.138 -0.449  0.029 -0.479  0.191 -0.530  0.333 -0.619  0.466 -0.725  0.576 -0.854  0.676 -0.991  0.763 -1.138
2#apb#apb35#app3576/u  -1.832 -0.643  -1.689 -0.593  -1.567 -0.486  -1.439 -0.386  -1.308 -0.290  -1.187 -0.182  -1.067 -0.073  -0.947 0.037  -0.828 0.147  -0.708 0.256  -0.585 0.363  -0.462 0.469  -0.331 0.565  -0.196 0.654  -0.120 0.697  -0.218 0.567  -0.310 0.434  -0.394 0.295  -0.476 0.155  -0.557 0.014  -0.632 -0.130  -0.701 -0.276  -0.725 -0.434  -0.643 -0.562  -0.486 -0.556  -0.335 -0.502  -0.190 -0.430  -0.051 -0.345  0.084 -0.256  0.218 -0.164  0.351 -0.070  0.482 0.025  0.612 0.122  0.742 0.220  0.869 0.321  0.993 0.426  1.119 0.529  1.255 0.617  1.317 0.648  1.214 0.523  1.115 0.395  1.024 0.259  0.946 0.118  0.878 -0.029  0.861 -0.190  0.896 -0.345  1.018 -0.437  1.168 -0.492  1.330 -0.492  1.493 -0.492
2#apb#apb35#app3576/n  -0.153 0.804  -0.229 0.760  -0.295 0.628  -0.361 0.496  -0.428 0.365  -0.508 0.241  -0.589 0.117  -0.674 -0.003  -0.778 -0.107  -0.882 -0.212  -0.972 -0.327  -1.044 -0.456  -1.115 -0.585  -1.205 -0.702  -1.299 -0.816  -1.288 -0.862  -1.172 -0.772  -1.061 -0.675  -0.959 -0.568  -0.858 -0.460  -0.755 -0.355  -0.645 -0.256  -0.536 -0.158  -0.426 -0.059  -0.311 0.033  -0.195 0.125  -0.079 0.216  0.037 0.307  0.154 0.397  0.272 0.486  0.389 0.576  0.506 0.665  0.624 0.755  0.750 0.827  0.889 0.876  1.036 0.869  1.132 0.771  1.154 0.629  1.149 0.482  1.113 0.339  1.078 0.196  1.049 0.051  1.020 -0.094  0.967 -0.230  0.901 -0.362  0.885 -0.506  0.885 -0.653  0.885 -0.801  0.926 -0.936  1.010 -1.057
2#apb#apb35#app3576/d  0.040 0.005  0.137 0.177  0.194 0.353  0.046 0.469  -0.146 0.424  -0.330 0.355  -0.512 0.280  -0.694 0.203  -0.852 0.085  -1.005 -0.039  -1.140 -0.182  -1.268 -0.332  -1.387 -0.488  -1.480 -0.662  -1.457 -0.848  -1.289 -0.933  -1.105 -0.879  -0.924 -0.800  -0.749 -0.709  -0.594 -0.591  -0.451 -0.455  -0.312 -0.315  -0.175 -0.173  -0.038 -0.031  0.099 0.110  0.236 0.252  0.373 0.394  0.498 0.546  0.621 0.700  0.742 0.855  0.842 1.025  0.940 1.197  1.028 1.373  0.895 1.235  0.782 1.076  0.697 0.898  0.606 0.723  0.512 0.550  0.431 0.370  0.355 0.189  0.299 0.000  0.249 -0.191  0.223 -0.386  0.245 -0.572  0.352 -0.737  0.517 -0.840  0.692 -0.927  0.889 -0.922  1.086 -0.918  1.283 -0.913
2#apb#apb35#app3576/M  -1.581 0.311  -1.351 0.381  -1.121 0.451  -0.896 0.536  -0.700 0.671  -0.484 0.764  -0.370 0.663  -0.417 0.427  -0.507 0.205  -0.608 -0.013  -0.724 -0.224  -0.858 -0.424  -0.980 -0.630  -1.114 -0.830  -1.276 -1.006  -1.218 -0.941  -1.062 -0.758  -0.919 -0.565  -0.779 -0.370  -0.622 -0.187  -0.463 -0.007  -0.295 0.165  -0.126 0.336  0.053 0.497  0.238 0.651  0.449 0.751  0.611 0.658  0.558 0.424  0.480 0.196  0.378 -0.022  0.265 -0.233  0.150 -0.444  0.035 -0.656  -0.011 -0.722  0.137 -0.533  0.285 -0.344  0.436 -0.156  0.579 0.037  0.734 0.221  0.895 0.399  1.080 0.552  1.267 0.703  1.439 0.685  1.410 0.449  1.327 0.224  1.248 -0.003  1.177 -0.233  1.102 -0.461  1.036 -0.690  1.113 -0.906
2#apb#apb35#app3576/a  0.248 1.351  0.105 1.243  -0.039 1.135  -0.182 1.028  -0.294 0.888  -0.403 0.746  -0.512 0.604  -0.625 0.465  -0.742 0.329  -0.859 0.193  -0.953 0.041  -1.041 -0.115  -1.129 -0.272  -1.215 -0.429  -1.300 -0.587  -1.349 -0.759  -1.240 -0.890  -1.089 -0.905  -0.919 -0.847  -0.745 -0.804  -0.571 -0.760  -0.422 -0.666  -0.282 -0.554  -0.142 -0.442  -0.009 -0.322  0.121 -0.199  0.252 -0.077  0.381 0.048  0.508 0.174  0.635 0.301  0.744 0.443  0.848 0.589  0.952 0.735  1.057 0.880  1.062 0.966  0.975 0.809  0.886 0.653  0.796 0.498  0.705 0.344  0.613 0.190  0.520 0.037  0.433 -0.120  0.347 -0.277  0.298 -0.449  0.258 -0.623  0.350 -0.755  0.489 -0.866  0.657 -0.928  0.826 -0.990  0.994 -1.052
