2#apb#apb35#app3579/T  0.243 1.091  0.185 1.051  0.119 0.904  0.055 0.754  -0.010 0.607  -0.034 0.645  0.024 0.795  0.092 0.942  0.163 1.088  0.236 1.233  0.311 1.377  0.423 1.487  0.555 1.433  0.577 1.276  0.598 1.115  0.618 0.954  0.613 0.792  0.601 0.631  0.581 0.470  0.556 0.310  0.528 0.150  0.476 -0.003  0.415 -0.153  0.346 -0.300  0.275 -0.446  0.169 -0.569  0.059 -0.687  -0.072 -0.782  -0.214 -0.859  -0.366 -0.916  -0.526 -0.938  -0.686 -0.941  -0.846 -0.911  -1.000 -0.863  -1.150 -0.802  -1.260 -0.684  -1.241 -0.624  -1.079 -0.630  -0.917 -0.637  -0.755 -0.644  -0.593 -0.650  -0.431 -0.657  -0.269 -0.663  -0.107 -0.670  0.055 -0.676  0.217 -0.683  0.379 -0.689  0.541 -0.696  0.703 -0.703  0.844 -0.628
2#apb#apb35#app3579/h  0.132 1.873  0.064 1.942  -0.043 1.848  -0.097 1.715  -0.144 1.581  -0.164 1.440  -0.183 1.298  -0.202 1.157  -0.221 1.015  -0.239 0.873  -0.259 0.732  -0.282 0.591  -0.306 0.450  -0.329 0.309  -0.349 0.168  -0.367 0.026  -0.385 -0.116  -0.410 -0.256  -0.436 -0.397  -0.461 -0.537  -0.481 -0.679  -0.504 -0.820  -0.540 -0.958  -0.576 -1.096  -0.609 -1.095  -0.539 -0.971  -0.484 -0.839  -0.427 -0.708  -0.366 -0.579  -0.291 -0.458  -0.202 -0.347  -0.112 -0.236  -0.014 -0.132  0.085 -0.029  0.189 0.068  0.309 0.145  0.432 0.215  0.574 0.226  0.687 0.144  0.747 0.020  0.739 -0.123  0.731 -0.266  0.723 -0.408  0.697 -0.548  0.664 -0.687  0.643 -0.828  0.629 -0.970  0.632 -1.113  0.649 -1.254  0.694 -1.389
2#apb#apb35#app3579/o  -0.067 0.802  -0.162 0.774  -0.233 0.618  -0.323 0.473  -0.410 0.326  -0.494 0.177  -0.577 0.027  -0.657 -0.124  -0.731 -0.277  -0.800 -0.434  -0.868 -0.590  -0.937 -0.747  -0.964 -0.914  -0.969 -1.084  -0.912 -1.240  -0.780 -1.333  -0.615 -1.350  -0.448 -1.314  -0.281 -1.276  -0.115 -1.237  0.029 -1.146  0.171 -1.051  0.280 -0.919  0.387 -0.786  0.493 -0.652  0.599 -0.518  0.664 -0.361  0.721 -0.200  0.765 -0.035  0.796 0.133  0.820 0.301  0.811 0.472  0.803 0.642  0.792 0.813  0.760 0.977  0.679 1.128  0.580 1.266  0.454 1.365  0.291 1.339  0.150 1.245  0.029 1.126  -0.072 0.989  -0.121 0.826  -0.146 0.657  -0.144 0.488  -0.108 0.321  -0.009 0.184  0.126 0.091  0.289 0.040  0.452 -0.012
2#apb#apb35#app3579/r  -1.636 -1.011  -1.557 -0.969  -1.463 -0.896  -1.361 -0.833  -1.259 -0.771  -1.161 -0.702  -1.067 -0.630  -0.972 -0.557  -0.880 -0.482  -0.808 -0.387  -0.736 -0.291  -0.665 -0.195  -0.592 -0.101  -0.507 -0.017  -0.423 0.068  -0.338 0.152  -0.254 0.237  -0.171 0.322  -0.096 0.416  -0.022 0.509  0.052 0.603  0.126 0.697  0.199 0.791  0.267 0.889  0.335 0.987  0.380 1.097  0.454 1.156  0.372 1.099  0.323 0.990  0.281 0.878  0.270 0.763  0.285 0.644  0.318 0.530  0.400 0.443  0.488 0.363  0.584 0.292  0.674 0.214  0.764 0.135  0.829 0.036  0.907 -0.051  0.957 -0.154  0.943 -0.264  0.890 -0.371  0.835 -0.477  0.778 -0.582  0.724 -0.688  0.679 -0.799  0.641 -0.912  0.608 -1.026  0.608 -1.146
2#apb#apb35#app3579/t  0.436 1.693  0.438 1.549  0.358 1.380  0.278 1.210  0.200 1.040  0.125 0.867  0.044 0.699  -0.046 0.534  -0.134 0.368  -0.218 0.200  -0.302 0.033  -0.365 -0.144  -0.424 -0.322  -0.464 -0.505  -0.484 -0.690  -0.470 -0.875  -0.395 -1.042  -0.216 -1.099  -0.034 -1.124  0.153 -1.111  0.340 -1.095  0.524 -1.059  0.708 -1.024  0.892 -0.984  1.075 -0.942  1.247 -0.870  1.296 -0.792  1.130 -0.706  0.963 -0.619  0.797 -0.533  0.630 -0.447  0.463 -0.360  0.297 -0.274  0.130 -0.188  -0.036 -0.102  -0.203 -0.015  -0.369 0.071  -0.536 0.157  -0.702 0.244  -0.869 0.330  -1.035 0.416  -1.193 0.509  -1.152 0.603  -0.966 0.627  -0.781 0.656  -0.596 0.688  -0.412 0.720  -0.226 0.748  -0.041 0.776  0.145 0.803
2#apb#apb35#app3579/o  0.025 0.864  -0.116 0.785  -0.191 0.635  -0.279 0.493  -0.378 0.357  -0.469 0.216  -0.556 0.073  -0.627 -0.078  -0.691 -0.233  -0.758 -0.387  -0.833 -0.537  -0.906 -0.688  -0.968 -0.844  -1.009 -1.006  -0.992 -1.158  -0.876 -1.278  -0.742 -1.378  -0.577 -1.356  -0.414 -1.321  -0.262 -1.250  -0.110 -1.179  0.042 -1.109  0.190 -1.033  0.290 -0.898  0.389 -0.762  0.474 -0.618  0.549 -0.468  0.620 -0.317  0.675 -0.158  0.730 -0.000  0.773 0.161  0.792 0.328  0.808 0.494  0.771 0.658  0.735 0.822  0.671 0.975  0.576 1.108  0.432 1.194  0.272 1.223  0.105 1.216  -0.059 1.179  -0.154 1.044  -0.172 0.892  -0.100 0.742  0.018 0.623  0.151 0.526  0.307 0.464  0.462 0.400  0.614 0.329  0.766 0.258
2#apb#apb35#app3579/n  -0.491 1.041  -0.472 0.936  -0.517 0.801  -0.566 0.667  -0.623 0.536  -0.681 0.405  -0.742 0.276  -0.803 0.147  -0.868 0.020  -0.935 -0.106  -0.999 -0.234  -1.055 -0.365  -1.111 -0.496  -1.139 -0.631  -1.114 -0.666  -1.021 -0.558  -0.927 -0.451  -0.854 -0.328  -0.782 -0.205  -0.697 -0.091  -0.599 0.013  -0.502 0.118  -0.401 0.219  -0.300 0.320  -0.199 0.421  -0.088 0.508  0.035 0.581  0.158 0.653  0.288 0.713  0.414 0.779  0.536 0.826  0.604 0.722  0.604 0.579  0.598 0.437  0.576 0.296  0.553 0.155  0.528 0.014  0.519 -0.127  0.536 -0.269  0.562 -0.407  0.630 -0.533  0.716 -0.641  0.842 -0.708  0.970 -0.766  1.113 -0.766  1.256 -0.766  1.398 -0.766  1.541 -0.766  1.684 -0.766  1.827 -0.766
2#apb#apb35#app3579/W  -0.706 0.655  -0.763 0.575  -0.793 0.427  -0.830 0.279  -0.849 0.128  -0.865 -0.023  -0.896 -0.172  -0.917 -0.323  -0.931 -0.475  -0.931 -0.627  -0.931 -0.780  -0.864 -0.880  -0.747 -0.786  -0.653 -0.667  -0.575 -0.535  -0.505 -0.400  -0.436 -0.264  -0.364 -0.130  -0.299 0.008  -0.242 0.150  -0.174 0.285  -0.178 0.222  -0.217 0.075  -0.246 -0.075  -0.287 -0.222  -0.324 -0.369  -0.338 -0.521  -0.331 -0.672  -0.275 -0.809  -0.145 -0.855  -0.008 -0.801  0.119 -0.717  0.236 -0.619  0.348 -0.516  0.452 -0.405  0.543 -0.283  0.634 -0.160  0.721 -0.035  0.797 0.097  0.873 0.229  0.949 0.361  1.021 0.495  1.077 0.637  1.134 0.779  1.191 0.920  1.247 1.062  1.281 1.210  1.307 1.360  1.333 1.510  1.359 1.661
2#apb#apb35#app3579/i  -1.253 -1.000  -1.144 -0.968  -1.045 -0.893  -0.946 -0.817  -0.859 -0.727  -0.776 -0.635  -0.694 -0.540  -0.622 -0.439  -0.561 -0.331  -0.482 -0.235  -0.397 -0.144  -0.326 -0.041  -0.268 0.069  -0.200 0.170  -0.272 0.119  -0.343 0.017  -0.397 -0.095  -0.435 -0.214  -0.463 -0.335  -0.500 -0.454  -0.523 -0.577  -0.486 -0.696  -0.414 -0.795  -0.298 -0.815  -0.173 -0.815  -0.053 -0.795  0.061 -0.744  0.173 -0.689  0.271 -0.612  0.370 -0.536  0.427 -0.434  0.451 -0.312  0.475 -0.189  0.499 -0.067  0.523 0.056  0.547 0.178  0.570 0.301  0.594 0.423  0.618 0.546  0.642 0.668  0.666 0.791  0.690 0.913  0.714 1.036  0.738 1.158  0.762 1.281  0.786 1.403  0.809 1.526  0.833 1.648  0.857 1.771  0.854 1.870
2#apb#apb35#app3579/l  -0.941 -1.163  -0.823 -1.078  -0.692 -1.005  -0.586 -0.902  -0.494 -0.785  -0.416 -0.658  -0.338 -0.530  -0.268 -0.398  -0.198 -0.266  -0.129 -0.133  -0.047 -0.009  0.039 0.114  0.124 0.236  0.202 0.364  0.273 0.495  0.344 0.627  0.414 0.759  0.480 0.893  0.547 1.026  0.605 1.164  0.652 1.306  0.670 1.454  0.654 1.602  0.524 1.560  0.428 1.445  0.348 1.321  0.288 1.184  0.229 1.046  0.172 0.908  0.116 0.770  0.058 0.632  -0.001 0.494  -0.060 0.357  -0.115 0.218  -0.169 0.079  -0.223 -0.060  -0.258 -0.206  -0.293 -0.351  -0.328 -0.496  -0.363 -0.642  -0.397 -0.787  -0.416 -0.935  -0.416 -1.084  -0.312 -1.176  -0.179 -1.240  -0.032 -1.265  0.115 -1.279  0.260 -1.240  0.404 -1.201  0.548 -1.163
2#apb#apb35#app3579/k  -1.361 -1.413  -1.140 -1.255  -0.975 -1.035  -0.809 -0.815  -0.658 -0.586  -0.520 -0.347  -0.368 -0.118  -0.210 0.107  -0.066 0.342  0.069 0.581  0.222 0.810  0.389 1.029  0.516 1.273  0.639 1.519  0.520 1.537  0.339 1.332  0.206 1.091  0.088 0.842  -0.025 0.592  -0.135 0.339  -0.254 0.091  -0.377 -0.156  -0.474 -0.413  -0.562 -0.674  -0.632 -0.940  -0.651 -1.211  -0.509 -1.111  -0.346 -0.889  -0.182 -0.667  -0.019 -0.446  0.145 -0.224  0.308 -0.003  0.471 0.219  0.635 0.441  0.798 0.662  0.962 0.884  1.125 1.105  0.919 1.037  0.724 0.842  0.529 0.648  0.334 0.453  0.136 0.262  -0.045 0.058  -0.173 -0.185  -0.259 -0.446  -0.241 -0.718  -0.132 -0.967  0.078 -1.128  0.348 -1.175  0.623 -1.175
